Title_A,Authors_A,ISBN13_A,Pages_A,Rating_A,Ratings_Count_A,Publisher_A,Publish_Date_A,Title_B,Authors_B,ISBN13_B,Pages_B,Rating_B,Ratings_Count_B,Publisher_B,Publish_Date_B,Gold
Notes from a Wayfarer: The Autobiography of Helmut Thielicke,Helmut Thielicke,9781557787088.0,416,3.71,7,Paragon House,April 21st 1998,Notes from a Wayfarer: The Autobiography of Helmut Thielicke,Helmut Thielicke,9781557787088.0,416.0,,,Paragon House Publishers,04/21/1998,1
Eric Bristow: The Autobiography: The Crafty Cockney,Eric Bristow,,370,3.4,5,Cornerstone Digital,September 15th 2009,Eric Bristow: The Autobiography: The Crafty Cockney,Eric Bristow,9781409063162.0,352.0,,,Random House,09/15/2009,1
Who's Crazee Now?: My Autobiography,Noddy Holder,,276,4.0,4,Ebury Digital,December 15th 2010,Who's Crazee Now?: My Autobiography,"Lisa Verrico, Noddy Holder",9781446407431.0,256.0,,,Ebury Publishing,12/15/2010,1
Words to Win: The Making of a Modern Autobiography,Tanika Sarkar,9789381017906.0,318,3.0,1,Zubaan Books,February 15th 2014,Words to Win: The Making of a Modern Autobiography,Tanika Sarkar,9789381017906.0,318.0,,,Zubaan Books,02/15/2014,1
Awakenings: A Translation of Marcel's Autobiography,Gabriel Marcel,9780874626537.0,0,5.0,1,Marquette University Press,,Awakenings: A Translation of Gabriel Marcel's Autobiography,Gabriel Marcel,9780874626537.0,262.0,,,Marquette University Press,01/01/2003,1
Leading from the Front: The Autobiography. General Sir Richard Dannatt,Richard Dannatt,9780552162616.0,0,3.6,10,Corgi Books,May 1st 2011,Leading from the Front: The Autobiography,Richard Dannatt,9780552162616.0,,,,Corgi Books,05/28/2011,1
All My Yesterdays: An Autobiography,Cecil Lewis,9781852304058.0,0,4.0,1,Element Books,,All My Yesterdays: An Autobiography,Cecil Lewis,9781852304058.0,224.0,,,HarperCollins Publishers,04/28/1993,1
Autobiography: The Big Sea (The Collected Works of Langston Hughes #13),"Langston Hughes, Joseph McLaren",9780826214102.0,288,4.14,835,University of Missouri,September 16th 2002,Autobiography: The Big Sea (The Collected Works of Langston Hughes),"Joseph McLaren, Langston Hughes",9780826214102.0,288.0,,,University of Missouri Press,09/28/2002,1
Tower Stories: The Autobiography of September 11th,Damon DiMarco,9780974868455.0,396,4.26,179,Revolution Publishing,September 1st 2004,"Tower Stories: The Autobiography of September 11, 2001",Damon Dimarco,9780974868455.0,396.0,5.0,4.0,"Revolution Books, LLC",09/01/2004,1
"Contesting Childhood: Autobiography, Trauma, and Memory",Kate  Douglas,9780813546643.0,236,4.5,6,Rutgers University Press,January 21st 2010,"Contesting Childhood: Autobiography, Trauma, and Memory",Kate Douglas,9780813546643.0,236.0,,,Rutgers University Press,01/21/2010,1
Napoleon on Napoleon: An Autobiography of the Emperor,"Napoléon Bonaparte, Somerset De Chair",9780304344550.0,288,3.96,28,Cassell,September 1st 1994,Napoleon on Napoleon: An Autobiography of the Emperor,Somerset De Chair,9780304344550.0,288.0,,,Cassell P L C,12/28/1996,1
The Autobiography of St. Ignatius,John Francis O'Conor,,67,3.62,8,Pyrrhus Press,August 28th 2014,The Autobiography of St. Ignatius,St. Ignatius,9781463510978.0,172.0,,,CreateSpace Publishing,05/27/2011,1
The Struggle for Modern Tibet: The Autobiography of Tashi Tsering,"Tashi Tsering, Melvyn C. Goldstein",9780765605092.0,220,4.22,54,East Gate Book,October 1st 1999,The Struggle for Modern Tibet: The Autobiography of Tashi Tsering / Edition 1,"Melvyn C. Goldstein, William R Siebenschuh, Tashi Tsering",9780765605092.0,221.0,,,Taylor &amp; Francis,02/28/1997,1
The Autobiography of an Idea,Louis H. Sullivan,9780486202815.0,384,3.76,59,Dover Publications,June 22nd 2009,The Autobiography of an Idea,Louis H. Sullivan,9780486202815.0,384.0,,,Dover Publications,06/22/2009,1
Monodies and On the Relics of Saints: The Autobiography and a Manifesto of a French Monk from theTime of the Crusades,"Guibert de Nogent, Joseph McAlhany, Jay Rubenstein",9780143106302.0,400,3.19,16,Penguin Classics,September 27th 2011,Monodies and On the Relics of Saints: The Autobiography and a Manifesto of a French Monk from the Time of the Crusades,Guibert of Nogent,9780143106302.0,400.0,,,Penguin Publishing Group,09/27/2011,1
George Cole - The World Was My Lobster: The Autobiography,"George Cole, Brian Hawkins",9781782198185.0,416,3.0,13,Not Avail,May 28th 2014,George Cole-My Autobiography: The World Was My Lobster,"George Cole, Brian Hawkins",9781782198185.0,288.0,,,"John Blake Publishing, Limited",12/01/2013,1
The Autobiography of Bertrand Russell,Bertrand Russell,9780415228626.0,749,4.06,657,Routledge,March 10th 2000,The Autobiography of Bertrand Russell,Bertrand Russell,9780415228626.0,760.0,,,Taylor &amp; Francis,03/28/2000,1
From the Alleghenies to the Hebrides: An Autobiography,Margaret Fay Shaw,9781841587707.0,150,4.0,20,Birlinn Ltd,June 1st 2008,From Alleghenies To the Hebrides: An Autobiography,Margaret Fay Shaw,9781841587707.0,150.0,,,"Birlinn, Limited",06/01/2008,1
Will: The Autobiography of Will Greenwood,Will Greenwood,9780099476481.0,352,3.75,20,Arrow,June 2nd 2005,Will: The Autobiography of Will Greenwood,Will Greenwood,9780099476481.0,224.0,,,Random House Adult Trade Publishing Group,07/28/2005,1
Open: An Autobiography,Andre Agassi,9780307388407.0,400,4.13,41638,Vintage,August 10th 2010,Open: An Autobiography,Andre Agassi,9780307388407.0,400.0,4.2,611.0,Knopf Doubleday Publishing Group,08/10/2010,1
White Tiger: An Autobiography of Yang Xianyi,"Xianyi Yang, Yang Xianyi",9789629960704.0,328,4.2,5,Chinese University Press,April 9th 2003,White Tiger: An Autobiography of Yang Xianyi,Yang Xianyi,9789629960704.0,328.0,,,"Chinese University Press, The",04/09/2003,1
King: My Autobiography,"Ledley King, Mat Snow",,288,3.53,30,Quercus,September 12th 2013,King: My Autobiography,"Ledley King, Mat Snow",9781782069065.0,,,,Quercus Publishing,09/12/2013,1
Cathy: My Autobiography,"Cathy Freeman, Scott Gullan",9781904317777.0,272,3.2,5,Highdown,July 15th 2004,Cathy: My Autobiography,"Cathy Freeman, Scott Gullan",9781904317777.0,272.0,,,Raceform,07/05/2004,1
Renegade at Heart: An Autobiography,Jeff Lenburg Lorenzo Lamas,,274,3.58,12,BenBella Books,December 9th 2014,Renegade at Heart: An Autobiography,Lorenzo Lamas,9781941631263.0,272.0,5.0,2.0,"BenBella Books, Inc.",12/09/2014,1
Miracles of Life: Shanghai to Shepperton: An Autobiography,J.G. Ballard,9780007270729.0,278,3.97,670,Fourth Estate (GB),April 1st 2008,Miracles of Life: Shanghai to Shepperton: An Autobiography,J. G. Ballard,9780007270729.0,,,,"Fourth Estate, Limited",04/28/2008,1
Ulrike Ottinger: The Autobiography of Art Cinema,Laurence A. Rickels,9780816653317.0,288,3.67,3,Univ Of Minnesota Press,July 29th 2008,Ulrike Ottinger: The Autobiography of Art Cinema,Laurence A. Rickels,9780816653317.0,288.0,,,University of Minnesota Press,08/06/2008,1
Ansel Adams: An Autobiography,"Ansel Adams, Mary Street Alinder",9780821222416.0,360,4.09,348,Ansel Adams,February 1st 1996,Ansel Adams: An Autobiography,"Ansel Adams, Mary Street Alinder",9780821222416.0,360.0,3.3,11.0,Bulfinch,02/01/1996,1
Good-Bye to All That: An Autobiography,Robert Graves,9780385093309.0,347,4.05,6127,Anchor Books,February 1st 1958,Good-Bye to All That: An Autobiography,Robert Graves,9780385093309.0,368.0,4.0,7.0,Knopf Doubleday Publishing Group,02/28/1958,1
The Autobiography of W.E.B. Du Bois: A Soliloquy on Viewing My Life from the Last Decade of Its First Century,"W.E.B. Du Bois, Herbert Aptheker",9780717802340.0,448,4.26,77,International Publishers,December 1st 1968,The Autobiography of W. E. B. Du Bois: A Soliloquy on Viewing My Life from the Last Decade of Its First Century,W. E. B. Du Bois,9780717802340.0,448.0,,,"International Publishers Company, Incorporated",06/01/1968,1
Porn King: The Autobiography of John C. Holmes,"John C. Holmes, Laurie Holmes",,192,3.19,16,BearManor Media,February 7th 2012,Porn King: The Autobiography of John C. Holmes,John C. Holmes,2940152060799.0,,,,BearManor Media,07/27/2015,1
Worlds Apart: The Autobiography of a Dancer from Brooklyn,Robert Maiorano,9780983687801.0,174,3.83,6,Aperture Press,November 1st 2011,Worlds Apart: The Autobiography of a Dancer from Brooklyn,Robert Maiorano,9780983687801.0,174.0,,,"Aperture Press, LLC",11/01/2011,1
Anthropology and Autobiography,Judith Okely,9780415051897.0,268,2.5,4,Routledge,July 21st 1992,Anthropology and Autobiography,"Judith Oakley, Helen Callaway",9780415051897.0,268.0,,,Taylor &amp; Francis,07/21/1992,1
An Autobiography - Trans by Krishnamurthy,"PANIKKAR, K. Krishnamurthy",9780195603804.0,380,0.0,0,Oxford University Pres,February 9th 1994,Autobiography,K. Krishnamurthy,9780195603804.0,,,,Oxford University Press,10/28/1977,1
The Autobiography Of Joseph Stalin: A Novel,Richard Lourie,9780306809972.0,272,3.78,166,Da Capo Press,October 5th 2000,The Autobiography of Joseph Stalin: A Novel,Richard Lourie,9780306809972.0,272.0,2.0,1.0,Da Capo Press,09/01/2000,1
The Autobiography of an Unknown Indian,"Nirad C. Chaudhuri, Ian Jack",9780940322820.0,560,3.8,275,NYRB Classics,September 30th 2001,The Autobiography of an Unknown Indian,Nirad C. Chaudhuri,9780940322820.0,560.0,,,New York Review Books,09/28/2001,1
My Quests for Hope and Meaning: An Autobiography,"Rosemary Radford Ruether, Renny Golden",,213,4.0,2,Cascade Book,October 20th 2013,My Quests for Hope and Meaning: An Autobiography,Rosemary Radford Ruether,9781620327128.0,195.0,,,Wipf &amp; Stock Publishers,10/02/2013,1
An Autobiography of Buffalo Bill (Colonel W. F. Cody),William F. Cody,,214,3.67,259,,,An Autobiography of Buffalo Bill (Colonel W. F. Cody),Buffalo Bill,9783655118917.0,,,,MVB E-Books,01/01/2010,1
"A Still Untitled, (Not Quite) Autobiography",Ron Moody,9781907532115.0,264,0.0,0,Aurum,September 1st 2010,"Still Untitled, (Not Quite) Autobiography",Ron Moody,9781907532115.0,,,,JR,09/28/2010,1
From Right to Left: An Autobiography,Frederick Vanderbilt Field,9780882081618.0,336,5.0,1,Lawrence Hill & Co,August 13th 1983,From Right to Left: An Autobiography,Frederick Vanderbilt Field,9780882081618.0,336.0,,,"Chicago Review Press, Incorporated",11/13/1990,1
"Tibet Is My Country: Autobiography of Thubten Jigme Norbu, Brother of the Dalai Lama as Told to Heinrich Harrer","Thubten Jigme Norbu, Heinrich Harrer",9780861710454.0,276,4.04,28,Wisdom Publications,June 15th 1986,"Tibet is My Country: The Autobiography of Thubten Jigme Norbu, Brother of the Dalai Lama","Thubten Jigme Norbu, Heinrich Harrer",9780861710454.0,276.0,,,Wisdom Publications MA,07/10/2005,1
Awakenings: A Translation of Marcel's Autobiography,Gabriel Marcel,9780874626537.0,0,5.0,1,Marquette University Press,,Awakenings: A Translation of Gabriel Marcel's Autobiography,Gabriel Marcel,9780874626537.0,262.0,,,Marquette University Press,01/01/2003,1
The Autobiography of Benjamin Franklin,"Amy Gutmann, Benjamin Franklin, Peter Conn",,192,0.0,0,University of Pennsylvania Press,January 1st 2011,The Autobiography of Benjamin Franklin,ICON Reference,9780497255800.0,212.0,,,"Icon Group International, Incorporated",02/05/2006,1
Knots in My Yo-Yo String: The Autobiography of a Kid,Jerry Spinelli,9780679887911.0,160,3.62,1274,Ember,April 28th 1998,Knots in My Yo-yo String: The Autobiography of a Kid,Jerry Spinelli,9780679887911.0,160.0,4.0,55.0,Random House Children's Books,06/28/2012,1
Standing Fast: The Autobiography Of Roy Wilkins,"Roy Wilkins, Julian Bond, Tom Mathews",9780306805660.0,384,3.79,14,Da Capo Press,March 22nd 1994,Standing Fast: The Autobiography of Roy Wilkins,"Roy Wilkins, Tom Mathews",9780306805660.0,384.0,,,Da Capo Press,04/28/1994,1
The Dance of Reality: A Psychomagical Autobiography,Alejandro Jodorowsky,,424,3.97,31,Park Street Press,June 6th 2014,The Dance of Reality: A Psychomagical Autobiography,Alejandro Jodorowsky,9781620552810.0,424.0,,,Inner Traditions/Bear &amp; Company,06/06/2014,1
Autobiography of Malcom X,Ray Shepard,9780822008026.0,72,4.3,73,Cliffs Notes,December 4th 1973,CliffsNotes on Malcolm X's The Autobiography of Malcolm X,"Ray Shepard, Ray (Ed.) Shepard",9780822008026.0,72.0,,,Houghton Mifflin Harcourt,12/18/1973,1
"Autobiography of George Dewey, Admiral of the Navy",George Dewey,9780870210280.0,297,4.4,5,US Naval Institute Press,April 1st 1987,Autobiography of Admiral George Dewey: Admiral of the Navy,"George Dewey, Eric McAllister Smith",9780870210280.0,336.0,,,Naval Institute Press,04/28/1987,1
Untamed: The Autobiography of the Circus's Greatest Animal Trainer,Gunther Gebel-Williams,9780688086459.0,0,3.0,8,William Morrow & Company,March 1st 1991,Untamed: The Autobiography of the Circus' Greatest Animal Trainer,"Gunther Gebel-Williams, Toni Reinhold",9780688086459.0,352.0,,,HarperCollins Publishers,03/01/1991,1
The Worlds of a Maasai Warrior: An Autobiography,Tepilit Ole Saitoti,9780520063259.0,144,3.84,188,University of California Press,October 14th 1988,The Worlds of a Maasai Warrior: An Autobiography / Edition 1,Tepilit Ole Saitoti,9780520063259.0,170.0,,,University of California Press,10/14/1988,1
Autobiography of a Freedom Rider: My Life as a Foot Soldier for Civil Rights,"Thomas M. Armstrong, Natalie R. Bell",9780757316036.0,208,4.55,11,Health Communications,May 2nd 2011,Autobiography of a Freedom Rider: My Life as a Foot Soldier for Civil Rights,"Thomas M. Armstrong, Natalie R. Bell",9780757316036.0,216.0,5.0,1.0,"Health Communications, Incorporated",05/02/2011,1
The Autobiography of George Müller a Narrative of Some of the Lord's Dealings with George Müller Written by Himself Vol I,George Müller,9781849027441.0,180,4.29,68,Benediction Classics,May 19th 2010,The Autobiography of George Muller a Narrative of Some of the Lord's Dealings with George Muller Written,Himself Vol I,9781849027441.0,180.0,,,Benediction Books,05/28/2010,1
Smithsonian National Air and Space Museum: An Autobiography,"Michael J. Neufeld, Alex M. Spencer, John Dailey",9781426206535.0,416,4.0,13,National Geographic,October 26th 2010,Smithsonian National Air and Space Museum: An Autobiography,"Michael Neufeld, Michael Collins, Alex M. Spencer",9781426206535.0,416.0,,,National Geographic Society,10/26/2010,1
The Autobiography of Vivian,Sherrie Krantz,,304,3.33,3,,,The Autobiography of Vivian,Sherrie Krantz,9780345454843.0,304.0,4.1,18.0,Random House Publishing Group,06/25/2002,1
Man Without A Face: The Autobiography Of Communism's Greatest Spymaster,"Markus Wolf, Anne McElvoy",9781891620126.0,460,3.88,165,PublicAffairs,June 4th 1999,Man Without A Face / Edition 1,"Markus Wolf, Anne McElvoy",9781891620126.0,460.0,4.0,3.0,PublicAffairs,01/01/1997,1
Jesus: My Autobiography,Tina Louise Spalding,,0,5.0,4,Light Technology Publishing,June 17th 2015,Jesus: My Autobiography,Tina Louise Spalding,2940151422512.0,304.0,,,Light Technology Publishing,06/01/2015,1
Reading the Rocks: The Autobiography of the Earth,Marcia Bjornerud,9780465006847.0,256,3.94,172,Basic Books,October 31st 2006,Reading the Rocks: The Autobiography of the Earth,Marcia Bjornerud,9780465006847.0,256.0,4.5,2.0,Basic Books,10/28/2006,1
A Little History of My Forest Life: An Indian-White Autobiography,"Eliza Morrison, Victoria Brehm",9780970260628.0,200,4.43,7,Ladyslipper Pres,April 1st 2002,A Little History of My Forest Life: An Indian-White Autobiography,Eliza Morrison,9780970260628.0,200.0,,,"Ladyslipper Press, Inc.",01/28/2002,1
The Autobiography of Giambattista Vico,"Giambattista Vico, Max H. Fisch, Thomas G. Bergin",9780801490880.0,240,3.78,32,Cornell University Press,January 31st 1963,The Autobiography of Giambattista Vico,Giambattista Vico,9780801490880.0,240.0,,,Cornell University Press,01/28/1963,1
Autobiography of the Lower East Side,Rashidah Ismaili,9781937997397.0,238,4.5,4,Northampton House Press,April 1st 2014,Autobiography of the Lower East Side,Rashidah Ismaili,9781937997397.0,238.0,5.0,1.0,Northampton House Press,04/01/2014,1
The Autobiography Of An Attitude,George Jean Nathan,9780403007585.0,292,0.0,0,Scholarly Press,,The Autobiography of an Attitude,George Jean Nathan,9780403007585.0,292.0,,,"Scholarly Press, Incorporated",06/26/2009,1
"Who Am I?: An Autobiography of Emotion, Mind, and Spirit",Yi-Fu Tuan,9780299166601.0,177,4.0,17,University of Wisconsin Press,October 29th 1999,"Who Am I?: An Autobiography of Emotion, Mind and Spirit",Yi-Fu Tuan,9780299166601.0,177.0,,,University of Wisconsin Press,10/28/1999,1
Julian Assange - The Unauthorised Autobiography,Julian Assange,9780857863843.0,339,3.67,402,Canongate Books,September 1st 2011,Julian Assange - The Unauthorised Autobiography,Julian Assange,9780857863843.0,,,,Canongate Books,09/28/2011,1
Autobiography of a Schizophrenic Girl,"Renée, Marguerite Sechehaye",9780452011335.0,192,3.58,273,Plume,November 1st 1994,Autobiography of a Schizophrenic Girl: The True Story of Renee,Marguerite Sechehaye,9780452011335.0,192.0,,,Penguin Publishing Group,11/28/1994,1
As If: An Autobiography,Herbert Blau,,302,0.0,0,University of Michigan Press,June 8th 2011,As If: An Autobiography,Herbert Blau,9780472035144.0,302.0,,,University of Michigan Press,10/31/2012,1
A Nation of Lords: The Autobiography of the Vice Lords,David Dawley,9780881336283.0,205,4.04,23,Waveland Press,March 1st 1992,Nation of Lords: The Autobiography of the Vice Lords / Edition 2,David Dawley,9780881336283.0,224.0,3.0,1.0,"Waveland Press, Inc.",03/01/1992,1
Luna the Autobiography of a Super Cat,"Luna Challis, Steve Challis",,49,3.94,18,Smashwords Edition,August 28th 2011,Luna the Autobiography of a Super Cat,Luna Challis,2940011506413.0,,4.5,15.0,Steve Challis,08/28/2011,1
"A land of our own: An oral autobiography,",Golda Meir,9780399110696.0,251,3.86,7,Putnam,January 1st 1973,A Land of Our Own: An Oral Autobiography,"Golda Meir, Marie Syrkin",9780399110696.0,251.0,,,Penguin Group (USA) Incorporated,01/01/1973,1
"James Nasmyth, Engineer: An Autobiography","James Nasmyth, Samuel Smiles",9783955079468.0,376,4.5,2,Dogma,January 15th 2013,"James Nasmyth, Engineer: An Autobiography",James Nasmyth,9783955079468.0,376.0,,,DOGMA,01/15/2013,1
Did They Mention the Music?: The Autobiography of Henry Mancini,"Henry Mancini, Gene Lees",9780815411758.0,312,3.71,14,Cooper Square Publishers,December 17th 2001,Did They Mention the Music?: The Autobiography of Henry Mancini,Henry Mancini,9780815411758.0,312.0,4.5,2.0,"Rowman &amp; Littlefield Publishers, Inc.",12/28/2001,1
Stop Forgetting to Remember: The Autobiography of Walter Kurtz,Peter Kuper,9780307339508.0,208,3.54,202,Crown,July 10th 2007,Stop Forgetting to Remember: The Autobiography of Walter Kurtz,Peter Kuper,9780307339508.0,208.0,,,Crown Publishing Group,07/10/2007,1
The Autobiography of James T. Kirk,David A. Goodman,,288,4.14,63,Titan Books,September 8th 2015,The Autobiography of James T. Kirk,David A. Goodman,9781783297467.0,288.0,,,Titan,09/08/2015,1
Clapton: The Autobiography,Eric Clapton,,0,3.14,7,BROADWAY BOOKS,,Clapton: The Autobiography,Eric Clapton,9780767925365.0,352.0,3.9,130.0,Crown Publishing Group,05/27/2008,1
The Autobiography of William Zeckendorf,William Zeckendorf,9780961897208.0,312,4.07,15,Plaza Pr,December 1st 1987,Autobiography of William Zeckendorf,"William Zeckendorf, Edward McCreary",9780961897208.0,320.0,,,Plaza Press,03/01/1988,1
No Limits: My Autobiography,Ian Poulter,,320,3.93,56,Quercus,October 23rd 2014,No Limits: My Autobiography,"Ian Poulter, Isabelle Grey",9781782066903.0,,5.0,1.0,Quercus Publishing,10/23/2014,1
With No Regrets - An Autobiography,Krishna Nehru Hutheesing,9781406776614.0,164,4.4,5,Jackson Press,March 1st 2007,With No Regrets An Autobiography,Krishna Nehru Hutheesing,9781406776614.0,164.0,,,Jackson Press,03/28/2007,1
"Autobiography and Selected Letters, Volume II: Letters 51-193","Libanius, A.E. Norman",9780674995284.0,2,3.8,5,Harvard University Press,January 1st 1992,"Autobiography and Selected Letters, Volume II: Letters 51-193 (Loeb Classical Library)",Libanius,9780674995284.0,496.0,5.0,1.0,Harvard University Press,01/28/1992,1
"The Autobiography of Charles Darwin, 1809–82","Charles Darwin, Nora Barlow",9780393310696.0,224,3.82,1035,W.W. Norton & Company,September 17th 1993,The Autobiography of Charles Darwin 1809-1882: With Original Omissions Restored,Charles Darwin,9780393310696.0,253.0,,,"Norton, W. W. &amp; Company, Inc.",09/28/1993,1
Cesar Chavez: Autobiography of La Causa,"Jacques E. Levy, Fred Ross Jr.",9780816650491.0,600,4.22,55,Univ Of Minnesota Press,August 17th 2007,Cesar Chavez: Autobiography of La Causa,Jacques E. Levy,9780816650491.0,600.0,,,University of Minnesota Press,08/17/2007,1
Writing the South through the Self: Explorations in Southern Autobiography,John C. Inscoe,9780820337678.0,268,4.5,6,University of Georgia Press,May 1st 2011,Writing the South through the Self: Explorations in Southern Autobiography,John C. Inscoe,9780820337678.0,268.0,,,University of Georgia Press,05/01/2011,1
"Intellectual Autobiography: Ideas on Literature, Philosophy and Religion",Victor Hugo,9781410204233.0,404,4.25,4,University Press of the Pacific,December 1st 2002,"Intellectual Autobiography: Ideas on Literature, Philosophy and Religion",Victor Hugo,9781410204233.0,404.0,,,Press Holdings International,12/28/2002,1
Shocking Life: The Autobiography of Elsa Schiaparelli,Elsa Schiaparelli,9781851776702.0,240,3.67,143,Victoria & Albert Museum,March 1st 2007,Shocking Life: The Autobiography of Elsa Schiaparelli,Elsa Schiaparelli,9781851776702.0,240.0,,,V&amp;A Publishing,03/05/2007,1
To Race the Wind: An Autobiography,Harold Krents,9780399109249.0,282,3.88,26,Putnam Publishing Group,June 28th 1972,To Race the Wind; An Autobiography,Harold Krents,9780399109249.0,282.0,,,Penguin Group (USA) Incorporated,01/28/1972,1
The Beat Of My Drum: An Autobiography,"Babatunde Olatunji, Robert  Atkinson",9781592133543.0,272,4.5,6,Temple University Press,February 7th 2005,The Beat of My Drum: An Autobiography,Michael Babatunde Olatunji,9781592133543.0,272.0,,,Temple University Press,02/04/2005,1
