ID,Title,SKU,Price,Is_Discounted,Category,Company,Weight,Colors,Materials,Dimensions
72,Inglesina Trip Stroller in Coffee,43783496.0,199.99,False,Strollers / Lightweight Strollers,Inglesina,14.5 lb.,,aluminum,"19""/43""/30"""
73,Chicco Ct 0.6 Ultra Lightweight Umbrella Stroller in Topazio,16320633.0,79.99,False,Strollers / Lightweight Strollers,Chicco,"only 11 pounds, while remaining highly compact and maneuverable with its durable aluminum frame.",,aluminum,"19""/1/2""/39"""
74,Jane Nanuq Lightweight Umbrella Stroller in Shadow,42415381.0,249.99,False,Strollers / Lightweight Strollers,Jane, 13.9 lb.,,aluminum,"32.68""/42.91""/41.73"""
75,Maclaren 2015 Scarlet Collection Quest Stroller in Linen,44708122.0,699.99,False,Strollers / Lightweight Strollers,Maclaren, 15.5 lb.,orange,metal / aluminum,"30""/18.58""/42.2"""
76,Maclaren Quest Sport Stroller in Charcoal and Citadel,40971353.0,289.99,False,Strollers / Lightweight Strollers,Maclaren,13.9 lbs.,,,"31""/18.7""/41.8"""
77,Bumbleride Flite Stroller in Green Papyrus,41188606.0,269.99,False,Strollers / Lightweight Strollers,Bumbleride,,,aluminum,-/-/-
78,Cybex Agis M-Air 3 Stroller in True Blue,44795016.0,259.99,False,Strollers / Lightweight Strollers,Cybex,,,,"38""/22""/41"""
79,i'coo Phoenix Stroller in Brown,43033690.0,199.99,False,Strollers / Lightweight Strollers,i'coo,20 lb.,,fleece / aluminum,"41.5""/20.5""/33.5"""
80,Kolcraft MLB Umbrella Stroller in St. Louis Cardinals,41079706.0,34.99,False,Strollers / Lightweight Strollers,MLB,7 lbs.,,,-/-/-
81,Baby Jogger City Lite Single Stroller,42406648.0,179.99,False,Strollers / Lightweight Strollers,Baby Jogger, 16 lb.,,,"37""/23""/42"""
82,Baby Jogger Vue Lite Stroller in Cherry,43516643.0,179.99,False,Strollers / Lightweight Strollers,Baby Jogger, 14 lb.,,aluminum,"32.5""/19.75""/41.75"""
83,Summer Infant 3D-one Convenience Stroller in Eclipse Grey,43679447.0,129.99,False,Strollers / Lightweight Strollers,Summer Infant,16 lb.,,aluminum,"43""/18""/27"""
84,Mountain Buggy Nano Stroller in Ruby,42466864.0,249.99,False,Strollers / Lightweight Strollers,Mountain Buggy, 13 pounds,,aluminum,"33""/22""/39"""
85,Inglesina Net Stroller in Zenzero,44839758.0,149.99,False,Strollers / Lightweight Strollers,Inglesina, 11.2 lb.,,,"29""/18.5""/43"""
86,Quinny Senzz Stroller in Flame,18086050.0,429.99,False,Strollers / Lightweight Strollers,Quinny,16 pounds.,,,-/-/-
87,Cosco Juvenile Umbrella Stroller in Horizon,42252979.0,19.99,False,Strollers / Lightweight Strollers,Cosco, 8 lb.,,aluminum,-/-/-
88,UPPAbaby G-LITE Stroller in Denny,43209170.0,159.99,False,Strollers / Lightweight Strollers,UPPAbaby,,,,"32""/19.5""/42"""
89,Summer Infant 3D Flip Convenience Stroller in Re-Run,44204877.0,129.99,False,Strollers / Lightweight Strollers,Summer Infant,14 lb.,,aluminum,"27""/18""/43"""
90,babyhome Emotion Stroller in Rouge,43975068.0,299.99,False,Strollers / Lightweight Strollers,babyhome,13 lb.,,aluminum,"33""/18""/39"""
91,Recaro Easylife Ultra-Lightweight Stroller in Scarlet,45284557.0,199.99,False,Strollers / Lightweight Strollers,Recaro, 13 lb.,,plastic / aluminum,"31.5""/19""/41.5"""
92,Joovy Groove Ultralight Umbrella Stroller in Blueberry,42813934.0,189.99,False,Strollers / Lightweight Strollers,Joovy, 13.9 pounds,,aluminum,"30.5""/20.75""/42.5"""
93,Maclaren Techno XT Stroller in Medieval Blue,40971377.0,354.99,False,Strollers / Lightweight Strollers,Maclaren,15.3 pounds.,,,"32.6""/19.3""/44.4"""
94,Maclaren Mark II Stroller in Carmine Rose,42573890.0,199.99,False,Strollers / Lightweight Strollers,Maclaren,,,,"45.25""/7.88""/8.63"""
95,Inglesina Trip Stroller in Marrakech,43783465.0,199.99,False,Strollers / Lightweight Strollers,Inglesina,14.5 lb.,,aluminum,"19""/43""/30"""
96,Baby Jogger Vue Stroller in Red,42469704.0,199.99,False,Strollers / Lightweight Strollers,Baby Jogger,17.5 lb.,,,"42.25""/11.5""/13.25"""
97,Cosco Juvenile Umbrella Stroller in Bead Girl,42252948.0,19.99,False,Strollers / Lightweight Strollers,Cosco, 8 lb.,,aluminum,-/-/-
98,UPPAbaby G-LUXE Stroller in Jake,43209361.0,279.99,False,Strollers / Lightweight Strollers,UPPAbaby, 15 lb.,,aluminum,"8.5""/12""/42.5"""
99,Peg Perego Pliko Mini Stroller in Fleur,42867784.0,249.99,False,Strollers / Lightweight Strollers,Peg Perego, 13.5 lb.,,,"13""/13.5""/37.5"""
100,Combi Fold N Go Stroller in Black,44167295.0,229.99,False,Strollers / Lightweight Strollers,Combi,16.5 lb.,,,"41""/25""/38"""
101,guzzie+Guss 101 Goose Stroller in Red,42563860.0,179.99,False,Strollers / Lightweight Strollers,Guzzie + Guss,,,,"28""/23.5""/40"""
102,Britax B-Agile 3 Stroller in Red,43466245.0,269.99,False,Strollers / Lightweight Strollers,Britax,,,aluminum,"38.25""/22.75""/40.5"""
103,Maclaren Triumph Stroller in Medieval Blue/Silver,40971261.0,199.99,False,Strollers / Lightweight Strollers,Maclaren,11.6 lbs.,,aluminum,"2/5""/1/2""/3/4"""
104,Maclaren BMW Buggy in Black,40991351.0,474.99,False,Strollers / Lightweight Strollers,Maclaren,,,,-/-/-
105,Kolcraft MLB Umbrella Stroller in Texas Rangers,41079744.0,34.99,False,Strollers / Lightweight Strollers,MLB,7 lb.,,,-/-/-
106,Maclaren Quest Stroller in Medieval Blue/Jelly Bean,40971483.0,289.99,False,Strollers / Lightweight Strollers,Maclaren,13.9 lbs.,,,"31""/18.7""/41.8"""
107,Baby Jogger City Lite Single Stroller,42406624.0,179.99,False,Strollers / Lightweight Strollers,Baby Jogger, 16 lb.,black,,"37""/23""/42"""
108,Quinny Senzz Stroller in Star,18086026.0,429.99,False,Strollers / Lightweight Strollers,Quinny,16 pounds.,,,-/-/-
109,Chicco Liteway Stroller in Passionfruit,43580484.0,139.99,False,Strollers / Lightweight Strollers,Chicco, 17 lb.,,,"43.1""/11.7""/10.2"""
110,Summer Infant 3D lite Convenience Stroller in Pink/Navy,43850075.0,79.99,False,Strollers / Lightweight Strollers,Summer Infant, 12 lb.,,aluminum,"27""/18""/-"
111,Combi Cosmo Stroller in Royal Blue,41688557.0,129.99,False,Strollers / Lightweight Strollers,Combi, 13.5 lbs.,,,-/-/-
112,Maclaren Globetrotter Stroller in Scarlet,40971216.0,179.99,False,Strollers / Lightweight Strollers,Maclaren,10.6 lbs.,,,"1/2""/3/5""/1/2"""
113,Summer Infant 3D lite Convenience Stroller in Yellow/Navy,43850051.0,79.99,False,Strollers / Lightweight Strollers,Summer Infant, 12 lb.,,aluminum,"27""/18""/-"
114,Britax B-Agile 3 Stroller in Meadow,43998678.0,269.99,False,Strollers / Lightweight Strollers,Britax, 16.5 lb.,,aluminum,"38.5""/23""/40.5"""
115,Maclaren B01 50th Anniversary Edition Volo Stroller in Blue/White,44830953.0,249.99,False,Strollers / Lightweight Strollers,Maclaren, 10.5 lb.,blue,aluminum,-/-/-
116,Britax B-Agile 3 Stroller in Concorde,43998692.0,269.99,False,Strollers / Lightweight Strollers,Britax, 16.5 lb.,,aluminum,"38.5""/23""/40.5"""
117,Jane Nanuq Lightweight Umbrella Stroller in Lilac,44127213.0,249.99,False,Strollers / Lightweight Strollers,Jane, 13.9 lb.,,aluminum,"32""/19""/43"""
118,Jane Nanuq Lightweight Umbrella Stroller in Cosmos,42415374.0,249.99,False,Strollers / Lightweight Strollers,Jane, 13.9 lb.,,aluminum,"32.68""/42.91""/41.73"""
119,babyhome Emotion Stroller in Sand,41518359.0,299.99,False,Strollers / Lightweight Strollers,babyhome,a scant 13 lbs.,,,-/-/-
120,Maclaren Quest Stroller in Black/Silver,40971308.0,289.99,False,Strollers / Lightweight Strollers,Maclaren,13.9 lbs.,,,"31""/18.7""/41.8"""
121,Bumbleride Flite Stroller in Jet Black,41188590.0,269.99,False,Strollers / Lightweight Strollers,Bumbleride,,,aluminum,-/-/-
122,Cybex Agis M-Air 3 Stroller in Hot & Spicy,44795009.0,259.99,False,Strollers / Lightweight Strollers,Cybex,,,,"38""/22""/41"""
123,i'coo Phoenix Stroller in Black,43033683.0,199.99,False,Strollers / Lightweight Strollers,i'coo,20 lb.,,fleece / aluminum,"41.5""/20.5""/33.5"""
124,Kolcraft MLB Umbrella Stroller in Philadelphia Phillies,41079690.0,34.99,False,Strollers / Lightweight Strollers,MLB,7 lbs.,,,-/-/-
125,Baby Jogger City Lite Single Stroller,42406631.0,179.99,False,Strollers / Lightweight Strollers,Baby Jogger, 16 lb.,red,,"37""/23""/42"""
126,Chicco Ct 0.6/Capri Stroller in Cilantro Green,40631127.0,79.99,False,Strollers / Lightweight Strollers,Chicco,"11 lbs but comes loaded with features! Its new rounder, roomier canopy can be adjusted to help better protect your child from the weather.",,,-/-/-
127,Baby Jogger Vue Lite Stroller in Shadow,43516636.0,179.99,False,Strollers / Lightweight Strollers,Baby Jogger, 14 lb.,,aluminum,"32.5""/19.75""/41.75"""
128,Mountain Buggy Nano Stroller in Black,42466857.0,249.99,False,Strollers / Lightweight Strollers,Mountain Buggy, 13 pounds,,aluminum,"33""/22""/39"""
129,Inglesina Net Stroller in Citronella,44839741.0,149.99,False,Strollers / Lightweight Strollers,Inglesina, 11.2 lb.,,,"29""/18.5""/43"""
130,Maclaren 2015 Quest Orla Kiely Special Edition Stroller,44661793.0,374.99,False,Strollers / Lightweight Strollers,Maclaren, 16.5 lb.,,aluminum,"31""/18.7""/42"""
131,Recaro Easylife Ultra-Lightweight Stroller in Onyx,45284540.0,199.99,False,Strollers / Lightweight Strollers,Recaro, 13 lb.,,plastic / aluminum,"31.5""/19""/41.5"""
132,Maclaren Quest Stroller in Dove/Orchid Smoke,40971360.0,289.99,False,Strollers / Lightweight Strollers,Maclaren,13.9 lbs.,,,"31""/18.7""/41.8"""
133,Inglesina Trip Stroller in Luna Red,43783458.0,199.99,False,Strollers / Lightweight Strollers,Inglesina,14.5 lb.,,aluminum,"19""/43""/30"""
134,Peg Perego Pliko Mini Stroller in Ghiro,42867777.0,299.99,False,Strollers / Lightweight Strollers,Peg Perego, 13.5 lb.,,,"13""/13.5""/37.5"""
135,Cybex Agis M-Air 3 Stroller in Grape Juice,44795030.0,259.99,False,Strollers / Lightweight Strollers,Cybex,,,,"38""/22""/41"""
136,Maclaren BMW Buggy in Blue,40991344.0,474.99,False,Strollers / Lightweight Strollers,Maclaren,,,,-/-/-
137,Inglesina Trip Stroller in Black,43783342.0,199.99,False,Strollers / Lightweight Strollers,Inglesina,14.5 lb.,,aluminum,"19""/43""/30"""
138,Chicco Liteway Stroller in Octane,43580477.0,139.99,False,Strollers / Lightweight Strollers,Chicco, 17 lb.,,,"43.1""/11.7""/10.2"""
139,Joovy Groove Ultralight Umbrella Stroller in Purpleness,42870760.0,189.99,False,Strollers / Lightweight Strollers,Joovy, 13.9 lb.,,aluminum,"16.5""/13.5""/4"""
140,Jane Nanuq Lightweight Umbrella Stroller in Peacock,44127206.0,249.99,False,Strollers / Lightweight Strollers,Jane, 13.9 lb.,,aluminum,"32""/19""/43"""
141,Chicco Liteway Plus Stroller in Red/Grey,42735373.0,179.99,False,Strollers / Lightweight Strollers,Chicco, 19 lb.,,aluminum,-/-/-
142,Joovy Groove Ultralight Umbrella Stroller in Triple Black,42770688.0,189.99,False,Strollers / Lightweight Strollers,Joovy, 13.9 lb.,,aluminum,"30.5""/20.75""/42.5"""
143,Cybex Agis M-Air 3 Stroller in Autumn Gold,44794996.0,259.99,False,Strollers / Lightweight Strollers,Cybex,,,,"38""/22""/41"""
144,i'coo Phoenix Stroller in Red,43033676.0,199.99,False,Strollers / Lightweight Strollers,i'coo,20 lb.,,fleece / aluminum,"41.5""/20.5""/33.5"""
145,Kolcraft MLB Umbrella Stroller in New York Yankees,41079683.0,34.99,False,Strollers / Lightweight Strollers,MLB,7 lbs.,,,-/-/-
146,Inglesina Net Stroller in Caramella,44839734.0,149.99,False,Strollers / Lightweight Strollers,Inglesina, 11.2 lb.,,,"29""/18.5""/43"""
147,Recaro Easylife Ultra-Lightweight Stroller in Granite,45284533.0,199.99,False,Strollers / Lightweight Strollers,Recaro, 13 lb.,,plastic / aluminum,"31.5""/19""/41.5"""
148,Chicco Liteway Plus Stroller in Radius,41903742.0,179.99,False,Strollers / Lightweight Strollers,Chicco, 19 lb.,,aluminum,-/-/-
149,Peg Perego Pliko Mini Stroller in House,42867760.0,299.99,False,Strollers / Lightweight Strollers,Peg Perego, 13.5 lb.,,,"13""/13.5""/37.5"""
150,Cybex Agis M-Air 3 Stroller in Moon Dust,44795023.0,259.99,False,Strollers / Lightweight Strollers,Cybex,,,,"38""/22""/41"""
151,Summer Infant 3D Flip Convenience Stroller in Black,44077181.0,129.99,False,Strollers / Lightweight Strollers,Summer Infant,14 lb.,,aluminum,"27""/18""/43"""
152,Baby Jogger Vue Lite Stroller in Citrus,43516667.0,179.99,False,Strollers / Lightweight Strollers,Baby Jogger, 14 lb.,,aluminum,"32.5""/19.75""/41.75"""
153,Summer Infant 3D-one Convenience Stroller in Solar Orange,43679461.0,129.99,False,Strollers / Lightweight Strollers,Summer Infant,16 lb.,,aluminum,"43""/18""/27"""
154,Jane Nanuq Lightweight Umbrella Stroller in Klein,44127190.0,249.99,False,Strollers / Lightweight Strollers,Jane, 13.9 lb.,,aluminum,"32""/19""/43"""
155,Joovy Groove Ultralight Umbrella Stroller in Jade,42770671.0,189.99,False,Strollers / Lightweight Strollers,Joovy, 13.9 pounds,,aluminum,"30.5""/20.75""/42.5"""
156,Inglesina Net Stroller in Paprika,44839727.0,149.99,False,Strollers / Lightweight Strollers,Inglesina, 11.2 lb.,,,"29""/18.5""/43"""
157,Chicco Liteway Stroller in Romantic,17504371.0,139.99,False,Strollers / Lightweight Strollers,Chicco,17 pounds.,,aluminum,-/-/-
158,Chicco Liteway Plus 15 Stroller in Blue/Grey,44131371.0,179.99,False,Strollers / Lightweight Strollers,Chicco,,,aluminum,"35""/19""/40"""
159,Baby Jogger Vue Lite Stroller in Aqua,43516650.0,179.99,False,Strollers / Lightweight Strollers,Baby Jogger, 14 lb.,,aluminum,"32.5""/19.75""/41.75"""
160,Summer Infant 3D-one Convenience Stroller in Brilliant Green,43679454.0,129.99,False,Strollers / Lightweight Strollers,Summer Infant,16 lb.,,aluminum,"43""/18""/27"""
161,Britax B-Agile 3 Stroller in Black,43107155.0,269.99,False,Strollers / Lightweight Strollers,Britax,,,aluminum,"38.25""/22.75""/40.5"""
162,Inglesina Net Stroller in Black,44839710.0,149.99,False,Strollers / Lightweight Strollers,Inglesina, 11.2 lb.,,,"29""/18.5""/43"""
163,Maclaren Quest Stroller in Black/Champagne,42327783.0,289.99,False,Strollers / Lightweight Strollers,Maclaren, 14.1 lb.,,aluminum,"31""/18.7""/41.8"""
164,Mountain Buggy Nano Stroller in Navy,42466871.0,249.99,False,Strollers / Lightweight Strollers,Mountain Buggy, 13 pounds,,aluminum,"33""/22""/39"""
165,Kolcraft Cloud 2015 Umbrella Stroller in Green/Black,44438104.0,39.99,False,Strollers / Lightweight Strollers,Kolcraft, 11.4 lb.,,aluminum,"9.5""/10""/42.5"""
166,Chicco Echo Stroller in Dragonfruit,43606214.0,99.99,False,Strollers / Lightweight Strollers,Chicco,17 lb.,,,"33""/19""/42"""
167,Chicco Echo Stroller in Garnet,43606207.0,99.99,False,Strollers / Lightweight Strollers,Chicco,17 lb.,,,"33""/19""/42"""
