ID,Name,Address,City,State,Zipcode,Phone
37,Giorgio's Italian Food & Pizzeria,643 E Calaveras Blvd,Milpitas ,CA,95035.0,(408) 212-7094
38,Giorgio's Italian Food & Pizzeria,1445 Foxworthy Ave,San Jose ,CA,95118.0,(408) 474-0566
39,House Of Genji,1335 N 1st St,San Jose ,CA,95112.0,(408) 883-1427
40,AACHI AAPPAKADAI,1105 W El Camino Real,Sunnyvale ,CA,94087.0,(408) 329-4145
41,Iron Works Barbeque,,,,,(512) 478-4856
42,Frankie Johnnie & Luigi Too!,939 W El Camino Real,Mountain View ,CA,94040.0,(650) 567-5114
43,Round Table Pizza,,,,,
44,Olive Garden Italian Restaurant,,,,,
45,Bay Cafe Restaurant & Banquets,1875 Embarcadero Rd,Palo Alto ,CA,94303.0,(650) 600-3454
46,Cha Cha Cha,1801 Haight St,San Francisco ,CA,94117.0,(415) 386-7670
47,Maldonado's Pizzeria,615 S Rengstorff Ave,Mountain View ,CA,94040.0,(650) 567-4227
48,Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto ,CA,94301.0,(650) 328-6885
49,Kazoo Restaurant,250 Jackson St,San Jose ,CA,95112.0,(408) 288-9611
50,St. John's Bar & Grill,510 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 738-8515
51,Chantilly Restaurant,3001 El Camino Real,Redwood City ,CA,94061.0,(650) 321-4080
52,Round Table Pizza,860 Old San Francisco Rd,Sunnyvale ,CA,94086.0,(408) 245-9000
53,Round Table Pizza,665 S Bernardo Ave,Sunnyvale ,CA,94087.0,(408) 732-6670
54,Round Table Pizza,415 N Mary Ave,Sunnyvale ,CA,94085.0,(408) 733-1365
55,Round Table Pizza,1663 Hollenbeck Ave,Sunnyvale ,CA,94087.0,(408) 245-5905
56,Round Table Pizza,1220 Oakmead Pkwy,Sunnyvale ,CA,94085.0,(408) 970-9000
57,Round Table Pizza,570 N Shoreline Blvd,Mountain View ,CA,94043.0,(650) 961-0361
58,Round Table Pizza,399 1st St,Los Altos ,CA,94022.0,(650) 941-0237
59,World Gourmet Buffet,6010 Stevenson Blvd,Fremont ,CA,94538.0,(510) 323-2765
60,Cascal,400 Castro St,Mountain View ,CA,94041.0,(650) 265-1884
61,Tao Tao Restaurant,175 S Murphy Ave,Sunnyvale ,CA,94086.0,(408) 736-3731
62,Dinner at Buca di Beppo,,,,,
63,Sneha South & North Indian Restaurant,1214 Apollo Way # 404-B,Sunnyvale ,CA,94085.0,(408) 481-0700
64,The Armenian Gourmet,929 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 732-3910
65,Round Table Pizza,415 N Mary Ave,Sunnyvale ,CA,94085.0,(408) 733-1365
66,Round Table Pizza,1220 Oakmead Pkwy,Sunnyvale ,CA,94085.0,(408) 970-9000
67,Tasty Indian Pizza,528 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 738-8761
68,Seto Japanese Cuisine,511 Borregas Ave,Sunnyvale ,CA,94085.0,(408) 735-8280
69,TGI Sushi Sunnyvale,903 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 737-7183
70,Shanghai Restaurant,253 E Maude Ave,Sunnyvale ,CA,94085.0,(408) 245-1342
71,Pho Lovers,253 E Maude Ave,Sunnyvale ,CA,94085.0,(408) 530-8583
72,Old Country Buffet,456 W Maude Ave,Sunnyvale ,CA,94085.0,(408) 720-9394
73,Tryua Sushi SV,415 N Mary Ave,Sunnyvale ,CA,94085.0,(408) 738-0408
74,Yume-Ya,355 N Wolfe Rd Ste 727,Sunnyvale ,CA,94085.0,(408) 530-8156
75,Bombay Feast,769 N Mathilda Ave,Sunnyvale ,CA,94085.0,(408) 245-2276
76,Clarita's Filipino Cuisine,905 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 735-1721
77,Madhuban Indian Cuisine,1180 Miraloma Way Ste M,Sunnyvale ,CA,94085.0,(408) 245-1000
78,Panera Bread,1195 E Arques Ave,Sunnyvale ,CA,94085.0,(408) 736-7984
79,Thai Thai Restaurant,500 Lawrence Expy Ste B,Sunnyvale ,CA,94085.0,(408) 733-2626
80,Luv Pho,500 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 733-8883
81,Chaats & Currys,520 Lawrence Expy Ste 310,Sunnyvale ,CA,94085.0,(408) 746-9192
82,Coco's,1206 Oakmead Pkwy,Sunnyvale ,CA,94085.0,(408) 736-2895
83,Kal's Bar-B-Q,425 N Mathilda Ave,Sunnyvale ,CA,94085.0,(408) 739-5271
84,Tia Juana Mexican Grill,901 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 730-8578
85,Sri Ananda Bhavan,920 E Arques Ave,Sunnyvale ,CA,94085.0,(408) 735-1111
86,Swathi Tiffins,1202 Apollo Way,Sunnyvale ,CA,94085.0,(408) 617-0482
87,El Calbonero Restaurant,911 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 720-1077
88,Hobee's,800 W Ahwanee Ave,Sunnyvale ,CA,94085.0,(408) 524-3580
89,Merit Vegetarian Restaurant,548 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 245-8988
90,Madhuban Indian Cuisine,544 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 735-7448
91,Denny's,814 W Ahwanee Ave,Sunnyvale ,CA,94085.0,(408) 747-1449
92,Sushi Boulevard,903 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 737-7183
93,Ray's Crab Shack,5989 Mowry Ave,Newark ,CA,94560.0,(510) 648-3069
94,Fiorillo's Restaurant Inc.,638 El Camino Real,Santa Clara ,CA,95050.0,(408) 766-7527
95,Fishermen's Grotto,9 Fishermans Wharf,San Francisco ,CA,94133.0,(415) 673-7025
96,Sushi O Sushi Japanese Cuisine,2789 El Camino Real,Santa Clara ,CA,95051.0,(408) 241-1677
97,Giorgio's Italian Food & Pizzeria,643 E Calaveras Blvd,Milpitas ,CA,95035.0,(408) 212-7094
98,Giorgio's Italian Food & Pizzeria,1445 Foxworthy Ave,San Jose ,CA,95118.0,(408) 474-0566
99,House Of Genji,1335 N 1st St,San Jose ,CA,95112.0,(408) 883-1427
100,AACHI AAPPAKADAI,1105 W El Camino Real,Sunnyvale ,CA,94087.0,(408) 329-4145
101,Iron Works Barbeque,,,,,(512) 478-4856
102,Frankie Johnnie & Luigi Too!,939 W El Camino Real,Mountain View ,CA,94040.0,(650) 567-5114
103,Round Table Pizza,,,,,
104,Olive Garden Italian Restaurant,,,,,
105,Bay Cafe Restaurant & Banquets,1875 Embarcadero Rd,Palo Alto ,CA,94303.0,(650) 600-3454
106,Cha Cha Cha,1801 Haight St,San Francisco ,CA,94117.0,(415) 386-7670
107,Maldonado's Pizzeria,615 S Rengstorff Ave,Mountain View ,CA,94040.0,(650) 567-4227
108,Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto ,CA,94301.0,(650) 328-6885
109,Kazoo Restaurant,250 Jackson St,San Jose ,CA,95112.0,(408) 288-9611
110,St. John's Bar & Grill,510 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 738-8515
111,Chantilly Restaurant,3001 El Camino Real,Redwood City ,CA,94061.0,(650) 321-4080
112,Round Table Pizza,860 Old San Francisco Rd,Sunnyvale ,CA,94086.0,(408) 245-9000
113,Round Table Pizza,665 S Bernardo Ave,Sunnyvale ,CA,94087.0,(408) 732-6670
114,Round Table Pizza,415 N Mary Ave,Sunnyvale ,CA,94085.0,(408) 733-1365
115,Round Table Pizza,1663 Hollenbeck Ave,Sunnyvale ,CA,94087.0,(408) 245-5905
116,Round Table Pizza,1220 Oakmead Pkwy,Sunnyvale ,CA,94085.0,(408) 970-9000
117,Round Table Pizza,570 N Shoreline Blvd,Mountain View ,CA,94043.0,(650) 961-0361
118,Round Table Pizza,399 1st St,Los Altos ,CA,94022.0,(650) 941-0237
119,World Gourmet Buffet,6010 Stevenson Blvd,Fremont ,CA,94538.0,(510) 323-2765
120,Cascal,400 Castro St,Mountain View ,CA,94041.0,(650) 265-1884
121,Pho Vy Vietnamese Restaurant,913 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 739-8844
122,Sushi Club,415 N Mary Ave,Sunnyvale ,CA,94085.0,(408) 738-0408
123,Barn Thai Restaurant,921 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 732-3319
124,St. John's Bar & Grill,510 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 738-8515
125,Bibimbowl,415 N Mary Ave,Sunnyvale ,CA,94085.0,(408) 481-9383
126,Falafel Bite,500 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 736-2411
127,asian spice,440N wolfe road,sunnyvale ,CA,94085.0,(650) 739-5799
128,Little India Cafe,415 N Mary Ave,Sunnyvale ,CA,94085.0,(408) 245-6200
129,Sunnyvale Cafe,223 E Maude Ave,Sunnyvale ,CA,94085.0,(408) 530-8191
130,Bagel Street Cafe,346 W Maude Ave,Sunnyvale ,CA,94085.0,(408) 738-1856
131,Myzen Ramen,"520 Lawrence Expressway, Suite 304",Sunnyvale ,CA,94085.0,(408) 245-7779
132,Ruby's Taqueria,821 Borregas Ave,Sunnyvale ,CA,94085.0,(408) 744-0622
133,Happy Cafe,542 Lakeside Dr # 3,Sunnyvale ,CA,94085.0,(408) 738-8297
134,Kori Bbq And wings,311 N Fair Oaks Ave,Sunnyvale ,CA,94085.0,(408) 542-9018
135,Peet's Coffee & Tea,484 N Mathilda Ave,Sunnyvale ,CA,94085.0,(408) 737-1834
136,Gombei Bento,155 E Maude Ave,Sunnyvale ,CA,94085.0,(408) 735-7777
137,Marty's Donuts,350 W Maude Ave,Sunnyvale ,CA,94085.0,(408) 735-0690
138,Off The Stick,927 E Arques Ave,Sunnyvale ,CA,94085.0,(408) 746-9746
139,Mediterranean Cuisine,911 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 685-2269
140,Pizza Depot,919 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 245-7760
141,Speedys Tacos,929 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 685-2791
142,High Tech Burrito,1191 E Arques Ave,Sunnyvale ,CA,94085.0,(408) 737-7337
143,Naivedyam Foods Inc.,1202 Apollo Way,Sunnyvale ,CA,94085.0,(408) 617-0480
144,Fresh U Order Bakery & Cafe,500 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 739-1888
145,Mission City Cafe,510 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 737-2373
146,Bagel Place Cafe,546 Lawrence Expy Ste 1,Sunnyvale ,CA,94085.0,(408) 749-1559
147,Sunrise Restaurant,542 Lakeside Dr # 940,Sunnyvale ,CA,94085.0,(408) 732-7052
148,Beryls Place,1250 Oakmead Pkwy,Sunnyvale ,CA,94085.0,(408) 530-9887
149,Sunny Deli,1250 Oakmead Pkwy,Sunnyvale ,CA,94085.0,(408) 530-9887
150,Bright Storm,1270 Oakmead Pkwy,Sunnyvale ,CA,94085.0,(408) 542-9314
151,Firehouse Grill and Brewery,,Sunnyvale ,CA,94085.0,(408) 329-4062
152,Senor Jalapeno,415 N Mary Ave Ste 117,Sunnyvale ,CA,94085.0,(408) 738-0100
153,Elephant Express,302 N Fair Oaks Ave,Sunnyvale ,CA,94085.0,(408) 774-9090
154,Shaw's Sandwiches,470 N Mathilda Ave,Sunnyvale ,CA,94085.0,(408) 732-1112
155,Little Michoacan Taqueria,305 N Fair Oaks Ave,Sunnyvale ,CA,94085.0,(408) 732-3854
156,Taqueria Latina,195 E Maude Ave,Sunnyvale ,CA,94085.0,(408) 735-7151
157,Vista At Sunnyvale,605 Macara Ave,Sunnyvale ,CA,94085.0,(408) 542-9318
158,Tres Potrillos Taqueria,670 N Fair Oaks Ave,Sunnyvale ,CA,94085.0,(408) 735-8657
159,Daily Donuts & Sandwiches,708 N Fair Oaks Ave,Sunnyvale ,CA,94085.0,(408) 737-8697
160,Better Bento,550 Lakeside Dr # 1,Sunnyvale ,CA,94085.0,(408) 720-8889
161,Badal Indian Cuisine,,Sunnyvale ,CA,94085.0,(408) 245-7600
162,Dish N Dash,736 N Mathilda Ave,Sunnyvale ,CA,94085.0,(408) 530-9200
163,iChaat Cafe,1208 E Arques Ave,Sunnyvale ,CA,94085.0,(408) 245-4242
164,Antojitos Salvadorenos Restaurant,911 E Duane Ave Ste A,Sunnyvale ,CA,94085.0,(408) 720-1463
165,Subway,415 N Mary Ave,Sunnyvale ,CA,94085.0,(408) 720-1774
166,Wendy's,485 N Mathilda Ave,Sunnyvale ,CA,94085.0,(408) 739-2653
167,Subway,927 E Arques Ave Unit A,Sunnyvale ,CA,94085.0,(408) 732-3436
168,Burger King,773 N Mathilda Ave,Sunnyvale ,CA,94085.0,(408) 736-0101
169,Subway,500 Lawrence Expy Suite G,Sunnyvale ,CA,94085.0,(408) 732-1952
170,Togo's Eatery,540 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 735-1102
171,McDonald's,550 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 733-2730
172,KFC,340 W Maude Ave,Sunnyvale ,CA,94085.0,(408) 730-0511
173,Domino's Pizza,615 Caliente Dr,Sunnyvale ,CA,94085.0,(408) 732-3030
174,McDonald's,615 N Mathilda Ave,Sunnyvale ,CA,94085.0,(408) 733-5319
175,Agape Grill,845 Stewart Dr Ste A,Sunnyvale ,CA,94085.0,(408) 739-3354
176,Faultline Brewing Company,1235 Oakmead Pkwy,Sunnyvale ,CA,94085.0,(408) 736-2739
177,Quarter Note,1214 Apollo Way Ste 403,Sunnyvale ,CA,94085.0,(408) 732-2110
178,TL BEER GARDEN (Taverna Lounge),769 N Mathilda Ave,Sunnyvale ,CA,94085.0,(408) 900-8252
179,La Boulanger Inc,305 N Mathilda Ave,Sunnyvale ,CA,94085.0,(408) 774-9000
180,Jamba Juice,415 N Mary Ave Ste 109,Sunnyvale ,CA,94085.0,(408) 737-8377
181,T L Beer Garden,769 N Mathilda Ave,Sunnyvale ,CA,94085.0,(408) 900-8252
182,Daddy Dough Bake Shop,907 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 720-0270
183,Danielle's Cafe and Bake Shop,907 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 962-0606
184,Una Mas,548 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 720-8226
185,Sichuan Gourmet,542 Lakeside Dr,Sunnyvale ,CA,94085.0,(408) 738-8297
186,Rene Rose Island Cuisine,621 Caliente Dr,Sunnyvale ,CA,94085.0,(408) 733-3691
187,408 Peacock,933 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 732-2625
188,Pezzella's Villa Napoli,1025 W El Camino Real,Sunnyvale ,CA,94087.0,(408) 738-2400
189,Tarragon Restaurant,140 S Murphy Ave,Sunnyvale ,CA,94086.0,(408) 737-8003
190,Bay Leaf Restaurant,122 S Sunnyvale Ave,Sunnyvale ,CA,94086.0,(408) 481-9983
191,Chocolate Sushi & Tofu House,595 E El Camino Real,Sunnyvale ,CA,94087.0,(408) 830-0638
192,Tao Tao Restaurant,175 S Murphy Ave,Sunnyvale ,CA,94086.0,(408) 736-3731
193,AACHI AAPPAKADAI,1105 W El Camino Real,Sunnyvale ,CA,94087.0,(408) 329-4145
194,Il Postale,127 W Washington Ave,Sunnyvale ,CA,94086.0,(408) 733-9600
195,The Old Siam,1111 W El Camino Real Ste 137,Sunnyvale ,CA,94087.0,(408) 530-8552
196,Gumba's Italian Restaurant,176 S Murphy Ave,Sunnyvale ,CA,94086.0,(408) 737-8384
197,Turmeric Restaurant,141 S Murphy Ave,Sunnyvale ,CA,94086.0,(408) 617-9100
198,P.F. Chang's,390 W El Camino Real,Sunnyvale ,CA,94087.0,(408) 991-9078
199,Katana Sushi & Sake,411 E El Camino Real,Sunnyvale ,CA,94087.0,(408) 746-3000
200,Thai Basil,101 S Murphy Ave,Sunnyvale ,CA,94086.0,(408) 773-1098
201,The Cheese Steak Shop,832 W El Camino Real,Sunnyvale ,CA,94087.0,(408) 530-8159
202,Pasta Pomodoro,300 W El Camino Real,Sunnyvale ,CA,94087.0,(408) 789-0037
203,Arka Indian Restaurant,725 S Fair Oaks Ave,Sunnyvale ,CA,94086.0,(408) 733-2752
204,Inchin's Bamboo Garden,151 W Washington Ave,Sunnyvale ,CA,94086.0,(408) 481-9350
205,King Wah Chinese Restaurant,219 E Washington Ave,Sunnyvale ,CA,94086.0,(408) 245-2647
206,Armadillo Willy's,161 E El Camino Real,Sunnyvale ,CA,94087.0,(408) 245-5300
207,Thai Spoons,909 W El Camino Real,Sunnyvale ,CA,94087.0,(408) 739-1798
208,Ramen Seas,173 S Murphy Ave,Sunnyvale ,CA,94086.0,(408) 481-0900
209,Smashburger,328 W El Camino Real,Sunnyvale ,CA,94087.0,(408) 215-1730
210,Boudin Bakery,701 Sunnyvale Saratoga Rd,Sunnyvale ,CA,94087.0,(408) 419-0777
211,Tao Tao Restaurant,175 S Murphy Ave,Sunnyvale ,CA,94086.0,(408) 736-3731
212,Kirk's Steakburgers,2388 S Bascom Ave,Campbell ,CA,95008.0,(408) 371-3565
213,Dinner at Buca di Beppo,,,,,
214,Sara's Kitchen,1595 Franklin St,Santa Clara ,CA,95050.0,(408) 247-7272
215,Korea House,2340 El Camino Real,Santa Clara ,CA,95050.0,(408) 249-0808
216,Neto's Market And Grill,1313 Franklin St,Santa Clara ,CA,95050.0,(408) 296-0818
217,Ninety-Nine Restaurant and Pub,2325 El Camino Real Ste 101,Santa Clara ,CA,95050.0,(408) 241-9658
218,House Of Soul Food,1290 Coleman Ave,Santa Clara ,CA,95050.0,(408) 227-7685
219,King Chopstick,2374 El Camino Real,Santa Clara ,CA,95050.0,(408) 243-1868
220,Golden Mushroom Pizzeria,202 Saratoga Ave,Santa Clara ,CA,95050.0,(408) 247-9671
221,House of Egg Roll,1686 Lafayette St,Santa Clara ,CA,95050.0,(408) 246-6849
222,Mio Vicino,1290 Benton St,Santa Clara ,CA,95050.0,(408) 241-9414
223,Fiorillo's Restaurant Inc.,638 El Camino Real,Santa Clara ,CA,95050.0,(408) 766-7527
224,Round Table Pizza,2615 The Alameda,Santa Clara ,CA,95050.0,(408) 248-9123
225,Thai Pepper,1045 Monroe St,Santa Clara ,CA,95050.0,(408) 984-1931
226,Mayuri Indian Cuisine,2230 El Camino Real,Santa Clara ,CA,95050.0,(408) 248-9747
227,Andy's BBQ,2367 El Camino Real,Santa Clara ,CA,95050.0,(408) 249-8158
228,Fiorillos Restaurant Inc.,638 El Camino Real,Santa Clara ,CA,95050.0,(408) 984-0414
229,Dusita Thai Cuisine,2325 El Camino Real Ste 104,Santa Clara ,CA,95050.0,(408) 247-5199
230,The Cheesecake Factory,3041 Stevens Creek Blvd,Santa Clara ,CA,95050.0,(408) 246-0092
231,Stuft Pizza,700 Bellomy St,Santa Clara ,CA,95050.0,(408) 296-1600
232,for Seasons Pho,1045 Monroe St,Santa Clara ,CA,95050.0,(408) 557-9923
233,Justin's,1285 Homestead Rd,Santa Clara ,CA,95050.0,(408) 215-9332
234,Panera Bread,2002 El Camino Real,Santa Clara ,CA,95050.0,(408) 615-1557
235,White Elephant Gourmet,930 El Camino Real,Santa Clara ,CA,95050.0,(408) 987-9373
236,Ahoy's Bar-B-Que,2367 El Camino Real,Santa Clara ,CA,95050.0,(408) 378-2838
237,Ed's Teriyaki,1992 Lafayette St,Santa Clara ,CA,95050.0,(408) 988-1411
238,Membei Restaurant,1349 Coleman Ave,Santa Clara ,CA,95050.0,(408) 588-1557
239,D & T Foods,2026 Martin Ave,Santa Clara ,CA,95050.0,(408) 988-8892
240,Boudin Bakery,2855 Stevens Creek Blvd Ste 2451,Santa Clara ,CA,95050.0,(408) 249-4101
241,Old Port Lobster Shack,2855 Stevens Creek Blvd,Santa Clara ,CA,95050.0,(408) 248-2455
242,Tava Indian Kitchen,2855 Stevens Creek Blvd,Santa Clara ,CA,95050.0,(408) 246-8282
243,Rack & Roll BBQ Shack,2855 Stevens Creek Blvd,Santa Clara ,CA,95050.0,(408) 244-1124
244,Ray's Crab Shack,5989 Mowry Ave,Newark ,CA,94560.0,(510) 648-3069
245,Fiorillo's Restaurant Inc.,638 El Camino Real,Santa Clara ,CA,95050.0,(408) 766-7527
246,Sushi O Sushi Japanese Cuisine,2789 El Camino Real,Santa Clara ,CA,95051.0,(408) 241-1677
247,Giorgio's Italian Food & Pizzeria,1445 Foxworthy Ave,San Jose ,CA,95118.0,(408) 474-0566
248,Giorgio's Italian Food & Pizzeria,643 E Calaveras Blvd,Milpitas ,CA,95035.0,(408) 212-7094
249,House Of Genji,1335 N 1st St,San Jose ,CA,95112.0,(408) 883-1427
250,AACHI AAPPAKADAI,1105 W El Camino Real,Sunnyvale ,CA,94087.0,(408) 329-4145
251,Hannegan's C B Inc.,208 Bachman Ave,Los Gatos ,CA,95030.0,(408) 560-2397
252,Loft Bar & Bistro,90 S 2nd St,San Jose ,CA,95113.0,(408) 291-0677
253,Iron Works Barbeque,,,,,(512) 478-4856
254,Frankie Johnnie & Luigi Too!,939 W El Camino Real,Mountain View ,CA,94040.0,(650) 567-5114
255,Round Table Pizza,,,,,
256,Olive Garden Italian Restaurant,,,,,
257,Kazoo Restaurant,250 Jackson St,San Jose ,CA,95112.0,(408) 288-9611
258,Duke Of Edinburgh,10801 N Wolfe Rd,Cupertino ,CA,95014.0,(408) 446-3853
259,Angelo's Italian Restaurant & Pizza,436 Blossom Hill Rd,San Jose ,CA,95123.0,(408) 227-5502
260,Sam's BBQ Diner,3309 San Felipe Rd,San Jose ,CA,95135.0,(408) 270-1738
261,Khanhs Restaurant,618 Town And Country Vlg,San Jose ,CA,95128.0,(408) 241-4940
262,Rancho Canada Golf Club,4860 Carmel Valley Rd,Carmel ,CA,93923.0,(831) 624-0111
263,Round Table Pizza,2615 The Alameda,Santa Clara ,CA,95050.0,(408) 248-9123
264,Round Table Pizza,3253 Stevens Creek Blvd,San Jose ,CA,95117.0,(408) 296-3040
265,Round Table Pizza,4400 Stevens Creek Blvd,San Jose ,CA,95129.0,(408) 983-0900
266,Tao Tao Restaurant,175 S Murphy Ave,Sunnyvale ,CA,94086.0,(408) 736-3731
267,Kirk's Steakburgers,2388 S Bascom Ave,Campbell ,CA,95008.0,(408) 371-3565
268,Dinner at Buca di Beppo,,,,,
269,Sara's Kitchen,1595 Franklin St,Santa Clara ,CA,95050.0,(408) 247-7272
270,Korea House,2340 El Camino Real,Santa Clara ,CA,95050.0,(408) 249-0808
271,Neto's Market And Grill,1313 Franklin St,Santa Clara ,CA,95050.0,(408) 296-0818
272,Ninety-Nine Restaurant and Pub,2325 El Camino Real Ste 101,Santa Clara ,CA,95050.0,(408) 241-9658
273,House Of Soul Food,1290 Coleman Ave,Santa Clara ,CA,95050.0,(408) 227-7685
274,King Chopstick,2374 El Camino Real,Santa Clara ,CA,95050.0,(408) 243-1868
275,Golden Mushroom Pizzeria,202 Saratoga Ave,Santa Clara ,CA,95050.0,(408) 247-9671
276,House of Egg Roll,1686 Lafayette St,Santa Clara ,CA,95050.0,(408) 246-6849
277,Mio Vicino,1290 Benton St,Santa Clara ,CA,95050.0,(408) 241-9414
278,Fiorillo's Restaurant Inc.,638 El Camino Real,Santa Clara ,CA,95050.0,(408) 766-7527
279,Round Table Pizza,2615 The Alameda,Santa Clara ,CA,95050.0,(408) 248-9123
280,Thai Pepper,1045 Monroe St,Santa Clara ,CA,95050.0,(408) 984-1931
281,Mayuri Indian Cuisine,2230 El Camino Real,Santa Clara ,CA,95050.0,(408) 248-9747
282,Andy's BBQ,2367 El Camino Real,Santa Clara ,CA,95050.0,(408) 249-8158
283,Fiorillos Restaurant Inc.,638 El Camino Real,Santa Clara ,CA,95050.0,(408) 984-0414
284,Dusita Thai Cuisine,2325 El Camino Real Ste 104,Santa Clara ,CA,95050.0,(408) 247-5199
285,The Cheesecake Factory,3041 Stevens Creek Blvd,Santa Clara ,CA,95050.0,(408) 246-0092
286,Stuft Pizza,700 Bellomy St,Santa Clara ,CA,95050.0,(408) 296-1600
287,for Seasons Pho,1045 Monroe St,Santa Clara ,CA,95050.0,(408) 557-9923
288,Justin's,1285 Homestead Rd,Santa Clara ,CA,95050.0,(408) 215-9332
