ID,Title,Authors,ISBN13,Pages,Rating,Ratings_Count,Publisher,Publish_Date
45,A Fart in a Colander: The Autobiography,Roy Hudd,9781843174943,320,3.81,21,Michael O'Mara,September 1st 2010
46,Gray Matters: The Autobiography,Andy Gray,9780330431996,320,2.62,16,Pan Macmillan,June 1st 2005
47,Service of Ladies: An Autobiography,Ulrich von Liechtenstein,9781843830955,189,3.85,13,Boydell Press,October 1st 2004
48,"Passion of Youth: An Autobiography, 1897-1922","Wilhelm Reich, Mary Boyd Higgins",9780374229955,177,4.06,18,Farrar Straus Giroux,August 1st 1988
49,The Years Of The Healing Knife: A Surgeon's Autobiography,George Sava,9780718303341,0,4.54,13,,
50,"A Mortal Flower (China : Autobiography, History, Book 2)",Han Suyin,9780586037386,368,4.06,36,Triad Books,July 1st 1972
51,Halas by Halas: The Autobiography of George Halas,George Halas,9780070255494,351,3.73,26,McGraw-Hill,October 1st 1979
52,Killer: Autobiography of a Mafia Hit Man,"Joey, David Fisher",9780671806392,0,3.3,27,Pocket Books,
53,King of Fashion: The Autobiography of Paul Poiret,"Paul Poiret, Stephen Haden Guest",9781851775644,216,3.64,11,Victoria & Albert Museum,May 1st 2009
54,"The Rebel Girl: An Autobiography, My First Life 1906-26",Elizabeth Gurley Flynn,9780717803682,368,4.14,57,International Publishers (NYC),December 1st 1973
55,Everybody's Autobiography,Gertrude Stein,9781878972088,328,3.99,211,Exact Change,February 1st 2004
56,Learning to Listen: The Jazz Journey of Gary Burton: An Autobiography,Gary Burton,9780876391402,384,4.19,52,Berklee Press Publications,August 1st 2013
57,Jackdaw Cake: An Autobiography,Norman Lewis,9780140087277,224,4.52,21,Penguin Books,July 7th 1987
58,The Autobiography of the Original Celebrity Chef,Harland Sanders,9780985543907,184,4.62,8,KFC Corporation,2012
59,The Autobiography of an Uneducated Man,Robert Maynard Hutchins,,0,4.0,1,,
60,The Space Within The Heart: An Autobiography,Aubrey Menen,9780140133721,209,4.55,11,,
61,An Autobiography of George Washington,"Edith Ellis, Caroline Myss",9781401911829,384,4.21,14,Hay House,June 1st 2006
62,The Singer and the Song: An Autobiography of the Spirit,Miriam Therese Winter,9781570752797,192,4.0,17,Orbis Books,September 1st 1999
63,In My Own Words: The Autobiography,Paul Galvin,,274,3.91,22,Transworld Digital,October 30th 2014
64,A Desperate Passion: An Autobiography,Helen Broinowski Caldicott,9780393316803,384,3.91,11,W. W. Norton & Company,November 17th 1997
65,Autobiography of Envelopes,Sarah Riggs,9781936194100,160,3.14,7,Burning Deck,September 15th 2012
66,On The Origin of Species Illustrated and Bundled with the Autobiography,Charles Darwin,,511,3.95,55247,,
67,SAS: The Autobiography,Jon E. Lewis,9781849017206,320,3.17,6,,
68,Autobiography,Branislav Nushich,,300,4.7,10,,
69,Autobiography,Diana Cooper,9780571247578,784,3.5,2,Carrol & Graf,1985
70,Autobiography,Margaret  Rutherford,9780491003797,0,3.67,3,W. H. Allen,
71,The Magic Lantern: An Autobiography,"Ingmar Bergman, Joan Tate",9780140128505,336,4.06,1147,Penguin Books,November 1st 1989
72,"In the Beginning, Woman Was the Sun: The Autobiography of a Japanese Feminist","Hiratsuka Raicho, Teruko Craig",9780231138130,335,3.6,10,Columbia University Press,March 5th 2010
73,Barbara: The Unconscious Autobiography of a Child Genius,"Barbara Newhall Follett, Helen Follett",9780807809891,146,3.42,12,University of North Carolina Press,1966
74,Journey Into Childhood: The Autobiography of Lois Lenski,Lois Lenski,9780397311774,208,3.78,9,Lippincott Williams & Wilkins,January 28th 1972
75,My Career Goes Bung - Purporting to be the Autobiography Of Sybylla Penelope Melvyn,Miles Franklin,9780207142208,0,3.35,68,Angus & Robertson,June 15th 1983
76,Look Back in Hunger: The Autobiography,Jo Brand,9780755355259,340,3.62,933,Headline Review,April 1st 2010
77,Sir Richard Branson: The Autobiography,Richard Branson,9780582512245,112,4.06,442,Longman Cheshire Pty Ltd,December 1st 2002
78,Sex And Shopping: the Confessions of a Nice Jewish Girl: An Autobiography,Judith Krantz,9780312273286,352,3.55,31,St Martins Pr,September 30th 2007
79,The Face Before I Was Born: A Spiritual Autobiography,"Llewellyn Vaughan-Lee, Irina Tweedie",9780963457493,330,4.52,25,The Golden Sufi Center,July 1st 1997
80,I Never Had It Made: An Autobiography,Jackie Robinson,,320,3.83,766,Ecco,March 19th 2013
81,In My Own Fashion: An Autobiography,Oleg Cassini,9780671626402,379,3.08,13,Simon & Schuster,August 1st 1987
82,The Politics of Persuasion (an autobiography),Guido de Marco,,339,4.39,18,Allied publications,
83,Rebel Daughter : An Autobiography,Doris Anderson,9781550139303,288,4.21,14,Key Porter Books,May 17th 2002
84,In the World of Sumer: An Autobiography,Samuel Noah Kramer,9780814321218,253,4.71,14,Wayne State University Press,December 31st 1988
85,Rude Assignment: An Intellectual Autobiography,Wyndham Lewis,9780876856031,300,4.0,11,Black Sparrow Press,December 1st 1984
86,The Norton Book of American Autobiography,"Jay Parini, Gore Vidal",9780393046779,720,4.12,8,W. W. Norton & Company,March 17th 1999
87,Formula 1: The Autobiography,Gerald Donaldson,9780297843085,360,4.36,14,Weidenfeld & Nicolson,May 1st 2003
88,Dandy in the Underworld: An Unauthorized Autobiography,Sebastian Horsley,9780061461255,356,3.5,593,Harper Perennial,March 11th 2008
89,The Road of Excess: A Psychedelic Autobiography,Brian Barritt,9780953274109,315,4.62,8,PSI Publishing,November 1st 1998
90,The Autobiography of Ibn Khaldun,Ibn Khaldun,9781909669543,174,4.67,3,Jiahu Books,October 24th 2013
91,Dawn: An Autobiography Of Early Youth,Theodore Dreiser,9781574230734,0,4.12,8,Black Sparrow Press,September 1st 1998
92,One Direction: Autobiography,Direction One,9780007577323,352,4.29,7,Not Avail,September 25th 2014
93,Twin Tracks: The Autobiography,Roger Bannister,9781849546867,384,3.79,14,Biteback,April 17th 2014
94,Emergence: A Transsexual Autobiography,Mario  Martino,9780517529522,0,3.6,10,Crown Publishing Group (NY),June 1st 1977
95,Frankie: The Autobiography of Frankie Dettori,Frankie Dettori,9780007176878,448,3.38,13,Willow,May 3rd 2005
96,Far Memory (Joan Grant Autobiography),Joan Marshall Grant,9780898041415,0,4.3,23,Ariel Press,June 1st 2002
97,If everyone cared: Autobiography of Margaret Tucker,Margaret Tucker,,205,4.33,6,Ure Smith,1978
98,The Burden Is Light: The Autobiography of a Transformed Pagan Who Took God at His Word,Eugenia Price,9780385276184,174,4.13,67,Dial Press,March 1st 1982
99,Waylon: An Autobiography,"Waylon Jennings, Lenny Kaye",9780446518659,418,4.15,349,Warner Books,September 1st 1996
100,Fire in the Rain...Singer in the Storm: An Autobiography,"Holly Near, Derk Richardson",9780688109646,288,3.78,23,Quill,October 28th 1991
101,Spitfire : The Autobiography,Jon E. Lewis,9781849013925,328,3.83,6,Robinson Publishing,June 24th 2010
102,Cody - The Autobiography,"Brian Cody, Martin Breheny",9780956359803,258,2.75,12,Irish Sports Publishing,September 28th 2009
103,A Dance Autobiography,Natalia Makarova,9780394501413,366,4.2,5,Knopf,November 12th 1979
104,Theo: An Autobiography,Theodore Bikel,9780299182847,480,4.0,5,University of Wisconsin Press,September 5th 2002
105,The Autobiography of Pat Robertson: Shout It from the Housetops!,"Pat Robertson, Jamie Buckingham",9780882700977,369,3.22,41,Bridge-Logos,April 1st 1987
106,What A Life!: An Autobiography,George Morrow,9780002177962,0,3.54,13,,
107,Seize The Day: My Autobiography,Tanni Grey-Thompson,9780340819715,251,3.89,19,Hodder & Stoughton,October 2001
108,Twenty-Five - An Autobiography,Beverley Nichols,9781406794472,256,3.45,11,Pomona Press,January 1st 2006
109,BILL BRUFORD THE AUTOBIOGRAPHY,Bill Bruford,,353,4.11,27,Jawbone,November 1st 2011
110,The Autobiography of Andrew Carnegie,Andrew Carnegie,,0,3.8,368,Halcyon Press Ltd.,October 18th 2010
111,Unfinished Agenda: An Updated Autobiography,Lesslie Newbigin,9781606088050,290,3.71,14,Wipf & Stock Publishers,June 1st 2009
112,Autobiography: Essays Theoretical and Critical,James Olney,9780691100807,376,3.78,9,Princeton University Press,1980
113,Autobiography of St. Teresa of Avila,Teresa of Ávila,9780486475981,352,4.11,964,Dover Publications,July 21st 2010
114,The Life of Teresa of Jesus: The Autobiography of Teresa of Avila,E. Allison Peers,9780385011099,464,4.32,19,Image,October 15th 1991
115,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1","Mark Twain, Harriet E. Smith, Grover Gardner",9781441778406,0,4.09,46,Blackstone Audiobooks,November 15th 2010
116,They Shall Not Pass: The Autobiography of La Pasionaria,Dolores Ibárruri,9780717804689,360,4.11,9,International Publishers,June 1st 1976
117,The Autobiography of Charles G. Finney: The Life Story of America's Great Evangelist-In His Own Words,"Charles Grandison Finney, Helen Wessel",9780764201561,230,3.59,131,Bethany House Publishers,May 1st 2006
118,Hell's Angel: The Autobiography Of Sonny Barger,"Ralph Barger, Keith Zimmerman, Kent Zimmerman",,288,3.65,1843,,
119,Solomon Maimon: An Autobiography,"Salomon Maimon, John Clark Murray",9781178075670,352,3.64,11,Nabu Press,August 30th 2010
120,Metaphors of Self: The Meaning of Autobiography,James Olney,9780691062211,360,3.8,5,Princeton University Press,July 21st 1972
121,In Me Own Words: The Autobiography of Bigfoot (Bigfoot #1),Graham Roumieu,9780916397845,44,4.2,1042,Manic D Pres,March 1st 2003
122,Benjamin Franklin: His Autobiography.,Benjamin Franklin,9781275666788,568,3.44,9,Gale Ecc,February 1st 2012
123,The Best that I Can Be: An Autobiography,Rafer Johnson,9780385487610,304,4.33,9,WaterBrook Press,August 17th 1999
124,The Tribal World of Verrier Elwin: An Autobiography,Verrier Elwin,9780195623147,374,3.75,8,Oxford University Pres,May 17th 1990
125,Blues of a Lifetime: The Autobiography of Cornell Woolrich,"Cornell Woolrich, Mark T. Bassett",9780879725358,168,4.2,10,Popular Press 1,June 15th 1991
126,"Autobiography of Mark Twain: The Authentic, Original Version",Mark Twain,,202,4.37,19,,
127,Can You Tell What It Is Yet?: My Autobiography,Rolf Harris,9780593047422,389,3.84,44,Bantam,2001
128,Steps In Time: An Autobiography,Fred Astaire,9780809591046,0,3.95,421,,
129,Kinski Uncut: The Autobiography of Klaus Kinski,Klaus Kinski,9780747530992,336,4.09,520,Bloomsbury Publishing PLC,July 1st 1997
130,Rome: The Autobiography: The rise and fall of the Roman empire by those who saw it.,Jon E. Lewis,9781849010832,544,3.62,26,Robinson Publishing,January 28th 2010
131,The Autobiography of St. Teresa of Avila Including the Relations: The Life of St. Teresa of Jesus,"David       Lewis, Benedict Zimmerman",9780895556035,516,4.33,58,Tan Books,September 1st 1997
132,Through Thick and Thin: My Autobiography,Gok Wan,9780091938390,368,3.97,1002,Ebury Press,October 14th 2010
133,Viper Pilot: The Autobiography of One of America's Most Decorated F-16 Combat Pilots,Dan Hampton,9780062130341,0,4.0,812,William Morrow & Company,September 1st 2012
134,My Autobiography,Will Carling,9780340696583,320,3.38,8,Hodder & Stoughton Ltd,October 1st 1998
135,Keith: An autobiography,Elmer Keith,9780876911372,381,4.57,7,Winchester Press,January 28th 1974
136,Aled: The Autobiography,Aled  Jones,9781852272500,268,2.78,9,Virgin Books,March 3rd 2005
137,A Bestiary: An Autobiography,Aidan Higgins,9781564783578,672,3.0,1,Dalkey Archive Press,July 2nd 2004
138,Rush: The Autobiography,Ian Rush,9780091928704,416,3.0,8,Ebury Press,September 16th 2008
139,The Autobiography and Sex Life of Andy Warhol,"John Wilcock, Christopher Trela, Harry Shunk",9780970612618,256,3.5,8,Trela Media,May 31st 2010
140,XS All Areas: The Status Quo Autobiography,"Francis Rossi, Mick Wall, Rick Parfitt",9780330419628,400,4.12,41,Pan Macmillan,September 1st 2005
141,Safe Hands: My Autobiography,David Seaman,9780752831831,256,3.07,15,Orion,September 22nd 2000
142,Eye to I: The Autobiography of a Photographer,"Erwin Blumenfeld, Mike Mitchell, Brian Murdoch",9780500019078,384,3.8,5,Thames & Hudson Ltd,June 14th 1999
143,Elisabeth Sladen: The Autobiography,"Elisabeth Sladen, David Tennant",9781845134884,346,4.41,394,Aurum Press Ltd,December 2nd 2011
144,Underground (Notes Toward an Autobiography),Patrick Lawler,9781886976276,76,4.56,16,Many Mountains Moving,December 6th 2011
145,Brian Moore: The Autobiography,"Brian  Moore, Stephen Jones",9781852252342,356,3.42,24,Not Avail,January 1st 1995
146,Autobiography of Charles Finney,Charles Grandison Finney,,402,4.18,11,,
147,The Little Bastard: Autobiography of a Sociopath,Leah Laraine Byron,9781605639451,224,3.5,4,America Star Books,October 6th 2008
148,Accidentally on Purpose: An Autobiography,Michael  York,9780671689407,432,4.0,11,Simon & Schuster,December 31st 1991
149,Time and Space: A Poetic Autobiography,"Juan Ramón Jiménez, Antonio de Nicolas",9780595002627,204,3.78,9,iUniverse,July 1st 2000
150,Max Schmeling: An Autobiography,Max Schmeling,9781566251082,313,3.93,14,Taylor Trade Publishing,August 31st 1994
151,I Know Nothing: The Autobiography,Andrew Sachs,9781849546362,317,3.57,14,The Robson Press,February 20th 2014
152,The Autobiography of My Mother,Rosellen Brown,9780345287380,276,4.44,9,Ballantine Books,July 12th 1981
153,Dick Johnson Autobiography,Dick Johnson,9781742759777,432,4.25,12,Random House Australia,August 1st 2013
154,Autobiography of Parley P. Pratt (Revised and Enhanced),"Parley P. Pratt, Maurine Jensen Proctor, Scot Facer Proctor",9781573458627,643,4.35,1585,Deseret Book Co,March 28th 2000
155,Terry Venables Autobiography,Terry Venables,9781471129940,320,3.17,12,Simon & Schuster UK,May 22nd 2014
156,Autobiography,"Yukichi Fukuzawa, E. Kiyooka",,432,4.75,4,Schocken Books Inc,July 17th 1972
157,Autobiography,William Rees-Mogg,9780002571838,352,3.67,3,HarperCollins Publishers Ltd,August 1st 2011
158,The Autobiography,Betty Boothroyd,9780099427049,434,5.0,2,Arrow Books Ltd,October 1st 2001
159,Actor/Doctor: An Autobiography--Part II: Real Doctor Reel Actor,Milt Kogan,9781499655490,360,4.0,4,Createspace,September 1st 2014
160,Autobiography of Thomas Jefferson & the Jefferson Bible: The Life and Morals of Jesus of Nazareth,Thomas Jefferson,9780979336317,216,3.88,1282,Frederick Ellis,June 1st 2007
161,The Autobiography of W.E.B. Du Bois: A Soliloquy on Viewing My Life from the Last Decade of Its First Century,"W.E.B. Du Bois, Herbert Aptheker",9780717802340,448,4.26,77,International Publishers,December 1st 1968
162,Grace Abounding: With Other Spiritual Autobiographies (Oxford English Texts),"John Bunyan, John Stachniewski, Anita Pacheco",9780199554980,279,4.07,1162,Oxford University Pres,December 1st 2008
163,"England: The Autobiography: 2,000 Years of English History by Those Who Saw It Happen",John Lewis-Stempel,9780141019956,450,4.12,40,Penguin Group(CA),July 6th 2006
164,"Mark Twain's Burlesque Autobiography; and, First Romance",Mark Twain,,46,2.97,35,bibliolife,2009
165,Deke!: An Autobiography,"Donald K. Slayton, Michael Cassutt",9780312859183,352,3.89,273,Forge Books,June 15th 1995
166,The Third Man of the Double Helix: The Autobiography of Maurice Wilkins,Maurice Wilkins,9780192806673,256,3.68,22,Oxford University Pres,December 1st 2005
167,Holding on to the Air: An Autobiography,"Suzanne Farrell, Toni Bentley",9780671682224,352,4.05,355,Summit Books,September 1st 1990
168,Rebel With a Cause: An Autobiography,"Franklin Graham, Cecil Murphey",9780785279150,304,4.06,877,Thomas Nelson Inc,November 1st 1995
169,Many Voices: The Autobiography Of A Medium,Eileen J. Garrett,9780049200210,254,3.17,6,,
170,Autobiography of Roy Cohn,Sidney Zion,9780312914028,0,3.57,14,St. Martin's Press,October 15th 1988
171,No Other Choice: An Autobiography,George Blake,9780671741556,286,3.81,16,Simon & Schuster,January 1st 1990
172,No Life of My Own: An Autobiography,Frank Chikane,9781608992874,132,3.4,5,Wipf & Stock Publishers,January 1st 2010
173,Charlie's Victory: An Autobiography,"Charlie Wedemeyer, Gregg Lewis",9780310577102,299,4.33,9,Zondervan Publishing Company,March 1st 1993
174,The Power: My Autobiography,Sid Waddell,9780007168224,387,3.47,15,McGraw-Hill/Osborne Media,January 5th 2004
175,The Autobiography of Elder Helvecio Martins,Helvecio Martins,9781562362188,131,4.53,15,Aspen Books,October 1st 1994
176,An Autobiography: The Story of My Experiments with Truth,Mahatma Gandhi,,640,4.07,24319,Navajivan Publishing House (Ahmedabad),1948
177,Kapil: The Autobiography Of Kapil Dev,Kapil Dev,9780283994845,0,3.46,13,,
178,Not Being God: A Collaborative Autobiography,"Gianni Vattimo, William McCuaig, Piergiorgio Paterlini",9780231147217,179,4.0,14,Columbia University Press,September 17th 2010
179,To Talk of Many Things: An Autobiography,Kathleen Ollerenshaw,9780719069871,208,4.0,2,Manchester University Press,October 29th 2004
180,Life's a Scream: Autobiography of Ingrid Pitt,Ingrid Pitt,9780434007622,320,3.94,17,William Heinemann,August 2nd 1999
181,Autobiography of So-And-So: Poems in Prose,Maurice Kilwein Guevara,9780932826169,77,4.05,19,New Issues Press,January 1st 2001
182,The Crafty Cockney: Eric Bristow: The Autobiography,Eric Bristow,9781846055522,344,3.61,23,Random House UK,December 1st 2008
183,Bradley Wiggins: My Time: An Autobiography,Bradley Wiggins,9780224092142,352,3.59,794,Yellow Jersey,May 23rd 2013
184,A Peculiar Treasure: Autobiography (American Biography),Edna Ferber,9780781281294,383,4.07,29,Reprint Services Corp,October 28th 1991
185,"Who Am I?: An Autobiography of Emotion, Mind, and Spirit",Yi-Fu Tuan,9780299166601,177,4.0,17,University of Wisconsin Press,October 29th 1999
186,"The Essential Tawfiq al-Hakim: Plays, Fiction, Autobiography","توفيق الحكيم, Denys Johnson-Davies, توفيق الحكيم",9789774161513,233,3.82,11,American University in Cairo Press,June 1st 2008
187,Autobiography,Helmut Newton,9780385508070,320,4.01,143,Nan A. Talese,September 16th 2003
188,Whatever Happened to Baby Peggy?: The Autobiography of Hollywood's Pioneer Child Star,Diana Serra Cary,9780312147600,347,4.23,44,"St. Martin's Press          ""]",October 1st 1996
189,"Last Train to Alcatraz: The Autobiography of Leon (Whitey) Thompson, Former Alcatraz Inmate","Leon (Whitey) Thompson, Helen Thompson",9781299045736,332,3.81,62,Leon W. Thompson,1998
190,How to Talk Dirty and Influence People: An Autobiography,Lenny Bruce,,188,4.02,1254,HMH Publishing,1965
191,Autobiography of a Murderer,Hugh Collins,9780333677971,201,4.0,8,MacMillan,January 1st 1997
192,Dazzler The Autobiography,"Darren Gough, David Norrie",9780718144685,256,3.0,8,Michael Joseph,June 5th 2001
193,Aristide: An Autobiography,"Jean-Bertrand Aristide, Christophe Wargny",9780883448458,205,4.0,2,Orbis Books,February 1st 1993
194,Man: An Autobiography,George R. Stewart,,310,3.86,7,Random House of Canada Limited,1946
195,Clapton: The Autobiography,Eric Clapton,,0,3.14,7,BROADWAY BOOKS,
196,The Autobiography of Surrealism,Marcel Jean,9780670142354,472,4.2,10,Viking Adult,March 31st 1980
197,Memories: An Autobiography,Mem Fox,9781863740258,17,3.5,2,Martin International,December 31st 1992
198,Open: An Autobiography,Andre Agassi,9780307388407,400,4.13,41638,Vintage,August 10th 2010
199,Here and Now!: The Autobiography of Pat Martino,"Pat Martino, Bill Milkowski",9781617130274,192,4.08,24,Backbeat Books,September 1st 2011
200,Here and Now!: The Autobiography of Pat Martino,"Pat Martino, Bill Milkowski",9781617130274,192,4.08,24,Backbeat Books,September 1st 2011
201,From The Mundane To The Magnificent: A Volume Of Autobiography,Vera Stanley Alder,9780877285045,0,5.0,7,,
202,African Rhythms: The Autobiography of Randy Weston (a John Hope Franklin Center Book),"Randy Weston, Willard Jenkins",9780822347842,352,4.08,12,Duke University Press Books,October 5th 2010
203,Dahlia's Iris: Secret Autobiography and Fiction,Leslie Scalapino,9781573661119,230,4.06,16,Fiction Collective 2,October 1st 2003
204,On the Bus with Joanna Cole: A Creative Autobiography,"Joanna Cole, Wendy Saul",9780435081317,56,3.91,11,Heinemann Educational Books,May 6th 1996
205,The Autobiography of Abraham Lincoln (Classic Reprint),Abraham Lincoln,,86,3.8,5,Forgotten Books,June 26th 2012
206,The Autobiography of William Sanders Scarborough: An American Journey from Slavery to Scholarship (African American Life),"William Sanders Scarborough, Michele Valerie Ronnick, Henry Louis Gates Jr.",9780814332245,448,4.0,2,Wayne State University Press,December 6th 2004
207,Tears For My City: An Autobiography of a Detroit White Boy,Dean Dimitrieski,9781618630292,272,3.78,23,Bookstand Publishing,November 2nd 2011
208,The Autobiography of Upton Sinclair,Upton Sinclair,,342,3.43,7,Harcour,1962
209,Blessed: The Autobiography,George Best,9780091884703,384,3.71,336,Ebury Press,August 1st 2002
210,John Barnes: The Autobiography,"John           Barnes, Henry Winter",9780747221944,320,2.75,8,Headline,1999
211,Three Phases of Eve: An Autobiography,Eve Arden,9780312802677,290,3.35,17,"St. Martin's Press          ""]",May 1st 1985
212,Tumble Turns: An Autobiography,Shane Gould,9780732267612,0,3.55,11,,
213,The Unauthorized Autobiography of Ethan Jacobs,Dan Dillard,,156,3.8,10,,
214,Mourka: The Autobiography of a Cat,Tanaquil Le Clercq,,0,4.25,4,Stein and Day,1964
215,Soft Weapons: Autobiography in Transit,Gillian Whitlock,9780226895260,216,3.92,12,University Of Chicago Press,December 30th 2006
216,Fading into the Limelight: The Autobiography,Peter Sallis,9780752881669,256,3.73,15,Orion Publishing,November 1st 2007
217,The Bull: My Autobiography,John Hayes,9781471100949,320,3.4,15,Simon & Schuster UK,September 13th 2012
218,Eric Gill: Autobiography,Eric Gill,9780853316138,283,3.2,5,Ben Uri Gallery & Museum,January 1st 1993
219,The Time of My Life: An Autobiography,Willard Van Orman Quine,9780262670043,384,2.88,8,Bradford Book,May 12th 2000
220,Long Walk to Freedom: The Autobiography of Nelson Mandela,Nelson Mandela,9780316323543,656,4.29,40653,Back Bay Books,October 8th 2013
221,Life of David Crockett: An Autobiography,David Crockett,9781594622502,428,3.5,14,Book Jungle,July 13th 2006
222,I Chose Liberty: Autobiographies Of Contemporary Libertarians,Walter Block,9781610160025,433,3.86,14,,
223,"A Golden Age : Steve Redgrave, the Autobiography","Steven; Townsend, Nick Redgrave, Nick Townsend",9780563551829,254,3.7,20,BBC BOOKS,September 1st 2000
