ID_A,ID_B,Flag,Title_A,Title_B,ISBN13_A,ISBN13_B
257,2387,,Sukarno: An Autobiography (as told to Cindy Adams),Women's Autobiography: Essays in Criticism,,9.78025E+12
2535,2997,,Dirk Bogarde: The Complete Autobiography,"Autobiography of John J. Cornell, Containing an Account of His Religious Experiences and Travels in the Ministry",9.78071E+12,9.78131E+12
1482,1672,,Master Of One: An Autobiography,My Autobiography and Reminiscences,9.78046E+12,9.78131E+12
1762,3413,,"An Autobiography, Vols 1-2",Afrika My Music: An Autobiography 1957-1983,,2.90087E+12
3289,1495,,Grandma's War: An Autobiography,The Center of My World; An Autobiography,9.7806E+12,9.78091E+12
2024,1383,,In The Tiger's Shadow: The Autobiography Of An Ambedkarite,Autobiography as Activism,9.78819E+12,9.7816E+12
424,3556,,Réponses: The Autobiography Of Françoise Sagan,"Anna Coope, Sky Pilot of the San Blas Indians: An Autobiography (Classic Reprint)",9.78091E+12,9.78133E+12
2753,1131,,Telling and Keeping: A Writer's Autobiography,"Tower Stories: The Autobiography of September 11, 2001",9.7807E+12,9.78097E+12
1175,3386,,Frank Lloyd Wright: An Autobiography,80 Not Out: The Autobiography,9.78076E+12,9.78184E+12
268,653,,Rajendra Prasad: Autobiography,The Life Of Shabkar: Autobiography Of A Tibetan Yogin / Edition 1,9.78812E+12,9.78156E+12
1790,2799,,Mighty Mouse: An Autobiography,"The Miracles and Riches of God: Autobiography of John Nimley Wulu, Sr. of Monrovia, Liberia, West Africa (Founder and Builder of Schools)",9.78009E+12,9.78144E+12
2044,1767,,Twin Ambitions: My Autobiography,Autobiography,9.78144E+12,9.78311E+12
1148,1870,,Bobby Womack: My Autobiography - Midnight Mover,The autobiography of a race horse,9.78178E+12,2.94002E+12
70,3245,,Autobiography,Jungle Jim The Autobiography Of James L. Price,9.78049E+12,2.94002E+12
1186,217,,The Autobiography of Malcom X (Bloom's Reviews),My Life: An Attempt at an Autobiography,9.78079E+12,9.78049E+12
439,560,,Standing on the Promises: The Autobiography of W. A. Criswell,The Autobiography of Andrew Carnegie and His Essay,9.78085E+12,9.78049E+12
2795,3327,,For anybody who gives a shit-The Autobiography Of A No-Mark Wanker,"Recollections of my life and times, an autobiography",,2.94003E+12
3325,2949,,Sab and Autobiography,A Bird on a Wire: A Mini Autobiography,9.78029E+12,9.7814E+12
690,2864,,Gretzky: An Autobiography,Kurt: Forcing the Edge - An Autobiography,9.78006E+12,9.78E+12
1425,2361,,An Autobiography of General Custer,"Looked for God, Had to Improvise: A Religious Autobiography",9.78162E+12,9.7815E+12
3702,3106,,Stranger to the Game: 2the Autobiography of Bob Gibson,The Call of Isis: A Spiritual Autobiography,9.78067E+12,9.78148E+12
1085,1208,,Life at Number 10: An Autobiography,"Goethe's Knabenjahre. (1749-1761.) Goethe's boyhood : being the first three books of his autobiography, arranged and annotated",9.78184E+12,2.94002E+12
679,2403,,A Life's Mosaic: The Autobiography of Phyllis Ntantala,The Times of Our Lives: A Guide to Writing Autobiography and Memoir,9.78052E+12,9.78094E+12
2139,2918,,Madam Guyon. An Autobiography,"Modern Irish Autobiography: Self, Nation and Society",9.78125E+12,9.7814E+12
1700,3349,,The Autobiography Of Malcolm X: A Casebook,Black Hawk's Autobiography,9.7802E+12,9.78081E+12
1483,988,,Warrior: An Autobiography,Trial and Error: The Autobiography of Chaim Weizmann (Book One),9.78074E+12,2.94015E+12
1925,3416,,Dizzy: To Be Or Not To Bop: The Autobiography Of Dizzy Gillespie With Al Fraser,From My Youth Up: Personal Reminiscences : an Autobiography,9.7807E+12,2.94003E+12
2614,724,,Why Me?: An Autobiography,Blessed - The Autobiography,,9.78145E+12
2261,3160,,the Autobiography of Jesus,Earth Horizon,,9.78087E+12
2118,2604,,The Autobiography of Saint Gemma Galgani,Ezio Pinza: An Autobiography,9.78178E+12,9.78041E+12
2250,2260,,"If I Can Forgive, So Can You: My Autobiography of How I Overcame My Past and Healed My Life",Dig,9.7814E+12,9.78133E+12
633,1827,,Moon and Rainbow: The Autobiography of an Aboriginal,Autobiography ; Poor Richard ; Letters,9.78059E+12,2.94002E+12
3341,3030,,My Turn: An Autobiography,Modern Classics Autobiography,9.78071E+12,9.78014E+12
1290,308,,Hello: The Autobiography. Leslie Phillips,Ernest Borgnine: My Autobiography,9.78075E+12,9.78191E+12
19,3170,,Autobiography of St. Gemma Galgani,The Autobiography of a Thief (Barnes & Noble Digital Library): and Other Histories,,9.78141E+12
527,1344,,Turned Towards The Sun: An Autobiography,Constance Sherwood: An Autobiography of the Sixteenth Century,9.78086E+12,9.78111E+12
941,692,,"Did You Grow Up with Me, Too?: The Autobiography of June Foray",An Autobiography of George Washington,9.78159E+12,9.7814E+12
807,2497,,Recipe for Life: The Autobiography,My Life in Vaudeville: The Autobiography of Ed Lowry,9.78141E+12,9.78081E+12
2094,3518,,Autobiography of Allen Jay,Selections From Huxley: Embracing the Autobiography; On the Advisableness of Improving Natural Knowledge; A Liberal Education and Where to Find It; On a Piece of Chalk (Classic Reprint),,9.78133E+12
869,300,,The Autobiography of a Schizophrenic man,The Autobiography of St. Ignatius,,9.78151E+12
2432,382,,Born Of The People: An Autobiography,Il Cavallino Nel Cuore: Autobiography of a designer,,9.78888E+12
916,1506,,Happy Days: Official Illustrated Autobiography,The house of quiet : an autobiography,9.78144E+12,2.94002E+12
2032,2613,,The Autobiography of John Brown,A Half Century Among the Siamese and the La O: an Autobiography,9.78053E+12,9.78131E+12
625,1435,,The Autobiography of a Flea,Richard Hughes: A Weight Off My Mind My Autobiography,9.7816E+12,2.94001E+12
1680,1712,,The Autobiography Of George Cohen Mbe,Life of Benjamin Franklin: On the Basis of His Autobiography (Classic Reprint),9.7819E+12,9.78133E+12
3216,644,,Autobiography and Reminiscences of Theophilus Noel,London: the Autobiography,9.78112E+12,9.78178E+12
2486,1701,,"Billy ""the Hill"" and the Jump Hook: The Autobiography of a Forgotten Basketball Legend",New Chapters of Bismarck's Autobiography,9.7808E+12,9.78131E+12
3812,2118,,Sealed Orders: The Autobiography of a Christian Mystic,The Autobiography of Clabon Jones: The Clabon Jones Experience in the Bayou Country of Louisiana and in Vietnam,9.78088E+12,9.78149E+12
457,1062,,Head On - Ian Botham: The Autobiography,Roy of the Rovers: The Official Autobiography of Roy of the Rovers,,9.78147E+12
2609,2182,,Autobiography Of Swami Narayanananda,"Autobiography of Col. Aaron Ogden, of Elizabethtown",9.78879E+12,2.94002E+12
3603,1944,,Peter Shilton: The Autobiography of Peter Shilton: My Autobiography,The Autobiography of an Attitude,9.78075E+12,9.7804E+12
1364,2901,,Steps Along the Way: A Spiritual Autobiography,The Autobiography of Arthur Ransome,9.7809E+12,9.78022E+12
2688,2787,,The Rags Of Time: A Fragment Of Autobiography,"Life of James Croil, Montreal [microform] : an autobiography, 1821-1916",9.78091E+12,2.94003E+12
3135,2327,,De Quincey's Art Of Autobiography,In the Scales of Fate: An Autobiography,9.78075E+12,9.78071E+12
473,3102,,Miracles of Life: Shanghai to Shepperton: An Autobiography,Autobiography of Adin Ballou: 1803 1890; Containing an Elaborate Record and Narrative of His Life From Infancy to Old Age; With Appendixes (Classic Reprint),9.78001E+12,9.78133E+12
1576,408,,Autobiography Of A Witch,The Autobiography of Calamity Jane,9.78055E+12,2.94002E+12
3730,3308,,Black Bolshevik: Autobiography of an Afro-American Communist,Albany Park: An Autobiography,9.78093E+12,9.78067E+12
743,3374,,Hitchhiking to Heaven: An Autobiography. Lionel Blue,"Contemporary Authors Autobiography Series, Volume 3",9.78034E+12,9.78081E+12
1547,2184,,Time to Say Hello: My Autobiography: The Autobiography,Not Just Batman's Butler: The Autobiography of Alan Napier,9.78075E+12,9.78148E+12
3801,2386,,Jack Charlton: The Autobiography,"The Picture - A Nosegay For Amateurs, Painters, Picture-Dealers, Picture-Cleaners, Liners, Repairers, And All The Craft - Being The Autobiography Of A Holy Family, By Raphael, Faithfully Written From Actual Dictation Of The Picture Itself",9.78185E+12,9.78145E+12
1208,535,,Unended Quest: An Intellectual Autobiography,Autobiography of St. Margaret Mary,9.78042E+12,9.7809E+12
790,1778,,An Autobiography,"Who Am I?: An Autobiography of Emotion, Mind and Spirit",9.78047E+12,9.7803E+12
1033,2150,,The Red Parts: Autobiography of a Trial,My Life: A Beginning That Led to the Realization of God's Love: An Autobiography of Bishop Dr. Carolyn D. Arnett,9.78156E+12,9.78149E+12
1155,1606,,"Honoring The Body: The Autobiography Of Alexander Lowen, M.D.","The Works of Charles Darwin, Volume 29: Erasmus Darwin",9.78097E+12,9.78081E+12
1000,35,,All In My Head: The Autobiography,Theodore Roosevelt: An Autobiography,9.78145E+12,9.78145E+12
3933,2134,,The Illustrated Discovery Journal: Creating a Visual Autobiography of Your Authentic Self,Modern Classics My Autobiography,9.78045E+12,9.78014E+12
1596,1016,,Autobiography of an Actor,Song of the Open Road: An Autobiography and Other Writings,,2.94015E+12
1600,2784,,Autobiography of a Broomstick,"Autobiography, Letters and Literary Remains of Mrs. Piozzi (Thrale)",,2.94003E+12
2004,68,,"Autobiography and Selected Letters, Volume II: Letters 51-193",God: The Autobiography,9.78067E+12,9.78023E+12
1295,196,,"History, Historians, and Autobiography",In My Own Way: An Autobiography,9.78023E+12,9.78158E+12
2605,261,,Rewi Alley an Autobiography (Light on China ),Autobiography of Red Cloud: War Leader of the Oglalas,9.7878E+12,9.78092E+12
2214,2102,,Off the Cuff: The Lee Briers Autobiography,So You Want to Be a Pilot: An Autobiography,9.7819E+12,9.78143E+12
2079,2661,,Gooch: My Autobiography,Autobiography of Lorenzo Waugh (Classic Reprint),9.78E+12,9.78133E+12
43,353,,So Far: The Autobiography,My Experiments with Truth: An Autobiography of Mahatma Gandhi,9.78075E+12,9.78938E+12
138,2586,,Rush: The Autobiography,Time and Space: A Poetic Autobiography - Bilingual Edition,9.78009E+12,9.78091E+12
905,1207,,An Autobiography of Buffalo Bill (Colonel W. F. Cody),"The Arvon Book of Life Writing: Writing Biography, Autobiography and Memoir",,9.78141E+12
3033,2817,,Life/Lines: Theorizing Women's Autobiography (Reading Women Writing),My Autobiography,9.7808E+12,9.78163E+12
707,43,,"I, Durga Khote: An Autobiography",Open: An Autobiography,9.7802E+12,9.78031E+12
1643,803,,Jeanette MacDonald Autobiography: The Lost Manuscript,Grace Abounding: With Other Spiritual Autobiographies,9.78097E+12,9.7802E+12
3888,244,,Gaz (And my Parsnip) - The Autobiography of Geordie Shore's Ultimate Lad,The Autobiography of Foudini M. Cat,,9.78031E+12
3024,482,,"Autobiography, Poor Richard, and Later Writings (Library of America: Benjamin Franklin #2)",Who's Crazee Now?: My Autobiography,9.78188E+12,9.78145E+12
1675,477,,"Tibet Is My Country: Autobiography of Thubten Jigme Norbu, Brother of the Dalai Lama as Told to Heinrich Harrer",Shocking Life: The Autobiography of Elsa Schiaparelli,9.78086E+12,9.78185E+12
2313,2424,,The Autobiography of Satan,The Doctor's House: An Autobiography,9.78145E+12,9.7819E+12
1691,85,,Frankie: The Autobiography of Frankie Dettori,Autobiography,9.78001E+12,2.94E+12
2163,3157,,Memories and Opinions: An Unfinished Autobiography,Snake Dancing: Autobiography of a Black Woman,9.78052E+12,9.78186E+12
1541,1211,,If It Die...An Autobiography,Odyssey to Life: An Autobiography and Abortion Analysis,,9.78159E+12
2193,1105,,Gory Tales - Autobiography of John Gorman,Black Hawk: Autobiography,9.78191E+12,9.78149E+12
3388,987,,"Scotland: The Autobiography 2,000 Years of Scottish History By Those Who Saw It Happen",The Story I Tell Myself: A Venture in Existentialist Autobiography,9.78159E+12,9.78023E+12
3483,2285,,Driven: An Autobiography,The Autobiography Of Cockney Tom,9.78161E+12,9.78141E+12
1873,3616,,"My Best for the Kingdom: History and Autobiography of John Lowe Butler, a Mormon Frontiersman",My Life as an Author (Autobiography),9.78156E+12,2.94E+12
458,2587,,A Man's Life: An Autobiography,General Jubal A. Early at Antietam: Account of the Maryland Campaign from His Autobiography (Illustrated),9.78092E+12,2.94001E+12
3886,1787,,Hot Air Promotions - An Autobiography of a Mining and Oil Stock Sucker,"A supplement to Burnet's History of my own time; derived from his original memoirs, his autobiography, his letters to Admiral Herbert, and his private meditations, all hitherto unpublished;",9.78149E+12,2.94002E+12
2417,383,,The Wanton Chase: An Autobiography from 1939,Touch Wood: The Autobiography of the 1953 Le Mans Winner,9.78069E+12,9.78178E+12
2996,1899,,Nova: My Story: The Autobiography Of Nova Peris,"Margot Asquith, An Autobiography - Two Volumes In One",9.78073E+12,9.78141E+12
3603,2707,,Peter Shilton: The Autobiography of Peter Shilton: My Autobiography,Autobiography of William G. Schauffler: For Forty-nine Years a Missionary in ...,9.78075E+12,2.94003E+12
3809,999,,With No Regrets - An Autobiography,THE AUTOBIOGRAPHY OF METHUSELAH (A SATIRICAL LOOK),9.78141E+12,2.94001E+12
634,2652,,The Autobiography Of Me Too Two (The Autobiography of Me Too #2),Autobiography and Essays,9.78285E+12,2.94002E+12
81,1182,,In My Own Fashion: An Autobiography,Life and Letters of Sir Charles Hall; Being an Autobiography (1819-1860) with Correspondence and Diaries;,9.78067E+12,9.78141E+12
1170,3062,,"The Autobiography of the Emperor Haile Selassie I: ""My Life and Ethiopia's Progress"" 1892-1937","Autobiography, with reminiscences of friends and contemporaries",9.7802E+12,2.94002E+12
743,3413,,Hitchhiking to Heaven: An Autobiography. Lionel Blue,Afrika My Music: An Autobiography 1957-1983,9.78034E+12,2.90087E+12
1212,2719,,On Reflection: An Autobiography,Conversations: The Autobiography of Surrealism,9.78159E+12,9.78157E+12
1996,33,,"One Day When I Was Lost: A Scenario Based on Alex Haley's ""The Autobiography of Malcolm X""",The Story of a Soul: The Autobiography of St. Therese of Lisieux,9.78039E+12,9.78148E+12
430,523,,Bertie Ahern: The Autobiography,Tesla's Autobiography,9.78009E+12,9.78147E+12
222,2972,,I Chose Liberty: Autobiographies Of Contemporary Libertarians,The Great Platypus Caper & Other Hilarious Misadventures: an unreliable autobiography,9.78161E+12,9.78151E+12
1719,1233,,Autobiography: A Reader For Writers,"One of Them, Chapters from a Passionate Autobiography",9.7802E+12,9.78131E+12
1232,813,,Cash: The Autobiography by Johnny Cash Summary & Study Guide,The Autobiography of Mary Magdalene,,9.78126E+12
3780,2460,,Learning to Fly: The Autobiography,I Know Nothing!: An Autobiography,9.78014E+12,9.78185E+12
721,2360,,Writing Home: A Literacy Autobiography,"Hope for the Hopeless: an Autobiography of John Vine Hall, Author of The Sinner's Friend",9.78081E+12,9.78129E+12
3167,1794,,21 Years Gone: The Autobiography,"I''m Black and I''m Proud, wished the white girl.: The Autobiography of Lynn Markovich Bryant",9.78023E+12,9.7806E+12
3008,1374,,Goodbye to Winter: The Autobiography of Sophie Schmidt-Rodolfo,Autobiography of George Dewey: Admiral of the Navy (Classic Reprint),9.78971E+12,9.78133E+12
3851,3379,,Autobiography of Brook Farm,Milton Berle: An Autobiography,9.78084E+12,9.78156E+12
3049,27,,The Autobiography of a Slave/Autobiografia De UN Esclavo (Latin American Literature and Culture Series),"Play On: Now, Then, and Fleetwood Mac: The Autobiography",9.78081E+12,9.78032E+12
1483,1162,,Warrior: An Autobiography,Ecce Homo (Barnes & Noble Library of Essential Reading),9.78074E+12,9.78076E+12
2554,2807,,Two Blades Of Grass: An Autobiography,"A Flower Grows in My Heart, The Autobiography of Mary Frances Humphrey Roe, Born 27 Feb. 1912",9.78089E+12,9.78142E+12
3121,2431,,The Autobiography Of Denis Zachaire,MY AUTOBIOGRAPHY,9.78156E+12,9.78084E+12
1338,1005,,Frontier Fighter: The Autobiography of George W. Coe,A Life Worth Living: Michael Smurfit's Autobiography,9.78078E+12,9.78178E+12
128,1424,,Steps In Time: An Autobiography,Autobiography,9.78081E+12,2.94002E+12
1935,56,,The Autobiography of Herbert E. Grings: His Testimony and Missionary Service in the Belgian Congo,"My Wicked, Wicked Ways: The Autobiography of Errol Flynn",,9.78082E+12
3952,587,,The Living Sword: A Fencer's Autobiography,Cesar Chavez: Autobiography of La Causa,9.78188E+12,9.78082E+12
294,831,,The Eagle: The Autobiography of Santa Anna,Time and Space: A Poetic Autobiography,9.78094E+12,9.78146E+12
887,1086,,Vûdû Cartography: The Autobiography of Michael Houdeaux,"Autobiography of a Blue-eyed Devil: My Life and Times in a Racist, Imperialist Society",,9.78161E+12
3527,839,,Something Like an Autobiography,A Fortunate Life: The Autobiography of Paddy Ashdown,9.78039E+12,9.78185E+12
4,2527,,Nureyev: An Autobiography With Pictures,Violet Keith: An Autobiography,9.78034E+12,2.94003E+12
149,1224,,Time and Space: A Poetic Autobiography,The Autobiography Of A Blind Minister: Including Sketches Of The Men And Events Of His Time,9.7806E+12,2.94003E+12
1240,507,,The Only One Living to Tell: The Autobiography of a Yavapai Indian,Journal of a Soul: The Autobiography of Pope John XXIII,9.78082E+12,9.78039E+12
436,3457,,Samurai! The Autobiography of Japan's Bravest Fighter Ace,Politically Incorrect: The Autobiography,9.78055E+12,9.78177E+12
2045,1168,,Submarine: The Autobiography of Simon Lake,"Yellowtail, Crow Medicine Man and Sun Dance Chief: An Autobiography",9.78143E+12,9.78081E+12
2778,2576,,An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda Smith the Colored Evangelist,"Life, Laughter, and the Lord: An Autobiography",9.7802E+12,9.78148E+12
624,1521,,Never Judge A Book By Its Cover : The Autobiography,"Selections from the autobiography of Rev. J.M. Arnold, D.D. and from his editorial writings on the doctrine of sanctification",9.78141E+12,2.94002E+12
2963,1284,,"After the War: Force of Circumstance, Volume I: 1944-1952 (The Autobiography of Simone de Beauvoir)",Trial And Error The Autobiography,,9.7813E+12
2132,613,,Dreaming in Color: An Autobiography,"Reading Jazz: A Gathering of Autobiography, Reportage, and Criticism from 1919 to Now",9.78158E+12,9.78068E+12
2587,2041,,This Is My Life: The Autobiography,"Autobiography. Sketch of Life and Labors of Miss Catherine S. Lawrence, Who in Early Life Distinguished Herself as a Bitter Opponent of Slavery and in",9.78075E+12,9.78131E+12
1576,447,,Autobiography Of A Witch,Autobiography of Benjamin Franklin: A Founding Father,9.78055E+12,9.78151E+12
2782,3683,,Praeterita: The Autobiography Of John Ruskin,"Autobiography, Vol. 23: A Collection of the Most Instructive and Amusing Lives Ever Published; With Brief Introductions, and Compendious Sequels Carrying on the Narrative to the Death of Each Writer (Classic Reprint)",9.78019E+12,9.78133E+12
643,2617,,The Autobiography of Paras P.,"Court Years, Nineteen Thirty-Nine to Nineteen Seventy-Five: The Autobiography of William O. Douglas",9.78044E+12,9.78039E+12
3284,2977,,Autobiography Of The Rev. Luther Lee,"Sir William Gregory, K. C. M. G., formerly member of Parliament and sometime governor of Ceylon. An autobiography",9.78084E+12,2.94002E+12
2206,1153,,"Looking Forward, Looking Back: An Autobiography","Autobiography and Selected Letters, Volume II: Letters 51-193 (Loeb Classical Library)",9.78034E+12,9.78067E+12
2966,3070,,"The Gambler: An Autobiography Volume 2, 1920-1939","Taken alive and other stories with an autobiography, The home acre",9.78E+12,2.94002E+12
2852,1440,,Throwing Heat: The Autobiography of Nolan Ryan,Queen of Burlesque: The Autobiography of Yvette Paris,9.78039E+12,9.78291E+12
2031,2308,,Ila Smith Autobiography,Paekpom Ilchi: The Autobiography of Kim Ku,,9.78076E+12
913,1245,,Close to the Wind: The Autobiography of Britain's Greatest Olympic Sailor,All In My Head: The Autobiography,9.78022E+12,9.78185E+12
460,297,,Which one's Cliff?: the autobiography,Playing It My Way: My Autobiography,9.78034E+12,9.78147E+12
3164,3608,,Bound Upon a Course: An Autobiography,"Threescore years [microform] : an autobiography, containing incidents of voyages and travels, including six years in a man-of-war. Details of the war between the United States and the Algerine government, bombardment of Algiers",9.78184E+12,2.94003E+12
1965,2329,,Autobiography,Lives of Labor - Lives of Love: Fragments of Friendly Autobiographies,,9.78068E+12
296,1669,,Thanks for Coming!: An Autobiography,"Life, Laughter, and the Lord: An Autobiography",9.78057E+12,9.78148E+12
1392,966,,Jungle Man: An Autobiography of Major P.J. Pretorius (Resnick's Library of African Adventure),Joseph Vance (Barnes & Noble Digital Library): An Ill-Written Autobiography,9.78157E+12,9.78141E+12
1599,2774,,Untitled Autobiography,The Life of the Clinician: The Autobiography of Michael Lepore,9.78035E+12,9.78158E+12
1966,194,,Autobiography,Autobiography of Benjamin Franklin: with Related Documents / Edition 2,,9.78031E+12
3151,2119,,Life In The Quaker Lane: An Autobiography,Daughter of the East : An Autobiography,9.78094E+12,9.78185E+12
3183,1944,,The Autobiography of Oliver P. Hanna,The Autobiography of an Attitude,,9.7804E+12
2136,1163,,Ezio Pinza: An Autobiography,"Swing, Sing and All That Jazz: The Autobiography of Henry Holloway",,9.78147E+12
919,3545,,Eric & Ernie: The Autobiography Of Morecambe & Wise,Princess Helene Von Racowitza: an Autobiography,9.78049E+12,9.78131E+12
512,1671,,Gareth Edwards: The Autobiography,"Annals Of The Twenty-Ninth Century; Or, The Autobiography Of The Tenth President Of The World-Republic. Vol. II.",9.78075E+12,9.78145E+12
1698,2392,,"Marvellous, Isn't It?: The Autobiography",Noel Coward:Autobiography,9.78076E+12,9.78041E+12
751,817,,Horizon Bound on a Bicycle: The Autobiography of Eyvind Earle,Fabricating Lives: Explorations in American Autobiography,9.78096E+12,9.78031E+12
3640,739,,Dear Reader: The Unauthorized Autobiography of Kim Jong Il,Theodore Roosevelt: Autobiography,9.7815E+12,9.78149E+12
3356,2546,,Good-Bye to All That: An Autobiography,Far Away And Long Ago - Autobiography Of His Youth,9.78039E+12,9.78144E+12
2739,2066,,Battleground: The Autobiography of Margaret A. Haley,Notes in Advance: An Autobiography in Music,9.78025E+12,9.7802E+12
2410,3178,,The Pool of Memory: The Autobiography of an Unwilling Intuitive,Autobiography of Rev. Charles H. Sage: Embracing an Account of His Pioneer ...,9.78072E+12,2.94002E+12
3195,942,,Iron Man: The Autobiography,My Diabetic Soul - An Autobiography,9.7819E+12,2.94002E+12
3402,2708,,An Unfinished Autobiography,Jessica: The autobiography of an infant,9.78812E+12,9.7806E+12
3425,3548,,Havana: Autobiography of a City,Metasophy Learning to Die-Dying to Learn: Pilgrims Autobiography and Testimony,9.7814E+12,9.78145E+12
3778,1621,,A Kick Against The Pricks: The Autobiography,Twenty Years in the Church: An Autobiography,9.78185E+12,2.94003E+12
1751,3503,,Autobiography of Doyle Brunson,Real Truth for Real Choices: A Spiritual Autobiography,9.78158E+12,9.7815E+12
2318,2784,,An Autobiography of Prayer,"Autobiography, Letters and Literary Remains of Mrs. Piozzi (Thrale)",,2.94003E+12
3547,3092,,Michelle Kwan Autobiography,"Writings, being his autobiography, correspondence, reports, messages, addresses, and other writings, official and private, pub. from the original manuscripts, deposited in the Department of State;",9.78059E+12,2.94003E+12
1584,1636,,Reeves: An Autobiography,"Taken Alive and Other Stories With an Autobiography, the Home Acre",9.78093E+12,9.78129E+12
1195,3418,,The Lion's Mouth: Concluding Chapters Of Autobiography,Chronicles of Faith: The Autobiography of Frederick D. Patterson,9.78081E+12,9.78082E+12
3351,1953,,Illumination and Night Glare: The Unfinished Autobiography of Carson McCullers,"Labor Relations, WWII, Before, During and After: The Autobiography of a One Eyed Jack",9.7803E+12,9.78096E+12
1096,3094,,Autobiography of an Indian indentured labourer,A Contemporary Autobiography Of A Science Educator,9.78818E+12,9.78909E+12
2487,3592,,Recollections of Past Days: The Autobiography of Patience Loader Rozsa Archer,An Autobiography,9.78087E+12,2.94002E+12
998,3151,,Shadow and Light: An Autobiography,When Dreams Won't Die: The Autobiography and Birth Story of Inspire Women,9.7808E+12,9.78098E+12
366,223,,Let's Get to the Nitty Gritty: The Autobiography of Horace Silver,Autobiography of George Muller,9.78052E+12,9.7816E+12
3088,1195,,From Shekki to Sydney: An Autobiography,Literature,9.78188E+12,9.7816E+12
2149,2730,,Autobiography of Allen Jay,"The Autobiography of Mark Rutherford, Dissenting Minister. Edited",,9.78131E+12
3782,1993,,Matters Of Discretion: An Autobiography,Footprints In Time: Autobiography of a Depression Child,9.78938E+12,9.78151E+12
1345,3125,,Whitey and Mickey - An Autobiography of the Yankee Years (A Signet book),"Zits, an Autobiography of a Very, Very Special Cat",9.78045E+12,9.7813E+12
485,3498,,Autobiography of a Female Slave,The Private Lives of Victorian Women: Autobiography in Nineteenth Century England,9.78158E+12,9.78031E+12
2450,1775,,"Super Bowl Diary: The Autobiography Of Ken ""The Snake"" Stabler",Mary King: The Autobiography,9.78052E+12,9.78141E+12
929,3409,,"Autobiography of Andrew George Salzer, an American Life",Where Have All the Flowers Gone?: A Musical Autobiography,9.78098E+12,9.78188E+12
1697,2600,,Salute - The Autobiography of Siddiq Salik,Giggs: Autobiography,,9.78024E+12
1570,2531,,Lost In a Desert World : The Autobiography Of Roland Johnson (as told to Karl Williams),"An Autobiography, The Story Of The Lord's Dealings With Mrs. Amanda Smith, The Colored Evangelist: Containing An Account Of Her Life Work Of Faith, And Her Travels In America, England, Ireland, Scotland, India, And Africa, As An Independent",9.78097E+12,9.7813E+12
