ID,Title,Authors,ISBN13,Pages,Rating,Ratings_Count,Publisher,Publish_Date
16,Genome: The Autobiography of a Species in 23 Chapters,Matt Ridley,9780060894085,368,4.4,34,HarperCollins Publishers,05/30/2006
17,Autobiography of a Face,Lucy Grealy,9780060569662,256,4.4,56,HarperCollins Publishers,03/18/2003
18,Clapton: The Autobiography,Eric Clapton,9780767925365,352,3.9,130,Crown Publishing Group,05/27/2008
19,Monster: The Autobiography of an L.A. Gang Member,Sanyika Shakur,9780802141446,400,4.4,109,"Grove/Atlantic, Inc.",06/09/2004
20,"America The Black Point of View - An Investigation and Study of the White People of America and Western Europe and The Autobiography of an American Ghetto Boy, The 1950s and 1960s",Tony Rose,9781937269500,552,,,"Amber Communications Group, Inc.",04/28/2015
21,Black Beauty: The Autobiography of a Horse,"Anna Sewell, Sewell",9780486407883,208,4.2,514,Dover Publications,06/23/1999
22,Blues All around Me: The Autobiography of B. B. King,"B. B. King, David Ritz",9780062061034,368,,,HarperCollins Publishers,03/08/2011
23,El Sicario: The Autobiography of a Mexican Assassin,Molly Molloy,9781568586588,224,3.8,12,Nation Books,05/10/2011
24,Mover of Men and Mountains: The Autobiography,LeTourneau,9780802438188,296,4.4,7,Moody Publishers,06/28/1967
25,Autobiography of an Ex-Colored Man and Other Writings (Barnes & Noble Classics Series),James Weldon Johnson,9781593082895,208,3.7,7,Barnes &amp; Noble,04/01/2007
26,"Autobiography of Mark Twain, Volume 2: The Complete and Authoritative Edition",Mark Twain,9780520272781,776,4.8,8,University of California Press,10/05/2013
27,"Play On: Now, Then, and Fleetwood Mac: The Autobiography","Mick Fleetwood, Anthony Bozza",9780316403429,352,,,"Little, Brown and Company",10/28/2014
28,Neil Patrick Harris: Choose Your Own Autobiography,Neil Patrick Harris,9780385346993,304,3.6,25,Crown Publishing Group,10/14/2014
29,"Speak, Memory: An Autobiography Revisited",Vladimir Nabokov,9780679723394,336,4.8,7,Knopf Doubleday Publishing Group,08/15/1989
30,The Big Sea: An Autobiography,Langston Hughes,9780809015498,368,4.5,6,"Farrar, Straus and Giroux",08/28/1993
31,An Autobiography: The Story of My Experiments with Truth,Mohandas K. Gandhi,9780807059098,560,4.4,20,Beacon Press,11/28/1993
32,Angela Davis: An Autobiography,Angela Y. Davis,9780717806676,400,5.0,2,"International Publishers Company, Incorporated",03/01/1989
33,The Story of a Soul: The Autobiography of St. Therese of Lisieux,St Therese of Lisieux,9781484846780,280,5.0,2,CreateSpace Publishing,04/30/2013
34,The Autobiography Of General Ulysses S Grant,Ulysses S Grant,9781934941140,436,,,Red and Black Publishers,03/03/2008
35,Theodore Roosevelt: An Autobiography,Theodore Roosevelt,9781451580129,298,4.1,17,CreateSpace Publishing,04/01/2010
36,The Autobiography of an Ex-Colored Man,James Weldon Johnson,9780486285122,112,4.8,8,Dover Publications,05/10/1995
37,Good-Bye to All That: An Autobiography,Robert Graves,9780385093309,368,4.0,7,Knopf Doubleday Publishing Group,02/28/1958
38,Teen Angst? Naaah...: A Quasi-Autobiography,Ned Vizzini,9780385739450,272,4.5,34,Random House Children's Books,09/14/2010
39,"The Autobiography of Martin Luther King, Jr.",Martin Luther King Jr.,9780446676502,416,4.3,53,Grand Central Publishing,01/01/2001
40,An Ordinary Man: An Autobiography,"Paul Rusesabagina, Tom Zoellner",9780143038603,224,4.4,15,Penguin Publishing Group,02/27/2007
41,An American Life: The Autobiography,Ronald Reagan,9781451628395,752,4.1,53,Threshold Editions,01/11/2011
42,Autobiography,Morrissey,9780143107507,480,4.5,29,Penguin Publishing Group,11/04/2014
43,Open: An Autobiography,Andre Agassi,9780307388407,400,4.2,611,Knopf Doubleday Publishing Group,08/10/2010
44,Stories I Only Tell My Friends: An Autobiography,Rob Lowe,9781250008855,320,4.0,522,St. Martin's Press,01/03/2012
45,Miles: The Autobiography,Miles Davis,9781451643183,448,4.0,12,Simon &amp; Schuster,09/20/2011
46,"Mud, Sweat, and Tears: The Autobiography",Bear Grylls,9780062124135,408,4.5,44,HarperCollins Publishers,01/29/2013
47,Treasure in Clay: The Autobiography of Fulton J. Sheen,"Fulton J. Sheen, F Sheen",9780385177092,416,4.1,6,Crown Religion/Business/Forum,08/19/2008
48,Yeager: An Autobiography,Chuck Yeager,9780553256741,448,4.8,17,Random House Publishing Group,08/28/1986
49,Autobiography of Red,Anne Carson,9780375701290,160,4.5,4,Knopf Doubleday Publishing Group,07/28/1999
50,The Autobiography of Mrs. Tom Thumb,Melanie Benjamin,9780385344166,480,4.1,52,Random House Publishing Group,04/03/2012
51,E.A.R.L.: The Autobiography of DMX,"DMX, Smokey D. Fontaine, D",9780060934033,352,4.8,38,HarperCollins Publishers,10/21/2003
52,The Collected Autobiographies of Maya Angelou,Maya Angelou,9780679643258,1184,5.0,10,Random House Publishing Group,09/21/2004
53,Alex Ferguson: My Autobiography,Alex Ferguson,9780340919408,416,,,"Hodder &amp; Stoughton, Ltd.",11/15/2014
54,Rod: The Autobiography,Rod Stewart,9780307987327,400,4.0,49,Crown/Archetype,05/07/2013
55,Lemony Snicket: The Unauthorized Autobiography,"Lemony Snicket, Brett Helquist, Brett Helquist",9780060562250,240,4.5,126,HarperCollins Publishers,05/06/2003
56,"My Wicked, Wicked Ways: The Autobiography of Errol Flynn",Errol Flynn,9780815412502,456,4.8,10,"Rowman &amp; Littlefield Publishers, Inc.",12/28/2002
57,"God, Country, Notre Dame: The Autobiography of Theodore M. Hesburgh","Theodore M. Hesburgh, Jerry Reedy",9780268010386,311,,,University of Notre Dame Press,01/28/2000
58,The Autobiography of Miss Jane Pittman,Ernest J. Gaines,9780553263572,272,4.2,26,Random House Publishing Group,07/28/1982
59,Dust Tracks on a Road: An Autobiography,Zora Neale Hurston,9780060854089,336,3.3,12,HarperCollins Publishers,01/03/2006
60,My Infamous Life: The Autobiography of Mobb Deep's Prodigy,"Albert ""Prodigy"" Johnson",9781439103197,320,4.2,30,Touchstone,02/07/2012
61,Autobiography of a Yogi: The Original 1946 Edition Plus Bonus Material,Paramhansa Yogananda,9781565892125,518,4.1,151,Crystal Clarity Publishers,12/15/2005
62,An Autobiography,Agatha Christie,9780062204578,576,3.8,31,HarperCollins Publishers,09/11/2012
63,Autobiography of St. Teresa of Avila,St. Teresa of Avila,9780486475981,352,,,Dover Publications,07/21/2010
64,The Autobiography of an Execution,David R. Dow,9780446562072,271,3.9,57,Grand Central Publishing,02/16/2011
65,Autobiografia de un Yogui (Autobiography of a Yogi),Paramahansa Yogananda,9780876120989,742,5.0,1,Self-Realization Fellowship,06/28/2008
66,American Sniper (Enhanced Edition): The Autobiography of the Most Lethal Sniper in U.S. Military History,"Chris Kyle, Scott McEwen, Jim DeFelice",9780062190970,448,3.7,281,HarperCollins Publishers,01/03/2012
67,Autobiography of a Fat Bride: True Tales of a Pretend Adulthood,Laurie Notaro,9781588362445,272,4.4,55,Random House Publishing Group,07/08/2003
68,God: The Autobiography,Franco Ferrucci,9780226094748,44,,,University of Chicago Press,06/18/2013
69,I Never Had It Made,"Jackie Robinson, Alfred Duckett",9780060555979,320,4.6,40,HarperCollins Publishers,05/06/2003
70,Autobiography of a Werewolf Hunter,Brian P. Easton,2940148218456,,4.7,16,Permuted Press,07/09/2013
71,"I, Claudius: From the Autobiography of Tiberius Claudius",Robert Graves,2940149425273,,5.0,1,RosettaBooks,03/06/2014
72,The Autobiography of Henry VIII: With Notes,"His Fool, Will Somers",9781429924702,960,4.4,122,St. Martin's Press,04/01/2010
73,"I, Jesus: An Autobiography","Chuck Missler, William Welty",2940150997851,208,,,Koinonia House,07/08/2014
74,Autobiography of Thomas Jefferson,Thomas Jefferson,9781607783091,,3.1,48,MobileReference,01/01/2010
75,Shooter: The Autobiography of the Top-Ranked Marine Sniper,"Jack Coughlin, Donald A. Davis, Casey Kuhlman",9781429903226,320,4.1,122,St. Martin's Press,04/01/2007
76,Waylon: An Autobiography,"Waylon Jennings, Lenny Kaye",9780446562379,,5.0,14,Grand Central Publishing,06/27/2009
77,Guy Martin: My Autobiography,Guy Martin,9780753549957,320,,,Ebury Publishing,05/08/2014
78,I Could Never Be So Lucky Again: An Autobiography,"James Doolittle, Carroll V. Glines",9780307428325,560,4.0,20,Random House Publishing Group,12/16/2009
79,My Autobiography,Charlie Chaplin,9781612191935,,4.0,13,Melville House Publishing,12/26/2012
80,Heart of Scars (Autobiography of a Werewolf Hunter Book 2),Brian Easton,2940148310877,,4.7,7,Permuted Press,07/11/2013
81,Man of Honor,Joseph Bonanno,9780312979232,416,5.0,5,St. Martin's Press,01/20/2003
82,Autobiography,a Former Underage Sex Slave,2940045667937,,2.0,1,Niiles Punkari,01/18/2014
83,Willie: An Autobiography,"Willie Nelson, Bud Shrake",9781461661313,368,4.0,3,"Rowman &amp; Littlefield Publishers, Inc.",08/29/2000
84,The Lineage (Autobiography of a Werewolf Hunter Book 3),Brian P. Easton,2940151640046,200,,,Permuted Press,04/21/2015
85,Autobiography,Thomas Jefferson,2940000767344,,4.0,3,B&amp;R Samizdat Express,02/01/2009
86,Autobiography of a Yogi (Rediscovered Books): With linked Table of Contents,Paramahansa Yogananda,9781633846098,372,,,"Wilder Publications, Inc.",12/19/2014
87,Story of a Soul: The Autobiography of St. Therese of Lisieux,St. Therese of Lisieux,2940016594132,,5.0,1,Charles River Editors,06/10/2013
88,The Autobiography of Andrew Carnegie and The Gospel of Wealth,"Andrew Carnegie, Gordon Hutner",9781101098370,352,3.7,4,Penguin Publishing Group,11/07/2006
89,Recipe for Life: The Autobiography,Mary Berry,9781405912860,,,,Penguin UK,09/12/2013
90,Autobiography of Andrew Carnegie,Andrew Carnegie,9781504022620,342,4.0,1,Open Road Media,09/22/2015
91,Autobiography of Herbert W. Armstrong - Volume 1,"Herbert W. Armstrong, Philadelphia Church of God",9781304501332,,,,Lulu.com,12/05/2013
92,Memories Before and After the Sound of Music: An Autobiography,Agathe von Trapp,9780062010551,256,4.1,27,HarperCollins Publishers,09/14/2010
93,The Unauthorized Autobiography of Ethan Jacobs,Dan Dillard,2940033162109,,,,Dan Dillard,01/14/2012
94,Just As I Am: The Autobiography of Billy Graham,Billy Graham,9780062119544,832,4.3,14,HarperCollins Publishers,10/11/2011
95,From A Name to A Number: A Holocaust Survivor's Autobiography,Alter Wiener,9781452091181,1,4.4,35,AuthorHouse,04/05/2007
96,Moving Pictures: An Autobiography,Ali MacGraw,2940151374255,,,,Renaissance Literary &amp; Talent,03/15/2015
97,"Complete Works of Henry James: Novels, Short Stories, Plays, Essays, Autobiography and Letters: The Portrait of a Lady, The Wings of the Dove, The American, The Bostonians, The Ambassadors, What Maisie Knew, Washington Square, Daisy Miller...",Henry James,9788026836063,2900,,,e-artnow ebooks,03/31/2015
98,The Book of Adam: Autobiography of the First Human Clone,Robert M. Hopper,2940011139840,,3.7,160,Doublethumb Press,11/21/2010
99,Autobiography of Thomas Jefferson - Enhanced,Thomas Jefferson,2940151544511,,5.0,2,"Seedbox Press, LLC",03/18/2015
100,Call Me Anna: The Autobiography of Patty Duke,Patty Duke,9780307788665,320,4.2,12,Random House Publishing Group,04/13/2011
101,My Way: An Autobiography,"Paul Anka, David Dalton",9781250035202,384,2.4,16,St. Martin's Press,04/09/2013
102,Margaret Thatcher: The Autobiography,Margaret Thatcher,9780062049452,832,5.0,1,HarperCollins Publishers,04/16/2013
103,Up from Slavery: An Autobiography,Booker T. Washington,9781627557863,148,3.7,83,"Wilder Publications, Inc.",06/10/2015
104,THE GREATEST AMERICAN PRESIDENT: THE AUTOBIOGRAPHY OF THEODORE ROOSEVELT (Worldwide Bestseller),"Theodore TEDDY ROOSEVELT [Winner of the Nobel Prize] Nook Edition (Part I of the Best Presidents Series incl. George Washington, Abraham Lincoln) NOOKBook",2940013017061,,3.8,5,Great American Presidents Biographies,12/19/2012
105,Autobiography of Herbert W. Armstrong - Volume 2,"Herbert W. Armstrong, Philadelphia Church of God",9781304501417,,,,Lulu.com,12/05/2013
106,Act One: An Autobiography,Moss Hart,9781466864603,464,4.0,4,St. Martin's Press,02/11/2014
107,"The Complete Works of Mark Twain: The Novels, short stories, essays and satires, travel writing, non-fiction, the complete letters, the complete speeches, and the autobiography of Mark Twain Mark Twain",Mark Twain,9788026804529,5000,,,e-artnow Editions,02/27/2014
108,The Climb: The Autobiography,Chris Froome,9780241969434,,5.0,1,Penguin UK,06/05/2014
109,Dr. J: The Autobiography,"Julius Erving, Karl Taro Greenfeld",9780062188038,448,4.4,9,HarperCollins Publishers,11/05/2013
110,"Works of Josephus Flavius: Wars of the Jews, Antiquities of the Jews, Against Apion, Autobiography and more",Flavius Josephus,9781605011950,,4.0,22,MobileReference,01/01/2010
111,The Autobiography of Alice B. Toklas,Gertrude Stein,9781987817058,256,3.3,13,David Rehak,10/14/2014
112,My Inventions: The Autobiography of Nikola Tesla,Nikola Tesla,9781633842304,80,3.6,14,"Wilder Publications, Inc.",07/23/2014
113,The Story of a Soul (L'Histoire d'une Âme): The Autobiography of St. Thérèse of Lisieux With Additional Writings and Sayings of St. Thérèse,St. Therese Of Lisieux,2940012760791,,4.4,15,Therese Books,07/25/2011
114,THE AUTOBIOGRAPHY OF BENJAMIN FRANKLIN,Benjamin Franklin,2940012259776,,5.0,1,Robin Michell,02/27/2011
115,Autobiography of Us: A Novel,Aria Beth Sloss,9780805095357,304,4.0,15,"Holt, Henry &amp; Company, Inc.",02/05/2013
116,The Autobiography of Andrew Carnegie,Andrew Carnegie,2940012693211,,3.0,25,Halcyon Press Ltd.,10/18/2010
117,INEZ: An autobiography,Jamie Brown,2940000790014,,3.5,37,Jamie Brown,11/07/2009
118,"Biography: Best Seller! John F Kennedy ( autobiography, diary, journal, life, life story, memoir, picture, profile, sketch, confessions, experience, letter, life history, personal account )","Resounding Wind Publishing, John F Kennedy, JFK",2940150020719,,5.0,4,Resounding Wind Publishing,12/16/2014
119,"The Complete Autobiographies of Frederick Douglass: Narrative of the Life of Frederick Douglass, an American Slave; My Bondage and My Freedom; Life and Times of Frederick Douglass",Frederick Douglass,9781633846876,600,,,"Wilder Publications, Inc.",06/10/2015
120,Autobiography of My Dead Brother,"Walter Dean Myers, Christopher Myers",9780062046895,224,4.0,20,HarperCollins Publishers,10/26/2010
121,Going to Sea in a Sieve: The Autobiography,Danny Baker,9780297863427,,,,"Orion Publishing Group, Limited",11/02/2012
122,Autobiography: The Story of My Experiments with Truth,Mohandas Gandhi,9780486117515,480,4.6,5,Dover Publications,03/21/2012
123,Proud: My Autobiography,Gareth Thomas,9781473502208,320,,,Ebury Publishing,09/11/2014
124,Open Secret: The Autobiography of the Former Director-General of MI5,Stella Rimington,9781448107483,320,5.0,2,Random House Adult Trade Publishing Group,10/31/2011
125,No Limits: My Autobiography,"Ian Poulter, Isabelle Grey",9781782066903,,5.0,1,Quercus Publishing,10/23/2014
126,Story of a Soul: The Autobiography of St. Therese of Lisieux - The Original Classic Edition,Therese of Lisieux,9781486150120,128,3.6,15,Emereo Pty Ltd,06/15/2012
127,Peig: The Autobiography of Peig Sayers of the Great Blasket Island,Peig Sayers,9780815602583,216,,,Syracuse University Press,01/28/1974
128,Everybody's Autobiography,Gertrude Stein,9780307829771,320,,,Knopf Doubleday Publishing Group,03/13/2013
129,Living for Change: An Autobiography,Grace Lee Boggs,9781452903309,328,,,University of Minnesota Press,11/30/2013
130,Yellow Kid Weil: The Autobiography of America's Master Swindler,J.R. Weil,9781849350211,352,,,AK Press,02/22/2011
131,Pele: The Autobiography,Pelé,9781847394880,368,4.6,3,Simon &amp; Schuster UK,09/04/2008
132,Alibi: an unauthorized autobiography,Dale Barnes,9781609840235,,2.0,11,Dale Barnes,12/10/2007
133,"Biography: Best Seller! George Washington ( autobiography, diary, journal, life, life story, memoir, picture, profile, sketch, confessions, experience, letter, life history, personal account )","Resounding Wind Publishing, George Washington, Biography Books",2940150021129,,5.0,3,Resounding Wind Publishing,12/16/2014
134,"Biography: Best Seller! Benjamin Franklin ( autobiography, diary, journal, life, life story, memoir, picture, profile, sketch, confessions, experience, letter, life history, personal account )","Resounding Wind Publishing, Biography Books, Benjamin Franklin",2940150021570,,5.0,4,Resounding Wind Publishing,12/16/2014
135,White Line Fever: The Autobiography,"Lemmy Kilmister, Janiss Garza",9780806525907,320,5.0,6,Kensington,12/15/2003
136,Where White Men Fear to Tread: The Autobiography of Russell Means,"Russell Means, Marvin Wolf",9780312147617,624,5.0,6,St. Martin's Press,11/28/1996
137,The Story of a Soul (L'Histoire d'une Ame): The Autobiography of St. Therese of Lisieux With Additional Writings and Sayings of St. Therese,St. Therese Of Lisieux,2940016162003,,5.0,1,Unforgotten Classics,09/27/2015
138,Beckham: Both Feet on the Ground: An Autobiography,"David Beckham, Tom Watt",9780060570941,464,4.1,33,HarperCollins Publishers,11/02/2004
139,"Wins, Losses, and Lessons: An Autobiography",Lou Holtz,9780060840815,352,4.5,22,HarperCollins Publishers,07/31/2007
140,It Doesn't Take a Hero: The Autobiography,H. Norman Schwarzkopf,9780553563382,640,4.6,19,Random House Publishing Group,09/28/1993
141,Musui's Story: The Autobiography of a Tokugawa Samurai / Edition 1,Kokichi Katsu,9780816512560,178,,,University of Arizona Press,07/01/1991
142,Darling: A Spiritual Autobiography,Richard Rodriguez,9780143125884,256,5.0,1,Penguin Publishing Group,08/26/2014
143,Marcus: The Autobiography of Marcus Allen,"Marcus Allen, Carlton Stowers",9781466889743,352,,,St. Martin's Press,01/13/2015
144,"Biography: Best Sellers! Mother Teresa ( autobiography, diary, journal, life, life story, memoir, picture, profile, sketch, confessions, experience, letter, life history, personal account )","Biography Books, autobiography books, Mother Teresa",2940150110571,,3.0,2,Resounding Wind Publishing,12/16/2014
145,"Autobiography of Jack the Ripper: In His Own Words, The Confession of the World's Most Infamous Killer",James Carnac,9781402280580,320,3.5,2,Sourcebooks,09/03/2013
146,Benjamin Franklin's Autobiography,Benjamin Franklin,9780393935615,480,,,"Norton, W. W. &amp; Company, Inc.",01/16/2012
147,Die Nigger Die!: A Political Autobiography of Jamil Abdullah al-Amin,"H. Rap Brown (Jamil Abdullah Al-Amin), Jamil Al-Amin",9781556524523,192,3.3,3,"Chicago Review Press, Incorporated",04/28/2002
148,Over the Top and Back: The Autobiography,Tom Jones,9781592409617,432,,,Penguin Publishing Group,11/24/2015
149,50 Classic Autobiographies,"Booker T. Washington, Henry David Thoreau, John Muir",2940012105042,,3.2,21,Golgotha Press,02/03/2011
150,Autobiography of Benjamin Franklin.: ILLUSTRATED.,Benjamin Franklin,9781607780724,,3.5,298,MobileReference,01/01/2010
151,"Autobiography of Mark Twain: Volume 1, Reader's Edition",Mark Twain,9780520952447,440,3.3,737,University of California Press,03/26/2012
152,From the Holocaust to Hogan's Heroes: The Autobiography of Robert Clary,Robert Clary,9781461661931,224,5.0,1,Taylor Trade Publishing,12/17/2007
153,Autobiography Of A Duffer,Santosh Jha,2940045462426,,5.0,4,Santosh Jha,11/25/2013
154,"Gandhi, An Autobiography - The Story of My Experiments With Truth",M. K Gandhi,9780993742453,365,,,David Rehak,08/17/2014
155,KP: The Autobiography,Kevin Pietersen,9780751557565,,4.1,6,"Little, Brown Book Group",10/09/2014
156,The Measure of a Man: A Spiritual Autobiography,Sidney Poitier,9780061357909,272,4.1,55,HarperCollins Publishers,01/26/2007
157,Bill Peet: An Autobiography,Bill Peet,9780395689820,192,4.8,5,Houghton Mifflin Harcourt,03/28/1994
158,I Shock Myself: The Autobiography of Beatrice Wood,Beatrice Wood,9780811853613,192,,,Chronicle Books LLC,03/28/2006
159,Crusade for Justice: The Autobiography of IDA B. Wells,"Ida B. Wells, Ada B. Wells",9780226893440,466,,,University of Chicago Press,07/28/1991
160,Inside Track: Autobiography of Carl Lewis,Carl Lewis,9781476777917,264,,,Simon &amp; Schuster,01/11/2014
161,Change of Habit: The Autobiography of a Former Catholic Nun,Joanne Howe,9780892252923,120,5.0,1,Christian Communications,12/28/1996
162,"Works of Thomas Jefferson: The Jefferson Bible, Autobiography, Inaugural Addresses, State of the Union Addresses, Memoir, Correspondence, And Miscellanies and The Writings of Thomas Jefferson Vol. 6 (Illustrated)",Thomas Jefferson,9781607783107,,4.3,20,MobileReference,01/01/2010
163,"Advice to the Writer: The Writer's Guide to Plot, Revision, and Autobiography: A Digital Pamphlet: Excerpted from The Modern Library's Writer's Workshop",Stephen Koch,9780812993721,272,4.1,7,Random House Publishing Group,02/25/2014
164,Staying on Track: The Autobiography,Nigel Mansell,9781471151828,384,,,Simon &amp; Schuster UK,09/24/2015
165,Autobiography of a Brown Buffalo,Oscar Zeta Acosta,9780307831675,208,4.0,1,Knopf Doubleday Publishing Group,02/06/2013
166,Glow: The Autobiography of Rick James,Rick James,9781476764160,352,4.5,2,Atria Books,07/08/2014
167,King of the Mild Frontier: An Ill-Advised Autobiography,Chris Crutcher,9780060502515,272,3.9,9,HarperCollins Publishers,10/05/2004
168,The Autobiography of George Muller a Narrative of Some of the Lord's Dealings with George Muller Written,Himself Vol I,9781849027441,180,,,Benediction Books,05/28/2010
169,I Stooged to Conquer: The Autobiography of the Leader of the Three Stooges,Moe Howard,9781613747667,256,4.6,3,"Chicago Review Press, Incorporated",07/01/2013
170,Renegade at Heart: An Autobiography,Lorenzo Lamas,9781941631263,272,5.0,2,"BenBella Books, Inc.",12/09/2014
171,Living a Life of Fire Autobiography,Reinhard Bonnke,9781933106656,645,4.7,12,Harvester Services,09/17/2009
172,"The Last Manchu: The Autobiography of Henry Pu Yi, Last Emperor of China",Henry Pu Yi,9781626367258,352,5.0,2,Skyhorse Publishing,03/01/2010
173,The Autobiography of Margaret Sanger,Margaret Sanger,9780486120836,512,,,Dover Publications,02/14/2012
174,Benjamin Franklin - His Autobiography (Illustrated edition),Benjamin Franklin,2940015855920,,5.0,1,Unforgotten Classics,07/13/2015
175,My Bloody Roots: From Sepultura to Soulfly and beyond - The Autobiography,Max Cavalera,9781908279637,256,,,"Outline Press, Limited",07/20/2014
176,Time to Be in Earnest: A Fragment of Autobiography,P. D. James,9780345442123,306,3.6,5,Random House Publishing Group,02/27/2001
177,Holding On to the Air: An Autobiography / Edition 1,"Suzanne Farrell, Toni Bentley",9780813025933,352,4.0,3,University Press of Florida,09/28/2002
178,"Tales of Wonder: Adventures Chasing the Divine, an Autobiography",Huston Smith,9780061879449,240,4.1,7,HarperCollins Publishers,05/12/2009
179,The Autobiography of Hudson Taylor: Missionary to China,J. Hudson Taylor,2940012994165,,5.0,2,GLH Publishing,09/04/2011
180,Gaz: The Autobiography of Geordie Shore's Ultimate Lad,Gary Beadle,9781782199526,288,,,"John Blake Publishing, Limited",06/01/2014
181,"Hitler Biography: Best Seller! Standing Down Hitler ( autobiography, diary, journal, life, life story, memoir, picture, profile, sketch, confessions, experience, letter, life history, personal account )","Adolf Hitler, Hitler, World War 2",2940150020757,,3.0,2,Resounding Wind Publishing,12/16/2014
182,Pele: The Autobiography,"Pele, Alex Bellos, Orlando Duarte",9781416511212,368,,,Simon &amp; Schuster UK,05/08/2007
183,Fidel Castro: My Life: A Spoken Autobiography,"Fidel Castro, Ignacio Ramonet",9781416562337,736,4.3,9,Scribner,06/09/2009
184,Gerrard: My Autobiography,Steven Gerrard,9780553817331,352,4.7,4,Transworld Publishers Limited,09/28/2007
185,Breakaway: An Autobiography,Dan Murphy,9781505694703,432,5.0,1,CreateSpace Publishing,03/15/2015
186,James Arness: An Autobiography,James Arness,9780786433162,344,4.4,5,"McFarland &amp; Company, Incorporated Publishers",04/03/2008
187,Infinity Net: The Autobiography of Yayoi Kusama,Yayoi Kusama,9781849762137,240,,,Tate Publishing,08/04/2015
188,Geronimo: His Own Story: The Autobiography of a Great Patriot Warrior,"Geronimo, S. M. Barrett, Frederick W. Turner",9781101128046,208,3.7,7,Penguin Publishing Group,03/01/1996
189,We Were Young and Carefree: The Autobiography of Laurent Fignon,Laurent Fignon,9781407075211,304,,,Random House,06/16/2010
190,Spitfire: The Autobiography,Jon E. Lewis,9781472107824,544,5.0,2,"Little, Brown Book Group",02/07/2013
191,Veeck--As in Wreck: The Autobiography of Bill Veeck,"Bill Veeck, Ed Linn",9780226852188,400,,,University of Chicago Press,04/28/2001
192,"Mad, Bad & Dangerous to Know: The Autobiography",Ranulph Fiennes,9780340951699,352,,,"Hodder &amp; Stoughton, Ltd.",08/01/2008
193,Blackhawk: An Autobiography,"Blackhawk, Black Hawk",9781599869612,128,,,Filiquarian Publishing,11/07/2006
194,Autobiography of Benjamin Franklin: with Related Documents / Edition 2,Benjamin Franklin,9780312404154,208,,,Bedford/St. Martin's,04/02/2003
195,An Autobiography or The Story of my Experiments with Truth,Mohandas K. Gandhi,9781607784012,,4.2,24,MobileReference,01/01/2010
196,In My Own Way: An Autobiography,Alan Watts,9781577319931,,4.2,4,New World Library,06/01/2007
197,Holding On to the Air: An Autobiography,Suzanne Farrell,9780813059327,352,3.0,1,University Press of Florida,09/15/2002
198,The Autobiography of Saint Therese: The Story of a Soul,John Beevers,9780307778086,192,4.2,8,The Crown Publishing Group,01/26/2011
199,Recollections: An Autobiography,Viktor E. Frankl,9780786724222,352,4.0,2,Basic Books,08/04/2008
200,Kit Carson's Autobiography,Kit Carson,9780803252387,192,,,UNP - Bison Books,12/01/2013
201,"The Autobiography of Medgar Evers: A Hero's Life and Legacy Revealed Through His Writings, Letters, and Speeches","Myrlie Evers-Williams, Manning Marable",9780786722495,416,4.5,2,Basic Books,08/29/2006
202,Autobiography of Malcolm X (SparkNotes Literature Guide),"SparkNotes, Alex Haley, Malcolm X",9781411474031,72,4.0,13,Spark,08/12/2014
