Title_A,Author_A,Price_A,ISBN13_A,Publisher_A,Publication_Date_A,Pages_A,Dimensions_A,Title_B,Author_B,Price_B,ISBN13_B,Publisher_B,Publication_Date_B,Pages_B,Dimensions_B,Gold
"Bloody Jack: Being an Account of the Curious Adventures of Mary Jacky Faber, Ship's Boy (Bloody Jack Adventure Series #1)",L. A. Meyer,$9.99 ,9780152050856,Houghton Mifflin Harcourt,6/10/10,320.0,4.50(w) x 7.00(h) x 0.79(d),Bloody Jack(Bloody Jack Adventures (Paperback)),Louis A. Meyer,$10.61,9780152050856,Harcourt Paperbacks,"Jun. 10th, 2010",301,5.50 x 8.20 x 0.70 inches,1
Fade Out (Morganville Vampires Series #7),Rachel Caine,$6.99 ,9780451228666,Penguin Publishing Group,11/3/09,256.0,4.10(w) x 6.70(h) x 0.80(d),Fade Out(Morganville Vampires (Mass Market)),Rachel Caine,$8.43,9780451228666,Signet Book,"Nov. 3rd, 2009",256,4.10 x 6.60 x 0.70 inches,1
The Anger Workbook for Teens: Activities to Help You Deal with Anger and Frustration,Raychelle Cassada Lohmann,$11.35 ,9781572246997,New Harbinger Publications,12/2/09,144.0,7.80(w) x 9.80(h) x 0.40(d),The Anger Workbook for Teens(Instant Help Book for Teens),Raychelle Cassada Lohmann,$14.78,9781572246997,Instant Help Books,"Dec. 1st, 2009",129,7.90 x 9.90 x 0.30 inches,1
Hex Hall (Hex Hall Series #1),Rachel Hawkins,$8.99 ,9781423121398,Disney-Hyperion,2/1/11,352.0,5.50(w) x 8.20(h) x 0.90(d),Hex Hall(Hex Hall (Quality)),Rachel Hawkins,$10.27,9781423121398,Hyperion Books,"Feb. 1st, 2011",323,5.61 x 8.23 x 0.75 inches,1
School's Out - Forever (Maximum Ride Series #2),James Patterson,$7.82 ,9780316067966,"Little, Brown Books for Young Readers",4/1/07,448.0,5.20(w) x 7.50(h) x 1.30(d),School's Out-Forever(Maximum Ride (Quality)),James Patterson,$10.73,9780316067966,"Little, Brown Young Readers","Apr. 1st, 2007",403,5.68 x 7.38 x 1.24 inches,1
Uglies (Uglies Series #1),Scott Westerfeld,$7.45 ,9781442419810,Simon Pulse,5/3/11,432.0,8.04(w) x 5.58(h) x 1.16(d),Uglies(Uglies Trilogy),Scott Westerfeld,$12.29,9781442419810,Simon Pulse,"May. 3rd, 2011",406,5.50 x 8.20 x 1.20 inches,1
Speechless,Hannah Harrington,$7.81 ,9780373210527,Harlequin,8/28/12,288.0,5.38(w) x 8.25(h) x 0.81(d),Speechless(Harlequin Teen),Hannah K. Harrington,,9780373210527,Harlequin Teen,"Aug. 28th, 2012",288,,1
Torn Thread,Anne Isaacs,$6.99 ,9780590603645,"Scholastic, Inc.",10/1/02,192.0,5.30(w) x 7.60(h) x 0.48(d),Torn Thread,Anne Isaacs,$8.24,9780590603645,Scholastic Signature,"Oct. 1st, 2002",188,5.20 x 7.51 x 0.46 inches,1
The Grey King (The Dark Is Rising Sequence Series #4),Susan Cooper,$8.99 ,9781416949671,Margaret K. McElderry Books,5/8/07,192.0,5.50(w) x 8.20(h) x 0.60(d),The Grey King(Dark Is Rising Sequence (Simon Pulse)),Susan Cooper,$9.97,9781416949671,Simon Pulse,"May. 8th, 2007",165,5.55 x 8.25 x 0.53 inches,1
Miracle's Boys,Jacqueline Woodson,$7.99 ,9780142415535,Penguin Young Readers Group,1/7/10,176.0,5.50(w) x 8.25(h) x 0.38(d),Miracle's Boys,Jacqueline Woodson,$8.59,9780142415535,Speak,"Jan. 7th, 2010",133,5.40 x 8.10 x 0.60 inches,1
Los juegos del hambre (The Hunger Games),Suzanne Collins,$16.39 ,9788427202122,"Lectorum Publications, Inc.",3/1/12,396.0,5.60(w) x 8.30(h) x 1.50(d),Los Juegos del Hambre = The Hunger Games(Hunger Games),Suzanne Collins,$19.87,9788427202122,Molino,"Mar. 1st, 2012",396,5.59 x 8.33 x 1.38 inches,1
Necropolis (The Gatekeepers Series #4),Anthony Horowitz,$7.92 ,9780439680066,"Scholastic, Inc.",4/1/11,400.0,5.10(w) x 7.70(h) x 1.20(d),The Gatekeepers #4(Gatekeepers (Paperback)),Anthony Horowitz,$9.74,9780439680066,Scholastic Paperbacks,"Apr. 1st, 2011",400,5.17 x 7.74 x 0.97 inches,1
Ship Breaker,Paolo Bacigalupi,$7.96 ,9780316056199,"Little, Brown Books for Young Readers",10/3/11,352.0,5.40(w) x 8.20(h) x 1.00(d),Ship Breaker,Paolo Bacigalupi,$11.32,9780316056199,"Little, Brown Books for Young Readers","Oct. 3rd, 2011",352,5.24 x 8.48 x 0.92 inches,1
Shelter (Mickey Bolitar Series #1),Harlan Coben,$8.99 ,9780142422038,Penguin Young Readers Group,8/21/12,336.0,5.62(w) x 8.04(h) x 0.84(d),Shelter(Mickey Bolitar Novels (Quality)),Harlan Coben,$9.76,9780142422038,Speak,"Aug. 21st, 2012",320,5.40 x 8.20 x 1.00 inches,1
A Hat Full of Sky: The Second Tiffany Aching Adventure (Discworld Series #32),Terry Pratchett,$8.99 ,9780060586621,HarperCollins Publishers,6/14/05,448.0,4.34(w) x 6.72(h) x 1.23(d),A Hat Full of Sky(Discworld),Terry Pratchett,$9.65,9780060586621,HarperTrophy,"Jun. 14th, 2005",407,4.28 x 6.72 x 1.18 inches,1
"I'd Tell You I Love You, but Then I'd Have to Kill You (Gallagher Girls Series #1)",Ally Carter,$9.99 ,9781423100041,Disney-Hyperion,3/20/07,288.0,5.50(w) x 8.10(h) x 0.60(d),"I'd Tell You I Love You, But Then I'd Have to Kill You(Gallagher Girls)",Ally Carter,$10.72,9781423100041,Hyperion Books for Children,"Mar. 20th, 2007",284,5.80 x 8.22 x 0.62 inches,1
Bang!,Sharon Flake,$7.22 ,9780786849550,Disney-Hyperion,7/31/07,304.0,5.50(w) x 8.25(h) x 0.62(d),Bang!,Sharon G. Flake,$9.92,9780786849550,Jump at the Sun,"Aug. 1st, 2007",298,5.66 x 8.24 x 0.63 inches,1
This Is Not a Test,Courtney Summers,$9.99 ,9780312656744,St. Martin's Press,6/19/12,336.0,5.40(w) x 8.10(h) x 0.90(d),This Is Not a Test,Courtney Summers,$11.29,9780312656744,St. Martin's Griffin,"Jun. 19th, 2012",326,5.52 x 8.27 x 1.01 inches,1
Clash of the Demons (Last Apprentice Series #6),Joseph Delaney,$9.99 ,9780061344640,HarperCollins Publishers,7/27/10,395.0,5.30(w) x 7.90(h) x 1.10(d),Clash of the Demons(Last Apprentice (Paperback)),Joseph Delaney,$10.86,9780061344640,Greenwillow Books,"Jul. 27th, 2010",395,5.42 x 7.98 x 1.07 inches,1
Flight #116 is Down,Caroline B. Cooney,$6.99 ,9780590444798,"Scholastic, Inc.",7/28/97,208.0,4.28(w) x 6.81(h) x 0.58(d),Flight #116 is Down!(Point),Caroline B. Cooney,$8.31,9780590444798,Scholastic,"Jul. 1st, 1997",201,4.28 x 6.81 x 0.58 inches,1
The Second Summer of the Sisterhood,Ann Brashares,$9.99 ,9780385731058,Random House Children's Books,12/28/04,373.0,6.00(w) x 9.00(h) x 1.00(d),The Second Summer of the Sisterhood(Sisterhood of the Traveling Pants (Paperback)),Ann Brashares,$10.19,9780385731058,Delacorte Press Books for Young Readers,"Dec. 28th, 2004",373,5.15 x 8.59 x 0.91 inches,1
The Truth of the Matter (The Homelanders Series #3),Andrew Klavan,$9.99 ,9781401685201,"Nelson, Thomas, Inc.",11/29/11,346.0,8.40(w) x 5.58(h) x 0.94(d),The Truth of the Matter(Homelanders (Paperback)),Andrew Klavan,$10.72,9781401685201,Thomas Nelson s,"Nov. 29th, 2011",343,5.40 x 8.30 x 1.00 inches,1
The Demon King (Seven Realms Series #1),Cinda Williams Chima,$9.99 ,9781423121367,Disney-Hyperion,8/31/10,528.0,5.90(w) x 11.06(h) x 1.12(d),The Demon King(Seven Realms (Trilogy) (Quality)),Cinda Williams Chima,$11.29,9781423121367,Hyperion Books,"Aug. 31st, 2010",506,5.55 x 8.22 x 1.11 inches,1
Beowulf: A New Telling,Robert Nye,$5.99 ,9780440905608,Random House Children's Books,3/28/82,112.0,6.88(w) x 10.90(h) x 0.32(d),Beowulf,Robert Nye,$7.71,9780440905608,Laurel Leaf Library,"Mar. 15th, 1982",112,4.40 x 7.18 x 0.33 inches,1
Last Breath (Morganville Vampires Series #11),Rachel Caine,$9.99 ,9780451235800,Penguin Publishing Group,4/3/12,368.0,5.40(w) x 8.20(h) x 1.00(d),Last Breath(Morganville Vampires),Rachel Caine,$11.27,9780451235800,New American Library,"Apr. 3rd, 2012",368,5.54 x 8.19 x 0.81 inches,1
A Year Down Yonder,Richard Peck,$6.99 ,9780142300701,Penguin Young Readers Group,11/28/02,144.0,5.06(w) x 7.75(h) x 0.44(d),A Year Down Yonder,Richard Peck,$8.43,9780142300701,Puffin Books,"Dec. 30th, 2002",144,5.08 x 7.73 x 0.40 inches,1
Eleanor's Story: An American Girl in Hitler's Germany,Eleanor Ramrath Garner,$7.75 ,9781561452965,"Peachtree Publishing, Inc.",10/28/03,288.0,5.90(w) x 8.40(h) x 0.80(d),Eleanor's Story,Eleanor Ramrath Garner,$10.57,9781561452965,Peachtree s,"Oct. 1st, 2003",269,5.98 x 8.60 x 0.82 inches,1
Cinder (Lunar Chronicles Series #1),Marissa Meyer,$9.99 ,9781250007209,Square Fish,1/8/13,448.0,5.66(w) x 8.04(h) x 1.17(d),Cinder(Lunar Chronicles),Marissa Meyer,$11.29,9781250007209,Square Fish,"Jan. 8th, 2013",448,,1
The Vampire Diaries #3-4: The Fury and Dark Reunion,L. J. Smith,$9.99 ,9780061140983,HarperCollins Publishers,12/26/07,520.0,5.30(w) x 7.90(h) x 1.50(d),The Fury and Dark Reunion(Vampire Diaries),L. J. Smith,$10.97,9780061140983,Harper Teen,"Dec. 26th, 2007",528,6.04 x 7.41 x 1.29 inches,1
Peter and the Secret of Rundoon (Starcatchers Series #3),Ridley Pearson,$8.99 ,9781423123262,Disney-Hyperion,6/9/09,496.0,5.70(w) x 7.80(h) x 1.10(d),Peter and the Secret of Rundoon(Starcatchers (Paperback)),Dave Barry,$10.29,9781423123262,Hyperion Books,"Jun. 1st, 2009",482,5.24 x 7.59 x 1.06 inches,1
Monster High (Monster High Series #1),Lisi Harrison,$7.44 ,9780316176217,"Little, Brown Books for Young Readers",9/5/11,272.0,5.40(w) x 8.20(h) x 0.90(d),Monster High(Monster High (Paperback)),Lisi Harrison,$9.89,9780316176217,Poppy Books,"Sep. 5th, 2011",257,5.40 x 8.10 x 0.80 inches,1
Last Night I Sang to the Monster,Benjamin Alire S��enz,$10.05 ,9781935955092,Cinco Puntos Press,4/3/12,304.0,6.06(w) x 8.80(h) x 0.68(d),Last Night I Sang to the Monster,Benjamin Alire Saenz,$12.85,9781935955092,Cinco Puntos Press,"Apr. 3rd, 2012",239,5.90 x 8.90 x 0.80 inches,1
Touch of Frost (Mythos Academy Series #1),Jennifer Estep,$9.95 ,9780758266927,Kensington,8/1/11,336.0,5.40(w) x 8.20(h) x 1.20(d),Touch of Frost(Mythos Academy Novels),Jennifer Estep,$10.95,9780758266927,Kensington Publishing Corporation,"Aug. 1st, 2011",373,5.57 x 8.24 x 1.07 inches,1
Shooter,Walter Dean Myers,$8.45 ,9780064472906,HarperCollins Publishers,3/29/05,256.0,5.00(w) x 7.12(h) x 0.51(d),Shooter,Walter Dean Myers,$10.67,9780064472906,Amistad Press,"Mar. 29th, 2005",223,5.08 x 7.22 x 0.58 inches,1
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,$6.45 ,9780440407126,Random House Children's Books,11/12/02,160.0,6.92(w) x 4.24(h) x 0.44(d),Guts,Gary Paulsen,$8.53,9780440407126,Laurel Leaf Library,"Nov. 12th, 2002",160,4.18 x 6.90 x 0.45 inches,1
Lioness Rampant (Song of the Lioness Series #4),Tamora Pierce,$7.99 ,9780689878572,Simon Pulse,1/28/05,400.0,4.19(w) x 7.00(h) x 1.10(d),Lioness Rampant(Song of the Lioness (Paperback)),Tamora Pierce,$8.77,9780689878572,Simon Pulse,"Jan. 6th, 2005",384,4.20 x 7.04 x 1.06 inches,1
Paper Covers Rock,Jenny Hubbard,$6.08 ,9780385740562,Random House Children's Books,6/12/12,192.0,5.60(w) x 8.10(h) x 0.60(d),Paper Covers Rock,Jenny Hubbard,$9.98,9780385740562,Ember,"Jun. 12th, 2012",183,5.40 x 8.10 x 0.60 inches,1
Anna Dressed in Blood,Kendare Blake,$9.99 ,9780765328670,Tom Doherty Associates,7/3/12,320.0,5.56(w) x 8.04(h) x 0.86(d),Anna Dressed in Blood,Kendare Blake,$11.00,9780765328670,Tor Books,"Jul. 3rd, 2012",316,5.50 x 8.23 x 0.85 inches,1
Artemis Fowl; The Lost Colony,Eoin Colfer,$8.99 ,9781423124948,Disney-Hyperion,8/11/09,432.0,5.20(w) x 7.50(h) x 1.20(d),Artemis Fowl(Artemis Fowl (Quality)),Eoin Colfer,$9.99,9781423124948,Hyperion Books,"Aug. 1st, 2009",416,5.02 x 7.74 x 1.02 inches,1
Cascade (River of Time Series),Lisa T. Bergren,$9.99 ,9781434764317,"Cook, David C",6/1/11,416.0,5.50(w) x 8.20(h) x 1.20(d),Cascade(River of Time),Lisa Bergren,$10.94,9781434764317,David C. Cook,"Jun. 1st, 2011",416,5.50 x 8.20 x 1.20 inches,1
"Eyes Like Stars: Theatre Illuminata, Act I",Lisa Mantchev,$8.68 ,9780312608668,Square Fish,4/13/10,384.0,5.64(w) x 8.36(h) x 1.04(d),Eyes Like Stars(Theatre Illuminata),Lisa Mantchev,$14.03,9780312608668,Square Fish,"Apr. 13th, 2010",356,5.64 x 8.22 x 1.05 inches,1
"Tan Lines: Sand, Surf, and Secrets; Rays, Romance, and Rivalry; Beaches, Boys, and Betrayal",Katherine Applegate,$7.52 ,9781416961345,Simon Pulse,6/30/08,544.0,5.10(w) x 7.40(h) x 1.50(d),Tan Lines(Summer Novels),Katherine Applegate,$5.79,9781416961345,Simon Pulse,"Jun. 3rd, 2008",539,5.06 x 7.66 x 1.45 inches,1
"Seventeen Ultimate Guide to Beauty: The Best Hair, Skin, Nails and Makeup Ideas For You",Ann Shoket,$13.30 ,9780762445240,Running Press Book Publishers,7/10/12,192.0,9.50(w) x 10.40(h) x 0.70(d),Seventeen Ultimate Guide to Beauty,Ann Shoket,$11.00,9780762445240,Running Press Book s,"Jul. 10th, 2012",192,9.30 x 10.50 x 0.50 inches,1
19 Varieties of Gazelle: Poems of the Middle East,Naomi Shihab Nye,$8.99 ,9780060504045,HarperCollins Publishers,3/15/05,160.0,5.00(w) x 7.12(h) x 0.40(d),19 Varieties of Gazelle,Naomi Shihab Nye,$9.94,9780060504045,HarperTempest,"Mar. 15th, 2005",142,4.95 x 7.26 x 0.44 inches,1
Gossip Girl (Gossip Girl Series #1),Cecily von Ziegesar,$10.12 ,9780316910330,"Little, Brown Books for Young Readers",4/1/02,224.0,5.25(w) x 8.00(h) x 0.62(d),Gossip Girl(Gossip Girl Novels (Paperback)),Cecily Von Ziegesar,$11.99,9780316910330,Poppy Books,"Apr. 1st, 2002",208,5.35 x 8.03 x 0.62 inches,1
Lord Loss (Demonata Series #1),Darren Shan,$8.17 ,9780316012331,"Little, Brown Books for Young Readers",5/10/06,240.0,5.37(w) x 8.25(h) x 0.75(d),Lord Loss(Demonata (Paperback)),Darren Shan,$10.70,9780316012331,"Little, Brown Books for Young Readers","May. 10th, 2006",233,5.52 x 8.26 x 0.63 inches,1
Awaken,Katie Kacvinsky,$8.99 ,9780547721989,Houghton Mifflin Harcourt,4/17/12,320.0,5.80(w) x 8.40(h) x 1.20(d),Awaken,Katie Kacvinsky,$9.21,9780547721989,Graphia Books,"Apr. 17th, 2012",320,5.40 x 8.20 x 0.90 inches,1
The Declaration,Gemma Malley,$7.23 ,9781599902951,Bloomsbury USA,9/2/08,320.0,4.90(w) x 7.70(h) x 1.00(d),The Declaration,Gemma Malley,$10.70,9781599902951,Bloomsbury Publishing PLC,"Aug. 19th, 2008",300,5.06 x 7.80 x 0.85 inches,1
Brisingr (Inheritance Cycle Series #3),Christopher Paolini,$11.53 ,9780375826740,Random House Children's Books,4/13/10,800.0,5.10(w) x 7.90(h) x 1.80(d),Brisingr(Inheritance Cycle (Paperback)),Christopher Paolini,$13.65,9780375826740,Alfred A. Knopf Books for Young Readers,"Apr. 13th, 2010",800,5.70 x 8.10 x 1.70 inches,1
"Dark Magick / Awakening / Spellbound (Sweep Series #4, #5, & #6)",Cate Tiernan,$8.99 ,9780142418970,Penguin Young Readers Group,11/11/10,576.0,7.54(w) x 5.12(h) x 1.48(d),"Dark Magick, Awakening, and Spellbound(Sweep 3 in 1)",Cate Tiernan,$10.29,9780142418970,Speak,"Nov. 11th, 2010",576,5.00 x 7.70 x 1.60 inches,1
The Sky Is Everywhere,Jandy Nelson,$9.99 ,9780142417805,Penguin Young Readers Group,3/22/11,320.0,5.56(w) x 8.22(h) x 0.87(d),The Sky Is Everywhere,Jandy Nelson,$9.99,9780142417805,Speak,"Mar. 22nd, 2011",275,5.62 x 8.19 x 0.85 inches,1
I Am the Cheese,Robert Cormier,$9.99 ,9780375840395,Random House Children's Books,9/11/07,256.0,5.50(w) x 8.10(h) x 0.90(d),I Am the Cheese,Robert Cormier,$9.87,9780375840395,Alfred A. Knopf Books for Young Readers,"Sep. 11th, 2007",256,5.78 x 7.97 x 0.59 inches,1
The Juvie Three,Gordon Korman,$7.60 ,9781423101628,Disney-Hyperion,1/5/10,256.0,5.20(w) x 7.50(h) x 0.80(d),The Juvie Three,Gordon Korman,$9.86,9781423101628,Hyperion Books,"Jan. 1st, 2010",249,5.10 x 7.40 x 0.80 inches,1
Girls in Pants: The Third Summer of the Sisterhood,Ann Brashares,$9.99 ,9780553375930,Random House Children's Books,6/13/06,384.0,5.50(w) x 8.23(h) x 0.85(d),Girls in Pants(Sisterhood of the Traveling Pants (Paperback)),Ann Brashares,$10.18,9780553375930,Delacorte Press Books for Young Readers,"Jun. 13th, 2006",338,5.55 x 8.27 x 0.86 inches,1
Tunes for Bears to Dance To,Robert Cormier,$5.99 ,9780440219033,Random House Children's Books,4/28/94,112.0,4.10(w) x 6.70(h) x 0.50(d),Tunes for Bears to Dance to,Robert Cormier,$7.81,9780440219033,Laurel Leaf Library,"Apr. 1st, 1994",112,4.21 x 6.91 x 0.32 inches,1
Watch the Skies (Daniel X Series #2),James Patterson,$8.00 ,9780316119696,"Little, Brown Books for Young Readers",6/15/10,239.0,5.25(w) x 7.75(h) x 0.75(d),Watch the Skies(Daniel X),James Patterson,$9.17,9780316119696,"Little, Brown Books for Young Readers","Jun. 15th, 2010",239,6.18 x 7.66 x 0.78 inches,1
"Streams to the River, River to the Sea",Scott O'Dell,$6.99 ,9780618966424,Houghton Mifflin Harcourt,5/5/08,208.0,4.19(w) x 6.88(h) x 0.53(d),"Streams to the River, River to the Sea",Scott O'Dell,$8.50,9780618966424,Graphia Books,"May. 5th, 2008",191,5.02 x 6.92 x 0.56 inches,1
