ID_A,ID_B,Name_A,Name_B,Address_A,Address_B,Phone_A,Phone_B
1028,208,manora,'roosevelt tamale parlor','3226 mission st.','2817 24th st.',415/861-6224,415-550-9213
997,188,'california culinary academy','cafe flore','625 polk st.','2298 market st.',415/771-3500,415-621-8579
1049,209,'stars cafe','sally\'s cafe & bakery','500 van ness ave.','300 de haro st.',415/861-4344,415-626-6006
807,109,'jean lafitte','stick to your ribs','68 w. 58th st.','5-16 51st ave.',212/751-2323,718-937-3030
725,11,'big cup','bruno\'s','228 8th ave.  between 21st and 22nd sts.','3838 centinela ave.',212/206-0059,310-397-5703
613,246,ciboulette,'cafe des artistes','1529 piedmont ave.','1 w. 67th st.',404/874-7600,212-877-3500
951,24,'south city kitchen','jan\'s family restaurant','1144 crescent ave.','8424 beverly blvd.',404/873-7358,213-651-2866
850,267,odeon,'mi cocina','145 w. broadway at thomas st.','57 jane st.',212/233-0507,212-627-8273
622,135,'pano\'s and paul\'s','nicky blair\'s','1232 w. paces ferry rd.','3925 paradise rd.',404/261-3662,702-792-9900
589,286,'rainbow room','chin\'s','30 rockefeller plaza','3200 las vegas blvd. s.',212/632-5000,702-733-8899
651,237,beaurivage,'pinot bistro','26025 pacific coast hwy.','12969 ventura blvd.',310/456-5733,818-990-0500
778,324,firehouse,'lulu restaurant-bis-cafe','522 columbus ave.  between 85th and 86th sts.','816 folsom st.',212/595-3139,415-495-5775
610,167,'bone\'s','kalo\'s coffee house','3130 piedmont road','1248 clairmont rd.',404/237-2663,404-325-3733
1052,106,suppenkuche,'sam\'s noodle shop','601 hayes st.','411 third ave.',415/252-9289,212-213-2288
894,248,'the coffee pot','carnegie deli','350 9th ave. at 49th st.','854 seventh ave.',212/265-3566,212-757-2245
826,290,'le perigord','second street grill','405 e. 52nd st.','200 e. fremont st.',212/755-6244,702-385-6277
739,14,'cafe pierre','cassell\'s','2 e. 61st st.','3266 w. sixth st.',212/940-8185,213-480-8668
868,33,'red tulip','kokomo cafe','439 e. 75th st.','6333 w. third st.',212/734-4893,213-933-0773
851,91,orso,'lemongrass grill','322 w. 46th st.','61a seventh ave.',212/489-7212,718-399-7100
738,158,'cafe luxembourg','flying biscuit  the','200 w. 70th st.','1655 mclendon ave.',212/873-7411,404-687-8888
903,52,'veniero\'s pasticceria','pho hoa','342 e. 11th st.  near 1st ave.','642 broadway',212/674-7264,213-626-5530
553,2,'rex il ristorante','asahi ramen','617 s. olive st.','2027 sawtelle blvd.',213/627-2300,310-479-2231
664,290,'dining room','second street grill','9500 wilshire blvd.','200 e. fremont st.',310/275-5200,702-385-6277
1027,142,'macarthur park','103 west','607 front st.','103 w. paces ferry rd.',415/398-5700,404-233-5993
933,260,'hsu\'s gourmet','le bernardin','192 peachtree center ave.  at international blvd.','155 w. 51st st.',404/659-2788,212-489-1515
971,111,'circus circus','sylvia\'s','2880 las vegas blvd. s','328 lenox ave.',702/734-0410,212-996-0660
948,144,'rib ranch','baker\'s cajun cafe','25 irby ave.','1134 euclid ave.',404/233-7644,404-223-5039
1056,182,'ton kiang',tortillas,'3148 geary blvd.','774 ponce de leon ave. ne',415/752-4440,404-892-0193
800,248,'hudson river club','carnegie deli','4 world financial center','854 seventh ave.',212/786-1500,212-757-2245
558,302,aquavit,'heera of india','13 w. 54th st.','595 piedmont ave.',212/307-7311,404-876-4408
1044,262,sanppo,'lespinasse (new york city)','1702 post st.','2 e. 55th st.',415/346-3486,212-339-6719
846,224,'motown cafe','chinois on main','104 w. 57th st.  near 6th ave.','2709 main st.',212/581-8030,310-392-9025
840,161,'matthew\'s','harold\'s barbecue','1030 3rd ave. at 61st st.','171 mcdonough blvd.',212/838-4343,404-627-9268
538,317,campanile,'campton place','624 s. la brea ave.','340 stockton st.',213/938-1447,415-955-5555
1005,145,'garden court','barbecue kitchen','market and new montgomery sts.','1437 virginia ave.',415/546-5011,404-766-9906
940,214,'mambo restaurante cubano','ti couz','1402 n. highland ave.','3108 16th st.',404/874-2626,415-252-7373
980,174,mikado,'nuevo laredo cantina','3400 las vegas blvd. s','1495 chattahoochee ave. nw',702/791-7111,404-352-9009
821,242,'le colonial','21 club','149 e. 57th st.','21 w. 52nd st.','212/ 752-0808',212-582-7200
832,136,'mad fish','piero\'s restaurant','2182 broadway  between 77th and 78th sts.','355 convention center dr.',212/787-0202,702-369-2305
594,218,'shun lee west','wa-ha-ka oaxaca mexican grill','43 w. 65th st.','2141 polk st.',212/371-8844,415-775-1055
1039,86,pastis,'kelley & ping','1015 battery st.','127 greene st.',415/391-2555,212-228-1212
864,69,pomaire,'afghan kebab house','371 w. 46th st.  off 9th ave.','764 ninth ave.','212/ 956-3055',212-307-1612
664,265,'dining room',march,'9500 wilshire blvd.','405 e. 58th st.',310/275-5200,212-754-6272
688,142,'ocean avenue','103 west','1401 ocean ave.','103 w. paces ferry rd.',310/394-5669,404-233-5993
843,304,'monkey bar','la grotta','60 e. 54th st.','2637 peachtree rd. ne',212/838-2600,404-231-1368
836,194,'manila garden','dusit thai','325 e. 14th st.  between 1st and 2nd aves.','3221 mission st.',212/777-6314,415-826-4639
621,212,'nikolai\'s roof','swan oyster depot','255 courtland st.  at harris st.','1517 polk st.',404/221-6362,415-673-1101
701,54,swingers,'poquito mas','8020 beverly blvd.','2635 w. olive ave.',213/653-5858,818-563-2252
779,25,first,jiraffe,'87 1st ave.  between 5th and 6th sts.','502 santa monica blvd',212/674-3823,310-917-6671
882,331,sfuzzi,'ritz-carlton cafe (atlanta)','58 w. 65th st.','181 peachtree st.',212/873-3700,404-659-0400
673,240,'gladstone\'s',valentino,'4 fish 17300 pacific coast hwy. at sunset blvd.','3115 pico blvd.',310/454-3474,310-829-4313
542,223,granita,campanile,'23725 w. malibu rd.','624 s. la brea ave.',310/456-0488,213-938-1447
997,283,'california culinary academy','uncle nick\'s','625 polk st.','747 ninth ave.',415/771-3500,212-245-7992
586,262,petrossian,'lespinasse (new york city)','182 w. 58th st.','2 e. 55th st.',212/245-2214,212-339-6719
883,81,shaan,'gray\'s papaya','57 w. 48th st.','2090 broadway','212/ 977-8400',212-799-0243
762,225,'dean & deluca',citrus,'121 prince st.','6703 melrose ave.',212/254-8776,213-857-0034
855,167,palio,'kalo\'s coffee house','151 w. 51st. st.','1248 clairmont rd.',212/245-4850,404-325-3733
867,23,rain,'indo cafe','100 w. 82nd st.','10428 1/2 national blvd.',212/501-0776,310-815-1290
601,219,'chin\'s','arnie morton\'s of chicago','3200 las vegas blvd. s','435 s. la cienega blvd.',702/733-8899,310-246-1501
536,138,'hotel bel-air','steakhouse  the','701 stone canyon rd.','128 e. fremont st.',310/472-1211,702-382-1600
835,237,'manhattan cafe','pinot bistro','1161 1st ave.  between 63rd and 64th sts.','12969 ventura blvd.',212/888-6556,818-990-0500
808,89,'jewel of india','la caridad','15 w. 44th st.','2199 broadway',212/869-5544,212-874-2780
743,307,'caffe dell\'artista','pano\'s & paul\'s','46 greenwich ave.','1232 w. paces ferry rd.',212/645-4431,404-261-3662
582,30,'mi cocina','johnny reb\'s southern smokehouse','57 jane st.  off hudson st.','4663 long beach blvd.',212/627-8273,310-423-7327
700,56,sofi,'rae\'s','3rd st.','2901 pico blvd.',213/651-0346,310-828-7937
814,269,'l\'auberge du midi',oceana,'310 w. 4th st.  between w. 12th and bank sts.','55 e. 54th st.',212/242-4705,212-759-5941
747,144,'caffe vivaldi','baker\'s cajun cafe','32 jones st. at bleecker st.','1134 euclid ave.',212/691-7538,404-223-5039
823,262,'le jardin','lespinasse (new york city)','25 cleveland pl.  near spring st.','2 e. 55th st.',212/343-9599,212-339-6719
549,307,'the palm','pano\'s & paul\'s','9001 santa monica blvd.','1232 w. paces ferry rd.',310/550-8811,404-261-3662
579,265,'manhattan ocean club',march,'57 w. 58th st.','405 e. 58th st.','212/ 371-7777',212-754-6272
624,31,'dining room  ritz-carlton  buckhead','johnny rockets (la)','3434 peachtree rd.','7507 melrose ave.',404/237-2700,213-651-3361
786,256,'french roast cafe','island spice','2340 broadway at 85th st.','402 w. 44th st.',212/799-1533,212-765-1737
842,232,'milan cafe and coffee bar','locanda veneta','120 w. 23rd st.','8638 w. third st.',212/807-1801,310-274-1893
594,154,'shun lee west',chops,'43 w. 65th st.','70 w. paces ferry rd.',212/371-8844,404-262-2675
806,175,ipanema,'original pancake house (at)','13 w. 46th st.','4330 peachtree rd.',212/730-5848,404-237-4116
646,71,bolo,'benny\'s burritos','23 e. 22nd st.','93 ave. a',212/228-2200,212-254-2054
712,203,agrotikon,'mario\'s bohemian cigar store cafe','322 e. 14 st.  between 1st and 2nd aves.','2209 polk st.',212/473-2602,415-776-8226
893,320,terrace,fringale,'400 w. 119th st.  between amsterdam and morningside aves.','570 fourth st.',212/666-9490,415-543-0573
895,219,'the savannah club','arnie morton\'s of chicago','2420 broadway at 89th st.','435 s. la cienega blvd.',212/496-1066,310-246-1501
962,232,'binion\'s coffee shop','locanda veneta','128 fremont st.','8638 w. third st.',702/382-1600,310-274-1893
575,152,'le bernardin','carey\'s','155 w. 51st st.','1021 cobb pkwy. se',212/489-1515,770-422-8042
891,277,tapika,'second avenue deli','950 8th ave. at 56th st.','156 second ave.','212/ 397-3737',212-677-0606
874,61,'sal anthony\'s',shiro,'55 irving pl.','1505 mission st. s.',212/982-9030,818-799-4774
928,175,'dante\'s down the hatch','original pancake house (at)','underground underground mall  underground atlanta','4330 peachtree rd.',404/577-1800,404-237-4116
610,207,'bone\'s','phnom penh cambodian restaurant','3130 piedmont road','631 larkin st.',404/237-2663,415-775-5979
1039,241,pastis,'yujean kang\'s','1015 battery st.','67 n. raymond ave.',415/391-2555,818-585-0855
990,273,betelnut,pisces,'2030 union st.','95 ave. a',415/929-8855,212-260-6660
592,261,'second avenue deli','les celebrites','156 2nd ave. at 10th st.','155 w. 58th st.',212/677-0606,212-484-5113
637,231,'khan toke thai house','le chardonnay (los angeles)','5937 geary blvd.','8284 melrose ave.',415/668-6654,213-655-8880
795,171,'grand ticino','morton\'s of chicago (atlanta)','228 thompson st.  between w. 3rd and bleecker sts.','303 peachtree st. ne',212/777-5922,404-577-4366
564,220,chanterelle,'art\'s deli','2 harrison st.  near hudson st.','12224 ventura blvd.',212/966-6960,818-762-1221
1018,188,'izzy\'s steak & chop house','cafe flore','3345 steiner st.','2298 market st.',415/563-0487,415-621-8579
706,240,'trader vic\'s',valentino,'9876 wilshire blvd.','3115 pico blvd.',310/276-6345,310-829-4313
572,45,'jo jo',mishima,'160 e. 64th st.','8474 w. third st.',212/223-5656,213-782-0181
668,242,'dynasty room','21 club','930 hilgard ave.','21 w. 52nd st.',310/208-8765,212-582-7200
951,79,'south city kitchen','elias corner','1144 crescent ave.','24-02 31st st.',404/873-7358,718-932-1510
993,232,bizou,'locanda veneta','598 fourth st.','8638 w. third st.',415/543-2222,310-274-1893
995,182,'cafe adriano',tortillas,'3347 fillmore st.','774 ponce de leon ave. ne',415/474-4180,404-892-0193
1043,116,rumpus,'thailand restaurant','1 tillman pl.','106 bayard st.',415/421-2300,212-349-3132
853,43,otabe,'maxwell\'s cafe','68 e. 56th st.','13329 washington blvd.',212/223-7575,310-306-7829
977,267,'mandarin court','mi cocina','1510 e. flamingo rd.','57 jane st.',702/737-1234,212-627-8273
791,215,'gianni\'s','trio cafe','15 fulton st.','1870 fillmore st.',212/608-7300,415-563-2248
540,173,citrus,nava,'6703 melrose ave.','3060 peachtree rd.',213/857-0034,404-240-1984
746,21,'caffe roma','gumbo pot  the','385 broome st. at mulberry','6333 w. third st.',212/226-8413,213-933-0358
557,295,'21 club','bone\'s restaurant','21 w. 52nd st.','3130 piedmont rd. ne',212/582-7200,404-237-2663
556,327,'yujean kang\'s gourmet chinese cuisine','plumpjack cafe','67 n. raymond ave.','3127 fillmore st.',818/585-0855,415-563-4755
580,307,march,'pano\'s & paul\'s','405 e. 58th st.','1232 w. paces ferry rd.',212/754-6272,404-261-3662
623,273,'cafe  ritz-carlton  buckhead',pisces,'3434 peachtree rd.','95 ave. a',404/237-2700,212-260-6660
668,25,'dynasty room',jiraffe,'930 hilgard ave.','502 santa monica blvd',310/208-8765,310-917-6671
1041,92,'r&g lounge','lombardi\'s','631 b kearny st.','32 spring st.',415/982-7877,212-941-7994
1056,250,'ton kiang',daniel,'3148 geary blvd.','20 e. 76th st.',415/752-4440,212-288-0033
889,108,'t salon','sparks steak house','143 mercer st. at prince st.','210 e. 46th st.',212/925-3700,212-687-4855
616,278,'hedgerose heights inn',seryna,'490 e. paces ferry rd.','11 e. 53rd st.',404/233-7673,212-980-9393
916,293,anthonys,abruzzi,'3109 piedmont rd.  just south of peachtree rd.','2355 peachtree rd. ne',404/262-7379,404-261-8186
755,32,'china grill','killer shrimp','60 w. 53rd st.','4000 colfax ave.',212/333-7788,818-508-1570
750,242,'captain\'s table','21 club','860 2nd ave. at 46th st.','21 w. 52nd st.',212/697-9538,212-582-7200
1008,258,greens,'la caravelle','bldg. a fort mason','33 w. 55th st.',415/771-6222,212-586-4252
774,65,ferrier,'tommy\'s','29 e. 65th st.','2575 beverly blvd.',212/772-9000,213-389-9060
661,72,'cha cha cha','cafe con leche','656 n. virgil ave.','424 amsterdam ave.',213/664-7723,212-595-7000
1052,236,suppenkuche,'philippe the original','601 hayes st.','1001 n. alameda st.',415/252-9289,213-628-3781
1053,68,'tadich grill','zankou chicken','240 california st.','1415 e. colorado st.',415/391-2373,818-244-1937
582,250,'mi cocina',daniel,'57 jane st.  off hudson st.','20 e. 76th st.',212/627-8273,212-288-0033
1003,263,faz,lutece,'161 sutter st.','249 e. 50th st.',415/362-0404,212-752-2225
658,86,'california pizza kitchen','kelley & ping','207 s. beverly dr.','127 greene st.',310/275-1101,212-228-1212
698,3,'roscoe\'s house of chicken \'n\' waffles','baja fresh','1514 n. gower st.','3345 kimber dr.',213/466-9329,805-498-4049
877,94,'sant ambroeus',menchanko-tei,'1000 madison ave.  between 77th and 78th sts.','39 w. 55th st.',212/570-2211,212-247-1585
666,189,drago,'caffe greco','2628 wilshire blvd.','423 columbus ave.',310/828-1585,415-397-6261
772,150,'f. ille ponte ristorante','cafe sunflower','39 desbrosses st.  near west st.','5975 roswell rd.',212/226-4621,404-256-1675
789,63,'gabriela\'s','sweet lady jane','685 amsterdam ave. at 93rd st.','8360 melrose ave.',212/961-0574,213-653-7145
776,97,'film center cafe',moustache,'635 9th ave.  between 44th and 45th sts.','405 atlantic ave.','212/ 262-2525',718-852-5555
747,180,'caffe vivaldi',soto,'32 jones st. at bleecker st.','3330 piedmont rd.',212/691-7538,404-233-2005
938,232,'lowcountry barbecue','locanda veneta','6301 roswell rd.  sandy springs plaza  sandy springs','8638 w. third st.',404/255-5160,310-274-1893
729,304,bouterin,'la grotta','420 e. 59th st.  off 1st ave.','2637 peachtree rd. ne',212/758-0323,404-231-1368
928,74,'dante\'s down the hatch','cucina della fontana','underground underground mall  underground atlanta','368 bleecker st.',404/577-1800,212-242-0636
980,218,mikado,'wa-ha-ka oaxaca mexican grill','3400 las vegas blvd. s','2141 polk st.',702/791-7111,415-775-1055
598,156,'uncle nick\'s','deacon burton\'s soulfood restaurant','747 9th ave.  between 50th and 51st sts.','1029 edgewood ave. se',212/315-1726,404-523-1929
717,264,'american place','manhattan ocean club','2 park ave. at 32nd st.','57 w. 58th st.',212/684-2122,212-371-7777
817,103,'lanza restaurant','patsy\'s pizza','168 1st ave.  between 10th and 11th sts.','19 old fulton st.',212/674-7014,718-858-4300
678,183,'jackson\'s farm','van gogh\'s restaurant & bar','439 n. beverly drive','70 w. crossville rd.',310/273-5578,770-993-1156
848,159,'new york noodletown',frijoleros,'28 1/2 bowery at bayard st.','1031 peachtree st. ne',212/349-0923,404-892-8226
619,35,'la grotta','la cachette','2637 peachtree rd.  peachtree house condominium','10506 little santa monica blvd.',404/231-1368,310-470-4992
817,86,'lanza restaurant','kelley & ping','168 1st ave.  between 10th and 11th sts.','127 greene st.',212/674-7014,212-228-1212
894,125,'the coffee pot','buzio\'s in the rio','350 9th ave. at 49th st.','3700 w. flamingo rd.',212/265-3566,702-252-7697
956,261,tomtom,'les celebrites','3393 peachtree rd.','155 w. 58th st.',404/264-1163,212-484-5113
719,232,arizona,'locanda veneta','206 206 e. 60th st.','8638 w. third st.',212/838-0440,310-274-1893
938,33,'lowcountry barbecue','kokomo cafe','6301 roswell rd.  sandy springs plaza  sandy springs','6333 w. third st.',404/255-5160,213-933-0773
875,281,'sammy\'s roumanian steak house','smith & wollensky','157 chrystie st. at delancey st.','797 third ave.',212/673-0330,212-753-1530
682,257,'le dome','jo jo','8720 sunset blvd.','160 e. 64th st.',310/659-6919,212-223-5656
891,4,tapika,'belvedere  the','950 8th ave. at 56th st.','9882 little santa monica blvd.','212/ 397-3737',310-788-2306
952,106,'south of france','sam\'s noodle shop','2345 cheshire bridge rd.','411 third ave.',404/325-6963,212-213-2288
1061,61,'wu kong',shiro,'101 spear st.','1505 mission st. s.',415/957-9300,818-799-4774
898,171,'tribeca grill','morton\'s of chicago (atlanta)','375 greenwich st.  near franklin st.','303 peachtree st. ne',212/941-3900,404-577-4366
654,101,'broadway deli',palm,'3rd st. promenade','837 second ave.',310/451-0616,212-687-2953
737,282,'cafe la fortuna','tavern on the green','69 w. 71st st.','central park west',212/724-5846,212-873-3200
810,271,'joe allen',petrossian,'326 w. 46th st.','182 w. 58th st.',212/581-6464,212-245-2214
778,272,firehouse,picholine,'522 columbus ave.  between 85th and 86th sts.','35 w. 64th st.',212/595-3139,212-724-8585
938,208,'lowcountry barbecue','roosevelt tamale parlor','6301 roswell rd.  sandy springs plaza  sandy springs','2817 24th st.',404/255-5160,415-550-9213
822,8,'le gamin','brent\'s deli','50 macdougal st.  between houston and prince sts.','19565 parthenia ave.',212/254-4678,818-886-5679
751,232,'casa la femme','locanda veneta','150 wooster st.  between houston and prince sts.','8638 w. third st.',212/505-0005,310-274-1893
671,125,'el cholo','buzio\'s in the rio','1121 s. western ave.','3700 w. flamingo rd.',213/734-2773,702-252-7697
622,325,'pano\'s and paul\'s','masa\'s','1232 w. paces ferry rd.','648 bush st.',404/261-3662,415-989-7154
660,201,cava,'la mediterranee','3rd st.','288 noe st.',213/658-8898,415-431-7210
787,198,'frico bar','hamburger mary\'s','402 w. 43rd st.  off 9th ave.','1582 folsom st.',212/564-7272,415-626-1985
878,154,'sarabeth\'s kitchen',chops,'423 amsterdam ave.  between 80th and 81st sts.','70 w. paces ferry rd.',212/496-6280,404-262-2675
869,223,republic,campanile,'37a union sq. w  between 16th and 17th sts.','624 s. la brea ave.',212/627-7172,213-938-1447
932,95,'horseradish grill','mitali east-west','4320 powers ferry rd.','296 bleecker st.',404/255-7277,212-989-1367
1017,33,'il fornaio levi\'s plaza','kokomo cafe','1265 battery st.','6333 w. third st.',415/986-0100,213-933-0773
834,143,'mangia e bevi','alon\'s at the terrace','800 9th ave. at 53rd st.','659 peachtree st.',212/956-3976,404-724-0444
627,130,'veni vidi vici','mayflower cuisinier','41 14th st.','4750 w. sahara ave.',404/875-8424,702-870-8432
912,144,zoe,'baker\'s cajun cafe','90 prince st.  between broadway and mercer st.','1134 euclid ave.',212/966-6722,404-223-5039
625,156,'restaurant  ritz-carlton  atlanta','deacon burton\'s soulfood restaurant','181 peachtree st.','1029 edgewood ave. se',404/659-0400,404-523-1929
561,113,'cafe des artistes','szechuan kitchen','1 w. 67th st.','1460 first ave.',212/877-3500,212-249-4615
807,102,'jean lafitte','palm too','68 w. 58th st.','840 second ave.',212/751-2323,212-697-5198
591,37,'san domenico','la serenata de garibaldi','240 central park s','1842 e. first',212/265-5959,213-265-2887
751,256,'casa la femme','island spice','150 wooster st.  between houston and prince sts.','402 w. 44th st.',212/505-0005,212-765-1737
1000,194,chevys,'dusit thai','4th and howard sts.','3221 mission st.',415/543-8060,415-826-4639
895,110,'the savannah club',sushisay,'2420 broadway at 89th st.','38 e. 51st st.',212/496-1066,212-755-1780
569,127,'gotham bar & grill','fiore rotisserie & grille','12 e. 12th st.','3700 w. flamingo rd.',212/620-4020,702-252-7702
613,165,ciboulette,'java jive','1529 piedmont ave.','790 ponce de leon ave.',404/874-7600,404-876-6161
565,19,daniel,'falafel king','20 e. 76th st.','1059 broxton ave.',212/288-0033,310-208-4444
562,50,'carmine\'s','original pantry bakery','2450 broadway  between 90th and 91st sts.','875 s. figueroa st. downtown',212/362-2200,213-627-6879
880,5,serendipity,'benita\'s frites','3 225 e. 60th st.','1433 third st. promenade',212/838-3531,310-458-2889
661,295,'cha cha cha','bone\'s restaurant','656 n. virgil ave.','3130 piedmont rd. ne',213/664-7723,404-237-2663
694,185,prego,'white house restaurant','362 n. camden dr.','3172 peachtree rd. ne',310/277-7346,404-237-7601
842,254,'milan cafe and coffee bar','gotham bar & grill','120 w. 23rd st.','12 e. 12th st.',212/807-1801,212-620-4020
786,221,'french roast cafe','bel-air hotel','2340 broadway at 85th st.','701 stone canyon rd.',212/799-1533,310-472-1211
1064,109,'yoyo tsumami bistro','stick to your ribs','1611 post st.','5-16 51st ave.',415/922-7788,718-937-3030
684,74,'mon kee seafood restaurant','cucina della fontana','679 n. spring st.','368 bleecker st.',213/628-6717,212-242-0636
644,187,'ritz-carlton restaurant and dining room','bill\'s place','600 stockton st.','2315 clement st.',415/296-7465,415-221-5262
608,90,abruzzi,'la grenouille','2355 peachtree rd.  peachtree battle shopping center','3 e. 52nd st.',404/261-8186,212-752-1495
811,178,'judson grill',riviera,'152 w. 52nd st.','519 e. paces ferry rd.',212/582-5252,404-262-7112
1043,61,rumpus,shiro,'1 tillman pl.','1505 mission st. s.',415/421-2300,818-799-4774
549,91,'the palm','lemongrass grill','9001 santa monica blvd.','61a seventh ave.',310/550-8811,718-399-7100
762,272,'dean & deluca',picholine,'121 prince st.','35 w. 64th st.',212/254-8776,212-724-8585
715,147,'alley\'s end','bobby & june\'s kountry kitchen','311 w. 17th st.','375 14th st.',212/627-8899,404-876-3872
655,61,'ca\'brea',shiro,'346 s. la brea ave.','1505 mission st. s.',213/938-2863,818-799-4774
637,310,'khan toke thai house','ritz-carlton restaurant','5937 geary blvd.','181 peachtree st.',415/668-6654,404-659-0400
836,73,'manila garden','corner bistro','325 e. 14th st.  between 1st and 2nd aves.','331 w. fourth st.',212/777-6314,212-242-9502
869,270,republic,'park avenue cafe (new york city)','37a union sq. w  between 16th and 17th sts.','100 e. 63rd st.',212/627-7172,212-644-1900
764,101,'dix et sept',palm,'181 w. 10th st.','837 second ave.',212/645-8023,212-687-2953
939,65,'luna si','tommy\'s','1931 peachtree rd.','2575 beverly blvd.',404/355-5993,213-389-9060
648,286,remi,'chin\'s','145 w. 53rd st.','3200 las vegas blvd. s.',212/581-4242,702-733-8899
943,241,'nickiemoto\'s: a sushi bar','yujean kang\'s','247 buckhead ave.  east village sq.','67 n. raymond ave.',404/842-0334,818-585-0855
991,59,'bistro roti','russell\'s burgers','155 steuart st.','1198 pch',415/495-6500,310-596-9556
626,313,toulouse,'alain rondelli','b peachtree rd.','126 clement st.',404/351-9533,415-387-0408
1046,249,'south park cafe',chanterelle,'108 south park','2 harrison st.',415/495-7275,212-966-6960
769,119,'empire korea','windows on the world','6 e. 32nd st.','107th fl.',212/725-1333,212-524-7000
646,72,bolo,'cafe con leche','23 e. 22nd st.','424 amsterdam ave.',212/228-2200,212-595-7000
821,2,'le colonial','asahi ramen','149 e. 57th st.','2027 sawtelle blvd.','212/ 752-0808',310-479-2231
929,2,'fat matt\'s rib shack','asahi ramen','1811 piedmont ave.  near cheshire bridge rd.','2027 sawtelle blvd.',404/607-1622,310-479-2231
991,150,'bistro roti','cafe sunflower','155 steuart st.','5975 roswell rd.',415/495-6500,404-256-1675
537,43,'cafe bizou','maxwell\'s cafe','14016 ventura blvd.','13329 washington blvd.',818/788-3536,310-306-7829
808,56,'jewel of india','rae\'s','15 w. 44th st.','2901 pico blvd.',212/869-5544,310-828-7937
