ID_A,ID_B,Flag,Name_A,Name_B,Address_A,Address_B,Phone_A,Phone_B
537,222,,'cafe bizou','cafe bizou','14016 ventura blvd.','14016 ventura blvd.',818/788-3536,818-788-3536
993,222,0,bizou,'cafe bizou','598 fourth st.','14016 ventura blvd.',415/543-2222,818-788-3536
538,223,,campanile,campanile,'624 s. la brea ave.','624 s. la brea ave.',213/938-1447,213-938-1447
539,224,,'chinois on main','chinois on main','2709 main st.','2709 main st.',310/392-9025,310-392-9025
540,225,,citrus,citrus,'6703 melrose ave.','6703 melrose ave.',213/857-0034,213-857-0034
541,226,,fenix,'fenix at the argyle','8358 sunset blvd. west','8358 sunset blvd.',213/848-6677,213-848-6677
542,227,,granita,granita,'23725 w. malibu rd.','23725 w. malibu rd.',310/456-0488,310-456-0488
543,228,,'grill on the alley','grill  the','9560 dayton way','9560 dayton way',310/276-0615,310-276-0615
544,229,,'restaurant katsu',katsu,'1972 n. hillhurst ave.','1972 hillhurst ave.',213/665-1891,213-665-1891
545,230,,'l\'orangerie','l\'orangerie','903 n. la cienega blvd.','903 n. la cienega blvd.',310/652-9770,310-652-9770
546,231,,'le chardonnay','le chardonnay (los angeles)','8284 melrose ave.','8284 melrose ave.',213/655-8880,213-655-8880
547,232,,'locanda veneta','locanda veneta','3rd st.','8638 w. third st.',310/274-1893,310-274-1893
548,233,,matsuhisa,matsuhisa,'129 n. la cienega blvd.','129 n. la cienega blvd.',310/659-9639,310-659-9639
549,234,,'the palm','palm  the (los angeles)','9001 santa monica blvd.','9001 santa monica blvd.',310/550-8811,310-550-8811
550,235,,patina,patina,'5955 melrose ave.','5955 melrose ave.',213/467-1108,213-467-1108
551,236,,'philippe\'s the original','philippe the original','1001 n. alameda st.','1001 n. alameda st.',213/628-3781,213-628-3781
552,237,,'pinot bistro','pinot bistro','12969 ventura blvd.','12969 ventura blvd.',818/990-0500,818-990-0500
963,237,0,bistro,'pinot bistro','3400 las vegas blvd. s','12969 ventura blvd.',702/791-7111,818-990-0500
553,238,,'rex il ristorante','rex il ristorante','617 s. olive st.','617 s. olive st.',213/627-2300,213-627-2300
554,239,0,spago,'spago (los angeles)','1114 horn ave.','8795 sunset blvd.',310/652-4025,310-652-4025
555,240,,valentino,valentino,'3115 pico blvd.','3115 pico blvd.',310/829-4313,310-829-4313
556,241,,'yujean kang\'s gourmet chinese cuisine','yujean kang\'s','67 n. raymond ave.','67 n. raymond ave.',818/585-0855,818-585-0855
557,242,,'21 club','21 club','21 w. 52nd st.','21 w. 52nd st.',212/582-7200,212-582-7200
558,243,,aquavit,aquavit,'13 w. 54th st.','13 w. 54th st.',212/307-7311,212-307-7311
629,243,0,aqua,aquavit,'252 california st.','13 w. 54th st.',415/956-9662,212-307-7311
559,244,,aureole,aureole,'34 e. 61st st.','34 e. 61st st.','212/ 319-1660',212-319-1660
560,245,,'cafe lalo','cafe lalo','201 w. 83rd st.','201 w. 83rd st.',212/496-6031,212-496-6031
561,246,,'cafe des artistes','cafe des artistes','1 w. 67th st.','1 w. 67th st.',212/877-3500,212-877-3500
562,247,,'carmine\'s','carmine\'s','2450 broadway  between 90th and 91st sts.','2450 broadway',212/362-2200,212-362-2200
563,248,,'carnegie deli','carnegie deli','854 7th ave.  between 54th and 55th sts.','854 seventh ave.',212/757-2245,212-757-2245
564,249,,chanterelle,chanterelle,'2 harrison st.  near hudson st.','2 harrison st.',212/966-6960,212-966-6960
565,250,,daniel,daniel,'20 e. 76th st.','20 e. 76th st.',212/288-0033,212-288-0033
566,251,,dawat,dawat,'210 e. 58th st.','210 e. 58th st.',212/355-7555,212-355-7555
567,252,,felidia,felidia,'243 e. 58th st.','243 e. 58th st.',212/758-1479,212-758-1479
568,253,,'four seasons grill room','four seasons','99 e. 52nd st.','99 e. 52nd st.',212/754-9494,212-754-9494
569,254,,'gotham bar & grill','gotham bar & grill','12 e. 12th st.','12 e. 12th st.',212/620-4020,212-620-4020
570,255,,'gramercy tavern','gramercy tavern','42 e. 20th st.  between park ave. s and broadway','42 e. 20th st.',212/477-0777,212-477-0777
571,256,,'island spice','island spice','402 w. 44th st.','402 w. 44th st.',212/765-1737,212-765-1737
572,257,,'jo jo','jo jo','160 e. 64th st.','160 e. 64th st.',212/223-5656,212-223-5656
573,258,,'la caravelle','la caravelle','33 w. 55th st.','33 w. 55th st.',212/586-4252,212-586-4252
574,259,,'la cote basque','la cote basque','60 w. 55th st.  between 5th and 6th ave.','60 w. 55th st.',212/688-6525,212-688-6525
575,260,,'le bernardin','le bernardin','155 w. 51st st.','155 w. 51st st.',212/489-1515,212-489-1515
576,261,,'les celebrites','les celebrites','160 central park s','155 w. 58th st.',212/484-5113,212-484-5113
577,262,,lespinasse,'lespinasse (new york city)','2 e. 55th st.','2 e. 55th st.',212/339-6719,212-339-6719
578,263,,lutece,lutece,'249 e. 50th st.','249 e. 50th st.',212/752-2225,212-752-2225
579,264,,'manhattan ocean club','manhattan ocean club','57 w. 58th st.','57 w. 58th st.','212/ 371-7777',212-371-7777
580,265,,march,march,'405 e. 58th st.','405 e. 58th st.',212/754-6272,212-754-6272
581,266,,'mesa grill','mesa grill','102 5th ave.  between 15th and 16th sts.','102 fifth ave.',212/807-7400,212-807-7400
582,267,,'mi cocina','mi cocina','57 jane st.  off hudson st.','57 jane st.',212/627-8273,212-627-8273
583,268,,montrachet,montrachet,'239 w. broadway  between walker and white sts.','239 w. broadway','212/ 219-2777',212-219-2777
603,268,,'le montrachet',montrachet,'3000 w. paradise rd.','239 w. broadway',702/732-5111,212-219-2777
584,269,,oceana,oceana,'55 e. 54th st.','55 e. 54th st.',212/759-5941,212-759-5941
585,270,,'park avenue cafe','park avenue cafe (new york city)','100 e. 63rd st.','100 e. 63rd st.',212/644-1900,212-644-1900
586,271,,petrossian,petrossian,'182 w. 58th st.','182 w. 58th st.',212/245-2214,212-245-2214
587,272,,picholine,picholine,'35 w. 64th st.','35 w. 64th st.',212/724-8585,212-724-8585
588,273,,pisces,pisces,'95 ave. a at 6th st.','95 ave. a',212/260-6660,212-260-6660
589,274,,'rainbow room','rainbow room','30 rockefeller plaza','30 rockefeller plaza',212/632-5000,212-632-5000
867,274,0,rain,'rainbow room','100 w. 82nd st.','30 rockefeller plaza',212/501-0776,212-632-5000
590,275,,'river cafe','river cafe','1 water st. at the east river','1 water st.',718/522-5200,718-522-5200
591,276,,'san domenico','san domenico','240 central park s','240 central park s.',212/265-5959,212-265-5959
592,277,,'second avenue deli','second avenue deli','156 2nd ave. at 10th st.','156 second ave.',212/677-0606,212-677-0606
593,278,,seryna,seryna,'11 e. 53rd st.','11 e. 53rd st.',212/980-9393,212-980-9393
594,279,,'shun lee west','shun lee palace','43 w. 65th st.','155 e. 55th st.',212/371-8844,212-371-8844
595,280,,'sign of the dove','sign of the dove','1110 3rd ave. at 65th st.','1110 third ave.',212/861-8080,212-861-8080
596,281,,'smith & wollensky','smith & wollensky','201 e. 49th st.','797 third ave.',212/753-1530,212-753-1530
597,282,,'tavern on the green','tavern on the green','in central park at 67th st.','central park west',212/873-3200,212-873-3200
598,283,,'uncle nick\'s','uncle nick\'s','747 9th ave.  between 50th and 51st sts.','747 ninth ave.',212/315-1726,212-245-7992
599,284,,'union square cafe','union square cafe','21 e. 16th st.','21 e. 16th st.',212/243-4020,212-243-4020
600,285,,'virgil\'s','virgil\'s real bbq','152 w. 44th st.','152 w. 44th st.','212/ 921-9494',212-921-9494
601,286,,'chin\'s','chin\'s','3200 las vegas blvd. s','3200 las vegas blvd. s.',702/733-8899,702-733-8899
602,287,,'coyote cafe','coyote cafe (las vegas)','3799 las vegas blvd. s','3799 las vegas blvd. s.',702/891-7349,702-891-7349
583,288,0,montrachet,'le montrachet bistro','239 w. broadway  between walker and white sts.','3000 paradise rd.','212/ 219-2777',702-732-5651
963,288,0,bistro,'le montrachet bistro','3400 las vegas blvd. s','3000 paradise rd.',702/791-7111,702-732-5651
604,289,,'palace court','palace court','3570 las vegas blvd. s','3570 las vegas blvd. s.',702/731-7547,702-731-7110
605,290,,'second street grille','second street grill','200 e. fremont st.','200 e. fremont st.',702/385-3232,702-385-6277
606,291,,'steak house','steak house  the','2880 las vegas blvd. s','2880 las vegas blvd. s.',702/734-0410,702-734-0410
971,291,,'circus circus','steak house  the','2880 las vegas blvd. s','2880 las vegas blvd. s.',702/734-0410,702-734-0410
607,292,,tillerman,'tillerman  the','2245 e. flamingo rd.','2245 e. flamingo rd.',702/731-4036,702-731-4036
608,293,,abruzzi,abruzzi,'2355 peachtree rd.  peachtree battle shopping center','2355 peachtree rd. ne',404/261-8186,404-261-8186
609,294,,bacchanalia,bacchanalia,'3125 piedmont rd.  near peachtree rd.','3125 piedmont rd.',404/365-0410,404-365-0410
610,295,,'bone\'s','bone\'s restaurant','3130 piedmont road','3130 piedmont rd. ne',404/237-2663,404-237-2663
611,296,,'brasserie le coze','brasserie le coze','3393 peachtree rd.  lenox square mall  near neiman marcus','3393 peachtree rd.',404/266-1440,404-266-1440
956,296,,tomtom,'brasserie le coze','3393 peachtree rd.','3393 peachtree rd.',404/264-1163,404-266-1440
612,297,,'buckhead diner','buckhead diner','3073 piedmont road','3073 piedmont rd.',404/262-3336,404-262-3336
613,298,,ciboulette,'ciboulette restaurant','1529 piedmont ave.','1529 piedmont ave.',404/874-7600,404-874-7600
614,299,,delectables,delectables,'1 margaret mitchell sq.','1 margaret mitchell sq.',404/681-2909,404-681-2909
734,299,0,ct,delectables,'111 e. 22nd st.  between park ave. s and lexington ave.','1 margaret mitchell sq.',212/995-8500,404-681-2909
615,300,,'georgia grille','georgia grille','2290 peachtree rd.  peachtree square shopping center','2290 peachtree rd.',404/352-3517,404-352-3517
616,301,,'hedgerose heights inn','hedgerose heights inn  the','490 e. paces ferry rd.','490 e. paces ferry rd. ne',404/233-7673,404-233-7673
617,302,,'heera of india','heera of india','595 piedmont ave.  rio shopping mall','595 piedmont ave.',404/876-4408,404-876-4408
618,303,,'indigo coastal grill','indigo coastal grill','1397 n. highland ave.','1397 n. highland ave.',404/876-0676,404-876-0676
619,304,,'la grotta','la grotta','2637 peachtree rd.  peachtree house condominium','2637 peachtree rd. ne',404/231-1368,404-231-1368
620,305,,'mary mac\'s tea room','mary mac\'s tea room','224 ponce de leon ave.','224 ponce de leon ave.',404/876-1800,404-876-1800
621,306,,'nikolai\'s roof','nikolai\'s roof','255 courtland st.  at harris st.','255 courtland st.',404/221-6362,404-221-6362
622,307,,'pano\'s and paul\'s','pano\'s & paul\'s','1232 w. paces ferry rd.','1232 w. paces ferry rd.',404/261-3662,404-261-3662
623,308,,'cafe  ritz-carlton  buckhead','ritz-carlton cafe (buckhead)','3434 peachtree rd.','3434 peachtree rd. ne',404/237-2700,404-237-2700
624,308,,'dining room  ritz-carlton  buckhead','ritz-carlton cafe (buckhead)','3434 peachtree rd.','3434 peachtree rd. ne',404/237-2700,404-237-2700
623,309,,'cafe  ritz-carlton  buckhead','ritz-carlton dining room (buckhead)','3434 peachtree rd.','3434 peachtree rd. ne',404/237-2700,404-237-2700
624,309,,'dining room  ritz-carlton  buckhead','ritz-carlton dining room (buckhead)','3434 peachtree rd.','3434 peachtree rd. ne',404/237-2700,404-237-2700
625,310,,'restaurant  ritz-carlton  atlanta','ritz-carlton restaurant','181 peachtree st.','181 peachtree st.',404/659-0400,404-659-0400
626,311,,toulouse,toulouse,'b peachtree rd.','293-b peachtree rd.',404/351-9533,404-351-9533
627,312,,'veni vidi vici','veni vidi vici','41 14th st.','41 14th st.',404/875-8424,404-875-8424
628,313,,'alain rondelli','alain rondelli','126 clement st.','126 clement st.',415/387-0408,415-387-0408
629,314,,aqua,aqua,'252 california st.','252 california st.',415/956-9662,415-956-9662
558,314,,aquavit,aqua,'13 w. 54th st.','252 california st.',212/307-7311,415-956-9662
630,315,,boulevard,boulevard,'1 mission st.','1 mission st.',415/543-6084,415-543-6084
631,316,,'cafe claude','cafe claude','7 claude la.','7 claude ln.',415/392-3505,415-392-3505
632,317,,'campton place','campton place','340 stockton st.','340 stockton st.',415/955-5555,415-955-5555
633,318,,'chez michel','chez michel','804 northpoint','804 north point st.',415/775-7036,415-775-7036
634,319,,'fleur de lys','fleur de lys','777 sutter st.','777 sutter st.',415/673-7779,415-673-7779
635,320,,fringale,fringale,'570 4th st.','570 fourth st.',415/543-0573,415-543-0573
636,321,,'hawthorne lane','hawthorne lane','22 hawthorne st.','22 hawthorne st.',415/777-9779,415-777-9779
637,322,,'khan toke thai house','khan toke thai house','5937 geary blvd.','5937 geary blvd.',415/668-6654,415-668-6654
638,323,,'la folie','la folie','2316 polk st.','2316 polk st.',415/776-5577,415-776-5577
639,324,,lulu,'lulu restaurant-bis-cafe','816 folsom st.','816 folsom st.',415/495-5775,415-495-5775
640,325,,'masa\'s','masa\'s','648 bush st.','648 bush st.',415/989-7154,415-989-7154
641,326,,'mifune japan center  kintetsu building',mifune,'1737 post st.','1737 post st.',415/922-0337,415-922-0337
642,327,,'plumpjack cafe','plumpjack cafe','3201 fillmore st.','3127 fillmore st.',415/563-4755,415-563-4755
643,328,,postrio,postrio,'545 post st.','545 post st.',415/776-7825,415-776-7825
644,329,,'ritz-carlton restaurant and dining room','ritz-carlton dining room (san francisco)','600 stockton st.','600 stockton st.',415/296-7465,415-296-7465
645,330,,'rose pistola','rose pistola','532 columbus ave.','532 columbus ave.',415/399-0499,415-399-0499
625,331,,'restaurant  ritz-carlton  atlanta','ritz-carlton cafe (atlanta)','181 peachtree st.','181 peachtree st.',404/659-0400,404-659-0400
