Name_A,Address_A,City_A,State_A,Zipcode_A,Phone_A,Name_B,Address_B,City_B,State_B,Zipcode_B,Phone_B,Gold
Tamarine Restaurant,546 University Ave,Palo Alto ,CA,94301.0,(650) 325-8500,Tamarine Restaurant,546 University Ave,Palo Alto,CA,94301.0,(650) 325-8500,1
Il Tramezzino,460 N Canon Dr,Beverly Hills ,CA,90210.0,(310) 273-0501,Il Tramezzino - Beverly Hills,454 N Canon Dr,Beverly Hills,CA,90210.0,(310) 273-0501,1
Foodstuffs Inc,255 E Westminster,Lake Forest ,IL,60045.0,(847) 234-6600,Foodstuffs,255 E Westminster Rd,Lake Forest,IL,60045.0,(847) 234-6600,1
M Waterfront Grille,4300 Gulf Shore Blvd N,Naples ,FL,34103.0,(239) 206-1147,M Waterfront Grille,4300 Gulf Shore Blvd N,Naples,FL,34103.0,(239) 263-4421,1
La Coquille Restaurant,1669 Northern Blvd,Manhasset ,NY,11030.0,(516) 365-8422,La Coquille,1669 Northern Blvd,Manhasset,NY,11030.0,(516) 365-8422,1
Starbucks Coffee,375 Plandome Rd,Manhasset ,NY,11030.0,(516) 869-9608,Starbucks,375 Plandome Rd,Manhasset,NY,11030.0,(516) 869-9608,1
Cafe Borrone,1010 El Camino Real,Menlo Park ,CA,94025.0,(650) 327-0830,Cafe Borrone,1010 El Camino Real,Menlo Park,CA,94025.0,(650) 327-0830,1
Manhattan Express,7641 Wydown Blvd,Saint Louis ,MO,63105.0,(314) 863-9050,Manhattan Express,7641 Wydown Blvd,St Louis,MO,63105.0,(314) 863-9050,1
Starbucks Coffee,820 Woodside Rd,Redwood City ,CA,94061.0,(650) 299-0327,Starbucks,820 Woodside Rd,Redwood City,CA,94061.0,(650) 299-0327,1
Chantilly Restaurant,3001 El Camino Real,Redwood City ,CA,94061.0,(650) 321-4080,Chantilly Restaurant,3001 El Camino Real,Redwood City,CA,94061.0,(650) 321-4080,1
The Cheesecake Factory,3393 Peachtree Rd NE Suite 3076A,Atlanta ,GA,30326.0,(404) 816-2555,The Cheesecake Factory,3393 Peachtree Road NE,Atlanta,GA,30326.0,(404) 816-2555,1
Darbar Indian Cuisine,129 Lytton Ave,Palo Alto ,CA,94301.0,(650) 321-6688,Darbar Indian Cuisine,129 Lytton Ave,Palo Alto,CA,94301.0,(650) 321-6688,1
Diner Japonica,593 Woodside Rd,Redwood City ,CA,94061.0,(650) 364-4649,Diner Japonica,593 Woodside Rd,Redwood City,CA,94061.0,(650) 364-4649,1
Manhasset Delicatessen,435 Plandome Rd,Manhasset ,NY,11030.0,(516) 627-9788,Manhasset Delicatessen,435 Plandome Rd,Manhasset,NY,11030.0,(516) 627-9788,1
Kabuki Sushi Thai Tapas,308 Clematis St,West Palm Beach ,FL,33401.0,(561) 833-6349,Kabuki Sushi Thai Tapas,308 Clematis St,West Palm Beach,FL,33401.0,(561) 833-6349,1
Sneha South & North Indian Restaurant,1214 Apollo Way # 404-B,Sunnyvale ,CA,94085.0,(408) 481-0700,Sneha,1214 Apollo Way,Sunnyvale,CA,94085.0,(408) 481-0700,1
Corner Bakery Cafe,3393 Peachtree Rd NE Ste 4033,Atlanta ,GA,30326.0,(404) 266-8282,Corner Bakery Cafe,3393 Peachtree Rd,Atlanta,GA,30326.0,(404) 266-8282,1
Veladora,5921 Valencia Cir,Rancho Santa Fe ,CA,92067.0,(858) 759-6216,Veladora,5921 Valencia Cir,Rancho Santa Fe,CA,92067.0,(858) 759-6216,1
California Pizza Kitchen,8411 Preston Rd Ste 124,Dallas ,TX,75225.0,(214) 750-7067,California Pizza Kitchen,8411 Preston Road,Dallas,TX,75225.0,(214) 750-7067,1
Shiok Singapore Kitchen,1137 Chestnut St,Menlo Park ,CA,94025.0,(650) 838-9448,Shiok Singapore Kitchen,1137 Chestnut St,Menlo Park,CA,94025.0,(650) 838-9448,1
Corner Bakery Cafe,3393 Peachtree Rd NE Ste 4033,Atlanta ,GA,30326.0,(404) 266-8282,Corner Bakery Cafe,3393 Peachtree Rd,Atlanta,GA,30326.0,(404) 266-8282,1
The Counter,41 W Hillsdale Blvd,San Mateo ,CA,94403.0,(650) 212-3200,The Counter - San Mateo,41 W Hillsdale Blvd,San Mateo,CA,94403.0,(650) 212-3200,1
Marketplace Cafe - Nordstrom The Westchester,135 Westchester Ave,White Plains ,NY,10601.0,(914) 946-1122,The Westchester,125 Westchester Ave,White Plains,NY,10601.0,(914) 421-1333,1
Gombei Japanese Restaurant,1438 El Camino Real,Menlo Park ,CA,94025.0,(650) 329-1799,Gombei Japanese Restaurant,1438 El Camino Real,Menlo Park,CA,94025.0,(650) 329-1799,1
Vino Santo Bistro,2030 Broadway St,Redwood City ,CA,94063.0,(650) 780-0793,Vino Santo Bistro,2030 Broadway St,Redwood City,CA,94063.0,(650) 780-0793,1
Bangkok Bay Thai Cuisine,825 El Camino Real,Redwood City ,CA,94063.0,(650) 365-5369,Bangkok Bay Thai Cuisine,825 El Camino Real,Redwood City,CA,94063.0,(650) 365-5369,1
Chantilly Restaurant,3001 El Camino Real,Redwood City ,CA,94061.0,(650) 321-4080,Chantilly Restaurant,3001 El Camino Real,Redwood City,CA,94061.0,(650) 321-4080,1
Nola Restaurant & Bar,535 Ramona St,Palo Alto ,CA,94301.0,(650) 328-2722,NOLA Restaurant & Bar,535 Ramona St,Palo Alto,CA,94301.0,(650) 328-2722,1
Nanase,522 Mamaroneck Ave,White Plains ,NY,10605.0,(914) 285-5351,Sushi Nanase,522 Mamaroneck Ave,White Plains,NY,10605.0,(914) 285-5351,1
Angelicas,863 Main St,Redwood City ,CA,94063.0,(650) 679-8184,Angelicas,863 Main St,Redwood City,CA,94063.0,(650) 679-8184,1
Il Pastaio,400 N Canon Dr,Beverly Hills ,CA,90210.0,(310) 205-5444,Il Pastaio,400 N Canon Dr,Beverly Hills,CA,90210.0,(310) 205-5444,1
Chantilly Restaurant,3001 El Camino Real,Redwood City ,CA,94061.0,(650) 321-4080,Chantilly Restaurant,3001 El Camino Real,Redwood City,CA,94061.0,(650) 321-4080,1
Pizza Pizza,77 Pearl St,New York ,NY,10004.0,(212) 797-9692,Pizza Pizza,77 Pearl St,New York,NY,10004.0,(212) 797-9692,1
Riverside Cafe,1 Beachland Blvd,Vero Beach ,FL,32963.0,(772) 234-5550,Riverside Cafe,1 Beachland Blvd,Vero Beach,FL,32963.0,(772) 234-5550,1
B Street & Vine,320 S B St,San Mateo ,CA,94401.0,(650) 347-8463,B Street & Vine,320 S B St,San Mateo,CA,94401.0,(650) 347-8463,1
Starbucks Coffee,375 Plandome Rd,Manhasset ,NY,11030.0,(516) 869-9608,Starbucks,375 Plandome Rd,Manhasset,NY,11030.0,(516) 869-9608,1
The Resort at Pelican Hill,22701 Pelican Hill Rd S,Newport Coast ,CA,92657.0,(949) 612-1916,The Resort at Pelican Hill,22701 S Pelican Hill Rd,Newport Coast,CA,92657.0,(855) 315-8214,1
Pomodoro Grill & Pizza,3055 Cardinal Dr Ste 102,Vero Beach ,FL,32963.0,(772) 234-1123,Pomodoro Grill,3055 Cardinal Dr,Vero Beach,FL,32963.0,(772) 234-1123,1
Arturo Express,130 S Canal St,Chicago ,IL,60606.0,(312) 474-9289,Arturo Express,122 S Canal St,Chicago,IL,60606.0,(312) 474-9289,1
Truck,391 Old Post Rd,Bedford ,NY,10506.0,(914) 234-8900,TRUCK,391 Old Post Rd,Bedford,NY,10506.0,(914) 234-8900,1
Katana Teppanyaki & Sushi,3345 Lenox Rd NE,Atlanta ,GA,30326.0,(404) 869-1888,Katana Teppanyaki & Sushi,3345 Lenox Rd NE,Atlanta,GA,30326.0,(404) 869-1888,1
Misaki Japanese Restaurant Inc,411 Plandome Rd,Manhasset ,NY,11030.0,(516) 869-8080,Misaki Japanese Restaurant,411 Plandome Rd,Manhasset,NY,11030.0,(516) 869-8080,1
Starbucks Coffee,820 Woodside Rd,Redwood City ,CA,94061.0,(650) 299-0327,Starbucks,820 Woodside Rd,Redwood City,CA,94061.0,(650) 299-0327,1
Round Table Pizza,1225 El Camino Real,Menlo Park ,CA,94025.0,(650) 321-6861,Round Table Pizza,1225 El Camino Real,Menlo Park,CA,94025.0,(650) 321-6861,1
The Quilted Giraffe,500 S US Highway 1,Vero Beach ,FL,32962.0,(772) 978-4242,The Quilted Giraffe,500 S US 1,Vero Beach,FL,32962.0,(772) 978-4242,1
Su Hong-Menlo Park,1039 El Camino Real,Menlo Park ,CA,94025.0,(650) 323-6852,Su Hong-Menlo Park,1039 El Camino Real,Menlo Park,CA,94025.0,(650) 323-6852,1
Grain,5954 Luther Ln,Dallas ,TX,75225.0,(214) 368-0400,GRAIN Restaurant,5954 Luther Ln,Dallas,TX,75225.0,(469) 232-4962,1
Seasons 52,8930 Tamiami Trl N,Naples ,FL,34108.0,(239) 594-8852,Seasons 52,8930 Tamiami Trl N,Naples,FL,34108.0,(239) 594-8852,1
Truffles,9202 Clayton Rd,Saint Louis ,MO,63124.0,(314) 567-9100,Truffles Restaurant,9202 Clayton Rd,Saint Louis,MO,63124.0,(314) 567-9100,1
Azn Azian Cuizine,9118 Strada Pl,Naples ,FL,34108.0,(239) 593-8818,AZN,9118 Strada Pl,Naples,FL,34108.0,(239) 593-8818,1
Via Alloro,301 N Canon Dr,Beverly Hills ,CA,90210.0,(310) 275-2900,Via Alloro,301 N Canon Dr,Beverly Hills,CA,90210.0,(310) 275-2900,1
Portola Kitchen,3130 Alpine Rd Ste 350,Portola Valley ,CA,94028.0,(650) 851-6453,Portola Kitchen,3130 Alpine Rd,Portola Valley,CA,94028.0,(650) 851-6453,1
Arte Ristorante,473 University Ave,Palo Alto ,CA,94301.0,(650) 329-8300,Arte Ristorante,473 University Ave,Palo Alto,CA,94301.0,(650) 329-8300,1
El Grullense Grill,768 Woodside Rd,Redwood City ,CA,94061.0,(650) 368-3325,El Grullense Grill,768 Woodside Rd,Redwood City,CA,94061.0,(650) 368-3325,1
1880 Cafe,1880 Century Park E Ste 103,Los Angeles ,CA,90067.0,(310) 553-1880,1880 Cafe,1880 Century Park E,Los Angeles,CA,90067.0,(310) 553-1880,1
Lucias,1725 Woodside Rd,Redwood City ,CA,94061.0,(650) 365-3811,Villa Lucias,1725 Woodside Rd,Redwood City,CA,94061.0,(650) 365-3811,1
Kata Restaurant & Lounge,1306 20th St,Vero Beach ,FL,32960.0,(772) 564-8883,Kata,1306 20th St,Vero Beach,FL,32960.0,(772) 564-8883,1
Marvin Gardens,1160 Old County Rd,Belmont ,CA,94002.0,(650) 592-6154,Marvin Gardens,1160 Old County Rd,Belmont,CA,94002.0,(650) 592-6154,1
The Garden Cafe,1840 Century Park E,Los Angeles ,CA,90067.0,(310) 788-5188,The Garden Cafe,1840 Century Park E,Los Angeles,CA,90067.0,(310) 788-5188,1
Applewood,989 El Camino Real,Menlo Park ,CA,94025.0,(650) 328-1556,Applewood Pizza,1001 El Camino Real,Menlo Park,CA,94025.0,(650) 324-3486,1
Inshou Japanese Cuisine,2942 S Norfolk St,San Mateo ,CA,94403.0,(650) 212-1272,Inshou Japanese Cuisine,2942 S Norfolk St,San Mateo,CA,94403.0,(650) 212-1272,1
Di Mare,1517 Ocean Dr,Vero Beach ,FL,32963.0,(772) 360-1156,Di Mare Vero Beach,1517 Ocean Dr,Vero Beach,FL,32963.0,(772) 234-2809,1
5th Quarter Pizza,976 Woodside Rd,Redwood City ,CA,94061.0,(650) 369-2686,5th Quarter Pizza,976 Woodside Rd,Redwood City,CA,94061.0,(650) 369-2686,1
Sri Ananda Bhavan,920 E Arques Ave,Sunnyvale ,CA,94085.0,(408) 735-1111,Ananda Bhavan,920E Arques Ave,Sunnyvale,CA,94085.0,(408) 735-1111,1
Coupa Cafe,419 N Canon Dr,Beverly Hills ,CA,90210.0,(310) 385-0420,Coupa Cafe,419 N Canon Dr,Beverly Hills,CA,90210.0,(310) 385-0420,1
Five Crowns,3801 E Coast Hwy,Corona Del Mar ,CA,92625.0,(949) 760-0331,Five Crowns,3801 E Coast Hwy,Corona del Mar,CA,92625.0,(949) 760-0331,1
Kobe Japanese Cuisine & Bar,929 Edgewater Blvd Ste B,Foster City ,CA,94404.0,(650) 571-8798,Kobe Japanese Cuisine & Bar,929 Edgewater Blvd,Foster City,CA,94404.0,(650) 571-8798,1
Thai Bay Restaurant,1000 Okeechobee Rd,West Palm Beach ,FL,33401.0,(561) 832-6091,Thai Bay Restaurant,1000 Okeechobee Rd,West Palm Beach,FL,33401.0,(561) 832-6091,1
Villa Milano,168 Plandome Rd,Manhasset ,NY,11030.0,(516) 365-3440,Villa Milano,168 Plandome Rd,Manhasset,NY,11030.0,(516) 365-3440,1
1880 Cafe,1880 Century Park E Ste 103,Los Angeles ,CA,90067.0,(310) 553-1880,1880 Cafe,1880 Century Park E,Los Angeles,CA,90067.0,(310) 553-1880,1
The Cheesecake Factory,7700 W Northwest Hwy,Dallas ,TX,75225.0,(214) 373-4844,The Cheesecake Factory,7700 W Northwest Hwy,Dallas,TX,75225.0,(214) 373-4844,1
Johnnies New York Pizzeria,10251 Santa Monica Blvd,Los Angeles ,CA,90067.0,(310) 553-1188,Johnnies,10251 Santa Monica Blvd.,Century City,CA,90067.0,(310) 553-1188,1
Shiok Singapore Kitchen,1137 Chestnut St,Menlo Park ,CA,94025.0,(650) 838-9448,Shiok Singapore Kitchen,1137 Chestnut St,Menlo Park,CA,94025.0,(650) 838-9448,1
Osteria Coppa,139 S B St,San Mateo ,CA,94401.0,(650) 579-6021,Osteria Coppa,139 S B St,San Mateo,CA,94401.0,(650) 579-6021,1
La Coquille Restaurant,1669 Northern Blvd,Manhasset ,NY,11030.0,(516) 365-8422,La Coquille,1669 Northern Blvd,Manhasset,NY,11030.0,(516) 365-8422,1
On The Border Mexican Grill & Cantina,3495 Buckhead Loop NE,Atlanta ,GA,30326.0,(404) 816-3171,On The Border Mexican Grill & Cantina,1 Buckhead Loop NE,Atlanta,GA,30326.0,(404) 991-2500,1
Villa Blanca,9601 Brighton Way,Beverly Hills ,CA,90210.0,(310) 859-7600,Villa Blanca,9601 Brighton Way,Beverly Hills,CA,90210.0,(310) 859-7600,1
Block 34,34 E 4th Ave,San Mateo ,CA,94401.0,(650) 434-3403,Block 34,34 E 4th Ave,San Mateo,CA,94401.0,(650) 434-3403,1
Waterfront Pizza,969 Edgewater Blvd,Foster City ,CA,94404.0,(650) 573-6634,Waterfront,969 D Edgewater Blvd,Foster City,CA,94404.0,(650) 573-6634,1
El Grullense Grill,768 Woodside Rd,Redwood City ,CA,94061.0,(650) 368-3325,El Grullense Grill,768 Woodside Rd,Redwood City,CA,94061.0,(650) 368-3325,1
The Gourmet Whaler,111 Main St,Cold Spring Harbor ,NY,11724.0,(631) 659-2977,Gourmet Whaler,111 Main St,Cold Spring Harbor,NY,11724.0,(631) 659-2977,1
Hinoki & The Bird,10 W Century Dr.,Los Angeles ,CA,90067.0,(310) 552-1200,Hinoki & The Bird,10 W Century Dr,Los Angeles,CA,90067.0,(310) 552-1200,1
Yen Ching,1012 S Brentwood Blvd,Saint Louis ,MO,63117.0,(314) 721-7507,Yen Ching Restaurant,1012 S Brentwood Blvd,Saint Louis,MO,63117.0,(314) 721-7507,1
Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto ,CA,94301.0,(650) 328-6885,Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto,CA,94301.0,(650) 328-6885,1
Mulberry Street Pizzeria,240 S Beverly Dr,Beverly Hills ,CA,90212.0,(310) 247-8100,Mulberry Street Pizzeria,240 S Beverly Dr,Beverly Hills,CA,90212.0,(310) 247-8100,1
Stresa Italian Restaurant,1524 Northern Blvd,Manhasset ,NY,11030.0,(516) 365-6956,Stresa Italian Restaurant,1524 Northern Blvd,Manhasset,NY,11030.0,(516) 365-6956,1
Chantilly Restaurant,3001 El Camino Real,Redwood City ,CA,94061.0,(650) 321-4080,Chantilly Restaurant,3001 El Camino Real,Redwood City,CA,94061.0,(650) 321-4080,1
Pranzo,34 Water St,New York ,NY,10004.0,(212) 344-8068,Pranzo,34 Water St,New York,NY,10004.0,(212) 344-8068,1
Via Alloro,301 N Canon Dr,Beverly Hills ,CA,90210.0,(310) 275-2900,Via Alloro,301 N Canon Dr,Beverly Hills,CA,90210.0,(310) 275-2900,1
Guadalajara Grill,19 Laurie Meadows Dr,San Mateo ,CA,94403.0,(650) 573-6933,Guadalajara Grill,19 Laurie Meadows Dr,San Mateo,CA,94403.0,(650) 573-6933,1
Sushi Sai,123 N Wacker Dr,Chicago ,IL,60606.0,(312) 332-8822,Sushi Sai,123 N Wacker Dr,Chicago,IL,60606.0,(312) 332-8822,1
Round Table Pizza,1225 El Camino Real,Menlo Park ,CA,94025.0,(650) 321-6861,Round Table Pizza,1225 El Camino Real,Menlo Park,CA,94025.0,(650) 321-6861,1
Yard House,15900 La Cantera Pkwy,San Antonio ,TX,78256.0,(210) 691-0033,Yard House,15900 La Cantera Pkwy,San Antonio,TX,78256.0,(210) 691-0033,1
Mille Fleurs,6009 Paseo Delicias,Rancho Santa Fe ,CA,92067.0,(858) 756-3085,Mille Fleurs Restaurant,6009 Paseo Delicias,Rancho Santa Fe,CA,92067.0,(858) 756-3085,1
Brio Tuscan Grille,5505 Tamiami Trl N,Naples ,FL,34108.0,(239) 593-5319,Brio Tuscan Grille,5505 Tamiami Trl N,Naples,FL,34108.0,(239) 593-5319,1
