Tag_A,Title_A,Authors_A,Month_A,Year_A,JournalRef_A,Tag_B,Title_B,Authors_B,Month_B,Year_B,JournalRef_B,Gold
Wu_2017_CVPR,"Simultaneous Facial Landmark Detection, Pose and Deformation Estimation Under Facial Occlusion","Wu, Yue and Gou, Chao and Ji, Qiang",July,2017,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2017, pp. 3471-3480",arXiv:1709.08130,"Simultaneous Facial Landmark Detection, Pose and Deformation Estimation under Facial Occlusion","Yue Wu, Chao Gou, Qiang Ji",September,2017,,1
Chen_2018_CVPR,MaskLab: Instance Segmentation by Refining Object Detection With Semantic and Direction Features,"Chen, Liang-Chieh and Hermans, Alexander and Papandreou, George and Schroff, Florian and Wang, Peng and Adam, Hartwig",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 4013-4022",arXiv:1712.04837,MaskLab: Instance Segmentation by Refining Object Detection with Semantic and Direction Features,"Liang-Chieh Chen, Alexander Hermans, George Papandreou, Florian Schroff, Peng Wang, Hartwig Adam",December,2017,,1
Pinheiro_2018_CVPR,Unsupervised Domain Adaptation With Similarity Learning,"Pinheiro, Pedro O.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 8004-8013",arXiv:1711.08995,Unsupervised Domain Adaptation with Similarity Learning,Pedro O. Pinheiro,April,2018,,1
Wan_2018_CVPR,Rethinking Feature Distribution for Loss Functions in Image Classification,"Wan, Weitao and Zhong, Yuanyi and Li, Tianpeng and Chen, Jiansheng",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 9117-9126",arXiv:1803.02988,Rethinking Feature Distribution for Loss Functions in Image Classification,"Weitao Wan, Yuanyi Zhong, Tianpeng Li, Jiansheng Chen",March,2018,,1
Ahn_2018_CVPR,Learning Pixel-Level Semantic Affinity With Image-Level Supervision for Weakly Supervised Semantic Segmentation,"Ahn, Jiwoon and Kwak, Suha",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 4981-4990",arXiv:1803.10464,Learning Pixel-level Semantic Affinity with Image-level Supervision for Weakly Supervised Semantic Segmentation,"Jiwoon Ahn, Suha Kwak",April,2018,,1
Tulsiani_2018_CVPR,Multi-View Consistency as Supervisory Signal for Learning Shape and Pose Prediction,"Tulsiani, Shubham and Efros, Alexei A. and Malik, Jitendra",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 2897-2905",arXiv:1801.03910,Multi-view Consistency as Supervisory Signal for Learning Shape and Pose Prediction,"Shubham Tulsiani, Alexei A. Efros, Jitendra Malik",April,2018,,1
Xian_2018_CVPR,Feature Generating Networks for Zero-Shot Learning,"Xian, Yongqin and Lorenz, Tobias and Schiele, Bernt and Akata, Zeynep",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 5542-5551",arXiv:1712.00981,Feature Generating Networks for Zero-Shot Learning,"Yongqin Xian, Tobias Lorenz, Bernt Schiele, Zeynep Akata",April,2018,,1
Hoshen_2018_CVPR,Unsupervised Correlation Analysis,"Hoshen, Yedid and Wolf, Lior",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 3319-3328",arXiv:1804.00347,Unsupervised Correlation Analysis,"Yedid Hoshen, Lior Wolf",April,2018,,1
Song_2018_CVPR,Learning to Sketch With Shortcut Cycle Consistency,"Song, Jifei and Pang, Kaiyue and Song, Yi-Zhe and Xiang, Tao and Hospedales, Timothy M.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 801-810",arXiv:1805.00247,Learning to Sketch with Shortcut Cycle Consistency,"Jifei Song, Kaiyue Pang, Yi-Zhe Song, Tao Xiang, Timothy Hospedales",May,2018,,1
Zhou_2018_CVPR,Learning Rich Features for Image Manipulation Detection,"Zhou, Peng and Han, Xintong and Morariu, Vlad I. and Davis, Larry S.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 1053-1061",arXiv:1805.04953,Learning Rich Features for Image Manipulation Detection,"Peng Zhou, Xintong Han, Vlad I. Morariu, Larry S. Davis",May,2018,,1
Niu_2018_CVPR,Im2Struct: Recovering 3D Shape Structure From a Single RGB Image,"Niu, Chengjie and Li, Jun and Xu, Kai",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 4521-4529",arXiv:1804.05469,Im2Struct: Recovering 3D Shape Structure from a Single RGB Image,"Chengjie Niu, Jun Li, Kai Xu",April,2018,,1
Zhou_2018_CVPR,End-to-End Dense Video Captioning With Masked Transformer,"Zhou, Luowei and Zhou, Yingbo and Corso, Jason J. and Socher, Richard and Xiong, Caiming",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 8739-8748",arXiv:1804.00819,End-to-End Dense Video Captioning with Masked Transformer,"Luowei Zhou, Yingbo Zhou, Jason J. Corso, Richard Socher, Caiming Xiong",April,2018,,1
Regmi_2018_CVPR,Cross-View Image Synthesis Using Conditional GANs,"Regmi, Krishna and Borji, Ali",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 3501-3510",arXiv:1808.05469,Cross-view image synthesis using geometry-guided conditional GANs,"Krishna Regmi, Ali Borji",August,2018,,1
Deng_2018_CVPR,Image-Image Domain Adaptation With Preserved Self-Similarity and Domain-Dissimilarity for Person Re-Identification,"Deng, Weijian and Zheng, Liang and Ye, Qixiang and Kang, Guoliang and Yang, Yi and Jiao, Jianbin",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 994-1003",arXiv:1711.07027,Image-Image Domain Adaptation with Preserved Self-Similarity and Domain-Dissimilarity for Person Re-identification,"Weijian Deng, Liang Zheng, Qixiang Ye, Guoliang Kang, Yi Yang, Jianbin Jiao",May,2018,,1
Zhang_2018_CVPR,Unsupervised Discovery of Object Landmarks as Structural Representations,"Zhang, Yuting and Guo, Yijie and Jin, Yixin and Luo, Yijun and He, Zhiyuan and Lee, Honglak",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 2694-2703",arXiv:1804.04412,Unsupervised Discovery of Object Landmarks as Structural Representations,"Yuting Zhang, Yijie Guo, Yixin Jin, Yijun Luo, Zhiyuan He, Honglak Lee",April,2018,CVPR 2018,1
Zhang_2018_CVPR,Single Image Reflection Separation With Perceptual Losses,"Zhang, Xuaner and Ng, Ren and Chen, Qifeng",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 4786-4794",arXiv:1806.05376,Single Image Reflection Separation with Perceptual Losses,"Xuaner Zhang, Ren Ng, Qifeng Chen",June,2018,,1
Zhang_2018_CVPR,DeepVoting: A Robust and Explainable Deep Network for Semantic Part Detection Under Partial Occlusion,"Zhang, Zhishuai and Xie, Cihang and Wang, Jianyu and Xie, Lingxi and Yuille, Alan L.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 1372-1380",arXiv:1709.04577,DeepVoting: A Robust and Explainable Deep Network for Semantic Part Detection under Partial Occlusion,"Zhishuai Zhang, Cihang Xie, Jianyu Wang, Lingxi Xie, Alan L. Yuille",March,2018,,1
Zhang_2018_CVPR,ClcNet: Improving the Efficiency of Convolutional Neural Network Using Channel Local Convolutions,"Zhang, Dong-Qing",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 7912-7919",arXiv:1712.06145,clcNet: Improving the Efficiency of Convolutional Neural Network using Channel Local Convolutions,Dong-Qing Zhang,March,2018,,1
Cao_2018_CVPR,Pose-Robust Face Recognition via Deep Residual Equivariant Mapping,"Cao, Kaidi and Rong, Yu and Li, Cheng and Tang, Xiaoou and Change Loy, Chen",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 5187-5196",arXiv:1803.00839,Pose-Robust Face Recognition via Deep Residual Equivariant Mapping,"Kaidi Cao, Yu Rong, Cheng Li, Xiaoou Tang, Chen Change Loy",March,2018,,1
Buch_2014_CVPR,In Search of Inliers: 3D Correspondence by Local and Global Voting,"Glent Buch, Anders and Yang, Yang and Kruger, Norbert and Gordon Petersen, Henrik",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 2067-2074",arXiv:1708.06966,In search of inliers: 3d correspondence by local and global voting,"Anders Glent Buch, Yang Yang, Norbert Krger, Henrik Gordon Petersen",August,2017,2014 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),1
Liu_2018_CVPR,Decoupled Networks,"Liu, Weiyang and Liu, Zhen and Yu, Zhiding and Dai, Bo and Lin, Rongmei and Wang, Yisen and Rehg, James M. and Song, Le",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 2771-2779",arXiv:1804.08071,Decoupled Networks,"Weiyang Liu, Zhen Liu, Zhiding Yu, Bo Dai, Rongmei Lin, Yisen Wang, James M. Rehg, Le Song",April,2018,,1
Acuna_2018_CVPR,Efficient Interactive Annotation of Segmentation Datasets With Polygon-RNN++,"Acuna, David and Ling, Huan and Kar, Amlan and Fidler, Sanja",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 859-868",arXiv:1803.09693,Efficient Interactive Annotation of Segmentation Datasets with Polygon-RNN++,"David Acuna, Huan Ling, Amlan Kar, Sanja Fidler",March,2018,,1
Hu_2018_CVPR,Learning to Segment Every Thing,"Hu, Ronghang and Dollr, Piotr and He, Kaiming and Darrell, Trevor and Girshick, Ross",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 4233-4241",arXiv:1711.10370,Learning to Segment Every Thing,"Ronghang Hu, Piotr Dollr, Kaiming He, Trevor Darrell, Ross Girshick",March,2018,,1
Shlizerman_2018_CVPR,Audio to Body Dynamics,"Shlizerman, Eli and Dery, Lucio and Schoen, Hayden and Kemelmacher-Shlizerman, Ira",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 7574-7583",arXiv:1712.09382,Audio to Body Dynamics,"Eli Shlizerman, Lucio M. Dery, Hayden Schoen, Ira Kemelmacher-Shlizerman",December,2017,,1
Deng_2018_CVPR,PPFNet: Global Context Aware Local Features for Robust 3D Point Matching,"Deng, Haowen and Birdal, Tolga and Ilic, Slobodan",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 195-205",arXiv:1802.02669,PPFNet: Global Context Aware Local Features for Robust 3D Point Matching,"Haowen Deng, Tolga Birdal, Slobodan Ilic",March,2018,,1
Chandra_2018_CVPR,Deep Spatio-Temporal Random Fields for Efficient Video Segmentation,"Chandra, Siddhartha and Couprie, Camille and Kokkinos, Iasonas",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 8915-8924",arXiv:1807.03148,Deep Spatio-Temporal Random Fields for Efficient Video Segmentation,"Siddhartha Chandra, Camille Couprie, Iasonas Kokkinos",July,2018,,1
Deng_2018_CVPR,UV-GAN: Adversarial Facial UV Map Completion for Pose-Invariant Face Recognition,"Deng, Jiankang and Cheng, Shiyang and Xue, Niannan and Zhou, Yuxiang and Zafeiriou, Stefanos",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 7093-7102",arXiv:1712.04695,UV-GAN: Adversarial Facial UV Map Completion for Pose-invariant Face Recognition,"Jiankang Deng, Shiyang Cheng, Niannan Xue, Yuxiang Zhou, Stefanos Zafeiriou",December,2017,,1
Li_2018_CVPR,Towards Faster Training of Global Covariance Pooling Networks by Iterative Matrix Square Root Normalization,"Li, Peihua and Xie, Jiangtao and Wang, Qilong and Gao, Zilin",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 947-955",arXiv:1712.01034,Towards Faster Training of Global Covariance Pooling Networks by Iterative Matrix Square Root Normalization,"Peihua Li, Jiangtao Xie, Qilong Wang, Zilin Gao",April,2018,,1
Andriluka_2018_CVPR,PoseTrack: A Benchmark for Human Pose Estimation and Tracking,"Andriluka, Mykhaylo and Iqbal, Umar and Insafutdinov, Eldar and Pishchulin, Leonid and Milan, Anton and Gall, Juergen and Schiele, Bernt",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 5167-5176",arXiv:1710.10000,PoseTrack: A Benchmark for Human Pose Estimation and Tracking,"Mykhaylo Andriluka, Umar Iqbal, Eldar Insafutdinov, Leonid Pishchulin, Anton Milan, Juergen Gall, Bernt Schiele",April,2018,,1
Bai_2018_CVPR,Edit Probability for Scene Text Recognition,"Bai, Fan and Cheng, Zhanzhan and Niu, Yi and Pu, Shiliang and Zhou, Shuigeng",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 1508-1516",arXiv:1805.03384,Edit Probability for Scene Text Recognition,"Fan Bai, Zhanzhan Cheng, Yi Niu, Shiliang Pu, Shuigeng Zhou",May,2018,,1
Islam_2018_CVPR,"Revisiting Salient Object Detection: Simultaneous Detection, Ranking, and Subitizing of Multiple Salient Objects","Amirul Islam, Md and Kalash, Mahmoud and Bruce, Neil D. B.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 7142-7150",arXiv:1803.05082,"Revisiting Salient Object Detection: Simultaneous Detection, Ranking, and Subitizing of Multiple Salient Objects","Md Amirul Islam, Mahmoud Kalash, Neil D. B. Bruce",March,2018,,1
Li_2018_CVPR,4D Human Body Correspondences From Panoramic Depth Maps,"Li, Zhong and Wu, Minye and Zhou, Wangyiteng and Yu, Jingyi",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 2877-2886",arXiv:1810.05340,4D Human Body Correspondences from Panoramic Depth Maps,"Zhong Li, Minye Wu, Wangyiteng Zhou, Jingyi Yu",October,2018,,1
Litany_2018_CVPR,Deformable Shape Completion With Graph Convolutional Autoencoders,"Litany, Or and Bronstein, Alex and Bronstein, Michael and Makadia, Ameesh",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 1886-1895",arXiv:1712.00268,Deformable Shape Completion with Graph Convolutional Autoencoders,"Or Litany, Alex Bronstein, Michael Bronstein, Ameesh Makadia",April,2018,,1
Gidaris_2018_CVPR,Dynamic Few-Shot Visual Learning Without Forgetting,"Gidaris, Spyros and Komodakis, Nikos",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 4367-4375",arXiv:1804.09458,Dynamic Few-Shot Visual Learning without Forgetting,"Spyros Gidaris, Nikos Komodakis",April,2018,,1
Gu_2018_CVPR,Arbitrary Style Transfer With Deep Feature Reshuffle,"Gu, Shuyang and Chen, Congliang and Liao, Jing and Yuan, Lu",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 8222-8231",arXiv:1805.04103,Arbitrary Style Transfer with Deep Feature Reshuffle,"Shuyang Gu, Congliang Chen, Jing Liao, Lu Yuan",June,2018,,1
Wang_2018_CVPR,Feedback-Prop: Convolutional Neural Network Inference Under Partial Evidence,"Wang, Tianlu and Yamaguchi, Kota and Ordonez, Vicente",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 898-907",arXiv:1710.08049,Feedback-prop: Convolutional Neural Network Inference under Partial Evidence,"Tianlu Wang, Kota Yamaguchi, Vicente Ordonez",March,2018,,1
Liu_2018_CVPR,PlaneNet: Piece-Wise Planar Reconstruction From a Single RGB Image,"Liu, Chen and Yang, Jimei and Ceylan, Duygu and Yumer, Ersin and Furukawa, Yasutaka",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 2579-2588",arXiv:1804.06278,PlaneNet: Piece-wise Planar Reconstruction from a Single RGB Image,"Chen Liu, Jimei Yang, Duygu Ceylan, Ersin Yumer, Yasutaka Furukawa",April,2018,,1
Zhang_2018_CVPR,The Unreasonable Effectiveness of Deep Features as a Perceptual Metric,"Zhang, Richard and Isola, Phillip and Efros, Alexei A. and Shechtman, Eli and Wang, Oliver",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 586-595",arXiv:1801.03924,The Unreasonable Effectiveness of Deep Features as a Perceptual Metric,"Richard Zhang, Phillip Isola, Alexei A. Efros, Eli Shechtman, Oliver Wang",April,2018,,1
Shin_2018_CVPR,"Pixels, Voxels, and Views: A Study of Shape Representations for Single View 3D Object Shape Prediction","Shin, Daeyun and Fowlkes, Charless C. and Hoiem, Derek",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 3061-3069",arXiv:1804.06032,"Pixels, voxels, and views: A study of shape representations for single view 3D object shape prediction","Daeyun Shin, Charless C. Fowlkes, Derek Hoiem",June,2018,,1
Yu_2018_CVPR,Learning Strict Identity Mappings in Deep Residual Networks,"Yu, Xin and Yu, Zhiding and Ramalingam, Srikumar",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 4432-4440",arXiv:1804.01661,ResNet Sparsifier: Learning Strict Identity Mappings in Deep Residual Networks,"Xin Yu, Zhiding Yu, Srikumar Ramalingam",November,2018,,1
Lefkimmiatis_2018_CVPR,Universal Denoising Networks : A Novel CNN Architecture for Image Denoising,"Lefkimmiatis, Stamatios",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 3204-3213",arXiv:1711.07807,Universal Denoising Networks : A Novel CNN Architecture for Image Denoising,Stamatios Lefkimmiatis,March,2018,,1
Sankaranarayanan_2018_CVPR,Learning From Synthetic Data: Addressing Domain Shift for Semantic Segmentation,"Sankaranarayanan, Swami and Balaji, Yogesh and Jain, Arpit and Nam Lim, Ser and Chellappa, Rama",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 3752-3761",arXiv:1711.06969,Learning from Synthetic Data: Addressing Domain Shift for Semantic Segmentation,"Swami Sankaranarayanan, Yogesh Balaji, Arpit Jain, Ser Nam Lim, Rama Chellappa",April,2018,,1
Zhang_2018_CVPR,Deep Depth Completion of a Single RGB-D Image,"Zhang, Yinda and Funkhouser, Thomas",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 175-185",arXiv:1803.09326,Deep Depth Completion of a Single RGB-D Image,"Yinda Zhang, Thomas Funkhouser",May,2018,,1
Kupyn_2018_CVPR,DeblurGAN: Blind Motion Deblurring Using Conditional Adversarial Networks,"Kupyn, Orest and Budzan, Volodymyr and Mykhailych, Mykola and Mishkin, Dmytro and Matas, Ji_",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 8183-8192",arXiv:1711.07064,DeblurGAN: Blind Motion Deblurring Using Conditional Adversarial Networks,"Orest Kupyn, Volodymyr Budzan, Mykola Mykhailych, Dmytro Mishkin, Jiri Matas",April,2018,,1
Georgakis_2018_CVPR,End-to-End Learning of Keypoint Detector and Descriptor for Pose Invariant 3D Matching,"Georgakis, Georgios and Karanam, Srikrishna and Wu, Ziyan and Ernst, Jan and Koeck, Jana",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 1965-1973",arXiv:1802.07869,End-to-end learning of keypoint detector and descriptor for pose invariant 3D matching,"Georgios Georgakis, Srikrishna Karanam, Ziyan Wu, Jan Ernst, Jana Kosecka",May,2018,,1
Wei_2018_CVPR,Person Transfer GAN to Bridge Domain Gap for Person Re-Identification,"Wei, Longhui and Zhang, Shiliang and Gao, Wen and Tian, Qi",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 79-88",arXiv:1711.08565,Person Transfer GAN to Bridge Domain Gap for Person Re-Identification,"Longhui Wei, Shiliang Zhang, Wen Gao, Qi Tian",June,2018,,1
Lin_2018_CVPR,Conditional Image-to-Image Translation,"Lin, Jianxin and Xia, Yingce and Qin, Tao and Chen, Zhibo and Liu, Tie-Yan",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 5524-5532",arXiv:1805.00251,Conditional Image-to-Image Translation,"Jianxin Lin, Yingce Xia, Tao Qin, Zhibo Chen, Tie-Yan Liu",May,2018,,1
Wu_2018_CVPR,Look at Boundary: A Boundary-Aware Face Alignment Algorithm,"Wu, Wayne and Qian, Chen and Yang, Shuo and Wang, Quan and Cai, Yici and Zhou, Qiang",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 2129-2138",arXiv:1805.10483,Look at Boundary: A Boundary-Aware Face Alignment Algorithm,"Wayne Wu, Chen Qian, Shuo Yang, Quan Wang, Yici Cai, Qiang Zhou",May,2018,,1
Zhai_2018_CVPR,Feature Selective Networks for Object Detection,"Zhai, Yao and Fu, Jingjing and Lu, Yan and Li, Houqiang",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 4139-4147",arXiv:1711.08879,Feature Selective Networks for Object Detection,"Yao Zhai, Jingjing Fu, Yan Lu, Houqiang Li",November,2017,,1
Qi_2018_CVPR,Frustum PointNets for 3D Object Detection From RGB-D Data,"Qi, Charles R. and Liu, Wei and Wu, Chenxia and Su, Hao and Guibas, Leonidas J.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 918-927",arXiv:1711.08488,Frustum PointNets for 3D Object Detection from RGB-D Data,"Charles R. Qi, Wei Liu, Chenxia Wu, Hao Su, Leonidas J. Guibas",April,2018,,1
Li_2018_CVPR,SO-Net: Self-Organizing Network for Point Cloud Analysis,"Li, Jiaxin and Chen, Ben M. and Hee Lee, Gim",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 9397-9406",arXiv:1803.04249,SO-Net: Self-Organizing Network for Point Cloud Analysis,"Jiaxin Li, Ben M. Chen, Gim Hee Lee",March,2018,,1
Zhang_2018_CVPR,Grounding Referring Expressions in Images by Variational Context,"Zhang, Hanwang and Niu, Yulei and Chang, Shih-Fu",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 4158-4166",arXiv:1712.01892,Grounding Referring Expressions in Images by Variational Context,"Hanwang Zhang, Yulei Niu, Shih-Fu Chang",March,2018,,1
Bargal_2018_CVPR,Excitation Backprop for RNNs,"Adel Bargal, Sarah and Zunino, Andrea and Kim, Donghyun and Zhang, Jianming and Murino, Vittorio and Sclaroff, Stan",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 1440-1449",arXiv:1711.06778,Excitation Backprop for RNNs,"Sarah Adel Bargal, Andrea Zunino, Donghyun Kim, Jianming Zhang, Vittorio Murino, Stan Sclaroff",March,2018,"IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018",1
