ID,Title,Time,Director,Year,Cast
42,Herbie Goes Bananas,1 hr. 33 min.,Vincent McEveety,1980,"Cloris Leachman, Charles Martin Smith, John Vernon, Elyssa Davalos, Stephan W. Burns, Harvey Korman"
43,Herbie Goes to Monte Carlo,1 hr. 45 min.,Vincent McEveety,1977,"Dean Jones, Don Knotts, Jacques Marin, Bernard Fox, Roy Kinnear, Eric Braeden"
44,Herbie Rides Again,1 hr. 28 min.,Robert Stevenson,1974,"Helen Hayes, Ken Berry, Stefanie Powers, John McIntire, Keenan Wynn, Huntz Hall"
45,The Last Samurai,2 hr. 34 min.,Edward Zwick,2003,"Tom Cruise, Ken Watanabe, Billy Connolly, Timothy Spall, Tony Goldwyn, Shichinosuke Nakamur..."
46,Lady Snowblood 2 - Love Song of Vengeance (Shura-yuki-hime: Urami Renga),1 hr. 29 min.,Toshiya Fujita,1974,"Meiko Kaji, Yoshio Harada, Kazuko Toshiyuki, Shin Kishida, Juzo Itami"
47,Robin Hood,1 hr. 56 min.,John Irvin,1991,"Patrick Bergin, Uma Thurman, Jeroen KrabbÌ©, JÌ_rgen Prochnow, Edward Fox, Owen Teale"
48,Born to Defense,1 hr. 31 min.,Jet Li,1986,"Jet Li, Erkang Zhao, Jia Song, Kurt Roland Petterss..., Dean Harrington, Kurt Roland Petersso..."
49,The Border,1 min.,Tony Richardson,1982,"Jack Nicholson, Harvey Keitel, Valerie Perrine, Warren Oates, Elpidia Carrillo, Shannon Wilcox"
50,###Darling,2 hr. 23 min.,Raaj Mukherjee,1991,"Topher Grace, Elle Deets, Yuri Lowenthal, Jennifer Miller, Joseph Medrano, David Lodge"
51,Dark Waters,1 hr. 33 min.,Phillip J. Roth,2003,"Lorenzo Lamas, Simmone Mackinnon, Jeffrey Gorman, Jeffery Gorman, Bruce Gray, Ross Manarchy"
52,Posse,1 hr. 32 min.,Kirk Douglas,1975,"Kirk Douglas, Bruce Dern, Bo Hopkins, James Stacy, Luke Askew, David Canary"
53,Lost Treasure,1 hr. 30 min.,Jim Wynorski,2003,"Stephen Baldwin, Nicollette Sheridan, Hannes Jaenicke, Coby Ryan McLaughlin, Mark Christopher Law..., Jerry Doyle"
54,SamouraÌøs (SamurÌÁis)(Samurai),1 hr. 30 min.,Giordano Gederlini,2002,"Cyril Mourali, Mai Anh Le, Yasuaki Kurata, SaÌød Serrari, Santi Sudaros, Pascal Gentil"
55,Maximum Velocity,1 hr. 33 min.,Phillip J. Roth,2003,"Dale Midkiff, Gregor Toerzs, Michael Ironside, Wendy Carter, Gregor Toerz, Jennifer Jostyn"
56,Prince Valiant,1 hr. 40 min.,Henry Hathaway,1954,"Robert Wagner, James Mason, Janet Leigh, Debra Paget, Sterling Hayden, Victor McLaglen"
57,Curse of the Komodo,1 hr. 32 min.,Jay Andrews,2004,"Tim Abell, Glori-Anne Gilbert, Melissa Brasselle, J.P. Davis, Gail Harris, Jay Richardson"
58,Man of La Mancha,2 hr. 10 min.,Arthur Hiller,1973,"Peter O'Toole, Sophia Loren, James Coco, Harry Andrews, John Castle, Brian Blessed"
59,Samurai Cop,1 hr. 36 min.,Amir Shervan,1989,"Robert Z'Dar, Matt Hannon, Jannis Farley, Mark Frazer, Melissa Moore, Joselito Rescober"
60,The Legend of Johnny Lingo,1 hr. 31 min.,Steven Ramirez,2003,"Joe Falou, Rawiri Paratene, Kayte Ferguson, Alvin Fitisemanu, Hori Ahipene, Sima Urale"
61,Dragon Strike (Long xiao ye) (Dragon Lord) (Young Master in Love),1 hr. 40 min.,Jackie Chan,1982,"Jackie Chan, Mars [m], Biao Yuen, Sidney Yim, Chen Hui Min, Hong-Yip Cheng"
62,Deep Shock,1 hr. 33 min.,Armando Valdes-Kennedy,2003,"David Keith, Simmone Mackinnon, Mark A. Sheppard, Mark Chomsky, Sean Whalen, Armando Valdes-Kenne..."
63,Paycheck,1 hr. 59 min.,John Woo,2003,"Ben Affleck, Aaron Eckhart, Uma Thurman, Paul Giamatti, Colm Feore, Joe Morton"
64,Around the World in 80 Days,2 hr. 21 min.,John Farrow,1956,"David Niven, Cantinflas, Shirley MacLaine, Robert Newton, Charles Boyer, Joe E. Brown"
65,Firepower,1 hr. 32 min.,Richard Pepin,1994,"Chad McQueen, Gary Daniels, Jim Hellwig, Joseph Ruskin, Alisha Das, George Murdock"
66,Enter the Dragon,1 hr. 42 min.,Robert Clouse,1973,"Bruce Lee, John Saxon, Jim Kelly, Shih Kien, Robert Wall, Anna Capri"
67,Zatoichi's Cane Sword,1 hr. 30 min.,Kimiyoshi Yasuda,1967,"ShintarÌ« Katsu, Shiho Fujimura, Yoshihiko Aoyama, EijirÌ« Tono"
68,Torque,1 hr. 21 min.,Joseph Kahn,2004,"Martin Henderson, Ice Cube, Monet Mazur, Matt Schulze, Jay Hernandez, Will Yun Lee"
69,Wyatt Earp,3 hr. 12 min.,Lawrence Kasdan,1994,"Kevin Costner, Dennis Quaid, Gene Hackman, Michael Madsen, David Andrews, Linden Ashby"
70,Zatoichi's Vengeance,1 hr. 23 min.,Tokuzo Tanaka,1966,"ShintarÌ« Katsu, Shigeru Amachi, Mayumi Ogawa, Kei Sato, Jun Hamamura"
71,Zatoichi and the Chess Expert,1 hr. 27 min.,Kenji Misumi,1965,"ShintarÌ« Katsu, Mikio Narita, Chizu Hayashi, Kaneko Iwasaki, Gaku Yamamoto"
72,The Hunters,1 hr. 48 min.,Dick Powell,1958,"Robert Mitchum, Robert Wagner, May Britt, Richard Egan, Lee Philips, John Gabriel"
73,Un condamnÌ© ÌÊ mort s'est Ì©chappÌ© ou Le vent souffle oÌ_ il veut (A Man Escaped),1 hr. 42 min.,Robert Bresson,1957,"FranÌ¤ois Leterrier, Roland Monod, Jacques Ertaud, Roger Planchon, Charles LeClainche, Maurice Beerblock"
74,The Enemy Below,1 hr. 38 min.,Dick Powell,1957,"Robert Mitchum, Curd JÌ_rgens, David Hedison, Theodore Bikel, Russell Collins, Kurt Kreuger"
75,Extramarital,1 hr. 30 min.,Don O'Melveny,1997,"Traci Lords, Jeff Fahey, Jack Kerrigan, Brian Bloom, Maria Diaz, Natalie Karp"
76,Janbaaz,2 hr. 49 min.,Feroz Khan,1986,"Feroz Khan, Anil Kapoor, Dimple Kapadia, Amrish Puri"
77,Shade,1 hr. 35 min.,Damian Nieman,2003,"Gabriel Byrne, Thandie Newton, Sylvester Stallone, Melanie Griffith, Stuart Townsend, Jamie Foxx"
78,A Sangre Fria,1 hr. 30 min.,Fernando DurÌÁn,2004,"Alfredo ""El Turco"" G..., Diana Ferreti, Fernando Saenz, Alicia Encinas, Jorge Aldama, Gibran Gonzalez"
79,The Super Cops,1 hr. 35 min.,Gordon Parks,1974,"Ron Leibman, David Selby, Sheila Frazier, Sheila E. Frazier, Pat Hingle, Dan Frazer"
80,New York Cop,1 hr. 35 min.,Toru Murakawa,1995,"TÌ«ru Nakamura, Chad McQueen, Andreas Katsulas, Mira Sorvino, Conan Lee, Tony Sirico"
81,Hollywood Safari,1 hr. 30 min.,Henri Charr,1997,"David Leisure, Debby Boone, John Savage, Ted Jan Roberts (II), Ryan J. O'Neill, Don 'The Dragon' Wil..."
82,The Magnificent Seven Ride!,1 hr. 40 min.,George McCowan,1972,"Lee Van Cleef, Michael Callan, Stefanie Powers, Luke Askew, Pedro ArmendÌÁriz Jr., Mariette Hartley"
83,Hickey & Boggs,1 hr. 51 min.,Robert Culp,2000,"Michael Moriarty, James Woods, Robert Culp, Bill Cosby, Rosalind Cash, Sheila Sullivan"
84,Dharmatma (The Holy Year),2 hr. 39 min.,Feroz Khan,1975,"Premnath, Feroz Khan, Hema Malini, Rekha"
85,Qurbani,2 hr. 18 min.,Feroz Khan,1980,"Feroz Khan, Vinod Khanna, Amjad Khan, Zeenat Aman, Kader Khan, Tun Tun"
86,The Lord of the Rings: The Return of the King,3 hr. 21 min.,Peter Jackson,2003,"Elijah Wood, Sean Astin, Ian McKellen, Andy Serkis, Viggo Mortensen, Orlando Bloom"
87,Shalimar (Deadly Thief) (Raiders of the Sacred Stone),1 hr. 36 min.,Krishna Shah,1978,"Rex Harrison, Zenat Aman, Sylvia Miles, John Saxon, Zeenat Aman, Dharmendra"
88,Como Perros Con Rabia,1 hr. 30 min.,Jorge Reynoso,2003,"Alfredo ""El Turco"" G..., Emilio ""El Alteno"" F..., Amador Granados, David Fuentes, Carmen Molero Arturo, Glez Pulido"
89,Map of the Human Heart,1 hr. 49 min.,Vincent Ward,1992,"Jason Scott Lee, Anne Parillaud, Robert Joamie, Annie Galipeau, Patrick Bergin, John Cusack"
90,The Spoilers,1 hr. 27 min.,Ray Enright,1942,"John Wayne, Randolph Scott, Marlene Dietrich, Margaret Lindsay, Harry Carey, Richard Barthelmess"
91,Destination Tokyo,2 hr. 15 min.,Delmer Daves,1943,"Cary Grant, John Garfield, Alan Hale, John Ridgely, Dane Clark, Alan Hale Sr."
92,Pokemon - Jirachi Wish Maker,1 hr. 21 min.,Kunihiko Yuyama,2004,"Eric Stuart, Ikue Ohtani, Jimmy Zoppi, Maddie Blaustein, Megan Hollingshead, Rachael Lillis"
93,Live Wire,1 hr. 25 min.,Christian Duguay,1992,"Pierce Brosnan, Ron Silver, Ben Cross, Lisa Eilbacher, Tony Plana, Ferne Cassel"
94,Dead Bang,1 hr. 49 min.,John Frankenheimer,1989,"Don Johnson, Tim Reid, Penelope Ann Miller, William Forsythe, Bob Balaban, Frank Military"
95,Kiss of Death,1 hr. 41 min.,Barbet Schroeder,1995,"David Caruso, Samuel L. Jackson, Helen Hunt, Kathryn Erbe, Nicolas Cage, Stanley Tucci"
96,Frantic,2 hr.,Roman Polanski,1988,"Harrison Ford, Emmanuelle Seigner, Betty Buckley, John Mahoney, Jimmie Ray Weeks, Yorgo Voyagis"
97,Coogan's Bluff,1 hr. 34 min.,Don Siegel,1968,"Clint Eastwood, Susan Clark, Tisha Sterling, Betty Field, Tom Tully, Lee J Cobb"
98,Once upon a Texas Train,1 hr. 40 min.,Burt Kennedy,1988,"Willie Nelson, Richard Widmark, Jack Elam, Chuck Connors, Dub Taylor, Ken Curtis"
99,Zero Tolerance,1 hr. 34 min.,Joseph Merhi,1993,"Robert Patrick, Titus Welliver, Kristen Meadows, Barbara Patrick, Bill Hufsey, Miles O'Keeffe"
100,Bitter Creek,1 hr. 35 min.,Tim Burstall,1988,"Joanna Cassidy, Constance McCashin, Tom Skerritt, Lindsay Wagner, Janne Mortil, Raymond Guth"
101,Driven,1 hr. 57 min.,Renny Harlin,2001,"Sylvester Stallone, Burt Reynolds, Kip Pardue, Stacy Edwards, Til Schweiger, Gina Gershon"
102,Rush Hour 2,1 hr. 30 min.,Brett Ratner,2001,"Jackie Chan, Chris Tucker, John Lone, Ziyi Zhang, Roselyn Sanchez, Harris Yulin"
103,The Gods Must Be Crazy,1 hr. 49 min.,Jamie Uys,1980,"Marius Weyers, Sandra Prinsloo, N!xau, Louw Verwey, Michael Thys, Jamie Uys"
104,Young Guns II,1 hr. 45 min.,Geoff Murphy,1990,"Emilio Estevez, William L. Petersen, Kiefer Sutherland, Lou Diamond Phillips, Christian Slater, Alan Ruck"
105,Batman - Mystery of the Batwoman,1 hr. 15 min.,Tim Maltby,2003,"Kevin Conroy, Kelly Ripa, Kimberly Brooks, David Ogden Stiers, Hector Elizondo, Kyra Sedgwick"
106,Catch That Kid,1 hr. 32 min.,Bart Freundlich,2004,"Kristen Stewart, Corbin Bleu, Jennifer Beals, Sam Robards, John Carroll Lynch, James LeGros"
107,Nightbreed,1 hr. 42 min.,Clive Barker,1990,"Craig Sheffer, Anne Bobby, David Cronenberg, Charles Haid, Hugh Quarshie, Hugh Ross"
108,Bloodsport,1 hr. 32 min.,Newt Arnold,1988,"Jean-Claude Van Damm..., Leah Ayres, Donald Gibb, Norman Burton, Forest Whitaker, Roy Chiao"
109,The Marvelous Land of Oz,1 hr. 30 min.,Tim Reid (VII),1987,Margot Kidder
110,Jumpin' Jack Flash,1 hr. 40 min.,Penny Marshall,1986,"Whoopi Goldberg, Stephen Collins, John Wood, Carol Kane, Lawrence Gordon, Annie Potts"
111,Training Day,2 hr. 2 min.,Antoine Fuqua,2001,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry"
112,Rage,1 hr. 34 min.,Joseph Merhi,1996,"Gary Daniels, Kenneth Tigar, Fiona Hutchison, Jillian McWhirter, Fiona Hutchinson, Tom Colceri"
113,Clash of the Titans,1 hr. 58 min.,Desmond Davis,1981,"Harry Hamlin, Laurence Olivier, Judi Bowker, Claire Bloom, Maggie Smith, Ursula Andress"
114,The Sweeper,1 hr. 30 min.,Joseph Merhi,1996,"C. Thomas Howell, Jeff Fahey, Ed Lauter, Cynda Williams, Kristen Dalton, Janet Gunn"
115,Flight of the Navigator,1 hr. 30 min.,Randal Kleiser,1986,"Joey Cramer, Veronica Cartwright, Cliff De Young, Sarah Jessica Parker, Howard Hesseman, Robert Small"
116,Zatoichi At Large,1 hr. 28 min.,Kazuo Mori,1972,"ShintarÌ« Katsu, Rentaro Mikuni, Hisaya Morishige, Etsushi Takahashi, Naoko Otani, Osamu Sakai"
117,"Tarzan, the Ape Man",1 hr. 52 min.,John Derek,1981,"Bo Derek, Miles O'Keeffe, Richard Harris, John Phillip Law, Akushula Selayah, Steven Strong"
118,"Greystoke: The Legend of Tarzan, Lord of the Apes",2 hr. 10 min.,Hugh Hudson,1984,"Christopher Lambert, Ralph Richardson, Ian Holm, Andie MacDowell, Glenn Close, James Fox"
119,The Chronicles of Riddick: Dark Fury,35 min.,Peter Chung,2004,"Vin Diesel, Nick Chinlund, Keith David, Rhiana Griffith"
120,The Man from Colorado,1 hr. 40 min.,Henry Levin,1949,"Glenn Ford, William Holden, Ellen Drew, Ray Collins, Edgar Buchanan, Jerome Courtland"
121,Cidade de Deus (City of God),2 hr. 10 min.,Fernando Meirelles,2003,"Matheus Nachtergaele, Alexandre Rodrigues, Leandro Firmino da H..., Phellipe Haagensen, Phelipe Haagensen, Douglas Silva"
122,Kung Fu Fighter,1 hr. 40 min.,Yip Wing Kin,2007,"Vanessa Wu, Terry Fan, Bruce Leung, Chan Kwok Kwan, Lam Tze Chung"
123,Spartan,1 hr. 47 min.,David Mamet,2004,"Derek Luke, Val Kilmer, William H. Macy, Ed O'Neill, Kristen Bell, Johnny Messner"
124,Buffalo Girls,3 hr.,Rod Hardy,1995,"Anjelica Huston, Melanie Griffith, Sam Elliott, Reba McEntire, Jack Palance, Gabriel Blue"
125,Master Q - Incredible Pet Detective,1 hr. 34 min.,Raymond To,2003,"Eric Tsang, Chapman To, Ka-Yee Lee, Andes Yu"
126,Caravans,2 hr. 7 min.,James Fargo,1978,"Jennifer O'Neill, Anthony Quinn, Michael Sarrazin, Christopher Lee, Joseph Cotten, Behrooz Vosoughi"
127,Clinton and Nadine,1 hr. 50 min.,Jerry Schatzberg,1988,"Andy Garcia, Ellen Barkin, Morgan Freeman, Michael Lombard, John C. McGinley, Brad Sullivan"
128,Quest for the Egg Salad: Fellowship of the Egg Salad,1 hr.,Chris Seaver,2002,"Tim Ekkebus, Bobby Heckman, Casey Bowker, Chris Seaver, Doug Sakmann, Jesse Green"
129,Devil Winds,1 hr. 30 min.,Gilbert M. Shilton,2003,"Joe Lando, Erica Parker, Peter Graham-Gaudrea..., Garwin Sanford, Nicole Eggert, Gerard Plunkett"
130,Tuesday Never Comes,,Jason Holt,1993,"Karen Black, Erik Estrada, Lawrence Hilton-Jaco..."
131,Six: The Mark Unleashed,1 hr. 44 min.,Kevin Downes,2004,"Stephen Baldwin, David A.R. White, Eric Roberts, Kevin Downes, Jeffrey Dean Morgan, Amy Moon"
132,Backgammon,1 hr. 35 min.,Ziri Rideaux,2001,"Angela Marsden, Josh Coxx, K.W. Miller, Wendy Braun, Armin Marewski, Greg Lewis"
133,The Last Warrior,1 hr. 35 min.,Sheldon Lettich,2001,"Dolph Lundgren, Sherri Alexander, Joe Michael Burke, Rebecca Cross, Brook Parker, Juliano Mer Khamis"
134,Cold Mountain,2 hr. 34 min.,Anthony Minghella,2003,"Nicole Kidman, Jude Law, RenÌ©e Zellweger, Eileen Atkins, Brendan Gleeson, Donald Sutherland"
135,Suddenly,1 hr. 15 min.,Lewis Allen,1954,"Frank Sinatra, Sterling Hayden, James Gleason, Nancy Gates, Kim Charney, Christopher Dark"
136,Greyfriars Bobby: The True Story of a Dog,1 hr. 31 min.,Don Chaffey,1961,"Laurence Naismith, Alex Mackenzie, Donald Crisp, Duncan Macrae, Kay Walsh, Andrew Cruickshank"
137,Red Sonja,1 hr. 29 min.,Richard Fleischer,1985,"Arnold Schwarzenegge..., Brigitte Nielsen, Sandahl Bergman, Paul L. Smith, Ernie Reyes Jr., Ronald Lacey"
138,Hot Lead and Cold Feet,1 hr. 29 min.,Robert Butler,1978,"Jim Dale, Karen Valentine, Don Knotts, Darren McGavin, Jack Elam, John Williams (II)"
139,The African Queen,1 hr. 45 min.,John Huston,1951,"Humphrey Bogart, Katharine Hepburn, Robert Morley, Theodore Bikel, Peter Bull, Walter Gotell"
140,The Counterfeit Traitor,2 hr. 20 min.,George Seaton,1962,"William Holden, Lilli Palmer, Hugh Griffith, Eva Dahlbeck, Ulf Palme, Werner Peters"
141,Never Die Alone,1 hr. 22 min.,Ernest R. Dickerson,2004,"DMX, David Arquette, Michael Ealy, Reagan Gomez-Preston, Clifton Powell, Antwon Tanner"
142,The Spy Who Came in from the Cold,1 hr. 52 min.,Martin Ritt,1965,"Claire Bloom, Richard Burton, Oskar Werner, Sam Wanamaker, George Voskovec, Rupert Davies"
143,The Ranger and the Lady,54 min.,Joseph Kane,1940,"Roy Rogers, George 'Gabby' Hayes, Jacqueline Wells, Henry Brandon, Harry Woods, Noble Johnson"
144,Target,1 hr. 27 min.,William Webb,1985,"Gene Hackman, Matt Dillon, Josef Sommer, Gayle Hunnicutt, Victoria Fyodorova, Ilona Grubel"
145,Police Force: An Inside Story,,Dilip Shukla,2004,"Akshay Kumar, Raveena Tandon, Amrish Puri, Raj Babbar, Achyut Potdar, Alok Nath"
146,The Eliminator,1 hr. 30 min.,Ken Barbet,2004,"Michael Rooker, Bas Rutten, Dana Lee, G. Anthony Joseph, Wolf Muser, Marco Ruas"
147,Agent Cody Banks 2: Destination London,1 hr. 40 min.,Kevin Allen,2004,"Frankie Muniz, Anthony Anderson, Hannah Spearritt, Cynthia Stevenson, Daniel Roebuck, Anna Chancellor"
148,The Assassination Bureau,1 hr. 46 min.,Basil Dearden,1969,"Oliver Reed, Diana Rigg, Telly Savalas, Curd JÌ_rgens, Philippe Noiret, Warren Mitchell"
149,Zatoichi Meets the One-Armed Swordsman,1 hr. 34 min.,Kimiyoshi Yasuda,1971,"ShintarÌ« Katsu, Yu Wang, Watako Hamaki, Michie Terada, Koji Nambara"
150,The Return of Chandu,2 hr. 36 min.,Ray Taylor,1934,"Bela Lugosi, Maria Alba, Clara Kimball Young, Dean Benton, Phyllis Ludwig, Josef Swickard"
151,Beyond Evil,1 hr. 38 min.,Herb Freed,1980,"John Saxon, Lynda Day George, Michael Dante, Janice Lynde, Mario Milano, David Opatoshu"
152,Castle Keep,1 hr. 45 min.,Sydney Pollack,1969,"Burt Lancaster, Peter Falk, Patrick O'Neal, Jean-Pierre Aumont, Astrid Heeren, Scott Wilson"
153,Out of Reach,1 hr. 26 min.,Po-Chih Leong,2004,"Steven Seagal, Ida Nowakowska, Agnieszka Wagner, Matt Schulze, Krzysztof Pieczynski, Robbie Gee"
154,The Big Bounce,1 hr. 29 min.,George Armitage,2004,"Owen Wilson, Sara Foster, Morgan Freeman, Charlie Sheen, Gary Sinise, Bebe Neuwirth"
155,RahXephon: The Motion Picture (RahXephon: Pluralitas Concentio),2 hr.,Tomoki Kyoda,2003,"Chris Patton, Monica Rial, Mandy Clark"
156,Starsky & Hutch,1 hr. 40 min.,Todd Phillips,2004,"Ben Stiller, Owen Wilson, Snoop Dogg, Fred Williamson, Vince Vaughn, Juliette Lewis"
157,Thunderbird 6,1 hr. 29 min.,David Lane,1968,"Sylvia Anderson, John Carson, Peter Dyneley, Catherine Finn, David Graham, Geoffrey Keen"
158,Hell's Angels '69,1 hr. 37 min.,Lee Madden,1969,"Tom Stern, Jeremy Slate, Conny Van Dyke, Steve Sandor, G.D. Spradlin, Sonny Barger"
159,Supervivencia,1 hr. 30 min.,Sergio Goyri,1992,"Sergio Goyri, Telly Filippini, Armando Araiza, RaÌ¼l Araiza, Alfonso Zayas"
