ID_A,ID_B,Flag,Title_A,Title_B,Director_A,Director_B,Year_A,Year_B
4442,4450,,Trouble with the Curve ,Trouble with the Curve,Robert Lorenz,Robert Lorenz,2012,2012
355,2117,,The Spy Next Door    ,The Spy Next Door,Brian Levant,Brian Levant,2010,2010
826,3023,,Fast & Furious 6 - Extended Edition    ,Fast & Furious 6,Justin Lin,Justin Lin,2013,2013
4237,5242,,Rush    ,Rush,Ron Howard,Ron Howard,2013,2013
902,2250,,The Expendables ,The Expendables,Sylvester Stallone,Sylvester Stallone,2010,2010
544,1533,,Fool's Gold (2008)    ,Fool's Gold,Andy Tennant,Andy Tennant,2008,2008
1154,1395,,The Last Legion [Blu-ray] ,The Last Legion,Doug Lefler,Doug Lefler,2011,2007
33,5126,,Red 2 ,Red 2,Dean Parisot,Dean Parisot,2013,2013
3056,6304,,Soaked In Bleach    ,Soaked In Bleach,Benjamin Statler,Benjamin Statler,2015,2015
4073,2010,,Inglourious Basterds    ,Inglourious Basterds,Quentin Tarantino,Quentin Tarantino,2009,2009
3308,6297,,A Little Chaos (DVD) ,A Little Chaos,Alan Rickman,Alan Rickman,2015,2015
3329,4276,,The Best Exotic Marigold Hotel ,The Best Exotic Marigold Hotel,John Madden,John Madden,2012,2012
1237,1023,,Yellowneck    ,Yellowneck,R. John Hugh,R. John Hugh,1955,1955
2740,5583,,Blood Ties    ,Blood Ties,Guillaume Canet,Guillaume Canet,2014,2014
90,2831,,The Hobbit: An Unexpected Journey (Extended Edition) (Blu-ray) ,The Hobbit: An Unexpected Journey,Peter Jackson,Peter Jackson,2013,2012
120,3662,,Boy Wonder    ,Boy Wonder,Michael Morrissey,Michael Morrissey,2011,2011
2629,6026,,Laggies    ,Laggies,Lynn Shelton,Lynn Shelton,2014,2014
741,3193,,Sabotage (Blu-ray + DVD + DIGITAL HD with UltraViolet) ,Sabotage,David Ayer,David Ayer,2014,2014
443,1621,,Dean Teaster's Ghost Town    ,Dean Teaster's Ghost Town,Jeff Kennedy,Jeff Kennedy,2008,2007
3276,6046,,The Theory of Everything ,The Theory of Everything,James Marsh,James Marsh,2015,2014
4768,1555,,Never Back Down    ,Never Back Down,Jeff Wadlow,Jeff Wadlow,2008,2008
3733,4723,,Jack Reacher    ,Jack Reacher,Christopher McQuarrie,Christopher McQuarrie,2012,2012
3115,1450,,Into the Wild    ,Into the Wild,Sean Penn,Sean Penn,2007,2007
3963,5838,,Begin Again ,Begin Again,John Carney,John Carney,2014,2014
3355,3189,,The Raid 2 [Blu-ray] ,The Raid 2,Gareth Evans,Gareth Evans,2014,2014
2981,1986,,Star Trek (2009)    ,Star Trek,J.J. Abrams,J.J. Abrams,2009,2009
125,2831,,The Hobbit: An Unexpected Journey    ,The Hobbit: An Unexpected Journey,Peter Jackson,Peter Jackson,2012,2012
4543,4048,,Hello Lonesome    ,Hello Lonesome,Adam Reid,Adam Reid,2010,2011
3016,3012,,Man of Steel,Man of Steel,Zack Snyder,Zack Snyder,2013,2013
1865,1142,,Flags of Our Fathers (Widescreen Edition) ,Flags of Our Fathers,Clint Eastwood,Clint Eastwood,2007,2006
4860,5496,,Her ,Her,Spike Jonze,Spike Jonze,2014,2013
1789,473,,Elektra (Director's Cut) [Blu-ray] ,Elektra,Rob Bowman,Rob Bowman,2010,2005
173,171,,Kill Bill: Volume 2    ,Kill Bill: Volume 2,Quentin Tarantino,Quentin Tarantino,2005,2004
576,86,,The Lord of the Rings: The Return of the King (Special Extended Edition) ,The Lord of the Rings: The Return of the King,Peter Jackson,Peter Jackson,2004,2003
1004,493,,Blade: Trinity (R-rated)    ,Blade: Trinity,David S. Goyer,David S. Goyer,2004,2004
4363,987,,V for Vendetta [Blu-ray] ,V for Vendetta,James McTeigue,James McTeigue,2008,2006
2558,1230,,Seraphim Falls ,Seraphim Falls,David Von Ancken,David Von Ancken,2007,2007
2320,3003,,Bounty Killer [Blu-ray] ,Bounty Killer,Henry Saine,Henry Saine,2013,2013
2295,898,,The New World (The Extended Cut) [Blu-ray] ,The New World,Terrence Malick,Terrence Malick,2009,2005
2644,6264,,Ex Machina (Blu-ray + Digital HD) ,Ex Machina,Alex Garland,Alex Garland,2015,2015
30,3094,,The Hunger Games: Catching Fire Free Featurette - New Cast    ,The Hunger Games: Catching Fire,Francis Lawrence,Francis Lawrence,2013,2013
789,2066,,2012,2012,Roland Emmerich,Roland Emmerich,2010,2009
3287,3549,,Thor [DVD] ,Thor,Kenneth Branagh,Kenneth Branagh,2013,2011
3423,3019,,The Mortal Instruments: City of Bones  (+UltraViolet Digital Copy) ,The Mortal Instruments: City of Bones,Harald Zwart,Harald Zwart,2013,2013
3471,1466,,I Am Legend    ,I Am Legend,Francis Lawrence,Francis Lawrence,2007,2007
3583,2732,,The Amazing Spider-Man (Three-Disc Combo: Blu-ray / DVD + UltraViolet Digital Copy) ,The Amazing Spider-Man,Marc Webb,Marc Webb,2012,2012
860,2924,,Templar Nation    ,Templar Nation,Brian Vance,Brian Vance,2013,2012
1710,231,,Walking Tall ,Walking Tall,Kevin Bray,Kevin Bray,2004,2004
2767,5465,,Labor Day    ,Labor Day,Jason Reitman,Jason Reitman,2013,2014
2747,21,,Kill Bill: Volume 1    ,Kill Bill: Volume 1,Quentin Tarantino,Quentin Tarantino,2003,2003
2742,1114,,Crank    ,Crank,Mark Neveldine,Mark Neveldine,2006,2006
3870,6032,,Nightcrawler (Blu-ray + DVD + DIGITAL HD with UltraViolet) ,Nightcrawler,Dan Gilroy,Dan Gilroy,2015,2014
486,3539,,X-Men: First Class ,X-Men: First Class,Matthew Vaughn,Matthew Vaughn,2011,2011
3423,5142,,The Mortal Instruments: City of Bones  (+UltraViolet Digital Copy) ,The Mortal Instruments: City of Bones,Harald Zwart,Harald Zwart,2013,2013
4822,3180,,300: Rise of an Empire (Blu-ray+DVD+UltraViolet Combo Pack) ,300: Rise of an Empire,Noam Murro,Noam Murro,2014,2014
1636,815,,Lord of War (Widescreen) ,Lord of War,Andrew Niccol,Andrew Niccol,2006,2005
4789,5352,,Tentacle 8    ,Tentacle 8,John Chi,John Chi,2014,2014
2699,5285,,Testing Life   ,Testing Life,Carolin Von Petzholdt,Carolin Von Petzholdt,2011,2011
4309,4428,,Gayby    ,Gayby,Jonathan Lisecki,Jonathan Lisecki,2012,2012
2285,1137,,Band of Angels ,Band of Angels,Raoul Walsh,Raoul Walsh,2007,1957
916,1802,,Taken (Single-Disc Extended Edition) ,Taken,Pierre Morel,Pierre Morel,2009,2009
2526,712,,Unleashed (Unrated Widescreen Edition) ,Unleashed,Louis Leterrier,Louis Leterrier,2005,2005
2291,2439,,Merantau [Blu-ray] ,Merantau,Gareth Evans,Gareth Evans,2010,2009
4911,1179,,Casino Royale [Blu-ray] ,Casino Royale,Martin Campbell,Martin Campbell,2007,2006
1708,1654,,Wanted [Blu-ray] ,Wanted,Timur Bekmambetov,Timur Bekmambetov,2008,2008
1740,771,,Fantastic Four [Blu-ray] ,Fantastic Four,Tim Story,Tim Story,2006,2005
283,247,,Van Helsing    ,Van Helsing,Stephen Sommers,Stephen Sommers,2004,2004
4066,3890,,The Descendants    ,The Descendants,Alexander Payne,Alexander Payne,2011,2011
4361,6145,,Cake    ,Cake,Daniel Barnz,Daniel Barnz,2014,2015
2298,2341,,Born to Raise Hell ,Born to Raise Hell,Lauro Chartrand,Lauro Chartrand,2011,2010
809,1955,,Transformers: Revenge of the Fallen (Single-Disc Edition) ,Transformers: Revenge of the Fallen,Michael Bay,Michael Bay,2009,2009
5015,3729,,Rise of the Planet of the Apes,Rise of the Planet of the Apes,Rupert Wyatt,Rupert Wyatt,2011,2011
3110,3446,,71,'71,Yann Demange,Yann Demange,2015,2015
2335,3112,,Chinese Zodiac (Blu-ray + DIGITAL HD with UltraViolet) ,Chinese Zodiac,Jackie Chan,Jackie Chan,2014,2013
538,2614,,Sherlock Holmes: A Game of Shadows (Blu-ray) ,Sherlock Holmes: A Game of Shadows,Guy Ritchie,Guy Ritchie,2012,2011
1573,2500,,Killer Elite ,Killer Elite,Gary McKendry,Gary McKendry,2012,2011
4183,5242,,Rush [Blu-ray] ,Rush,Ron Howard,Ron Howard,2014,2013
3332,2066,,2012,2012,Roland Emmerich,Roland Emmerich,2009,2009
25,1669,,The Dark Knight Rises [Blu-ray] ,The Dark Knight,Christopher Nolan,Christopher Nolan,2012,2008
953,1182,,Blood Diamond (Widescreen Edition) ,Blood Diamond,Edward Zwick,Edward Zwick,2008,2006
3252,4166,,Bathory: Countess of Blood    ,Bathory,Juraj Jakubisko,Juraj Jakubisko,2008,2008
809,1352,,Transformers: Revenge of the Fallen (Single-Disc Edition) ,Transformers,Michael Bay,Michael Bay,2009,2007
982,1493,,Bonnie and Clyde    ,Bonnie and Clyde,Arthur Penn,Arthur Penn,1967,1967
3891,4404,,Lawless ,Lawless,John Hillcoat,John Hillcoat,2012,2012
1454,2366,,The Mechanic ,The Mechanic,Simon West,Simon West,2011,2011
175,4205,,The Hunger Games    ,The Hunger Games,Gary Ross,Gary Ross,2012,2012
2864,5877,,If I Stay    ,If I Stay,R.J. Cutler,R.J. Cutler,2014,2014
895,2201,,Prince of Persia: The Sands of Time ,Prince of Persia: The Sands of Time,Mike Newell,Mike Newell,2010,2010
1461,1965,,G.I. Joe: The Rise of Cobra [Blu-ray] ,G.I. Joe: The Rise of Cobra,Stephen Sommers,Stephen Sommers,2010,2009
1672,74,,The Enemy Below    ,The Enemy Below,Dick Powell,Dick Powell,1957,1957
4718,2503,,Contagion (2011) ,Contagion,Steven Soderbergh,Steven Soderbergh,2012,2011
4925,6272,,Wild Horses ,Wild Horses,Robert Duvall,Robert Duvall,2015,2015
1419,111,0,"4 Film Favorites: Denzel Washington (Fallen, John Q, The Pelican Brief, Training Day) ",Training Day,Antoine Fuqua,Antoine Fuqua,2011,2001
3075,6296,,True Story    ,True Story,Rupert Goold,Rupert Goold,2015,2015
4930,3736,,Colombiana (Blu-ray + UltraViolet Digital Copy) ,Colombiana,Olivier Megaton,Olivier Megaton,2011,2011
4431,5208,,Lee Daniels' The Butler ,Lee Daniels' The Butler,Lee Daniels,Lee Daniels,2014,2013
423,3421,,Blackhat    ,Blackhat,Michael Mann,Michael Mann,2015,2015
4089,1618,,Minesweeper    ,Minesweeper,William Berke,William Berke,1943,1943
4660,5433,,Philomena    ,Philomena,Stephen Frears,Stephen Frears,2013,2013
99,3215,,The Amazing Spider-Man 2    ,The Amazing Spider-Man 2,Marc Webb,Marc Webb,2014,2014
267,1094,,Pirates of the Caribbean: Dead Man's Chest [Blu-ray] ,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Gore Verbinski,2011,2006
503,2735,,The Expendables 2    ,The Expendables 2,Simon West,Simon West,2012,2012
124,3094,,The Hunger Games: Catching Fire (DVD + UltraViolet Digital Copy) ,The Hunger Games: Catching Fire,Francis Lawrence,Francis Lawrence,2014,2013
3412,2084,,Sherlock Holmes: A Game Of Shadows    ,Sherlock Holmes,Guy Ritchie,Guy Ritchie,2011,2009
3612,5163,,Havana 57 - (2013)    ,Havana 57,Jim Purdy,Jim Purdy,2013,2013
388,3576,,The Ledge [Blu-ray] ,The Ledge,Matthew Chapman,Matthew Chapman,2011,2011
1484,1406,,Shoot 'Em Up    ,Shoot 'Em Up,Michael Davis,Michael Davis,2007,2007
1788,937,,Running Scared    ,Running Scared,Wayne Kramer,Wayne Kramer,2006,2006
2382,2609,,Superman vs. The Elite    ,Superman vs. The Elite,Michael Chang,Michael Chang,2012,2012
155,1646,0,24,24: Redemption,Jon Cassar,Jon Cassar,2003,2008
228,3474,,Furious 7 (Extended Edition)    ,Furious 7,James Wan,James Wan,2015,2015
976,936,,The Wings of Eagles ,The Wings of Eagles,John Ford,John Ford,2007,1957
966,5507,,Pompeii    ,Pompeii,Paul W.S. Anderson,Paul W.S. Anderson,2014,2014
4658,2560,,War Horse    ,War Horse,Steven Spielberg,Steven Spielberg,2011,2011
4303,5370,,Cold Blooded (English Subtitled)   ,Cold Blooded,Jason Lapeyre,Jason Lapeyre,2008,2012
1143,216,,Orca ,Orca - The Killer Whale,Michael Anderson,Michael Anderson,2004,1977
46,3452,,The Divergent Series: Insurgent (Plus Bonus Features)    ,Insurgent,Robert Schwentke,Robert Schwentke,2015,2015
580,1965,,G.I. Joe: The Rise of Cobra    ,G.I. Joe: The Rise of Cobra,Stephen Sommers,Stephen Sommers,2009,2009
3092,6279,,The Water Diviner    ,The Water Diviner,Russell Crowe,Russell Crowe,2015,2015
4389,4109,,God Bless America    ,God Bless America,Bobcat Goldthwait,Bobcat Goldthwait,2012,2012
322,3036,,The Lone Ranger ,The Lone Ranger,Gore Verbinski,Gore Verbinski,2013,2013
1115,2625,,The Night of the Grizzly ,The Night of the Grizzly,Joseph Pevney,Joseph Pevney,2012,1966
3576,279,,The Bourne Supremacy    ,The Bourne Supremacy,Paul Greengrass,Paul Greengrass,2004,2004
507,2487,,Cowboys & Aliens (Extended Version)    ,Cowboys & Aliens,Jon Favreau,Jon Favreau,2011,2011
3404,987,,V for Vendetta    ,V for Vendetta,James McTeigue,James McTeigue,2006,2006
72,6288,,The Salvation    ,The Salvation,Kristian Levring,Kristian Levring,2015,2015
478,29,,Master and Commander: The Far Side of the World [Blu-ray] ,Master and Commander: The Far Side of the World,Peter Weir,Peter Weir,2008,2003
3658,6079,,Listen Up Philip    ,Listen Up Philip,Alex Ross Perry,Alex Ross Perry,2014,2014
2437,1161,,The Big Cat    ,The Big Cat,Phil Karlson,Phil Karlson,1949,1950
457,5564,,The Grand Budapest Hotel [Blu-ray] ,The Grand Budapest Hotel,Wes Anderson,Wes Anderson,2014,2014
480,3177,,DCU: Son of Batman    ,Son of Batman,Ethan Spaulding,Ethan Spaulding,2014,2014
128,6003,,Fury [Blu-ray] ,Fury,David Ayer,David Ayer,2015,2014
46,6295,,The Divergent Series: Insurgent (Plus Bonus Features)    ,Insurgent,Robert Schwentke,Robert Schwentke,2015,2015
235,2709,,Marvel's The Avengers: Age Of Ultron (Theatrical)    ,Marvel's The Avengers,Joss Whedon,Joss Whedon,2015,2012
253,2603,,John Carter ,John Carter,Andrew Stanton,Andrew Stanton,2012,2012
2319,5458,,Bad Country [Blu-ray] ,Bad Country,Chris Brinker,Chris Brinker,2014,2014
4567,5920,,Sagwan (English Subtitled)   ,Sagwan,Monti Parungao,Monti Parungao,2009,2009
971,2881,,Father Goose    ,Father Goose,Ralph Nelson,Ralph Nelson,1964,1964
659,2015,,9,9,Shane Acker,Shane Acker,2009,2009
4350,3903,,The Girl with the Dragon Tattoo ,The Girl with the Dragon Tattoo,David Fincher,David Fincher,2012,2011
2662,4350,,Magic Mike    ,Magic Mike,Steven Soderbergh,Steven Soderbergh,2012,2012
333,1614,,Indiana Jones and the Kingdom of the Crystal Skull    ,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,Steven Spielberg,2008,2008
148,3355,,Fury    ,Fury,David Ayer,David Ayer,2014,2014
3675,1885,,Watchmen (Director's Cut + BD-Live) [Blu-ray] ,Watchmen,Zack Snyder,Zack Snyder,2009,2009
4992,5029,,Complicity    ,Complicity,C.B. Harding,C.B. Harding,2013,2002
167,3085,,Thor: The Dark World [Blu-ray] ,Thor: The Dark World,Alan Taylor,Alan Taylor,2014,2013
1731,1595,,The Forbidden Kingdom [Blu-ray] ,The Forbidden Kingdom,Rob Minkoff,Rob Minkoff,2008,2008
304,2516,,Drive,Drive,Nicolas Winding Refn,Nicolas Winding Refn,2011,2011
3061,5477,,Still Mine    ,Still Mine,Michael McGowan,Michael McGowan,2013,2013
21,5389,,47 Ronin    ,47 Ronin,Carl Rinsch,Carl Rinsch,2013,2013
521,3180,,300: Rise of an Empire,300: Rise of an Empire,Noam Murro,Noam Murro,2014,2014
1166,2549,,The Three Musketeers (Blu-Ray/Blu-ray 3D Combo) ,The Three Musketeers,Paul W.S. Anderson,Paul W.S. Anderson,2012,2011
312,2606,,Safe House    ,Safe House,Daniel Espinosa,Daniel Espinosa,2012,2012
2716,3073,,All Is Lost    ,All Is Lost,J.C. Chandor,J.C. Chandor,2013,2013
2556,2494,,Blackthorn ,Blackthorn,Mateo Gil,Mateo Gil,2011,2011
883,2449,,Attack the Block    ,Attack the Block,Joe Cornish,Joe Cornish,2011,2011
4070,992,,Inside Man    ,Inside Man,Spike Lee,Spike Lee,2006,2006
2521,1515,,Villa Rides ,Villa Rides,Buzz Kulik,Buzz Kulik,2008,1968
2761,5457,,Gimme Shelter    ,Gimme Shelter,Ron Krauss,Ron Krauss,2014,2014
4075,2759,,Total Recall    ,Total Recall,Len Wiseman,Len Wiseman,2012,2012
99,2732,,The Amazing Spider-Man 2    ,The Amazing Spider-Man,Marc Webb,Marc Webb,2014,2012
2594,3146,,Special ID [Blu-ray] ,Special ID,Clarence Fok Yiu-leung,Clarence Fok Yiu-leung,2014,2014
3233,6123,,The Babadook    ,The Babadook,Jennifer Kent,Jennifer Kent,2014,2014
221,3452,,The Divergent Series: Insurgent    ,Insurgent,Robert Schwentke,Robert Schwentke,2015,2015
1650,1947,,Land of the Lost ,Land of the Lost,Brad Silberling,Brad Silberling,2009,2009
2930,5259,,About Time    ,About Time,Richard Curtis,Richard Curtis,2013,2013
3416,2142,,The Book of Eli    ,The Book of Eli,Albert Hughes,Albert Hughes,2010,2010
1519,2171,,Batman: Under the Red Hood (Single-Disc Edition) ,Batman: Under the Red Hood,Brandon Vietti,Brandon Vietti,2010,2010
2185,646,,Layer Cake [Blu-ray] ,Layer Cake,Matthew Vaughn,Matthew Vaughn,2007,2005
1961,2076,,Ninja Assassin ,Ninja Assassin,James McTeigue,James McTeigue,2010,2009
1613,21,,Kill Bill: Volume 1 ,Kill Bill: Volume 1,Quentin Tarantino,Quentin Tarantino,2011,2003
2828,5642,,I'll Follow You Down    ,I'll Follow You Down,Richie Mehta,Richie Mehta,2014,2014
2128,3245,,"Run Silent, Run Deep ","Run Silent, Run Deep",Robert Wise,Robert Wise,1999,1958
313,3063,,Rush (Blu-ray + DVD + Digital HD UltraViolet) ,Rush,Ron Howard,Ron Howard,2014,2013
74,2602,,Journey 2: The Mysterious Island    ,Journey 2: The Mysterious Island,Brad Peyton,Brad Peyton,2012,2012
3948,6173,,The Last 5 Years ,The Last 5 Years,Richard LaGravenese,Richard LaGravenese,2015,2015
1871,2473,,Conan the Barbarian ,Conan the Barbarian,Marcus Nispel,Marcus Nispel,2011,2011
1301,1684,,Appaloosa    ,Appaloosa,Ed Harris,Ed Harris,2008,2008
252,1130,,The Guardian    ,The Guardian,Andrew Davis,Andrew Davis,2006,2006
1606,3740,,The Tempest    ,The Tempest,Julie Taymor,Julie Taymor,2010,2010
152,2257,,Inception    ,Inception,Christopher Nolan,Christopher Nolan,2010,2010
4654,2606,,Safe House    ,Safe House,Daniel Espinosa,Daniel Espinosa,2012,2012
101,2445,,Thor [DVD] ,Thor,Kenneth Branagh,Kenneth Branagh,2013,2011
2686,3498,,The Conspirator    ,The Conspirator,Robert Redford,Robert Redford,2011,2011
2901,4835,,Spring Breakers,Spring Breakers,Harmony Korine,Harmony Korine,2013,2013
3384,6334,,Boulevard    ,Boulevard,Dito Montiel,Dito Montiel,2015,2015
4842,5743,,The Fault In Our Stars (Extended Preview)    ,The Fault In Our Stars,Josh Boone,Josh Boone,2014,2014
2759,5672,,Frankie & Alice    ,Frankie & Alice,Geoffrey Sax,Geoffrey Sax,2014,2014
852,2754,,Miami Connection (+ Digital Copy) [Blu-ray] ,Miami Connection,Y.K. Kim,Y.K. Kim,2012,2012
2963,3474,,Furious 7    ,Furious 7,James Wan,James Wan,2015,2015
646,2015,,9,9,Shane Acker,Shane Acker,2009,2009
1585,156,,Starsky & Hutch    ,Starsky & Hutch,Todd Phillips,Todd Phillips,2004,2004
1371,4,,Bandolero! ,Bandolero,Andrew V. McLaglen,Andrew V. McLaglen,2004,1968
5101,6294,,Child 44 [DVD + Digital] ,Child 44,Daniel Espinosa,Daniel Espinosa,2015,2015
968,4205,,The Hunger Games Featurettes:    ,The Hunger Games,Gary Ross,Gary Ross,2012,2012
5032,1244,,Broken Arrow ,Broken Arrow,Delmer Daves,Delmer Daves,2007,1950
3326,1669,,The Dark Knight Trilogy (Batman Begins / The Dark Knight / The Dark Knight Rises) [Blu-ray] ,The Dark Knight,Christopher Nolan,Christopher Nolan,2012,2008
5227,1359,,Hardrock    ,Hardrock,Jon Stu,Jon Stu,2007,2006
4564,2066,,2012,2012,Roland Emmerich,Roland Emmerich,2010,2009
4512,3585,,Fast Five ,Fast Five,Justin Lin,Justin Lin,2011,2011
233,1986,,Star Trek Into Darkness    ,Star Trek,J.J. Abrams,J.J. Abrams,2013,2009
2322,1256,,"Duck, You Sucker (aka A Fistful of Dynamite) (Two-Disc Collector's Edition) ",A Fistful of Dynamite,Sergio Leone,Sergio Leone,2007,1972
3053,4205,,The Hunger Games (2-Disc DVD + Digital Copy) ,The Hunger Games,Gary Ross,Gary Ross,2012,2012
1124,2156,,The Bounty Hunter ,The Bounty Hunter,Andy Tennant,Andy Tennant,2010,2010
3397,3153,,The Monuments Men    ,The Monuments Men,George Clooney,George Clooney,2014,2014
1354,1002,,Poseidon (2006)    ,Poseidon,Wolfgang Petersen,Wolfgang Petersen,2006,2006
148,6003,,Fury    ,Fury,David Ayer,David Ayer,2014,2014
1444,1150,,Beowulf ,Beowulf,Robert Zemeckis,Robert Zemeckis,2008,2007
87,4250,,Titanic    ,Titanic,James Cameron,James Cameron,2012,1997
3678,4671,,Django Unchained    ,Django Unchained,Quentin Tarantino,Quentin Tarantino,2012,2012
2883,4931,,The Great Gatsby (2013)    ,The Great Gatsby,Baz Luhrmann,Baz Luhrmann,2013,2013
3118,5472,,Sugar    ,Sugar,Rotimi Rainwater,Rotimi Rainwater,2013,2013
3060,3722,,The Help    ,The Help,Tate Taylor,Tate Taylor,2011,2011
4523,2172,,Clash of the Titans (2010)    ,Clash of the Titans,Louis Leterrier,Louis Leterrier,2010,2010
4462,5130,,Jobs ,Jobs,Joshua Michael Stern,Joshua Michael Stern,2013,2013
1010,3096,,Homefront ,Homefront,Gary Fleder,Gary Fleder,2014,2013
401,1619,,The Incredible Hulk (Widescreen Edition) ,The Incredible Hulk,Louis Leterrier,Louis Leterrier,2008,2008
3417,5229,,Captain Phillips (DVD + UltraViolet Digital Copy) ,Captain Phillips,Paul Greengrass,Paul Greengrass,2014,2013
281,3007,,White House Down (+UltraViolet Digital Copy) ,White House Down,Roland Emmerich,Roland Emmerich,2013,2013
4312,3799,,50/50    ,50/50,Jonathan Levine,Jonathan Levine,2011,2011
878,1524,,The Bucket List ,The Bucket List,Rob Reiner,Rob Reiner,2008,2007
3573,3599,,The Tree of Life (Three-Disc Blu-ray/DVD Combo + Digital Copy) ,The Tree of Life,Terrence Malick,Terrence Malick,2011,2011
1956,4453,,Premium Rush (+ UltraViolet Digital Copy) [Blu-ray] ,Premium Rush,David Koepp,David Koepp,2012,2012
828,2449,,Attack the Block [Blu-ray] ,Attack the Block,Joe Cornish,Joe Cornish,2011,2011
234,1352,0,Transformers: Age of Extinction    ,Transformers,Michael Bay,Michael Bay,2014,2007
32,208,,Apollo 13 - Collector's Edition ,Apollo 13,Ron Howard,Ron Howard,2006,1995
2290,1625,,Hell Ride ,Hell Ride,Larry Bishop,Larry Bishop,2008,2008
119,3012,,Man of Steel (2013)    ,Man of Steel,Zack Snyder,Zack Snyder,2013,2013
2855,6389,,Southpaw    ,Southpaw,Antoine Fuqua,Antoine Fuqua,2015,2015
2641,6251,,Maggie    ,Maggie,Henry Hobson,Henry Hobson,2015,2015
861,585,,Dirty Mary Crazy Larry / Race With The Devil (Double Feature) ,Dirty Mary Crazy Larry,John Hough,John Hough,2011,1974
2291,3537,,Merantau [Blu-ray] ,Merantau,Gareth Evans,Gareth Evans,2010,2009
4521,5541,,Perfect Sisters    ,Perfect Sisters,Stanley M. Brooks,Stanley M. Brooks,2014,2014
426,2676,,Battleship    ,Battleship,Peter Berg,Peter Berg,2012,2012
2954,2831,,The Hobbit: An Unexpected Journey    ,The Hobbit: An Unexpected Journey,Peter Jackson,Peter Jackson,2012,2012
713,2912,,Spring Breakers (DVD + UltraViolet Digital Copy) ,Spring Breakers,Harmony Korine,Harmony Korine,2013,2013
86,2992,,Pacific Rim    ,Pacific Rim,Guillermo del Toro,Guillermo del Toro,2013,2013
19,1117,,Idiocracy ,Idiocracy,Mike Judge,Mike Judge,2007,2006
2839,2948,,Pain & Gain    ,Pain & Gain,Michael Bay,Michael Bay,2013,2013
1773,1170,,The Three Musketeers ,The Three Musketeers,George Sidney,George Sidney,2007,1948
621,3903,,The Girl with the Dragon Tattoo ,The Girl with the Dragon Tattoo,David Fincher,David Fincher,2012,2011
3837,6288,,The Salvation    ,The Salvation,Kristian Levring,Kristian Levring,2015,2015
915,324,,Friday Night Lights (Widescreen Edition) ,Friday Night Lights,Peter Berg,Peter Berg,2005,2004
1221,1139,,Teen Titans: Trouble in Tokyo    ,Teen Titans: Trouble in Tokyo,Michael Chang,Michael Chang,2007,2007
4447,6288,,The Salvation [Blu-ray] ,The Salvation,Kristian Levring,Kristian Levring,2015,2015
