Title_A,Time_A,Director_A,Year_A,Cast_A,Title_B,Time_B,Director_B,Year_B,Cast_B,Gold
Vampire Academy , 104 minutes ,Mark Waters,2014,Zoey Deutch,Vampire Academy,1 hr. 45 min.,Mark Waters,2014,"Zoey Deutch, Lucy Fry, Danila Kozlovsky, Daniil Kozlovskiy, Gabriel Byrne, Sarah Hyland",1
Shoot 'Em Up [Blu-ray] , 86 minutes ,Michael Davis,2008,Clive Owen,Shoot 'Em Up,1 hr. 27 min.,Michael Davis,2007,"Clive Owen, Paul Giamatti, Monica Bellucci, Stephen McHattie, Greg Bryk, Daniel Pilon",1
Rush [Blu-ray] , 246 minutes ,Ron Howard,2014,Daniel Brühl,Rush,2 hr. 3 min.,Ron Howard,2013,"Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, Stephen Mangan, Christian McKay",1
Star Trek Into Darkness (Blu-ray + DVD + Digital HD) , 132 minutes ,J.J. Abrams,2013,Chris Pine,Star Trek,2 hr. 7 min.,J.J. Abrams,2009,"Chris Pine, Zachary Quinto, Leonard Nimoy, Karl Urban, Ben Cross, Eric Bana",1
Miami Vice / Inside Man Double Feature [Blu-ray] , 269 minutes ,Spike Lee,2013,Barry Shabaka Henley,Inside Man,2 hr. 9 min.,Spike Lee,2006,"Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer, Willem Dafoe, Wakis Ahluwalia",1
Lord of War    ,"2 hours, 2 minutes",Andrew Niccol,2005,"Nicolas Cage, Bridget Moynahan",Lord of War,2 hr. 2 min.,Andrew Niccol,2005,"Nicolas Cage, Jared Leto, Ethan Hawke, Bridget Moynahan, Shake Toukhmanian, Jean-Pierre Nshanian",1
Martin Scorsese Triple Feature (Goodfellas / The Aviator / The Departed) [Blu-ray] , 466 minutes ,Martin Scorsese,2012,Ray Liotta,The Departed,2 hr. 32 min.,Martin Scorsese,2006,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone",1
Fury [Blu-ray] , 134 minutes ,David Ayer,2015,Brad Pitt,Fury,2 hr. 15 min.,David Ayer,2014,"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael PeÌ±a, Jon Bernthal, Jason Isaacs",1
Warrior    ,"2 hours, 20 minutes",Gavin O'Connor,2011,"Joel Edgerton, Tom Hardy",Warrior,2 hr. 19 min.,Gavin O'Connor,2011,"Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison (I..., Frank Grillo, Kevin Dunn",1
Captain Phillips    ,"2 hours, 15 minutes",Paul Greengrass,2013,"Tom Hanks, Catherine Keener",Captain Phillips,2 hr. 14 min.,Paul Greengrass,2013,"Tom Hanks, Catherine Keener, Barkhad Abdi, Michael Chernus, Corey Johnson, Chris Mulkey",1
The Dark Knight Rises [Blu-ray] , 165 minutes ,Christopher Nolan,2012,Christian Bale,The Dark Knight Rises,2 hr. 45 min.,Christopher Nolan,2012,"Christian Bale, Anne Hathaway, Tom Hardy, Marion Cotillard, Joseph Gordon-Levitt, Michael Caine",1
Endless Love , 105 minutes ,Shana Feste,2014,Gabrilla Wilde,Endless Love,1 hr. 45 min.,Shana Feste,2014,"Alex Pettyfer, Gabriella Wilde, Bruce Greenwood, Robert Patrick, Rhys Wakefield, Dayo Okeniyi",1
You're Next'    ,"1 hour, 35 minutes",Adam Wingard,2013,"Sharni Vinson, Nicholas Tucci",You're Next,1 hr. 34 min.,Adam Wingard,2013,"Sharni Vinson, Nicholas Tucci, Wendy Glenn, AJ Bowen, Joe Swanberg, Margaret Laney",1
Fire With Fire , 97 minutes ,David Barrett,2012,Bruce Willis,Fire With Fire,1 hr. 37 min.,David Barrett,2012,"Josh Duhamel, Bruce Willis, Rosario Dawson, Vincent D'Onofrio, 50 Cent, Richard Schiff",1
Ice Station Zebra , 148 minutes ,John Sturges,2005,Rock Hudson,Ice Station Zebra,2 hr. 28 min.,John Sturges,1968,"Rock Hudson, Ernest Borgnine, Patrick McGoohan, Jim Brown, Tony Bill, Alf Kjellin",1
Unleashed (Unrated Widescreen Edition) , 103 minutes ,Louis Leterrier,2005,Jet Li,Unleashed,1 hr. 42 min.,Louis Leterrier,2005,"Jet Li, Morgan Freeman, Bob Hoskins, Kerry Condon, Vincent Regan, Silvio Simac",1
Premium Rush (+ UltraViolet Digital Copy) [Blu-ray] , 91 minutes ,David Koepp,2012,Joseph Gordon-Levitt,Premium Rush,1 hr. 30 min.,David Koepp,2012,"Joseph Gordon-Levitt, Michael Shannon, Dania Ramirez, Jamie Chung, Lauren Ashley Carter, Aasif Mandvi",1
The Book of Eli , 118 minutes ,Albert Hughes,2010,Denzel Washington,The Book of Eli,1 hr. 58 min.,Albert Hughes,2010,"Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson, Jennifer Beals, Evan Jones",1
The Last 5 Years , 94 minutes ,Richard LaGravenese,2015,,The Last 5 Years,1 hr. 34 min.,Richard LaGravenese,2015,"Anna Kendrick, Jeremy Jordan, Meg Hudson, Natalie Knepp, Nic Novicki",1
G.I. Joe: The Rise of Cobra [Blu-ray] , 118 minutes ,Stephen Sommers,2010,Dennis Quaid,G.I. Joe: The Rise of Cobra,1 hr. 58 min.,Stephen Sommers,2009,"Adewale Akinnuoye-Ag..., Christopher Ecclesto..., Joseph Gordon-Levitt, Dennis Quaid, Channing Tatum, Marlon Wayans",1
Blackhat    ,"2 hours, 4 minutes",Michael Mann,2015,"Chris Hemsworth, Leehom Wang",Blackhat,2 hr. 13 min.,Michael Mann,2015,"Chris Hemsworth, Viola Davis, Tang Wei, Leehom Wang, Holt McCallany, Ritchie Coster",1
Lifted    ,"1 hour, 49 minutes",Lexi Alexander,2010,"Nicki Aycox, Uriah Shelton",Lifted,1 hr. 34 min.,Lexi Alexander,2011,"Dash Mihok, Nicki Lynn Aycox, Uriah Shelton, Ruben Studdard, Trace Adkins, James Handy",1
Fast & Furious (2009) , 107 minutes ,Justin Lin,2011,Vin Diesel,Fast & Furious,1 hr. 47 min.,Justin Lin,2009,"Vin Diesel, Paul Walker, Michelle Rodriguez, John Ortiz, Jordana Brewster, Laz Alonso",1
Terminator Salvation (Two-Disc Director's Cut) [Blu-ray] , 117 minutes ,McG,2009,Christian Bale,Terminator Salvation,1 hr. 55 min.,McG,2009,"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood, Helena Bonham Carter, Moon Goodblood",1
Never So Few    ,"2 hours, 5 minutes",John Sturges,1959,"Frank Sinatra, Gina Lollobrigida",Never So Few,2 hr. 4 min.,John Sturges,1960,"Frank Sinatra, Gina Lollobrigida, Peter Lawford, Steve McQueen, Richard Johnson, Paul Henreid",1
The First Time    ,"1 hour, 36 minutes",Jon Kasdan,2012,"Britt Robertson, Dylan O'Brien",The First Time,1 hr. 35 min.,Jon Kasdan,2012,"Brittany Robertson, Dylan O'Brien, Victoria Justice, Craig Robertson, James Frecheville, Christine Taylor",1
Fury [Blu-ray] , 134 minutes ,David Ayer,2015,Brad Pitt,Fury,2 hr. 15 min.,David Ayer,2014,"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael PeÌ±a, Jon Bernthal, Jason Isaacs",1
The Mechanic , 93 minutes ,Simon West,2011,Jason Statham,The Mechanic,1 hr. 32 min.,Simon West,2011,"Jason Statham, Ben Foster, Donald Sutherland, Tony Goldwyn, Mini Anden, Jeff Chase",1
Live Free or Die Hard    ,"2 hours, 9 minutes",Len Wiseman,2007,"Bruce Willis, Timothy Olyphant",Live Free or Die Hard,2 hr. 8 min.,Len Wiseman,2007,"Bruce Willis, Timothy Olyphant, Justin Long, Maggie Q, Cliff Curtis, eljko Ivanek",1
The Monuments Men , 118 minutes ,George Clooney,2014,George Clooney,The Monuments Men,1 hr. 58 min.,George Clooney,2014,"George Clooney, Matt Damon, Bill Murray, John Goodman, Jean Dujardin, Bob Balaban",1
Gangster Squad , 113 minutes ,Ruben Fleischer,2013,Ryan Gosling,Gangster Squad,1 hr. 50 min.,Ruben Fleischer,2013,"Ryan Gosling, Josh Brolin, Nick Nolte, Sean Penn, Emma Stone, Anthony Mackie",1
Paper Towns    ,"1 hour, 50 minutes",Jake Schreier,2015,"Nat Wolff,Cara Delevingne",Paper Towns,1 hr. 49 min.,Jake Schreier,2015,"Nat Wolff, Cara Delevingne, Halston Sage, Austin Abrams, Justice Jesse Smith, Justice Smith",1
The Fault In Our Stars (Extended Preview)    ,10 minutes,Josh Boone,2014,"Shailene Woodley, Ansel Elgort",The Fault In Our Stars,2 hr. 5 min.,Josh Boone,2014,"Shailene Woodley, Ansel Elgort, Lotte Verbeek, Laura Dern, Willem Dafoe, Nat Wolff",1
Captain Phillips    ,"2 hours, 15 minutes",Paul Greengrass,2013,"Tom Hanks, Catherine Keener",Captain Phillips,2 hr. 14 min.,Paul Greengrass,2013,"Tom Hanks, Catherine Keener, Barkhad Abdi, Michael Chernus, Corey Johnson, Chris Mulkey",1
Quantum of Solace , 106 minutes ,Marc Forster,2009,Daniel Craig,Quantum of Solace,1 hr. 45 min.,Marc Forster,2008,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench, Jeffrey Wright, Giancarlo Giannini",1
The Imaginarium of Doctor Parnassus , 123 minutes ,Terry Gilliam,2010,Heath Ledger,The Imaginarium of Doctor Parnassus,2 hr. 3 min.,Terry Gilliam,2009,"Christopher Plummer, Heath Ledger, Johnny Depp, Jude Law, Colin Farrell, Tom Waits",1
Fast Five , 263 minutes ,Justin Lin,2011,Dwayne Johnson,Fast Five,2 hr. 11 min.,Justin Lin,2011,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson, Chris ""Ludacris"" Bri..., Ludacris",1
Captain Calamity    ,"1 hour, 15 minutes",John Reinhardt,1936,"Marian Nixon, George Houston",Captain Calamity,1 hr. 5 min.,John Reinhardt,1936,"George Houston, Marian Nixon, Vince Barnett, Movita, Juan Torena, Crane Wilbur",1
The Last Legion [Blu-ray] , 102 minutes ,Doug Lefler,2011,Colin Firth,The Last Legion,1 hr. 41 min.,Doug Lefler,2007,"Colin Firth, Ben Kingsley, Aishwarya Rai Bachch..., Peter Mullan, Kevin Mckidd, John Hannah",1
Ninja Assassin , 99 minutes ,James McTeigue,2010,Rain,Ninja Assassin,1 hr. 39 min.,James McTeigue,2009,"Rain, Naomie Harris, Ben Miles, Rick Yune, ShÌ« Kosugi, Guido Foehrweisser",1
Time Barbarians    ,"1 hour, 37 minutes",Joseph John Barmettler,1990,"Deron McBee, Joann Ayers",Time Barbarians,1 hr. 30 min.,Joseph John Barmettler,1990,"Deron Michael McBee, Jo Ann Ayres, Daniel Martine, Michael Ferrare, Deron McBee, Gary Moran",1
300: Rise of an Empire (Blu-ray+DVD+UltraViolet Combo Pack) , 102 minutes ,Noam Murro,2014,Eva Green,300: Rise of an Empire,1 hr. 43 min.,Noam Murro,2014,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Rodrigo Santoro, David Wenham",1
Nebraska    ,"1 hour, 55 minutes",Alexander Payne,2013,"Bruce Dern, Will Forte",Nebraska,1 hr. 55 min.,Alexander Payne,2013,"Bruce Dern, Will Forte, June Squibb, Bob Odenkirk, Stacy Keach, Devin Ratray",1
The Snow Walker , 90 minutes ,Charles Martin Smith,2005,Barry Pepper,The Snow Walker,1 hr. 49 min.,Charles Martin Smith,2003,"Barry Pepper, Annabella Piugattuk, James Cromwell, Kiersten Warren, Jon Gries",1
Butterfly Crush    ,"1 hour, 30 minutes",Alan Clay,2010,"Richard Adams, Jennifer Corren",Butterfly Crush,1 hr. 30 min.,Alan Clay,2010,"Amelia Shankley, Courtney Hale, Hayley Fielding, Richard Adams, Jennifer Corren, Sally Kelleher",1
The Departed [Blu-ray] , 152 minutes ,Martin Scorsese,2007,Leonardo DiCaprio,The Departed,2 hr. 32 min.,Martin Scorsese,2006,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone",1
Song One    ,"1 hour, 29 minutes",Kate Barker-Froyland,2015,"Anne Hathaway, Mary Steenburgen",Song One,1 hr. 26 min.,Kate Barker-Froyland,2015,"Anne Hathaway, Johnny Flynn, Ben Rosenfield, Mary Steenburgen, Al Thompson, Stefano Villabona",1
The Living    ,"1 hour, 32 minutes",Jack Bryan,2015,"Fran Kranz, Jocelin Donahue",The Living,1 hr. 29 min.,Jack Bryan,2015,"Fran Kranz, Jocelin Donahue, Kenny Wormald, Chris Mulkey, Joelle Carter",1
Frankie & Alice    ,"1 hour, 42 minutes",Geoffrey Sax,2014,"Halle Berry, Stellan Skarsgård",Frankie & Alice,1 hr. 41 min.,Geoffrey Sax,2014,"Halle Berry, Phylicia Rashad, Chandra Wilson, Alex Diakun, Joanne Baron, Brian Markinson",1
Superman II: The Richard Donner Cut [Blu-ray] , 127 minutes ,Richard Donner,2006,Gene Hackman,Superman II,1 hr. 56 min.,Richard Donner,2006,"Christopher Reeve, Gene Hackman, Margot Kidder, Marlon Brando, Ned Beatty, Jackie Cooper",1
After Earth    ,"1 hour, 41 minutes",M. Night Shyamalan,2013,"Jaden Smith, Will Smith",After Earth,1 hr. 40 min.,M. Night Shyamalan,2013,"Will Smith, Jaden Smith, ZoÌÇ Kravitz, Sophie Okonedo, Glenn Morshower, Lincoln Lewis",1
Luna Park    ,"1 hour, 8 minutes",Steven Vasquez,2013,"Laura Reilly, Michael Brent",Luna Park,1 hr. 12 min.,Steven Vasquez,2013,"Laura Reilly, Taylor Caldwell, Brent Michael Davids, Brandon Ryan Puleio, Alberto RodrÌ_guez, Michael Adrian",1
Fast & Furious 6 , 131 minutes ,Justin Lin,2013,Vin Diesel,Fast & Furious 6,2 hr. 10 min.,Justin Lin,2013,"Vin Diesel, Paul Walker, Dwayne ""The Rock"" Jo..., Jordana Brewster, Michelle Rodriguez, Tyrese Gibson",1
Million Dollar Arm , 124 minutes ,Craig Gillespie,2014,Jon Hamm,Million Dollar Arm,2 hr. 4 min.,Craig Gillespie,2014,"Jon Hamm, Aasif Mandvi, Madhur Mittal, Bill Paxton, Suraj Sharma, Lake Bell",1
Abduction , 106 minutes ,John Singleton,2012,Taylor Lautner,Abduction,1 hr. 45 min.,John Singleton,2011,"Taylor Lautner, Lily Collins, Alfred Molina, Antonique Smith, Jason Isaacs, Maria Bello",1
9, 80 minutes ,Shane Acker,2009,Christopher Plummer,9,1 hr. 20 min.,Shane Acker,2009,"Elijah Wood, Christopher Plummer, Martin Landau, John C. Reilly, Crispin Glover, Jennifer Connelly",1
Red Wing    ,"1 hour, 49 minutes",Will Wallace,2013,"Glen Powell, Joelle Carter",Red Wing,1 hr. 48 min.,Will Wallace,2013,"Bill Paxton, Frances Fisher, Glen Powell, Luke Perry, Joelle Carter, Breann Johnson",1
The Hunters , 108 minutes ,Dick Powell,2004,Robert Mitchum,The Hunters,1 hr. 48 min.,Dick Powell,1958,"Robert Mitchum, Robert Wagner, May Britt, Richard Egan, Lee Philips, John Gabriel",1
Dredd [3D Blu-ray/Blu-ray + Digital Copy + UltraViolet] , 96 minutes ,Pete Travis,2013,Lena Headey,Dredd,1 hr. 35 min.,Pete Travis,2012,"Karl Urban, Olivia Thirlby, Wood Harris, Lena Headey, Langley Kirkwood, Junior Singo",1
Before Midnight , 109 minutes ,Richard Linklater,2013,Ethan Hawke,Before Midnight,1 hr. 48 min.,Richard Linklater,2013,"Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpat..., Jennifer Prior, Charlotte Prior, Athina Rachel Tsanga...",1
White House Down (+UltraViolet Digital Copy) , 132 minutes ,Roland Emmerich,2013,Channing Tatum,White House Down,2 hr. 17 min.,Roland Emmerich,2013,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal, Jason Clarke, Richard Jenkins, Joey King",1
Million Dollar Arm , 124 minutes ,Craig Gillespie,2014,Jon Hamm,Million Dollar Arm,2 hr. 4 min.,Craig Gillespie,2014,"Jon Hamm, Aasif Mandvi, Madhur Mittal, Bill Paxton, Suraj Sharma, Lake Bell",1
Close Encounters of the Third Kind (30th Anniversary Ultimate Edition) , 404 minutes ,Steven Spielberg,2007,Melinda Dillon,Close Encounters of the Third Kind,2 hr. 17 min.,Steven Spielberg,1977,"Richard Dreyfuss, Melinda Dillon, Teri Garr, FranÌ¤ois Truffaut, Bob Balaban, J. Patrick McNamara",1
Homefront , 101 minutes ,Gary Fleder,2014,Jason Statham,Homefront,1 hr. 40 min.,Gary Fleder,2013,"Jason Statham, James Franco, Winona Ryder, Kate Bosworth, Frank Grillo, Izabela Vidovic",1
The Dark Knight Trilogy (Batman Begins / The Dark Knight / The Dark Knight Rises) [Blu-ray] , 456 minutes ,Christopher Nolan,2012,Christian Bale,The Dark Knight Rises,2 hr. 45 min.,Christopher Nolan,2012,"Christian Bale, Anne Hathaway, Tom Hardy, Marion Cotillard, Joseph Gordon-Levitt, Michael Caine",1
Lost Christmas    ,"1 hour, 37 minutes",John Hay,2014,"Eddie Izzard, Larry Mills",Lost Christmas,1 hr. 30 min.,John Hay,2011,"Eddie Izzard, Jason Flemyng, Larry L. Mills, Jason Flemming, Connie Hyde, Sorcha Cusack",1
Pompeii    ,"1 hour, 45 minutes",Paul W.S. Anderson,2014,"Kit Harington, Carrie-Anne Moss",Pompeii,1 hr. 45 min.,Paul W.S. Anderson,2014,"Emily Browning, Kit Harington, Carrie-Anne Moss, Adewale Akinnuoye-Ag..., Jessica Lucas, Jared Harris",1
Casino Royale [Blu-ray] , 144 minutes ,Martin Campbell,2007,Daniel Craig,Casino Royale,2 hr. 24 min.,Martin Campbell,2006,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench, Caterina Murino, Jeffrey Wright",1
Star Wars: The Clone Wars   ,23 minutes,Dave Filoni,2010,"Dee Bradley Baker, Larry Brandenburg",Star Wars: The Clone Wars,1 hr. 38 min.,Dave Filoni,2008,"Matt Lanter, Ashley Drane, James Arnold Taylor, Catherine Taber, Samuel L. Jackson, Tom Kane",1
Attack the Block    ,"1 hour, 29 minutes",Joe Cornish,2011,"Jodie Whittaker, John Boyega",Attack the Block,1 hr. 28 min.,Joe Cornish,2011,"John Boyega, Jodie Whittaker, Alex Esmail, Franz Drameh, Leeon Jones, Howard Simon",1
The Green Lantern: First Flight    ,"1 hour, 18 minutes",Lauren Montgomery,2009,"Christopher Meloni, Victor Garber",Green Lantern: First Flight,1 hr. 17 min.,Lauren Montgomery,2009,"Christopher Meloni, Kurtwood Smith, Victor Garber, Tricia Helfer, Michael Madsen, John Larroquette",1
Teen Titans: Trouble in Tokyo    ,"1 hour, 16 minutes",Michael Chang,2007,"Greg Cipes, Scott Menville",Teen Titans: Trouble in Tokyo,1 hr. 15 min.,Michael Chang,2007,"Greg Cipes, Scott Menville, Khary Payton, Tara Strong, Hynden Walch, Yuri Lowenthal",1
Bandolero! , 106 minutes ,Andrew V. McLaglen,2004,James Stewart,Bandolero,1 hr. 46 min.,Andrew V. McLaglen,1968,"James Stewart, Dean Martin, George Kennedy, Raquel Welch, Andrew Prine, Clint Ritchie",1
True Grit , 110 minutes ,Joel Coen,2011,Jeff Bridges,True Grit,1 hr. 50 min.,Joel Coen,2010,"Hailee Steinfeld, Jeff Bridges, Matt Damon, Josh Brolin, Barry Pepper, Bruce Green",1
Blade: Trinity (R-rated)    ,"1 hour, 53 minutes",David S. Goyer,2004,"Wesley Snipes, Kris Kristofferson",Blade: Trinity,1 hr. 53 min.,David S. Goyer,2004,"Wesley Snipes, Kris Kristofferson, Dominic Purcell, Jessica Biel, Ryan Reynolds, Parker Posey",1
Spring Breakers    ,"1 hour, 34 minutes",Harmony Korine,2013,"James Franco, Selena Gomez",Spring Breakers,1 hr. 33 min.,Harmony Korine,2013,"Selena Gomez, James Franco, Ashley Benson, Rachel Korine, Vanessa Hudgens, Cliff Martinez",1
Last Knights    ,"1 hour, 54 minutes",Kazuaki Kiriya,2015,"Clive Owen, Morgan Freeman",Last Knights,1 hr. 55 min.,Kazuaki Kiriya,2015,"Clive Owen, Brian Caspe, Morgan Freeman, Cliff Curtis, Tsuyoshi Ihara, Shohreh Aghdashloo",1
Old Fashioned    ,"1 hour, 55 minutes",Rik Swartzwelder,2014,"Elizabeth Roberts, Rik Swartzwelder",Old Fashioned,1 hr. 55 min.,Rik Swartzwelder,2015,"Elizabeth Ann Robert..., LeJon Woods, Nini Hadjis, Tyler Hollinger, Rik Swartzwelder, Ange'le Perez",1
Border Lost    ,"1 hour, 45 minutes",David Murphy,2008,"Alejandro Antonio, Aldo Ceceña",Border Lost,1 hr. 45 min.,David Murphy,2007,"Protasio, Chris Cleveland, Emilio Roso, Kelly Noonan, Marian Zapico",1
The Frozen Ground    ,"1 hour, 46 minutes",Scott Walker,2013,"Nicolas Cage, Vanessa Hudgens",The Frozen Ground,1 hr. 45 min.,Scott Walker,2013,"Nicolas Cage, John Cusack, Vanessa Hudgens, Dean Norris, 50 Cent, Radha Mitchell",1
Iron Man 3 (Blu-ray + DVD) , 130 minutes ,Shane Black,2013,Robert Downey Jr.,Iron Man 3,1 hr. 49 min.,Shane Black,2013,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce, James Badge Dale, Wang Xueqin",1
Conan the Barbarian , 113 minutes ,Marcus Nispel,2011,Jason Momoa,Conan the Barbarian,1 hr. 52 min.,Marcus Nispel,2011,"Jason Momoa, Rachel Nichols, Stephen Lang, Rose McGowan, Ron Perlman, Leo Howard",1
Zulu Dawn    ,"1 hour, 58 minutes",Douglas Hickox,1979,"Burt Lancaster, Simon Ward",Zulu Dawn,1 hr. 57 min.,Douglas Hickox,1979,"Burt Lancaster, Peter O'Toole, Simon Ward, John Mills, Nigel Davenport, Michael Jayston",1
Beyond Evil    ,"1 hour, 36 minutes",Herb Freed,1980,"John Saxon,Lynda Day George",Beyond Evil,1 hr. 38 min.,Herb Freed,1980,"John Saxon, Lynda Day George, Michael Dante, Janice Lynde, Mario Milano, David Opatoshu",1
Real Steel    ,"2 hours, 7 minutes",Shawn Levy,2011,"Hugh Jackman, Dakota Goyo",Real Steel,2 hr. 6 min.,Shawn Levy,2011,"Hugh Jackman, Dakota Goyo, Anthony Mackie, Evangeline Lilly, Kevin Durand, Hope Davis",1
The Tree of Life (Three-Disc Blu-ray/DVD Combo + Digital Copy) , 139 minutes ,Terrence Malick,2011,Brad Pitt,The Tree of Life,2 hr. 19 min.,Terrence Malick,2011,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken, Laramie Eppler, Tye Sheridan",1
Runoff    ,"1 hour, 30 minutes",Kimberly Levin,2015,"Joanne Kelly,Neal Huff",Runoff,1 hr. 30 min.,Kimberly Levin,2015,"Joanne Kelly, Tom Bower, Alex Shaffer, Rashel Bestard, Darlene Hunt, Neal Huff",1
Warrior , 140 minutes ,Gavin O'Connor,2011,Tom Hardy,Warrior,2 hr. 19 min.,Gavin O'Connor,2011,"Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison (I..., Frank Grillo, Kevin Dunn",1
About Time , 124 minutes ,Richard Curtis,2014,Domhnall Gleeson,About Time,2 hr. 3 min.,Richard Curtis,2013,"Tom Hughes, Domhnall Gleeson, Rachel McAdams, Margot Robbie, Lydia Wilson, Bill Nighy",1
Furious 7    ,"2 hours, 18 minutes",James Wan,2015,"Vin Diesel, Paul Walker",Furious 7,2 hr. 20 min.,James Wan,2015,"Vin Diesel, Paul Walker, Jason Statham, Dwayne ""The Rock"" Jo..., Tony Jaa, Michelle Rodriguez",1
Blackhat [Blu-ray] , 268 minutes ,Michael Mann,2015,,Blackhat,2 hr. 13 min.,Michael Mann,2015,"Chris Hemsworth, Viola Davis, Tang Wei, Leehom Wang, Holt McCallany, Ritchie Coster",1
Life of Pi    ,"2 hours, 7 minutes",Ang Lee,2012,"Suraj Sharma, Irrfan Khan",Life of Pi,2 hr. 7 min.,Ang Lee,2012,"Suraj Sharma, Irrfan Khan, Tabu, GÌ©rard Depardieu, Adil Hussain, Ayush Tandon",1
Endless Love (2014)    ,"1 hour, 45 minutes",Shana Feste,2014,"Alex Pettyfer, Gabriella Wilde",Endless Love,1 hr. 45 min.,Shana Feste,2014,"Alex Pettyfer, Gabriella Wilde, Bruce Greenwood, Robert Patrick, Rhys Wakefield, Dayo Okeniyi",1
A Little Chaos    ,"1 hour, 53 minutes",Alan Rickman,2015,"Thomas Allam, Alan Rickman",A Little Chaos,1 hr. 56 min.,Alan Rickman,2015,"Kate Winslet, Matthias Schoenaerts, Alan Rickman, Stanley Tucci, Helen McCrory, Jennifer Ehle",1
Bonnie and Clyde    ,"1 hour, 51 minutes",Arthur Penn,1967,"Warren Beatty, Faye Dunaway",Bonnie and Clyde,1 hr. 51 min.,Arthur Penn,1967,"Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman, Estelle Parsons, Denver Pyle",1
