Title_A,Year_A,Directors_A,Actors_A,Content_Rating_A,Genre_A,Duration_A,Title_B,Year_B,Directors_B,Actors_B,Content_Rating_B,Genre_B,Duration_B,Gold
Drug War,2012.0,Johnnie To,"Louis Koo,Michelle Ye Xuan,Sun Hong-Lei,Crystal Huang Yi",3.5,"Action, Drama",107 minutes,Drug War,2012,Johnnie To,"Louis Koo, Honglei Sun, Yi Huang",7.0,"Action, Crime, Drama",107 min ,1
"A Woman, a Gun and a Noodle Shop",2010.0,Zhang Yimou,"Sun Honglei,Xiao Shenyang,Yan Ni,Ni Dahong,Cheng Ye,Mao Mao,Zhao Benshan",2.0,"Comedy, Drama, Eastern, Foreign, Thriller",95 minutes,Gun,2010,Jessy Terrero,"50 Cent, Val Kilmer, AnnaLynne McCord",3.8,"Action, Crime, Thriller",82 min ,1
Madagascar: Escape 2 Africa,2008.0,"Eric Darnell,Tom McGrath","Ben Stiller,Chris Rock,David Schwimmer,Jada Pinkett Smith,Sacha Baron Cohen,Cedric The Entertainer,Andy Richter,Bernie Mac,Alec Baldwin,Sherri Shepherd,will.i.am",3.0,"Action, Adventure, Animation, Family",89 minutes,Madagascar: Escape 2 Africa,2008,Eric Darnell,"Ben Stiller, Chris Rock, David Schwimmer",6.7,"Animation, Action, Adventure",89 min ,1
The Girl from the Naked Eye,2012.0,David Ren,"Jason Yee,Samantha Streets,Gary Stretch,Dominique Swain,Sasha Grey",2.0,"Action, Romance, Thriller",80 minutes,The Girl from the Naked Eye,2012,David Ren,"Jason Yee, Samantha Streets, Ron Yuan",4.9,"Action, Crime, Mystery",84 min ,1
The Colony,2013.0,Jeff Renfroe,"Laurence Fishburne,Kevin Zegers,Bill Paxton,Charlotte Sullivan,John Tench,Atticus Dean Mitchell,Dru Viergever,Romano Orzari",1.5,"Action, Science Fiction, Thriller",95 minutes,The Colony,2013,Jeff Renfroe,"Kevin Zegers, Laurence Fishburne, Bill Paxton",5.3,"Action, Horror, Sci-Fi",95 min ,1
Sherlock Holmes: A Game of Shadows,2011.0,Guy Ritchie,"Robert Downey Jr.,Jude Law,Noomi Rapace,Rachel McAdams,Jared Harris,Stephen Fry,Paul Anderson,Kelly Reilly,Eddie Marsan",3.5,"Action, Adventure, Comedy, Crime, Mystery, Thriller",129 minutes,Sherlock Holmes: A Game of Shadows,2011,Guy Ritchie,"Robert Downey Jr., Jude Law, Jared Harris",7.5,"Action, Adventure, Crime",129 min ,1
Blood,2012.0,Nick Murphy,"Paul Bettany,Mark Strong,Brian Cox,Stephen Graham,Zoe Tapper,Ben Crompton,Natasha Little,Adrian Edmondson",3.5,"Mystery, Thriller",92 minutes,Blood Money,2012,Vishal Mahadkar,"Manish Chaudhary, Kunal Khemu, Amrita Puri",4.5,"Action, Drama, Thriller",109 min ,1
Jack the Giant Slayer,2013.0,Bryan Singer,"Nicholas Hoult,Ewan McGregor,Stanley Tucci,Ian McShane,Bill Nighy,Eleanor Tomlinson,Eddie Marsan",3.5,"Adventure, Drama, Fantasy, Romance, Science Fiction",114 minutes,Jack the Giant Killer,2013,Mark Atkins,"Jamie Atkins, Robert Boyle, Jane March",2.2,"Action, Fantasy",87 min ,1
Eagle Eye,2008.0,D.J. Caruso,"Shia LaBeouf,Michelle Monaghan,Rosario Dawson,Michael Chilkis,Billy Bob Thornton,Anthony Mackie,Ethan Embry",2.0,"Action, Mystery, Thriller",118 minutes,Eagle Eye,2008,D.J. Caruso,"Shia LaBeouf, Michelle Monaghan, Rosario Dawson",6.6,"Action, Mystery, Thriller",118 min ,1
The Sentinel,2006.0,Clark Johnson,"Michael Douglas,Kiefer Sutherland,Kim Basinger,Eva Longoria,David Rasche,Raoul Bhaneja,Simon Reynolds,Danny A. Gonzales",3.0,"Action, Adventure, Drama, Thriller",108 minutes,The Sentinel,2006,Clark Johnson,"Michael Douglas, Kiefer Sutherland, Kim Basinger",6.1,"Action, Crime, Thriller",108 min ,1
Hellboy II: The Golden Army,2008.0,Guillermo Del Toro,"Ron Perlman,Selma Blair,Doug Jones,John Alexander/James Dodd,Anna Walton,Luke Goss,Jeffrey Tambor",3.5,"Action, Adventure, Comedy, Fantasy, Science Fiction, Thriller",120 minutes,Hellboy II: The Golden Army,2008,Guillermo del Toro,"Ron Perlman, Selma Blair, Doug Jones",7.0,"Action, Adventure, Fantasy",120 min ,1
Persecuted,2014.0,Daniel Lusko,"James Remar,Bruce Davison,Dean Stockwell,Fred Thompson,Brad Stine,Natalie Grant",1.0,"Action, Adventure, Drama, Thriller",91 minutes,Persecuted,2014,Daniel Lusko,"James Remar, Dean Stockwell, Bruce Davison",3.6,"Action, Drama, Mystery",91 min ,1
Man on a Ledge,2012.0,Asger Leth,"Sam Worthington,Elizabeth Banks,Edward Burns,Jamie Bell,Genesis Rodriguez,Ed Harris,Kyra Sedgwick",2.0,"Action, Crime, Thriller",102 minutes,Man on a Ledge,2012,Asger Leth,"Sam Worthington, Elizabeth Banks, Jamie Bell",6.6,"Action, Crime, Thriller",102 min ,1
Blood,2012.0,Nick Murphy,"Paul Bettany,Mark Strong,Brian Cox,Stephen Graham,Zoe Tapper,Ben Crompton,Natasha Little,Adrian Edmondson",3.5,"Mystery, Thriller",92 minutes,Blood Angel,2012,Ryan Stratton,"Robin Collins, Nick Reed, Steve Elmore",6.2,"Action, Drama, Horror",71 min ,1
Taken 2,2012.0,Olivier Megaton,"Liam Neeson,Famke Janssen,Maggie Grace,Rade Sherbedgia,D.B. Sweeney",3.0,"Action, Crime, Drama, Thriller",91 minutes,Taken 2,2012,Olivier Megaton,"Liam Neeson, Famke Janssen, Maggie Grace",6.3,"Action, Thriller",92 min ,1
Gunday,2014.0,Ali Abbas Zafar,"Ranveer Singh,Arjun Kapoor,Priyanka Chopra,Irrfan Khan",3.0,"Action, Crime, Drama",152 minutes,Gunday,2014,Ali Abbas Zafar,"Ranveer Singh, Arjun Kapoor, Priyanka Chopra",2.0,"Action, Crime, Drama",152 min ,1
Ip Man: The Final Fight,2013.0,Herman Yau,"Anthony Wong Chau-Sang,Gillian Chung,Eric Tsang,Zhou Chu-Chu,Timmy Hung,Jiang Lu-Xia,Xiong Xin-Xin,Anita Yuen,Jordan Chan Siu-Chun",2.5,"Action, Drama",100 minutes,Ip Man: The Final Fight,2013,Herman Yau,"Anthony Chau-Sang Wong, Gillian Chung, Jordan Chan",6.1,"Action, Biography, Drama",100 min ,1
RED,2010.0,Robert Schwentke,"Bruce Willis,Morgan Freeman,John Malkovich,Helen Mirren,Karl Urban,Mary-Louise Parker,Brian Cox,Rebecca Pidgeon,Ernest Borgnine,James Remar,Richard Dreyfuss",2.0,"Action, Adventure, Comedy, Crime, Thriller",111 minutes,Red Eagle,2010,Wisit Sasanatieng,,5.5,"Action, Sci-Fi, Thriller",130 min ,1
The Last Stand,2013.0,Jee-woon Kim,"Arnold Schwarzenegger,Forest Whitaker,Eduardo Noriega,Luis Guzman,Peter Stormare,Johnny Knoxville",3.0,"Action, Crime, Thriller",107 minutes,The Last Stand,2013,Jee-woon Kim,"Arnold Schwarzenegger, Forest Whitaker, Johnny Knoxville",6.4,"Action, Crime, Thriller",107 min ,1
Revenge of the Mekons,2014.0,Joe Angio,,3.0,"Documentary, Music",95 minutes,Revenge of the Green Dragons,2014,Wai-Keung Lau,"Justin Chon, Kevin Wu, Harry Shum Jr.",5.2,"Action, Crime, Drama",94 min ,1
The Adventures of Tintin,2011.0,Steven Spielberg,"Jamie Bell,Andy Serkis,Daniel Craig,Nick Frost,Simon Pegg,Toby Jones",3.5,"Action, Adventure, Animation, Family",107 minutes,The Adventures of Tintin,2011,Steven Spielberg,"Jamie Bell, Andy Serkis, Daniel Craig",7.4,"Animation, Action, Adventure",107 min ,1
The Hobbit: The Battle of the Five Armies,2014.0,Peter Jackson,"Martin Freeman,Ian McKellen,Richard Armitage,Aidan Turner,Orlando Bloom,Evangeline Lilly,John Bell,Dean O'Gorman,Lee Pace,Benedict Cumberbatch,Luke Evans,Cate Blanchett,Hugo Weaving,Christopher Lee,Billy Connolly,Ian Holm,James Nesbitt",2.5,"Adventure, Fantasy",144 minutes,Battle,2014,John Jillard Sr.,"John Jillard Sr., Brian Anthony Wilson, Kimberly Bada",7.4,Action,92 min ,1
The World's End,2013.0,Edgar Wright,"Simon Pegg,Nick Frost,Rosamund Pike,Paddy Considine,Eddie Marsan,Martin Freeman,David Bradley,Bill Nighy",3.5,"Action, Comedy, Science Fiction",109 minutes,The World's End,2013,Edgar Wright,"Simon Pegg, Nick Frost, Martin Freeman",7.0,"Action, Comedy, Sci-Fi",109 min ,1
Supermensch: The Legend of Shep Gordon,2014.0,"Mike Myers,Beth Aala",,2.5,Documentary,85 minutes,Rise of the Legend,2014,Roy Hin Yeung Chow,"Sammo Kam-Bo Hung, Eddie Peng, Luodan Wang",6.4,"Action, Biography, Drama",131 min ,1
Gulaab Gang,2014.0,Soumik Sen,"Madhuri Dixit,Juhi Chawla,Priyanka Bose",2.5,"Action, Drama",139 minutes,Gulaab Gang,2014,Soumik Sen,"Madhuri Dixit, Juhi Chawla, Divya Jagdale",6.2,"Action, Drama",139 min ,1
Poseidon,2006.0,Wolfgang Petersen,"Josh Lucas,Kurt Russell,Jacinda Barrett,Richard Dreyfuss,Jimmy Bennett,Emmy Rossum,Andre Braugher",2.0,"Action, Adventure, Disaster, Thriller",99 minutes,Poseidon,2006,Wolfgang Petersen,"Richard Dreyfuss, Kurt Russell, Emmy Rossum",5.6,"Action, Adventure, Drama",98 min ,1
Wristcutters: A Love Story,2007.0,,"Patrick Fugit,Shannyn Sossamon,Shea Whigham",2.5,"Comedy, Drama, Indie, Romance",88 minutes,A Love,2007,Kyung-Taek Kwak,"Kwang-won Bae, Seok-yeon Hong, Hyun-Seong Im",6.9,"Action, Drama",104 min ,1
Tales of the Night,2012.0,,,3.0,"Animation, Fantasy, Foreign",,Night of the Living Dead 3D: Re-Animation,2012,Jeff Broadstreet,"Andrew Divoff, Jeffrey Combs, Sarah Lieving",3.0,"Action, Horror",88 min ,1
The Snow Queen,2013.0,"Vladlen Barbe,Maksim Sveshnikov","Ivan Okhlobystin,Dmitriy Nagiev,Lyudmila Artemeva,Anna Ardova,Liza Arzamasova",1.5,,80 minutes,The Snow Queen,2013,Rene Perez,"Nadia Lanfranconi, Iren Levy, Aurelia Scheppers",2.7,"Action, Adventure, Fantasy",90 min ,1
Non-Stop,2014.0,Jaume Collet-Serra,"Liam Neeson,Julianne Moore,Scoot McNairy,Michelle Dockery,Anson Mount,Lupita Nyong'o,Corey Stoll,Linus Roache,Jon Abrahams",2.5,"Action, Mystery, Thriller",106 minutes,Non-Stop,2014,Jaume Collet-Serra,"Liam Neeson, Julianne Moore, Scoot McNairy",7.0,"Action, Mystery, Thriller",106 min ,1
Jack Ryan: Shadow Recruit,2014.0,Kenneth Branagh,"Chris Pine,Keira Knightley,Kevin Costner,Kenneth Branagh,Gemma Chan,Nonso Anozie",3.0,"Action, Drama, Thriller",105 minutes,Jack Ryan: Shadow Recruit,2014,Kenneth Branagh,"Chris Pine, Kevin Costner, Keira Knightley",6.2,"Action, Thriller",105 min ,1
Transformers,2007.0,Michael Bay,"Shia LaBeouf,Tyrese Gibson,Josh Duhamel,Anthony Anderson,Megan Fox,Rachael Taylor,John Turturro,Jon Voight",3.0,"Action, Adventure, Science Fiction, Thriller",144 minutes,Transformers,2007,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel",7.1,"Action, Adventure, Sci-Fi",144 min ,1
Lockout,2012.0,"Stephen St. Legal,James Mather","Guy Pearce,Maggie Grace,Vincent Regan,Peter Hudson,Peter Stormare",2.5,"Action, Foreign, Science Fiction, Thriller",95 minutes,Lockout,2012,James Mather,"Guy Pearce, Maggie Grace, Peter Stormare",6.1,"Action, Drama, Sci-Fi",95 min ,1
Clash of the Titans,2010.0,Louis Leterrier,"Sam Worthington,Liam Neeson,Ralph Fiennes,Jason Flemyng,Gemma Arterton,Alexa Davalos,Pete Postlethwaite,Elizabeth McGovern,Danny Huston",3.0,"Action, Adventure, Fantasy, Science Fiction",106 minutes,Clash of the Titans,2010,Louis Leterrier,"Sam Worthington, Liam Neeson, Ralph Fiennes",5.8,"Action, Adventure, Fantasy",106 min ,1
Good People,2014.0,Henrik Ruben Genz,"James Franco,Kate Hudson,Anna Friel,Tom Wilkinson,Omar Sy,Sam Spruell,Michael Jibson",2.5,"Action, Crime, Thriller",,Good People,2014,Henrik Ruben Genz,"James Franco, Kate Hudson, Tom Wilkinson",5.5,"Action, Crime, Thriller",90 min ,1
Supermensch: The Legend of Shep Gordon,2014.0,"Mike Myers,Beth Aala",,2.5,Documentary,85 minutes,The Legend of Hercules,2014,Renny Harlin,"Kellan Lutz, Gaia Weiss, Scott Adkins",4.2,"Action, Adventure, Fantasy",99 min ,1
The Chronicles of Narnia: Prince Caspian,2008.0,Andrew Adamson,"Ben Barnes,Georgie Henley,Skandar Keynes,William Moseley,Anna Popplewell,Sergio Castellitto,Peter Dinklage,Warwick Davis,Eddie Izzard",3.0,"Action, Adventure, Family, Fantasy, Science Fiction",150 minutes,The Chronicles of Narnia: Prince Caspian,2008,Andrew Adamson,"Ben Barnes, Skandar Keynes, Georgie Henley",6.6,"Action, Adventure, Family",150 min ,1
Charlie Wilson's War,2007.0,Mike Nichols,"Julia Roberts,Philip Seymour Hoffman,Amy Adams,Emily Blunt,Ned Beatty,John Slattery,Denis O'Hare,Tom Hanks",3.0,"Comedy, Drama",102 minutes,War,2007,Philip G. Atwell,"Jet Li, Jason Statham, Nadine Velazquez",6.3,"Action, Crime, Thriller",103 min ,1
In the Blood,2014.0,John Stockwell,"Gina Carano,Cam Gigandet,Luis Guzmán,Amaury Nolasco,Ismael Cruz Cordova,Treat Williams,Stephen Lang,Danny Trejo",1.0,"Action, Crime, Drama, Thriller",90 minutes,In the Blood,2014,John Stockwell,"Gina Carano, Cam Gigandet, Danny Trejo",5.7,"Action, Crime, Thriller",108 min ,1
Vice,2015.0,Brian A Miller,"Ambyr Childers,Bruce Willis,Thomas Jane,Bryan Greenberg",1.0,"Action, Adventure, Science Fiction",96 minutes,Vice,2015,Brian A Miller,"Thomas Jane, Bruce Willis, Ambyr Childers",4.1,"Action, Adventure, Sci-Fi",96 min ,1
Mountains of the Moon,2014.0,Kamaleswar Mukherjee,"Dev,Martin Cito Otto,Nabeel Khan,Paul Ditchfield,David James",2.0,Adventure,143 minutes,Queen of the Mountains,2014,Sadyk Sher-Niyaz,"Elina Abai Kyzy, Nasira Mambetova, Aziz Muradillayev",8.8,"Action, Biography, Drama",135 min ,1
Rise of the Planet of the Apes,2011.0,Rupert Wyatt,"James Franco,Freida Pinto,John Lithgow,Brian Cox,Tom Felton",3.0,"Action, Drama, Science Fiction",105 minutes,Rise of the Planet of the Apes,2011,Rupert Wyatt,"James Franco, Andy Serkis, Freida Pinto",7.6,"Action, Drama, Sci-Fi",105 min ,1
The Green Hornet,2011.0,Michel Gondry,"Jay Chou,Cameron Diaz,Tom Wilkinson,Christoph Waltz,David Harbour,Edward James Olmos",1.0,"Action, Comedy, Crime",119 minutes,The Green Hornet,2011,Michel Gondry,"Seth Rogen, Jay Chou, Christoph Waltz",5.9,"Action, Comedy, Crime",119 min ,1
The Legend of Hercules,2014.0,Renny Harlin,"Kellan Lutz,Gaia Weiss,Scott Adkins,Roxanne McKee,Liam McIntyre,Liam Garrigan,Jukka Hilden,Rade Serbedzija,Johnathon Schaech,Luke Newberry,Kenneth Cranham,Sarai Givaty",1.5,"Action, Adventure",,Hercules,2014,Brett Ratner,"Dwayne Johnson, John Hurt, Ian McShane",6.1,"Action, Adventure",98 min ,1
I Am I,2014.0,Jocelyn Towne,"Simon Helberg,Jason Ritter,Jocelyn Towne,Kevin Tighe",2.0,"Documentary, Drama, Foreign",,I Am Soldier,2014,Ronnie Thompson,"Tom Hughes, Noel Clarke, Alex Reid",4.5,"Action, Thriller, War",84 min ,1
The Fighter,2010.0,David O. Russell,"Mark Wahlberg,Christian Bale,Melissa Leo,Amy Adams,Jack McGee",2.5,"Drama, Sport",116 minutes,Portrait of the Fighter as a Young Man,2010,Constantin Popescu,"Constantin Dita, Bogdan Dumitrache, Ionut Caras",7.8,"Action, Drama, History",163 min ,1
The Purge: Anarchy,2014.0,James Demonaco,"Frank Grillo,Carmen Ejogo,Zach Gilford,Kiele Sanchez,Zoe Soul",2.0,"Horror, Thriller",103 minutes,The Purge: Anarchy,2014,James DeMonaco,"Frank Grillo, Carmen Ejogo, Zach Gilford",6.5,"Action, Horror, Sci-Fi",103 min ,1
The King of Devil's Island,2012.0,Marius Holst,"Stellan Skarsgard,Benjamin Helstad,Kristoffer Joner,Trond Nilssen,Magnus Langlete",3.0,"Action, Drama, Foreign",120 minutes,The King of the Streets,2012,Zhong Lei,"Li Chang-Hai, Kang En, Yang JianPing",4.8,Action,88 min ,1
Survival of the Dead,2010.0,,"Alan Van Sprang,Kenneth Welsh,Kathleen Munroe,Devon Bostick,Richard Fitzpatrick,Stefano Di Matteo",2.0,"Horror, Science Fiction",90 minutes,Stag Night of the Dead,2010,Neil Jones,"Sebastian Street, Sophie Lovell Anderson, Bruce Lawrence",3.2,"Action, Comedy, Horror",81 min ,1
Fury,2014.0,David Ayer,"Brad Pitt,Shia LaBeouf,Logan Lerman,Jon Bernthal,Scott Eastwood,Jason Isaacs,Xavier Samuel,Michael Peña",2.0,"Action, Drama, War",134 minutes,Ardennes Fury,2014,Joseph J. Lawson,"Tom Stedham, Bill Voorhees, Tino Struckmann",2.2,"Action, War",87 min ,1
"Three Colors Trilogy: Blue, White, Red",,Krzysztof Kieslowski,,4.0,,,RED,2010,Robert Schwentke,"Bruce Willis, Helen Mirren, Morgan Freeman",7.1,"Action, Comedy, Crime",111 min ,1
"Three Colors Trilogy: Blue, White, Red",,Krzysztof Kieslowski,,4.0,,,Red,2002,Ram Sathya,,4.3,"Action, Drama",175 min ,1
The Legend of Hercules,2014.0,Renny Harlin,"Kellan Lutz,Gaia Weiss,Scott Adkins,Roxanne McKee,Liam McIntyre,Liam Garrigan,Jukka Hilden,Rade Serbedzija,Johnathon Schaech,Luke Newberry,Kenneth Cranham,Sarai Givaty",1.5,"Action, Adventure",,Rise of the Legend,2014,Roy Hin Yeung Chow,"Sammo Kam-Bo Hung, Eddie Peng, Luodan Wang",6.4,"Action, Biography, Drama",131 min ,1
Sherlock Holmes: A Game of Shadows,2011.0,Guy Ritchie,"Robert Downey Jr.,Jude Law,Noomi Rapace,Rachel McAdams,Jared Harris,Stephen Fry,Paul Anderson,Kelly Reilly,Eddie Marsan",3.5,"Action, Adventure, Comedy, Crime, Mystery, Thriller",129 minutes,Game,2011,Abhinay Deo,"Abhishek Bachchan, Kangana Ranaut, Anupam Kher",5.1,"Action, Crime, Drama",135 min ,1
The Tourist,2010.0,Florian Henckel,"Angelina Jolie,Johnny Depp,Paul Bettany,Timothy Dalton,Steven Berkoff,Rufus Sewell",2.0,"Action, Mystery, Romance, Thriller",103 minutes,The Tourist,2010,Florian Henckel von Donnersmarck,"Johnny Depp, Angelina Jolie, Paul Bettany",6.0,"Action, Romance, Thriller",103 min ,1
Noah,2014.0,Darren Aronofsky,"Russell Crowe,Jennifer Connelly,Emma Watson,Logan Lerman,Douglas Booth,Anthony Hopkins,Ray Winstone,Kevin Durand",3.0,"Action, Drama, Fantasy",,Noah,2014,Darren Aronofsky,"Russell Crowe, Jennifer Connelly, Anthony Hopkins",5.9,"Action, Adventure, Drama",138 min ,1
Pompeii,2014.0,Paul W.S. Anderson,"Kit Harington,Emily Browning,Kiefer Sutherland,Carrie-Anne Moss,Rebecca Eady,Jared Harris",2.5,"Disaster, History, Mystery",105 minutes,Apocalypse Pompeii,2014,Ben Demaree,"Adrian Paul, Jhey Castles, Georgina Beedle",2.3,"Action, Adventure",87 min ,1
I Touched All Your Stuff,2015.0,"Maíra Bühler,Matias Mariani",,2.5,Documentary,92 minutes,i,2015,S. Shankar,"'Chiyaan' Vikram, Amy Jackson, Suresh Gopi",7.8,"Action, Romance, Thriller",170 min ,1
Godzilla,2014.0,Gareth Edwards,"Bryan Cranston,Elizabeth Olsen,Aaron Taylor-Johnson,Juliette Binoche,Sally Hawkins,David Strathairn,Ken Watanabe,Victor Rasuk,Brian Markinson,Al Sapienza,Patrick Sabongui,Yuki Mortia",3.5,"Horror, Science Fiction",123 minutes,Godzilla,2014,Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston",6.5,"Action, Adventure, Sci-Fi",123 min ,1
Getaway,2013.0,Courtney Solomon,"Ethan Hawke,Selena Gomez,Jon Voight,Paul Freeman,Bruce Payne,Rebecca Budig",1.5,"Action, Crime",,Getaway,2013,Courtney Solomon,"Ethan Hawke, Selena Gomez, Jon Voight",4.4,"Action, Crime, Thriller",90 min ,1
The Fast and the Furious: Tokyo Drift,2006.0,Justin Lin,"Lucas Black,Sung Kang,Bow Wow,Brian Tee,Nathalie Kelley,Sonny Chiba,Jason Tobin,Zachery Ty Bryan",3.0,"Action, Adventure, Crime, Drama, Thriller",104 minutes,The Fast and the Furious: Tokyo Drift,2006,Justin Lin,"Lucas Black, Zachery Ty Bryan, Shad Moss",6.0,"Action, Crime, Drama",104 min ,1
No,2013.0,,,4.0,"Drama, Foreign",118 minutes,Send No Flowers,2013,Fred Carpenter,"Sean Young, Tony Lo Bianco, Russ Camarda",7.5,"Action, Crime, Drama",95 min ,1
Rise of the Guardians,2012.0,Peter Ramsey,"Chris Pine,Alec Baldwin,Jude Law,Isla Fisher,Hugh Jackman",3.0,"Adventure, Animation",97 minutes,Rise of the Black Bat,2012,Scott Patrick,"Jody Haucke, Richard Groen, Dixie Collins",1.5,"Action, Sci-Fi",80 min ,1
Harakiri,1962.0,,,4.0,"Drama, Foreign",135 minutes,Harakiri,1962,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita",8.7,"Action, Drama, History",133 min ,1
Grindhouse,2007.0,,,2.5,"Action, Horror, Thriller",191 minutes,Grindhouse,2007,Robert Rodriguez,"Kurt Russell, Rose McGowan, Danny Trejo",7.7,"Action, Horror, Thriller",191 min ,1
Stalingrad,2013.0,Fedor Bondarchuk,"Mariya Smolnikova,Yanina Studilina,Pyotr Fyodorov,Thomas Kretschmann,Philippe Reinhardt,Sergey Bondarchuk,Dmitriy Lysenkov",2.5,"Action, Drama, War",135 minutes,Stalingrad,2013,Fedor Bondarchuk,"Mariya Smolnikova, Yanina Studilina, Pyotr Fyodorov",5.6,"Action, Drama, War",131 min ,1
Easy Money,2012.0,Daniel Espinosa,"Joel Kinnaman,Matias Varela,Dragomir Mrsic,Lisa Henni,Dejan Cukic",3.5,"Crime, Drama, Foreign, Thriller",124 minutes,Easy Money II: Hard to Kill,2012,Babak Najafi,"Joel Kinnaman, Matias Varela, Dragomir Mrsic",6.2,"Action, Crime, Drama",99 min ,1
Unstoppable,2010.0,Tony Scott,"Denzel Washington,Chris Pine,Rosario Dawson,Ethan Suplee,Kevin Dunn",3.5,"Action, Thriller",98 minutes,Unstoppable,2010,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson",6.8,"Action, Thriller",98 min ,1
Fast & Furious,2009.0,Justin Lin,"Vin Diesel,Paul Walker,Jordana Brewster,Michelle Rodriguez,John Ortiz",1.5,"Action, Adventure, Crime, Drama, Thriller",107 minutes,Fast & Furious,2009,Justin Lin,"Vin Diesel, Paul Walker, Michelle Rodriguez",6.6,"Action, Crime, Drama",107 min ,1
Into the Storm,2014.0,Steven Quale,"Richard Armitage,Sarah Wayne Callies,Matt Walsh,Max Deacon,Nathan Kress,Alycia Debnam Carey,Jeremy Sumpter,Kyle Davis",2.0,Thriller,89 minutes,Into the Storm,2014,Steven Quale,"Richard Armitage, Sarah Wayne Callies, Matt Walsh",5.8,"Action, Thriller",89 min ,1
Riddick,2013.0,David Twohy,"Vin Diesel,Karl Urban,Katee Sackhoff,Jordi Mollà,Bokeem Woodbine,Nolan Gerard Funk,Noah Danby,Neil Napier,Dave Bautista",2.5,"Action, Science Fiction, Thriller",119 minutes,Riddick,2013,David Twohy,"Vin Diesel, Karl Urban, Katee Sackhoff",6.4,"Action, Sci-Fi, Thriller",119 min ,1
