Title_A,Authors_A,Venue_A,Year_A,Title_B,Authors_B,Venue_B,Year_B,Gold
Incremental Maintenance for Materialized Views over Semistructured Data,"S Abiteboul, J McHugh, M Rys, V Vassalos, JL  ","VLDB,",1998.0,Incremental Maintenance for Materialized Views over Semistructured Data,"S Abiteboul, J McHugh, M Rys, V Vassalos, J Wiener",VLDB,1998,1
Guest editorial,"V Atluri, A Joshi, Y Yesha","The VLDB Journal The International Journal on Very Large  &hellip;,",2003.0,Guest editorial,,,2003,1
Data Warehouse Configuration,"D Theodoratos, T Sellis","VLDB,",1997.0,Data Warehouse Configuration,"D Theodoratos, T Sellis",VLDB,1997,1
"COMMIX: towards effective web information extraction, integration and query answering",portal.acm.org,"SIGMOD Conference,",2002.0,"COMMIX: towards effective web information extraction, integration and query answering","T Wang, S Tang, D Yang, J Gao, Y Wu, J Pei",SIGMOD Conference,2002,1
,,,,Improving Index Performance through Prefetching,"S Chen, P Gibbons, T Mowry",SIGMOD Conference,2001,1
An Algebraic Approach to Rule Analysis in Expert Database Systems,"E Bar&amp;s, J Widom",,,An Algebraic Approach to Rule Analysis in Expert Database Systems,"E Baralis, J Widom",VLDB,1994,1
Supervised Wrapper Generation with Lixto,"R Baumgartner, S Flesca, G Gottlob","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2001.0,Supervised Wrapper Generation with Lixto,"R Baumgartner, S Flesca, G Gottlob",VLDB,2001,1
Local Dimensionality Reduction: A New Approach to Indexing High Dimensional Spaces,"K Chakrabarti, S Mehrotra","VLDB,",2000.0,Local Dimensionality Reduction: A New Approach to Indexing High Dimensional Spaces,"K Chakrabarti, S Mehrotra",VLDB,2000,1
Lore: A Database Management System for Semistructured Data,"J McHugh, S Abiteboul, R Goldman, D Quass, J Widom","SIGMOD Record,",1997.0,Lore: A Database Management System for Semistructured Data,"J McHugh, S Abiteboul, R Goldman, D Quass, J Widom",SIGMOD Record,1997,1
Rule Languages and Internal Algebras for Rule-Based Optimizers,"M Cherniack, SB Zdonik","SIGMOD Conference,",1996.0,Rule Languages and Internal Algebras for Rule-Based Optimizers,"M Cherniack, S Zdonik",SIGMOD Conference,1996,1
BOAT-Optimistic Decision Tree Construction,"J Gehrke, V Ganti, R Ramakrishnan, WY Loh",,,BOAT-Optimistic Decision Tree Construction,"J Gehrke, V Ganti, R Ramakrishnan, W Loh",SIGMOD Conference,1999,1
Data Grid Management Systems,"A Jagatheesan, A Rajasekar",,,Data Grid Management Systems,"A Jagatheesan, A Rajasekar",SIGMOD Conference,2003,1
OrientStore: A Schema Based Native XML Storage System,"X Meng, D Luo, ML Lee, J An","VLDB,",2003.0,OrientStore: A Schema Based Native XML Storage System,"X Meng, D Luo, M Lee, J An",VLDB,2003,1
Algorithms for Querying by Spatial Structure,"NM Dimitris Papadias, V Delis",,,Algorithms for Querying by Spatial Structure,"D Papadias, N Mamoulis, V Delis",VLDB,1998,1
AJAX: An Extensible Data Cleaning Tool,"H Galhardas, D Florescu, D Shasha, E Simon",,,AJAX: An Extensible Data Cleaning Tool,"H Galhardas, D Florescu, D Shasha, E Simon",SIGMOD Conference,2000,1
Multi-dimensional Selectivity Estimation Using Compressed Histogram Information,"JH Lee, DH Kim, CW Chung","SIGMOD Conference,",1999.0,Multi-dimensional Selectivity Estimation Using Compressed Histogram Information,"J Lee, D Kim, C Chung",SIGMOD Conference,1999,1
Distance Browsing in Spatial Databases,"H Samet, G Hjaltason","ACM TODS,",,Distance Browsing in Spatial Databases,"G Hjaltason, H Samet",ACM Trans. Database Syst.,1999,1
Fast incremental maintenance of approximate histograms,"PB Gibbons, Y Matias, V Poosala","ACM Transactions on Database Systems,",2002.0,Fast incremental maintenance of approximate histograms,"P Gibbons, Y Matias, V Poosala",ACM Trans. Database Syst.,2002,1
REFEREE: An Open Framework for Practical Testing of Recommender Systems using ResearchIndex,"D Cosley, S Lawrence, DM Pennock","VLDB,",2002.0,REFEREE: An Open Framework for Practical Testing of Recommender Systems using ResearchIndex,"D Cosley, S Lawrence, D Pennock",VLDB,2002,1
From Tree Patterns to Generalized Tree Patterns: On Efficient Evaluation of XQuery,"ZCHVJLVS Lakshmanan, S Paparizos","Proceedings of the 29th Very Large Data Base Conference,",,From Tree Patterns to Generalized Tree Patterns: On Efficient Evaluation of XQuery,"Z Chen, H Jagadish, L Lakshmanan, S Paparizos",VLDB,2003,1
The Impact of Global Clustering on Spatial Database Systems,"T Brinkhoff, HP Kriegel","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1994.0,The Impact of Global Clustering on Spatial Database Systems,"T Brinkhoff, H Kriegel",VLDB,1994,1
"Ubiquitous, Self-tuning, Scalable Servers",P Spiro,,,"Ubiquitous, Self-tuning, Scalable Servers",P Spiro,SIGMOD Conference,1998,1
Implementation and Analysis of a Parallel Collection Query Language,D Suciu,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1996.0,Implementation and Analysis of a Parallel Collection Query Language,D Suciu,VLDB,1996,1
A Close Look at the IFO Data Model,MS Hanna,"SIGMOD RECORD,",1995.0,A Close Look at the IFO Data Model,M Hanna,SIGMOD Record,1995,1
The Case for Enhanced Abstract Data Types,"R Ramakrishnan, P Seshadri, M Livny","Proc. of VLDB,",,The Case for Enhanced Abstract Data Types,"P Seshadri, M Livny, R Ramakrishnan",VLDB,1997,1
Principles of Optimally Placing Data in Tertiary Storage Libraries,"HC Paradise, C Chania",,,Principles of Optimally Placing Data in Tertiary Storage Libraries,"S Christodoulakis, P Triantafillou, F Zioga",VLDB,1997,1
Databases and Visualization,DA Keim,"SIGMOD Conference,",1996.0,Databases and Visualization,D Keim,SIGMOD Conference,1996,1
A Componentized Architecture for Dynamic Electronic Markets,"B Reich, I Ben-Shaul","SIGMOD Record,",1998.0,A Componentized Architecture for Dynamic Electronic Markets,"B Reich, I Ben-Shaul",SIGMOD Record,1998,1
DataBlitz: A High Performance Main-Memory Storage Manager,J Baulier,,,DataBlitz: A High Performance Main-Memory Storage Manager,"J Baulier, P Bohannon, S Gogate, S Joshi, C Gupta, A Khivesera, H Korth, P McIlroy, J Miller, P Narayan, M Nemeth, R Rastogi, A Silberschatz, S Sudarshan",VLDB,1998,1
Bottom-Up Computation of Sparse and Iceberg CUBEs,"K Beyer, R Ramakrishnan","SIGMOD Conference,",1999.0,Bottom-Up Computation of Sparse and Iceberg CUBEs,"K Beyer, R Ramakrishnan",SIGMOD Conference,1999,1
A Comprehensive XQuery to SQL Translation using Dynamic Interval Encoding,"D DeHaan, D Toman, MP Consens","SIGMOD Conference,",2003.0,A Comprehensive XQuery to SQL Translation using Dynamic Interval Encoding,"D DeHaan, D Toman, M Consens, M жzsu",SIGMOD Conference,2003,1
Editor's Notes,JA Neff,Journal of Emergency,,Editor's Notes,M Franklin,SIGMOD Record,2000,1
DEVise: Integrated Querying and Visual Exploration of Large Datasets (Demo Abstract),"M Livny, R Ramakrishnan, KS Beyer, G Chen, D  ","SIGMOD Conference,",1997.0,DEVise: Integrated Querying and Visual Exploration of Large Datasets (Demo Abstract),"M Livny, R Ramakrishnan, K Beyer, G Chen, D Donjerkovic, S Lawande, J Myllymaki, R Wenger",SIGMOD Conference,1997,1
Logical and Physical Versioning in Main Memory Databases,"P Bohannon, D Leinbaugh, R Rastogi, S Seshadri, A  ","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1997.0,Logical and Physical Versioning in Main Memory Databases,"R Rastogi, S Seshadri, P Bohannon, D Leinbaugh, A Silberschatz, S Sudarshan",VLDB,1997,1
Rapid Bushy Join-order Optimization with Cartesian Products,"B Vance, D Maier","SIGMOD Conference,",1996.0,Rapid Bushy Join-order Optimization with Cartesian Products,"B Vance, D Maier",SIGMOD Conference,1996,1
Discovery of Influence Sets in Frequently Updated Databases,"I Stanoi, M Riedewald, D Agrawal, A El Abbadi","Proceedings of the 27th International Conference on Very  &hellip;,",2001.0,Discovery of Influence Sets in Frequently Updated Databases,"I Stanoi, M Riedewald, D Agrawal, A Abbadi",VLDB,2001,1
Comparative Analysis of Six XML Schema Languages,"D Lee, WW Chu","ACM SIGMOD Record,",2000.0,Comparative Analysis of Six XML Schema Languages,"D Lee, W Chu",SIGMOD Record,2000,1
The Araneus Web-Base Management System,"G Mecca, P Atzeni, A Masci, P Merialdo, G Sindoni",,,The Araneus Web-Base Management System,"G Mecca, P Atzeni, A Masci, P Merialdo, G Sindoni",SIGMOD Conference,1998,1
Cumulative Updates,SM Sripada,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1994.0,Cumulative Updates,"S Sripada, B Wќthrich",VLDB,1994,1
The MLPQ/GIS Constraint Database System,"P Revesz, R Chen, P Kanjamala, Y Li, Y Liu, Y Wang",,,The MLPQ/GIS Constraint Database System,"P Revesz, R Chen, P Kanjamala, Y Li, Y Liu, Y Wang",SIGMOD Conference,2000,1
Finding Data in the Neighborhood,"A Eickler, A Kemper, D Kossmann","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1997.0,Finding Data in the Neighborhood,"A Eickler, A Kemper, D Kossmann",VLDB,1997,1
Automated Selection of Materialized Views and Indexes in SQL Databases,"S Agrawal, S Chaudhuri, VR Narasayya","Proceedings of the 26th International Conference on Very  &hellip;,",2000.0,Automated Selection of Materialized Views and Indexes in SQL Databases,"S Agrawal, S Chaudhuri, V Narasayya",VLDB,2000,1
Merging Models Based on Given Correspondences,"RA Pottinger, PA Bernstein","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,Merging Models Based on Given Correspondences,"R Pottinger, P Bernstein",VLDB,2003,1
Italian Electronic Identity Card - principle and architecture,M Gentili,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2001.0,Italian Electronic Identity Card - principle and architecture,M Gentili,VLDB,2001,1
A Study on the Management of Semantic Transaction for Efficient Data Retrieval,"SM Huang, I Kwan, CH Li","SIGMOD Record,",2002.0,A Study on the Management of Semantic Transaction for Efficient Data Retrieval,"S Huang, I Kwan, C Li",SIGMOD Record,2002,1
A survey of approaches to automatic schema matching,"E Rahm, PA Bernstein","The VLDB Journal The International Journal on Very Large  &hellip;,",2001.0,A survey of approaches to automatic schema matching,"E Rahm, P Bernstein",VLDB J.,2001,1
Data Bubbles for Non-Vector Data: Speeding-up Hierarchical Clustering in Arbitrary Metric Spaces,"J Zhou, J Sander","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,Data Bubbles for Non-Vector Data: Speeding-up Hierarchical Clustering in Arbitrary Metric Spaces,"J Zhou, J Sander",VLDB,2003,1
The Long-Term Preservation of Authentic Electronic Records,L Duranti,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2001.0,The Long-Term Preservation of Authentic Electronic Records,L Duranti,VLDB,2001,1
Incremental Clustering for Mining in a Data Warehousing Environment,"M Ester, HP Kriegel, J Sander, M Wimmer, X Xu","VLDB,",1998.0,Incremental Clustering for Mining in a Data Warehousing Environment,"M Ester, H Kriegel, J Sander, M Wimmer, X Xu",VLDB,1998,1
METU Object-Oriented DBMS,"A Dogac, C Ozkan, B Arpinar, T Okay, C Evrendilek",,,METU Object-Oriented DBMS,"A Dogac, I Arpinar, C Evrendilek, C Ozkan, I Altintas, I Durusoy, M Altinel, T Okay, Y Saygin",SIGMOD Conference,1994,1
Expressing Business Rules,RG Ross,,,Expressing Business Rules,R Ross,SIGMOD Conference,2000,1
Reminiscences on Influential Papers,KA Ross,SIGMOD,2002.0,Reminiscences on Influential Papers,,,2002,1
"Business Process Coordination: State of the Art, Trends, and Open Issues","U Dayal, M Hsu, R Ladin","VLDB,",2001.0,"Business Process Coordination: State of the Art, Trends, and Open Issues","U Dayal, M Hsu, R Ladin",VLDB,2001,1
Retrieval of Composite Multimedia Objects,"S Chaudhuri, S Ghandeharizadeh, C Shahabi","Proceedings of the 21th International Conference on Very  &hellip;,",1995.0,Retrieval of Composite Multimedia Objects,"S Chaudhuri, S Ghandeharizadeh, C Shahabi",VLDB,1995,1
Speeding up construction of PMR quadtree-based spatial indexes,"GR Hjaltason, H Samet","The VLDB Journal The International Journal on Very Large  &hellip;,",2002.0,Speeding up construction of PMR quadtree-based spatial indexes,"G Hjaltason, H Samet",VLDB J.,2002,1
A Low-Cost Storage Server for Movie on Demand Databases,"B Ã?zden, A Biliris, R Rastogi, A Silberschatz","Proceedings of the 20th International Conference on Very  &hellip;,",1994.0,A Low-Cost Storage Server for Movie on Demand Databases,"B жzden, A Biliris, R Rastogi, A Silberschatz",VLDB,1994,1
ASSET: A System for Supporting Extended Transactions,"A Biliris, S Dar, N Gehani, HV Jagadish, K  ","Proceedings of the ACM SIGMOD International Conference on  &hellip;,",1994.0,ASSET: A System for Supporting Extended Transactions,"A Biliris, S Dar, N Gehani, H Jagadish, K Ramamritham",SIGMOD Conference,1994,1
WWW-UDK: A Web-based Environmental Meta-Information System,"R Kramer, R Nikolai, A Koschel, C Rolker, P  ","SIGMOD Record,",1997.0,WWW-UDK: A Web-based Environmental Meta-Information System,"R Kramer, R Nikolai, A Koschel, C Rolker, P Lockemann, A Keitel, R Legat, K Zirm",SIGMOD Record,1997,1
Optimizing Multi-Feature Queries for Image Databases,WT Balke,,,Optimizing Multi-Feature Queries for Image Databases,"U Gќntzer, W Balke, W Kieпling",VLDB,2000,1
"Calibrating the Query Optimizer Cost Model of IRO-DB, an Object-Oriented Federated Database System","G Gardarin, F Sha, ZH Tang","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1996.0,"Calibrating the Query Optimizer Cost Model of IRO-DB, an Object-Oriented Federated Database System","G Gardarin, F Sha, Z Tang",VLDB,1996,1
Distinct Sampling for Highly-Accurate Answers to Distinct Values Queries and Event Reports,PB Gibbons,"VLDB,",2001.0,Distinct Sampling for Highly-Accurate Answers to Distinct Values Queries and Event Reports,P Gibbons,VLDB,2001,1
Practical Issues with Commercial Use of Federated Databases,J Kleewein,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1996.0,Practical Issues with Commercial Use of Federated Databases,J Kleewein,VLDB,1996,1
A New SQL-like Operator for Mining Association Rules,R Meo,"VLDB,",1996.0,A New SQL-like Operator for Mining Association Rules,"R Meo, G Psaila, S Ceri",VLDB,1996,1
Semantic Integration of Semistructured and Structured Data Sources,"S Bergamaschi, S Castano, M Vincini",,,Semantic Integration of Semistructured and Structured Data Sources,"S Bergamaschi, S Castano, M Vincini",SIGMOD Record,1999,1
Iceberg-cube computation with PC clusters,RT Ng,,,Iceberg-cube computation with PC clusters,"R Ng, A Wagner, Y Yin",SIGMOD Conference,2001,1
Clustering by pattern similarity in large data sets,"H Wang, W Wang, J Yang, PS Yu",,,Clustering by pattern similarity in large data sets,"H Wang, W Wang, J Yang, P Yu",SIGMOD Conference,2002,1
Object Query Standards,AE Wade,"SIGMOD Record,",1996.0,Object Query Standards,A Wade,SIGMOD Record,1996,1
Efficiently Mining Long Patterns from Databases,RJB Jr.,"SIGMOD Conference,",,Efficiently Mining Long Patterns from Databases,R Jr.,SIGMOD Conference,1998,1
,,,,BHUNT: Automatic Discovery of Fuzzy Algebraic Constraints in Relational Data,"P Brown, P Haas",VLDB,2003,1
Indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,"C Wang, XS Wang","The VLDB Journal The International Journal on Very Large  &hellip;,",2001.0,Indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,"C Wang, X Wang",VLDB J.,2001,1
ARIES/CSA: A Method for Database Recovery in Client-Server Architectures,"C Mohan, I Narang",,1994.0,ARIES/CSA: A Method for Database Recovery in Client-Server Architectures,"C Mohan, I Narang",SIGMOD Conference,1994,1
Eliminating Fuzzy Duplicates in Data Warehouses,"R Ananthakrishna, S Chaudhuri, V Ganti","VLDB,",2002.0,Eliminating Fuzzy Duplicates in Data Warehouses,"R Ananthakrishna, S Chaudhuri, V Ganti",VLDB,2002,1
Ripple Joins for Online Aggregation,"J Hellerstein, PJ Haas","ACM SIGMOD,",,Ripple Joins for Online Aggregation,"P Haas, J Hellerstein",SIGMOD Conference,1999,1
The BEA/XQRL Streaming XQuery Processor,"D Florescu, C Hillery, D Kossmann, P Lucas, F  ","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,The BEA/XQRL Streaming XQuery Processor,"D Florescu, C Hillery, D Kossmann, P Lucas, F Riccardi, T Westmann, M Carey, A Sundararajan, G Agrawal",VLDB,2003,1
XSB as an Efficient Deductive Database Engine,"K Sagonas, T Swift, DS Warren",,,XSB as an Efficient Deductive Database Engine,"K Sagonas, T Swift, D Warren",SIGMOD Conference,1994,1
Aggregate-Query Processing in Data Warehousing Environments,"A Gupta, V Harinarayan, D Quass","VLDB,",1995.0,Aggregate-Query Processing in Data Warehousing Environments,"A Gupta, V Harinarayan, D Quass",VLDB,1995,1
David DeWitt Speaks Out,"S be Proud, HSFIS Very, P Spent","SIGMOD Record,",2002.0,David DeWitt Speaks Out,M Winslett,ecord,2002,1
