Title_A,Authors_A,Date_A,Journal-ref_A,Title_B,Authors_B,Date_B,Journal-ref_B,Gold
Weakly-supervised Discovery of Visual Pattern Configurations,"Hyun Oh Song, Yong Jae Lee, Stefanie Jegelka, Trevor Darrell","25 June, 2014",,Weakly-supervised Discovery of Visual Pattern Configurations,"Hyun Oh Song, Yong Jae Lee, Stefanie Jegelka, Trevor Darrell",December 2014,Neurips 2014,1
Improved graph Laplacian via geometric self-consistency,"Dominique Perrault-Joncas, Marina Meila","31 May, 2014",,Improved Graph Laplacian via Geometric Self-Consistency,"Dominique Joncas, Marina Meila, James McQueen",December 2017,Neurips 2017,1
Learning Networks from Random Walk-Based Node Similarities,"Jeremy G. Hoskins, Cameron Musco, Christopher Musco, Charalampos E. Tsourakakis","22 January, 2018",,Inferring Networks From Random Walk-Based Node Similarities,"Jeremy Hoskins, Cameron Musco, Christopher Musco, Babis Tsourakakis",December 2018,Neurips 2018,1
Implicit Reparameterization Gradients,"Michael Figurnov, Shakir Mohamed, Andriy Mnih","30 January, 2019",,Implicit Reparameterization Gradients,"Mikhail Figurnov, Shakir Mohamed, Andriy Mnih",December 2018,Neurips 2018,1
Bayesian Nonparametric Spectral Estimation,Felipe Tobar,"12 January, 2019",,Bayesian Nonparametric Spectral Estimation,Felipe Tobar,December 2018,Neurips 2018,1
"Nonlocal Neural Networks, Nonlocal Diffusion and Nonlocal Modeling","Yunzhe Tao, Qi Sun, Qiang Du, Wei Liu","24 January, 2019",,"Nonlocal Neural Networks, Nonlocal Diffusion and Nonlocal Modeling","Yunzhe Tao, Qi Sun, Qiang Du, Wei Liu",December 2018,Neurips 2018,1
Improving Regret Bounds for Combinatorial Semi-Bandits with Probabilistically Triggered Arms and Its Applications,"Qinshi Wang, Wei Chen","21 February, 2018",,Improving Regret Bounds for Combinatorial Semi-Bandits with Probabilistically Triggered Arms and Its Applications,"Qinshi Wang, Wei Chen",December 2017,Neurips 2017,1
"Do Less, Get More: Streaming Submodular Maximization with Subsampling","Moran Feldman, Amin Karbasi, Ehsan Kazemi","20 February, 2018",,"Do Less, Get More: Streaming Submodular Maximization with Subsampling","Moran Feldman, Amin Karbasi, Ehsan Kazemi",December 2018,Neurips 2018,1
"Train longer, generalize better: closing the generalization gap in large batch training of neural networks","Elad Hoffer, Itay Hubara, Daniel Soudry","1 January, 2018",Advances in Neural Information Processing Systems 30 2017; pages 1729-1739; http://papers.nips.cc/paper/6770-train-longer-generalize-better-closing-the-generalization-gap-in-large-batch-training-of-neural-networks,"Train longer, generalize better: closing the generalization gap in large batch training of neural networks","Elad Hoffer, Itay Hubara, Daniel Soudry",December 2017,Neurips 2017,1
Active Learning and Best-Response Dynamics,"Maria-Florina Balcan, Chris Berlind, Avrim Blum, Emma Cohen, Kaushik Patnaik, Le Song","25 June, 2014",,Active Learning and Best-Response Dynamics,"Maria-Florina F. Balcan, Christopher Berlind, Avrim Blum, Emma Cohen, Kaushik Patnaik, Le Song",December 2014,Neurips 2014,1
Solving Almost all Systems of Random Quadratic Equations,"Gang Wang, Georgios B. Giannakis, Yousef Saad, Jie Chen","29 May, 2017",,Solving Most Systems of Random Quadratic Equations,"Gang Wang, Georgios Giannakis, Yousef Saad, Jie Chen",December 2017,Neurips 2017,1
A Smoothed Analysis of the Greedy Algorithm for the Linear Contextual Bandit Problem,"Sampath Kannan, Jamie Morgenstern, Aaron Roth, Bo Waggoner, Zhiwei Steven Wu","10 January, 2018",,A Smoothed Analysis of the Greedy Algorithm for the Linear Contextual Bandit Problem,"Sampath Kannan, Jamie H. Morgenstern, Aaron Roth, Bo Waggoner, Zhiwei Steven Wu",December 2018,Neurips 2018,1
Faster Projection-free Convex Optimization over the Spectrahedron,Dan Garber,"19 May, 2016",,Faster Projection-free Convex Optimization over the Spectrahedron,"Dan Garber, Dan Garber",December 2016,Neurips 2016,1
Banach Wasserstein GAN,"Jonas Adler, Sebastian Lunz","11 January, 2019",,Banach Wasserstein GAN,"Jonas Adler, Sebastian Lunz",December 2018,Neurips 2018,1
Convolutional Neural Network Architectures for Matching Natural Language Sentences,"Baotian Hu, Zhengdong Lu, Hang Li, Qingcai Chen","11 March, 2015",,Convolutional Neural Network Architectures for Matching Natural Language Sentences,"Baotian Hu, Zhengdong Lu, Hang Li, Qingcai Chen",December 2014,Neurips 2014,1
Efficient and Parsimonious Agnostic Active Learning,"Tzu-Kuo Huang, Alekh Agarwal, Daniel J. Hsu, John Langford, Robert E. Schapire","7 January, 2016",,Efficient and Parsimonious Agnostic Active Learning,"Tzu-Kuo Huang, Alekh Agarwal, Daniel J. Hsu, John Langford, Robert E. Schapire",December 2015,Neurips 2015,1
Transfer Learning from Speaker Verification to Multispeaker Text-To-Speech Synthesis,"Ye Jia, Yu Zhang, Ron J. Weiss, Quan Wang, Jonathan Shen, Fei Ren, Zhifeng Chen, Patrick Nguyen, Ruoming Pang, Ignacio Lopez Moreno, Yonghui Wu","2 January, 2019","Advances in Neural Information Processing Systems 31 (2018), 4485-4495",Transfer Learning from Speaker Verification to Multispeaker Text-To-Speech Synthesis,"Ye Jia, Yu Zhang, Ron Weiss, Quan Wang, Jonathan Shen, Fei Ren, zhifeng Chen, Patrick Nguyen, Ruoming Pang, Ignacio Lopez Moreno, Yonghui Wu",December 2018,Neurips 2018,1
Found Graph Data and Planted Vertex Covers,"Austin R. Benson, Jon Kleinberg","3 May, 2018",,Found Graph Data and Planted Vertex Covers,"Austin R. Benson, Jon Kleinberg",December 2018,Neurips 2018,1
Learning to Reason with Third-Order Tensor Products,"Imanol Schlag, Jrgen Schmidhuber","8 January, 2019",,Learning to Reason with Third Order Tensor Products,"Imanol Schlag, Jrgen Schmidhuber",December 2018,Neurips 2018,1
Differentially Private Bayesian Learning on Distributed Data,"Mikko Heikkil, Eemil Lagerspetz, Samuel Kaski, Kana Shimizu, Sasu Tarkoma, Antti Honkela","29 May, 2017",,Differentially private Bayesian learning on distributed data,"Mikko Heikkil, Eemil Lagerspetz, Samuel Kaski, Kana Shimizu, Sasu Tarkoma, Antti Honkela",December 2017,Neurips 2017,1
Convolutional Neural Fabrics,"Shreyas Saxena, Jakob Verbeek","30 January, 2017",,Convolutional Neural Fabrics,"Shreyas Saxena, Jakob Verbeek",December 2016,Neurips 2016,1
Towards Generalization and Simplicity in Continuous Control,"Aravind Rajeswaran, Kendall Lowrey, Emanuel Todorov, Sham Kakade","20 March, 2018",,Towards Generalization and Simplicity in Continuous Control,"Aravind Rajeswaran, Kendall Lowrey, Emanuel V. Todorov, Sham M. Kakade",December 2017,Neurips 2017,1
Fully Understanding the Hashing Trick,"Casper Benjamin Freksen, Lior Kamma, Kasper Green Larsen","22 May, 2018",,Fully Understanding The Hashing Trick,"Casper B. Freksen, Lior Kamma, Kasper Green Larsen",December 2018,Neurips 2018,1
Optimal Black-Box Reductions Between Optimization Objectives,"Zeyuan Allen-Zhu, Elad Hazan","20 May, 2016",,Optimal Black-Box Reductions Between Optimization Objectives,"Zeyuan Allen-Zhu, Elad Hazan",December 2016,Neurips 2016,1
Geometric Matrix Completion with Recurrent Multi-Graph Neural Networks,"Federico Monti, Michael M. Bronstein, Xavier Bresson","22 April, 2017",,Geometric Matrix Completion with Recurrent Multi-Graph Neural Networks,"Federico Monti, Michael Bronstein, Xavier Bresson",December 2017,Neurips 2017,1
Does mitigating ML's impact disparity require treatment disparity?,"Zachary C. Lipton, Alexandra Chouldechova, Julian McAuley","11 January, 2019",,Does mitigating ML's impact disparity require treatment disparity?,"Zachary Lipton, Julian McAuley, Alexandra Chouldechova",December 2018,Neurips 2018,1
Augment-and-Conquer Negative Binomial Processes,"Mingyuan Zhou, Lawrence Carin","15 February, 2013",,Augment-and-Conquer Negative Binomial Processes,"Mingyuan Zhou, Lawrence Carin",December 2012,Neurips 2012,1
PG-TS: Improved Thompson Sampling for Logistic Contextual Bandits,"Bianca Dumitrascu, Karen Feng, Barbara E Engelhardt","18 May, 2018",,PG-TS: Improved Thompson Sampling for Logistic Contextual Bandits,"Bianca Dumitrascu, Karen Feng, Barbara Engelhardt",December 2018,Neurips 2018,1
Robust Regression via Hard Thresholding,"Kush Bhatia, Prateek Jain, Purushottam Kar","8 June, 2015",,Robust Regression via Hard Thresholding,"Kush Bhatia, Prateek Jain, Purushottam Kar",December 2015,Neurips 2015,1
Variational Inference for Gaussian Process Models with Linear Complexity,"Ching-An Cheng, Byron Boots","22 January, 2018",,Variational Inference for Gaussian Process Models with Linear Complexity,"Ching-An Cheng, Byron Boots",December 2017,Neurips 2017,1
Lipschitz regularity of deep neural networks: analysis and efficient estimation,"Kevin Scaman, Aladin Virmaux","28 May, 2018",,Lipschitz regularity of deep neural networks: analysis and efficient estimation,"Aladin Virmaux, Kevin Scaman",December 2018,Neurips 2018,1
Disease Trajectory Maps,"Peter Schulam, Raman Arora","29 June, 2016",,Disease Trajectory Maps,"Peter Schulam, Raman Arora",December 2016,Neurips 2016,1
Enhancing the Accuracy and Fairness of Human Decision Making,"Isabel Valera, Adish Singla, Manuel Gomez Rodriguez","25 May, 2018",,Enhancing the Accuracy and Fairness of Human Decision Making,"Isabel Valera, Adish Singla, Manuel Gomez Rodriguez",December 2018,Neurips 2018,1
COEVOLVE: A Joint Point Process Model for Information Diffusion and Network Co-evolution,"Mehrdad Farajtabar, Yichen Wang, Manuel Gomez Rodriguez, Shuang Li, Hongyuan Zha, Le Song","1 April, 2016",,COEVOLVE: A Joint Point Process Model for Information Diffusion and Network Co-evolution,"Mehrdad Farajtabar, Yichen Wang, Manuel Gomez Rodriguez, Shuang Li, Hongyuan Zha, Le Song",December 2015,Neurips 2015,1
Agnostic Active Learning Without Constraints,"Alina Beygelzimer, Daniel Hsu, John Langford, Tong Zhang","13 June, 2010",,Agnostic Active Learning Without Constraints,"Alina Beygelzimer, Daniel J. Hsu, John Langford, Tong Zhang",December 2010,Neurips 2010,1
Hybrid Macro/Micro Level Backpropagation for Training Deep Spiking Neural Networks,"Yingyezhe Jin, Wenrui Zhang, Peng Li","19 January, 2019",,Hybrid Macro/Micro Level Backpropagation for Training Deep Spiking Neural Networks,"Yingyezhe Jin, Wenrui Zhang, Peng Li",December 2018,Neurips 2018,1
Moonshine: Distilling with Cheap Convolutions,"Elliot J. Crowley, Gavin Gray, Amos Storkey","17 January, 2019",,Moonshine: Distilling with Cheap Convolutions,"Elliot J. Crowley, Gavin Gray, Amos J. Storkey",December 2018,Neurips 2018,1
Multi-Objective Non-parametric Sequential Prediction,"Guy Uziel, Ran El-Yaniv","19 March, 2017",,Multi-Objective Non-parametric Sequential Prediction,"Guy Uziel, Ran El-Yaniv",December 2017,Neurips 2017,1
Data-dependent PAC-Bayes priors via differential privacy,"Gintare Karolina Dziugaite, Daniel M. Roy","26 February, 2018",,Data-dependent PAC-Bayes priors via differential privacy,"Gintare Karolina Dziugaite, Daniel M. Roy",December 2018,Neurips 2018,1
Asymmetric LSH (ALSH) for Sublinear Time Maximum Inner Product Search (MIPS),"Anshumali Shrivastava, Ping Li","22 May, 2014",,Asymmetric LSH (ALSH) for Sublinear Time Maximum Inner Product Search (MIPS),"Anshumali Shrivastava, Ping Li",December 2014,Neurips 2014,1
Reliable Decision Support using Counterfactual Models,"Peter Schulam, Suchi Saria","1 February, 2018",,Reliable Decision Support using Counterfactual Models,"Peter Schulam, Suchi Saria",December 2017,Neurips 2017,1
Tight Sample Complexity of Large-Margin Learning,"Sivan Sabato, Nathan Srebro, Naftali Tishby","5 April, 2012","Advances in Neural Information Processing Systems 23 (NIPS), 2038-2046, 2010",Tight Sample Complexity of Large-Margin Learning,"Sivan Sabato, Nathan Srebro, Naftali Tishby",December 2010,Neurips 2010,1
Deep Learning with Topological Signatures,"Christoph Hofer, Roland Kwitt, Marc Niethammer, Andreas Uhl","16 February, 2018",,Deep Learning with Topological Signatures,"Christoph Hofer, Roland Kwitt, Marc Niethammer, Andreas Uhl",December 2017,Neurips 2017,1
Efficient Modeling of Latent Information in Supervised Learning using Gaussian Processes,"Zhenwen Dai, Mauricio A. lvarez, Neil D. Lawrence","27 May, 2017",,Efficient Modeling of Latent Information in Supervised Learning using Gaussian Processes,"Zhenwen Dai, Mauricio lvarez, Neil Lawrence",December 2017,Neurips 2017,1
Unsupervised Learning of 3D Structure from Images,"Danilo Jimenez Rezende, S. M. Ali Eslami, Shakir Mohamed, Peter Battaglia, Max Jaderberg, Nicolas Heess","19 June, 2018",,Unsupervised Learning of 3D Structure from Images,"Danilo Jimenez Rezende, S. M. Ali Eslami, Shakir Mohamed, Peter Battaglia, Max Jaderberg, Nicolas Heess",December 2016,Neurips 2016,1
Dynamic Network Model from Partial Observations,"Elahe Ghalebi, Baharan Mirzasoleiman, Radu Grosu, Jure Leskovec","25 February, 2019",,Dynamic Network Model from Partial Observations,"Elahe Ghalebi, Baharan Mirzasoleiman, Radu Grosu, Jure Leskovec",December 2018,Neurips 2018,1
Estimating Mixture Models via Mixtures of Polynomials,"Sida I. Wang, Arun Tejasvi Chaganty, Percy Liang","28 March, 2016",,Estimating Mixture Models via Mixtures of Polynomials,"Sida Wang, Arun Tejasvi Chaganty, Percy S. Liang",December 2015,Neurips 2015,1
Learn What Not to Learn: Action Elimination with Deep Reinforcement Learning,"Tom Zahavy, Matan Haroush, Nadav Merlis, Daniel J. Mankowitz, Shie Mannor","24 February, 2019",Advances in Neural Information Processing Systems (pp. 3566-3577). 2018,Learn What Not to Learn: Action Elimination with Deep Reinforcement Learning,"Tom Zahavy, Matan Haroush, Nadav Merlis, Daniel J. Mankowitz, Shie Mannor",December 2018,Neurips 2018,1
Generalized Beta Mixtures of Gaussians,"Artin Armagan, David B. Dunson, Merlise Clyde","13 March, 2012",,Generalized Beta Mixtures of Gaussians,"Artin Armagan, Merlise Clyde, David B. Dunson",December 2011,Neurips 2011,1
Speeding up Permutation Testing in Neuroimaging,"Chris Hinrichs, Vamsi K Ithapu, Qinyuan Sun, Sterling C Johnson, Vikas Singh","11 February, 2015","Advances in neural information processing systems (2013), pp. 890-898",Speeding up Permutation Testing in Neuroimaging,"Chris Hinrichs, Vamsi K. Ithapu, Qinyuan Sun, Sterling C. Johnson, Vikas Singh",December 2013,Neurips 2013,1
Near-optimal sample compression for nearest neighbors,"Lee-Ad Gottlieb, Aryeh Kontorovich, Pinhas Nisnevitch","26 March, 2018",,Near-optimal sample compression for nearest neighbors,"Lee-Ad Gottlieb, Aryeh Kontorovich, Pinhas Nisnevitch",December 2014,Neurips 2014,1
Learning a Probabilistic Latent Space of Object Shapes via 3D Generative-Adversarial Modeling,"Jiajun Wu, Chengkai Zhang, Tianfan Xue, William T. Freeman, Joshua B. Tenenbaum","4 January, 2017",,Learning a Probabilistic Latent Space of Object Shapes via 3D Generative-Adversarial Modeling,"Jiajun Wu, Chengkai Zhang, Tianfan Xue, Bill Freeman, Josh Tenenbaum",December 2016,Neurips 2016,1
Weakly-supervised Disentangling with Recurrent Transformations for 3D View Synthesis,"Jimei Yang, Scott Reed, Ming-Hsuan Yang, Honglak Lee","4 January, 2016",,Weakly-supervised Disentangling with Recurrent Transformations for 3D View Synthesis,"Jimei Yang, Scott E. Reed, Ming-Hsuan Yang, Honglak Lee",December 2015,Neurips 2015,1
"Adaptive Skills, Adaptive Partitions (ASAP)","Daniel J. Mankowitz, Timothy A. Mann, Shie Mannor","7 June, 2016",,Adaptive Skills Adaptive Partitions (ASAP),"Daniel J. Mankowitz, Timothy A. Mann, Shie Mannor",December 2016,Neurips 2016,1
A Scale Free Algorithm for Stochastic Bandits with Bounded Kurtosis,Tor Lattimore,"27 March, 2017",,A Scale Free Algorithm for Stochastic Bandits with Bounded Kurtosis,Tor Lattimore,December 2017,Neurips 2017,1
Generative Neural Machine Translation,"Harshil Shah, David Barber","13 June, 2018",,Generative Neural Machine Translation,"Harshil Shah, David Barber",December 2018,Neurips 2018,1
Variational Information Maximization for Feature Selection,"Shuyang Gao, Greg Ver Steeg, Aram Galstyan","9 June, 2016",,Variational Information Maximization for Feature Selection,"Shuyang Gao, Greg Ver Steeg, Aram Galstyan",December 2016,Neurips 2016,1
Optimal Algorithms for Continuous Non-monotone Submodular and DR-Submodular Maximization,"Rad Niazadeh, Tim Roughgarden, Joshua R. Wang","23 May, 2018",,Optimal Algorithms for Continuous Non-monotone Submodular and DR-Submodular Maximization,"Rad Niazadeh, Tim Roughgarden, Joshua Wang",December 2018,Neurips 2018,1
Exponential expressivity in deep neural networks through transient chaos,"Ben Poole, Subhaneil Lahiri, Maithra Raghu, Jascha Sohl-Dickstein, Surya Ganguli","17 June, 2016",,Exponential expressivity in deep neural networks through transient chaos,"Ben Poole, Subhaneil Lahiri, Maithra Raghu, Jascha Sohl-Dickstein, Surya Ganguli",December 2016,Neurips 2016,1
BRITS: Bidirectional Recurrent Imputation for Time Series,"Wei Cao, Dong Wang, Jian Li, Hao Zhou, Lei Li, Yitan Li","26 May, 2018",,BRITS: Bidirectional Recurrent Imputation for Time Series,"Wei Cao, Dong Wang, Jian Li, Hao Zhou, Lei Li, Yitan Li",December 2018,Neurips 2018,1
GAP Safe Screening Rules for Sparse-Group-Lasso,"Eugene Ndiaye, Olivier Fercoq, Alexandre Gramfort, Joseph Salmon","19 February, 2016",,GAP Safe screening rules for sparse multi-task and multi-class models,"Eugene Ndiaye, Olivier Fercoq, Alexandre Gramfort, Joseph Salmon",December 2015,Neurips 2015,1
Efficient Reinforcement Learning for High Dimensional Linear Quadratic Systems,"Morteza Ibrahimi, Adel Javanmard, Benjamin Van Roy","24 March, 2013",Advances in Neural Information Processing Systems (NIPS) 2012: 2645-2653,Efficient Reinforcement Learning for High Dimensional Linear Quadratic Systems,"Morteza Ibrahimi, Adel Javanmard, Benjamin V. Roy",December 2012,Neurips 2012,1
"Nonlocal Neural Networks, Nonlocal Diffusion and Nonlocal Modeling","Yunzhe Tao, Qi Sun, Qiang Du, Wei Liu","24 January, 2019",,"Nonlocal Neural Networks, Nonlocal Diffusion and Nonlocal Modeling","Yunzhe Tao, Qi Sun, Qiang Du, Wei Liu",December 2018,Neurips 2018,1
Nonparametric Reduced Rank Regression,"Rina Foygel, Michael Horrell, Mathias Drton, John Lafferty","9 January, 2013",,Nonparametric Reduced Rank Regression,"Rina Foygel, Michael Horrell, Mathias Drton, John D. Lafferty",December 2012,Neurips 2012,1
Global Optimality of Local Search for Low Rank Matrix Recovery,"Srinadh Bhojanapalli, Behnam Neyshabur, Nathan Srebro","26 May, 2016",,Global Optimality of Local Search for Low Rank Matrix Recovery,"Srinadh Bhojanapalli, Behnam Neyshabur, Nati Srebro",December 2016,Neurips 2016,1
World Models,"David Ha, Jrgen Schmidhuber","9 May, 2018",,Recurrent World Models Facilitate Policy Evolution,"David Ha, Jrgen Schmidhuber",December 2018,Neurips 2018,1
"A Model for Learned Bloom Filters, and Optimizing by Sandwiching",Michael Mitzenmacher,"3 January, 2019",,A Model for Learned Bloom Filters and Optimizing by Sandwiching,Michael Mitzenmacher,December 2018,Neurips 2018,1
Random Feature Stein Discrepancies,"Jonathan H. Huggins, Lester Mackey","24 January, 2019",,Random Feature Stein Discrepancies,"Jonathan Huggins, Lester Mackey",December 2018,Neurips 2018,1
Non-strongly-convex smooth stochastic approximation with convergence rate O(1/n),"Francis Bach, Eric Moulines","10 June, 2013",,Non-strongly-convex smooth stochastic approximation with convergence rate O(1/n),"Francis Bach, Eric Moulines",December 2013,Neurips 2013,1
Deep Convolutional Inverse Graphics Network,"Tejas D. Kulkarni, Will Whitney, Pushmeet Kohli, Joshua B. Tenenbaum","21 June, 2015",,Deep Convolutional Inverse Graphics Network,"Tejas D. Kulkarni, William F. Whitney, Pushmeet Kohli, Josh Tenenbaum",December 2015,Neurips 2015,1
GAP Safe Screening Rules for Sparse-Group-Lasso,"Eugene Ndiaye, Olivier Fercoq, Alexandre Gramfort, Joseph Salmon","19 February, 2016",,GAP Safe Screening Rules for Sparse-Group Lasso,"Eugene Ndiaye, Olivier Fercoq, Alexandre Gramfort, Joseph Salmon",December 2016,Neurips 2016,1
Neural Discrete Representation Learning,"Aaron van den Oord, Oriol Vinyals, Koray Kavukcuoglu","30 May, 2018",,Neural Discrete Representation Learning,"Aaron van den Oord, Oriol Vinyals, koray kavukcuoglu",December 2017,Neurips 2017,1
Unorganized Malicious Attacks Detection,"Ming Pang, Wei Gao, Min Tao, Zhi-Hua Zhou","17 February, 2018",,Unorganized Malicious Attacks Detection,"Ming Pang, Wei Gao, Min Tao, Zhi-Hua Zhou",December 2018,Neurips 2018,1
The Randomized Dependence Coefficient,"David Lopez-Paz, Philipp Hennig, Bernhard Schlkopf","3 June, 2013",,The Randomized Dependence Coefficient,"David Lopez-Paz, Philipp Hennig, Bernhard Schlkopf",December 2013,Neurips 2013,1
Penalty Decomposition Methods for Rank Minimization,"Zhaosong Lu, Yong Zhang","29 May, 2012",,Penalty Decomposition Methods for Rank Minimization,"Yong Zhang, Zhaosong Lu",December 2011,Neurips 2011,1
Gradient Estimation Using Stochastic Computation Graphs,"John Schulman, Nicolas Heess, Theophane Weber, Pieter Abbeel","5 January, 2016",,Gradient Estimation Using Stochastic Computation Graphs,"John Schulman, Nicolas Heess, Theophane Weber, Pieter Abbeel",December 2015,Neurips 2015,1
Robust Hypothesis Testing Using Wasserstein Uncertainty Sets,"Rui Gao, Liyan Xie, Yao Xie, Huan Xu","27 May, 2018",,Robust Hypothesis Testing Using Wasserstein Uncertainty Sets,"RUI GAO, Liyan Xie, Yao Xie, Huan Xu",December 2018,Neurips 2018,1
Hardware Conditioned Policies for Multi-Robot Transfer Learning,"Tao Chen, Adithyavairavan Murali, Abhinav Gupta","12 January, 2019",,Hardware Conditioned Policies for Multi-Robot Transfer Learning,"Tao Chen, Adithyavairavan Murali, Abhinav Gupta",December 2018,Neurips 2018,1
