ID_A,ID_B,Flag,Title_A,Title_B,Model_Number_A,Model_Number_B,Brand_A,Brand_B,Price_A,Price_B
1477,11084,,Garmin eTrex Summit HC Handheld GPS Receiver 010-00633-00,Garmin eTrex Summit HC Handheld GPS Receiver,010-00633-00,010-00633-00,Garmin,Garmin,166.88,166.88
2194,9731,,Plustek BookReader V100 - B66-BBE21-A,Plustek Book Reader V100,B66-BBE21-A,B66-BBE21-A,Plustek,Plustek,539.88,476.7
2126,16073,,Scosche IT4SCBK TCH 3 Switchback,Scosche switchKASE Hybrid Case for iPod Touch 4G Black,IT4SCBK,IT4SCBK,Scosche,Scosche,32.88,15.25
2541,5176,,ZyXEL HomePlug AV 200Mbps Powerline Wall Plug Adapter,ZyXEL PLA401v3 HomePlug AV 200 Mbps Powerline Wall-plug Adapter,PLA401V3,PLA401v3,ZyXEL,ZyXEL,47.92,47.92
1772,236,,Lexmark C9202 Toner 14000 Page-Yield,New-C9202KH Toner 14000 Page Yield Black Case Pack 1 - 516736,C9202KH,,Lexmark,Lexmark,288.86,663.42
655,14490,,Case Logic Universal MP3 Armband Clear Front Panel Gray,Caselogic UMA-102Gray Medium Universal MP3 Sport Case Gray,UMA-102GRAY,UMA-102Gray,Case Logic,Case Logic,10.09,10.09
1440,1637,,Samsung CLT-R409 Imaging Drum Unit For CLP-310 CLP-315 and CLP-3170 Printers,Drum for CLT-R409,CLT-R409,CLT-R409/SEE,Samsung,Samsung,144.84,131.98
497,4497,,Case Logic Universal Pocket- Camouflage,Case Logic UPC-2 Mossy Oak Universal Pocket,122245,UPC-2,Case Logic,Case Logic,9.59,11.99
2159,9027,,HP Black Notebook Sleeve,HP 16 Inch Notebook Sleeve - Onyx,HP NU561AA,NU561AA#ABA,HP,HP,15,18.32
1066,10601,,Buffalo Technology 500GB MiniStation Metro Black,Buffalo Technology MiniStation Metro 500 GB USB 2.0 Portable Hard Drive with Integrated Flex Cable Encryption and TurboPC - Blue Onyx HD-PXT500U2 B,HDPXT500U2B,HD-PXT500U2/B,Buffalo Technology,Buffalo Technology,79.82,63.99
240,10618,,NETGEAR Wireless Router for Video and Gaming,NETGEAR Wireless Router for Video and Gaming WNDR37AV,WNDR37AV-100NAS,WNDR37AV-100NAS,NETGEAR,Netgear,129,119.99
1627,13620,,HP Q1421A Universal Semi-gloss Photo Paper,HP Universal Semi-Gloss Photo Paper 36 Inches x 100 Feet Roll,Q1421A,Q1421A,HP,HP,94.88,74.14
2070,21449,,Kodak 10C Color Ink Cartridge,Kodak Color Ink Cartridge 8946501,10C,8946501,Kodak,Kodak,19.97,17.99
837,8740,0,Marware Eco-Vue for iPad,Marware Eco-Vue for iPad,6.02956E+11,6.02956E+11,,Marware,54.99,11.99
2152,7339,,Polaroid UltraClear Screen Protector Bold 9000,ULTRACLEAR SCREEN PROTECTOR FOR BOLD9000 PORTABLE AUDIO CELLULAR ACCESSORIES,PSCUCBB9000,PSCUCBB9000,Polaroid,Polaroid,14.99,11.87
236,21784,,Avery Worksaver Big Tab Plastic Dividers Two Slash Pockets Eight-Tab Assorted,Avery 11907 - WorkSaver Big Tab Plastic Dividers Two Slash Pockets 8-Tab Assorted,11907,,Avery,Avery,5.88,12
397,17849,0,Epson S041062 Presentation Paper,Epson S041062 - Matte Presentation Paper 27 lbs. Matte 8-1 2 x 11 100 Sheets Pack,S041062,,Epson,Epson,19.88,31.78
1211,1325,,Verbatim 10-Pack 50GB 6x Blu-ray Double Layer Recordable Disc,Verbatim 97335 50 GB 6x Blu-ray Double Layer Recordable Disc BD-R DL 10-Disc Spindle,97335,97335,Verbatim,Verbatim,94.88,71.99
2483,19120,,3M Porcelain Marker Board Steel Backed 6 x4 Aluminum,Premium Porcelain Dry Erase Board,,,3M,3M,462.79,293.77
1838,13678,0,Startech HDMI to Mini HDMI Cable Adapter,HDmi Cable Adapter Hdmi To Mini Hdmi Cable Adapter for m,HDMIACFM,HDMIACFM,StarTech,StarTech,14.98,4.74
1081,14455,,Coby Personal Mini Stereo Speaker System CSP14,COBY CS-P14 Personal Mini Stereo Speakers,CSP14,CS-P14,Coby,Coby,14,8.56
1194,4494,,Ape Case AC165 Digital Camera Case,Ape Case Small Digital Camera Bag AC165,AC165,AC165,Ape Case,Norazza,12.85,12.85
2497,12025,,Acer 23  Wide LCD Monitor Black  V EPEAT,Acer ET.VV3HP.A01 23-Inch Widescreen LCD Monitor Black,V233HAJBD,ET.VV3HP.A01,Acer,Acer,142,149.09
1478,2433,,Actiontec MegaPlug 85Mbps Powerline Ethernet Adapter Kit Two-Pack,Actiontec MegaPlug 85 Mbps Ethernet Adapter Twin-Pack,HLE0850001K,HLE08500-01K,ActionTec,Actiontec,69.99,65.99
1560,14554,0,Paper Mate Mechanical Pencil Starter Set,Paper Mate 1739312 - MegaLead Mechanical Pencil Starter Set 0.7 mm 2 Erasure Refills Blue Barrel,1739312,,Paper Mate,Paper Mate,4.87,23.96
1039,5011,,HP C7973W Ultrium 800 GB WORM Data Cartridge,Hewlettpkr 1 2 Ultrium Lto-3 Cartridge 2200Ft 400Gb Native 800Gb Compressed Capacity,C7973W,,HP,HP,29.42,28.09
562,18153,,Da-Lite Da-Plex Self Trimming Rear Projection Screen - 96 x 120 AV Format,Da-Lite 27903 Da-Plex Self Trimming Rear Projection Screen - 96 x 120 AV Format,27903,,Da-Lite,Da-Lite,7799.99,
2075,17804,,Basyx Return Shell 48-1 4 x24 x29 Medium Cherry,New-basyx BL2145A1A1 - BL Series Return Shell 48-1 4w x 24d x 29h Medium Cherry - BSXBL2145A1A1,,,Basyx,Basyx,252,194
484,9131,,Micronet MDE1000 1TB Fantom G-Force MegaDisk USB 2.0 eSATA Raid Sub System,Fantom MDE1000 G-Force Megadisk 1 TB USB 2.0 eSATA,MDE1000,MDE1000,MICRONET,Micronet,159,170.79
785,21197,,Manhattan 150705 SuperSpeed USB to SATA Adapter,MANHATTAN 150705 SUPERSPEED USB TO SATA ADAPTER,150705,,,Manhattan,47.84,
1414,2789,,Logitech 910-002463 Wireless Mouse M305 Silver Filament,Logitech Wireless Mouse M305 Silver Filament  910-002463,910-002463,910-002463,Logitech,Logitech,28.88,20.95
1010,781,,Buffalo Technology MediaStation 6x Blu-ray Writer,Buffalo Technology MediaStation 6X Portable Blu-Ray Writer BR-PX68U2 BK Black,BRPX68U2BK,BR-PX68U2/BK,Buffalo Technology,Buffalo Technology,164.82,160.99
2089,22026,,Targus Red TG-6660TR Tripod With 3-Way Panhead,Targus Digital TG-6660TR 66-Inch Tripod with 3-Way Panhead,TG-6660TR,TGT-66TR,Targus,Targus,29.98,30.39
1536,19000,,Mercury Luggage Executive Computer Backpack,Executive Computer Backpack,,,Mercury Luggage,Mercury,56.99,41.58
1993,1275,,Wintec FileMate 4GB SDHC Secure Digital Flash Memory Card,Wintec Filemate 4 GB Class 4 Secure Digital SDHC Card,3FMSD4GB-R,3FMSD4GB-R,Wintec,Wintec,7.99,6.77
347,8305,,Belkin Pro Series 6 USB 2.0 5-Pin Min-B Cable,Belkin F3U138-06 Pro Series USB 5-Pin Mini-B Cable 6-Feet,F3U138-06,F3U138-06,Belkin,Belkin,6.07,5.05
383,12583,,Casio Exilim EX-ZS5 14.1MP Digital Camera Silver w 5x Optical Zoom 2.7  LCD Display,Casio Exilim EX-ZS5 14 MP Stylish and Slim Digital Camera with 5x Wide-Angle Zoom Silver,,EX-ZS5 Red,Casio,Casio,100,
1399,4587,,NETGEAR Universal Wi-Fi Range Extender,Netgear Universal Wi-Fi Range Extender WN3000RP,WN3000RP100NAS,WN3000RP,NETGEAR,Netgear,79.88,69.66
2409,5519,,Sima 2-In-1 Lens Cleaner,Sima Lens Pen,PLE,PLE,Sima,Sima,9.88,7.95
2166,21077,,Targus RG0315C Pulse Backpack Notebook Case,Targus RG0315C Pulse Backpack for Notebooks up to 15.4-Inch Screens Black,,RG0315C,Targus,Targus,38.88,32.82
1654,1650,,Sabrent 32 USB 2.0 Active Extension Cable,Sabrent CB-USBXT USB 2.0 Type A Male to Type A Female Active Extension Cable 32 feet,CB-USBXT,CB-USBXT,Sabrent,Sabrent,13.88,16.99
94,8351,,Audiovox Sirius CATV Distribution Kit,AudioVox Sirius SCDK1 Outdoor Antenna CATV Distribution Kit,SCDK1,SCDK1,Audiovox,Audiovox,42.64,33.96
640,7372,,Audiosource BI5 5  In-Wall Construction Bracket Mount,AUDIOSOURCE BI5 5.25 IN-WALL CONSTRUCTION BRACKET MOUNT,BI5,,AudioSource,Sharp,25.88,32
1386,17537,,Trodat Trodat Econ Micro 5-in-1 Message Stamp Dater Self-Inking 1 x 3 4 Blue Red,Trodat E4850L - Trodat Econ Micro 5-in-1 Message Stamp Dater Self-Inking 1 x 3 4 Blue Red,T4850L,,,Trodat,14.47,
247,19032,,iLuv iPod nano 6G Clear Type Protective Film,ILUV ICC1112CLR IPOD NANO 6G CLEAR TYPE PROTECTIVE FILM,ICC1112CLR,,iLuv,Apple,11.88,9
361,19151,,Scosche FPTAG Anti-Glare Screen Protectors for iPod touch 2pk,New-SCOSCHE FPTAG IPOD TOUCH 4G ANTI-GLARE SCREEN PROTECTORS 2 PK - SISFPTAG,FPTAG,,Scosche,Scosche,16.88,14.99
1225,8071,,Vantec NexStar MX Dual 3.5  Dual Bay External Hard Drive Enclosure with JBOD RAID 0 1,Vantec NexStar MX NST-400MX-SR Dual 3.5-Inch SATA to USB 2.0 and eSATA with JBOD RAID 0 1 External Hard Drive Enclosure Black,NST-400MX-SR,NST-400MX-SR,Vantec,Vantec,100.21,91.99
2027,18649,,Canon 8367A001AA BCI-1421 Black Ink Tank For image PROGRAF W8200Pg Large Format Printer,Canon Comp. BCI-1421BK - PIGMENT 8367A001AA,8367A001AA,8367A001AA,Canon,Canon,149,124.95
416,17244,,Quartet Magnetic Dry-Erase Board Mahogany Frame,Quartet 2544M - Magnetic Dry Erase Board Porcelain 48 x 36 White Solid Mahogany Frame,2544M,,Quartet,Quartet,419,
1252,2074,,Diamond Radeon HD 5450 PCI-E 512MB DDR3 Graphics Card,Radeon HD5450 512MB Pcie DDR3,5450PE3512SB,5450PE3512SB,Diamond,Diamond Multimedia,46.88,45.03
592,5595,,Sabrent USB 2.0 to DB25F Parallel Printer Cable,Sabrent USB to DB25 Female Parallel Converter Adapter 6-Foot Cable USB-DB25F,USB-DB25F,USB-DB25F,Sabrent,Sabrent,9.88,11.56
2101,20732,,Imation 26654 Swivel 8GB USB2.0  Flash Drive,Imation 8GB Swivel Flash Drive,26654,26654,Imation,Imation,25.84,17.58
715,16479,,Vivitar High Definition .43x Wide Angle Lens Attachment,Vivitar High Defifinition 43X Wide Angle 58MM,VIV-43-58W,VIV-43-58W,Vivitar,Vivitar,22.88,17.99
875,5645,,Quantum MR-S4MQN-01 DLTtape S4 Cartridge,Quantum Data Cartridge Dlttape S4 Warranty Mw,MR-S4MQN-01,MR-S4MQN-01,Quantum,Quantum,97.88,95.24
819,980,,Incipio iPod Touch 4G SILICRYLIC Hard Shell Case with Silicone Core All Black,Incipio SILICRYLIC for iPod Touch 4G Black Black,IP-904,IP-904,INCIPIO,Incipio,28.5,20.28
1263,12735,,Manfrotto Unica V DSLR Messenger Bag,Manfrotto MB SM390-5BC UNICA V Messenger Bag Brown,MB-SM390-5BC,MB SM390-5BC,Manfrotto,Manfrotto,89.99,89.89
540,11543,,SIIG CE-MT0B12-S1 Satellite Speaker Mounts in Pair,Satellite Speaker MOUNTS-1PAIR,CE-MT0B12-S1,CE-MT0B12-S1,SIIG,SIIG,20.88,20.64
1283,1241,,D-Link Systems PowerLine AV 4-Port Switch Starter Kit DHP-347AV,D-Link Systems PowerLine AV 4-Port Switch Starter Kit DHP-347AV,DHP-347AV,DHP-347AV,D-Link,D-Link,112,117.2
417,19476,,Belkin Conserve Socket Power Timer,Belkin Conserve Socket F7C009q Energy-Saving Outlet,F7C009q,F7C009q,Belkin,Belkin,12,9.99
2254,11266,,VisonTek Wireless CandyBoard Mini Keyboard with Touchpad,VisionTek CANDYBOARD Wireless Mini Keyboard with Touchpad 900319,900319,900319,Visiontek,VisionTek,59.82,49.99
2119,20622,,Antec TriCool 92mm Double Ball Bearing Case Fan,Antec TriCool 92mm DBB Case Fan with 3-Spd Switch 3 4-Pin 3-Pin Monitoring,TRICOOL 92MM DBB,TriCool 92mm DBB,ANTEC,Antec,8.25,8.25
1397,2439,,DJ-Tech T545A 15  600W 2-Way Active Loudspeaker,DJTECH SUPER POWERED 15 600 W DJ SPKRS,T545A,T545A,DJ Tech,DJ-Tech,358,396.74
1616,12974,,Lifeworks Technology Power Dock for iPad and iPad 2,iHome Power Dock for iPad 1 and 2 IH-IP2006,IH-IP2006,IH-IP2006,iHome,iHome,0,39.99
2195,18385,,Fellowes HD Precision Cordless Mouse,New-Fellowes 98904 - Optical HD Precision Cordless Gel Mouse Five-Button Scroll Blue Sliver - FEL98904,98904,,Fellowes,Fellowes,44.84,82
1356,560,,Cooler Master Vortex Plus CPU Cooler,Cooler Master Vortex Plus CPU Cooler RR-VTPS-28PK-R1,RRVTPS28PKR1,RR-VTPS-28PK-R1,Coolermaster,Cooler Master,30,25.15
492,19958,,Pioneer ADTVA133 2-Din Installation Kit,Pioneer ADTVA133 2 Din Installation Kit,ADT-VA133,ADT-VA133,Pioneer,Pioneer,41.88,35.04
1064,3146,,Fujitsu ScanSnap S1500 Compact Color Duplex Scanner with Rack2File Software,Fujitsu ScanSnap S1500 Deluxe Bundle Sheet-Fed Scanner,PA03586-B015,FI-S1500-SR,Fujitsu,Fujitsu,500.6,440.99
192,11198,,D-Link DKVM-8E 8- Port KVM Switch,D-Link DKVM 8E - KVM switch - PS 2 - 8 x KVM port s - 1 local user - desktop,DKVM-8E,DKVM-8E,D-Link,D-Link,179.82,207.82
682,20252,,Optoma BL-FP200C Replacement Projector Lamp for HD70 Home Theater Projector,Optoma BL-FP200C Replacement Lamp for HD70 Home Theater Projector,BL-FP200C,BL-FP200C,Optoma,Optoma,264.84,219.39
109,12442,,Imation 26607 RDX Cartridge Hard Drive,160GB Cartridge for Rdx Govt Series Taa,26607,26718,Imation,Imation,117.84,156.83
92,17688,,Da-Lite Deluxe Anti-Sway Brace For Fast Fold Deluxe Screens,Deluxe Anti-Sway Brace For Fast Fold Deluxe Screens,93605,,Da-Lite,Da-Lite,132.99,132.99
2168,17734,,LifeWorks Netbook Cooling Pad Mouse Kit IHB931NR,New-Netbook Cooling Pad Mouse Kit - IHB931NR,IHB931NR,,LIFEWORKS,Lifeworks,49.88,70
2147,6471,,Cooler Master NotePal U2 Black,Cooler Master Notepal U2 Notebook Cooler with Two Fans R9-NBC-8PBK-GP,R9-NBC-8PBK-GP,R9-NBC-8PBK-GP,Coolermaster,Cooler Master,24.82,20.13
2369,15352,,Thermaltake Tt eSports Challenger Ultimate Gaming Keyboard,Thermaltake Tt eSPORTS Challenger Ultimate Gaming Keyboard Fan Cooler 64KB On-board Memory KB-CHU003US Black with Black Light Switch,KB-CHU003US,KB-CHU003US,Thermaltake,Thermaltake,89.52,86
1455,10761,,Lexmark X644A11A Black Toner Print Cartridge,Lexmark X644E X646E Return Program Print Cartridge,X644A11A,X644A11A,Lexmark,Lexmark,326.24,205.14
545,13665,,PNY 2GB SD Memory Card,PNY Optima 2GB SD Class 4 Flash Memory Card P-SD2GB-EF,P-SD2GB-FS,P-SD2GB-EF,PNY,PNY,6.98,3.97
708,8043,,LG 42  ultra- slim 42LV5500,42LV5500 42 Class 1080P 120Hz LED TV with SmartTV,42LV5500,,LG,LG,879,1029.99
449,13174,,Ematic Full-Motion Wall Mount Kit for 37  TV With 6FT HDMI Cable 15FT HDMI Cable Cleaning Solution Cleaning Cloth EMW5001,Ematic EMW5001 Full-Motion Wall Mount Kit for 37-Inch to 50-Inch TV with 6-Feet and 15-Feet HDMI Cable Cleaning Solution and Cleaning Cloth,EMW5001,EMW5001,Ematic,Ematic,84,79.99
2401,10788,,BenQ MS510 3D-Ready DLP Projector,MS510 SVGA3D 700ANSI Lumens 7.3 Ibs 4000 1 HDmi X 1,MS510,MS510,BenQ,BenQ,599,549.85
956,4703,,LowePro Apex AW10 All-Weather Ultra-Compact Digital Camera Case,Lowepro Apex 10 AW Black,LP34977,34977,Lowepro,Lowepro,17.84,11.99
1378,12162,,Office Star Products 93 Series Leather Visitors Chair with Loop Arms Black,Office Star EX81243 - 93 Series Leather Visitors Chair w Loop Arms Black,,,Office Star,Office Star,179.49,
605,15830,,Genius EasyPen i405 Graphics Tablet - 4  - 2540 lpi - Pen - USB,Genius EasyPen i405 Graphics Tablet Silver,31100058100,31100058100,Genius,Genius,47.82,35.35
679,8963,,iLive App-Enhanced Boom Box with iPod iPhone Dock,iLive iBP391B Portable App-Enhanced Boombox AM FM Radio with Dock for iPhone iPod,iBP391B,iBP391B,iLive,iLive,63.88,41.24
1852,13349,,TP-Link TL-ANT2405CL 2.4GHz 5dBi Indoor Omni-Directional Antenna,TP-Link TL-ANT2405C 2.4 GHz 5dBi Indoor Desktop Omni-Directional Antenna,TL-ANT2405CL,TL-ANT2405C,TP Link,TP-Link,8.88,4.49
721,13399,,Sunpak 67mm Circular Polarized Filter,Sunpak 67mm Circular Polarized Filter,CF-7061 CP,CF-7061-CP,Sunpak,SunPak,18,14.99
2516,4425,,Corsair 115GB Solid State Drive Corsair Force Series,Corsair Force Series 115 GB SATA 3.0 Gb-s 2.5-Inch High Performance SATA II Solid State Drive F115GB2-BRKT-A,CSSDF115GBP2BRK,CSSD-F115GB2-BRKT-A,Corsair,Corsair,261.25,178.12
8,1304,,Visioneer RW120-WU RoadWarrior Sheetfed Scanner,Visioneer RoadWarrior Mobile 600 DPI USB Scanner RW120-WU,RW120-WU,RW120-WU,Visioneer,Visioneer,199.98,
785,12734,,Manhattan 150705 SuperSpeed USB to SATA Adapter,Manhattan 150705 Superspeed USB To SATA Adapter,150705,150705,,Manhattan,47.84,41.84
1335,8619,,Canon CLI-226 Black Ink Tank,Canon CLI-226 Black Ink Tank 4546B001 in Retail Packaging,,4546B001,Canon,Canon,0,13.97
1685,17949,,Rolodex Business Card Binder with A-Z Tabs Black,New-Rolodex 66451 - Business Card Binder with A-Z Tabs Holds 200 2 1 4 x 4 Cards Black - ROL66451,66451,,ROLODEX,Rolodex,27.94,44
1490,2078,,Quartet Contour Fabric Bulletin Board,Quartet 7693M - Contour Fabric Bulletin Board 36 x 24 Mauve Plastic Burgundy Frame,7693M,,Quartet,Quartet,73.24,
1642,11045,,Griffin PowerBlock Dual Universal Black,Griffin PowerBlock Dual Universal Charger for MP3 Players and USB Devices Black,NA23061,7263-PBLKUN2B,Griffin,Griffin Technology,27.88,10.99
2335,10109,,Targus 15.6  CityLite Laptop Case,Targus CityLite Top-Loading Case Designed for 15.6 Inch Laptops TBT053US Black,TBT053US,TBT053US,Targus,Targus,39.19,27
1727,18464,,Guardian Ecoguard Indoor Rubber Wiper Mats 24 X 36 Charcoal,Guardian EG020304 - EcoGuard Indoor Wiper Mats Rubber 24 x 36 Charcoal-MLLEG020304,EG020304,,Guardian,Guardian,23.97,
1549,9246,,Whistler Laser Radar Detector with Enhanced High Performance Improved Ka Band Sensitivity Ka Max Mode,Whistler Xtr-690se High Performance Radar Detector,XTR690 SE,XTR-690SE,Whistler,Whistler Radar,178.88,146.73
453,16646,,Quartet ReWritables Dry Erase Mini-Markers Fine Point 6 Assorted Colors,Quartet 51659312 - ReWritables Dry Erase Mini-Markers Fine Point Six Colors 6 Set,5.1659312E7,,Quartet,Quartet,4.54,23.29
724,9676,,Razer Orochi Bluetooth Laser Gaming Mouse - RZ01-00300100-R3U1,Razer Orochi Elite Mobile Gaming Mouse,RZ01-00300100-R3U1,RZ01-00300100-R3U1,Razer,Razer,69.84,57.99
1401,14944,,HP 82 Cyan Inkjet Cartridge CH566A,HP 82 - Print cartridge - 1 x cyan,HP CH566A,CH566A,HP,HP,29.88,
1834,9343,,Scosche 1993-Up Select Subaru Power 4-Speaker Connector,Scosche SU03B Power 4-Speaker Connector for 1993-Up Select Subaru,SU03B,SU03B,Scosche,Scosche,9.88,9.65
2060,5735,,Panasonic KX-TG6445T 5-Handset DECT Talking Caller ID with Dual Keypad Telephone,Panasonic KX-TG6445T DECT 6.0 Cordless Phone with Answering System Metallic Black 5 Handsets,KX-TG6445T,KX-TG6445T,Panasonic,Panasonic,108.84,108.84
397,7150,,Epson S041062 Presentation Paper,Epson Amer Matte Presentation Paper 27 Lbs. Matte 8-1 2 X 11 100 Sheets Pack,S041062,,Epson,Epson,19.88,20.45
6,10423,,3M FR530CB Ergonomic Adjustable Footrest,3M FR530CB - Adjustable Steel Footrest Nonslip Surface 22w x14d Charcoal Black,FR530CB,,3M,3M,67.88,
454,10900,,Incipio AK-334 Kaddy Nylon Folio For Amazon Kindle 3 Black,Incipio Kaddy Nylon Kindle Case Black Fits 6 Display Latest Generation Kindle,AK-334,AK-334,INCIPIO,Incipio,28.5,29.99
2406,8669,,HP LaserJet 53X Black Print Cartridge,HP LaserJet 53X Black Print Cartridge in Retail Packaging,Q7553X,Q7553X,HP,HP,164.84,134.99
476,20393,,Lowrance Elite-5 DSI Fishfinder Base,New-LOWRANCE 000-10236-001 ELITE TM -5 DSI FISHFINDER BASE - LRA10236001,000-10236-001,,Lowrance,Lowrance,740.84,744.1
1190,2760,,Marware C.E.O. Hybrid iPad 2 Case Black,Marware C.E.O. Hybrid for iPad 2 Black 602956007722,6.02956E+11,6.02956E+11,Marware,Marware,39.99,26.2
711,2946,,IoSafe SoloPRO 1TB USB 3.0 External Hard Drive,ioSafe SoloPRO 1 TB USB 3.0 Fireproof and Waterproof External Hard Drive with 1 Year Data Recovery Service - Black SJ1000GB1YR,SJ1000GB1YR,SJ1000GB1YR,IOSAFE,ioSafe,248,238.99
531,18532,,TOPS American Pride Writing Pad Jr. Legal Rule 5x8 White 12 50-Sheet Pads Pack,New-TOPS 75101 - American Pride Writing Pad Jr. Legal Rule 5 x 8 White 12 50-Sheet Pads Pack - TOP75101,75101,,TOPS BUSINESS FORMS,Tops,18.88,32.47
57,21965,,EDGE Tech ProShot 4GB SDHC Class 6 Memory Card,4GB Edge Proshot Sdhc Memory Card CLASS6,PE209780,EDGDM-209780-PE,Edge Tech,Edge,10.88,11.87
1321,885,,Kingston M25664F50 2GB DDR2-667 200-pin SO DIMM SDRAM Laptop Memory Module,Kingston 2 GB DDR2 SDRAM Memory Module 2 GB 1 x 2 GB 667MHz NonECC DDR2 SDRAM 200pin M25664F50,M25664F50,M25664F50,Kingston,Kingston,38.92,28.34
2222,11341,,Franklin Electronic Publishers Spelling Ace Thesaurus with Merriam-Webster Puzzle solver SA-309,Franklin Electronic Publishers SA-309 Spelling Ace Thesaurus with Merriam-Webster Puzzle solver,SA309,SA-309,Franklin,Franklin Electronics,20.82,17.18
2048,8525,,Corsair Value Select CMV4GX3M1A1333C9 4GB DDR3 1333MHz SDRAM Desktop Memory Module,Corsair 4 GB 1333 MHz PC3-10666 240-Pin DDR3 Memory Kit CMV4GX3M1A1333C9,CMV4GX3M1A1333C9,CMV4GX3M1A1333C9,Corsair,Corsair,49.82,18.5
842,7504,,Sony Portable Handycam AC Adaptor,Sony AC-L100 Portable Handycam AC Adaptor for DCR-DVD 301 DCR-VX2100 HDR-FX1 Camcorders,ACL100,AC-L100,Sony,Sony,45,19.69
82,17195,,Innovera Heavyweight Photo Paper Matte 8-1 2 x 11 50 Sheets Pack,Innovera 99650 - Heavyweight Photo Paper Matte 8-1 2 x 11 50 Sheets Pack,99650,,INNOVERA,Innovera,11.7,29.73
2180,18388,,EXPO Dry Erase EraserXL with Replaceable Pad Felt 10w x 2d,New-EXPO 8474 - Dry Erase EraserXL with Replaceable Pad Felt 10w x 2d - SAN8474,,,EXPO,Expo,12.19,23
723,12996,,Corsair Memory VS2GBKIT400C3 2 GB PC3200 400MHz 184-Pin DDR Desktop Memory Kit,Corsair Memory VS2GBKIT400C3 2 GB PC3200 400MHz 184-Pin DDR Desktop Memory Kit,VS2GBKIT400C3,VS2GBKIT400C3,Corsair,Corsair,59.82,46.99
399,16515,,Pendaflex Two-Ply Dark Kraft File Folders Top Tab Brown 100 Box,New-Pendaflex RK15313 - Two-Ply Dark Kraft File Folders 1 3 Cut Top Tab Legal Brown 100 Box - ESSRK15313,RK15313,,,Pendaflex,51.79,
1156,14874,,iHome App-Friendly Rechargeable Speaker System for iPad iPhone iPod,iHome Portable Speaker System for Apple iPad iPhone and iPod - Silver MODEL iD9SVC,ID9S,iD9SVC,iHome,iHome,99.99,92.7
396,100,,Avery 8691 CD DVD and Jewel Case Spine Label,Avery CD Labels - 100 Disc labels 200 Spine labels 8691,8691,8691,Avery,Avery,27.54,27.54
1937,18141,,V7 M42N01-7N 2.4 GHz Wireless Laser Mouse with stoable Nano Receiver,New-2.4GHz Wireless Laser Mouse With Storable Nano Receiver - BH1631,M42N01-7N,,V7,V7,24.84,26.49
55,6573,,Canon imageFORMULA DR-2010C Compact Color Scanner,Canon 2454B002 imageFORMULA DR-2010C Compact Color Scanner,DR-2010C,2454B002,Canon,Canon,479.98,400
2380,265,,Axis GK-013 107-Key PS 2 Keyboard Black,New-AXIS GK-013 107-KEY PS 2 KEYBOARD BLACK - CP76006,GK-013,,Axis,Axis,9.72,11.51
477,2718,,Razer Pro Click Mobile Notebook Mouse Pink,Pro Click Mobile Bluetooth Wireless Notebook Mouse for Mac PC--Sugar Pink,RP01-050106R1M1,RP01-00050106-R1M1,Razer,Razer,40.84,22.94
