ID,Brand,Title,Price,Description,Model_Number,Ship_Weight,Dimensions
16,Avery,Avery Self-Adhesive Filing Labels 1 3 Cut 3-7 16 x 2 3 Clear 450 Pack,21.47,Use the Avery Self-Adhesive Filing Labels for easy color-coding and a custom professional look. The labels have a permanent adhesive and are guaranteed to stick and stay. The Avery Self-Adhesive Filing Labels are easy-to-use and the ideal companion for a,5029,0.412,
17,XFX,XFX Radeon HD6850 PCIE 1GB DDR5 Graphics Card,195.0,The AMD Radeon HD 6850 ushers in a new era of gaming that takes users to an entirely new level of 3-D experience that is truly immersive and seamless. AMD has also teamed up with other Open 3-D ecosystem partners to provide consumers with more choice more innovation and lower cost.,HD685XZNDC,1.08,32.4 x 16.4 x 10.0 inches
18,SKB Cases,SKB Cases PH Series Pull Handle Case 11 1 2 H x 21 5 8 W x 16 3 8 D outside,214.99,,3SKB-1914MR,14.0,19.0 x 14.0 x 10.0 inches
19,INNOVERA,Innovera CD DVD Pocket with Built-In Label Tab Clear 25 Pack,5.28,The Innovera CD DVD Pocket with Built-In Label Tab is a space-saving polypropylene pocket that features built-in tab for adhesive labels included . The tuck-in flap keeps CDs secure.,39701,0.386,
20,HP,HP 80 Ink Printhead Printhead Cleaner Black C4890A,268.79,The HP 80 Ink Printhead Printhead Cleaner is the perfect choice for users who produce precise black-and-color line drawings or high-quality color renderings maps and graphics. It features a built-in smart chip for outstanding print quality without guesswork. The HP 80 Ink Printhead Printhead Cleaner is HP-engineered to work together as part of a modular ink system.,C4890A,1.79,
21,Mead,Mead Spiral Bound Notebook College Rule,3.88,Stay organized with with this Spiral Bound Notebook from Mead. This notebook is perfect for keeping notes for class work or personal projects.,6622,0.837,
22,IOGEAR,IOGEAR 2-Port MiniView Micro USB PLUS KVM Switch,37.57,Introducing the 2-port MiniView Micro USB PLUS KVM switch from IOGEAR is the simplest way to simultaneously run and share audio between two computers with a single USB keyboard monitor and USB mouse. This self-powered KVM switch features the unique USB sniffing technology for USB mouse and keyboard emulation to ensure smooth operation as well as support for plug and play monitors and most wheel mice. Our patented Video Signal Enhancement technology provides rich 32-bit color at resolutions up to 2048 x 1536. Another big plus is the MiniView s capability to provide audio support it allows you to share your multimedia speakers between the two connected computers. When using a PC keyboard a special set of hot keys is designed to emulate the special keys on Mac and Sun machines. With 6 long KVM cables molded into the MiniView Micro USB Plus all you need to do is to plug it into your computers and you ve got a complete KVM solution from IOGEAR.,GCS632UW6,1.15,10.0 x 7.0 x 3.0 inches
23,Quartet,Quartet Cork Bulletin Board Natural Cork Fiberboard 60 x 36 Aluminum Frame,91.44,The Quartet Cork Bulletin Board is an affordable and dependable solution for display and posting information. The self-healing cork surface prevents pin marks and holes.,2305,16.16,
24,Avery,Avery Shipping Labels for Color Laser   Copier 3-3 4 x 4-3 4 Matte White 100 Pack,16.67,Create labels that get noticed These labels are ideal for mailings messages invitations and announcements. Don t let the small areas of life elude your personality make labels that speak to your creativity.,,,
25,Aluratek,Aluratek Deluxe Leather Travel Case for the Libre eBook Reader Pro,23.1,Aluratek s deluxe leather travel case is designed exclusively for the Libre eBook Reader Pro. This unique leather case lets you carry your Libre Pro in style.,2782753,0.5,6.25 x 4.75 x 1.0 inches
26,HP,HP CE278A Black LaserJet Print Cartridge,69.84,Get a great value for everyday business printing with HP LaserJet Print Cartridges. These print cartridges will save you time minimize downtime and deliver results you can count on. Produce bold crisp text and sharp black-and-white images every time you print. This easy-to-use HP LaserJet print cartridge is designed for trouble-free printing and convenient free recycling through the HP Planet Partners program.,HP CE278A,1.8,1.0 x 1.0 x 1.0 inches
27,CyberPower,Cyber Power PFC 1000VA LCD Sinewave Adaptive Intelligent UPS,151.0,Protect your computer system or network from power interruptions with the Sinewave Adaptive Intelligent UPS. This uninterruptible power supply safeguards mid to high-end computer systems that use conventional and active power factor correction power supplies. The Sinewave Adaptive Intelligent UPS uses an automatic voltage regulation topology to deliver clean and consistent AC power to protect equipment in case of power interruptions.,CP1000PFCLCD,19.15,13.5 x 11.2 x 6.3 inches
28,Tribeca,Tribeca Dallas Cowboys 15  Sleeve for MacBook Pros,31.88,Tribeca s Dallas Cowboys Sleeve fits MacBook Pros and other 15  laptops. Protect your laptop and show your team spirit with this neoprene sleeve.,FVA2868,0.85,15.88 x 12.6 x 1.13 inches
29,,Tablemate Plastic Dinnerware 6 Inch Plates 125pk,18.97,,6644WH,1.859,6.0 x 6.0 x 5.7 inches
30,Vantec,Vantec NexStar MX Dual 3.5  SATA Hard Drive Enclosure,49.71,The Vantec NexStar MX Dual 3.5  SATA Hard Drive Enclosure is a quick and simple way to expand storage capacity to your computer. It comes without the hassle of diving inside the PC and messing with all those wires cables and connections. It provides maximum storage with the increased capacity of two spanning hard drives for your precious family photos music video and games.,NST-400MX-S2,5.0,10.0 x 7.0 x 6.0 inches
31,Fuji,Fujifilm Instax Mini Twin Pack Film,20.28,Fujifilm Instant Color Film Instax is an ISO 800 wide picture format integral daylight color film designed for use with Fujifilm Instax series cameras. This glossy film yields superb results under both daylight and electronic flash conditions. Its improved picture quality and greater ease of use makes it ideal for snapshots and portraits. Furthermore its easy-to-file size makes it an excellent choice for documentary or archival purposes as well as a wide variety of other applications.,Mini Film 2pk,0.15,3.0 x 2.0 x 1.77 inches
32,Tribeca,Chicago Bears Camera Case,19.99,,FVA2782,,
33,Da-Lite,Da-Lite Da-Mat Deluxe Fast Fold Complete Front Projection Screen - 68 x 68,829.99,,88604,64.0,
34,Sunpak,Sunpak 72-In-One Card Reader with SIM Slot,0.0,The Sunpak 72-In-One Card Reader with SIM Slot can read CF SD SDHC MMC XD memory stick SIM micro SD can more.,72-IN-1-CR,,6.75 x 4.75 x 0.75 inches
35,HP,HP 45 Black Inkjet Cartridge 51645A,35.78,For the best quality black and white printouts     This item is currently available online only.,51645A,0.4,4.0 x 4.0 x 2.0 inches
36,TomTom,TomTom XXL 550,169.95,The TomTom XXL 550 GPS is complete 5 widescreen navigation. Navigate using the EasyMenu to any location in the US Canada or Mexico or to one of 7 million preloaded points of interest. Only TomTom has IQ Routes so you ll always be directed to the quickest most efficient route.,1EP001901,1.1,7.0 x 7.0 x 1.8 inches
37,iLuv,iLuv Desktop Alarm Clock with Bed Shaker for your iPhone iPod - Pink,54.88,iLuv Desktop Alarm Clock with Bed Shaker for your iPhone iPod - Pink,IMM153PNK,6.5,6.0 x 4.25 x 3.5 inches
38,rooCASE,rooCASE Multi-Angle Folio Leather Case   Stylus for Acer Iconia Tab A500,47.99,,222043,1.0,10.2 x 7.2 x 1.1 inches
39,Peerless,Peerless SmartMount Universal Tilt Mount 32 - 60 Screens,112.99,,ST660-S,11.0,34.1 x 18.5 x 2.6 inches
40,Iomega,Iomega 34508 DVR Expander Hard Drive,99.98,Iomega s DVR Expander Hard Drive adds 1TB of storage capacity to your eSATA-enabled Pace Americas Set Top Box or Scientific Atlanta Explorer digital video recorder so you can enjoy more TV and movies. It stores up to 600 hours of standard-definition TV or 120 hours of high-definition TV. Easy to use the recording location is automatically managed by the DVR. This compact sleek drive sits horizontally or vertically and quietly complements your home theatre experience. An Energy Star qualified adapter for a better environment powers the DVR Expander.,34508,2.9,7.82 x 4.75 x 1.22 inches
41,Da-Lite,Da-Lite 93163 Model B Manual Wall and Ceiling Projection Screen,149.88,The Da-Lite 93163 Model B Manual Wall and Ceiling Projection Screen is perfect for classroom and meeting room facilities. Easy pull-down system locks at intervals to fit a variety of projection formats. Nylon bearings provide smooth quiet operation for the life of the screen.,93163,24.0,83.7 x 4.5 x 4.5 inches
42,Kingston,Kingston KTD-DM8400A 1G 1GB DDR2 SDRAM Memory Module,22.92,All Kingston memory modules must perform properly to ensure maximum performance. Therefore Kingston has developed an industry leading quality process to ensure that Kingston memory delivers superior quality performance and 100 compatibility with the computing system the module is designed for.,KTD-DM8400A/1G,0.05,4.77 x 1.71 x 0.45 inches
43,Sony,Sony MDREX35LP VB Colorful Headphone with Case - Violet Blue,13.54,Show off your style with the colorful MDR-EX35LP BR earbuds. Powered by a 9mm driver you ll experience deep bass and clear treble sound. The in-ear design fits snugly yet comfortably inside your ear while three sizes of hybrid ear cushions provide a perfect fit and maximum comfort for hours on end. Available in a variety of random color combinations these earbuds also come with a Y-type cord and cord adjuster.,MDREX35LP/VB,0.05,7.25 x 2.0 x 1.25 inches
44,SIIG,SIIG SoundWave 5.1 Channel PCI Sound Card,19.84,This sound card transforms your PC into a home theater system with multi-channel surround sound. Experience the latest in digital 5.1-channel surround sound for the latest DVD s games and music. Customize Internet audio with the power and surround sound of EAX audio technologies. It is fully compliant with Sound Blaster Sound Blaster Pro and DirectSound.,IC-510012-S2,0.45,9.0 x 7.0 x 2.25 inches
45,Draper,Draper M1300 Access Series V Electric Screen  - HDTV 119 diagonal,2107.95,,102300,103.0,
46,Draper,Draper Flexible Matte White Cinefold Replacement Surface Portable Screen - 10 6 x 14 NTSC Format,615.0,,218033,13.0,
47,READ RIGHT,Read Right KeyboardKleen Kit 2.5 oz. Pump Spray,12.88,The Read Right KeyboardKleen Kit is a great way to safely and easily remove dust and dirt from your keyboard and surrounding area. Formula dries quickly and leaves no harmful residue great for fast-paced work environments. Kit includes solution swabs and office duster.,,,
48,Quartet,Quartet Ultima Presentation Dry Erase Easel Melamine 27 x 34 White Black Frame,233.05,The Quartet Ultima 27  high Full-length rail marker Optional carrying case sold separately Perfect for classrooms conference rooms and presentations tion Dry Erase Easel features many versatile options for powerful presentations. Communicate more effectively wit this adjustable easel.,101EL,28.0,
49,DP Video,DP Video 7  Touchscreen Double Din In-Dash Multimedia Receiver DBD805,199.99,Featuring the latest advances in touchscreen technology with the DP Video 7  Touchscreen Double Din In-Dash Multimedia Receiver is a multimedia essential for the music video and car stereo enthusiast. This model also features a USB connection and SD card slot for convenient media playback.,DBD805,10.0,7.25 x 7.25 x 4.5 inches
50,Targus,Targus Impax Sleeve for 15  MacBook Pro Red,35.0,The Targus Impax Laptop Sleeve is designed to protect the 15  MacBook Pro. Featuring protective corner bumpers to reduce shock and easy-to-grip nonslip materials the Impax Sleeve offers an excellent barrier against scratches dust and bumps. The exterior is constructed of a double wall neoprene for added protection and the reversed zipper system provides added water resistance. The soft interior is made of fleece to keep your laptop cushioned and free from scratches and is light in color for improved visibility of contents inside of the sleeve.,TSS28802US,0.85,14.7 x 10.2 x 1.6 inches
51,Avery,Avery Economy Vinyl Round Ring View Binder,7.91,With the Economy Reference View Binder you can customize the front cover back cover and spine crystal-clear overlays to meet your individual needs. This view binder also features two inside pockets for additional storage of loose documents.,5706,0.62,
52,Wilson Jones,Wilson Jones D-Ring Vinyl View Binder,16.4,Special No-Gap D-ring design keeps rings tightly closed without gaps. D-rings hold 40 percent more sheets than same size round rings. Ink and toner transfer from printed papers is a thing of the past with these high-quality Print-Won t-Stick covers. Make your own custom front cover and spine inserts quickly and easily using templates found at www.templates.wilsonjones.com. PVC-free.,38544B,1.177,
53,Link Depot,Link Depot 3 Ethernet Enhanced CAT6 Networking Cable Gray,2.98,The Link Depot 3 Ethernet Enhanced CAT6 Networking Cable is a fast and dependable Ethernet connection solution.,C6M-3-GYB,0.3,9.0 x 4.0 x 0.5 inches
54,Da-Lite,Da-Lite Da-Plex Base Rear Projection Screen - 57 3 4 x 77 Video Format,2608.99,,27528,237.0,
55,Canon,Canon imageFORMULA DR-2010C Compact Color Scanner,479.98,The Canon imageFORMULA DR-2010C Compact Color Scanner delivers fast high-quality duplex scanning in a versatile and space saving design. Ideal for all office scanning operations this device provides reliable feeding advanced image processing functions customizable Scan-To-Job buttons and much more for your distributed imaging applications.,DR-2010C,8.5,15.0 x 11.5 x 10.25 inches
56,Dreamgear,Dreamgear i.Sound Stand for iPad,56.09,The Dreamgear i.Sound Stand for iPad features an elegant design inspired by the new wave of utilitarian design. With its clean lines unibody design and smooth finish the solid aluminum base provides a perfect fit for displaying and working on the new iPad. With the ability to hold the iPad at an easy-to-use angle you are able to position the iPad in a comfortable angle for typing in either the landscape or portrait mode. The Dreamgear i.Sound Stand for iPad is heavy and stable enough to support typing by the user. The Dreamgear i.Sound Stand for iPad is a gorgeous stand for the iPad that accentuates its many attractive attributes.,DGIPAD-4541,1.2,13.0 x 6.1 x 2.0 inches
57,Edge Tech,EDGE Tech ProShot 4GB SDHC Class 6 Memory Card,10.88,Store pictures videos and more with EDGE Tech SDHC Memory Cards. These cards are compatible with many digital cameras camcorders PDAs and more. Use EDGE Tech SDHC Memory Cards to easily transfer data from cameras to PCs and more.,PE209780,0.05,1.25 x 0.94 x 0.08 inches
58,Vantec,Vantec NexStar SE 2.5  SATA Hard Drive Rack,10.74,Expand your storage with the Vantec NexStar SE 2.5  SATA hard drives which makes switching and swapping drives easier than ever.,MRK-515ST,1.5,7.0 x 6.0 x 2.0 inches
59,Sennheiser,Sennheiser SH 350 IP Binaural Headset with Noise Canceling Microphone,150.0,Ideal for noisy open-plan offices and call centers the SH 350 IP from Sennheiser features a noise-canceling microphone for clearer speech recognition combined with large ear pads which block background noise for enhanced productivity. For extra comfort the microphone includes a 300-degree adjustable boom with Teflon washer for enhanced stability and durability. Completing the package the headset boasts an independently adjustable dual-padded headband ball-mounted speakers and ActiveGard technology to protect against acoustic shock. In other words the SH 350 IP is an ideal wideband headset which channels perfect quality sound to both ears for sustained levels of concentration.,SH350IP,0.6,7.0 x 6.4 x 2.4 inches
60,Samsung,Samsung TL205 Refurbished 12.2MP Black Digital Camera 6.3-18.9mm f 3.2 3x Zoom Lens 2.7  Dual LCD VGA Movie Recording w 50 Bonus Prints,79.0,Get 50 Bonus Prints from Wal-Mart Photo a 9.50 Value The Samsung TL205 Refurbished 12.2MP Digital Camera features a 1.5  TFT LCD display on the front of the camera that makes it easy to take and review photos. 12.2 megapixels give you a sharp crystal clear picture. Zoom in on your subjects with the 3x optical zoom. Note Memory card not included. Purchase of a memory card is highly recommended.,RBTL205,0.8,3.75 x 2.13 x 0.83 inches
61,Draper,Draper M2500 Clarion Fixed Frame Screen - 124 x 124 diagonal AV Format,1883.99,,252031,82.0,
62,Kensington,Kensington 82024 Memory Foam Seat Backrests,29.88,High-density memory cells in Visco elastic foam help relieve back discomfort. Temperature and pressure sensitive foam molds to the body s contour and provides maximum support. Originally developed by NASA to relieve astronauts of G-Force experience during takeoff.,82024,2.64,14.4 x 14.4 x 1.8 inches
63,BLACKBERRY,BlackBerry Leather Sleeve for PlayBook Tablet Black,29.88,Crafted in premium grade leather the BlackBerry Leather Sleeve offers exceptional protection and distinctive style for your BlackBerry PlayBook tablet. And with external access to the Micro USB and media ports you can charge the battery or listen to music while your BlackBerry tablet stays safe inside.,ACC-39311-301,0.9,7.6 x 5.1 x 0.4 inches
64,Arclyte,Arclyte MobileStyle Mini USB Car Charger Jet Black Electric Blue,25.0,Bring your mobile device to life with our Universal USB Mini Car Chargers. Filled with vibrant colors these pocket-sized chargers allow you to consolidate your phone tablet iPod and other mobile device chargers while on the go.,Arclyte ERA02142,0.25,3.25 x 0.87 x 0.87 inches
65,Tribeca,Los Angeles Lakers iPhone 3G Duo Case,24.99,,FVA4005,,
66,Epson,Epson T020201 Color Ink Cartridge,27.0,Epson s quick-drying color ink delivers great results on most plain and coated paper.     This item is also available in select Wal-Mart stores. Contact your   local store   for details.,T020201,0.2,4.06 x 3.9 x 1.34 inches
67,Q-See,Q-See Professional Indoor Dome Camera QSD360,99.82,This color video camera is vandal-proof. Sophisticated CCD Charge Coupled Device technology provides the most reliable and accurate quality picture in the security industry.,QSD360,1.6,5.5 x 5.5 x 4.0 inches
68,Microsoft,Microsoft VX-5000 LifeCam Webcam Red,27.82,,RKA00014,1.4,8.0 x 7.0 x 3.0 inches
69,Visioneer,Xerox Travel Scanner 100 Scanner,188.82,The sleek and compact Travel Scanner 100 is the perfect companion for the mobile professional   and not just scanning but scanning to popular and productive destinations such as email Word Microsoft SharePoint local or network hard drives supported by the most popular file formats including text-searchable PDF so that you can find your scanned documents by their content.,Xerox Travel Scanner 100,1.65,11.4 x 2.0 x 1.5 inches
70,Lorex,Lorex Simulated Bullet Style Surveillance Camera,12.84,Lorex Simulated Bullet Style Surveillance Camera,SG-610,1.24,3.8 x 3.8 x 3.8 inches
71,Panasonic,Panasonic Stereo Earbud Headphones RP-HV21 Green,10.49,Elastomer materials ensure you of a comfortable fit. Neodymium rare-earth magnets are used in each driver for rich powerful sound. The rubber clip design provides tangle-free storage.,RPHV21G,0.88,
72,Canon,Canon FaxPhone L170 Laser Printer   Fax,269.0,ENERGY STAR     Products that are ENERGY STAR-qualified prevent greenhouse gas emissions by meeting strict energy efficiency guidelines set by the U.S. Environmental Protection Agency and the U.S. Department of Energy. The ENERGY STAR name and marks are registered marks owned by the U.S. government as part of their energy efficiency and environmental activities. The Canon Laser FaxPhone L170 with 33.6Kbps modem gives you the performance of a laser facsimile machine and a printer. It prints 19 pages per minute and faxes a page in 3 seconds. It s Windows- compatible as well as Energy Star-qualified.,L170,31.3,22.0 x 19.3 x 18.7 inches
73,Kensington,Kensington K62816US Memory Foam Mouse Wrist Pillow,13.98,Memory foam viscoelastic provides maximum support to help relieve wrist discomfort. Rigid non-skid base keeps wrist rest firmly in place while the black lycra cover repels sweat and dirt to stay soft. Wide enough to provide comfortable support for keyboard and numeric pad and hypoallergenic comfort for sensitive skin.,K62816US,0.85,9.0 x 7.92 x 0.99 inches
74,HP,HP CE250A Black Toner Cartridge,187.04,HP CE250A Black Toner Cartridge,CE250A,3.84,
75,Cables To Go,Cables To Go Digital Audio Explorer Toslink Selector Switch,24.88,Cables To Go 28734 Digital Audio Explorer Toslink Selector Switch Unleash the full potential of your audio video system with the new Digital Audio Explorer from Impact Acoustics. Connect up to three optical sources to the digital optical input of your home theater system. The Toslink Selector features high-integrity toslink jacks for optimal transfer of light signals. This selector will also help with preventing the wear and tear on your toslink cables and I O jacks that comes from manually connecting and reconnecting cables. And the unit s space-saving design allows you to place it almost anywhere.,28734,0.68,6.52 x 6.52 x 1.8 inches
76,EDGE,EDGE 2GB PC3-8500 DDR3 204-Pin SODIMM Notebook Memory Module,22.92,All RAM modules from EDGE are backed by a Lifetime Warranty and each is individually tested to ensure highest product quality and reliability. If your memory module ever fails to work perfectly due to defects in materials or workmanship EDGE will repair or replace it at no charge.,PE219413,0.25,9.0 x 6.0 x 3.0 inches
77,Draper,Draper M2500 Premier Electric Screen  - AV Format 7 x 9,1793.45,,101198,86.0,
78,Draper,Draper Matte White Ultimate Access Series E Electric Screen - NTSC 150 diagonal,2443.45,,119018,152.0,
79,Case Logic,Case Logic 18  Laptop Case,39.99,,147735,2.24,19.3 x 14.2 x 3.9 inches
80,Sharpie,Sharpie Fine Point Permanent Markers Assorted 5ct,8.19,These are the classic permanent markers that have made Sharpie Fine Point Permanent Markers a household name. The durable fine point tip produces thinner detailed lines on most hard-to-mark surfaces.,30653PP,0.99,7.62 x 4.75 x 4.2 inches
81,Vaultz,Vaultz Lock Mobile File Chest Storage Box Letter Legal Black,59.94,Easily transport your valuables and documents with this Vaultz Lock Mobile File Chest Storage Box. It keeps letter or legal file folders in place with built-in hanging file rails. With the Vaultz Lock Mobile File Chest Storage Box in black your contents remain secure under two combination locks.,VZ01270,11.754,
82,INNOVERA,Innovera Heavyweight Photo Paper Matte 8-1 2 x 11 50 Sheets Pack,11.7,Innovera Heavyweight Matte Photo Paper is designed to give professional results in a matte finish. The double-sided coating allows for print flexibility.,99650,2.01,
83,Pelican Storm,Pelican Storm Shipping Case without Foam 9.8 x 11.8 x 4.7,40.99,,iM2050NF BLACK,4.0,11.8 x 9.8 x 4.7 inches
84,Scosche,Scosche Full Range Speaker System with Two 6.5  Woofers,0.0,The Scosche Full Range Speaker System with Two 6.5  Woofers features oversized 15-ounce magnets.,HDFRB6,,24.0 x 9.0 x 7.0 inches
85,Sony,Sony 4GB Flash Memory Card Black,10.88,Sony SD memory cards are compatible with multiple SD SDHC devices providing the ultimate in flexibility. Sony SD cards have undergone rigorous testing in order to provide optimized performance with your hardware device.,SF4N4/TQ,0.7,6.1 x 4.92 x 0.35 inches
86,Sony,Sony 2GB MS Pro Duo Mark2,14.88,Sony 2GB MS Pro Duo media gives your customers a convenient way to backup and store digital videos and still images.,MSMT2G/TQ,1.0,6.1 x 4.9 x 0.4 inches
87,Samsung,Samsung 33-0525-05 Samsung Fasciante i500 OEM Multimedia Dock,29.88,The Samsung 33-0525-05 Samsung Fasciante i500 OEM Multimedia Dock allows you to access applications while it is docked.,33-0525-05,0.4,6.25 x 3.9 x 2.75 inches
88,Vizio,VIZIO 37  Class LCD 1080p 120Hz HDTV E371VA Refurbished,379.0,VIZIO s 37    Products that are ENERGY STAR-qualified prevent greenhouse gas emissions by meeting strict energy efficiency guidelines set by the U.S. Environmental Protection Agency and the U.S. Department of Energy. The ENERGY STAR name and marks are registered marks owned by the U.S. government as part of their energy efficiency and environmental activities.,E371VA,42.11,35.41 x 24.3 x 8.76 inches
89,Balt,BALT Wheasel Easel Adjustable Melamine Dry Erase Board White,239.88,Take a dry erase board wherever its needed with the BALT Wheasel Easel Adjustable Melamine Dry Erase Board. This presentation board has 2 inch locking casters. Each side has an unframed melamine dry erase surface marker tray and flip chart holders. Th BALT Wheasel Easel Adjustable Melamine Dry Erase Board easel frame adjusts from 58 to 65 inches high. It includes a convenient supply shelf.,33250,51.0,
90,Targus,Targus 15.6  A7 Slipcase Orange,29.99,The Targus A7 Netbook Slipcase is designed to protect 15.6  laptops from scratches and dust. The heavily padded interior features the Tri-cell Cushion System which combines additional foam padding with mesh material for ventilation. The exterior features an eye-catching orange neoprene material with an industry-grade tarpaulin gusset around the edge which is highly durable and water-resistant. If used inside of another laptop case the A7 slipcase provides an additional layer of protection from scuffs and wet weather.,TSS10805US,11.2,15.6 x 11.25 x 1.15 inches
91,DANE-ELEC,Dane-Elec 8GB High-Speed Compact Flash Memory Card,44.88,The Dane-Elec 8GB High-Speed Compact Flash Memory Card is a dependable high-speed data storage solution.,DACF3008GC,0.05,6.6 x 5.0 x 0.15 inches
92,Da-Lite,Da-Lite Deluxe Anti-Sway Brace For Fast Fold Deluxe Screens,132.99,,93605,10.0,
93,Da-Lite,Da-Lite Natural Walnut Veneer Model B Manual Screen with Matte White Fabric - 64 x 84 diagonal Video Format,261.99,,73197,25.0,
94,Audiovox,Audiovox Sirius CATV Distribution Kit,42.64,Customize your home entertainment with the Audiovox Sirius CATV Distribution Kit. This kit is ideal for homes with existing cable TV systems because you can connect the satellite radio to an outdoor home antenna using existing cable TV wiring. Enjoy satellite radio where you want the radio can be anywhere in the house near a cable TV outlet and up to 150 away from the outdoor home antenna.,SCDK1,2.4,12.5 x 5.75 x 2.75 inches
95,Verbatim,Verbatim Smartdisk Optical Mini Travel Mouse Red,17.2,The Verbatim Smartdisk Optical Mini Travel Mouse works great on the go The ultra portable design takes up little space and is great for laptop users. There s no need to wrap the cord around the mouse or deal with tangles since it features a retractable USB cable. The Verbatim Smartdisk Optical Mini Travel Mouse works on any computer with a USB port.,VER97255,0.19,8.5 x 4.94 x 1.5 inches
