#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
_id,ltable.ID,rtable.ID,ltable.address,ltable.name,ltable.phone,ltable.zip,rtable.address,rtable.name,rtable.phone,rtable.zip
27,65,3767,825 Church Street,Dixie Kitchen & Bait Shop,(847) 733-9030,60201,325 Church St,Saluggi’s,(212) 226-7900,10013
28,68,599,"46 E. Superior Street, Chicago",New Rebozo Chicago,(312) 202-4191,60611,River East Center322 E Illinois St,FTW Chicago,(312) 881-5000,60611
29,68,624,"46 E. Superior Street, Chicago",New Rebozo Chicago,(312) 202-4191,60611,535 N Michigan Ave,Labriola Chicago: La Stanza Ristorante and Labriola Cafe,(312) 955-3100,60611
30,68,735,"46 E. Superior Street, Chicago",New Rebozo Chicago,(312) 202-4191,60611,198 E Delaware Pl,The Local Chicago,(312) 280-8887,60611
31,73,136,"1932 W. Division Street, Chicago",The Boundary Tavern and Grille,(773) 278-1919,60622,1751 W Chicago Ave,Yuzu Sushi & Robata Grill,(312) 666-4100,60622
32,73,145,"1932 W. Division Street, Chicago",The Boundary Tavern and Grille,(773) 278-1919,60622,1024 N Western Ave,Lockdown Bar & Grill,(773) 451-5625,60622
33,73,196,"1932 W. Division Street, Chicago",The Boundary Tavern and Grille,(773) 278-1919,60622,2759 W Augusta Blvd,Haywood Tavern,(773) 661-1084,60622
34,73,311,"1932 W. Division Street, Chicago",The Boundary Tavern and Grille,(773) 278-1919,60622,1927 W North Ave,Piece Brewery and Pizzeria,(773) 772-4422,60622
35,73,345,"1932 W. Division Street, Chicago",The Boundary Tavern and Grille,(773) 278-1919,60622,669 N Milwaukee Ave,Delux Bar & Grill,(312) 850-4008,60622
36,73,370,"1932 W. Division Street, Chicago",The Boundary Tavern and Grille,(773) 278-1919,60622,1470 N Milwaukee Ave,The Bongo Room,(773) 489-0690,60622
37,73,535,"1932 W. Division Street, Chicago",The Boundary Tavern and Grille,(773) 278-1919,60622,1608 W North Ave,Tarboush Mediterranean Grill,(773) 770-3599,60622
38,73,557,"1932 W. Division Street, Chicago",The Boundary Tavern and Grille,(773) 278-1919,60622,1413 N Ashland Ave,Mish Grill,(773) 661-9766,60622
39,73,573,"1932 W. Division Street, Chicago",The Boundary Tavern and Grille,(773) 278-1919,60622,1317 N Milwaukee Ave,Falafel & Grill,(773) 292-8888,60622
40,73,635,"1932 W. Division Street, Chicago",The Boundary Tavern and Grille,(773) 278-1919,60622,2100 W Division St,Folklore Argentine Grill,(773) 292-1600,60622
41,79,420,"2015 W. Division Street, Chicago",Barley & Brass,(312) 763-9600,60622,2015 W Division St,Barley & Brass,(312) 763-9600,60622
42,81,186,"4560 N. Lincoln Avenue, Chicago",Daily Bar & Grill,(773) 561-6198,60625,4748 N Kedzie Ave,Kabobi Grill,(773) 583-1400,60625
43,81,230,"4560 N. Lincoln Avenue, Chicago",Daily Bar & Grill,(773) 561-6198,60625,4632 N Rockwell St,Rockwell’s Neighborhood Grill,(773) 509-1871,60625
44,81,728,"4560 N. Lincoln Avenue, Chicago",Daily Bar & Grill,(773) 561-6198,60625,3658 W Lawrence Ave,T & B Grill,(773) 961-7016,60625
45,83,383,750 Chicago Avenue,Firehouse Grill,(847) 733-1911,60202,50 E Chicago Ave,Soupbox,(312) 951-5900,60611
46,83,398,750 Chicago Avenue,Firehouse Grill,(847) 733-1911,60202,1450 W Chicago Ave,Unite Urban Grill,(312) 455-8900,60642
47,85,487,844 W. Montrose Avenue,The Reservoir,(773) 275-4000,60613,844 W Montrose,The Reservoir,(773) 275-4000,60613
48,85,3314,844 W. Montrose Avenue,The Reservoir,(773) 275-4000,60613,95 Montrose Ave,Brooklyn Ball Factory,(718) 387-5296,11206
49,96,704,1551 N. Wells Street,Dinotto Pizza E Vino,(312) 202-0302,60610,1419 N Wells St,Mama Milano’s Pizza Bar,(312) 787-3710,60610
50,98,94,"1865 N. Milwaukee Avenue, Chicago",Irazu,(773) 252-5687,60647,1865 N Milwaukee Ave,Irazu,(773) 252-5687,60647
51,100,614,"1023 W. Lake Street, Chicago",Vera Chicago,(312) 243-9770,60607,1222 W Madison St,Talay Chicago,(312) 733-0812,60607
52,100,705,"1023 W. Lake Street, Chicago",Vera Chicago,(312) 243-9770,60607,816 W Van Buren St,Primos Chicago Pizza Pasta,(312) 243-1052,60607
53,101,665,"4539 N. Lincoln Avenue, Chicago",Gather,(773) 506-9300,60625,4539 N Lincoln Ave,Gather,(773) 506-9300,60625
54,102,3159,122 S. Main Street,Bulldogs Grill,(847) 526-8234,60084,218 S. Main Street,1855 Saloon and Grill,(608) 839-3700,53527
55,103,902,2738 Maple Avenue,Dan's Pizza,(630) 963-6900,60515,3008 Maple Ave,Nick & Sam’s,(214) 871-7444,75201
56,110,221,"500 N. Michigan Avenue, Chicago",The Purple Pig,(312) 464-1744,60611,500 N Michigan Ave,The Purple Pig,(312) 464-1744,60611
57,111,16,1322 Chicago Avenue,Addis Abeba,(847) 328-5411,60201,1329 W Chicago Ave,Charlatan,(312) 818-2073,60642
58,112,881,500 Main Street,Brothers K Coffeehouse,(847) 328-7940,60202,1200 Main St,WingBucket,(214) 760-9491,75202
59,112,968,500 Main Street,Brothers K Coffeehouse,(847) 328-7940,60202,3600 Main St,Cold Beer Company,(214) 370-9301,75226
60,112,3159,500 Main Street,Brothers K Coffeehouse,(847) 328-7940,60202,218 S. Main Street,1855 Saloon and Grill,(608) 839-3700,53527
61,113,550,"3124 N. Broadway Street, Chicago",Ceres' Table,(773) 922-4020,60657,2942 N Lincoln Ave,Las Tablas Colombian Steakhouse,(773) 871-2414,60657
62,116,48,583 N. Milwaukee Avenue,Cooper's Hawk Winery & Restaurant,(847) 215-1200,60090,2323 N Milwaukee Ave,Revolution Brewing,(773) 227-2739,60647
63,116,116,583 N. Milwaukee Avenue,Cooper's Hawk Winery & Restaurant,(847) 215-1200,60090,2523 N Milwaukee Ave,Analogue,(773) 904-8567,60647
64,116,219,583 N. Milwaukee Avenue,Cooper's Hawk Winery & Restaurant,(847) 215-1200,60090,2333 N Milwaukee Ave,The Chicago Diner,(773) 252-3211,60647
65,116,620,583 N. Milwaukee Avenue,Cooper's Hawk Winery & Restaurant,(847) 215-1200,60090,401 N. Milwaukee Ave,Black Iron Tavern,(312) 690-4000,60654
66,123,136,"1317 N. Milwaukee Avenue, Chicago",Falafel & Grill,(773) 292-8888,60622,1751 W Chicago Ave,Yuzu Sushi & Robata Grill,(312) 666-4100,60622
67,123,145,"1317 N. Milwaukee Avenue, Chicago",Falafel & Grill,(773) 292-8888,60622,1024 N Western Ave,Lockdown Bar & Grill,(773) 451-5625,60622
68,123,345,"1317 N. Milwaukee Avenue, Chicago",Falafel & Grill,(773) 292-8888,60622,669 N Milwaukee Ave,Delux Bar & Grill,(312) 850-4008,60622
69,123,535,"1317 N. Milwaukee Avenue, Chicago",Falafel & Grill,(773) 292-8888,60622,1608 W North Ave,Tarboush Mediterranean Grill,(773) 770-3599,60622
70,123,557,"1317 N. Milwaukee Avenue, Chicago",Falafel & Grill,(773) 292-8888,60622,1413 N Ashland Ave,Mish Grill,(773) 661-9766,60622
71,123,573,"1317 N. Milwaukee Avenue, Chicago",Falafel & Grill,(773) 292-8888,60622,1317 N Milwaukee Ave,Falafel & Grill,(773) 292-8888,60622
72,123,635,"1317 N. Milwaukee Avenue, Chicago",Falafel & Grill,(773) 292-8888,60622,2100 W Division St,Folklore Argentine Grill,(773) 292-1600,60622
73,125,547,"2109 W. Chicago Avenue, Chicago",Old Oak Tap,(773) 772-0406,60622,2109 W Chicago Ave,The Old Oak Tap,(773) 772-0406,60686
74,126,645,"Sheraton Chicago Hotel, 301 E. North Water Street, Lobby Level, Chicago",Shula's Steak House,(312) 670-0788,60611,21 E Hubbard St,Shaw’s Crab House,(312) 527-2722,60611
75,126,686,"Sheraton Chicago Hotel, 301 E. North Water Street, Lobby Level, Chicago",Shula's Steak House,(312) 670-0788,60611,60 E Grand Ave,"Joe’s Seafood, Prime Steak & Stone Crab",(312) 379-5637,60611
76,132,102,"1655 N. Sedgwick Street, Chicago",Twin Anchors,(312) 266-1616,60614,1655 N Sedgwick St,Twin Anchors Restaurant & Tavern,(312) 266-1616,60614
77,134,333,923 W. Weed Street,Dinosaur Bar-B-Que,(312) 462-1053,60642,923 W Weed St,Dinosaur Bar-B-Que,(312) 462-1053,60642
78,135,73,"816 W. Fullerton Avenue, Chicago",Chicago's Dog House,(773) 248-3647,60614,2121 N Clark St,Chicago Pizza And Oven Grinder Company,(773) 248-2570,60614
79,135,298,"816 W. Fullerton Avenue, Chicago",Chicago's Dog House,(773) 248-3647,60614,1954 N Halsted St,Summer House,(773) 634-4100,60614
80,135,458,"816 W. Fullerton Avenue, Chicago",Chicago's Dog House,(773) 248-3647,60614,953 W Armitage Ave,Chicago Bagel Authority,(773) 248-9606,60614
81,135,480,"816 W. Fullerton Avenue, Chicago",Chicago's Dog House,(773) 248-3647,60614,816 W Fullerton Ave,Chicago’s Dog House,(773) 248-3647,60614
82,135,576,"816 W. Fullerton Avenue, Chicago",Chicago's Dog House,(773) 248-3647,60614,1419 W Fullerton Ave,The Warehouse Bar & Pizzeria Chicago,(773) 661-6454,60614
83,139,620,102 S. Milwaukee Avenue,Rise 'N Dine Pancake House,(847) 541-4900,60090,401 N. Milwaukee Ave,Black Iron Tavern,(312) 690-4000,60654
84,143,681,"1804 W. Division Street, Chicago",Smoke Daddy,(773) 772-6656,60622,1804 W Division St,Smoke Daddy,(773) 772-6656,60622
85,163,650,"2238 S. Wentworth Avenue, Chicago",Emperor's Choice,(312) 225-8800,60616,2238 S Wentworth Ave,Emperor’s Choice Restaurant,(312) 225-8800,60616
86,165,484,"212 E. Ohio Street, Chicago",Tre Soldi,(312) 664-0212,60611,212 E Ohio St,Tre Soldi,(312) 664-0212,60611
87,167,61,"1725 W. 18th Street, Chicago",Carnitas Uruapan,(312) 226-2654,60608,1725 W 18th St,Carnitas Uruapan Restaurant,(312) 226-2654,60608
88,171,917,1765 Maple Avenue,Chili's Grill & Bar,(847) 328-9068,60201,4535 Maple Ave,El Rey Del Grill,(214) 559-3668,75219
89,172,112,"1545 N. Damen Avenue, Chicago",Dove's Luncheonette,(773) 645-4060,60622,1545 N Damen Ave,Dove’s Luncheonette,(773) 645-4060,60622
90,176,82,"1360 N. Milwaukee Avenue, Chicago",Antique Taco,(773) 687-8697,60622,1360 N Milwaukee Ave,Antique Taco,(773) 687-8697,60622
91,179,491,3715 N. Halsted Street,Jitlada Thai House,(773) 388-9988,60613,1901 W Irving Park Rd,Snappy’s Shrimp House,(773) 244-1008,60613
92,183,45,200 W. Randolph Street,Freshii,(312) 578-1470,60606,1364 W. Randolph St,Gyu-Kaku Japanese BBQ,(312) 982-2840,60607
93,183,353,200 W. Randolph Street,Freshii,(312) 578-1470,60606,1400 W Randolph St,bellyQ,(312) 563-1010,60607
94,183,454,200 W. Randolph Street,Freshii,(312) 578-1470,60606,1400 W Randolph St,Urbanbelly,(773) 583-0500,60607
95,187,569,"3800 N. Clark Street, Chicago",Uncommon Ground,(773) 929-3680,60613,3800 N Clark St,Uncommon Ground,(773) 929-3680,60613
96,195,63,"1330 W. Madison Street, Chicago",Viaggio Ristorante & Lounge,(312) 829-3333,60607,1330 W Madison St,Viaggio Ristorante & Lounge,(312) 829-3333,60607
97,195,622,"1330 W. Madison Street, Chicago",Viaggio Ristorante & Lounge,(312) 829-3333,60607,235 N Ashland Ave,Cobra Lounge,(312) 226-6300,60607
98,198,244,"855 W. North Avenue, Chicago",Uncle Julio's,(312) 266-4222,60622,1700 W Grand Ave,Uncle Mike’s Place,(312) 226-5318,60622
99,200,63,"235 N. Ashland Avenue, Chicago",Cobra Lounge,(312) 226-6300,60607,1330 W Madison St,Viaggio Ristorante & Lounge,(312) 829-3333,60607
100,200,622,"235 N. Ashland Avenue, Chicago",Cobra Lounge,(312) 226-6300,60607,235 N Ashland Ave,Cobra Lounge,(312) 226-6300,60607
101,201,51,"2260 N. Lincoln Avenue, Chicago",Insomnia Cookies,(877) 632-6654,60614,1746 N Wells St,Nookies,(312) 337-2454,60614
102,204,65,"3930 N. Sheridan Road, Chicago",TAC Quick Thai Kitchen,(773) 327-5253,60613,1467 W Irving Park Rd,The Roost Carolina Kitchen,(312) 261-5564,60613
103,204,79,"3930 N. Sheridan Road, Chicago",TAC Quick Thai Kitchen,(773) 327-5253,60613,1433 West Montrose,Real Kitchen,(773) 281-2888,60613
104,204,729,"3930 N. Sheridan Road, Chicago",TAC Quick Thai Kitchen,(773) 327-5253,60613,1513 W Irving Pk RdSte 1,Keren Kitchen,(773) 472-9090,60613
105,206,223,7452 N. Western Avenue,Candlelite Chicago,(773) 465-0087,60645,2252 N Western Ave,Paladar,(773) 252-4747,60647
106,207,3159,5157 Main Street,Ballydoyle Irish Pub & Restaurant,(630) 969-0600,60515,218 S. Main Street,1855 Saloon and Grill,(608) 839-3700,53527
107,209,328,"2057 W. North Avenue, Chicago",Sultan's Market,(773) 235-3072,60647,2057 W North Ave,Sultan’s Market,(773) 235-3072,60647
108,211,579,"901 W. Randolph Street, Chicago",J.P. Graziano,(312) 666-4587,60607,901 W Randolph St,J.P. Graziano Grocery Co.,(312) 666-4587,60607
109,212,351,"5236 N. Clark Street, Chicago",Svea Restaurant,(773) 275-7738,60640,1509 W Foster Ave,Taste of Lebanon Restaurant,(773) 334-1600,60640
110,212,382,"5236 N. Clark Street, Chicago",Svea Restaurant,(773) 275-7738,60640,4953 N Broadway,Tank Noodle Restaurant,(773) 878-2253,60640
111,214,499,"3301 N. Clark Street, Chicago",Hutch,(773) 248-1155,60657,3301 N Clark St,Hutch,(773) 248-1155,60657
112,221,73,"2207 N. Clybourn Avenue, Chicago",Pequod's Pizza,(773) 327-1512,60614,2121 N Clark St,Chicago Pizza And Oven Grinder Company,(773) 248-2570,60614
113,221,142,"2207 N. Clybourn Avenue, Chicago",Pequod's Pizza,(773) 327-1512,60614,2207 N Clybourn Ave,Pequod’s Pizzeria,(773) 327-1512,60614
114,225,187,4612 W. Fullerton Avenue,Senor Pan,(773) 227-1020,60639,4612 W Fullerton Ave,Señor Pan,(773) 227-1020,60639
115,225,408,4612 W. Fullerton Avenue,Senor Pan,(773) 227-1020,60639,5112 W Fullerton Ave,Somethin’ Sweet Donuts,(773) 237-7588,60639
116,227,652,526 E. 43rd Street,Ain't She Sweet Cafe,(773) 373-3530,60653,526 E 43rd St,Ain’t She Sweet Cafe,(773) 373-3530,60653
117,230,144,"Roosevelt University Fine Arts Building, 412 S. Michigan Avenue, Chicago",Artists' Restaurant,(312) 939-7855,60605,616 S Dearborn St,Sofi Restaurant,(312) 753-5504,60605
118,236,467,"1612 W. Division Street, Chicago",The Bedford,(773) 235-8800,60622,1612 W Division St,The Bedford,(773) 235-8800,60622
119,249,493,"1419 N. Wells Street, Chicago",Old Town Pour House,(312) 477-2800,60610,455 W North Ave,Old Town Social,(312) 266-2277,60610
120,251,23,"946 W Wellington Ave, Chicago",Andy's Thai Kitchen,(773) 549-7821,60657,613 W Briar Pl,Kitchen 17,(773) 661-1757,60657
121,251,354,"946 W Wellington Ave, Chicago",Andy's Thai Kitchen,(773) 549-7821,60657,3455 N Southport Ave,Crosby’s Kitchen,(773) 883-2525,60657
122,251,402,"946 W Wellington Ave, Chicago",Andy's Thai Kitchen,(773) 549-7821,60657,3351 N Broadway St,Esencia Urban Kitchen,(773) 472-8553,60657
123,251,529,"946 W Wellington Ave, Chicago",Andy's Thai Kitchen,(773) 549-7821,60657,3332 N Lincoln Ave,Pho’s Spicier Thai Cuisine,(773) 755-1995,60657
124,251,648,"946 W Wellington Ave, Chicago",Andy's Thai Kitchen,(773) 549-7821,60657,3205 N Halsted St,Krung Thep Thai Cuisine,(773) 296-2178,60657
125,258,104,"733 W. Maxwell Street, Chicago",Lalo's Mexican Restaurant,(312) 455-9380,60607,724 W Maxwell St,Moxee Restaurant & Mad Mouse Brewery,(312) 243-3660,60607
126,258,167,"733 W. Maxwell Street, Chicago",Lalo's Mexican Restaurant,(312) 455-9380,60607,825 W Fulton Market St,Publican Quality Meats,(312) 445-8977,60607
127,258,376,"733 W. Maxwell Street, Chicago",Lalo's Mexican Restaurant,(312) 455-9380,60607,1437 W Taylor St,Chilango Mexican Street Food,(312) 846-6216,60607
128,266,620,1762 N. Milwaukee Avenue,Cafe Pyrenees,(847) 362-2233,60048,401 N. Milwaukee Ave,Black Iron Tavern,(312) 690-4000,60654
129,267,716,"116 N. Green Street, Chicago",RM Champagne Salon,(312) 243-1199,60607,116 N Green St,RM Champagne Salon,(312) 243-1199,60607
130,270,45,730 W. Maxwell Street,Kohan Japanese Restaurant,(312) 421-6254,60607,1364 W. Randolph St,Gyu-Kaku Japanese BBQ,(312) 982-2840,60607
131,270,104,730 W. Maxwell Street,Kohan Japanese Restaurant,(312) 421-6254,60607,724 W Maxwell St,Moxee Restaurant & Mad Mouse Brewery,(312) 243-3660,60607
132,272,275,"1549 W. Division Street, Chicago",Podhalanka,(773) 486-6655,60642,1549 W Division St,Podhalanka,(773) 486-6655,60642
133,274,620,318 S. Milwaukee Avenue,Thai Noodles Cafe,(847) 362-3494,60048,401 N. Milwaukee Ave,Black Iron Tavern,(312) 690-4000,60654
134,276,2829,1571 Sherman Avenue,Edzo's Burger Shop,(847) 864-3396,60201,1207 N Sherman Avenue,Falbo Bros Pizza Sherman,(608) 223-9800,53704
135,277,91,"1401 N. Ashland Avenue, Chicago",Mott Street,(773) 687-9977,60622,1401 N Ashland Ave,Mott St,(773) 687-9977,60622
136,277,113,"1401 N. Ashland Avenue, Chicago",Mott Street,(773) 687-9977,60622,1043 N California Ave,Pierogi Street,(312) 675-8385,60622
137,279,41,"1700 W. Division Street, Chicago",Carriage House,(773) 384-9700,60622,1700 W Division St,Carriage House,(773) 384-9700,60622
138,279,290,"1700 W. Division Street, Chicago",Carriage House,(773) 384-9700,60622,1800 W Grand Ave,Breakfast House,(312) 997-2400,60622
139,280,390,"1001 N. Winchester Avenue, Chicago",The Winchester,(773) 698-8703,60622,1924 W Chicago Ave,Homestead On The Roof,(773) 332-2354,60622
140,280,603,"1001 N. Winchester Avenue, Chicago",The Winchester,(773) 698-8703,60622,1001 N Winchester Ave,The Winchester,(773) 698-8703,60622
141,283,339,"6954 N. Western Avenue, Chicago",Rub's Backcountry Smokehouse,(773) 675-1410,60645,6954 N Western Ave,Rub’s Backcountry Smokehouse,(773) 675-1410,60645
142,291,262,2119 W. Irving Park Road,Laschet's Inn,(773) 478-7915,60618,2119 W Irving Park Rd,Laschet’s Inn,(773) 478-7915,60618
143,293,620,8161 N. Milwaukee Avenue,Booby's Charcoal Rib,(847) 966-4733,60714,401 N. Milwaukee Ave,Black Iron Tavern,(312) 690-4000,60654
144,300,541,"1501 N. Milwaukee Avenue, Chicago",Bom Bolla,(773) 698-6601,60622,1501 N Milwaukee Ave,Bom Bolla,(773) 698-6601,60622
145,300,620,"1501 N. Milwaukee Avenue, Chicago",Bom Bolla,(773) 698-6601,60622,401 N. Milwaukee Ave,Black Iron Tavern,(312) 690-4000,60654
146,303,164,601 N. Milwaukee Avenue,Saranello's,(847) 777-6878,60090,5691 N Milwaukee Ave,Brgrbelly,(773) 775-6650,60646
147,303,541,601 N. Milwaukee Avenue,Saranello's,(847) 777-6878,60090,1501 N Milwaukee Ave,Bom Bolla,(773) 698-6601,60622
148,303,620,601 N. Milwaukee Avenue,Saranello's,(847) 777-6878,60090,401 N. Milwaukee Ave,Black Iron Tavern,(312) 690-4000,60654
149,303,680,601 N. Milwaukee Avenue,Saranello's,(847) 777-6878,60090,1471 N Milwaukee Ave,Xoco,(872) 829-3821,60622
150,304,634,"310 S. Clinton Street, Chicago",Beggars Pizza,(312) 588-0055,60661,24 S Clinton St,Blaze Fast-Fire’d Pizza,(312) 454-6125,60661
151,306,3159,3301 W. Main Street,Dengeo's,(847) 677-7911,60076,218 S. Main Street,1855 Saloon and Grill,(608) 839-3700,53527
152,311,624,"355 E. Ohio Street, Chicago",Flour and Stone,(312) 822-8998,60611,535 N Michigan Ave,Labriola Chicago: La Stanza Ristorante and Labriola Cafe,(312) 955-3100,60611
153,311,686,"355 E. Ohio Street, Chicago",Flour and Stone,(312) 822-8998,60611,60 E Grand Ave,"Joe’s Seafood, Prime Steak & Stone Crab",(312) 379-5637,60611
154,314,554,"3233 N. Broadway Street, Chicago",Melrose Restaurant,(773) 327-2060,60657,1034 W Belmont Ave,BIG & little’s Restaurant,(773) 857-6677,60657
155,317,652,"1126 E. 47th Street, Chicago",Zaleski & Horvath Market Cafe,(773) 538-7372,60653,526 E 43rd St,Ain’t She Sweet Cafe,(773) 373-3530,60653
156,320,451,"301 S. Halsted Street, Chicago",Meli Cafe,(312) 454-0748,60661,301 S Halsted St,Meli Cafe & Juice Bar,(312) 454-0748,60661
157,325,448,"198 E. Delaware Plaza, Chicago",The Local Chicago,(312) 280-8887,60611,22 E Hubbard St,Blue Frog’s Local 22,(312) 527-1200,60611
158,325,599,"198 E. Delaware Plaza, Chicago",The Local Chicago,(312) 280-8887,60611,River East Center322 E Illinois St,FTW Chicago,(312) 881-5000,60611
159,325,624,"198 E. Delaware Plaza, Chicago",The Local Chicago,(312) 280-8887,60611,535 N Michigan Ave,Labriola Chicago: La Stanza Ristorante and Labriola Cafe,(312) 955-3100,60611
160,325,735,"198 E. Delaware Plaza, Chicago",The Local Chicago,(312) 280-8887,60611,198 E Delaware Pl,The Local Chicago,(312) 280-8887,60611
161,330,244,"1700 W. Grand Avenue, Chicago",Uncle Mike's Place,(312) 226-5318,60622,1700 W Grand Ave,Uncle Mike’s Place,(312) 226-5318,60622
162,331,551,"3257 N. Broadway Street, Chicago",Joy's Noodles and Rice,(773) 327-8330,60657,3456 N Sheffield Ave,Cozy Noodles & Rice,(331) 248-3511,60657
163,332,725,"626 N. State Street, Chicago",Quartino,(312) 698-5000,60654,626 N State St,Quartino,(312) 698-5000,60654
164,337,237,"160 W. Adams Street, Chicago",Ara On,(312) 781-7300,60603,160 W Adams St,Ara On,(312) 781-7300,60603
165,340,46,"441 N. Clark Street, Chicago",Bottlefork,(312) 955-1900,60626,441 N Clark,Bottlefork,(312) 955-1900,60626
166,342,163,412 N. Milwaukee Avenue,Pete Miller's Seafood & Prime Steak,(847) 243-3700,60090,3592 N Milwaukee Ave,Thai Aree House,(773) 725-6751,60641
167,342,418,412 N. Milwaukee Avenue,Pete Miller's Seafood & Prime Steak,(847) 243-3700,60090,1072 N Milwaukee Ave,Frontier,(773) 772-4322,60642
168,342,616,412 N. Milwaukee Avenue,Pete Miller's Seafood & Prime Steak,(847) 243-3700,60090,3382 N Milwaukee Ave,La Oaxaqueña,(773) 545-8585,60641
169,342,620,412 N. Milwaukee Avenue,Pete Miller's Seafood & Prime Steak,(847) 243-3700,60090,401 N. Milwaukee Ave,Black Iron Tavern,(312) 690-4000,60654
