#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.address,ltable.name,ltable.phone,ltable.zip,rtable.address,rtable.name,rtable.phone,rtable.zip,gold
1795,1931,1385,"3317 Inwood Road, Dallas",Big Al's Smokehouse BBQ,(214) 350-2649,75235,2202 Inwood Rd,Sonny Bryans Smokehouse,(214) 357-7120,75235,0
1804,1933,1253,"3001 Knox Street, Suite 108, Dallas, TX",The Burger Joint,(469) 941-4471,75206,7940 N Central Expy,In-N-Out Burger,(800) 786-1000,75206,0
1825,1954,803,2114 Greenville Avenue,Mudsmith,(214) 821-7300,75206,2815 Greenville Ave,Terillis Restaurant and Bar,(214) 827-3993,75206,0
1831,1954,879,2114 Greenville Avenue,Mudsmith,(214) 821-7300,75206,1731 Greenville Ave,Thai Thai Restaurant,(214) 828-9795,75206,0
1835,1954,928,2114 Greenville Avenue,Mudsmith,(214) 821-7300,75206,4818 Greenville Ave,Desperados Mexican Restaurant,(214) 363-1850,75206,0
1851,1954,1250,2114 Greenville Avenue,Mudsmith,(214) 821-7300,75206,2221 Greenville Ave,Sevan G & G Cafe,(214) 821-0601,75206,0
1877,1958,1148,2401 N Henderson Avenue,Capitol Pub,(214) 887-9330,75206,3012 N Henderson Ave,Velvet Taco,(214) 823-8358,75206,0
1903,1982,1072,"4900 McKinney Avenue, Dallas",Henry's Majestic,(469) 893-9400,75205,2900 McKinney Ave,The Standard Pour,(214) 935-1370,75204,0
1926,1996,1021,"6710 Snider Plaza, Dallas",Barry's Food From Galilee,(214) 750-0330,75205,6710 Snider Plz,Food From Galilee,(214) 750-0330,75205,1
1939,2006,904,"1928 Greenville Avenue, Dallas",Nora Restaurant and Bar,(214) 828-0095,75206,1928 Greenville Ave,Nora Restaurant and Bar,(214) 828-0095,75206,1
1950,2014,1150,"2621 McKinney Avenue, Dallas",Blackfriar Pub,(214) 953-0599,75204,2621 McKinney Ave,Black Friar Pub,(214) 953-0599,75204,1
1957,2018,1499,"4001 Lemmon Avenue, Dallas",Great American Hero,(214) 521-2070,75219,3848 Oaklawn AveSte 210,Paul Martins American Grill,(214) 521-0116,75219,0
1958,2020,1419,"5030 Greenville Avenue, Dallas",Raising Cane's,(214) 360-6080,75206,5030 Greenville Ave,Raising Canes Chicken Fingers,(214) 360-0040,75206,1
1997,2059,849,"9310 Forest Lane, Dallas",The Varsity Grill,(214) 342-3000,75243,8131 Forest Ln,Tattys Fresh Mex Grill,(214) 575-8100,75243,0
2010,2072,1471,"2614 Boll Street, Dallas",Bowen House,(214) 484-1385,75204,2900 Lemmon AveSte 200,The Original Pancake House,(214) 528-7215,75204,0
2102,2132,810,"1115 N Beckley Avenue, Dallas",VH Casual Dining and Bar,(214) 946-1308,75203,1101 N Beckley Ave,Spiral Diner & Bakery,(214) 948-4747,75203,0
2193,2216,766,"4152 Travis Street, Dallas",Brother's Pizza,(214) 219-5200,75204,2519 N Fitzhugh Ave,ZaLat Pizza,(469) 573-2007,75204,0
2227,2230,1311,"1802 Greenville Avenue, Suite 110, Dallas",Dallas Beer Kitchen,(214) 484-2481,75206,5321 E Mockingbird LaneSte 230,Angelika Film Center & Caf - Dallas,(214) 841-4713,75206,0
2238,2248,756,"2822 N Henderson Avenue, Dallas",Mesero,(214) 821-6426,75206,2822 N Henderson Ave,Mesero - Henderson,(214) 821-6426,75206,1
2244,2254,817,"2916 McKinney Avenue, Dallas",Shell Shack,(877) 434-1411,75204,2916 Mckinney Ave,Shell Shack,(877) 434-1411,75204,1
2280,2302,883,"4530 Lovers Lane, Dallas",Chip's Old Fashioned Hamburgers,(214) 691-2447,75225,6030 Luther LnSte 100,Hopdoddy Burger Bar,(214) 363-2337,75225,0
2344,2329,1898,107 N Robertson Blvd,Il Buco,(310) 657-1345,90211,310 S Robertson Blvd,Pizzeria Il Fico,(310) 271-3426,90048,0
2350,2339,2127,"205 Ord St, Los Angeles",ABC Seafood,(213) 680-2887,90012,936 N Hill St,New Dragon Seafood Restaurant,(213) 626-6050,90012,0
2354,2349,1816,10968 Ventura Blvd,Vivian's Millenium Cafe,(818) 762-8710,91604,11616 Ventura Blvd,Cocina Condesa,(818) 579-4264,91604,0
2374,2382,1773,116 E Beverly Blvd,Antigua Bar & Grill,(323) 516-6223,90640,4430 Beverly Blvd,Noshi Sushi,(323) 469-3458,90004,0
2395,2396,1570,6340 Hollywood Blvd,Juicy Burger,(323) 465-8429,90028,6124 Hollywood Blvd,Blue Palms Brewhouse,(323) 464-2337,90028,0
2429,2404,2199,9679 Wilshire Blvd.,Urban Fresh,(310) 275-4440,90212,1055 Wilshire Blvd,Kachi Deli Cafe & Grill,(213) 482-4553,90017,0
2450,2426,2366,"435 N Fairfax Ave, Los Angeles",Animal,(323) 782-9225,90036,435 N Fairfax Ave,Animal,(323) 782-9225,90036,1
2494,2469,1991,404 Washington Blvd,Islands,(310) 822-3939,90292,4566 W Washington Blvd,Ondal 2,(323) 933-3228,90016,0
2512,2486,1976,2-10 Washington Blvd,Venice Whaler Bar and Grill,(310) 821-8737,90292,12517 W Washington Blvd,Hatchet Hall,(310) 391-4222,90066,0
2549,2498,2295,7984 Santa Monica Blvd,Laurel Hardware,(323) 656-6070,90046,6775 Santa Monica Blvd,Bombay Grill,(323) 798-5197,90038,0
2556,2511,2133,"1267 W Temple Street, Los Angeles",The Park's Finest,(213) 481-2800,90026,1400 Sunset Blvd,The Park,(213) 482-9209,90026,0
2572,2519,2092,6801 Hollywood Blvd,Izakaya By Mr Koji,(323) 465-6339,90028,4518 Hollywood Blvd,The Backyard at 4518,(323) 702-9141,90027,0
2584,2526,1631,8226 Sunset Blvd,Den on Sunset,(323) 656-0336,90046,7617 W Sunset Blvd,The Pikey,(323) 850-5400,90046,0
2595,2526,1923,8226 Sunset Blvd,Den on Sunset,(323) 656-0336,90046,3200 W Sunset Blvd,Samosa House Silverlake,(323) 913-0015,90026,0
2599,2526,1999,8226 Sunset Blvd,Den on Sunset,(323) 656-0336,90046,5065 Sunset Blvd,Zankou Chicken - Hollywood,(323) 665-7842,90027,0
2627,2529,2316,"3119 Los Feliz Blvd., Los Angeles",The Village Bakery and Cafe,(323) 662-8600,90039,3216 Glendale Blvd,Atwater Village Tavern,(323) 644-0605,90039,0
2631,2536,214,3100 Washington Blvd,26 Beach Restaurant,(310) 823-7526,90292,800 W Washington Blvd,ms,(312) 243-1995,60607,0
2670,2561,3916,3847 Main St,BottleRock,(310) 836-9463,90232,15 Main St,Atrium DUMBO,(718) 858-1095,11201,0
2691,2568,2117,8714 Santa Monica Blvd,Fresh Corn Grill,(310) 855-9592,90069,4905 Santa Monica Blvd.,Marouch Restaurant,(323) 662-9325,90029,0
2713,2575,1580,8868 W Sunset Blvd,Amarone Kitchen + Wine,(310) 652-2233,90069,2141 W Sunset Blvd,Mohawk Bend,(213) 483-2337,90026,0
2746,2579,1556,2122 1/2 Colorado Blvd,Four Cafe,(323) 550-1988,90041,1496 Colorado Blvd,Little Beast Restaurant,(323) 341-5899,90041,0
2801,2600,2069,6051 Hollywood Blvd,Al Wazir Chicken,(323) 856-0660,90028,6660 W Sunset BlvdSte C,Ro Ros Chicken,(323) 461-9999,90028,0
2859,2661,1555,8730 W Sunset Blvd,Church Key,(424) 249-3700,90069,1910 W Sunset BlvdSte 150,Reggies Deli & Cafe,(213) 353-9263,90026,0
2885,2661,2133,8730 W Sunset Blvd,Church Key,(424) 249-3700,90069,1400 Sunset Blvd,The Park,(213) 482-9209,90026,0
2887,2661,2204,8730 W Sunset Blvd,Church Key,(424) 249-3700,90069,1700 Sunset Blvd,Sage Organic Vegan Bistro,(213) 989-1718,90026,0
2935,2692,1743,730 N La Cienega Blvd,Koi,(310) 659-9449,90069,408 N LA Cienega Blvd,The Addiction Bistro,(323) 203-1793,90048,0
2976,2721,1748,8950 W Olympic Blvd,La Provence Patisserie,(310) 888-8833,90211,2561 W Olympic Blvd,Yangmani,(213) 249-9292,90006,0
3002,2727,2291,9785 Santa Monica Blvd,La Dolce Vita,(310) 278-1845,90210,5101 Santa Monica BlvdSte 2,Falafel-Arax,(323) 663-9687,90029,0
3024,2738,2248,"6101 Melrose Ave, Los Angeles",Xiomara on Melrose,(323) 461-0601,90038,6101 Melrose Ave,Xiomara,(323) 461-0601,90038,1
3045,2749,1743,1106 N La Cienega Blvd,Wa Sushi & Bistro,(310) 854-7285,90069,408 N LA Cienega Blvd,The Addiction Bistro,(323) 203-1793,90048,0
3080,2784,1737,8828 Sunset Blvd,Pi on Sunset,(310) 657-1774,90069,7300 Sunset Blvd,The Carving Board,(323) 845-4550,90046,0
3101,2784,2333,8828 Sunset Blvd,Pi on Sunset,(310) 657-1774,90069,7361 W Sunset Blvd,Chibiscus Asian Cafe,(323) 977-9877,90046,0
3104,2784,2350,8828 Sunset Blvd,Pi on Sunset,(310) 657-1774,90069,4319 W Sunset Blvd,My Vegan Gold,(323) 522-6500,90029,0
3132,2803,2295,8171 Santa Monica Blvd,Connie & Ted's,(323) 848-2722,90046,6775 Santa Monica Blvd,Bombay Grill,(323) 798-5197,90038,0
3135,2804,1816,13353 Ventura Blvd,Maria's Italian Kitchen,(818) 906-0783,91423,11616 Ventura Blvd,Cocina Condesa,(818) 579-4264,91604,0
3172,2825,1561,8474 Melrose Ave,Lucques,(323) 655-6277,90069,6919 Melrose Ave,Franco On Melrose,(323) 934-3390,90038,0
3173,2825,1569,8474 Melrose Ave,Lucques,(323) 655-6277,90069,7465 Melrose Ave,Mar,(323) 592-3226,90046,0
3179,2825,1670,8474 Melrose Ave,Lucques,(323) 655-6277,90069,5732 Melrose Ave,Osteria Mamma,(323) 284-7060,90038,0
3225,2848,2289,7954 Santa Monica Blvd,Los Tacos,(323) 848-9141,90046,5450 Santa Monica Blvd,Tlayuda L.A. Mexican Restaurant,(213) 261-4667,90029,0
3299,2911,2142,7853 Santa Monica Blvd,Kung Pao Bistro,(323) 848-9888,90046,10250 Santa Monica Blvd,Gulfstream,(310) 553-3636,90067,0
3312,2919,2026,"10571 Pico Blvd, Los Angeles",Food,(310) 441-7770,90064,10571 Pico Blvd,Food,(310) 441-7770,90064,1
3335,2939,2130,9198 W Olympic Blvd,Cafe Talesai,(310) 271-9345,90212,11301 W Olympic Blvd,Butchers Dog,(310) 444-2929,90064,0
3421,2976,1655,8684 Melrose Ave,Zinque,(424) 284-3930,90069,7160 Melrose Ave,Murakami Sushi,(323) 692-1450,90046,0
3456,2980,1898,685 N Robertson Blvd,Bossa Nova Brazilian Cuisine,(310) 657-5070,90069,310 S Robertson Blvd,Pizzeria Il Fico,(310) 271-3426,90048,0
3465,2987,1581,"5773 Wilshire Blvd, Los Angeles",Callender's Grill,(323) 937-7952,90036,519 N Fairfax Ave,Pita Bar & Grill,(323) 653-9024,90036,0
3544,3036,2346,9500 Wilshire Blvd,Blvd.,(310) 385-3901,90212,5779 Wilshire Blvd,The Counter,(323) 932-8900,90036,0
3549,3041,2363,"5833 Franklin Ave, Los Angeles",Pimai It's Thai,(323) 461-7841,90028,5908 Sunset Blvd,Hoy-Ka Thai Noodles,(323) 688-3558,90028,0
3559,3045,2289,8457 Santa Monica Blvd,Niko Niko Sushi,(323) 654-6200,90069,5450 Santa Monica Blvd,Tlayuda L.A. Mexican Restaurant,(213) 261-4667,90029,0
3576,3046,1769,9200 W Sunset Blvd,Soho House,(310) 432-9200,90069,3322 W Sunset Blvd,Night + Market Song,(323) 665-5899,90026,0
3589,3046,2020,9200 W Sunset Blvd,Soho House,(310) 432-9200,90069,2903 W Sunset Blvd,Aroma Restaurant,(323) 644-2833,90026,0
3604,3046,2363,9200 W Sunset Blvd,Soho House,(310) 432-9200,90069,5908 Sunset Blvd,Hoy-Ka Thai Noodles,(323) 688-3558,90028,0
3619,3082,1607,8151 Santa Monica Blvd,Traktir,(323) 654-3030,90046,6547 Santa Monica Blvd,Eat This Cafe,(323) 999-2003,90038,0
3620,3082,1629,8151 Santa Monica Blvd,Traktir,(323) 654-3030,90046,5101 Santa Monica Blvd,Spicy BBQ Restaurant,(323) 663-4211,90029,0
3643,3103,1564,6255 W Sunset Blvd,The Waffle,(323) 465-6901,90028,7181 W Sunset Blvd,Bossa Nova on Sunset,(323) 436-7999,90046,0
3659,3103,1869,6255 W Sunset Blvd,The Waffle,(323) 465-6901,90028,2852 W Sunset Blvd,Ohana Pok Co,(323) 953-2820,90026,0
3671,3103,2288,6255 W Sunset Blvd,The Waffle,(323) 465-6901,90028,1261 W Sunset Blvd,Guisados,(213) 250-7600,90026,0
3680,3104,2039,"317 S Broadway Spc C45, Los Angeles",Sticky Rice,(626) 872-0353,90013,317 S BroadwaySte C-4-5,Sticky Rice,(213) 621-2865,90013,1
3692,3107,1737,5946 W Sunset Blvd,Mission Cantina,(323) 469-3130,90028,7300 Sunset Blvd,The Carving Board,(323) 845-4550,90046,0
