ID_A,ID_B,Title_A,Title_B,ISBN_A,ISBN_B
bn_418,B1540,Getting Started With Sas(R) Enterprise Miner(Tm) 5.2,Microsoft SQL Server 2000: A Guide to Enhancements and New Features,9781599940021,9780201752830.0
bn_322,B1277,Multimedia Databases: An Object-Relational Approach / Edition 1,"Problem-Solving Cases in Microsoft Access and Excel, Fourth Annual Edition",9780201788990,9781418837068.0
bn_1810,B1738,Data Warehousing for E-Business,dBASE IV 1.1: Quickstart,9780471415794,9780880226141.0
bn_1300,B2242,Database Management and Design,"PhoneGap 3, Beginner's Guide, 2nd Edition",9780132007597,9781782160984.0
bn_2195,B794,Ontology Learning for the Semantic Web,IBM DB2 Version 10,9781461353072,9780071802956.0
bn_1482,B972,Microsoft Office Access 2007: Illustrated Introductory / Edition 1,FileMaker Pro 8 for Windows & Macintosh,9781423905189,
bn_1077,B2739,Programming and Problem Solving with Delphi,Introducing Microsoft WebMatrix,9780201708448,9780735649705.0
bn_1990,B659,Clinical Data Management / Edition 2,Oracle Developer 2000 Handbook,9780471983293,9780078823268.0
bn_730,B951,Introduction to Constraint Databases / Edition 1,Microsoft Dynamics CRM 2011 Reporting and Business Intelligence,9781441931559,9781849682305.0
bn_1843,B72,MySQL in a Nutshell,Python Data Analytics,9780596514334,9781484209592.0
bn_375,B1789,Designing an IAM Framework with Oracle Identity and Access Management Suite / Edition 1,Introduction to Application Software Using Vp Planner dBASE III Plus and Wordperfect,9780071741378,9780675209557.0
bn_2774,B2349,Information Fusion in Data Mining / Edition 1,Desarrollo Web con PHP 6 y MySQL 5.1/ Web Development with PHP 6 and MySQL 5.1 (Guias Practicas/ Practical Guides) (Spanish Edition),9783642056284,9788441526167.0
bn_865,B2501,Graphical Techniques for Multivariate Data,PHP und MySQL Praxisbuch für Kids: 2. Auflage (German Edition),9780444194619,9783826686498.0
bn_1146,B2302,The Rational Guide to SQL Server 2005 Express Beta Preview,Microsoft Access 2.0 How-To Cd,9781932577167,9781878739933.0
bn_2005,B1075,Database: Theory and Practice,Implementing Siebel Ebusiness Applications With DB2 Udb on Aix/Nt,9780201180411,9780738421100.0
bn_335,B1586,Pro SQL Server 2008 Replication,Effective Oracle Database 10g Security by Design,9781430218074,9780072231304.0
bn_846,B496,Organizational Data Mining: Leveraging Enterprise Data Resources for Optimal Performance,"Aprenda Ya SQL Server 2005, técnicas aplicadas (Spanish Edition)",9781591401346,9789701064887.0
bn_1579,B2800,Personal Oracle Real Application Clusters: Create Oracle 10g Grid Computing At-Home,Mining the Web: Transforming Customer Data into Customer Value,9780976157380,9780471416098.0
bn_1897,B1365,Teradata Database Administration ? The Fundamentals,Alison Balter's Mastering Access 95 Development,9781940540160,9780672309441.0
bn_1423,B679,IBM Cognos TM1 The Official Guide,Mastering Snowboarding,9780071765695,9781584889960.0
bn_31,B2709,SQL Server 2005 Distilled,Accessible Access 2000,9780132704670,9781852333133.0
bn_2535,B2101,Xml Databases and the Semantic Web,Microsoft Excel 2013 Data Analysis and Business Modeling,9780849310317,9780735669130.0
bn_1688,B945,"Construction and Analysis of Safe, Secure, and Interoperable Smart Devices: International Workshop, CASSIS 2004, Marseille, France, March 10-14, 2004, Revised Selected Papers / Edition 1",Oracle PL/SQL by Example (3rd Edition),9783540242871,9780131172616.0
bn_886,B1341,"Recent Trends in Data Type Specification: 7th Workshop on Specification of Abstract Data Types, Wusterhausen/Dosse, Germany, April 17-20, 1990. Proceedings",Four Software Tools: DOS for IBM PC and MS DOS Word Processing Using Wordperfect 5.0 and 5.1 Spreadsheets Using Lotus 1-2-3 Releases 2.01 and 2.2 Dat (Wadsworth series in computer information systems),9783540544968,9780534155940.0
bn_2933,B1956,Online Searching on DIALOG: Beilstein Reference Manual,Locking in DB2 for Mvs/Esa Environment,9783662090800,9780738401799.0
bn_2447,B1633,Continuous Media Databases / Edition 1,Access Programming For DummiesÂ (For Dummies (Computers)),9780792378181,9781568840918.0
bn_2983,B1012,Expert PHP and MySQL,"Mathematical Foundations of Computer Science 2002: 27th International Symposium, MFCS 2002, Warsaw, Poland, August 26-30, 2002. Proceedings (Lecture Notes in Computer Science)",9780470563120,9783540440406.0
bn_2029,B858,Meta-Level Control for Deductive Database Systems,Internet Server Construction Kit for WindowsÂ,9783540537540,9780471126966.0
bn_2564,B2414,Data Modeling Made Simple: A Practical Guide for Business and Information Technology Professionals,"PHP & MySQL For Dummies, 4th Edition",9780977140008,9780470527580.0
bn_903,B1445,Parallel Architectures for Database Systems,"Metadata Solutions: Using Metamodels, Repositories, XML, and Enterprise Portals to Generate Information on Demand",9780818688386,9780201719765.0
bn_782,B1375,Instant Oracle GoldenGate,R Packages,9781782170259,9781491910597.0
bn_1589,B2966,Essential ADO.NET,Common Warehouse Metamodel (OMG),9780201758665,9780471200529.0
bn_17,B297,"The Data Bank Society (Routledge Revivals): Organizations, Computers and Social Freedom",DB2 UDB for OS/390 Developer's Quick Reference Guide,9780415720939,9781892559043.0
bn_1240,B1484,"Advances in Conceptual Modeling: ER&#039;99 Workshops on Evolution and Change in Data Management, Reverse Engineering in Information Systems, and the World Wide Web and Conceptual Modeling Paris, France, November 15-18, 1999 Proceedings / Edition 1",Pro Oracle Database 11g RAC on Linux (Expert's Voice in Oracle),9783540666530,9781430229582.0
bn_487,B2547,ICDT Eighty-Eight,dBASE III Plus for Marketing and Sales Managers (Mcgraw-Hill Business Software Tutorials),9780387501710,9780077070571.0
bn_1656,B1338,Genome Exploitation: Data Mining the Genome,Oracle Database 12c PL/SQL Programming,9780387241234,9780071812436.0
bn_332,B2417,Oracle Business Intelligence 11g Developers Guide / Edition 1,Special Edition Using Filemaker Pro 5,9780071798747,9780789722010.0
bn_2470,B2878,Oracle Data Dictionary Pocket Reference,Business Intelligence in Microsoft SharePoint 2013,9780596005177,9780735675438.0
bn_1558,B2969,Introduction to Database Management: A Practical Approach,Powerbuilder 4.0 for Windows Power Toolkit: Cutting-Edge Tools & Techniques for Programmers (Power Toolkit/Book and CD-Rom),9780697004512,9781566042246.0
bn_1784,B1130,Extend Microsoft Access Applications to the Cloud,"Data Integration in the Life Sciences: 11th International Conference, DILS 2015, Los Angeles, CA, USA, July 9-10, 2015, Proceedings (Lecture Notes in Computer Science)",9780735667686,9783319218427.0
bn_2333,B2798,Oracle CRM On Demand Deployment Guide,Beginning SQL Programming with CDROM (Programmer to Programmer),9780071717632,9781861001801.0
bn_144,B1690,Visual Basic Database Programming,"New Perspectives on Microsoft Office Access 2003 with VBA, Advanced",9780201721935,9780619206734.0
bn_1628,B2509,OS/2 Database Manager: A Developer's Guide,Protecting SQL Server Data,9780471508038,9781906434274.0
bn_541,B2423,Temporal Representation and Reasoning (Time 2000): 7th International Workshop,DB2 Information Integrator And Websphere Portal Server: A Synergistic Solution,9780769507569,9780738498430.0
bn_2248,B1137,SQL Server 7 Essential Reference,DB2 - Quick Upper Bound Estimate an Application Design Methodology,9780735708648,9780738407692.0
bn_2025,B1171,Surveillance Studies: An Overview / Edition 1,Mastering Business Analysis with Crystal Reports 9 (Wordware Applications Library),9780745635927,9781556222931.0
bn_118,B2884,Access 97 Developer&#039;s Handbook / Edition 3,Microsoft SharePoint 2010 Business Connectivity Services,9780782119411,9780735660182.0
bn_2230,B2469,Inside ODBC: Developer's Guide to the Industry Standard for Database Connectivity,Oracle8 Database Design Using UML  Object Modeling,9781556158155,9780078824746.0
bn_647,B201,Oracle8i Data Warehousing,Practical Data Migration,9781555582050,9781906124847.0
bn_1476,B228,DB2 Universal Database in Application Development Environments,Joe Celko's Complete Guide to NoSQL: What Every SQL Professional Needs to Know about Non-Relational Databases,9780130869876,9780124071926.0
bn_1869,B2913,Pentaho Solutions: Business Intelligence and Data Warehousing with Pentaho and MySQL,SQL Server 2000 Stored Procedure Programming,9780470484326,9780072125665.0
bn_2736,B2586,IBM Totalstorage Peer-to-Peer Virtual Tape Server Planning and Implementation Guide,Using MySQL on Linux,9780738426907,9788176569514.0
bn_2459,B103,Geographic Data Mining and Knowledge Discovery,MySQL(TM): The Complete Reference,9780415233699,9780072224771.0
bn_1025,B2602,"Microsoft Access 2000, Quicktutorial / Edition 1",Fuzzy Modeling and Genetic Algorithms for Data Mining and Exploration (The Morgan Kaufmann Series in Data Management Systems),9780538688581,9780121942755.0
bn_2131,B2197,Multimedia Database Management Systems,Everyday Oracle DBA (Osborne ORACLE Press Series),9780890063422,9780072262087.0
bn_2792,B1313,Learn Oracle 8i,PostgreSQL 8.4 Official Documentation - Volume V. Internals and Appendixes,9781556227318,9781596821620.0
bn_1146,B89,The Rational Guide to SQL Server 2005 Express Beta Preview,"Agents for Games and Simulations: Trends in Techniques, Concepts and Design (Lecture Notes in Computer Science)",9781932577167,9783642111976.0
bn_2710,B2192,Oracle Developer/2000 Handbook,"DB2 9 for Linux, UNIX, and Windows Database Administration: Certification Study Guide",9780078821806,9781583470770.0
bn_1654,B2048,Creating the Semantic Web with RDF: Professional Developer's Guide,Microsoft SQL Server 2000 Weekend Crash Course,9780471402596,9780764548406.0
bn_1828,B752,"Microsoft SQL Server 2005: A Beginner""s Guide",Visual Foxpro Data Dictionary: Special Report,9780072260939,9781880935415.0
bn_2033,B2664,Business Analytics / Edition 2,"Data Mining Techniques: For Marketing, Sales, and Customer Support",9780321997821,9780471179801.0
bn_2418,B823,MySQL Administrator's Guide,SQL Fundamentals with CDROM,9780672332654,9780130960160.0
bn_1270,B1181,Delphi 3 SuperBible,Sams Teach Yourself MySQL in 21 Days,9781571690272,9780672319143.0
bn_706,B2578,FileMaker 8 Calculation Functions (Digital Short Cut),Microsoft SQL Server 2000 Unleashed,9780132713184,9780672319976.0
bn_2433,B631,Business Research Handbook,Microsoft Office Access 2003: Introductory,9780316808811,
bn_1511,B1118,The Entity-Relationship Approach to Logical Data Base Design,Beginning Database Design: From Novice to Professional,9780894353840,9781430242093.0
bn_577,B997,FileMaker Pro 6 Advanced for Windows and Macintosh: Visual QuickPro Guide,SAS Data Integration Studio 4.6: User's Guide,9780321162199,9781612905235.0
bn_1674,B2889,"UNIX, a Database Approach","Microsoft Access XP Manual del Usuario: Manuales Users, en Espanol / Spanish (Spanish Edition)",9780070157453,9789875261082.0
bn_892,B876,Integrated Approach to Environmental Data Management Systems,Up and Running With DB2 for Linux (Ibm Redbooks),9789401063678,9780738427676.0
bn_701,B293,Mike Ault's Oracle Internals Monitoring and Tuning Scripts: Advanced Internals and OCP Certification Insights for the Master DBA,MariaDB High Performance,9780972751384,9781783981601.0
bn_2122,B2429,Microbook: Database Management for the Apple II Computer,Professional SQL Server 2000 Data Warehousing with Analysis Services,9780880560726,9781861005403.0
bn_303,B2441,Mining Imperfect Data: Dealing with Contamination and Incomplete Records,Microsoft Access Interview Questions You'll Most Likely Be Asked,9780898715828,9781468170979.0
bn_1198,B890,Oracle PL/SQL Language Pocket Reference,Professional SQL Server 7.0 Programming,9780596514044,9781861002310.0
bn_2916,B197,ILM Library: Techniques with Tivoli Storage and IBM TotalStorage Products,Oracle Coherence 3.5,9780738496047,9781847196125.0
bn_91,B617,FileMaker Pro 2.0 for the Mac in a Nutshell,Professional SQL Server 2005 Performance Tuning,9780782112146,9780470176399.0
bn_706,B2919,FileMaker 8 Calculation Functions (Digital Short Cut),XML Primer Plus,9780132713184,9780672324222.0
bn_95,B148,Data Access Patterns: Database Interactions in Object-Oriented Applications (Software Patterns Series),Semantic Mining of Social Networks (Synthesis Lectures on the Semantic Web: Theory and Technology),9780131401570,9781608458578.0
bn_2363,B1755,Mobile Agents and Security,Predictive Policing: The Role of Crime Forecasting in Law Enforcement Operations,9783540647928,9780833081483.0
bn_2013,B1053,Expert Systems for Business: Concepts and Applications,OCA Oracle Database 12c SQL Fundamentals I Exam Guide (Exam 1Z0-061) (Oracle Press),9780877091301,9780071820288.0
bn_1051,B1777,Pro MSMQ: Microsoft Message Queue Programming / Edition 1,Joe Celko's SQL for Smarties: Advanced SQL Programming (The Morgan Kaufmann series in data management systems),9781590593462,9781558603233.0
bn_1977,B1042,Professional Oracle Programming / Edition 1,Network Scheduling Techniques for Construction Project Management (Nonconvex Optimization and Its Applications),9780764574825,9781441947659.0
bn_1218,B910,Pro SQL Server 2012 Reporting Services,"Knowledge Discovery from Sensor Data: Second International Workshop, Sensor-KDD 2008, Las Vegas, NV, USA, August 24-27, 2008, Revised Selected Papers ... Applications, incl. Internet/Web, and HCI)",9781430238102,9783642125188.0
bn_282,B2906,Information Security,XPath and XPointer: Locating Content in XML Documents,9780412414404,9780596002916.0
bn_1804,B1644,SQL Server 2012 Query Performance Tuning,Murach's SQL Server 2008 for Developers (Murach: Training & Reference),9781430242031,9781890774516.0
bn_1117,B1591,"Sap Pm Interview Questions, Answers, And Explanations: Sap Plant Maintenance Certification Review",Problem Solving Cases with Microsoft Access and Excel,9781933804132,9781423902133.0
bn_1535,B416,SQL/400 Developer&#039;s Guide / Edition 2,MCITP Administrator Microsoft SQL Server 2005 Optimization and Maintenance Study Guide: Exam 70-444,9781882419708,9780470127452.0
bn_1460,B207,FileMaker Pro 14: The Missing Manual,Business Analysis Using Regression: A Casebook,9781491917480,9780683306729.0
bn_1426,B2155,"The Windows Workshop: Access for Windows, Version 2.0","DB2 Universal DRDA Certification Guide, The",9780534305581,9780130824257.0
bn_1296,B2676,"Using dBASE 4, 2.0 Special Edition",Fifty Key Anthropologists (Routledge Key Guides),9781565291539,9780415461054.0
bn_583,B918,Database Semantics: Semantic Issues in Multimedia Systems,Data Warehouse: From Architecture to Implementation,9781475749168,9780201964257.0
bn_821,B1497,SIGIR 96: 19th Annual Conference on Research and Development in Information Retrieval,MySQL (4th Edition),9780897917926,9780672329388.0
bn_2490,B2303,Multimedia Database Management Systems / Edition 1,MySQL Stored Routines: Creating Your Own Procedure and Function: A Beginner's Tutorial,9780792397847,9781502499653.0
bn_1926,B665,Learning PHP and MySQL,The dBase Book: Developing Windows Applications with dBase Plus,9780596553500,9781420874488.0
bn_1640,B2367,Advanced Database Machine Architecture,Foundation Mathematics for Computer Science: A Visual Approach,9780130112620,9783319214368.0
bn_575,B2401,Microsoft SharePoint 2013 Disaster Recovery Guide,"Entity-relationship Approach-er '93: 12th International Conference on the Entity-relationship Approach Arlington, Texas, USA, December 15-17, 1993 (Lecture Notes in Computer Science)",9781849685115,9780387582177.0
bn_51,B1477,Data Mining: Concepts and Techniques / Edition 3,The Macintosh Bible Guide to FileMaker Pro: All You Need to Know to Manage Your Files Quickly and Efficiently,9780123814791,9780940235229.0
bn_2492,B2969,The Practical SQL Handbook / Edition 2,Powerbuilder 4.0 for Windows Power Toolkit: Cutting-Edge Tools & Techniques for Programmers (Power Toolkit/Book and CD-Rom),9780201626230,9781566042246.0
bn_1444,B2113,Information Retrieval Systems: Theory and Implementation / Edition 1,Tera-Tom on Teradata Utilities V12/V13,9780792399261,9780983336341.0
bn_1521,B264,Creating SQL Server 2005 Applications with Visual Studio 2005 / Edition 1,"Skills for Success with Microsoft Office 2010, Volume 1, myitlab with Pearson eText -- Access Card -- for Skills for Success with Office 2010, and Microsoft Office 180-day trial Spring 2011 Package",9780131463554,9780132847490.0
bn_2258,B344,Microsoft Access 7.0 for Windows 95 / Edition 1,Simulation Modeling and Arena,9780256220506,9780470097267.0
bn_1256,B549,"Intelligent Data Engineering and Automated Learning - IDEAL 2006: 7th International Conference, Burgos, Spain, September 20-23, 2006, Proceedings",Teach Yourself...Filemaker Pro for the Mac (Teach Yourself Visually),9783540454854,9781558283695.0
bn_2428,B2029,"New Perspectives on Microsoft Access 2013, Introductory",Practical Oracle Database Appliance,9781285099217,9781430262657.0
bn_1241,B132,SAS/ACCESS 9. 1. 3 Supplement for DB2 under UNIX and PC Hosts: SAS/ACCESS for Relational Databases,dBASE IV (Learn-PC Series),9781590478653,9780132031424.0
bn_2027,B2763,Mastering ColdFusion 5 with CD-ROM,Create and Use Databases (Access 2002),9780782129793,9781877305443.0
bn_1573,B2570,Access 2007 (Quamut),Introduction to dBASE IV,9781411405066,9780134828947.0
bn_169,B702,Using Delphi-Special Edition,Microsoft SQL Server 2012 Management and Administration (2nd Edition),9781565298231,9780672336003.0
bn_2215,B1763,"Advances in Spatial Databases: 2nd Symposium, SSD '91 Zurich, Switzerland, August 28-30, 1991 Proceedings",MS Access 97: One Step at a Time (BP),9780387544144,9780859344302.0
bn_1558,B899,Introduction to Database Management: A Practical Approach,Exploring Microsoft Access 2.0 for Windows,9780697004512,9780130794925.0
bn_248,B2897,Database Management Systems / Edition 3,Oracle Data Warehousing and Business Intelligence Solutions,9780072465631,9780471919216.0
bn_38,B1007,Agile Data Science: Building Data Analytics Applications with Hadoop,Microsoft Access 2000 Step by Step Courseware: Core Skills Student Guide (Eu-Step By Step Ilt),9781449326265,9780735607026.0
bn_1103,B2862,Learn FileMaker Pro 7,"Easy Oracle Automation: Oracle10g Automatic Storage, Memory and Diagnostic Features (Easy Oracle Series)",9781556220982,9780974599366.0
bn_694,B1260,Delphi COM Programming,Data Warehousing: Regulatory and Market Intelligence for R&D Organizations,9781578702213,9780471325581.0
bn_2305,B2853,Pro Oracle Application Express / Edition 1,Interactive Data Visualization for the Web,9781590598276,9781449339739.0
bn_2723,B980,Essential Guide to Object Monitors,"Emerging Trends in Knowledge Discovery and Data Mining: PAKDD 2012 International Workshops: DMHM, GeoDoc, 3Clust, and DSDM, Kuala Lumpur, Malaysia, ... / Lecture Notes in Artificial Intelligence)",9780471319719,9783642367779.0
bn_55,B1164,Delphi Database Development,Powerbuilder: Building Client Server Applications/Book and Disk,9781558514690,9780131793002.0
bn_429,B663,Introduction to Business Data Mining / Edition 1,Trust for Intelligent Recommendation (SpringerBriefs in Electrical and Computer Engineering),9780072959710,9781461468943.0
bn_314,B158,Security and Privacy: 1996 IEEE Symposium On,Dominar phpMyAdmin para una administración efectiva de MySQL [Espanol] (Spanish Edition),9780818674174,9781904811985.0
bn_2883,B1595,"Mambo: Installation, Administration, Anwendung und Entwicklung / Edition 1","Autonomous and Intelligent Systems: Third International Conference, AIS 2012, Aviero, Portugal, June 25-27, 2012, Proceedings (Lecture Notes in Computer Science)",9783540221586,9783642313677.0
bn_82,B2860,CommVault Concepts & Design Strategies,Oracle HTML DB Handbook (Oracle Press),2940013971783,9780072257687.0
bn_1065,B2626,FileMaker Pro 4 for Windows & Macintosh: Visual QuickStart Guide,SAS For Dummies,9780201696646,9780471788324.0
bn_265,B535,Information Systems: The Connection of People and Resources for Innovation a Textbook,Einführung in Business Intelligence mit SAP NetWeaver 7.0 (German Edition),9789814383516,9783540795360.0
bn_2600,B2159,Configuring SAP ERP Sales and Distribution,Mastering Microsoft SQL Server 2005,9780470641118,9780782143805.0
bn_419,B1543,"Intelligent Information Processing and Web Mining: Proceedings of the International IIS: IIPWM'05 Conference held in Gdansk, Poland, June 13-16, 2005",Inside dBase IV,9783540250562,9781850581338.0
bn_702,B2135,"Data Warehousing and Knowledge Discovery: 9th International Conference, DaWaK 2007, Regensburg, Germany, September 3-7, 2007, Proceedings",Oracle Server Programming,9783540745525,9780201877502.0
bn_1830,B298,Electronic Cataloging,Complexity of Constraints: An Overview of Current Research Themes (Lecture Notes in Computer Science / Theoretical Computer Science and General Issues),9780789022240,9783540927990.0
bn_1685,B620,Uncertainty Handling and Quality Assessment in Data Mining / Edition 1,Oracle Job Interview Handbook (IT Job Interview series),9781852336554,9780979795121.0
bn_2033,B535,Business Analytics / Edition 2,Einführung in Business Intelligence mit SAP NetWeaver 7.0 (German Edition),9780321997821,9783540795360.0
bn_1161,B2574,Teach Yourself Delphi in 21 Days,"CP/m for the Kaypro, With an Introduction to dBASE II",9780672304705,9780835911009.0
bn_1652,B2209,How to Do Everything with PHP &amp; MySQL / Edition 1,Probability and Statistics,9780072257953,9780137116980.0
bn_2662,B2112,Managing Distributed Databases: Building Bridges Between Database Islands,Data Analysis with Microsoft Access 2010: From Simple Queries to Business Intelligence,9780471086239,9781435460102.0
bn_1691,B313,DB2 Essentials: Understanding DB2 in a Big Data World,Ajax for Web Application Developers,9780133461909,9780672329128.0
bn_874,B407,Maintaining Information Systems in Organizations,"Graph Based Representations in Pattern Recognition: 4th IAPR International Workshop, GbRPR 2003, York, UK, June 30 - July 2, 2003. Proceedings (Lecture Notes in Computer Science)",9780471919698,9783540404521.0
bn_2847,B2356,Q and a 3 Made Easy,SQL Weekend Crash Course,9780078816260,9780764549014.0
bn_2329,B634,Metadata Management for Information Control and Business Success,"Discrete Mathematics and Theoretical Computer Science: 4th International Conference, DMTCS 2003, Dijon, France, July 7-12, 2003. Proceedings (Lecture Notes in Computer Science)",9780890062807,9783540405054.0
bn_688,B2860,The Windows Workshop: Access 1.1 for Windows,Oracle HTML DB Handbook (Oracle Press),9780534305260,9780072257687.0
bn_2506,B356,Advanced Oracle Tuning and Administration,"Developing a Data Warehouse for the Healthcare Enterprise: Lessons from the Trenches, Second Edition (500 Tips)",9780078822414,9781938904325.0
bn_401,B754,Unix for Oracle Dbas Pocket Reference,DB2 Answers! Certified Tech Support,9780596000660,9780072119145.0
bn_913,B2927,Implementing Databases in Oracle 9i,Designing and Building Business Applications: WITH Oracle,9781576760826,9780071242004.0
bn_1001,B2681,PC Magazine Programming Access 97,DB2 Administration Solution Pack for Z/Os: Streamlining DB2 for Z/Os Database Administration,9781562764371,9780738438665.0
bn_2969,B2359,Practical Web Databases,Virtualize Oracle Business Critical Databases: Database Infrastructure As A Service,9781904151203,9781500135126.0
bn_1149,B2898,Relational Data Mining / Edition 1,Access for Windows 3.1 Made Simple (Made Simple Series),9783642076046,9780750623094.0
bn_2151,B912,"Digital Rights Management: ACM CCS-9 Workshop, DRM 2002, Washington, DC, USA, November 18, 2002, Revised Papers / Edition 1","PHP, MySQL, JavaScript & HTML5 All-in-One For Dummies",9783540404101,9781118213704.0
bn_2686,B2113,Metadata Fundamentals For All Librarians / Edition 1,Tera-Tom on Teradata Utilities V12/V13,9780838908471,9780983336341.0
bn_1509,B2946,Microsoft Sql Server 2008 Internals,"Advances in Communication and Networking: Second International Conference on Future Generation Communication and Networking, FGCN 2008, Sanya, Hainan ... in Computer and Information Science)",9780735626249,9783642102356.0
bn_1808,B1895,Database System Concepts (3/P),dBase IV: Version 1.1 (From Start to Finish),9780071005296,9780273038160.0
bn_535,B1290,"New Perspectives on Microsoft Office Access 2003, Comprehensive, Second Edition / Edition 2",The Rational Guide To SQL Server 2005 Security,9780619268114,9781932577402.0
bn_2353,B424,MacIntosh Bible Guide to FileMaker Pro 2.0,MCSE Exam Notes: SQL Server 7 Administration,9780940235229,9780782124774.0
bn_1360,B399,Oracle Quick Guides Part 2 - Oracle Database Design,Microsoft® Access Version 2002 Inside Out,9788494178368,9780735612839.0
bn_2594,B2093,"Advances in Database Technology - EDBT '94: 4th International Conference on Extending Database Technology, Cambridge, United Kingdom, March 28 - 31, 1994. Proceedings",Purely Functional Data Structures,9783540578185,9780521663502.0
bn_379,B520,An Introduction to IMS: Your Complete Guide to IBM Information Management System,Practical Oracle Security: Your Unauthorized Guide to Relational Database Security,9780132886871,9781597491983.0
bn_1925,B2235,Physical Database Design for SYBASE SQL Server,Using Microsoft Excel and Access 2013 for Accounting (with Student Data CD-ROM),9780131615236,9781285183473.0
bn_1698,B1995,"Visual Basic .NET Developer&#039;s Guide to ASP .NET, XML and ADO.NET",Learn Oracle 8i,9780672321313,9781556227318.0
bn_814,B2653,Visual FoxPro 3.0 for Windows: Development of Full-Scale Applications,Oracle Discoverer Handbook,9781558514157,9780072126358.0
bn_2464,B1307,FileMaker Pro 5 Companion,"Modular Ontologies: Concepts, Theories and Techniques for Knowledge Modularization (Lecture Notes in Computer Science / Theoretical Computer Science and General Issues)",9780124361515,9783642019067.0
bn_689,B1204,"Database and Expert Systems Applications: 10th International Conference, DEXA'99, Florence, Italy, August 30 - September 3, 1999, Proceedings",Using OpenRefine,9783540664482,9781783289080.0
bn_1039,B425,Information Assurance: Managing Organizational IT Security Risks / Edition 1,HTML5 and JavaScript Projects (Expert's Voice in Web Development),9780750673273,9781430240327.0
bn_2334,B848,"Database: Enterprise, Skills and Innovation: 22nd British National Conference on Databases, BNCOD 22, Sunderland, UK, July 5-7, 2005, Proceedings / Edition 1",Hadoop Application Architectures,9783540269731,9781491900086.0
bn_706,B1632,FileMaker 8 Calculation Functions (Digital Short Cut),High Performance MySQL,9780132713184,9780596003067.0
