ID_A,ID_B,Flag,Title_A,Title_B,ISBN_A,ISBN_B
bn_1739,B139,,Database Design and Relational Theory: Normals Forms and All That Jazz,Database Design and Relational Theory: Normals Forms and All That Jazz (Theory in practice) (Paperback) - Common,9.78145E+12,
bn_6,B142,,CMDB Systems: Making Change Work in the Age of Cloud and Agile,CMDB Systems: Making Change Work in the Age of Cloud and Agile,9.78013E+12,9.78013E+12
bn_1813,B143,,Access 2007 VBA Programmer's Reference,Access 2007 VBA Programmer's Reference,9.78047E+12,9.78047E+12
bn_1268,B168,,Oracle SOA Suite 11g Administrator's Handbook,Oracle SOA Suite 11g Administrator's Handbook,9.78185E+12,9.78185E+12
bn_1222,B170,,Learning: Microsoft Access 2003 / Edition 1,Learning: Microsoft Access 2003,9.78013E+12,9.78013E+12
bn_444,B173,,Building a Scalable Data Warehouse with Data Vault 2.0,Building a Scalable Data Warehouse with Data Vault 2.0,9.78013E+12,9.78013E+12
bn_1700,B178,,Microsoft SQL Server 2000 DTS [Data Transformation Services],Microsoft SQL Server 2000 DTS [Data Transformation Services],9.78067E+12,9.78067E+12
bn_963,B181,,Oracle CRM On Demand Embedded Analytics,Oracle CRM On Demand Embedded Analytics (Oracle Press),9.78007E+12,9.78007E+12
bn_320,B188,,Access 97 for Windows 95,Short Course: Microsoft Access 97 (Short Course Learning Series),9.78156E+12,9.78156E+12
bn_920,B194,,Advanced Transact-SQL for SQL Server 2000 / Edition 1,Advanced Transact-SQL for SQL Server 2000,9.78189E+12,9.78189E+12
bn_611,B200,,Oracle PL/SQL Programming,Oracle Pl/SQL Programming (Oracle Series),9.78008E+12,9.78008E+12
bn_1065,B202,,FileMaker Pro 4 for Windows & Macintosh: Visual QuickStart Guide,Filemaker Pro 4 for Windows & Macintosh (Visual QuickStart Guide),9.7802E+12,9.7802E+12
bn_1744,B205,,ORACLE 12c/11g/10g. Administraci n Avanzada de Bases de datos con ORACLE ENTERPRISE MANAGER,ORACLE 12c/11g/10g. Administración Avanzada de Bases de datos con ORACLE ENTERPRISE MANAGER (Spanish Edition),9.78149E+12,9.78149E+12
bn_1828,B209,,"Microsoft SQL Server 2005: A Beginner""s Guide",Microsoft SQL Server 2005: A Beginner's Guide,9.78007E+12,9.78007E+12
bn_553,B215,,"Microsoft Access Small Business Solutions: State-of-the-Art Database Models for Sales, Marketing, Customer Management, and More Key Business Activities","Microsoft Access Small Business Solutions: State-of-the-Art Database Models for Sales, Marketing, Customer Management, and More Key Business Activities",9.78047E+12,9.78047E+12
bn_1215,B216,,PeopleSoft PeopleTools Data Management and Upgrade Handbook,PeopleSoft PeopleTools Data Management and Upgrade Handbook (Oracle Press),9.78007E+12,9.78007E+12
bn_1919,B228,,Joe Celko's Complete Guide to NoSQL: What Every SQL Professional Needs to Know about Non-Relational Databases,Joe Celko's Complete Guide to NoSQL: What Every SQL Professional Needs to Know about Non-Relational Databases,9.78012E+12,9.78012E+12
bn_1121,B234,,Oracle9i Performance Tuning: Optimizing Database Productivity / Edition 1,Oracle9i Performance Tuning: Optimizing Database Productivity,9.78062E+12,9.78062E+12
bn_1739,B255,,Database Design and Relational Theory: Normals Forms and All That Jazz,Database Design and Relational Theory: Normal Forms and All That Jazz (Theory in Practice),9.78145E+12,9.78145E+12
bn_594,B267,0,Database Management,Worldwide Relational Database Management Systems 2008-2012 Forecast: Effects of the Economic Crisis,9.78007E+12,
bn_724,B267,0,Database Management,Worldwide Relational Database Management Systems 2008-2012 Forecast: Effects of the Economic Crisis,9.78088E+12,
bn_1266,B273,,Expert MySQL / Edition 1,Expert MySQL (Expert's Voice in Open Source),9.78159E+12,9.78159E+12
bn_938,B274,,Sams Teach Yourself PL/SQL in 21 Days with Cdrom,Teach Yourself PL/SQL in 21 Days with CDROM (Teach Yourself (McGraw-Hill)),9.78067E+12,9.78067E+12
bn_835,B283,,The dBase III User's Handbook,dBase III User's Handbook,9.78035E+12,9.78035E+12
bn_606,B284,,Programming Microsoft SQL Server 2000 with Microsoft Visual Basic .NET,Programming Microsoft SQL Server 2000 with Microsoft Visual Basic .Net (Microsoft Programming),9.78074E+12,9.78074E+12
bn_987,B291,,Access 2000 for Windows: Visual QuickStart Guide,Access 2000 for Windows (Visual QuickStart Guide),9.7802E+12,9.7802E+12
bn_1459,B292,,Troubleshooting Sql,Troubleshooting SQL,9.78007E+12,9.78007E+12
bn_1109,B293,,MariaDB High Performance,MariaDB High Performance,9.78178E+12,9.78178E+12
bn_1476,B305,,DB2 Universal Database in Application Development Environments,DB2 Universal Database in Application Development Environments,9.78013E+12,9.78013E+12
bn_571,B306,,SQL for eServer i5 and iSeries,SQL for eServer i5 and iSeries,9.78158E+12,9.78158E+12
bn_38,B310,,Agile Data Science: Building Data Analytics Applications with Hadoop,Agile Data Science: Building Data Analytics Applications with Hadoop,9.78145E+12,9.78145E+12
bn_197,B335,,Oracle Enterprise Manager 10g Grid Control Implementation Guide / Edition 1,Oracle Enterprise Manager 10g Grid Control Implementation Guide (Oracle Press),9.78007E+12,9.78007E+12
bn_2004,B339,,Hands-On Microsoft SQL Server 2005 Integration Services / Edition 1,Hands-On Microsoft SQL Server(TM) 2005 Integration Services,9.78007E+12,9.78007E+12
bn_1101,B343,,Agile Analytics: A Value-Driven Approach to Business Intelligence and Data Warehousing / Edition 1,Agile Analytics: A Value-Driven Approach to Business Intelligence and Data Warehousing (Agile Software Development Series),9.78032E+12,9.78032E+12
bn_1820,B354,,Predictive Data Mining: A Practical Guide / Edition 1,Predictive Data Mining: A Practical Guide (The Morgan Kaufmann Series in Data Management Systems),9.78156E+12,9.78156E+12
bn_178,B358,,FileMaker Pro and the World Wide Web,FileMaker Pro 4 and the World Wide Web (Claris Press),9.78013E+12,9.78013E+12
bn_1155,B360,,MySQL and JSP Web Applications: Data-Driven Programming Using Tomcat and MySQL,MySQL and JSP Web Applications: Data-Driven Programming Using Tomcat and MySQL,9.78067E+12,9.78067E+12
bn_407,B361,,Database Design for Smarties: Using UML for Data Modeling / Edition 1,Database Design for Smarties: Using UML for Data Modeling (The Morgan Kaufmann Series in Data Management Systems),9.78156E+12,9.78156E+12
bn_833,B362,,Expert Oracle Enterprise Manager 12c,Expert Oracle Enterprise Manager 12c,9.78143E+12,9.78143E+12
bn_1244,B367,,Oracle Essentials; Oracle8 and Oracle8i,Oracle Essentials: Oracle8 & Oracle8i: Oracle8 and Oracle8i,9.78157E+12,9.78157E+12
bn_272,B397,,Oracle8i Web Development,Oracle8i Web Development,9.78007E+12,9.78007E+12
bn_2016,B399,,Microsoft Access Version 2002 Inside Out,Microsoft® Access Version 2002 Inside Out,9.78074E+12,9.78074E+12
bn_1160,B422,,Programming Microsoft LINQ in Microsoft .NET Framework 4,Programming Microsoft LINQ in .NET Framework 4 (Developer Reference),9.78074E+12,9.78074E+12
bn_1618,B423,0,Microsoft Access,Microsoft Access 2013: Level 2 (Benchmark Series),9.78156E+12,
bn_842,B428,,Hands on Access 97,Hands On Access 97,9.78076E+12,9.78076E+12
bn_1884,B442,,SQL Server 7: A Beginner's Guide,SQL Server 7: A Beginner's Guide,9.78007E+12,9.78007E+12
bn_229,B447,,Microsoft Access 95: Developer's Handbook,Microsoft Access 95 Developer's Handbook,9.78078E+12,9.78078E+12
bn_1060,B472,,Microsoft Access 97 Exam Cram: Microsoft Office User Specialist,MOUS Access 97 Exam Cram,9.78158E+12,9.78158E+12
bn_548,B475,,Microsoft Access for Windows 95 / Edition 1,Microsoft Access for Windows 95 (Quicktorial),9.78054E+12,9.78054E+12
bn_669,B492,,Understanding Relational Databases: With Examples in SQL-92,Understanding Relational Databases with Examples in SQL-92,9.78047E+12,9.78047E+12
bn_1034,B493,,Sams Teach Yourself Microsoft SQL Server 2000 in 21 Days,Sams Teach Yourself Microsoft SQL Server 2000 in 21 Days (2nd Edition),9.78067E+12,9.78067E+12
bn_1879,B497,,DB2 SQL Tuning Tips for z/OS Developers,DB2 SQL Tuning Tips for z/OS Developers (IBM Press),9.78013E+12,9.78013E+12
bn_451,B501,,Microsoft SQL Server 2012 T-SQL Fundamentals,Microsoft SQL Server 2012 T-SQL Fundamentals (Developer Reference),9.78074E+12,9.78074E+12
bn_1220,B514,,Microsoft ADO.NET 4 Step by Step,Microsoft ADO.NET 4 Step by Step (Step by Step Developer),9.78074E+12,9.78074E+12
bn_1374,B520,,Practical Oracle Security: Your Unauthorized Guide to Relational Database Security,Practical Oracle Security: Your Unauthorized Guide to Relational Database Security,9.7816E+12,9.7816E+12
bn_1618,B536,,Microsoft Access,Microsoft Access 1.1 for Windows (Quick Reference Guide),9.78156E+12,9.78156E+12
bn_1868,B553,,Discover Access 1997,Discover Access 97 (6-Point Discover Advantage),9.78076E+12,9.78076E+12
bn_1503,B559,,Oracle DBA Automation Quick Reference,Oracle DBA Automation Quick Reference,9.78013E+12,9.78013E+12
bn_164,B568,,MDM for Customer Data: Optimizing Customer Centric Management of Your Business,MDM for Customer Data: Optimizing Customer Centric Management of Your Business,9.78158E+12,9.78158E+12
bn_1654,B572,,Creating the Semantic Web with RDF: Professional Developer's Guide,Creating the Semantic Web with RDF: Professional Developer's Guide (With CD-ROM),9.78047E+12,9.78047E+12
bn_1108,B580,,SQL Server 2008 Administration Instant Reference,SQL Server 2008 Administration Instant Reference,9.78047E+12,9.78047E+12
bn_1840,B582,,Oracle8i Database Administration,Oracle8i Database Administration,9.78188E+12,9.78188E+12
bn_577,B588,,FileMaker Pro 6 Advanced for Windows and Macintosh: Visual QuickPro Guide,FileMaker Pro 6 Advanced for Windows and Macintosh: Visual QuickPro Guide,9.78032E+12,9.78032E+12
bn_1565,B598,,Sams Teach Yourself Transact-SQL in 21 Days,Sams Teach Yourself Transact-SQL in 21 Days (2nd Edition),9.78067E+12,9.78067E+12
bn_1385,B599,,SQL Server 2000: A Beginner's Guide (Book/CD-ROM),SQL Server 2000:  A Beginner's Guide (Book/CD-ROM),9.78007E+12,9.78007E+12
bn_1903,B605,,Microsoft SQL Server 2005 Compact Edition,Microsoft SQL Server 2005 Compact Edition,9.78067E+12,9.78067E+12
bn_788,B621,,Microsoft Access for Windows 95 Instant Reference,Microsoft Access for Windows 95: Instant Reference (Sybex Instant Reference Series),9.78078E+12,9.78078E+12
bn_573,B631,,Microsoft Office Access 2003,Microsoft Office Access 2003: Introductory,9.78007E+12,
bn_1882,B631,,Microsoft Office Access 2003,Microsoft Office Access 2003: Introductory,9.78047E+12,
bn_956,B632,,Microsoft Access 2000-Illustrated Complete / Edition 1,Microsoft Access 2000-Illustrated Complete (Illustrated Series),9.78076E+12,9.78076E+12
bn_508,B653,,SQL Tips and Techniques,SQL Tips & Techniques (Miscellaneous),9.78193E+12,9.78193E+12
bn_1132,B658,,Sams Teach Yourself Access 97 in 24 Hours,Sams Teach Yourself Access 97 in 24 Hours,9.78067E+12,9.78067E+12
bn_1455,B662,,Interactive Computing Series: Microsoft Access 97 / Edition 1,Interactive Computing Series: Microsoft Access 97,9.78007E+12,9.78007E+12
bn_1348,B667,,Oracle Performance Tuning [With *],Oracle Performance Tuning (Nutshell Handbooks),9.78157E+12,9.78157E+12
bn_1467,B687,,Microsoft Access Instant Reference,Microsoft Access Instant Reference (Sybex Instant Reference Series),9.78078E+12,9.78078E+12
bn_1826,B688,,MYSQL/PHP Database Applications / Edition 2,MySQL / PHP Database Applications,9.78076E+12,9.78076E+12
bn_1273,B695,,Sybase DBA Companion,Sybase DBA Companion with CDROM,9.78014E+12,9.78014E+12
bn_537,B704,,Applied Microsoft Business Intelligence,Applied Microsoft Business Intelligence,9.78112E+12,9.78112E+12
bn_666,B709,,Microsoft Access 97 Developer's Handbook: Create Robust Databases Develop Custom Interfaces,Microsoft Access 97 Developers Handbook: With CDROM (Solution Developer Series),9.78157E+12,9.78157E+12
bn_281,B721,,Data Warehousing: Architecture and Implementation / Edition 1,Data Warehousing: Architecture and Implementation,9.78013E+12,9.78013E+12
bn_911,B728,,Java Programming with Oracle SQLJ,Java Programming with Oracle SQLJ,9.7806E+12,9.7806E+12
bn_1521,B737,,Creating SQL Server 2005 Applications with Visual Studio 2005 / Edition 1,Creating SQL Server 2005 Applications with Visual Studio,9.78013E+12,9.78013E+12
bn_1663,B755,,Informix Guide to SQL: Reference and Syntax,Informix Guide to SQL: Reference and Syntax (2nd Edition),9.78013E+12,9.78013E+12
bn_1029,B759,,Microsoft SQL Server 2005: Applied Techniques Step by Step,Microsoft® SQL Server 2005: Applied Techniques Step by Step (Step by Step Developer),9.78074E+12,9.78074E+12
bn_1301,B761,,DBASE IV Quick Reference,dBase IV Quick Reference (Que quick reference series),9.78088E+12,9.78088E+12
bn_1265,B783,,Analysis and Comparison of Relational Database Systems,Analysis and Comparison of Relational Database Systems,9.7802E+12,9.7802E+12
bn_40,B785,0,The Art and Science of Oracle Performance Tuning,Oracle Performance Tuning,9.78159E+12,
bn_1348,B785,,Oracle Performance Tuning [With *],Oracle Performance Tuning,9.78157E+12,
bn_327,B804,,Instant SQL Computer,Instant SQL,9.78187E+12,9.78187E+12
bn_573,B810,,Microsoft Office Access 2003,Microsoft Office Access 2003: The Complete Reference (Osborne Complete Reference Series),9.78007E+12,
bn_1882,B810,,Microsoft Office Access 2003,Microsoft Office Access 2003: The Complete Reference (Osborne Complete Reference Series),9.78047E+12,
bn_1987,B819,,Oracle Database 10g PL/SQL Programming / Edition 1,Oracle Database 10g PL/SQL Programming,9.78007E+12,9.78007E+12
bn_1819,B823,,SQL Fundamentals,SQL Fundamentals with CDROM,9.78013E+12,9.78013E+12
bn_319,B832,,Predictive Analytics and Data Mining: Concepts and Practice with RapidMiner,Predictive Analytics and Data Mining: Concepts and Practice with RapidMiner,9.78013E+12,9.78013E+12
bn_1723,B837,,Access 2000 Guidebook / Edition 3,Access 2000 Guidebook,9.78158E+12,9.78158E+12
bn_129,B838,,SQL Server 2000 Design and T-SQL Programming,SQL Server 2000 Design & T-SQL Programming,9.78007E+12,9.78007E+12
bn_872,B847,,Oracle Database Ajax &amp; PHP Web Application Development,Oracle Database Ajax & PHP Web Application Development (Oracle Press),9.78007E+12,9.78007E+12
bn_1677,B859,,"New Perspectives on Microsoft Office Access 2003, Brief, CourseCard Edition / Edition 1","New Perspectives on Microsoft Office Access 2003, Brief, CourseCard Edition (New Perspectives Series)",9.78142E+12,9.78142E+12
bn_305,B861,,Microsoft Access 7 for Windows 95: Introductory,Microsoft Access 7 for Windows 95: Introductory,9.78076E+12,9.78076E+12
bn_1006,B864,,Database Design,Database Design,9.78067E+12,9.78067E+12
bn_986,B865,,UML for Database Design / Edition 1,UML for Database Design,9.7802E+12,9.7802E+12
bn_816,B875,,Microsoft SQL Server 2012 Analysis Services: The BISM Tabular Model,Microsoft SQL Server 2012 Analysis Services: The BISM Tabular Model (Developer Reference),9.78074E+12,9.78074E+12
bn_1043,B881,,"SQL The Complete Reference, 3rd Edition / Edition 3","SQL: The Complete Reference, 3rd Edition",9.78007E+12,9.78007E+12
bn_2009,B884,,Beginning Access 2000 VBA with CD-ROM,Beginning Access 2000 VBA,9.78076E+12,9.78076E+12
bn_615,B904,,Microsoft SQL Server 2000 Programming by Example,Microsoft SQL Server 2000 Programming by Example,9.78079E+12,9.78079E+12
bn_1013,B907,,Data Warehousing in the Real World: A Practical Guide for Building Decision Support Systems,Data Warehousing in the Real World: A practical guide for building Decision Support Systems,9.7802E+12,9.7802E+12
bn_262,B908,,End-User Computing: Concepts and Applications,"End-User Computing: Concepts and Applications : Wordperfect 5.1, Lotus 1-2-3, dBASE IV",9.78054E+12,9.78054E+12
bn_1328,B911,,Oracle Development Unleashed,Oracle Development Unleashed (3rd Edition),9.78067E+12,9.78067E+12
bn_1561,B931,,Oracle Designer : A Template for Developing An Enterprise Standards Document,Oracle Designer: A Template for Developing An Enterprise Standards Document,9.78013E+12,9.78013E+12
bn_915,B941,,Essentials: Microsoft Access 2003 Level 2 / Edition 4,Essentials: Microsoft Access 2003 Level 2 (Essentials Series for Office 2003),9.78013E+12,9.78013E+12
bn_1391,B970,,Modeling And Data Mining In Blogosphere,Modeling and Data Mining in Blogosphere (Synthesis Lectures on Data Mining and Knowledge Discovery),9.7816E+12,9.7816E+12
bn_1405,B971,,Oracle Designers Handbook,Oracle Design: The Definitive Guide (Nutshell Handbooks),9.78157E+12,9.78157E+12
bn_1635,B975,,From Concept to Comprehension: Access 2.0 For Windows,Microsoft Access 2.0 for Windows (Acumen),9.78088E+12,9.78088E+12
bn_1336,B994,,"Apache, MySQL, and PHP Web Development All-in-One Desk Reference For Dummies","Apache, MySQL, and PHP Web Development All-in-One Desk Reference For Dummies",9.78076E+12,9.78076E+12
bn_340,B1005,,SQL for SQL Server / Edition 1,SQL for SQL Server,9.78013E+12,9.78013E+12
bn_1842,B1031,,Admin911 Sql Server 2000,Admin911: SQL Server 2000,9.78007E+12,9.78007E+12
bn_601,B1044,,Effective MySQL Backup and Recovery,Effective MySQL Backup and Recovery (Oracle Press),9.78007E+12,9.78007E+12
bn_66,B1055,,"Oracle Database 12c: Install, Configure &amp; Maintain Like a Professional","Oracle Database 12c Install, Configure & Maintain Like a Professional (Oracle Press)",9.78007E+12,9.78007E+12
bn_1218,B1062,,Pro SQL Server 2012 Reporting Services,Pro SQL Server 2012 Reporting Services (Expert's Voice in SQL Server),9.78143E+12,9.78143E+12
bn_1923,B1069,,The Holy Grail of Data Storage Management / Edition 1,The Holy Grail of Data Storage Management,9.78013E+12,9.78013E+12
bn_603,B1070,,Microsoft Access 2002 ? Illustrated Complete / Edition 1,Microsoft Access 2002  Illustrated Complete (Illustrated (Thompson Learning)),9.78062E+12,9.78062E+12
bn_1291,B1081,,Microsoft Office Access 2007 VBA [Business Solutions Series],Microsoft Office Access 2007 VBA,9.78079E+12,9.78079E+12
bn_1730,B1091,,Java Programming with Oracle JDBC,Java Programming with Oracle JDBC,9.7806E+12,9.7806E+12
bn_25,B1095,,"Professional ADO.NET 2: Programming with SQL Server 2005, Oracle, and MySQL","Professional ADO.NET 2: Programming with SQL Server 2005, Oracle, and MySQL",9.78076E+12,9.78076E+12
bn_341,B1105,,Oracle9i RAC: Oracle Real Application Clusters Configuration and Internals,Oracle9i RAC: Oracle Real Application Clusters Configuration and Internals (Oracle In-Focus series),9.78097E+12,9.78097E+12
bn_885,B1108,,"Keeping Up With Oracle Database 12c Multitenant - Book One: CDBs, PDBs and the Multitenant World","Keeping Up With Oracle Database 12c Multitenant  - Book One: CDBs, PDBs and the Multitenant World (Volume 1)",9.78151E+12,9.78151E+12
bn_880,B1111,,Machine Learning and Data Mining for Computer Security: Methods and Applications / Edition 1,Machine Learning and Data Mining for Computer Security: Methods and Applications (Advanced Information and Knowledge Processing),9.78185E+12,9.78185E+12
bn_2037,B1112,,Oracle 8 PL/SQL Black Book: The Oracle 8 Professional's Guide to PL/SQL Language Concepts,Oracle8 Pl/SQL Black Book,9.78158E+12,9.78158E+12
bn_1546,B1115,,Managing Data Mining: Advice from Experts,Managing Data Mining: Advice from Experts (IT Solutions series),9.78159E+12,9.78159E+12
bn_667,B1118,,Beginning Database Design: From Novice to Professional,Beginning Database Design: From Novice to Professional,9.78143E+12,9.78143E+12
bn_1874,B1129,,Alison Balter's Mastering Access 2002 Enterprise Development,Alison Balter's Mastering Access 2002 Enterprise Development,9.78067E+12,9.78067E+12
bn_252,B1145,,Developing with Couchbase Server,Developing with Couchbase Server,9.78145E+12,9.78145E+12
bn_817,B1154,,Access 97 Macro and VBA Handbook (Developer's Handbook Series),Access 97 Macro & VBA Handbook,9.78078E+12,9.78078E+12
bn_1870,B1162,,"Data Architecture: A Primer for the Data Scientist: Big Data, Data Warehouse and Data Vault","Data Architecture: A Primer for the Data Scientist: Big Data, Data Warehouse and Data Vault",9.78013E+12,9.78013E+12
bn_1854,B1171,,Mastering Business Analysis with Crystal Reports 9,Mastering Business Analysis with Crystal Reports 9 (Wordware Applications Library),9.78156E+12,9.78156E+12
bn_1303,B1174,,Oracle8 Backup and Recovery Handbook,Oracle8 Backup and Recovery Handbook,9.78008E+12,9.78008E+12
bn_711,B1187,,Beginning PHP and MySQL E-Commerce: From Novice to Professional / Edition 2,"Beginning PHP and MySQL E-Commerce: From Novice to Professional, Second Edition",9.78159E+12,9.78159E+12
bn_1297,B1193,,Programming in Clipper,Programming in Clipper: The Definitive Guide to the Clipper dBASE Compiler,9.7802E+12,9.7802E+12
bn_1396,B1196,,Microsoft Access 2000: Cheat Sheet,Microsoft Access 2000 MOUS Cheat Sheet (Cheat Sheet),9.78079E+12,9.78079E+12
bn_1954,B1212,,DB2 for OS/390 Development for Performance,DB2 for OS/390 Development for Performance,9.78097E+12,9.78097E+12
bn_907,B1222,,Inside Microsoft SQL Server 6.5,Inside Microsoft SQL Server 6.5 (Microsoft Programming Series),9.78157E+12,9.78157E+12
bn_41,B1235,,Apache Hadoop YARN: Moving beyond MapReduce and Batch Processing with Apache Hadoop 2,Apache Hadoop YARN: Moving beyond MapReduce and Batch Processing with Apache Hadoop 2 (Addison-Wesley Data & Analytics Series),9.78032E+12,9.78032E+12
bn_332,B1257,,Oracle Business Intelligence 11g Developers Guide / Edition 1,Oracle Business Intelligence 11g Developers Guide,9.78007E+12,9.78007E+12
bn_5,B1261,,Microsoft Access 97-Visual Basic Step by Step,Microsoft Access 97 Visual Basic Step by Step (Step by Step (Microsoft)),9.78157E+12,9.78157E+12
bn_1901,B1277,,"Problem-Solving Cases in Microsoft Access and Excel, Fourth Annual Edition / Edition 4","Problem-Solving Cases in Microsoft Access and Excel, Fourth Annual Edition",9.78142E+12,9.78142E+12
bn_1961,B1308,,Quick and Easy Guide to dBASE IV,Compute!'s Quick and Easy Guide to dBASE IV,9.78087E+12,9.78087E+12
bn_1907,B1316,,Microsoft Ado.Net Step by Step (Step By Step Series),Microsoft® ADO.NET Step by Step (Step by Step Developer),9.78074E+12,9.78074E+12
bn_1715,B1320,,Optimizing Oracle Performance,Optimizing Oracle Performance,9.7806E+12,9.7806E+12
bn_47,B1325,,Creating Access Applications,Creating Access Applications/Book and Disk,9.78157E+12,9.78157E+12
bn_1848,B1328,,Pro SQL Server 2005 Assemblies,Pro SQL Server 2005 Assemblies (Expert's Voice),9.78159E+12,9.78159E+12
bn_456,B1333,,Big Data Glossary,Big Data Glossary,9.78145E+12,9.78145E+12
bn_1659,B1335,,Oracle PL/SQL Best Practices,Oracle PL/SQL Best Practices,9.7806E+12,9.7806E+12
bn_21,B1347,,Discovering SQL: A Hands-On Guide for Beginners,Discovering SQL: A Hands-On Guide for Beginners,9.78112E+12,9.78112E+12
bn_134,B1348,,Managing & Using MySQL: Open Source SQL Databases for Managing Information & Web Sites,Managing and Using MySQL (2nd Edition),9.7806E+12,9.7806E+12
bn_853,B1353,,"The Organization of Reduction, Data Flow, and Control Flow Systems","The Organization of Reduction, Data Flow, and Control Flow Systems (Computer Systems)",9.78026E+12,9.78026E+12
bn_913,B1354,,Implementing Databases in Oracle 9i,Implementing Databases in Oracle 9i,9.78158E+12,9.78158E+12
bn_1027,B1355,,Oracle Applications Performance Tuning Handbook (Book/CD-ROM package),Oracle Applications Performance Tuning Handbook (Book/CD-ROM package),9.78007E+12,9.78007E+12
bn_1371,B1371,,Learn FileMaker Pro 5.5,Learn Filemaker Pro 5.5 (Wordware FileMaker Library),9.78156E+12,9.78156E+12
bn_2008,B1379,,Access Hacks,Access Hacks: Tips & Tools for Wrangling Your Data,9.7806E+12,9.7806E+12
bn_663,B1390,,Oracle Developer Forms Techniques,Oracle Developer Forms Techniques,9.78067E+12,9.78067E+12
bn_336,B1402,,Data Warehousing and Decision Support: The State of the Art,"Data Warehousing and Decision Support : The State of the Art, Volume 1",9.78157E+12,9.78157E+12
bn_119,B1407,,Oracle Desk Reference,Oracle Desk Reference,9.78013E+12,9.78013E+12
bn_773,B1413,,Principles of Data Mining / Edition 1,Principles of Data Mining (Undergraduate Topics in Computer Science),9.78185E+12,9.78185E+12
bn_1381,B1415,,Dba's Guide to Databases under Linux,DBA's Guide to Databases Under Linux,9.78193E+12,9.78193E+12
bn_877,B1429,,Sybase Systems Management,Sybase Systems Management,9.78013E+12,9.78013E+12
bn_2006,B1432,,DB2 For Dummies,DB2 for Windows For Dummies (For Dummies (Computers)),9.78076E+12,9.78076E+12
bn_1226,B1434,,Microsoft Access 2002,Microsoft Access 2002 - Illustrated Second Course (Illustrated Series. Second Course),9.78079E+12,
