ID_A,ID_B,Name_A,Name_B,Zipcode_A,Zipcode_B,Address_A,Address_B
2826,13,L.A. Chapter,Lula Cafe,90015,60647,"929 S Broadway, Los Angeles",2537 N Kedzie Blvd
2643,2732,Menchie's Frozen Yogurt,Chili’s Bar & Grill,91607,53704,"4849 Laurel Canyon Blvd, Valley Village",4344 E Towne Blvd
3440,3849,California Donuts,PIOPIO,90028,10036,"5753 Hollywood Blvd, Los Angeles",604 10th Ave
6667,1192,Ed's Lobster Bar,Maple Leaf Diner,10012,75230,"222 Lafayette Street, New York",12817 Preston RdSte 129
6838,1726,PDT (Please Don't Tell),Gardner Junction,10009,90046,"113 Saint Marks Place, New York",1451 N Gardner St
4983,2311,Mermaid Cafe,Golden Mongolian Restaurant,53704,90010,"1929 Winnebago St, Madison",3012 Wilshire Blvd
6604,1389,Cowgirl Seahorse,The Oceanaire Seafood Room,10038,75295,"259 Front Street, New York",13340 Dallas Pkwy
1638,895,Sweet Georgia Brown,Y O Ranch Steakhouse,75216,75202,"2840 E Ledbetter Drive, Dallas",702 Ross Ave
2215,1448,Kalachandji's Restaurant & Palace,Dugg Burger,75223,75218,"5430 Gurley Avenue, Dallas",9540 Garland RdSte 407
5854,1642,Village Yokocho,Backyard Bowls,10003,90048,"8 Stuyvesant Street, New York",8303 Beverly Blvd
2654,2363,Fugetsu-Do,Hoy-Ka Thai Noodles,90012,90028,"315 E 1st St, Los Angeles",5908 Sunset Blvd
327,3254,Plush Horse Ice Cream,YUJI Ramen,60464,11211,12301 South 86th Ave,150 Ainslie St
925,2848,Sheffield's,Plata’s Restaurant at Bridges Golf Course,60657,53704,"3258 N. Sheffield Avenue, Chicago",2702 Shopko Dr
395,218,Capannari Ice Cream,Lavash Mediterranean Grill,60056,60661,10 S. Pine Street,651 W Washington Blvd
4160,3998,Tahoe Galbi,Monsignor’s Restaurant,90010,11215,"3986 Wilshire Blvd, Los Angeles",679 5th Ave
219,1839,El Taco Grande,Blind Weasel,60510,90036,6 N. River Street,850 S La Brea Ave
5790,970,SOBs,Bob’s Steak & Chop House,10014,75202,"204 Varick Street, New York",555 S Lamar St
7391,4010,Spiegel,Pokito,10009,11211,"26 1st Avenue, New York",155 S 4th St
6669,1792,Lily Thai,The Flavor Table,11211,90043,"615 Grand St, Brooklyn",2812 W Florence Ave
6550,2617,East Village Pizza and Kebabs,Tornado Steak House,10003,53703,"145 1st Avenue, New York",116 S Hamilton St
1587,3351,Ocean Prime,Print,75201,10036,"2101 Cedar Springs Road, Dallas",653 11th Ave
7182,1605,Bonnie's Grill,Bao Dim Sum House,11215,90048,"278 5th Avenue, Brooklyn",8256 Beverly Blvd
4197,514,Bucato,Pannenkoeken Cafe,90034,60625,"3280 Helms Ave, Los Angeles",4757 N Western Ave
6020,1904,Pier A,Mo Better Burgers,10004,90036,"22 Battery Place, New York",901 S La Brea AveSte 2
1612,3004,Spork,Wendigo,75252,53589,"6110 Frankford Road, Dallas",121 East Main St
97,965,Prosecco,Houston’s Restaurant,60610,75254,"710 N. Wells Street, Chicago",5318 Belt Line Rd
7673,726,Il Bastardo,Belly Shack,10011,60647,"191 7th Avenue, New York",1912 N Western Ave
4118,316,Intelligentsia Coffee,DryHop Brewers,90291,60657,1331 Abbot Kinney Blvd,3155 N Broadway
440,702,Chef's Burger Bistro,Tacos Tequilas,60611,60618,"164 E. Grand Avenue, Chicago",2919 N Milwaukee Ave
3963,1597,Dan Tana's,Buil Samgye Tang,90069,90020,"9071 Santa Monica Blvd, Los Angeles",4204 W 3rd St
6903,3347,Thai Select,Park Avenue Tavern,10018,10016,"472 9th Avenue, New York",99 Park Ave
3267,1216,Sul & Beans,Pera Turkish Kitchen,90005,75252,"621 Western Ave, Los Angeles",17479 Preston Rd
3635,1554,Tsujita LA,Jun Won Restaurant,90025,90005,"2057 Sawtelle Blvd, Los Angeles",3100 W 8th StSte 101
1734,534,Rafa's Cafe,Tom Yum Cafe,75209,60657,"5617 W Lovers Lane, Dallas",608 W Barry Ave
6899,2664,Schmackary's,Uno Pizzeria & Grill,10036,53718,"362 W 45th Street, New York, NY",3010 Crossroads Drive
413,3411,Great Seas Chinese Restaurant,Westville,60625,10014,"3254 W. Lawrence Avenue, Chicago",210 W 10th St
818,169,Kamehachi,Papa’s Cache Sabroso,60610,60622,"1531 N. Wells Street, Chicago",2517 W Division St
2789,493,Atch-Kotch Japanese,Old Town Social,90038,60610,"1253 Vine St, Los Angeles",455 W North Ave
1723,1521,Mattito's Tex-Mex,The Hart & The Hunter,75230,90048,"7778 Forest Lane, Dallas",7950 Melrose Ave
3819,1801,Cut,Yang San Bak,90212,90020,9500 Wilshire Blvd,3601 W 6th St
3662,1936,Cici's Cafe,Shojin Downtown,91356,90013,"18912 Ventura Blvd, Los Angeles",333 S Alameda StSte 310
1543,1057,Cowboy Chicken,Holy Ravioli,75206,75225,"5315 Greenville Avenue, Dallas",4446 Lovers Ln
1536,175,Cane Rosso,First Draft,75214,60605,"7328 Gaston Avenue, Suite 100, Dallas",649 S Clark St
5511,1437,Layla's Persian Food,El Come Taco,53703,75204,"141 South Butler Street, Madison",2513 N Fitzhugh Ave
2263,3466,Sherlock's Baker St. Pub & Grill,MangoSeed Restaurant,75231,11226,"9100 N Central Expressway, Dallas",757 Flatbush Ave
1183,3199,Spacca Napoli,Pizza Pit,60640,53714,"1769 W. Sunnyside Avenue, Chicago",13 Atlas Ct
5338,1752,Milio's Sandwiches,Sushi Enya,53593,90012,1011 North Edge Trl,343 E 1st St
427,348,Chowpatti Vegetarian Restaurant,La Brasa Roja,60005,60618,"Chowpatti Plaza, 1035 S. Arlington Heights Road",3125 W Montrose Ave
2624,1568,Apollonia's Pizzeria,Mercado,90036,90048,"5176 Wilshire Blvd, Los Angeles",7910 W 3rd St
3600,470,Park's BBQ,Fabulous Freddies Italian Eatery,90006,60616,"955 S Vermont Ave, Los Angeles",701 W 31st St
7504,1201,Applewood,Howard Wang’s Uptown,11215,75204,"501 11th Street, Brooklyn",3223 Lemmon AveSte 103
4887,1530,Ruth's Chris Steak House,Biriyani Kabob House,53562,90020,2137 Deming Way,3525 W 3rd St
2054,1273,B.B.Bop Seoul Kitchen,Mexicali Restaurant,75206,75238,"5323 Greenville Avenue Suite 5, Dallas",11277 E NW HwySte 148
493,4006,Small Bar,51st Bakery and Cafe,60618,11101,"2956 N. Albany Avenue, Chicago",5-33 51st Ave
1371,2572,Baby Back Blues,Osteria Papavero,60586,53703,23145 W Lincoln Highway Suite 7,128 E Wilson St
4145,3677,Giamela's Submarine Sandwiches,Lamazou,90039,10016,"3178 Los Feliz Blvd, Los Angeles",370 3rd Ave
3729,2856,Tacos Delta,Angelo’s,90026,53558,"3806 W Sunset Blvd, Los Angeles",4706 Farwell St
7086,1395,Paris Baguette,Snuffer’s Restaurant & Bar,10001,75225,"6 West 32nd Street, New York",8411 Preston RdSte 112
7026,946,Waldy's Wood Fired Pizza & Penne,Mesa,10001,75208,"800 Sixth Avenue, New York",118 W Jefferson Blvd
14,999,The Happ Inn Bar & Grill,John’s Cafe,60093,75206,"The Shops Of Northfield Village Square, 305 Happ Road",1733 Greenville Ave
5965,1306,BXL Cafe,Meerut Kabob House,10036,75229,"125 W 43rd Street, New York",11276 Harry Hines Blvd
1923,1345,Pappas Bar-B-Q,Gonzalez Restaurant,75220,75208,"2231 W NW Highway, Dallas",367 W Jefferson Blvd
181,460,Sweet Baby Ray's,La Pane,60191,60618,249 E. Irving Park Road,2954 W Irving Park Rd
2696,1534,Castle BBQ,Undergrind Cafe,90004,90034,"473 North Western Avenue, Los Angeles",2713 S Robertson Blvd
1181,1740,Luella's Southern Kitchen,Versailles Restaurant,60625,90035,"4609 N. Lincoln Avenue, Chicago",1415 S La Cienega Blvd
4077,1945,Hugo's Tacos,ISA Japanese Restaurant,91604,90036,"4749 Coldwater Canyon Ave, Studio City",916 S La Brea Ave
3230,856,Chabuya Tokyo Noodle Bar,Royal Thai,90025,75206,"2002 Sawtelle Blvd, Los Angeles",5500 Greenville Ave
3674,957,A.O.C.,Sakhuu Thai Cuisine,90048,75204,"8700 W 3rd St, Los Angeles",4801 Bryan StSte 100
4147,300,Tara's Himalayan Cuisine Express,Go 4 Food,90007,60616,"1277 W Jefferson Blvd, Los Angeles",212 W 23rd St
7689,3637,Buddakan,Jack’s Wife Freda,10011,10014,"75 9th Avenue, New York",50 Carmine St
3268,587,Hanabi Sushi,Sapori Trattoria,91335,60614,17711 Saticoy St,2701 N Halsted St
5813,3274,Stanton Social,L’Artusi,10002,10014,"99 Stanton Street, New York",228 W 10th St
3536,2446,Vinoteque on Melrose,Opus Lounge,90046,53703,"7469 Melrose Ave, Los Angeles",116 King St
2896,1362,El Gallo Grill,Rudy’s Chicken,90022,75216,"4533 E Cesar E Chavez Ave, Los Angeles",3115 S Lancaster Rd
6520,3396,Little Italy Pizza,The Green Table,10023,10011,"2047 Broadway, New York",Chelsea Market75 9th Ave
3226,3824,Rise n Shine Cafe,Bricolage,91040,11217,9685 Sunland Blvd,162 5th Ave
3997,797,Izakaya Honda-Ya,RollnGo,90013,75206,"333 S Alameda St # 314, Los Angeles",6110 Greenville AveSte 100
2961,2237,India Sweets & Spices,Young Dong Restaurant,90232,90010,9409 Venice Blvd,3828 Wilshire Blvd
3286,3346,Bea's Bakery,Casa Enrique,91356,11101,18450 Clark St,5-48 49th Ave
6003,2884,Pasha Turkish,Michael’s Frozen Custard,10023,53714,70 W 71st Street,3826 Atwood Ave
757,1230,Big & Little's,Kaze,60657,75231,"1034 W. Belmont Avenue, Chicago",7525 Greenville Ave
4165,920,Ugly Roll Sushi,Abacus,90034,75205,"11128 Palms Blvd, Los Angeles",4511 McKinney Ave
5425,777,Papa Jimmy's Pizzeria,Sugar Skull Cafe,53527,75212,224 West Cottage Grove Rd,3011 Guilden LnSte102
2522,2332,La Serenata de Garibaldi,Shaky Alibi,90033,90036,"1842 E 1st St, Los Angeles",7401 Beverly Blvd
2507,1907,Govinda's Natural Food,Gigi’s Bakery & Café,90034,90026,"3764 Watseka Ave, Los Angeles",2200 W Temple St
2049,2627,Fearing's - The Ritz-Carlton,Library Mall,75201,53706,"The Ritz-Carlton, 2121 McKinney Avenue, Dallas",728 State St
1056,2819,Flub A Dub Chubs,Dairyland Family Restaurant,60657,53716,"3021 N. Broadway Street, Chicago",716 Cottage Grove Rd
914,3285,Potbelly,Spaghetti Incident,60638,10002,"Chicago Midway International Airport, Main Terminal, Boulevard, Chicago",231 Eldridge St
6015,3043,Petey's Burger,El Burrito Loco,11102,53717,"3017 30th Avenue, Queens",745 N High Point Rd
321,2002,Westwood Tavern & Tap,KaGaYa,60173,90012,1385 Meacham Road,418 E 2nd St
7531,767,Bukhara Grill,Lyfe Kitchen - West Village,10017,75204,"217 East 49th Street, New York",3699 Mckinney AveSte A-221
694,3278,Weber Grill Restaurant,Pig And Khao,60148,10002,2331 Fountain Square Drive,68 Clinton St
6711,1732,Gregory's Coffee,Hyperion Public,10001,90027,"874 6th Avenue, New York",2538 Hyperion Ave
6907,2602,Angelo's Pizza,Vintage Spirits & Grill,10019,53703,"117 W 57th Street, New York",529 University Ave
3778,253,Colori Kitchen,Park Tavern,90014,60612,"429 W 8th St, Los Angeles",1645 W Jackson Blvd
7539,691,Juliette,Fish N Go,11211,60625,"135 N 5th Street, Brooklyn",4749 N Pulaski Rd
1413,1520,The Assembly,Open Sesame,60169,90036,"2570 Hassell Road, Hoffman Estates",7458 Beverly Blvd
7209,2478,Tertulia,Ladonia Cafe,10014,53703,"359 Sixth Avenue, New York",Mifflin and Pinckney
6962,3916,Great N.Y. Noodletown,Atrium DUMBO,10013,11201,"28 Bowery, New York",15 Main St
6169,1364,Yama,Phò Envy,10003,75225,"122 E 17th Street, New York",8611 Hillcrest RdSte 190
7246,3440,L'Express,Gentleman Farmer,10003,10002,"249 Park Avenue South, New York",40 Rivington St
853,2099,Pump Room,Casa Chocolate,60610,90019,"Public Chicago Hotel, 1301 N. State Parkway, Chicago",3319 W Pico Blvd
1367,3545,Emilio's Tapas Bar,Flatiron Room,60162,10010,4100 Roosevelt Road,37 W 26th St
6198,3609,MexiBBQ,Masseria Dei Vini,11103,10019,"37-11 30th Avenue, Queens",887 9th Ave
3618,1252,Il Capriccio on Vermont,Carmine’s Pizza,90027,75201,"1757 N Vermont Ave, Los Angeles",2006 San Jacinto St
3950,3731,Cooks County,Petite Crevette,90048,11231,"8009 Beverly Blvd, Los Angeles",144 Union St
6930,2883,Land Thai Kitchen,The Cooper’s Tavern,10024,53703,"450 Amsterdam Avenue, New York",20 W Mifflin St
343,1760,Chicago Q,Tsuri,60610,90038,"1160 N. Dearborn Street, Chicago",7015 Melrose Ave
6209,2849,La Casa Del Mofongo,Toppers Pizza,10033,53717,"1447 Saint Nicholas Avenue, New York, NY",7850 Mineral Point Rd
1541,1019,Nonna,Roly Poly,75219,75205,"4115 Lomo Alto Drive, Dallas",3038 Mockingbird Ln
849,1276,Connie's Pizza,Villa-O,60616,75205,"2373 S. Archer Avenue, Chicago",4514 Travis StSte 132
5926,1709,BonChon Chicken,Gentleman’s,10018,90034,"207 W 38th Street, New York",10002 National Blvd
