ID_A,ID_B,Flag,Name_A,Name_B,Zipcode_A,Zipcode_B,Address_A,Address_B
1619,1436,,Ginger Thai,Ginger Thai Cuisine,75214,75214,"6434 E Mockingbird Lane, Suite 111, Dallas",6434 E Mockingbird LnSte 111
1638,1138,,Sweet Georgia Brown,Sweet Georgia Brown Bar-B-Que Buffet,75216,75216,"2840 E Ledbetter Drive, Dallas",2840 E Ledbetter Dr
143,681,,Smoke Daddy,Smoke Daddy,60622,60622,"1804 W. Division Street, Chicago",1804 W Division St
783,476,,Avec,Avec,60661,60661,"615 W. Randolph Street, Chicago",615 W Randolph St
1205,744,,Fat Rice,Fat Rice,60647,60647,"2957 W. Diversey Avenue, Chicago",2957 W Diversey Ave
1272,589,,Lao Sze Chuan,Lao Sze Chuan,60616,60616,"2172 S. Archer Avenue, Chicago",2172 S Archer Ave
1416,676,,Crisp,Crisp,60657,60657,"2940 N. Broadway Street, Chicago",2940 N Broadway Ave
1673,1391,,Kitchen LTO,Kitchen LTO,75212,75212,"3011 Gulden Lane, Suite 108, Dallas",3011 Gulden Ln
1690,1495,,LARK on the Park,Lark On the Park,75201,75201,"2015 Woodall Rodgers Freeway, Dallas",2015 Woodall Rodgers Fwy
1700,1430,,Cigarz Bona Pizza,Cigarz Bona Pizza,75214,75214,7238 Gaston Avenue,7238 Gaston Ave
1907,1315,,FireXbox,Firexbox,75238,75238,"9918 Plano Road, Dallas",9918 Plano Rd
1912,1463,,Cafe Express,Cafe Express,75209,75209,"5600 West Lovers Lane Suite 109, Dallas",5600 W Lovers LnSte 109
1991,1435,,Original Italian Cafe,Original Italian Cafe,75202,75202,"115 Field Street, Dallas",115 S Field St
2023,1279,,Saltgrass Steak House,Saltgrass Steak House,75243,75243,"13561 N Central Expressway, Dallas",13561 N Central Expy
1443,715,0,ENO,Davanti Enoteca River North,60611,60611,"Intercontinental Chicago, 505 N. Michigan Avenue, Chicago",30 E Hubbard St
59,423,,Community Tavern,Community Tavern,60641,60641,"4038 N. Milwaukee Avenue, Chicago",4038 N Milwaukee Ave
267,716,,RM Champagne Salon,RM Champagne Salon,60607,60607,"116 N. Green Street, Chicago",116 N Green St
340,46,,Bottlefork,Bottlefork,60626,60626,"441 N. Clark Street, Chicago",441 N Clark
577,699,,Zed451,ZED451,60654,60654,"739 N. Clark Street, Chicago",739 N Clark St
1160,680,,Xoco Bistro,Xoco,60622,60622,"1471 N. Milwaukee Avenue, Chicago",1471 N Milwaukee Ave
1167,32,,The Angry Crab,The Angry Crab,60659,60659,"5665 N. Lincoln Avenue, Chicago",5665 N Lincoln Ave
1170,68,,"Pastoral Artisan Cheese, Bread & Wine",Pastoral,60601,60601,"53 E. Lake Street, Chicago",53 E Lake St
1188,342,,Cochon Volant,Cochon Volant,60603,60603,"Hyatt Centric Hotel, 100 W. Monroe Street, Chicago",100 W Monroe St
1482,1332,,Cafe Brazil,Cafe Brazil,75226,75226,"2815 Elm Street, Dallas",2815 Elm St
1692,1270,,The Slow Bone Barbeque,The Slow Bone,75207,75207,"2234 Irving Boulevard, Dallas",2234 Irving Blvd
1698,1473,,Cafe Express,Cafe Express,75204,75204,"3230 McKinney Avenue, Dallas",3230 McKinney Ave
1702,1423,,Taco Diner,Taco Diner,75225,75225,4011 Villanova Street,4011 Villanova St
1913,1355,,Korea House,Korea House,75229,75229,"2598 Royal Lane, Dallas",2598 Royal Ln
1963,1369,,Becks Prime,Becks Prime,75230,75230,"5931 Forest Lane, Dallas",5931 Forest Ln
1970,1484,,Pho Colonial,Pho Colonial,75201,75201,"1623 Main Street, Suite 102, Dallas",1623 Main StSte 102
2071,1403,,Neighborhood Services,Neighborhood Services,75209,75209,"5027 W Lovers Lane, Dallas",5027 W Lovers Ln
320,451,,Meli Cafe,Meli Cafe & Juice Bar,60661,60661,"301 S. Halsted Street, Chicago",301 S Halsted St
1443,709,0,ENO,DiSotto Enoteca,60611,60611,"Intercontinental Chicago, 505 N. Michigan Avenue, Chicago",200 E Chestnut St
1968,1273,,Mexicali,Mexicali Restaurant,75238,75238,"11277 E Northwest Highway, Dallas",11277 E NW HwySte 148
57,700,,Dunlays on Clark,Dunlays on Clark,60614,60614,"2600 N. Clark Street, Chicago",2600 N Clark St
1052,443,,Little Bad Wolf,Little Bad Wolf,60660,60660,"1541 W. Bryn Mawr Avenue, Chicago",1541 W Bryn Mawr Ave
1116,708,,Le Colonial,Le Colonial,60611,60611,"937 N. Rush Street, Chicago",937 N Rush St
1428,106,,Frontera Fresco,Frontera Fresco,60602,60602,"111 N. State Street, Chicago",111 N State St
1460,1361,,Dough Pizzeria Napoletana,Dough Pizzeria Napoletana,75230,75230,"11909 Preston Road, Suite 1444, Dallas",11909 Preston RdSte 1444
1497,1407,,Hoffbrau Steaks,Hoffbrau Steaks,75202,75202,"311 N Market Street, Dallas",311 N Market St
1666,1135,,Ascension Coffee,Ascension Coffee,75207,75207,1621 Oak Lawn Avenue,1621 Oak Lawn Ave
1668,887,,Liberty Burger,Liberty Burger,75244,75244,"Forestwood Center, 5211 Forest Lane, Dallas",5211 Forest Ln
1857,1216,,Pera Turkish Kitchen,Pera Turkish Kitchen,75252,75252,"17479 Preston Road, Suite, Dallas",17479 Preston Rd
2034,1303,0,Cake Bar at Trinity Groves,Trinity Groves,75212,75212,"3011 Gulden Lane, Suite 117, Dallas",425 Bedford St
2042,1321,,Big Shucks,Big Shucks,75214,75214,6232 E Mockingbird Lane,6232 E Mockingbird Ln
2059,1234,,The Varsity Grill,The Varsity Grill,75243,75243,"9310 Forest Lane, Dallas",9310 Forest Ln
1598,1471,,Original Pancake House,The Original Pancake House,75204,75204,"2900 Lemmon Avenue, Dallas",2900 Lemmon AveSte 200
2003,1345,,Gonzalez,Gonzalez Restaurant,75208,75208,"367 W Jefferson Boulevard, Dallas",367 W Jefferson Blvd
101,665,,Gather,Gather,60625,60625,"4539 N. Lincoln Avenue, Chicago",4539 N Lincoln Ave
457,286,,Naansense,Naansense,60606,60606,"171 N. Wells Street, Chicago",171 N Wells St
512,591,0,Calo Ristorante,Ora,60640,60640,"5343 N. Clark Street, Chicago",5143 N Clark St
552,309,,Cafecito,Cafecito,60605,60605,26 E. Congress Parkway,26 E Congress Pkwy
582,726,,Belly Shack,Belly Shack,60647,60647,"1912 N. Western Avenue, Chicago",1912 N Western Ave
590,418,,Frontier,Frontier,60642,60642,"1072 N. Milwaukee Avenue, Chicago",1072 N Milwaukee Ave
606,243,,The Gage,The Gage,60603,60603,"24 S. Michigan Avenue, Chicago",24 S Michigan Ave
707,727,,Honey Butter Fried Chicken,Honey Butter Fried Chicken,60618,60618,"3361 N. Elston Avenue, Chicago",3361 N Elston Ave
939,261,,Blackbird,Blackbird,60661,60661,"619 W. Randolph Street, Chicago",619 W Randolph St
1047,27,,Cafecito,Cafecito,60602,60602,7 N. Wells Street,7 N Wells St
1083,666,,Wildfire,Wildfire,60654,60654,"159 W. Erie Street, Chicago",159 W Erie St
1235,493,,Old Town Social,Old Town Social,60610,60610,"455 W. North Avenue, Chicago",455 W North Ave
1254,673,,Las Palmas Mexican Restaurant,Las Palmas,60622,60622,"1835 W. North Avenue, Chicago",1835 W North Ave
1469,1467,,Mi Cocina,Mi Cocina,75204,75204,"3699 McKinney Avenue, Dallas",3699 McKinney Ave
1537,1340,,Dallas Grilled Cheese Co.,Dallas Grilled Cheese Co,75208,75208,"310 W 7th Street, Dallas",310 W 7th St
1635,1444,,Kenichi,Kenichi,75219,75219,"2400 Victory Park Lane, Dallas",2400 Victory Park Ln
1653,1393,,Which Wich,Which Wich,75202,75202,"1410 Main Street, Dallas",1410 Main St
1715,1264,,Tanoshii Ramen & Bar,Tanoshii Ramen,75226,75226,"2724 Commerce Street, Dallas",2724 Commerce St
1730,1307,,The Dixie House,Dixie House,75214,75214,"6400 Gaston Avenue, Dallas",6400 Gaston Ave
1775,1379,,The Original Pancake House,The Original Pancake House,75220,75220,"4343 W Northwest Highway, Suite 345",4343 W Northwest HwySte 375
1784,1452,,Fujiyama Sushi & Yakitori Bar,Fujiyama Sushi & Yakitori Bar,75287,75287,"18217 Midway Road, Dallas",18217 Midway RdSte 108
1790,1334,,Fish City Grill,Fish City Grill,75230,75230,"10720 Preston Road, Suite 1012, Dallas",10720 Preston Rd
2051,1304,,Nazca Kitchen,Nazca Kitchen,75231,75231,"8041 Walnut Hill Lane, Suite 854, Dallas",8041 Walnut Hill LnSte 854
2069,1288,,Opening Bell Coffee,Opening Bell Coffee,75215,75215,"1409 S Lamar Street, Dallas",1409 S Lamar StBasement Ste 012
337,237,,Ara On,Ara On,60603,60603,"160 W. Adams Street, Chicago",160 W Adams St
693,682,,Toro Sushi,Toro Sushi,60614,60614,"2546 N. Clark Street, Chicago",2546 N Clark St
1021,97,,The Portage,The Portage,60634,60634,"3938 N. Central Avenue, Chicago",3938 N Central Ave
1280,632,,Duke of Perth,Duke Of Perth,60657,60657,"2913 N. Clark Street, Chicago",2913 N Clark St
1449,667,,Shake Shack,Shake Shack,60611,60611,"66 E. Ohio Street, Chicago",66 E Ohio St
1563,1293,,Red Hot & Blue,Red Hot & Blue,75231,75231,"9810 N Central Expressway, Suite 600, Dallas",9810 N Central ExpySte 600
1672,1415,,The Porch,The Porch,75206,75206,"2912 N Henderson Avenue, Dallas",2912 N Henderson Ave
1689,1459,,CrushCraft Thai Street Eats,Crushcraft Thai Street Eats,75201,75201,"2800 Routh Street, Suite 150, Dallas",2800 Routh StSte 150
1701,1255,,The Lot,The Lot,75214,75214,7530 E Grand Avenue,7530 E Grand Ave
1759,1280,,Baby Back Shak,Baby Back Shak,75215,75215,"1800 S Akard Street, Dallas",1800 S Akard St
1955,1243,,Chino Chinatown,Chino Chinatown,75212,75212,"3011 Gulden Lane, Suite 110, Dallas",3011 Gulden LnSte 110
553,562,,Big Jones,Big Jones,60640,60640,"5347 N. Clark Street, Chicago",5347 N Clark St
585,217,,Artopolis,Artopolis,60661,60661,"306 S. Halsted Street, Chicago",306 S Halsted St
627,651,,Osteria La Madia,Osteria La Madia,60654,60654,"59 W. Grand Avenue, Chicago",59 W Grand Ave
708,430,,Bistrot Zinc,Bistrot Zinc,60610,60610,"1131 N. State Street, Chicago",1131 N State St
1567,1205,,Deep Sushi,Deep Sushi,75226,75226,"2624 Elm Street, Dallas",2624 Elm St
1596,1082,,Rodeo Goat,Rodeo Goat,75207,75207,"1926 Market Center Boulevard, Dallas",1926 Market Center Blvd
1979,1040,,Fresh Market,Fresh Market,75235,75235,"6300 Harry Hines Boulevard, Dallas",6300 Harry Hines BlvdSte 130
2028,1309,,Penne Pomodoro,Penne Pomodoro,75205,75205,"6815 Snider Plaza, Dallas",6815 Snider Plz
1613,1231,,Tupinamba,Tupinamba Cafe,75231,75231,"9665 N Central Expressway, Suite 142, Dallas",9665 N Central ExpwySte 142
365,647,,GreenRiver,GreenRiver,60611,60611,"Northwestern Memorial Hospital, 259 E. Erie Street, 18th Floor, Chicago",259 E Erie St18th Fl
626,415,,Table Fifty-Two,Table Fifty-Two,60610,60610,"52 W. Elm Street, Chicago",52 W Elm St
672,109,,Smoque BBQ,Smoque BBQ,60641,60641,"3800 N. Pulaski Road, Chicago",3800 N Pulaski RdSte 2
692,655,,Cumin,Cumin,60622,60622,"1414 N. Milwaukee Avenue, Chicago",1414 N Milwaukee Ave
821,628,,Kaiser Tiger,Kaiser Tiger,60607,60607,"1415 W. Randolph Street, Chicago",1415 W Randolph St
1303,404,,Acadia,Acadia,60616,60616,"1639 S. Wabash Avenue, Chicago",1639 S Wabash Ave
1512,1299,,Sangria Tapas Y Bar,Sangria Tapas Y Bar,75205,75205,"4524 Cole Avenue, Dallas",4524 Cole Ave
1623,1061,,Oak,Oak,75207,75207,"1628 Oak Lawn Avenue, Dallas",1628 Oak Lawn AveSte 110
1642,1236,,Cafe Istanbul,Cafe Istanbul,75209,75209,"5450 W Lovers Lane, Dallas",5450 W Lovers Ln
1830,1229,,El Ranchito,El Ranchito,75208,75208,"610 W Jefferson Boulevard, Dallas",610 W Jefferson Blvd
1937,1437,,El Come Taco,El Come Taco,75204,75204,"2513 N Fitzhugh Avenue, Dallas",2513 N Fitzhugh Ave
1959,1432,,Smashburger,Smashburger,75201,75201,"2222 McKinney Street, Suite 280, Dallas",2222 McKinney Ave
1988,1004,,Atomic Pie,Atomic Pie,75238,75238,"9660 Audelia Road, Dallas",9660 Audelia RdSte 117
2083,1292,,Project Pie,Project Pie,75225,75225,"6030 Luther Lane, Suite 110, Dallas",6030 Luther Ln
777,639,,Roka Akor,Roka Akor - Chicago,60654,60654,"456 N. Clark Street, Chicago",456 N Clark St
134,333,,Dinosaur Bar-B-Que,Dinosaur Bar-B-Que,60642,60642,923 W. Weed Street,923 W Weed St
200,622,,Cobra Lounge,Cobra Lounge,60607,60607,"235 N. Ashland Avenue, Chicago",235 N Ashland Ave
408,159,,Umai,Umai,60605,60605,"730 S. Clark Street, Chicago",730 S Clark St
721,549,,Cafe Selmarie,Cafe Selmarie,60625,60625,"4729 N. Lincoln Avenue, Chicago",4729 N Lincoln Ave
1423,126,,Grace,Grace,60661,60661,"652 W. Randolph Street, Chicago",652 W Randolph St
1465,1014,,Alligator Cafe,Alligator Cafe,75218,75218,"9540 Garland Road, Suite 362, Dallas",9540 Garland RdSte 362
1593,1278,,Blue Mesa Grill,Blue Mesa Grill,75225,75225,"7700 W Northwest Hwy, Dallas",7700 W NW Hwy
1675,1318,,Ravenna Urban Italian Restaurant,Ravenna Urban Italian Restaurant,75202,75202,"1301 Main Street, Dallas",1301 Main St
1681,1219,,Shinsei,Shinsei,75209,75209,"7713 Inwood Road, Dallas",7713 Inwood Rd
1696,1154,,Pizza Lounge,Pizza Lounge,75226,75226,"841 Exposition Avenue, Dallas",841 Exposition Ave
1785,1155,,Momo Italian Kitchen,MoMo Italian Kitchen,75243,75243,"8989 Forest Lane, Suite130, Dallas",8989 Forest LnSte 130
2085,1397,,Black Eyed Pea,Black Eyed Pea,75219,75219,3857 Cedar Springs Road,3857 Cedar Springs Rd
1655,1416,,Cremona,Cremona Bistro Kitchen,75204,75204,"2704 Worthington Street, Dallas",2704 Worthington St
1768,1158,,Amberjax,Amberjax Fish Market Grille,75212,75212,"3011 Gulden Lane, Suite 107, Dallas",3011 Gulden LnSte 107
187,569,,Uncommon Ground,Uncommon Ground,60613,60613,"3800 N. Clark Street, Chicago",3800 N Clark St
272,275,,Podhalanka,Podhalanka,60642,60642,"1549 W. Division Street, Chicago",1549 W Division St
1154,654,,Reno,Reno,60647,60647,"2607 N. Milwaukee Avenue, Chicago",2607 N Milwaukee Ave
1456,933,,Good 2 Go Taco,Good 2 Go Taco,75218,75218,"1146 Peavy Road, Dallas",1146 Peavy Rd
1513,1276,,Villa-O,Villa-O,75205,75205,"4514 Travis Street, Dallas",4514 Travis StSte 132
1529,1141,,Anvil Pub,Anvil Pub,75226,75226,"2638 Elm Street, Dallas",2638 Elm St
1656,1134,,The Mercury,The Mercury,75230,75230,"11909 Preston Road, Suite 1418, Dallas",11909 Preston RdSte 1418
502,631,,Bohemian House,Bohemian House {BoHo},60654,60654,"11 W. Illinois Street, Chicago",11 W. Illinois
950,96,,Greek Islands,Greek Islands Restaurant,60661,60661,"200 S. Halsted Street, Chicago",200 S Halsted St
1576,1414,,Metropolitan Cafe,The Metropolitan Cafe,75201,75201,"2032 Main Street, Dallas",2030 Main St
1732,1386,,Gold Rush Cafe,The Gold Rush Cafe,75206,75206,"1913 Skillman Street, Dallas",1913 Skillman St
280,603,,The Winchester,The Winchester,60622,60622,"1001 N. Winchester Avenue, Chicago",1001 N Winchester Ave
750,627,,GT Fish & Oyster,GT Fish & Oyster,60654,60654,"531 N. Wells Street, Chicago",531 N Wells St
1553,1191,,Gordon Biersch Brewery Restaurant,Gordon Biersch Brewery Restaurant,75231,75231,"8060 Park Lane, Suite 125, Dallas",8060 Park LnSte 125
1577,1051,,Souk,Souk,75212,75212,"3011 Gulden Lane, Suite 114, Dallas",3011 Gulden LnSte 114
1584,1207,,La Calle Doce,La Calle Doce,75208,75208,"415 West 12th Street, Dallas",415 W 12th St
1839,1367,,Victory Tavern,Victory Tavern,75219,75219,"2501 N Houston Street, Dallas",2501 N Houston St
1984,1097,,Princi Italia,Princi Italia,75230,75230,"5959 Royal Lane, Suite 707, Dallas",5959 Royal LnSte 707
2037,1161,,Suze,Suze,75220,75220,"4345 W Northwest Highway, Dallas",4345 W Northwest Hwy
2080,1269,,Seoul Garden,Seoul Garden,75229,75229,"2502 Royal Lane, Dallas",2502 Royal LnSte 103
646,556,,Art of Pizza,The Art of Pizza,60657,60657,"3033 N. Ashland Avenue, Chicago",3033 N Ashland Ave
1530,1035,,Burger Bueno,Burger Bueno,75240,75240,"13021 Coit Road, Dallas",13021 Coit Rd
1532,1140,,Stratos Greek Taverna,Stratos Greek Taverna,75220,75220,"2907 W Northwest Highway, Dallas",2907 W Northwest Hwy
1568,1142,,The Cheesecake Factory,The Cheesecake Factory,75225,75225,"7700 W Northwest Highway, Dallas",7700 W Northwest Hwy
1583,937,,Asian Mint,Asian Mint,75243,75243,"11617 N Central Expressway, Dallas",11617 N Central ExpySte 135
1599,858,,Hypnotic Donuts,Hypnotic Donuts,75218,75218,9007 Garland Road,9007 Garland Rd
1752,1333,,i Fratelli Pizza,i Fratelli Pizza,75204,75204,"2815 Allen Street, Suite 124, Dallas",2815 Allen StSte 124
1762,1119,,The Free Man Cajun Cafe & Lounge,The Free Man,75226,75226,"2626 Commerce Street, Dallas",2626 Commerce St
1915,900,,El Bolero,El Bolero,75207,75207,1201 Oak Lawn Avenue,1201 Oak Lawn Ave
2038,1179,,Chicken Scratch,Chicken Scratch,75208,75208,"2303 Pittman Street, Dallas",2303 Pittman St
610,382,,Tank Noodle,Tank Noodle Restaurant,60640,60640,"4953 N. Broadway Street, Chicago",4953 N Broadway
1533,1038,,Luck,LUCK - Local Urban Craft Kitchen,75212,75212,"3011 Gulden Lane, Suite 112, Dallas",3011 Gulden LnSte 112
1545,1330,,Gui Korean Japanese Bistro & Bar,Gui Korean Japanese Bistro & Bar,75204,75204,"2719 McKinney Avenue, Dallas",2719 McKinney Ave
1617,1123,,Kona Grill,Kona Grill,75225,75225,"NorthPark Center, 8687 North Central Expressway, Level One, Dallas",Northpark center8687 N Central Exwy
1766,807,,20 Feet Seafood Joint,20 Feet Seafood Joint,75218,75218,"1160 Peavy Road, Dallas",1160 Peavy Rd
1940,1149,,City Tavern,City Tavern,75202,75202,"1402 Main Street, Dallas",1402 Main St
1664,1026,,Zuzu,ZuZu Fresh-Made Tex-Mex,75214,75214,"4140 Abrams Road, Dallas",4140 Abrams Rd
1939,1074,,Buzzbrews,Buzzbrews Kitchen,75226,75226,"2801 Commerce Street, Dallas",2801 Commerce St
85,487,,The Reservoir,The Reservoir,60613,60613,844 W. Montrose Avenue,844 W Montrose
123,573,,Falafel & Grill,Falafel & Grill,60622,60622,"1317 N. Milwaukee Avenue, Chicago",1317 N Milwaukee Ave
528,611,,Slurping Turtle,Slurping Turtle,60654,60654,"116 W. Hubbard Street, Chicago",116 W Hubbard St
596,592,,Rose Angelis,Rose Angelis,60614,60614,"1314 W. Wrightwood Avenue, Chicago",1314 W Wrightwood Ave
636,440,,Bistro Campagne,Bistro Campagne,60625,60625,"4518 N. Lincoln Avenue, Chicago",4518 N Lincoln Ave
653,161,,Nana,Nana,60608,60608,"3267 S. Halsted Street, Chicago",3267 S Halsted St
763,86,,MingHin Cuisine,MingHin Cuisine,60616,60616,"2168 S. Archer Avenue, Chicago",2168 S Archer Ave
820,551,,Cozy Noodles & Rice,Cozy Noodles & Rice,60657,60657,"3456 N. Sheffield Avenue, Chicago",3456 N Sheffield Ave
1022,198,,Two,TWO,60642,60642,"1132 W. Grand Avenue, Chicago",1132 W Grand Ave
1487,1184,,Burger House,Burger House,75205,75205,"6913 Hillcrest Avenue, Dallas",6913 Hillcrest Ave
1511,1297,,Taco Diner,Taco Diner,75204,75204,"3699 McKinney Avenue, Dallas",3699 McKinney Ave
1712,1157,,Seafood Shack,Seafood Shack,75229,75229,"11625 Webb Chapel Road, Dallas",11625 Webbs Chapel Rd
2001,1130,,Record Grill,Record Grill,75202,75202,605 Elm Street,605 Elm St
862,478,,Cho Sun Ok,Cho Sun Ok Restaurant,60618,60618,"4200 N. Lincoln Avenue, Chicago",4200 N Lincoln Ave
383,548,,Cafe Bella,Cafe Bella,60647,60647,"3311 W. Fullerton Avenue, Chicago",3311 W Fullerton Ave
835,571,,Mexique,Mexique,60622,60622,"1529 W. Chicago Avenue, Chicago",1529 W Chicago Ave
1388,600,,Theory,Theory,60654,60654,"9 W. Hubbard Street, Chicago",9 W Hubbard St
1473,1081,0,Lockhart Smokehouse,Smoke,75208,75208,"400 W Davis Street, Dallas",901 Fort Worth Ave
1524,976,,Pappadeaux Seafood Kitchen,Pappadeaux Seafood Kitchen,75220,75220,"10428 Lombardy Lane, Dallas",10428 Lombardy Ln
1534,994,,Meso Maya,Meso Maya,75202,75202,"1611 McKinney Avenue, Dallas",1611 McKinney Ave
1575,951,,Garden Cafe,Garden Cafe,75214,75214,"5310 Junius Street, Dallas",5310 Junius St
1611,825,,The Boiling Crab,The Boiling Crab,75243,75243,"10560 Walnut Street, Suite 100, Dallas",10560 Walnut StSte 100
1631,985,,Meso Maya,Meso Maya,75230,75230,"11909 Preston Road, Suite 1426, Dallas",11909 Preston RdSte 1426
1749,1081,,Smoke,Smoke,75208,75208,"901 Fort Worth Avenue, Dallas",901 Fort Worth Ave
1998,768,,FT33,FT33,75207,75207,"617 Hi Line Drive, Suite 250, Dallas",1617 Hi Line DrSte 250
2086,1171,,Cisco Grill,Cisco Grill,75205,75205,"6630 Snider Plaza, Dallas",6630 Snider Plz
472,533,,Red Door,Red Door,60647,60647,"2118 N. Damen Avenue, Chicago",2118 N Damen Ave
525,53,,Topo Gigio Ristorante,Topo Gigio Ristorante,60610,60610,"1516 N. Wells Street, Chicago",1516 N Wells St
704,543,,Cafe El Tapatio,Cafe El Tapatio,60657,60657,"3400 N. Ashland Avenue, Chicago",3400 N Ashland Ave
736,585,,Ramen-san,Ramen-san,60654,60654,"59 W. Hubbard Street, Chicago",59 W Hubbard St
766,587,,Sapori Trattoria,Sapori Trattoria,60614,60614,"2701 N. Halsted Street, Chicago",2701 N Halsted St
945,93,,Pleasant House Bakery,Pleasant House Bakery,60608,60608,"964 W. 31st Street, Chicago",964 W 31st St
1109,36,,Chi Cafe,Chi Cafe,60616,60616,"2160-A S. Archer Avenue, Chicago",2160 S Archer AveSte A
1148,468,,Rockit Burger Bar,Rockit Burger Bar,60613,60613,"3700 N. Clark Street, Chicago",3700 N Clark St
1183,305,,Spacca Napoli,Spacca Napoli,60640,60640,"1769 W. Sunnyside Avenue, Chicago",1769 W Sunnyside Ave
1246,544,,Nico Osteria - Thomson Hotels Chicago,Nico Osteria,60611,60611,"Thomson Hotels Chicago, 1015 N. Rush Street",1015 N Rush St
1594,753,,Fuel City Tacos (Super Tacaso),Fuel City Tacos,75207,75207,"801 S Riverfront Boulevard, Dallas",801 S Riverfront Blvd
1628,1156,,Peggy Sue BBQ,Peggy Sue BBQ,75205,75205,"6600 Snider Plaza, Dallas",6600 Snider Plz
1787,1335,,Dallas Chop House,Dallas Chop House,75201,75201,"1717 Main Street, Dallas",1717 Main St
1928,982,,Sushiya,Sushiya,75202,75202,"1306 Elm Street, Dallas",1306 Elm St
2079,1353,,Tacos Y Mas,Tacos Y Mas,75206,75206,"5419 Ross Avenue, Dallas",5419 Ross Ave
211,579,,J.P. Graziano,J.P. Graziano Grocery Co.,60607,60607,"901 W. Randolph Street, Chicago",901 W Randolph St
523,281,,Tweet,Tweet,60640,60640,"5020 N. Sheridan Road, Chicago",5020 N Sheridan Rd
644,399,,Tre Kronor,Tre Kronor,60625,60625,"3258 W. Foster Avenue, Chicago",3258 W Foster Ave
839,536,,Hub 51,Hub 51,60654,60654,"51 W. Hubbard Street, Chicago",51 W Hubbard St
995,21,,Velvet Taco,Velvet Taco,60610,60610,"1110 N. State Street, Chicago",1110 N State St
1580,1145,,Cafe Madrid,Cafe Madrid,75205,75205,"4501 Travis Street, Dallas",4501 Travis St
1639,1204,,Medina Oven & Bar,Medina Oven & Bar,75219,75219,"2304 Victory Park Lane, Dallas",2304 Victory Park Ln
