id,title,time,director,year,star,cost
34,Dumb And Dumber To    ,"1 hour, 50 minutes",Bobby Farrelly,2014,"Jim Carrey, Jeff Daniels","Buy HD $12.99,Buy SD $9.99,"
35,Dragon Ball Z: Season 4 [Blu-ray] , 755 minutes ,Mike McFarland,2014,Sean Schemmel,$24.34 
36,The Count of Monte Cristo , 131 minutes ,Kevin Reynolds,2002,Jim Caviezel,$9.99 
37,Contagion (2011)    ,"1 hour, 47 minutes",Steven Soderbergh,2011,"Gwyneth Paltrow, Tien You Chui","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
38,Fast & Furious (2009)    ,"1 hour, 48 minutes",Justin Lin,2009,"Vin Diesel, Paul Walker","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
39,Oz The Great and Powerful    ,"2 hours, 11 minutes",Sam Raimi,2013,"James Franco, Mila Kunis","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $12.99,"
40,The Hobbit: An Unexpected Journey (Extended Edition)    ,"3 hours, 3 minutes",Peter Jackson,2012,"Ian McKellen, Martin Freeman","Buy HD $19.99,Buy SD $14.99,"
41,Nero: The Road to Tyranny    ,"1 hour, 33 minutes",Paul Marcus,2002,"Hans Matheson,Laura Morante","Buy SD $9.99,"
42,Oblivion (Blu-ray + DVD + Digital Copy + UltraViolet) , 124 minutes ,Joseph Kosinski,2013,Tom Cruise,$9.90 
43,The Monuments Men    ,"1 hour, 59 minutes",George Clooney,2014,"George Clooney, Matt Damon","Buy HD $9.99,Buy SD $9.99,"
44,Top Gun (Widescreen Special Collector's Edition) , 110 minutes ,Tony Scott,2004,Tom Cruise,$7.50 
45,Indiana Jones and The Temple Of Doom    ,"1 hour, 59 minutes",Steven Spielberg,1984,"Harrison Ford, Kate Capshaw","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
46,The Divergent Series: Insurgent (Plus Bonus Features)    ,"2 hours, 19 minutes",Robert Schwentke,2015,"Shailene Woodley,Theo James","Buy HD $19.99,Buy SD $17.99,"
47,Dragon Ball Z: Season 2 [Blu-ray] , 830 minutes ,Mike McFarland,2014,Sean Schemmel,$22.99 
48,Skyfall (Blu-ray/ DVD + Digital Copy) , 143 minutes ,Sam Mendes,2013,Daniel Craig,$19.01 
49,Limitless (Unrated Extended Cut + Digital Copy) [Blu-ray] , 105 minutes ,Neil Burger,2011,Bradley Cooper,$22.49 
50,Nausicaä of the Valley of the Wind (Two-Disc Blu-ray/DVD Combo) , 117 minutes ,Hayao Miyazaki,2011,Uma Thurman,$17.95 
51,Jaws    ,"2 hours, 5 minutes",Steven Spielberg,1975,"Roy Scheider, Robert Shaw","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
52,Lone Survivor (Blu-ray + DVD + Digital HD with UltraViolet) , 122 minutes ,Peter Berg,2014,Mark Wahlberg,$12.99 
53,Mad Max Beyond Thunderdome [Blu-ray] , 107 minutes ,George Miller,2013,Mel Gibson,$7.50 
54,Mad Max 2: The Road Warrior    ,"1 hour, 36 minutes",George Miller,1982,"Mel Gibson, Bruce Spence","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
55,Star Trek Into Darkness (Blu-ray + DVD + Digital HD) , 132 minutes ,J.J. Abrams,2013,Chris Pine,$11.99 
56,Ender's Game [Blu-ray] , 114 minutes ,Gavin Hood,2014,Harrison Ford,$7.88 
57,Army of Darkness (Screwhead Edition) [Blu-ray] , 81 minutes ,Sam Raimi,2009,Bruce Campbell,$9.49 
58,Man of Steel (Blu-ray) , 143 minutes ,Zack Snyder,2013,Henry Cavill,$14.99 
59,The Twilight Saga: Breaking Dawn - Part 2 [DVD + Digital Copy + UltraViolet] , 115 minutes ,Bill Condon,2013,Kristen Stewart,$7.50 
60,Night at the Museum    ,"1 hour, 49 minutes",Shawn Levy,2006,"Ben Stiller, Carla Gugino","Buy HD $12.99,Buy SD $13.99,"
61,Shoot First And Pray You Live    ,"1 hour, 51 minutes",Lance Doty,2008,"John Doman, Jim Gaffigan","Rent HD $3.99,Rent SD $2.99,Buy HD $11.99,Buy SD $9.99,"
62,Gung Ho    ,"1 hour, 27 minutes",Ray Enright,1943,"Randolph Scott, Alan Curtis","Buy SD $4.99,"
63,King Kong    ,"2 hours, 15 minutes",John Guillermin,1976,"Jeff Bridges, Charles Grodin","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
64,Trollhunter (English Subtitled)    ,"1 hour, 44 minutes",André Øvredal,2011,"Otto Jespersen, Glenn Erland Tosterud","Rent SD $2.99,Buy HD $4.99,Buy SD $4.99,"
65,Lord of the Rings: The Two Towers    ,"3 hours, 0 minutes",Peter Jackson,2002,"Bruce Allpress, Sean Astin","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
66,Jurassic Park (Blu-ray 3D + Blu-ray + DVD + Digital Copy + UltraViolet) , 381 minutes ,Steven Spielberg,2013,Sam Neill,$14.96 
67,Meek's Cutoff    ,"1 hour, 43 minutes",Kelly Reichardt,2011,"Michelle Williams, Bruce Greenwood","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
68,Star Trek: Enterprise   ,"1 hour, 27 minutes",James L. Conway,2001,"Scott Bakula, John Billingsley","Buy SD $1.99,Buy HD $49.99,Buy SD $39.99,"
69,Indiana Jones and The Last Crusade    ,"2 hours, 7 minutes",Steven Spielberg,1989,"Harrison Ford, Sean Connery","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
70,Alien    ,"1 hour, 57 minutes",Ridley Scott,1979,"Tom Skerritt, Sigourney Weaver","Rent HD $3.99,Rent SD $2.99,Buy HD $8.99,Buy SD $9.99,"
71,"O' Brother, Where Art Thou?    ","1 hour, 48 minutes",Joel Coen,2000,"George Clooney, John Turturro","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
72,The Salvation    ,"1 hour, 33 minutes",Kristian Levring,2015,"Mads Mikkelsen, Eva Green","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $12.99,"
73,Star Wars IV: A New Hope (Limited Edition) , 121 minutes ,George Lucas,2006,Mark Hamill,$30.79 
74,Journey 2: The Mysterious Island    ,"1 hour, 35 minutes",Brad Peyton,2012,"Dwayne Johnson, Michael Caine","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
75,Pirates of the Caribbean: On Stranger Tides    ,"2 hours, 17 minutes",Rob Marshall,2011,"Johnny Depp, Penélope Cruz","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
76,The Fifth Element Cinema Series (Blu-ray + UltraViolet + Limited Edition Clear Case Packaging) , 126 minutes ,Luc Besson,2015,Ian Holm,$27.86 
77,Eden Log    ,"1 hour, 43 minutes",Franck Vestiel,2007,"Clovis Cornillac, Vimala Pons","Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
78,The Karate Kid    ,"2 hours, 7 minutes",John G. Avildsen,1984,"Ralph Macchio, Pat Morita","Buy HD $12.99,Buy SD $7.99,"
79,Firefly: The Complete Series , 44 minutes ,Joss Whedon,2003,Nathan Fillion,$14.44 
80,Last Knights    ,"1 hour, 55 minutes",Kazuaki Kiriya,2015,"Clive Owen, Morgan Freeman","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $12.99,"
81,Into the Wild    ,"2 hours, 29 minutes",Sean Penn,2007,"Emile Hirsch, Marcia Gay Harden","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
82,The Lone Ranger,"2 hours, 30 minutes",Gore Verbinski,2013,"Johnny Depp, Armie Hammer","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
83,Indiana Jones: The Complete Adventure Collection (Raiders of the Lost Ark / Temple of Doom / Last Crusade / Kingdom of the Crystal Skull) , 481 minutes ,Steven Spielberg,2008,Harrison Ford,$34.70 
84,Pacific Rim (Blu-ray) , 131 minutes ,Guillermo del Toro,2013,Idris Elba,$8.99 
85,Tremors    ,"1 hour, 37 minutes",Ron Underwood,1990,"Kevin Bacon, Fred Ward","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
86,Pacific Rim    ,"2 hours, 12 minutes",Guillermo del Toro,2013,"Charlie Hunnam, Diego Klattenhoff","Buy HD $17.99,Buy SD $9.99,"
87,Titanic    ,"3 hours, 15 minutes",James Cameron,2012,"Leonardo DiCaprio, Kate Winslet","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
88,Certain Prey    ,"1 hour, 29 minutes",Chris Gerolmo,2011,"Mark Harmon,Tatiana Maslany","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $8.99,"
89,The Getaway    ,"2 hours, 3 minutes",Sam Peckinpah,1972,"Steve McQueen, Ali MacGraw","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
90,The Hobbit: An Unexpected Journey (Extended Edition) (Blu-ray) , 182 minutes ,Peter Jackson,2013,Ian McKellen,$28.79 
91,Marvel Cinematic Universe: Phase One - Avengers Assembled (Iron Man / The Incredible Hulk / Iron Man 2 / Thor / Captain America: The First Avenger / The Avengers) [Blu-ray] , 143 minutes ,Joe Johnston,2013,Robert Downey Jr.,$197.10 
92,"O Brother, Where Art Thou? ", 107 minutes ,Joel Coen,2001,George Clooney,$6.99 
93,Iron Man 3 (Blu-ray + DVD) , 130 minutes ,Shane Black,2013,Robert Downey Jr.,$28.67 
94,The Hobbit: An Unexpected Journey (plus bonus features)    ,"3 hours, 51 minutes",Peter Jackson,2012,"Ian McKellen, Martin Freeman","Buy HD $17.99,Buy SD $9.99,"
95,Ultimate Force    ,"1 hour, 31 minutes",Mark Burson,2005,"Mirko Cro Cop Filipovic, Ruza Madarevic","Buy SD $6.99,"
96,The Warriors    ,"1 hour, 34 minutes",Walter Hill,1979,"Michael Beck, James Remar","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
97,Lord of the Rings: The Fellowship of the Ring - Extended Edition    ,"3 hours, 49 minutes",Peter Jackson,2002,"Alan Howard, Elijah Wood","Buy HD $17.99,Buy SD $9.99,"
98,Saving Private Ryan    ,"2 hours, 50 minutes",Steven Spielberg,1998,"Tom Hanks, Tom Sizemore","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
99,The Amazing Spider-Man 2    ,"2 hours, 22 minutes",Marc Webb,2014,"Andrew Garfield, Emma Stone","Buy HD $13.99,Buy SD $9.99,"
100,Ant-Man (Plus Bonus Features)   ,"1 hour, 57 minutes",Peyton Reed,2015,"Paul Rudd, Michael Douglas","Pre-order SD $14.99,"
101,Thor [DVD] , 114 minutes ,Kenneth Branagh,2013,,$12.99 
102,The Hobbit: The Desolation of Smaug (Special Edition) (DVD) , 161 minutes ,Peter Jackson,2014,Ian McKellen,$10.99 
103,Iron Man 3 (plus bonus features)    ,"3 hours, 9 minutes",Shane Black,2013,"Robert Downey Jr., Gwyneth Paltrow","Buy HD $19.99,Buy SD $14.99,"
104,Jurassic Park: Ultimate Trilogy (Blu-ray + Digital Copy) , 349 minutes ,Steven Spielberg,2011,Alessandro Nivola,$29.49 
105,The Three Musketeers   ,11/14/2013,Sergei Zhigunov,2013,48 minutes,"Buy SD $1.99,Buy HD $16.99,Buy SD $15.99,"
106,Maleficent (Theatrical)    ,"1 hour, 38 minutes",Robert Stromberg,2014,"Angelina Jolie, Elle Fanning","Buy HD $19.99,Buy SD $14.99,"
107,Iron Man 2    ,"2 hours, 7 minutes",Jon Favreau,2010,"Robert Downey Jr., Gwyneth Paltrow","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
108,Men In Black    ,"1 hour, 38 minutes",Barry Sonnenfeld,1997,"Tommy Lee Jones, Will Smith","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
109,Jurassic Park III    ,"1 hour, 33 minutes",Joe Johnston,2001,"Sam Neill, William H. Macy","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
110,Thor    ,"1 hour, 55 minutes",Kenneth Branagh,2011,"Chris Hemsworth, Natalie Portman","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
111,Blade Runner (30th Anniversary Collector's Edition) [Blu-ray] , 117 minutes ,Ridley Scott,2012,Harrison Ford,$13.89 
112,Star Trek (2009)    ,"2 hours, 7 minutes",J.J. Abrams,2009,"Chris Pine, Zachary Quinto","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
113,The Hunger Games (2-Disc DVD + Digital Copy) , 142 minutes ,Gary Ross,2012,Jennifer Lawrence,$6.75 
114,The Hobbit: The Desolation of Smaug    ,"2 hours, 42 minutes",Peter Jackson,2013,"Ian McKellen, Martin Freeman","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
115,Arrow   ,43 minutes,Glen Winter,2014,"Stephen Amell, Katie Cassidy","Buy SD $1.99,Buy HD $29.99,Buy SD $29.99,"
116,Minority Report    ,"2 hours, 26 minutes",Steven Spielberg,2002,"Tom Cruise, Max von Sydow","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
117,Oblivion    ,"2 hours, 5 minutes",Joseph Kosinski,2013,"Tom Cruise, Morgan Freeman","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
118,Inception (Blu-ray) , 148 minutes ,Christopher Nolan,2010,Leonardo DiCaprio,$7.50 
119,Man of Steel (2013)    ,"2 hours, 23 minutes",Zack Snyder,2013,"Henry Cavill, Amy Adams","Buy HD $17.99,Buy SD $9.99,"
120,Boy Wonder    ,"1 hour, 37 minutes",Michael Morrissey,2011,"Caleb Steinmeyer, Zulay Henao","Buy SD $4.99,"
121,Skyfall    ,"2 hours, 24 minutes",Sam Mendes,2012,"Daniel Craig, Judi Dench","Buy HD $13.99,Buy SD $12.99,"
122,Tombstone , 130 minutes ,George P. Cosmatos,1997,Kurt Russell,$6.76 
123,Big Trouble in Little China [Blu-ray] , 100 minutes ,John Carpenter,2009,Kurt Russell,$4.99 
124,The Hunger Games: Catching Fire (DVD + UltraViolet Digital Copy) , 146 minutes ,Francis Lawrence,2014,Jennifer Lawrence,$9.96 
125,The Hobbit: An Unexpected Journey    ,"2 hours, 50 minutes",Peter Jackson,2012,"Ian McKellen, Martin Freeman","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
126,Star Trek: The Complete Original Series (Seasons 1-3) [Blu-ray] , 4120 minutes ,Anton Leader,2009,William Shatner,$74.79 
127,Godzilla (2014)    ,"2 hours, 4 minutes",Gareth Edwards,2014,"Aaron Taylor-Johnson, CJ Adams","Buy HD $17.99,Buy SD $9.99,"
128,Fury [Blu-ray] , 134 minutes ,David Ayer,2015,Brad Pitt,$14.99 
129,Stargate Universe   ,44 minutes,Andy Mikita,2010,"Robert Carlyle, Louis Ferreira","Buy SD $1.99,Buy HD $29.99,Buy SD $19.99,"
130,The Lord Of The Rings: The Fellowship Of The Ring    ,"2 hours, 59 minutes",Peter Jackson,2001,"Alan Howard, Noel Appleby","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
131,Thor: The Dark World (With Digital-Exclusive Bonus Features)    ,"2 hours, 58 minutes",Alan Taylor,2013,"Chris Hemsworth, Natalie Portman","Buy HD $19.99,Buy SD $14.99,"
132,Princess Warrior    ,"1 hour, 24 minutes",Lindsay Norgard,1989,"Sharon Lee Jones,Dana Fredsti","Buy SD $9.99,"
133,24: Redemption    ,"1 hour, 43 minutes",Jon Cassar,2008,"Kiefer Sutherland, Cherry Jones","Buy HD $14.99,Buy SD $9.99,"
134,Hobo With A Shotgun    ,"1 hour, 27 minutes",Jason Eisener,2011,"Rutger Hauer, Pasha Ebrahimi","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
135,24,44 minutes,Jon Cassar,2007,"Kiefer Sutherland, Mary Lynn Rajskub","Buy SD $1.99,Buy HD $24.99,Buy SD $19.99,"
136,The Pirate    ,"1 hour, 43 minutes",Yannis Smaragdis,2012,"Sebastian Koch, Evgeniy Stychkin","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $8.99,"
137,24,43 minutes,Jon Cassar,2006,"Kiefer Sutherland, Kim Raver","Buy SD $1.99,Buy HD $24.99,Buy SD $19.99,"
138,Captain America: The First Avenger    ,"2 hours, 5 minutes",Joe Johnston,2011,"Chris Evans, Hayley Atwell","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
139,24,47 minutes,Jon Cassar,2009,"Kiefer Sutherland, Cherry Jones","Buy SD $1.99,Buy HD $24.99,Buy SD $19.99,"
140,24,43 minutes,Jon Cassar,2005,"Kiefer Sutherland, Kim Raver","Buy SD $1.99,Buy HD $24.99,Buy SD $19.99,"
141,Dragon Blade    ,"1 hour, 44 minutes",Daniel Lee,2015,"Jackie Chan,John Cusack","Rent HD $6.99,Rent SD $6.99,"
142,Monty Python and the Holy Grail (Special Edition) , 92 minutes ,Terry Gilliam,2001,Graham Chapman,$8.32 
143,The Matrix    ,"2 hours, 17 minutes",Andy Wachowski,1999,"Keanu Reeves, Laurence Fishburne","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
144,Doctor Who   ,54 minutes,Nick Hurran,2012,"Matt Smith, Karen Gillan","Buy SD $1.99,Buy SD $8.99,"
145,Captain America: The First Avenger (Two-Disc Blu-ray/DVD Combo + Digital Copy) , 123 minutes ,Joe Johnston,2013,Chris Evans,$19.96 
146,Pathfinders: In The Company Of Strangers    ,"1 hour, 36 minutes",Curt A. Sindelar,2013,"Christopher Serrone, Michael Conner Humphreys","Rent SD $1.99,Buy HD $7.99,Buy SD $4.99,"
147,Avatar (Blu-ray 3D + Blu-ray/ DVD Combo Pack) , 162 minutes ,James Cameron,2012,Sam Worthington,$22.99 
148,Fury    ,"2 hours, 15 minutes",David Ayer,2014,"Brad Pitt, Shia LaBeouf","Buy HD $17.99,Buy SD $13.99,"
149,Stargate Atlantis   ,50 minutes,Andy Mikita,2008,"Joe Flanigan, Rachel Luttrell","Buy SD $1.99,Buy HD $29.99,Buy SD $19.99,"
150,Stargate Atlantis   ,44 minutes,Martin Wood,2006,"Joe Flanigan, Torri Higginson","Buy SD $1.99,Buy HD $29.99,Buy SD $19.99,"
151,Stargate Atlantis   ,44 minutes,Martin Wood,2007,"Joe Flanigan, Amanda Tapping","Buy SD $1.99,Buy HD $29.99,Buy SD $19.99,"
152,Inception    ,"2 hours, 29 minutes",Christopher Nolan,2010,"Leonardo DiCaprio, Joseph Gordon-Levitt","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
153,The Lost World: Jurassic Park    ,"2 hours, 10 minutes",Steven Spielberg,1997,"Jeff Goldblum, Julianne Moore","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
154,Sons of Liberty    ,"1 hour, 35 minutes",Drew Hall,2012,"Tamer Hassan, Keith David","Rent SD $2.99,Buy SD $4.99,"
155,24,52 minutes,Jon Cassar,2003,"Kiefer Sutherland, Elisha Cuthbert","Buy SD $1.99,Buy HD $24.99,Buy SD $19.99,"
156,Lawrence Of Arabia    ,"3 hours, 48 minutes",David Lean,1989,"Peter O'Toole, Alec Guinness","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
157,Game of Thrones   ,55 minutes,Daniel Minahan,2013,"Peter Dinklage, Lena Headey","Buy SD $2.99,Buy HD $38.99,Buy SD $28.99,"
158,Indiana Jones and the Raiders of the Lost Ark    ,"1 hour, 56 minutes",Steven Spielberg,1981,"Harrison Ford, Karen Allen","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
159,The Day After   ,12/3/2013,Dushan Gligorov,2013,49 minutes,"Buy SD $19.99,"
160,Maleficent (Plus Bonus Features)    ,"2 hours, 10 minutes",Robert Stromberg,2014,"Angelina Jolie, Elle Fanning","Buy HD $19.99,Buy SD $14.99,"
161,Supergirl   ,10/26/2015,Greg Berlanti,2015,3 minutes,"Buy SD Free,Buy HD $29.99,Buy SD $29.99,"
162,Wild    ,"1 hour, 56 minutes",Jean-Marc Vallée,2014,"Reese Witherspoon, Laura Dern","Buy HD $12.99,Buy SD $14.99,"
163,Stargate Atlantis   ,44 minutes,Martin Wood,2005,"Joe Flanigan, Torri Higginson","Buy SD $1.99,Buy HD $29.99,Buy SD $19.99,"
164,24,43 minutes,Brad Turner,2010,"Kiefer Sutherland, Mary Lynn Rajskub","Buy SD $1.99,Buy HD $24.99,Buy SD $19.99,"
165,The Hunger Games: Mockingjay Part 1 (Plus Bonus Features)    ,"2 hours, 43 minutes",Francis Lawrence,2014,"Jennifer Lawrence, Josh Hutcherson","Buy HD $19.99,Buy SD $14.99,"
166,X-Men: Days of Future Past    ,"2 hours, 12 minutes",Bryan Singer,2014,"Hugh Jackman, James McAvoy","Buy HD $14.99,Buy SD $14.99,"
167,Thor: The Dark World [Blu-ray] , 112 minutes ,Alan Taylor,2014,Chris Hemsworth,$23.99 
168,Iron Man 3    ,"2 hours, 11 minutes",Shane Black,2013,"Robert Downey Jr., Gwyneth Paltrow","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
169,Vikings   ,46 minutes,Ken Girotti,2015,"Travis Fimmel, Katheryn Winnick","Buy SD $1.99,Buy HD $25.99,Buy SD $16.99,"
170,Game of Thrones: Season 1 , 561 minutes ,David Benioff,2012,Peter Dinklage,$24.99 
171,24,52 minutes,Jon Cassar,2002,"Kiefer Sutherland, Sarah Wynter","Buy SD $1.99,Buy HD $24.99,Buy SD $19.99,"
172,Game of Thrones   ,53 minutes,Alan Taylor,2012,"Peter Dinklage, Lena Headey","Buy SD $2.99,Buy HD $38.99,Buy SD $28.99,"
