#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
#ltable=POINTER
"_id","ltable.id","rtable.id","ltable.title","ltable.director","ltable.year","ltable.cost","ltable.star","rtable.title","rtable.director","rtable.year","rtable.rotten_tomatoes","rtable.review1","rtable.review2","rtable.review3","rtable.review4","rtable.review5","gold"
10,55,1986,"Star Trek Into Darkness (Blu-ray + DVD + Digital HD)","J.J. Abrams",2013,$11.99,"Chris Pine","Star Trek","J.J. Abrams",2009,95,"Star Trek has remarkable freshness and originality for something so deeply familiar. And it leaves us confidant that a venerable piece of pop culture is in good hands, at least for the time being.","Star Trek keeps you occupied with the usual sort of thing you find in science-fiction adventures, done somewhat more wittily.","A rather lazily imagined, though energetically executed pastiche of big screen sci-fi clichs seemingly appropriated at random from other films.","Whether watching Kirk and Sulu skydive from space, a rural Mid-West dotted with vast interstellar towers, or Kirk do battle with a very ill-tempered beastie on a frozen moon, it's hard not to gape in wonder.","I didn't go to this with much enthusiasm but, of course, it's been completely reinvented by J.J. Abrams and he's done a terrific job.",0
11,65,3128,"Lord of the Rings: The Two Towers","Peter Jackson",2002,"Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Bruce Allpress, Sean Astin","The Hobbit: The Desolation of Smaug","Peter Jackson",2013,74,"The Hobbit: The Desolation of Smaug is technically better than The Hobbit: An Unexpected Journey in the same way Attack of the Clones was technically better than The Phantom Menace.","The Hobbit: The Desolation of Smaug is another grand entry in the Tolkien saga, raising the emotional and physical stakes while revealing more of the sinister forces that we know will ultimately come to threaten the entire world.","(There) seems to be more action this time around. It's much more thrilling and is, again, pertinent, necessary action. And the character moments just work better in this installment.","Smaug slept through the first Hobbit film, and boy was I jealous.","For all the great effects it garners, [it] is a cold, and monotonous epic that borders on fan fiction.",0
12,65,3391,"Lord of the Rings: The Two Towers","Peter Jackson",2002,"Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Bruce Allpress, Sean Astin","The Hobbit: The Battle of the Five Armies","Peter Jackson",2014,60,"Is it still fun? Yes. Is it indulgent? Absolutely.","At two hours 24 minutes the final Hobbit movie is the shortest of all of Peter Jackson's Middle-earth epics but it still feels like butter scraped over too much bread.","Such ingenuity is at the service of a project that lost its emotional core when Jackson decided to take Tolkien's relatively streamlined novel and pump it up into three plus-sized movies.","At two hours and 24 minutes it's the shortest of the trilogy, but it still feels longer than it needs to be.","Often spectacular and increasingly involving, The Hobbit: The Battle of the Five Armies delivers a good payoff for a trilogy marred with issues of self-indulgence.",0
13,83,4052,"Indiana Jones: The Complete Adventure Collection (Raiders of the Lost Ark / Temple of Doom / Last Crusade / Kingdom of the Crystal Skull)","Steven Spielberg",2008,$34.70,"Harrison Ford","Star of Midnight","Stephen Roberts",1935,0,"Good escapist entertainment mixing snappy dialogue with pistol shots and cocktails.",,,,,0
14,97,1060,"Lord of the Rings: The Fellowship of the Ring - Extended Edition","Peter Jackson",2002,"Buy HD $17.99,Buy SD $9.99,","Alan Howard, Elijah Wood","Warriors of Terra","Robert J. Wilson",2006,0,,,,,,0
15,99,3215,"The Amazing Spider-Man 2","Marc Webb",2014,"Buy HD $13.99,Buy SD $9.99,","Andrew Garfield, Emma Stone","The Amazing Spider-Man 2","Marc Webb",2014,53,"It could easily be shorter and no one would be mad, but personally, I thought it was a tonal improvement on the last film and actually made me care that I was watching a movie about Spider-Man.","Although it drags at times and is simply too long, dampening the emotional impact of some key plot points, the fine performances -- particularly Garfield's and a fine closing scene -- will leave you thinking this Spider-Man is still kind of amazing.","Everyone has done an excellent job on director Marc Webb's exciting, well-crafted sequel to his first Spider-Man film. But it's impossible to reboot audiences' brains, and forget the same job was done even better, only the other day.","The Amazing Spider-Man 2 certainly has its moments, but for the most part it's just middle-of-the-pack blockbuster fare.","Frustrates as much as it entertains.",1
16,102,6152,"The Hobbit: The Desolation of Smaug (Special Edition) (DVD)","Peter Jackson",2014,$10.99,"Ian McKellen","The Duke Of Burgundy","Peter Strickland",2015,92,"[Peter Strickland's] new movie has more going on than cinematic mind games.","There's voyeurism, fetishism, bondage, lingerie and high-flown naughtiness galore, but that's hardly the movie's most conspicuous achievement.","The Duke of Burgundy is no mere style exercise or slavish homage. Strickland finds both humour and pathos in the situation of Cynthia and Evelyn, who are every bit as trapped as the insects they collect and catalogue.","The Duke of Burgundy is like Fifty Shades of Grey as staged by Masterpiece Theater.","It will appeal to a limited group of high cinephiles, and those who always got off on the kind of fantasy soft-porn the film so dutifully replicates, and most of all, to the subset of folk who are both. That would be me.",0
17,110,3549,"Thor","Kenneth Branagh",2011,"Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,","Chris Hemsworth, Natalie Portman","Thor","Kenneth Branagh",2011,77,"Let's hope Branagh was well-compensated, at least. To quote his favorite author: No profit grows where is no pleasure taken.","Thor is on much safer ground here on Earth. The tone is immediately different: more relaxed; comic, not cosmic.","Thor is a really good popcorn flick -- just a little too bloated in places to hit the mark as well as it could have.","The mildly amusing midsection plays like a Viking take on Crocodile Dundee.","Strikes a mighty blow to the summer blockbuster season and will charge up audiences just like the first 'Iron Man.'",1
18,125,1873,"The Hobbit: An Unexpected Journey","Peter Jackson",2012,"Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,","Ian McKellen, Martin Freeman","Journey to the Moon","Stephen Cookson",2009,0,,,,,,0
19,156,1452,"Lawrence Of Arabia","David Lean",1989,"Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,","Peter O'Toole, Alec Guinness","Sands of Oblivion","David Flores",2007,0,,,,,,0
20,166,205,"X-Men: Days of Future Past","Bryan Singer",2014,"Buy HD $14.99,Buy SD $14.99,","Hugh Jackman, James McAvoy","Davy Crockett, King of the Wild Frontier","Norman Foster",1955,0,,"Feature version of three TV Disney episodes still fun, exciting",,,,0
21,166,2125,"X-Men: Days of Future Past","Bryan Singer",2014,"Buy HD $14.99,Buy SD $14.99,","Hugh Jackman, James McAvoy","The 7 Adventures of Sinbad","Adam Silver",2010,0,,,,,,0
22,166,3268,"X-Men: Days of Future Past","Bryan Singer",2014,"Buy HD $14.99,Buy SD $14.99,","Hugh Jackman, James McAvoy","X-Men: Days of Future Past","Bryan Singer",2014,91,"The teenaged Quicksilver, played by Evan Peters... grants this sometimes unwieldy lot of exposition a brilliantly entertaining set-piece, as he speeds around a prison chamber to the tune of Jim Croce's Time in a Bottle.","It doesn't deliver as many wow moments as one might hope for, but as far as the X-Men franchise is concerned, it's one of the better installments.","It's an ingenuous screenplay that's marvelously executed by Singer, whose return to the series is more than welcome.","The best part of this film and the best thing to happen to the franchise as a whole is the casting of Michael Fassbender as Eric Lehnsherr/Magneto and James McAvoy as Professor Charles Xavier.","X-Men: Days of Future Past builds upon the outstanding First Class by offering up an immensely fascinating and spectacularly entertaining storyline that just goes to show how far this franchise has come in recent years.",1
23,166,5424,"X-Men: Days of Future Past","Bryan Singer",2014,"Buy HD $14.99,Buy SD $14.99,","Hugh Jackman, James McAvoy","The Secret Life Of Walter Mitty","Ben Stiller",2013,50,"This is one of the more disappointing efforts of the holiday movie season.","While the original Mitty was a heartbreakingly sad figure, this Mitty is a weak parable for living life to the fullest (or something like that.)","The Secret Life of Walter Mitty provides fun and laughs, but also meaningful thoughts on life and how we choose to live it, along with a touching lead performance you'll want to root for.","Steve Conrad's script is a jumbled farce, misfiring on comedic executions and inserting beats that have no real relevance to the story.","The Secret Life of Walter Mitty is one charming film to see, and there's nothing wrong with a feel-good movie that makes you feel good about liking it.",0
24,170,5516,"Game of Thrones: Season 1","David Benioff",2012,$24.99,"Peter Dinklage","The Trials of Cate McCall","Karen Moncrieff",2013,0,,,,,,0
25,172,150,"Game of Thrones","Alan Taylor",2012,"Buy SD $2.99,Buy HD $38.99,Buy SD $28.99,","Peter Dinklage, Lena Headey","The Return of Chandu","Ray Taylor",1934,0,"Its unique blend of the supernatural and the exotic, its decent production values, and Bela Lugosi in one of his only heroic roles, help it stand out among its competition.",,,,,0
26,172,5682,"Game of Thrones","Alan Taylor",2012,"Buy SD $2.99,Buy HD $38.99,Buy SD $28.99,","Peter Dinklage, Lena Headey","Veil of Tears","Kenny Saylors",2014,0,,,,,,0
27,183,1614,"The Secret Life of Walter Mitty","Ben Stiller",2013,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $14.99,","Ben Stiller, Kristen Wiig","Indiana Jones and the Kingdom of the Crystal Skull","Steven Spielberg",2008,78,"A perfectly great bout of escapism with Indiana Jones at his best...","Want some real perspective? Ask me in ten years: hindsight has a nasty habit of being right. But for right now, on May 22, 2008? Indiana Jones And The Kingdom Of The Crystal Skull is a movie worth getting excited for.","Senior citizens' special of the year, a popcorn movie made from, uh, mature corn.","If anyone was worried that Ford was just too old to put the hat back on, Crystal Skull should lay that to rest. There's still life in the old franchise yet.","I'll answer the most important question first. Yes, there is a Wilhelm scream in Indiana Jones and the Kingdom of the Crystal Skull.",0
28,183,1947,"The Secret Life of Walter Mitty","Ben Stiller",2013,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $14.99,","Ben Stiller, Kristen Wiig","Land of the Lost","Brad Silberling",2009,26,"[A] gigantic chunk of scat.","A ragbag of lackadaisical plotting, drugs references, puerile lechery and shiny effects work, an assemblage far from child-friendly yet not quite grungey enough to wow older teens.","Danny McBride and Will Ferrell make it worth a trip to Land of the Lost.","Who is this movie being made for in the first place?","By stringing together a bunch of campy retro set-ups and witty improvs, Land of the Lost manages to be a watchable comedy with plenty of laughs.",0
29,183,3268,"The Secret Life of Walter Mitty","Ben Stiller",2013,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $14.99,","Ben Stiller, Kristen Wiig","X-Men: Days of Future Past","Bryan Singer",2014,91,"The teenaged Quicksilver, played by Evan Peters... grants this sometimes unwieldy lot of exposition a brilliantly entertaining set-piece, as he speeds around a prison chamber to the tune of Jim Croce's Time in a Bottle.","It doesn't deliver as many wow moments as one might hope for, but as far as the X-Men franchise is concerned, it's one of the better installments.","It's an ingenuous screenplay that's marvelously executed by Singer, whose return to the series is more than welcome.","The best part of this film and the best thing to happen to the franchise as a whole is the casting of Michael Fassbender as Eric Lehnsherr/Magneto and James McAvoy as Professor Charles Xavier.","X-Men: Days of Future Past builds upon the outstanding First Class by offering up an immensely fascinating and spectacularly entertaining storyline that just goes to show how far this franchise has come in recent years.",0
30,184,3085,"Thor: The Dark World","Alan Taylor",2013,"Rent HD $5.99,Rent SD $4.99,Buy HD $19.99,Buy SD $14.99,","Chris Hemsworth, Natalie Portman","Thor: The Dark World","Alan Taylor",2013,66,"...too little of the hammy delight of the original.","It brings some awe and brawny excitement into comic-book cinema.","If you give it a chance, I guarantee it will win you over with its humor and charm.","A massively enjoyable film that course-corrects the missteps of the original and delivers on big action, grittier subject matter, and a less pretentious take on the sometimes prohibitively dense Thor canon.","When Marvel brought in Alan Taylor, the director of Game of Thrones, to invigorate the Thor franchise, many hoped for a breast-bearing, dwarf-battling, blood-spurting melodrama -- with capes and hammers. Sadly, it was not to be.",1
31,190,2569,"Mission: Impossible - Ghost Protocol","Brad Bird",2011,"Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,","Tom Cruise, Paula Patton","Mission: Impossible Ghost Protocol","Brad Bird",2011,93,"It's truly difficult to imagine anyone not clutching his or her armrests for dear life during this vertigo-inducing scene.","What we're looking at here is basically a delivery system for action set-pieces, and boy howdy, this one has some doozies.","Boasting an exotic trip around the world, an engaging script, funny dialogue and spectacular stunts, ""Ghost Protocol"" is an adrenaline-rush adventure on a grand scale.","Finally an action movie that recaptures the fun and adventure of old.","Brad Bird takes the series up a notch with enjoyable character dynamics and a straightforward but still intriguing story featuring plenty of unique action set pieces.",1
32,193,481,"Game of Thrones: Season 3 (Blu-ray/DVD Combo + Digital Copy)","Various",2014,$29.99,"Various","Knives of the Avenger","Mario Bava",1966,0,"Has some appeal in its earnest story.","Grand Viking opera","The colossally incompetent vibe will undoubtedly turn off all but the most ardent Bava follower...",,,0
33,194,4778,"Harry Potter and the Order of the Phoenix","David Yates",2007,"Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,","Daniel Radcliffe, Harry Melling","The Book of Esther","David A.R. White",2013,0,,,,,,0
34,194,6376,"Harry Potter and the Order of the Phoenix","David Yates",2007,"Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,","Daniel Radcliffe, Harry Melling","The Gospel of John","David Batty",2014,0,,,,,,0
35,195,1987,"Harry Potter and the Goblet of Fire","Mike Newell",2005,"Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,","Eric Sykes, Timothy Spall","Valley of the Heart's Delight","Tim Boxell",2008,0,"Pedestrian handling, a clumsy script and some poor acting from name and local thesps alike squander the story's potential.",,,,,0
36,199,6390,"Pixels (3D Blu-ray + Blu-ray + UltraViolet)","Chris Columbus",2015,$26.79,"Lainie Kazan","Pixels","Chris Columbus",2015,17,"Pixels is devoid of cynicism and it has a cheerfully cheesy vibe, and it's the kind of movie you'll forget about a week after seeing it.","Coming up short in terms of both humour and story, Pixels runs out of lives well before the closing credits.","Pixels calms down and doesn't contain a lot of internal logic, but with Monaghan and Dinklage to do the heavy lifting, it manages to stay afloat.","Overlong, overcooked, overextended and over-everythinged but never amusing.","Pixels' predecessors, such as Ghostbusters, had an irreverent disrespect for authority and a deadpan outlook, but few of the many elements here are developed beyond the rudimentary.",1
37,204,4115,"Marvel's Guardians of the Galaxy [Blu-ray]","James Gunn",2014,$29.99,"Chris Pratt","The Secret Diaries Of Miss Anne Lister","James Kent",2010,0,,,,,,0
38,228,3474,"Furious 7 (Extended Edition)","James Wan",2015,"Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $14.99,","Vin Diesel, Paul Walker","Furious 7","James Wan",2015,81,"While the final salute to Paul is sweet, there's so much here that's tiresome -- not least the fact that almost nothing here involving cars is real.","If you know how to lower your standards you'll have a great time. [Full review in Spanish]","One of the best movies of the year.","Much of the hilarity in these films -- and they really are very funny -- comes from watching the excess as characters try to outdo one another's manliness.","Can you really call a film bad if it achieves exactly what it sets out to achieve?",1
39,242,5146,"Marvel's Avengers: Age of Ultron (Collector's Edition) (Blu-ray 3D + Blu-ray + Digital HD)","Joss Whedon",2015,$19.68,"Robert Downey Jr.","Heart of the Country","John Ward",2013,0,"Faith-based drama has heavy themes but positive messages.",,,,,0
40,260,560,"Transformers: Dark of the Moon","Michael Bay",2011,$9.55,"Shia LaBeouf","Year of the Dragon","Michael Cimino",1985,60,,,,"A stunning, hard-edged crime thriller from Michael Cimino with a mesmerizing lead performance by Mickey Rourke. An incredibly gutsy effort that's my favorite film of 1985.","Bullets, blood, and bodies fly, but little rings true.",0
41,260,1276,"Transformers: Dark of the Moon","Michael Bay",2011,$9.55,"Shia LaBeouf","The Mark of the Hawk","Michael Audley",1958,0,,,,,,0
42,260,3250,"Transformers: Dark of the Moon","Michael Bay",2011,$9.55,"Shia LaBeouf","Transformers: Age of Extinction","Michael Bay",2014,18,"The few authentic inspirations to be found in the movie's hundred and sixty-five roiling minutes involve gigantic science-fiction contrivances.","The running time of 2 hours and 45 minutes allows plenty of time for lots of explosions and inane dialogue.","Transformers: Age of Extinction is as close to an incoherent mess of movement & noise as cinema gets. Michael Bay is slowly perfecting his brand of blockbuster, and to be honest it's getting quite compelling to watch him fall down this rabbit hole","Metal on metal still the name of the game","If in doubt, smash everything to pieces - and be as noisy as possible.",0
43,273,29,"The Hobbit: The Battle of the Five Armies (Extended Edition)","Peter Jackson",2014,"Pre-order SD $14.99,","Ian McKellen, Martin Freeman","Master and Commander: The Far Side of the World","Peter Weir",2003,85,"Thanks in no small measure to Perfect Storm designer William Sandell, this handsomely mounted actioner exudes the authentic tang of salt, sweat and gunpowder.","It never achieves the visual elegance or majesty that a David Lean might have provided. The story line isn't the freshest. And yet the film is satisfying all the same.","Intense battle scenes and a strong story of friendship.","Peter Weir makes the Surprise a world to explore, not a splashy CGI simulation. Like a human body, the boat stays afloat through complex processes. A knockout mix of organic elegance, reflective drama and aggressive action on par with Sir David Lean.","an expansive cinematic achievement that sits well against such adventure classics as Lawrence of Arabia, and is a sure bet for fans of ocean bound drama.",0
44,273,3128,"The Hobbit: The Battle of the Five Armies (Extended Edition)","Peter Jackson",2014,"Pre-order SD $14.99,","Ian McKellen, Martin Freeman","The Hobbit: The Desolation of Smaug","Peter Jackson",2013,74,"The Hobbit: The Desolation of Smaug is technically better than The Hobbit: An Unexpected Journey in the same way Attack of the Clones was technically better than The Phantom Menace.","The Hobbit: The Desolation of Smaug is another grand entry in the Tolkien saga, raising the emotional and physical stakes while revealing more of the sinister forces that we know will ultimately come to threaten the entire world.","(There) seems to be more action this time around. It's much more thrilling and is, again, pertinent, necessary action. And the character moments just work better in this installment.","Smaug slept through the first Hobbit film, and boy was I jealous.","For all the great effects it garners, [it] is a cold, and monotonous epic that borders on fan fiction.",0
45,284,1075,"The Da Vinci Code (Two-Disc Extended Edition + BD Live) [Blu-ray]","Ron Howard",2009,$9.31,"Tom Hanks","The Da Vinci Code","Ron Howard",2006,25,"Completing the trail of cryptic clues simply becomes an end in and of itself -- think Sudoku: The Movie -- with little in the way of whimsy, star chemistry or excitement to enliven the dour plod.","Even as a visual aid, The Da Vinci Code is a deep-dyed disappointment. Paris by night never looked murkier.","The exposition is actually the best and most valuable part of the film","Too meekly middlebrow to really affront","What seems credible on page is ludicrous in action.",0
46,295,3074,"The Librarian: Curse of the Judas Chalice","Jonathan Frakes",2009,$9.93,"Noah Wyle","The Adventurer: The Curse of the Midas Box","Jonathan Newman",2014,17,"There simply isn't a whole lot of excitement being generated in this lackluster family adventure, though it tries oh so very hard.","The quest for the Midas Box never seems like more than a poor man's plot-engine substitute for Tolkien's One Ring.","Michael Sheen, Lena Heady and Sam Neill are among the big names expecting a franchise, but they'll be lucky to get a mid-morning TV slot, let alone a sequel.","The visually stylish film feels like a combination of elements from other fantasy adventures, yet turns out more muddled and convoluted than suspenseful.","Solid Victorian adventure is too dark for younger kids.",0
47,321,1999,"Lawrence of Arabia (Restored Version) [Blu-ray]","David Lean",2012,$18.50,"Anthony Quayle","Lost Treasure of the Maya","David Murphy",2008,0,,,,,,0
48,321,5783,"Lawrence of Arabia (Restored Version) [Blu-ray]","David Lean",2012,$18.50,"Anthony Quayle","Live Die Repeat: Edge of Tomorrow","Doug Liman",2014,90,"This is one of my favorite movies of the year so far.","Edge of Tomorrow feels like it's about something more than action. Neat trick.","It's easily the highlight of the summer movie offerings to me so far.","Before too long, the plot begins to cut significant corners, things get terribly convenient and, by the end, the suspect plot logic utterly falls apart in favor of an idiotically beatific ending.","To have a fun summer blockbuster with good characters, good action, and a tight and exciting script these days is almost unheard of. The smart sci-fi action movie is back. Let's hope it happens over and over again.",0
49,332,3417,"Black Sails","Neil Marshall",2014,"Buy SD $1.99,Buy HD $14.99,Buy SD $12.99,","Zach McGowan, Toby Stephens","Black Sea","Kevin Macdonald",2015,82,"Too often, moviegoers must choose between character-driven drama and edge-of-your-seat action. ""Black Sea"" has both, with a gripping performance by Jude Law as their nexus.","Director Kevin Macdonald successfully ties the psychological tension with the physical, using the tight confines of a submarine setting rather masterfully, squeezing each drop of tension and expertly pacing every plot twist in Dennis Kelly's screenplay.","With stunning underwater visuals, and a story that is engaging enough despite its obvious turns, there may be gold here yet.","The plot doesn't entirely hold water... but Law exudes brawny charisma and helps the film build up a good head of sweaty, claustrophobic tension.","Black Sea is another strongly made drama from British filmmaker Kevin Macdonald and, like The Last King of Scotland and State of Play, is about a protagonist in an untenable situation.",0
50,333,1965,"Indiana Jones and the Kingdom of the Crystal Skull","Steven Spielberg",2008,"Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,","Harrison Ford, Cate Blanchett","G.I. Joe: The Rise of Cobra","Stephen Sommers",2009,35,"Loud, shiny, and critic-proof, this franchise launcher is basically Transformers minus the humanity.","[Director] Sommers did the first two chaotic Mummy remakes; those play like Tender Mercies compared to this one.","A dull, passionless take on a property that any fan could have outdone with half the budget. No Joe!","It's about nothing, but who cares? It's the last big action movie of the summer and it does what it's supposed to do.","Here comes GI Joe, a film so loud and dumb it makes Transformers: Revenge of the Fallen look like a Mike Leigh docudrama.",0
