ID_A,ID_B,Flag,Name_A,Name_B,Director_A,Director_B,Year_A,Year_B
tt0030368,gravity_2013,,"Listen, Darling",Gravity,Edwin L. Marin,Alfonso Cuarón,1938,2012 2013 2014
tt2955186,gladiator,,Summer's Shadow,Gladiator,Steve Franke,Ridley Scott,2014,1999 2000 2001
tt0351283,1008968-grizzly,,Madagascar,Grizzly,"Eric Darnell,Tom McGrath","David Sheldon,William Girdler",2005,1975 1976 1977
tt0108473,night_of_dark_shadows,,The Vanishing,Night of Dark Shadows,George Sluizer,"Dan Curtis,Alex Stevens",1993,1970 1971 1972
tt0088794,malicious_intent,,Better Off Dead...,Malicious Intent,Savage Steve Holland,Caesar Cavaricci,1985,2001 2002 2003
tt0116959,robot-chicken-star-wars,,Magic in the Mirror,Robot Chicken: Star Wars Episode II,Ted Nicolaou,Seth Green,1996,2007 2008 2009
tt3622592,madagascar,,Paper Towns,Madagascar,Jake Schreier,"Conrad Vernon,Andy Richter,Ben Stiller,Cedric the Entertainer,Chris Miller,Chris Rock,Christopher Knights,David Schwimmer,Jada Pinkett Smith,Sacha Baron Cohen,Eric Darnell,Tom McGrath",2015,2004 2005 2006
tt0066819,billy_elliot,,The Beguiled,Billy Elliot,Don Siegel,Stephen Daldry,1971,1999 2000 2001
tt0119152,exorcist_the_beginning,,Free Willy 3: The Rescue,Exorcist: The Beginning,Sam Pillsbury,Renny Harlin,1997,2003 2004 2005
tt2758904,1029526-topaze,,Search Party,Topaze,Scot Armstrong,Harry d'Abbadie d'Arrast,2014,1932 1933 1934
tt0261392,the_descendants_2011,,Jay and Silent Bob Strike Back,The Descendants,Kevin Smith,Alexander Payne,2001,2010 2011 2012
tt3612032,kiss_the_girls,,Wrong Turn 6: Last Resort,Kiss The Girls,Valeri Milev,Gary Fleder,2014,1996 1997 1998
tt2070874,flirting_with_disaster,,This Thing with Sarah,Flirting With Disaster,Michael Doneger,David O. Russell,2013,1995 1996 1997
tt0101507,1059489-wild_bunch,,Boyz n the Hood,The Wild Bunch,John Singleton,Sam Peckinpah,1991,1968 1969 1970
tt0233142,national_gallery,,3000 Miles to Graceland,National Gallery,Demian Lichtenstein,Frederick Wiseman,2001,2013 2014 2015
tt0071960,1003756-cat_on_a_hot_tin_roof,,The Outfit,Cat on a Hot Tin Roof,John Flynn,"Jack Hofsis,Jack Hofsiss",1973,1983 1984 1985
tt1077368,showgirls,,Dark Shadows,Showgirls,Tim Burton,Paul Verhoeven,2012,1994 1995 1996
tt0069945,1190970-ghost_town,,Dark Star,Ghost Town,John Carpenter,David Koepp,1974,2007 2008 2009
tt0266987,playing_for_keeps_2012,,Spy Game,Playing for Keeps,Tony Scott,Gabriele Muccino,2001,2011 2012 2013
tt0083064,cloudy_with_a_chance_of_meatballs_2_2013,,Sharky's Machine,Cloudy with a Chance of Meatballs 2,Burt Reynolds,"Kris Pearn,Cody Cameron",1981,2012 2013 2014
tt2085930,1078021-contact,,Starship Troopers: Invasion,Contact,Shinji Aramaki,Robert Zemeckis,2012,1996 1997 1998
tt0021730,1156246-casanova,,The Champ,Casanova,King Vidor,Lasse Hallstrom,1931,2004 2005 2006
tt0044370,internes-cant-take-money,,April in Paris,Internes Can't Take Money (You Can't Take Money),David Butler,Alfred Santell,1952,1936 1937 1938
tt0240510,1010004-hound_of_the_baskervilles,,The Four Feathers,The Hound of the Baskervilles,Shekhar Kapur,Terence Fisher,2002,1958 1959 1960
tt0059037,the_martian,,The Cincinnati Kid,The Martian,Norman Jewison,Ridley Scott,1965,2014 2015 2016
tt0042546,goto_lile_damour,,Harvey,"Goto, l'île d'amour, (Goto, Island of Love)",Henry Koster,Walerian Borowczyk,1950,1968 1969 1970
tt0095629,maze_runner_double_feature,,Midnight Crossing,Maze Runner Double Feature,Roger Holzberg,Wes Ball,1988,2014 2015 2016
tt2321269,incredible_journey,,Heaven's Door,The Incredible Journey,Craig Clyde,Fletcher Markle,2013,1962 1963 1964
tt0087428,under_siege,,The Hotel New Hampshire,Under Siege,Tony Richardson,"Andy Romano,Colm Meaney,Damian Chapa,David McKnight,Erika Eleniak,Gary Busey,J.F. Lawton,Lee Hinton,Patrick O'Neal,Steven Seagal,Tommy Lee Jones,Troy Evans,Andrew Davis",1984,1991 1992 1993
tt0025335,reaper_2015,,Judge Priest,Reaper,John Ford,Wen-Han Shih,1934,2014 2015 2016
tt0098663,1098149-patriot,,The Wizard,The Patriot,Todd Holland,Roland Emmerich,1989,1999 2000 2001
tt0414853,sorcerers_apprentice,,Barnyard,The Sorcerer's Apprentice,Steve Oedekerk,"Jon Turtletaub,Jon Turteltaub",2006,2009 2010 2011
tt0104114,maps_to_the_stars,,The Distinguished Gentleman,Maps to the Stars,Jonathan Lynn,David Cronenberg,1992,2014 2015 2016
tt0073880,vantage_point,,Walking Tall Part II,Vantage Point,Earl Bellamy,"Pete Travis (II),Pete Travis",1975,2007 2008 2009
tt0107927,oscar_nominated_animated_short_films_2014,,The Real McCoy,Oscar Nominated Animated Short Films 2014,Russell Mulcahy,"Alexandre Espigares,Patrick Osborne,Jan Lachauer,Torill Kove,Max Lang,Daisy Jacobs,Lauren MacMullan,Robert Kondo,Shuhei Morita,Daisuke 'Dice' Tsutsumi,Dorothy McKim,Daniel Sousa,Laurent Witz,Dan Golden",1993,2013 2014 2015
tt0056405,bratya_karamazovy,,Reptilicus,Bratya Karamazovy (The Brothers Karamazov),Sidney W. Pink,"Kirill Lavrov,Ivan Pyryev,Mikhail Ulyanov",1961,1968 1969 1970
tt0166485,1204891-center_stage_turn_it_up,,Anna and the King,Center Stage: Turn It Up,Andy Tennant,Steven Jacobson,1999,2007 2008 2009
tt0083791,1013227-manchurian_candidate,,The Dark Crystal,The Manchurian Candidate,"Jim Henson,Frank Oz",John Frankenheimer,1982,1961 1962 1963
tt0038916,kiss-kiss-bang-bang-2000,,The Secret Heart,Kiss Kiss Bang Bang,Robert Z. Leonard,Ray Brady,1946,1999 2000 2001
tt0878804,listening_2014,,The Blind Side,Listening,John Lee Hancock,Khalil Sullins,2009,2014 2015 2016
tt0114658,faster,,Theodore Rex,Faster,Jonathan R. Betuel,Mark Neale,1995,2003 2004 2005
tt0475431,endless_love_2014,,Permanent Vacation,Endless Love,W. Scott Peake,Shana Feste,2007,2013 2014 2015
tt0120888,lock_stock_and_two_smoking_barrels,,The Wedding Singer,"Lock, Stock and Two Smoking Barrels",Frank Coraci,Guy Ritchie,1998,1998 1999 2000
tt0078748,the_scorpion_king_2,,Alien,The Scorpion King 2,Ridley Scott,Russell Mulcahy,1979,2007 2008 2009
tt1675192,opposite_sex,,Take Shelter,The Opposite Sex,Jeff Nichols,David Miller,2011,1955 1956 1957
tt1411697,the_gameplan,,The Hangover Part II,The Game Plan,Todd Phillips,Andy Fickman,2011,2006 2007 2008
tt1300854,return_to_nims_island,,Iron Man 3,Return To Nim's Island,Shane Black,Brendan Maher,2013,2012 2013 2014
tt1226273,the_bride_2000,,Edge of Darkness,The Bride,Martin Campbell,Zhang Ming,2010,1999 2000 2001
tt0038669,minds_in_the_water_2011,,The Killers,Minds In The Water,Robert Siodmak,Justin Krumb,1946,2011 2012 2013
tt1291584,the_crystal_ball_1943,,Warrior,The Crystal Ball,Gavin O'Connor,Elliott Nugent,2011,1942 1943 1944
tt1971352,now_voyager,,Compliance,"Now, Voyager",Craig Zobel,Irving Rapper,2012,1941 1942 1943
tt0034965,amateur_porn_star_killer,,"Larceny, Inc.",Amateur Porn Star Killer,Lloyd Bacon,Shane Ryan,1942,2006 2007 2008
tt0044872,longshots,,The Man Behind the Gun,The Longshots,Felix E. Feist,Fred Durst,1953,2007 2008 2009
tt0101917,meet_the_fockers,,Freddy's Dead: The Final Nightmare,Meet the Fockers,Rachel Talalay,Jay Roach,1991,2003 2004 2005
tt1446192,lake_placid_3,,Rise of the Guardians,Lake Placid 3,Peter Ramsey,"Griff Furst,G.E. Furst",2012,2009 2010 2011
tt0094072,the_collection_2012,,Summer School,The Collection,Carl Reiner,Marcus Dunstan,1987,2011 2012 2013
tt0119099,black_rainbow,,Fallen,Black Rainbow,Gregory Hoblit,Mike Hodges,1998,1999 2000 2001
tt0102492,ray,,My Girl,Ray,Howard Zieff,Taylor Hackford,1991,2003 2004 2005
tt1478338,staying_alive_2012,,Bridesmaids,Staying Alive,Paul Feig,Anant Mahadevan,2011,2011 2012 2013
tt0450278,1084081-tango,,Hostel,Tango,Eli Roth,Carlos Saura,2005,1997 1998 1999
tt0452694,1001781-batman,,The Time Traveler's Wife,Batman,Robert Schwentke,Tim Burton,2009,1988 1989 1990
tt2855026,1187641-1187641-man_who_souled_the_world,,Stop the Pounding Heart,The Man Who Souled the World,Roberto Minervini,Mike Hill,2013,2006 2007 2008
tt0037794,far_and_away,,The House of Fear,Far and Away,Roy William Neill,Ron Howard,1945,1991 1992 1993
tt1754853,max_2016,,Waiting for Lightning,Max,Jacob Rosenberg,Boaz Yakin,2012,2014 2015 2016
tt3177316,adventures_of_rocky_and_bullwinkle,,Honeymoon,The Adventures of Rocky & Bullwinkle,Leigh Janiak,Des McAnuff,2014,1999 2000 2001
tt0052325,tonka-1997,,The Tunnel of Love,Tonka,Gene Kelly,Jean-Hugues Anglade,1958,1996 1997 1998
tt0090151,uncharted_drakes_fortune,,That Was Then... This Is Now,Uncharted: Drake's Fortune,Christopher Cain,Seth Gordon,1985,2016 2017 2018
tt0061584,tom_and_jerry_the_movie,,Doctor Dolittle,Tom and Jerry: The Movie,Richard Fleischer,Phil Roman,1967,1991 1992 1993
tt2935476,salome_1953,,Far from the Madding Crowd,Salome,Thomas Vinterberg,William Dieterle,2015,1952 1953 1954
tt2657160,puccini-and-the-young-girl,,Luna Park,Puccini and the Young Girl (Puccini e la fanciulla),Steven Vasquez,Paolo Benvenuti,2013,2007 2008 2009
tt0407265,dumbo,,Transamerica,Dumbo,Duncan Tucker,"Sam Armstrong,Jack Kinney,Norman Ferguson,Wilfred Jackson,Bill Roberts,Ben Sharpsteen,Samuel Armstrong",2005,1940 1941 1942
tt2890572,mind_the_gap,,Tabloid Vivant,Mind the Gap,Kyle Broom,Eric Schaeffer,2015,2004 2005 2006
tt2124787,10009063-perfect_holiday,,Final Girl,The Perfect Holiday,Tyler Shields,Lance Rivera,2015,2006 2007 2008
tt0119152,jingle_all_the_way_2011,,Free Willy 3: The Rescue,Jingle All The Way,Sam Pillsbury,Chel White,1997,2010 2011 2012
tt2044801,american_pie_2,,Kite,American Pie 2,Ralph Ziman,"James B. Rogers (II),J.B. Rogers",2014,2000 2001 2002
tt0101004,kiss_me_a_killer,,Zandalee,Kiss Me A Killer,Sam Pillsbury,"Marcus DeLeon,Marcus De Leon",1991,1990 1991 1992
tt3675568,the_investigator_2007,,Merchants of Doubt,The Investigator,Robert Kenner,Chris Oxley,2014,2006 2007 2008
tt0038462,into_the_abyss_2011,,Decoy,Into The Abyss,Jack Bernhard,Werner Herzog,1946,2010 2011 2012
tt0357413,1014822-nest,,Anchorman: The Legend of Ron Burgundy,The Nest,Adam McKay,Terence H. Winkless,2004,1987 1988 1989
tt0442933,casper_a_spirited_beginning,,Beowulf,Casper: A Spirited Beginning,Robert Zemeckis,Sean McNamara,2007,1996 1997 1998
tt2486678,kiss-me-again-2010,,5 to 7,Kiss Me Again (Baciami ancora),Victor Levin,Gabriele Muccino,2014,2009 2010 2011
tt2369135,watchmen_ultimate_cut,,Need for Speed,Watchmen: Ultimate Cut,Scott Waugh,Zack Snyder,2014,2008 2009 2010
tt3314434,department,,Bound by Sea,Department,Nathan Daniel,Ram Gopal Varma,2013,2011 2012 2013
tt0113845,10011235-fame,,Money Train,Fame,Joseph Ruben,Kevin Tancharoen,1995,2008 2009 2010
tt0038160,judas-kiss-2009,,They Were Expendable,Judas Kiss,"John Ford,Robert Montgomery",J.T. Tepnapa,1945,2009 2010 2011
tt1568343,rango_1931,,The Humbling,Rango,Barry Levinson,Ernest B. Schoedsack,2014,1930 1931 1932
tt2034139,new_world_2013,,The Last Exorcism Part II,New World,Ed Gass-Donnelly,Hoon-jung Park,2013,2012 2013 2014
