ID_A,ID_B,Flag,Name_A,Name_B,Director_A,Director_B,Year_A,Year_B
tt0361620,first_daughter,,First Daughter,First Daughter,Forest Whitaker,Forest Whitaker,2004,2003 2004 2005
tt0889595,dream_boy,,Dream Boy,Dream Boy,James Bolton,James Bolton,2008,2009 2010 2011
tt0119925,postman,,The Postman,The Postman,Kevin Costner,Kevin Costner,1997,1996 1997 1998
tt1298649,the_watch_2012,,The Watch,The Watch,Akiva Schaffer,Akiva Schaffer,2012,2011 2012 2013
tt0033490,1004746-corsican_brothers,,The Corsican Brothers,The Corsican Brothers,Gregory Ratoff,Gregory Ratoff,1941,1940 1941 1942
tt0160429,1087348-king_and_i,,The King and I,The King and I,Richard Rich,Richard Rich,1999,1998 1999 2000
tt0457297,butterfly_effect_2,,The Butterfly Effect 2,The Butterfly Effect 2,John R. Leonetti,John R. Leonetti,2006,2005 2006 2007
tt0120804,resident_evil,,Resident Evil,Resident Evil,Paul W.S. Anderson,Paul W.S. Anderson,2002,2001 2002 2003
tt0449467,babel,,Babel,Babel,Alejandro González Iñárritu,Alejandro González Iñárritu,2006,2005 2006 2007
tt1967545,labor_day_2013,,Labor Day,Labor Day,Jason Reitman,Jason Reitman,2013,2013 2014 2015
tt0070707,sleeper,,Sleeper,Sleeper,Woody Allen,Woody Allen,1973,1972 1973 1974
tt0269341,two_can_play_that_game,,Two Can Play That Game,Two Can Play That Game,Mark Brown,Mark Brown,2001,2000 2001 2002
tt0104691,1040678-last_of_the_mohicans,,The Last of the Mohicans,The Last of the Mohicans,Michael Mann,Michael Mann,1992,1991 1992 1993
tt0099739,hard_to_kill,,Hard to Kill,Hard to Kill,Bruce Malmuth,Bruce Malmuth,1990,1989 1990 1991
tt0160216,1094164-dog_of_flanders,,A Dog of Flanders,A Dog of Flanders,Kevin Brodie,Kevin Brodie,1999,1998 1999 2000
tt1014763,child_44,,Child 44,Child 44,Daniel Espinosa,Daniel Espinosa,2015,2014 2015 2016
tt0028330,suzy,,Suzy,Suzy,George Fitzmaurice,George Fitzmaurice,1936,1935 1936 1937
tt1282140,easy-a,,Easy A,Easy A,Will Gluck,Will Gluck,2010,2009 2010 2011
tt0947798,black_swan_2010,,Black Swan,Black Swan,Darren Aronofsky,Darren Aronofsky,2010,2009 2010 2011
tt0101969,1037642-grand_canyon,,Grand Canyon,Grand Canyon,Lawrence Kasdan,Lawrence Kasdan,1991,1990 1991 1992
tt0057225,kings_of_the_sun,,Kings of the Sun,Kings of the Sun,J. Lee Thompson,J. Lee Thompson,1963,1962 1963 1964
tt0113497,1068044-jumanji,,Jumanji,Jumanji,Joe Johnston,Joe Johnston,1995,1994 1995 1996
tt1999987,breathe_in,,Breathe In,Breathe In,Drake Doremus,Drake Doremus,2013,2013 2014 2015
tt0044207,when_worlds_collide,,When Worlds Collide,When Worlds Collide,Rudolph Maté,Rudolph Maté,1951,1950 1951 1952
tt0168501,1093551-best_man,,The Best Man,The Best Man,Malcolm D. Lee,Malcolm D. Lee,1999,1998 1999 2000
tt3326880,laugh_killer_laugh,,Laugh Killer Laugh,Laugh Killer Laugh,Kamal Ahmed,Kamal Ahmed,2015,2014 2015 2016
tt0482527,10007893-its_a_boy_girl_thing,,It's a Boy Girl Thing,It's a Boy Girl Thing,Nick Hurran,Nick Hurran,2006,2005 2006 2007
tt0372784,batman_begins,,Batman Begins,Batman Begins,Christopher Nolan,Christopher Nolan,2005,2004 2005 2006
tt0035771,the_crystal_ball_1943,,The Crystal Ball,The Crystal Ball,Elliott Nugent,Elliott Nugent,1943,1942 1943 1944
tt0038787,1015287-notorious,,Notorious,Notorious,Alfred Hitchcock,Alfred Hitchcock,1946,1945 1946 1947
tt0299863,fabled,,Fabled,Fabled,Ari Kirschenbaum,Ari Kirschenbaum,2002,2001 2002 2003
tt0164912,stuart_little,,Stuart Little,Stuart Little,Rob Minkoff,Rob Minkoff,1999,1998 1999 2000
tt2170439,horrible_bosses_2,,Horrible Bosses 2,Horrible Bosses 2,Sean Anders,Sean Anders,2014,2013 2014 2015
tt0082992,1017530-rich_and_famous,,Rich and Famous,Rich and Famous,George Cukor,George Cukor,1981,1980 1981 1982
tt2689958,big_sky_2015,,Big Sky,Big Sky,Jorge Michel Grau,Jorge Michel Grau,2015,2014 2015 2016
tt0087755,muppets_take_manhattan,,The Muppets Take Manhattan,The Muppets Take Manhattan,Frank Oz,Frank Oz,1984,1983 1984 1985
tt0162710,trick,,Trick,Trick,Jim Fall,Jim Fall,1999,1998 1999 2000
tt0300051,jersey_girl,,Jersey Girl,Jersey Girl,Kevin Smith,Kevin Smith,2004,2003 2004 2005
tt1175713,the_family_tree,,The Family Tree,The Family Tree,Vivi Friedman,Vivi Friedman,2011,2010 2011 2012
tt0101516,bugsy,,Bugsy,Bugsy,Barry Levinson,Barry Levinson,1991,1990 1991 1992
tt1250777,1217700-kick_ass,,Kick-Ass,Kick-Ass,Matthew Vaughn,Matthew Vaughn,2010,2009 2010 2011
tt1969166,the_walking_dead_girls_2011,,The Walking Dead Girls,The Walking Dead Girls,Tyler Benjamin,Tyler Benjamin,2011,2010 2011 2012
tt0032551,grapes_of_wrath,,The Grapes of Wrath,The Grapes of Wrath,John Ford,John Ford,1940,1939 1940 1941
tt1322313,sunshine_superman,,Sunshine Superman,Sunshine Superman,Marah Strauch,Marah Strauch,2014,2014 2015 2016
tt0099528,exorcist_3,,The Exorcist III,The Exorcist III,William Peter Blatty,William Peter Blatty,1990,1989 1990 1991
tt1430607,arthur_christmas,,Arthur Christmas,Arthur Christmas,"Sarah Smith,Barry Cook","Sarah Smith,Barry Cook",2011,2010 2011 2012
tt0046126,niagara,,Niagara,Niagara,Henry Hathaway,Henry Hathaway,1953,1952 1953 1954
tt0328107,man_on_fire,,Man on Fire,Man on Fire,Tony Scott,Tony Scott,2004,2003 2004 2005
tt1596345,pawn_sacrifice,,Pawn Sacrifice,Pawn Sacrifice,Edward Zwick,Edward Zwick,2014,2014 2015 2016
tt0089679,the_new_kids,,The New Kids,The New Kids,Sean S. Cunningham,Sean S. Cunningham,1985,1984 1985 1986
tt0120777,opposite_of_sex,,The Opposite of Sex,The Opposite of Sex,Don Roos,Don Roos,1998,1997 1998 1999
tt0289879,butterfly_effect,,The Butterfly Effect,The Butterfly Effect,"Eric Bress,J. Mackye Gruber","Eric Bress,J. Mackye Gruber",2004,2003 2004 2005
tt0260866,dont_say_a_word,,Don't Say a Word,Don't Say a Word,Gary Fleder,Gary Fleder,2001,2000 2001 2002
tt0077800,killer_fish_2002,,Killer Fish,Killer Fish,Antonio Margheriti,Antonio Margheriti,1979,2001 2002 2003
tt0167260,the_lord_of_the_rings_the_return_of_the_king,,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,Peter Jackson,Peter Jackson,2003,2002 2003 2004
tt2281587,muppets_most_wanted,,Muppets Most Wanted,Muppets Most Wanted,James Bobin,James Bobin,2014,2013 2014 2015
tt0061619,el_dorado,,El Dorado,El Dorado,Howard Hawks,Howard Hawks,1966,1966 1967 1968
tt1400335,first-dog,,First Dog,First Dog,Bryan Michael Stoller,Bryan Michael Stoller,2010,2010 2011 2012
tt0049096,court_jester,,The Court Jester,The Court Jester,"Melvin Frank,Norman Panama","Melvin Frank,Norman Panama",1955,1955 1956 1957
tt0022550,10008038-waterloo_bridge,,Waterloo Bridge,Waterloo Bridge,James Whale,James Whale,1931,1930 1931 1932
tt2126355,san_andreas,,San Andreas,San Andreas,Brad Peyton,Brad Peyton,2015,2014 2015 2016
tt0082427,the_funhouse_1981,,The Funhouse,The Funhouse,Tobe Hooper,Tobe Hooper,1981,1980 1981 1982
tt0078790,apple_dumpling_gang_rides_again,,The Apple Dumpling Gang Rides Again,The Apple Dumpling Gang Rides Again,Vincent McEveety,Vincent McEveety,1979,1978 1979 1980
tt0309698,identity,,Identity,Identity,James Mangold,James Mangold,2003,2002 2003 2004
tt0037469,woman_in_the_window,,The Woman in the Window,The Woman in the Window,Fritz Lang,Fritz Lang,1944,1943 1944 1945
tt1922777,sinister_2012,,Sinister,Sinister,Scott Derrickson,Scott Derrickson,2012,2011 2012 2013
tt1540128,playing_for_keeps_2012,,Playing for Keeps,Playing for Keeps,Gabriele Muccino,Gabriele Muccino,2012,2011 2012 2013
tt1386703,total_recall_2012,,Total Recall,Total Recall,Len Wiseman,Len Wiseman,2012,2011 2012 2013
tt1663187,the_chaperone,,The Chaperone,The Chaperone,Stephen Herek,Stephen Herek,2011,2010 2011 2012
tt0068421,cowboys,,The Cowboys,The Cowboys,Mark Rydell,Mark Rydell,1972,1971 1972 1973
tt2273657,true_story_2014,,True Story,True Story,Rupert Goold,Rupert Goold,2015,2014 2015 2016
tt3832914,war_room_2015,,War Room,War Room,Alex Kendrick,Alex Kendrick,2015,2014 2015 2016
tt0844708,1205377-last_house_on_the_left,,The Last House on the Left,The Last House on the Left,Dennis Iliadis,Dennis Iliadis,2009,2008 2009 2010
tt0087054,choose_me,,Choose Me,Choose Me,Alan Rudolph,Alan Rudolph,1984,1983 1984 1985
tt0265208,1130343-girl_next_door,,The Girl Next Door,The Girl Next Door,Luke Greenfield,Luke Greenfield,2004,2003 2004 2005
tt0146336,urban_legend,,Urban Legend,Urban Legend,Jamie Blanks,Jamie Blanks,1998,1997 1998 1999
tt0088944,1004567-commando,,Commando,Commando,Mark L. Lester,Mark L. Lester,1985,1984 1985 1986
tt1954811,see_girl_run_2012,,See Girl Run,See Girl Run,Nate Meyer,Nate Meyer,2012,2012 2013 2014
tt1389096,stand_up_guys,,Stand Up Guys,Stand Up Guys,Fisher Stevens,Fisher Stevens,2012,2012 2013 2014
tt0268380,ice_age,,Ice Age,Ice Age,"Chris Wedge,Carlos Saldanha","Chris Wedge,Carlos Saldanha",2002,2001 2002 2003
tt0117509,william_shakespeares_romeo_and_juliet,,Romeo + Juliet,Romeo + Juliet,Baz Luhrmann,Baz Luhrmann,1996,1995 1996 1997
tt0790724,jack_reacher,,Jack Reacher,Jack Reacher,Christopher McQuarrie,Christopher McQuarrie,2012,2011 2012 2013
tt0875034,nine_2009,,Nine,Nine,Rob Marshall,Rob Marshall,2009,2008 2009 2010
tt0094889,1004420-cocktail,,Cocktail,Cocktail,Roger Donaldson,Roger Donaldson,1988,1987 1988 1989
tt0086510,under_fire,,Under Fire,Under Fire,Roger Spottiswoode,Roger Spottiswoode,1983,1982 1983 1984
tt3922350,headless_2015,,Headless,Headless,Arthur Cullipher,Arthur Cullipher,2015,2014 2015 2016
tt0051758,i_want_to_live,,I Want to Live!,I Want to Live!,Robert Wise,Robert Wise,1958,1957 1958 1959
tt0086312,silkwood,,Silkwood,Silkwood,Mike Nichols,Mike Nichols,1983,1982 1983 1984
tt0379725,1151898-capote,,Capote,Capote,Bennett Miller,Bennett Miller,2005,2004 2005 2006
tt0069308,stanley,,Stanley,Stanley,William Grefe,William Grefe,1972,1971 1972 1973
tt0022913,freaks,,Freaks,Freaks,Tod Browning,Tod Browning,1932,1931 1932 1933
tt0129280,the_out_of_towners,,The Out-of-Towners,The Out-of-Towners,Sam Weisman,Sam Weisman,1999,1998 1999 2000
tt1663202,the_revenant_2015,,The Revenant,The Revenant,Alejandro González Iñárritu,Alejandro González Iñárritu,2015,2014 2015 2016
tt0110322,legends_of_the_fall,,Legends of the Fall,Legends of the Fall,Edward Zwick,Edward Zwick,1994,1993 1994 1995
tt0120912,men_in_black_ii,,Men in Black II,Men in Black II,Barry Sonnenfeld,Barry Sonnenfeld,2002,2001 2002 2003
tt3194590,771416897,,Dirty Weekend,Dirty Weekend,Neil LaBute,Neil LaBute,2015,2014 2015 2016
tt0053221,rio_bravo,,Rio Bravo,Rio Bravo,Howard Hawks,Howard Hawks,1959,1958 1959 1960
tt1424381,10012256-predators,,Predators,Predators,Nimród Antal,Nimród Antal,2010,2009 2010 2011
tt0095897,presidio,,The Presidio,The Presidio,Peter Hyams,Peter Hyams,1988,1987 1988 1989
tt0118842,chasing_amy,,Chasing Amy,Chasing Amy,Kevin Smith,Kevin Smith,1997,1996 1997 1998
tt0040506,key_largo,,Key Largo,Key Largo,John Huston,John Huston,1948,1947 1948 1949
tt0167427,1093874-superstar,,Superstar,Superstar,Bruce McCulloch,Bruce McCulloch,1999,1998 1999 2000
tt1142977,frankenweenie-1992,,Frankenweenie,Frankenweenie,Tim Burton,Tim Burton,2012,1991 1992 1993
tt0079522,manhattan,,Manhattan,Manhattan,Woody Allen,Woody Allen,1979,1978 1979 1980
tt0074554,front,,The Front,The Front,Martin Ritt,Martin Ritt,1976,1975 1976 1977
tt1922748,the_investigation,,The Investigator,The Investigator,Curtis Graham,Curtis Graham,2013,2012 2013 2014
tt0048445,oklahoma,,Oklahoma!,Oklahoma!,Fred Zinnemann,Fred Zinnemann,1955,2014 2015 2016
tt0430357,miami_vice,,Miami Vice,Miami Vice,Michael Mann,Michael Mann,2006,2005 2006 2007
tt0046912,dial_m_for_murder,,Dial M for Murder,Dial M for Murder,Alfred Hitchcock,Alfred Hitchcock,1954,1953 1954 1955
tt2837336,amnesiac_2015,,Amnesiac,Amnesiac,Michael Polish,Michael Polish,2015,2014 2015 2016
tt0118880,con_air,,Con Air,Con Air,Simon West,Simon West,1997,1996 1997 1998
tt0047642,the-vanishing-prairie,,The Vanishing Prairie,The Vanishing Prairie,James Algar,James Algar,1954,1953 1954 1955
tt0092644,beverly_hills_cop_2,,Beverly Hills Cop II,Beverly Hills Cop II,Tony Scott,Tony Scott,1987,1986 1987 1988
tt2140037,jane_got_a_gun,,Jane Got a Gun,Jane Got a Gun,Gavin O'Connor,Gavin O'Connor,2015,2014 2015 2016
tt1663662,pacific_rim_2013,,Pacific Rim,Pacific Rim,Guillermo del Toro,Guillermo del Toro,2013,2012 2013 2014
tt0052311,1021749-touch_of_evil,,Touch of Evil,Touch of Evil,Orson Welles,Orson Welles,1958,1957 1958 1959
tt0468569,the_dark_knight,,The Dark Knight,The Dark Knight,Christopher Nolan,Christopher Nolan,2008,2007 2008 2009
tt0059470,morituri,,Morituri,Morituri,Bernhard Wicki,Bernhard Wicki,1965,1964 1965 1966
tt1023114,the-way-back,,The Way Back,The Way Back,Peter Weir,Peter Weir,2010,2010 2011 2012
tt0089885,reanimator,,Re-Animator,Re-Animator,Stuart Gordon,Stuart Gordon,1985,1984 1985 1986
tt0134273,8mm,,8MM,8MM,Joel Schumacher,Joel Schumacher,1999,1998 1999 2000
tt1045778,year_one,,Year One,Year One,Harold Ramis,Harold Ramis,2009,2008 2009 2010
tt1055369,transformers_revenge_of_the_fallen,,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,Michael Bay,Michael Bay,2009,2008 2009 2010
tt0021814,1006234-dracula,,Dracula,Dracula,Tod Browning,Tod Browning,1931,1930 1931 1932
tt0478338,zizek,,Zizek!,Zizek!,Astra Taylor,Astra Taylor,2005,2004 2005 2006
tt0100814,tremors,,Tremors,Tremors,Ron Underwood,Ron Underwood,1990,1989 1990 1991
