ID,Name,Director,Creator,Duration,Rating,Year,Release_Date,Genre
tt0022458,Tabu: A Story of the South Seas,F.W. Murnau,"F.W. Murnau,Robert J. Flaherty",86 min,7.6,1931,19 March 1931 (USA),"Drama,Romance,Adventure"
tt2490326,Cooties,"Jonathan Milott,Cary Murnion","Leigh Whannell,Ian Brennan",88 min,5.8,2014,18 September 2015 (USA),"Action,Comedy,Horror"
tt0923752,The King of Kong: A Fistful of Quarters,Seth Gordon,Seth Gordon,79 min,8.2,2007,28 February 2008 (Australia),"Documentary,Biography,Sport"
tt1183696,Second Skin,Juan Carlos Pineiro Escoriaza,Victor Pineiro-Escoriaza,94 min,6.7,2008,7 August 2009 (USA),Documentary
tt1836974,Ecstasy of Order: The Tetris Masters,Adam Cornelius,Chris Higgins,,7.6,2011,2011 (USA),Documentary
tt2312464,The Video Craze,Dave Danzara,"Dave Danzara,Sean Newton",90 min,6.6,2013,13 July 2013 (USA),"Documentary,Biography,Sport"
tt0462246,Darkon,"Luke Meyer,Andrew Neel","Luke Meyer,Andrew Neel",93 min,6.8,2006,11 March 2006 (USA),"Documentary,Fantasy"
tt2427898,The Space Invaders: In Search of Lost Time,Jeff Von Ward,Jeff Von Ward,85 min,6.8,2012,,"Documentary,Biography,History"
tt2395228,The King of Arcades,Sean Tiedeman,,100 min,6.6,2014,17 June 2014 (USA),Documentary
tt3908598,Lamb,Ross Partridge,"Bonnie Nadzam,Ross Partridge",96 min,7.4,2015,14 March 2015 (USA),Drama
tt2403021,The Green Inferno,Eli Roth,"Guillermo Amoedo,Eli Roth",100 min,5.8,2013,25 September 2015 (USA),"Adventure,Horror"
tt0094737,Big,Penny Marshall,"Gary Ross,Anne Spielberg",104 min,7.3,1988,3 June 1988 (USA),"Comedy,Drama,Fantasy"
tt0364045,Taking Lives,D.J. Caruso,"Michael Pye,Jon Bokenkamp",103 min,6.2,2004,19 March 2004 (USA),"Crime,Mystery,Thriller"
tt0172493,"Girl, Interrupted",James Mangold,"Susanna Kaysen,James Mangold",127 min,7.3,1999,14 January 2000 (USA),"Biography,Drama"
tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,"John Orloff,Emil Stern",97 min,7.0,2010,24 September 2010 (USA),"Animation,Adventure,Fantasy"
tt0432283,Fantastic Mr. Fox,Wes Anderson,"Roald Dahl,Wes Anderson",87 min,7.8,2009,25 November 2009 (USA),"Animation,Adventure,Comedy"
tt3862750,The Perfect Guy,David M. Rosenthal,"Alan B. McElroy,Tyger Williams",100 min,5.1,2015,11 September 2015 (USA),"Drama,Thriller"
tt1253864,Immortals,Tarsem Singh,"Charley Parlapanides,Vlas Parlapanides",110 min,6.1,2011,11 November 2011 (USA),"Action,Drama,Fantasy"
tt2131532,Hidden,"Matt Duffer,Ross Duffer","Matt Duffer,Ross Duffer",84 min,6.4,2015,15 September 2015 (USA),"Horror,Thriller"
tt3316948,American Ultra,Nima Nourizadeh,Max Landis,96 min,6.3,2015,21 August 2015 (USA),"Action,Comedy"
tt0099700,Gremlins 2: The New Batch,Joe Dante,"Chris Columbus,Charles S. Haas",106 min,6.3,1990,15 June 1990 (USA),"Comedy,Horror"
tt0084516,Poltergeist,Tobe Hooper,"Steven Spielberg,Michael Grais",114 min,7.4,1982,4 June 1982 (USA),Horror
tt0096061,Scrooged,Richard Donner,"Mitch Glazer,Michael O'Donoghue",101 min,7.0,1988,23 November 1988 (USA),"Comedy,Drama,Fantasy"
tt0327554,Catwoman,Pitof,"Bob Kane,Theresa Rebeck",104 min,3.3,2004,23 July 2004 (USA),Action
tt0087258,Final Justice,Greydon Clark,Greydon Clark,90 min,2.0,1985,May 1985 (USA),"Action,Crime,Drama"
tt0315775,Anne B. Real,Lisa France,"Antonio Macia,Antonio Macia",91 min,2.1,2003,14 June 2003 (USA),Drama
tt0069303,Sounder,Martin Ritt,"Lonne Elder III,William H. Armstrong",105 min,7.7,1972,10 May 1973 (France),"Drama,Family"
tt0028691,Captains Courageous,Victor Fleming,"Rudyard Kipling,John Lee Mahin",117 min,8.0,1937,25 June 1937 (USA),"Adventure,Drama,Family"
tt0026261,Dangerous,Alfred E. Green,"Laird Doyle,Laird Doyle",79 min,7.2,1935,25 December 1935 (USA),Drama
tt0036230,Old Acquaintance,Vincent Sherman,"John Van Druten,Lenore J. Coffee",110 min,7.6,1943,27 November 1943 (USA),"Drama,Romance"
tt0110216,Junior,Ivan Reitman,"Kevin Wade,Chris Conrad",109 min,4.5,1994,23 November 1994 (USA),"Comedy,Romance,Sci-Fi"
tt0058745,Where Love Has Gone,Edward Dmytryk,"John Michael Hayes,Harold Robbins",111 min,6.5,1964,2 November 1964 (USA),Drama
tt0022481,Three Who Loved,George Archainbaud,"Martin Flavin,Beulah Marie Dix",64 min,6.2,1931,3 July 1931 (USA),Drama
tt0044166,The Unknown Man,Richard Thorpe,"Ronald Millar,George Froeschel",86 min,6.4,1951,16 November 1951 (USA),"Crime,Drama,Film-Noir"
tt0023406,The Roadhouse Murder,J. Walter Ruben,"Maurice Level,J. Walter Ruben",73 min,5.5,1932,6 May 1932 (USA),Thriller
tt0024320,Meet the Baron,Walter Lang,"Herman J. Mankiewicz,Norman Krasna",68 min,5.8,1933,20 October 1933 (USA),Comedy
tt0033436,Buck Privates,Arthur Lubin,"Arthur T. Horman,John Grant",84 min,7.4,1941,31 January 1941 (USA),"Comedy,Musical"
tt0037771,Here Come the Co-eds,Jean Yarbrough,"John Grant,Edmund L. Hartmann",90 min,7.1,1945,2 February 1945 (USA),"Comedy,Music,Musical"
tt0047794,Abbott and Costello Meet the Keystone Kops,Charles Lamont,"John Grant,Lee Loeb",80 min,7.1,1955,21 February 1955 (Sweden),Comedy
tt0018524,Uncle Tom's Cabin,Harry A. Pollard,"Harriet Beecher Stowe,Harvey F. Thew",144 min,7.0,1927,2 September 1928 (USA),"Drama,History"
tt0057225,Kings of the Sun,J. Lee Thompson,"Elliott Arnold,Elliott Arnold",108 min,6.3,1963,18 December 1963 (USA),"Adventure,Drama,History"
tt0058104,Flight from Ashiya,Michael Anderson,"Elliott Arnold,Elliott Arnold",100 min,5.3,1964,25 March 1964 (USA),"Adventure,Romance,Drama"
tt0083113,Sphinx,Franklin J. Schaffner,"John Byrum,Robin Cook",118 min,5.2,1981,11 February 1981 (USA),"Adventure,Mystery,Thriller"
tt0086992,The Bostonians,James Ivory,"Henry James,Ruth Prawer Jhabvala",122 min,6.3,1984,September 1984 (UK),"Drama,Romance"
tt0081974,Absence of Malice,Sydney Pollack,Kurt Luedtke,116 min,6.9,1981,18 December 1981 (USA),"Drama,Romance,Thriller"
tt0057163,Hud,Martin Ritt,"Irving Ravetch,Harriet Frank Jr.",112 min,8.0,1963,29 May 1963 (USA),Drama
tt0034240,Sullivan's Travels,Preston Sturges,Preston Sturges,90 min,8.1,1941,December 1941 (USA),"Adventure,Comedy,Drama"
tt0032850,North West Mounted Police,Cecil B. DeMille,"Alan Le May,Jesse Lasky Jr.",126 min,6.7,1940,22 October 1940 (USA),"Action,Adventure,Drama"
tt0033226,Virginia City,Michael Curtiz,Robert Buckner,121 min,6.8,1940,23 March 1940 (USA),"Action,Drama,History"
tt0031973,Stanley and Livingstone,"Henry King,Otto Brower","Philip Dunne,Julien Josephson",101 min,7.1,1939,18 August 1939 (USA),"Adventure,Drama,History"
tt0055312,Pocketful of Miracles,Frank Capra,"Hal Kanter,Harry Tugend",136 min,7.4,1961,15 February 1962 (Japan),"Comedy,Drama"
tt0027996,Mr. Deeds Goes to Town,Frank Capra,"Robert Riskin,Clarence Budington Kelland",115 min,8.0,1936,12 April 1936 (USA),"Comedy,Drama,Romance"
tt0022268,Platinum Blonde,Frank Capra,"Harry Chandlee,Douglas W. Churchill",89 min,6.9,1931,31 October 1931 (USA),"Comedy,Romance"
tt0022153,The Miracle Woman,Frank Capra,"Jo Swerling,John Meehan",90 min,7.3,1931,7 August 1931 (USA),"Drama,Romance"
tt0023464,Shopworn,Nick Grinde,"Sarah Y. Mason,Jo Swerling",72 min,6.5,1932,25 March 1932 (USA),"Drama,Romance"
tt0023775,Baby Face,Alfred E. Green,"Gene Markey,Kathryn Scola",71 min,7.6,1933,December 1933 (UK),"Drama,Romance"
tt0023590,Three on a Match,Mervyn LeRoy,"Lucien Hubbard,Kubec Glasmon",63 min,7.3,1932,29 October 1932 (USA),"Crime,Drama,Romance"
tt0024334,Midnight Mary,William A. Wellman,"Anita Loos,Gene Markey",74 min,7.1,1933,30 June 1933 (USA),"Crime,Drama,Romance"
tt0024115,Heroes for Sale,William A. Wellman,"Robert Lord,Wilson Mizner",76 min,7.7,1933,17 June 1933 (USA),"Drama,War"
tt0024210,The Kennel Murder Case,Michael Curtiz,"S.S. Van Dine,Robert N. Lee",73 min,6.9,1933,28 October 1933 (USA),Mystery
tt0031047,Another Thin Man,W.S. Van Dyke,"Frances Goodrich,Albert Hackett",103 min,7.5,1939,17 November 1939 (USA),"Comedy,Mystery,Drama"
tt0033852,Love Crazy,Jack Conway,"William Ludwig,Charles Lederer",99 min,7.5,1941,23 May 1941 (USA),"Comedy,Romance"
tt0025091,Evelyn Prentice,William K. Howard,"Lenore J. Coffee,W.E. Woodward",79 min,6.8,1934,9 November 1934 (USA),"Drama,Mystery,Romance"
tt0034172,Shadow of the Thin Man,W.S. Van Dyke,"Irving Brecher,Harry Kurnitz",97 min,7.3,1941,November 1941 (USA),"Comedy,Romance,Drama"
tt0080380,The Apple,Menahem Golan,"Menahem Golan,Coby Recht",90 min,4.2,1980,21 November 1980 (USA),"Comedy,Fantasy,Music"
tt3486626,The Nut Job 2,Cal Brunker,"Scott Bindley,Peter Lepeniotis",,,2017,2017 (USA),"Animation,Adventure,Comedy"
tt0097733,Lethal Weapon 2,Richard Donner,"Jeffrey Boam,Shane Black",114 min,7.2,1989,7 July 1989 (USA),"Action,Crime,Thriller"
tt0165854,The Limey,Steven Soderbergh,Lem Dobbs,89 min,7.1,1999,4 August 1999 (France),"Crime,Drama,Mystery"
tt0110308,The Last Seduction,John Dahl,Steve Barancik,110 min,7.2,1994,18 June 1994 (USA),"Crime,Drama,Thriller"
tt0100150,Miller's Crossing,"Joel Coen,Ethan Coen","Joel Coen,Ethan Coen",115 min,7.9,1990,5 October 1990 (USA),"Crime,Drama,Thriller"
tt0119137,Flubber,Les Mayfield,"Samuel W. Taylor,John Hughes",93 min,5.1,1997,26 November 1997 (USA),"Comedy,Family,Sci-Fi"
tt0035140,"Now, Voyager",Irving Rapper,"Casey Robinson,Olive Higgins Prouty",117 min,8.1,1942,31 October 1942 (USA),"Drama,Romance"
tt0052561,Anatomy of a Murder,Otto Preminger,"Wendell Mayes,John D. Voelker",160 min,8.1,1959,September 1959 (Austria),"Crime,Drama,Mystery"
tt3832914,War Room,Alex Kendrick,"Alex Kendrick,Stephen Kendrick",120 min,6.1,2015,28 August 2015 (USA),Drama
tt0144964,Highlander: Endgame,Douglas Aarniokoski,"Gregory Widen,Eric Bernt",87 min,4.5,2000,1 September 2000 (USA),"Action,Adventure,Fantasy"
tt0032551,The Grapes of Wrath,John Ford,"Nunnally Johnson,John Steinbeck",129 min,8.1,1940,15 March 1940 (USA),Drama
tt0052618,Ben-Hur,William Wyler,"Lew Wallace,Karl Tunberg",212 min,8.1,1959,26 December 1959 (UK),"Adventure,Drama,History"
tt0063442,Planet of the Apes,Franklin J. Schaffner,"Michael Wilson,Rod Serling",112 min,8.0,1968,3 April 1968 (USA),"Adventure,Sci-Fi"
tt0067525,The Omega Man,Boris Sagal,"John William Corrington,Joyce Hooper Corrington",98 min,6.6,1971,1 August 1971 (USA),"Action,Sci-Fi"
tt0067756,Silent Running,Douglas Trumbull,"Deric Washburn,Michael Cimino",89 min,6.7,1972,10 March 1972 (USA),"Drama,Sci-Fi"
tt0086567,WarGames,John Badham,"Lawrence Lasker,Walter F. Parkes",114 min,7.1,1983,3 June 1983 (USA),"Sci-Fi,Thriller"
tt1288558,Evil Dead,Fede Alvarez,"Fede Alvarez,Rodo Sayagues",91 min,6.5,2013,5 April 2013 (USA),Horror
tt0489270,Saw III,Darren Lynn Bousman,"Leigh Whannell,James Wan",108 min,6.2,2006,27 October 2006 (USA),"Horror,Mystery"
tt0414982,Final Destination 3,James Wong,"Glen Morgan,James Wong",93 min,5.8,2006,10 February 2006 (USA),"Horror,Thriller"
tt1144884,The Final Destination,David R. Ellis,"Eric Bress,Jeffrey Reddick",82 min,5.2,2009,28 August 2009 (USA),"Horror,Thriller"
tt0095990,Return of the Living Dead II,Ken Wiederhorn,Ken Wiederhorn,89 min,5.8,1988,15 January 1988 (USA),"Comedy,Horror"
tt0091630,Night of the Creeps,Fred Dekker,Fred Dekker,88 min,6.8,1986,22 August 1986 (USA),"Comedy,Horror,Sci-Fi"
tt0091083,From Beyond,Stuart Gordon,"H.P. Lovecraft,Brian Yuzna",86 min,6.8,1986,24 October 1986 (USA),"Comedy,Horror,Sci-Fi"
tt1610996,Absentia,Mike Flanagan,Mike Flanagan,87 min,5.8,2011,11 April 2013 (Argentina),"Drama,Horror,Mystery"
tt1345836,The Dark Knight Rises,Christopher Nolan,"Jonathan Nolan,Christopher Nolan",165 min,8.5,2012,20 July 2012 (USA),"Action,Thriller"
tt0087182,Dune,David Lynch,"Frank Herbert,David Lynch",137 min,6.6,1984,14 December 1984 (USA),"Action,Adventure,Sci-Fi"
tt1217613,Battle Los Angeles,Jonathan Liebesman,Christopher Bertolini,116 min,5.8,2011,11 March 2011 (USA),"Action,Sci-Fi"
tt2470938,American Fetish,Michael Simmons,Michael Simmons,88 min,5.4,2009,12 October 2012 (USA),Crime
tt0181739,Osmosis Jones,"Bobby Farrelly,Peter Farrelly",Marc Hyman,95 min,6.2,2001,10 August 2001 (USA),"Animation,Action,Adventure"
tt0082186,Clash of the Titans,Desmond Davis,Beverley Cross,118 min,6.9,1981,12 June 1981 (USA),"Adventure,Family,Fantasy"
tt0066518,The Vampire Lovers,Roy Ward Baker,"Sheridan Le Fanu,Harry Fine",91 min,6.6,1970,22 October 1970 (USA),Horror
tt0053085,The Mummy,Terence Fisher,Jimmy Sangster,88 min,6.8,1959,16 December 1959 (USA),"Adventure,Horror"
tt0021814,Dracula,Tod Browning,"Bram Stoker,Hamilton Deane",85 min,7.6,1931,14 February 1931 (USA),Horror
tt0024216,King Kong,"Merian C. Cooper,Ernest B. Schoedsack","James Ashmore Creelman,Ruth Rose",100 min,8.0,1933,7 April 1933 (USA),"Adventure,Fantasy"
tt0390521,Super Size Me,Morgan Spurlock,Morgan Spurlock,100 min,7.3,2004,11 June 2004 (USA),"Documentary,Comedy,Drama"
tt1014759,Alice in Wonderland,Tim Burton,"Linda Woolverton,Lewis Carroll",108 min,6.5,2010,5 March 2010 (USA),"Adventure,Family,Fantasy"
tt0304141,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,"J.K. Rowling,Steve Kloves",142 min,7.8,2004,4 June 2004 (USA),"Adventure,Family,Fantasy"
tt0126029,Shrek,"Andrew Adamson,Vicky Jenson","William Steig,Ted Elliott",90 min,7.9,2001,18 May 2001 (USA),"Animation,Adventure,Comedy"
tt0110357,The Lion King,"Roger Allers,Rob Minkoff","Irene Mecchi,Jonathan Roberts",89 min,8.5,1994,24 June 1994 (USA),"Animation,Adventure,Drama"
tt0101414,Beauty and the Beast,"Gary Trousdale,Kirk Wise","Linda Woolverton,Roger Allers",84 min,8.0,1991,22 November 1991 (USA),"Animation,Family,Fantasy"
tt0120855,Tarzan,"Chris Buck,Kevin Lima","Tab Murphy,Bob Tzudiker",88 min,7.2,1999,18 June 1999 (USA),"Animation,Adventure,Family"
tt0120917,The Emperor's New Groove,Mark Dindal,"Chris Williams,Mark Dindal",78 min,7.3,2000,15 December 2000 (USA),"Animation,Adventure,Comedy"
tt0328880,Brother Bear,"Aaron Blaise,Robert Walker","Tab Murphy,Lorne Cameron",85 min,6.7,2003,1 November 2003 (USA),"Animation,Adventure,Family"
tt0138749,The Road to El Dorado,"Bibo Bergeron,Don Paul","Terry Rossio,Ted Elliott",89 min,6.9,2000,31 March 2000 (USA),"Animation,Adventure,Comedy"
tt0307453,Shark Tale,"Bibo Bergeron,Vicky Jenson","Michael J. Wilson,Rob Letterman",90 min,6.0,2004,1 October 2004 (USA),"Animation,Adventure,Comedy"
tt0366548,Happy Feet,"George Miller,Warren Coleman","George Miller,John Collee",108 min,6.5,2006,17 November 2006 (USA),"Animation,Comedy,Family"
tt1192628,Rango,Gore Verbinski,"John Logan,John Logan",107 min,7.3,2011,4 March 2011 (USA),"Animation,Adventure,Comedy"
tt0844471,Cloudy with a Chance of Meatballs,"Phil Lord,Christopher Miller","Phil Lord,Christopher Miller",90 min,7.0,2009,18 September 2009 (USA),"Animation,Comedy,Family"
tt0479952,Madagascar: Escape 2 Africa,"Eric Darnell,Tom McGrath","Etan Cohen,Eric Darnell",89 min,6.7,2008,7 November 2008 (USA),"Animation,Action,Adventure"
tt0055614,West Side Story,"Jerome Robbins,Robert Wise","Ernest Lehman,Arthur Laurents",152 min,7.6,1961,23 December 1961 (Japan),"Crime,Drama,Musical"
tt0078444,An Unmarried Woman,Paul Mazursky,Paul Mazursky,124 min,7.2,1978,26 May 1978 (France),"Comedy,Drama,Romance"
tt0079948,Starting Over,Alan J. Pakula,"Dan Wakefield,James L. Brooks",105 min,6.5,1979,5 October 1979 (USA),"Comedy,Romance"
tt0078227,Semi-Tough,Michael Ritchie,"Walter Bernstein,Dan Jenkins",108 min,5.9,1977,June 1978 (Austria),"Comedy,Romance,Sport"
tt0071771,The Longest Yard,Robert Aldrich,"Tracy Keenan Wynn,Albert S. Ruddy",121 min,7.1,1974,30 August 1974 (USA),"Comedy,Crime,Drama"
tt0077663,Heaven Can Wait,"Warren Beatty,Buck Henry","Elaine May,Warren Beatty",101 min,6.9,1978,28 June 1978 (USA),"Comedy,Fantasy,Romance"
tt0101516,Bugsy,Barry Levinson,"James Toback,Dean Jennings",136 min,6.8,1991,20 December 1991 (USA),"Biography,Crime,Drama"
tt0104427,Hoffa,Danny DeVito,David Mamet,140 min,6.6,1992,25 December 1992 (USA),"Biography,Crime,Drama"
tt0237572,The Pledge,Sean Penn,"Friedrich Dürrenmatt,Jerzy Kromolowski",124 min,6.9,2001,19 January 2001 (USA),"Crime,Drama,Mystery"
tt0113041,Father of the Bride Part II,Charles Shyer,"Albert Hackett,Frances Goodrich",106 min,5.9,1995,8 December 1995 (USA),Comedy
tt0102250,L.A. Story,Mick Jackson,Steve Martin,95 min,6.7,1991,8 February 1991 (USA),"Comedy,Drama,Fantasy"
tt0087635,The Lonely Guy,Arthur Hiller,"Bruce Jay Friedman,Neil Simon",90 min,6.2,1984,27 January 1984 (USA),Comedy
tt0082894,Pennies from Heaven,Herbert Ross,Dennis Potter,108 min,6.5,1981,1 January 1982 (USA),"Drama,Musical,Romance"
tt0028092,Pennies from Heaven,Norman Z. McLeod,"Katherine Leslie Moore,William Rankin",81 min,6.7,1936,25 November 1936 (USA),"Comedy,Drama,Musical"
tt0035369,The Spoilers,Ray Enright,"Rex Beach,Lawrence Hazard",87 min,6.8,1942,8 May 1942 (USA),"Drama,Western"
tt0031033,Allegheny Uprising,William A. Seiter,"P.J. Wolfson,Neil H. Swanson",81 min,6.4,1939,10 November 1939 (USA),"Adventure,History,Western"
tt0047889,Blood Alley,"William A. Wellman,John Wayne","Albert Sidney Fleischman,Albert Sidney Fleischman",110 min,6.3,1955,1 October 1955 (USA),"Action,Adventure"
tt0036824,The Fighting Seabees,Edward Ludwig,"Borden Chase,Æneas MacKenzie",100 min,6.5,1944,10 July 1944 (UK),"Drama,Romance,War"
tt0038160,They Were Expendable,"John Ford,Robert Montgomery","William L. White,Frank Wead",135 min,7.3,1945,20 December 1945 (USA),"Drama,War"
tt0040369,Fort Apache,John Ford,"Frank S. Nugent,James Warner Bellah",125 min,7.6,1948,14 June 1948 (Brazil),Western
tt0075213,The Shootist,Don Siegel,"Glendon Swarthout,Miles Hood Swarthout",100 min,7.7,1976,20 August 1976 (USA),"Drama,Western"
tt0059740,The Sons of Katie Elder,Henry Hathaway,"William H. Wright,Allan Weiss",122 min,7.2,1965,1 July 1965 (USA),Western
tt0054127,North to Alaska,Henry Hathaway,"John Lee Mahin,Martin Rackin",122 min,7.0,1960,7 November 1960 (USA),"Comedy,Western"
tt0057007,Donovan's Reef,John Ford,"Frank S. Nugent,James Edward Grant",109 min,6.9,1963,12 June 1963 (USA),"Adventure,Comedy,Romance"
tt0056059,Hatari!,Howard Hawks,"Leigh Brackett,Harry Kurnitz",157 min,7.3,1962,19 June 1962 (USA),"Action,Adventure,Drama"
tt1023114,The Way Back,Peter Weir,"Keith R. Clarke,Slavomir Rawicz",133 min,7.3,2010,21 January 2011 (USA),"Adventure,Drama,History"
tt0323120,Loving Annabelle,Katherine Brooks,"Olivia Bohnhoff,Katherine Brooks",76 min,6.7,2006,24 May 2007 (Germany),"Drama,Romance"
tt0113416,The Incredibly True Adventure of Two Girls in Love,Maria Maggenti,Maria Maggenti,94 min,6.5,1995,16 June 1995 (USA),"Comedy,Drama,Romance"
tt0118755,The Borrowers,Peter Hewitt,"Mary Norton,Gavin Scott",89 min,5.8,1997,13 February 1998 (USA),"Comedy,Family,Fantasy"
tt1178665,A Walk in the Woods,Ken Kwapis,"Rick Kerb,Bill Holderman",104 min,6.5,2015,2 September 2015 (USA),"Adventure,Comedy,Drama"
tt2352488,Interior. Leather Bar.,"James Franco,Travis Mathews",Travis Mathews,60 min,5.1,2013,3 October 2013 (Portugal),Drama
