#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
#ltable=POINTER
_id,ltable.ID,rtable.ID,ltable.Title,ltable.Pages,ltable.ISBN,rtable.Title,rtable.Pages,rtable.ISBN,Gold
629,bn_335,B346,Pro SQL Server 2008 Replication,936.0,9781430218074,Pro SQL Server 2005,704.0,9781590594773,0
2709,bn_1518,B346,Pro SQL Server 2012 Administration,508.0,9781430239154,Pro SQL Server 2005,704.0,9781590594773,0
2804,bn_1593,B346,Pro Spatial with SQL Server 2012,560.0,9781430234913,Pro SQL Server 2005,704.0,9781590594773,0
2022,bn_1155,B360,MySQL and JSP Web Applications: Data-Driven Programming Using Tomcat and MySQL,9.7806723231e+12,9780672323096,MySQL and JSP Web Applications: Data-Driven Programming Using Tomcat and MySQL,576.0,9780672323096,1
1535,bn_863,B409,Oracle Web Application Programming for PL/SQL Developers,9.78013047732e+12,9780130477316,Oracle 9i Java Programming: Solutions for Developers Using PL/SQL and Java,825.0,,0
4482,bn_2399,B411,PostgreSQL,1032.0,9780672327568,PostgreSQL,816.0,9780735712577,0
5414,bn_2943,B419,Microsoft Access 97 for Windows 95,144.0,9780538680332,Microsoft Office Bible for Windows 95,1041.0,9781568847818,0
4618,bn_2478,B430,Oracle Performance Tuning,642.0,9781565920484,Oracle PL/SQL Performance Tuning Tips & Techniques,336.0,9780071824828,0
1295,bn_722,B432,Exploring Microsoft Access 97,416.0,9780137542277,Easy Microsoft Access 97,256.0,9780789710277,0
2153,bn_1207,B432,Microsoft Access 2000 Step by Step,320.0,9781572319769,Easy Microsoft Access 97,256.0,9780789710277,0
3498,bn_1899,B432,Microsoft Access for Teachers,240.0,9780743938112,Easy Microsoft Access 97,256.0,9780789710277,0
5284,bn_2908,B432,Microsoft Office Access 2007,1024.0,9780072263503,Easy Microsoft Access 97,256.0,9780789710277,0
3083,bn_1703,B433,Access 2000: No Experience Required,608.0,9780782124859,Access 97: No Experience Required,496.0,9780782121506,0
4890,bn_2606,B470,Professional Microsoft SQL Server 2008 Reporting Services,816.0,9780470242018,Microsoft SQL Server 2000 Notification Services,672.0,9780672326646,0
4182,bn_2261,B472,Access 97 Exam Prep,432.0,9781576102312,MOUS Access 97 Exam Cram,300.0,9781576102237,0
4365,bn_2355,B475,"Microsoft Access for Windows 95, with CD-ROM (Mastering)",1119.0,9780782117646,Microsoft Access for Windows 95 (Quicktorial),156.0,9780538715416,0
4676,bn_2509,B477,"Advances in Databases: Proceedings of the 11th British National Conference on Databases, BNCOD 11. Keele, UK, July 7-9, 1993",286.0,9780387569215,"Advances in Databases: 15th British National Conference on Databases, BNCOD 15 London, United Kingdom, July 7 - 9, 1997 (Lecture Notes in Computer Science)",240.0,9783540632634,0
4321,bn_2340,B484,Microsoft SQL Server 6 Unleashed,1008.0,9780672309038,Microsoft SQL Server 7 For Dummies,359.0,9780764504167,0
1274,bn_704,B492,Upgrading Relational Databases with Objects,234.0,9780135706077,Understanding Relational Databases with Examples in SQL-92,304.0,9780471585381,0
5065,bn_2762,B503,Crystal Reports Encyclopedia Volume 2: Programming .NET 2005,500.0,9780974953618,Crystal Reports Encyclopedia Volume 2: .NET 2005/2008,500.0,9780974953618,1
2005,bn_1154,B536,Microsoft Access 97 for Windows,230.0,9781562434700,Microsoft Access 1.1 for Windows (Quick Reference Guide),196.0,9781562431150,0
1526,bn_861,B541,Access 2007 VBA Programming For Dummies,408.0,9780470046531,Java 2 Database Programming For Dummies,408.0,9780764508813,0
4190,bn_2270,B546,Professional SQL Server 2005 Reporting Services,720.0,9780764584978,Professional SQL Server 2000 DTS (Data Transformation Service),855.0,9781861004413,0
387,bn_208,B559,Oracle DBA Automation Scripts,408.0,9780672322686,Oracle DBA Automation Quick Reference,320.0,9780131403017,0
2424,bn_1364,B566,Microsoft SQL Server 2005 Unleashed,1752.0,9780672328244,Microsoft SQL Server 7.0 Unleashed,936.0,9780672312274,0
3192,bn_1754,B582,Sybase Database Administrator's Handbook,520.0,9780133574777,Oracle8i Database Administration,543.0,9781884777783,0
3346,bn_1840,B582,Oracle8i Database Administration,543.0,9781884777783,Oracle8i Database Administration,543.0,9781884777783,1
289,bn_129,B601,SQL Server 2000 Design and T-SQL Programming,612.0,9780072123753,SQL Server 2014 Design & Programming,820.0,9781499529593,0
828,bn_478,B602,Access 2000 for Windows For Dummies: Quick Reference,240.0,9780764504457,Access 2 for Windows (Quick Reference Guides),228.0,9781562431938,0
2425,bn_1364,B605,Microsoft SQL Server 2005 Unleashed,1752.0,9780672328244,Microsoft SQL Server 2005 Compact Edition,624.0,9780672329227,0
2617,bn_1470,B605,Microsoft SQL Server 2005 for Dummies,432.0,9780764577550,Microsoft SQL Server 2005 Compact Edition,624.0,9780672329227,0
5459,bn_2960,B608,Microsoft SQL Server 2008 Step by Step,544.0,9780735626041,Microsoft SQL Server 2008 MDX Step by Step (Step by Step Developer),392.0,9780735626188,0
4445,bn_2373,B609,Special Edition Using Microsoft Office Access 2003,1502.0,9780789729521,The Unofficial Guide to Microsoft Office Access 2007,638.0,9780470045978,0
4929,bn_2627,B610,Microsoft Data Warehousing: Building Distributed Decision Support Systems,384.0,9780471327615,Microsoft(r) Data Warehousing: Building Distributed Decision Support Systems,384.0,9780471327615,1
4191,bn_2270,B617,Professional SQL Server 2005 Reporting Services,720.0,9780764584978,Professional SQL Server 2005 Performance Tuning,551.0,9780470176399,0
4884,bn_2605,B631,Microsoft Access 2010 Introductory: Introductory / Edition 1,320.0,9780538475204,Microsoft Office Access 2003: Introductory,216.0,,0
1061,bn_603,B632,Microsoft Access 2002 ? Illustrated Complete / Edition 1,488.0,9780619045081,Microsoft Access 2000-Illustrated Complete (Illustrated Series),480.0,9780760060728,0
1219,bn_676,B636,Special Edition Using Sap R/3 / Edition 3,1164.0,9780789718211,Special Edition Using Delphi 3,1043.0,9780789711182,0
2212,bn_1223,B646,Building the Data Warehouse / Edition 4,576.0,9780764599446,Building the Data Warehouse,401.0,9780471141617,0
4374,bn_2357,B658,Sams Teach Yourself SQL in 24 Hours,496.0,9780672335419,Sams Teach Yourself Access 97 in 24 Hours,384.0,9780672310270,0
3805,bn_2061,B661,Microsoft Access 2000,192.0,9780735610668,Programming Microsoft Access 2000 (Microsoft Programming Series),587.0,9780735605008,0
2564,bn_1455,B662,Interactive Computing Series: Microsoft Access 97 / Edition 1,120.0,9780070384354,Interactive Computing Series: Microsoft Access 97,120.0,9780070384354,1
2970,bn_1661,B662,Interactive Computing Series: Microsoft Access 2000 Brief Edition,160.0,9780072340754,Interactive Computing Series: Microsoft Access 97,120.0,9780070384354,0
425,bn_228,B669,Microsoft SQL Server 6.5 DBA Survival Guide,912.0,9780672309595,Microsoft SQL Server 6.5 Unleashed,1216.0,9780672309564,0
1580,bn_907,B669,Inside Microsoft SQL Server 6.5,400.0,9781572313316,Microsoft SQL Server 6.5 Unleashed,1216.0,9780672309564,0
3604,bn_1934,B669,Microsoft SQL Server 2000 Unleashed,1472.0,9780672319976,Microsoft SQL Server 6.5 Unleashed,1216.0,9780672309564,0
1162,bn_633,B680,The dBASE IV Programmers Instant Reference,544.0,9780895885388,dBASE IV 1.1 Programmer's Instant Reference,555.0,9780895887641,0
4740,bn_2542,B680,Ado 2.0 Programmer's Reference,432.0,9781861001832,dBASE IV 1.1 Programmer's Instant Reference,555.0,9780895887641,0
3605,bn_1934,B686,Microsoft SQL Server 2000 Unleashed,1472.0,9780672319976,Microsoft SQL Server 2005 Reporting Services,767.0,9780072262391,0
5498,bn_2981,B686,Mastering SQL Server 2005 Reporting Services Infrastructure Design,486.0,9780470114599,Microsoft SQL Server 2005 Reporting Services,767.0,9780072262391,0
1404,bn_788,B687,Microsoft Access for Windows 95 Instant Reference,304.0,9780782117622,Microsoft Access Instant Reference (Sybex Instant Reference Series),250.0,9780782112139,0
4907,bn_2611,B689,Pro SQL Server 2008 XML,496.0,9781590599839,Pro SQL Server 2005 Reporting Services,400.0,9781590594988,0
1220,bn_676,B699,Special Edition Using Sap R/3 / Edition 3,1164.0,9780789718211,Special Edition Using FileMaker 8,912.0,9780789735126,0
5045,bn_2726,B701,Creating Microsoft Access 2000 Solutions: A Power Users' Guide,555.0,9780672318948,Creating Microsoft Access 2000 Solutions:  A Power Users' Guide,600.0,9780672318948,1
5510,bn_2985,B702,Beginning Microsoft SQL Server 2008 Administration,816.0,9780470440919,Microsoft SQL Server 2012 Management and Administration (2nd Edition),912.0,9780672336003,0
1319,bn_742,B712,Managing Data with Excel,504.0,9780789703859,Managing Data with Excel,384.0,9780789731005,0
374,bn_196,B713,Access 2003 VBA: Programmer's Reference,984.0,9780764559037,dBASE IV 2.0 Programmer's Reference,548.0,9781583483961,0
1241,bn_693,B713,FoxPro Programmer's Reference,800.0,9780880226769,dBASE IV 2.0 Programmer's Reference,548.0,9781583483961,0
1719,bn_1002,B713,"Ado 2.6, Programmer's Reference",689.0,9781861004635,dBASE IV 2.0 Programmer's Reference,548.0,9781583483961,0
3301,bn_1813,B713,Access 2007 VBA Programmer's Reference,1152.0,9780470047033,dBASE IV 2.0 Programmer's Reference,548.0,9781583483961,0
3271,bn_1791,B720,Visual FoxPro Certification Exams Study Guide,185.0,9781930919044,MySQL 5.0 Certification Study Guide,643.0,9780672328121,0
1264,bn_703,B724,Microsoft Office Access 2003 in a Snap,336.0,9780132714099,Absolute Beginner's Guide to Microsoft Office Access 2003,360.0,9780789729408,0
3942,bn_2125,B726,Microsoft Access 2010 VBA Programming Inside Out,736.0,9780735659872,Microsoft Access 2010 VBA Macro Programming,400.0,9780071738576,0
4872,bn_2602,B732,Oracle 12c/11g/10g. PL/SQL Programming,258.0,9781496173959,Oracle 11g: PL/SQL Programming,496.0,9781133947363,0
1286,bn_717,B745,Sams Teach Yourself Microsoft Access 2000 Programming in 24 Hours,472.0,9780672316616,SAMS Teach Yourself Microsoft Office Access 2003 in 24 Hours,624.0,9780672325458,0
4784,bn_2553,B745,Microsoft Official Academic Course: Microsoft Office Access 2003,566.0,9780072256000,SAMS Teach Yourself Microsoft Office Access 2003 in 24 Hours,624.0,9780672325458,0
5261,bn_2897,B745,Show Me Microsoft Office Access 2003,366.0,9780789730046,SAMS Teach Yourself Microsoft Office Access 2003 in 24 Hours,624.0,9780672325458,0
2607,bn_1469,B748,Access 2000,152.0,9789685347396,Access 2000 en 4 das,226.0,9788480885096,0
569,bn_320,B750,Access 97 for Windows 95,164.0,9781562435004,Access for Windows 95 for Busy People,1996.0,9780078821127,0
2974,bn_1663,B755,Informix Guide to SQL: Reference and Syntax,1776.0,9780130161666,Informix Guide to SQL: Reference and Syntax (2nd Edition),1776.0,9780130161666,1
1742,bn_1029,B759,Microsoft SQL Server 2005: Applied Techniques Step by Step,368.0,9780735623163,Microsoft SQL Server 2005: Applied Techniques Step by Step (Step by Step Developer),368.0,9780735623163,1
4952,bn_2643,B767,Professional SQL Server Reporting Services,624.0,9780764568787,Pro SQL Server 2008 Reporting Services (Books for Professionals by Professionals),424.0,9781590599921,0
2120,bn_1189,B797,Microsoft Office Access 2010 / Edition 1,152.0,9780538748278,Microsoft Office Access 2007 Brief (O'Leary),416.0,9780073294544,0
1844,bn_1068,B855,Toad Pocket Reference for Oracle,130.0,9780596009717,JDBC Pocket Reference,152.0,9780596004576,0
962,bn_550,B860,Sams Teach Yourself Microsoft Access 2000 in 10 Minutes,256.0,9780672314872,Sams Teach Yourself SQL in 10 Minutes (3rd Edition),256.0,9780672325670,0
5200,bn_2841,B860,Sams Teach Yourself SQL in 10 Minutes,288.0,9780672336072,Sams Teach Yourself SQL in 10 Minutes (3rd Edition),256.0,9780672325670,0
749,bn_413,B861,Understanding and Using Microsoft Access for Windows 95,543.0,9780314072337,Microsoft Access 7 for Windows 95: Introductory,304.0,9780760035429,0
3894,bn_2113,B864,Relation Database Design,298.0,9780849374500,Database Design,528.0,9780672317583,0
4298,bn_2327,B893,Data Architecture: From Zen to Reality,448.0,9780123851260,Data Architecture,375.0,9781850328599,0
1087,bn_609,B904,Microsoft SQL Server 2014,592.0,9785977534932,Microsoft SQL Server 2000 Programming by Example,792.0,9780789724496,0
1714,bn_999,B904,Access Programming by Example,494.0,9781565296596,Microsoft SQL Server 2000 Programming by Example,792.0,9780789724496,0
2369,bn_1328,B911,Oracle Development Unleashed,1538.0,9780672315756,Oracle Development Unleashed (3rd Edition),1584.0,9780672315756,1
4696,bn_2529,B946,C Database Development,136.0,9781558281363,Java Oracle Database Development,420.0,9780130462183,0
2679,bn_1488,B966,Oracle 10g Data Warehousing,872.0,9780080513287,Oracle 10g  Data Warehousing,872.0,9781555583224,0
2131,bn_1191,B967,"New Perspectives on Microsoft Access 2002, Comprehensive / Edition 1",768.0,9780619020897,"New Perspectives on Computer Concepts, Comprehensive, Eighth Edition",808.0,9780619267650,0
2082,bn_1171,B975,Microsoft Access 97 for Windows QuickStart,368.0,9781562764739,Microsoft Access 2.0 for Windows (Acumen),304.0,9780877099833,0
4070,bn_2210,B975,Visual Guide to Microsoft Access for Windows 95,816.0,9781566042864,Microsoft Access 2.0 for Windows (Acumen),304.0,9780877099833,0
2355,bn_1309,B976,Oracle: A Beginner's Guide,522.0,9780078821226,Data Modeling: A Beginner's Guide,368.0,9780071623988,0
493,bn_276,B998,Oracle PL/SQL Programming,1200.0,9780596553142,"Oracle PL/SQL Programming, Third Edition",1018.0,9780596003814,0
3691,bn_1987,B998,Oracle Database 10g PL/SQL Programming / Edition 1,896.0,9780072230666,"Oracle PL/SQL Programming, Third Edition",1018.0,9780596003814,0
1006,bn_573,B1010,Microsoft Office Access 2003,232.0,9780072834307,Microsoft Office Access 2003 Inside Track,768.0,9780735619760,0
571,bn_320,B1015,Access 97 for Windows 95,164.0,9781562435004,Microsoft Access 2.0 for Windows,147.0,9780070489929,0
1052,bn_598,B1015,Microsoft Access 2.0: LTU Windows Applications / Edition 1,336.0,9780877095941,Microsoft Access 2.0 for Windows,147.0,9780070489929,0
4071,bn_2210,B1015,Visual Guide to Microsoft Access for Windows 95,816.0,9781566042864,Microsoft Access 2.0 for Windows,147.0,9780070489929,0
304,bn_143,B1034,Professional SQL Server 2005 Integration Services,720.0,9780764584350,Oracle8i and Microsoft SQL Server 2000 Integration (Professional Mindware),547.0,9780764546990,0
284,bn_127,B1081,Microsoft Office Access 2007: Introductory / Edition 1,279.0,9781423904120,Microsoft Office Access 2007 VBA,408.0,9780789737311,0
2876,bn_1618,B1081,Microsoft Access,196.0,9781562431150,Microsoft Office Access 2007 VBA,408.0,9780789737311,0
3224,bn_1763,B1081,Microsoft Access 2000,360.0,9780764532900,Microsoft Office Access 2007 VBA,408.0,9780789737311,0
1743,bn_1029,B1097,Microsoft SQL Server 2005: Applied Techniques Step by Step,368.0,9780735623163,Microsoft SQL Server 2008 Step by Step (Step by Step Developer),544.0,9780735626041,0
3035,bn_1686,B1097,Microsoft SQL Server 2005 Developer's Guide,507.0,9780072260991,Microsoft SQL Server 2008 Step by Step (Step by Step Developer),544.0,9780735626041,0
248,bn_110,B1118,Beginning PHP and Oracle: From Novice to Professional / Edition 1,763.0,9781590597705,Beginning Database Design: From Novice to Professional,252.0,9781430242093,0
3881,bn_2102,B1128,Text Mining Application Programming / Edition 1,412.0,9781584504603,Text Mining Application Programming (Charles River Media Programming),432.0,9781584504603,1
450,bn_238,B1133,Oracle9i SQLJ Programming,687.0,9780072190939,Oracle9i PL/SQL Programming,664.0,9780072191479,0
1528,bn_861,B1139,Access 2007 VBA Programming For Dummies,408.0,9780470046531,Access 2 For Dummies,336.0,9781568840901,0
3628,bn_1946,B1139,Access Forms & Reports For Dummies,408.0,9780764599651,Access 2 For Dummies,336.0,9781568840901,0
4515,bn_2418,B1155,MySQL Administrator's Guide,696.0,9780672332654,ArcSDE Administrators Guide,184.0,9781879102736,0
663,bn_355,B1160,SQL Functions: Programmer's Reference,790.0,9780764569012,PFC Programmer's Reference Manual,365.0,9781884777554,0
1566,bn_899,B1160,dBASE IV Programmer's Reference Guide,448.0,9780672226540,PFC Programmer's Reference Manual,365.0,9781884777554,0
2273,bn_1241,B1169,SAS/ACCESS 9. 1. 3 Supplement for DB2 under UNIX and PC Hosts: SAS/ACCESS for Relational Databases,48.0,9781590478653,SAS/ACCESS 9.1 Supplement For DB2 Under Z/OS SAS/ACCESS For Relational Databases,68.0,9781590472453,0
4031,bn_2172,B1181,Sams Teach Yourself MySQL in 10 Minutes,288.0,9780672328633,Sams Teach Yourself MySQL in 21 Days,560.0,9780672319143,0
2156,bn_1207,B1196,Microsoft Access 2000 Step by Step,320.0,9781572319769,Microsoft Access 2000 MOUS Cheat Sheet (Cheat Sheet),272.0,9780789721174,0
3813,bn_2061,B1196,Microsoft Access 2000,192.0,9780735610668,Microsoft Access 2000 MOUS Cheat Sheet (Cheat Sheet),272.0,9780789721174,0
4795,bn_2561,B1199,Expert Access 2007 Programming,688.0,9780470174029,Expert Access 2007 Programming,688.0,9780470174029,1
2087,bn_1172,B1208,Portable Dba,356.0,9780072230161,Portable DBA: Oracle,598.0,9780072229806,0
4909,bn_2611,B1211,Pro SQL Server 2008 XML,496.0,9781590599839,XML and SQL Server 2000,384.0,9780735711129,0
5007,bn_2690,B1211,SQL Server 2000 XML Distilled,600.0,9781904347088,XML and SQL Server 2000,384.0,9780735711129,0
1611,bn_918,B1216,DynamoDB Applied Design Patterns,,9781783551903,Pig Design Patterns,300.0,9781783285556,0
1790,bn_1047,B1229,Sql Server 2000 Web Application Developer's Guide,9.7800721262e+12,9780072126198,SQL Server 2000 Developer's Guide,1248.0,9780072125696,0
4833,bn_2578,B1230,A Visual Introduction to SQL / Edition 2,304.0,9780471412762,A Visual Introduction to SQL,272.0,9780471616849,0
3957,bn_2139,B1237,Pro SQL Server 2012 Relational Database Design and Implementation,784.0,9781430236955,MCAD/MCSD/MCSE Training Guide (70-229): SQL Server 2000 Database Design and Implementation (2nd Edition),928.0,9780789729972,0
3721,bn_2006,B1252,DB2 For Dummies,348.0,9780764506963,Data Mining For Dummies,408.0,9781118893173,0
4355,bn_2349,B1268,FileMaker Pro 10 Bible,816.0,9780470429006,FileMaker Pro 10 In Depth,696.0,9780789739469,0
3662,bn_1963,B1280,Oracle Database 11g Administration I Certification Guide,582.0,9781849687300,DB2 9 for z/OS Database Administration: Certification Study Guide,785.0,9781583470749,0
3752,bn_2016,B1285,Microsoft Access Version 2002 Inside Out,1152.0,9780735612839,Microsoft Access 2010 VBA Programming Inside Out,736.0,9780735659872,0
3659,bn_1961,B1308,Quick and Easy Guide to dBASE IV,224.0,9780874552065,Compute!'s Quick and Easy Guide to dBASE IV,239.0,9780874552065,1
1176,bn_640,B1321,Delivering Business Intelligence with Microsoft SQL Server 2008 / Edition 2,792.0,9780071549448,Microsoft SQL Server 2014 Business Intelligence Development Beginners Guide,390.0,9781849688888,0
2098,bn_1180,B1330,Quick Course in Microsoft Office Access 2003,,9781582780801,Microsoft Office Access 2003 Step by Step,368.0,9788120324756,0
5120,bn_2796,B1338,Oracle PL/SQL Programming,1392.0,9781449324452,Oracle Database 12c PL/SQL Programming,1192.0,9780071812436,0
2306,bn_1275,B1350,Database Application Programming with Linux,528.0,9780471355496,Database Programming with dBase IV,480.0,9780697263322,0
2329,bn_1286,B1350,Database Programming with JDBC and Java,350.0,9781565926165,Database Programming with dBase IV,480.0,9780697263322,0
5249,bn_2890,B1350,Programming with R: Base 5000,304.0,9780830604661,Database Programming with dBase IV,480.0,9780697263322,0
1510,bn_853,B1353,"The Organization of Reduction, Data Flow, and Control Flow Systems",481.0,9780262610810,"The Organization of Reduction, Data Flow, and Control Flow Systems (Computer Systems)",481.0,9780262610810,1
3189,bn_1749,B1367,Learning dBASE III Plus,487.0,9780395357323,Using dBASE III Plus,530.0,9780078812521,0
4790,bn_2554,B1367,dBASE III Plus,136.0,9780256135152,Using dBASE III Plus,530.0,9780078812521,0
4273,bn_2305,B1421,Pro Oracle Application Express / Edition 1,700.0,9781590598276,Oracle Application Express 4.0 with Ext JS,392.0,9781849681063,0
2860,bn_1613,B1427,Linux for the Oracle DBA: The Definitive Reference,460.0,9780982306192,Windows for the Oracle DBA: The Definitive Reference (Oracle In-Focus) (Volume 44),342.0,9780977671519,0
458,bn_248,B1429,Database Management Systems / Edition 3,1104.0,9780072465631,Sybase Systems Management,667.0,9780134553535,0
1311,bn_724,B1429,Database Management,800.0,9780878357130,Sybase Systems Management,667.0,9780134553535,0
4036,bn_2177,B1429,Database Management Systems,344.0,9781844804528,Sybase Systems Management,667.0,9780134553535,0
327,bn_159,B1434,Microsoft Access 2002 - Illustrated Brief / Edition 1,112.0,9780619045074,Microsoft Access 2002 - Illustrated Second Course (Illustrated Series. Second Course),224.0,,0
1204,bn_666,B1450,Microsoft Access 97 Developer's Handbook: Create Robust Databases Develop Custom Interfaces,768.0,9781572313583,Microsoft Access 2 Developer's Handbook,600.0,9780782113273,0
