ID,Title,Author,ISBN,Publisher,PublicationDate,Pages,price,ProductType
bn_34,Object-Oriented Database System: Design and Implementation for Advanced Applications,Hiroshi Ishikawa,9784431683100,Springer Japan,12/31/2013,164,$99.00,Paperback
bn_35,Microsoft Access 7 for Windows 95: Double Diamond,"Gary B. B. Shelly,  Thomas J. Cashman,  Thomas J. Cashman",9780789511546,"Course Technology, Inc.",11/01/1996,200,,Paperback
bn_36,ADO 2.1 Programmer's Reference,SUSSMAN,9781861002686,Apress,05/01/1999,607,,Paperback
bn_37,Oracle And Open Source,"Andy Duncan,  Sean Hull",9780596000189,"O'Reilly Media, Incorporated",04/08/2001,426,$54.99,Paperback
bn_38,Agile Data Science: Building Data Analytics Applications with Hadoop,Russell Jurney,9781449326265,"O'Reilly Media, Incorporated",11/04/2013,178,$34.42,Paperback
bn_39,MySQL: The Complete Reference / Edition 1,"Vikram Vaswani,  Pamela Smith",9780072224771,McGraw-Hill Professional Publishing,12/28/2003,544,$25.70,Paperback
bn_40,The Art and Science of Oracle Performance Tuning,Christopher Lawson,9781590591994,Apress,07/02/2003,480,$31.80,Paperback
bn_41,Apache Hadoop YARN: Moving beyond MapReduce and Batch Processing with Apache Hadoop 2,"Arun Murthy,  Vinod Vavilapalli,  Doug Eadline,  Joseph Niemiec",9780321934505,Addison-Wesley,04/02/2014,336,$33.67,Paperback
bn_42,The Jasmine Object Database: Multimedia Applications for the Web / Edition 1,"Setrag Khoshafian,  Norayr Minassian,  Surapol Dasananda,  Norayr Minassian",9781558604940,Elsevier Science & Technology Books,11/28/1998,500,,Other Format
bn_43,Microsoft Office Access 2007 Introductory / Edition 1,"Linda O'Leary,  Linda I. O'Leary",9780073294551,McGraw-Hill Higher Education,10/24/2007,672,$19.61,Paperback
bn_44,Librarian&#039;s Guide to Online Searching / Edition 1,Suzanne S. Bell,9781591583264,"ABC-CLIO, Incorporated",08/30/2006,288,$1.99,Paperback
bn_45,Multimodal Video Characterization and Summarization / Edition 1,"Michael A. Smith,  Takeo Kanade",9781402074264,Springer US,10/20/2004,204,$119.33,Hardcover
bn_46,Data Mining with Microsoft SQL Server 2008 / Edition 1,"Jamie MacLennan,  ZhaoHui Tang,  Bogdan Crivat",9780470277744,Wiley,11/10/2008,636,$9.13,Paperback
bn_47,Creating Access Applications,Melissa Dunn,9781565296367,Que,07/28/1994,550,,Paperback
bn_48,Practical Database Programming with Visual Basic.NET,Ying Bai,9780521712354,Cambridge University Press,10/20/2008,828,$90.24,Paperback
bn_49,Database Design with FileMaker Pro for the Mac,Michael Singer,9780471020226,Wiley,03/08/1994,294,,Paperback
bn_50,"Information Hiding: 5th International Workshop, IH 2002, Noordwijkerhout, The Netherlands, October 7-9, 2002, Revised Papers",Fabien A. P. Petitcolas,9783540004219,Springer Berlin Heidelberg,03/10/2003,430,$129.00,Paperback
bn_51,Data Mining: Concepts and Techniques / Edition 3,"Jiawei Han,  Micheline Kamber,  Jian Pei",9780123814791,Elsevier Science,07/06/2011,744,$13.45,Hardcover
bn_52,Integrated Technologies for Environmental Monitoring and Information Production / Edition 1,Nilgun B. Harmanciogammalu,9781402013980,Springer Netherlands,10/31/2003,477,$319.00,Hardcover
bn_53,Practical Applications Of Data Mining / Edition 1,Sang C. Suh,9780763785871,Jones & Bartlett Learning,01/20/2011,420,$83.29,Paperback
bn_54,PeopleSoft Developer&#039;s Guide for PeopleTools &amp; PeopleCode / Edition 1,"Judi Doolittle,  Byran Norris",9780071496629,McGraw-Hill Professional Publishing,12/17/2008,600,$37.50,Paperback
bn_55,Delphi Database Development,"Greg Lief,  John Kastner,  Ted Blue,  Loren Scott",9781558514690,"Holt, Henry & Company, Inc.",11/01/1995,984,,Paperback
bn_56,Database Management with Double Helix II for the MacIntosh and VAX,Jan L. Harrington,9780135600535,Brady Publishing,06/01/1988,400,,Paperback
bn_57,Visual Reference Access 97,"Henin,  D. Bass",9781562434847,DDC Publishing,05/28/1997,,,Paperback
bn_58,Data Modeling,G. Lawrence Sanders,9780877090663,"Course Technology, Inc.",01/01/1995,148,,Paperback
bn_59,FileMaker Pro 13 Absolute Beginner's Guide,Tim Dietrich,9780789748843,Que,12/23/2014,384,$16.58,Paperback
bn_60,Using Lotus Magellan,David P. Gobel,9780880224482,Que,06/10/1989,400,,Hardcover
bn_61,Collaborative Computer Security And Trust Management,Jean-Marc Seigneur,9781605664149,IGI Global,02/25/2011,316,$180.00,Hardcover
bn_62,Oracle DBA 101,"Marlene L. Theriault,  Rachel Carmichael",9780072121209,"McGraw-Hill Companies, The",12/28/1999,563,,Paperback
bn_63,File Techniques for Data Base Organization in COBOL,"Leroy F. Johnson,  Rodney H. Cooper",9780133140392,Prentice Hall Professional Technical Reference,01/01/1981,384,,Hardcover
bn_64,Oracle Applications DBA Field Guide,"Paul Jackson,  Elke Phelps",9781590596449,Apress,03/31/2006,264,$27.96,Paperback
bn_65,Test-Driven Database Development: Unlocking Agility,Max Guernsey III,9780321784124,Addison-Wesley,03/07/2013,315,$42.73,Paperback
bn_66,"Oracle Database 12c: Install, Configure &amp; Maintain Like a Professional","Ian Abramson,  Michael Abbey,  Michelle Malcher,  Michael Corey",9780071799331,McGraw-Hill Professional Publishing,09/04/2013,472,$26.25,Paperback
bn_67,Microsoft SQL Server 2008 Reporting Services,Brian Larson,9780071548083,McGraw-Hill Professional Publishing,08/21/2008,896,$41.36,Paperback
bn_68,Paradox 3.5 Quick Reference,Andrew Coupe,9780880228244,Que,10/07/1991,160,,Paperback
bn_69,"Home and Small Business Guide to Protecting Your Computer Network, Electronic Assets, and Privacy",Philip Alexander,9780313360077,"Greenwood Publishing Group, Incorporated",04/30/2009,160,$64.00,Hardcover
bn_70,"Constraint-Based Mining and Inductive Databases: European Workshop on Inductive Databases and Constraint Based Mining, Hinterzarten, Germany, March 11-13, 2004, Revised Selected Papers",Jean-Francois Boulicaut,9783540313311,Springer Berlin Heidelberg,03/16/2006,404,$119.00,Paperback
bn_71,Business Objects Companion,David Jackson,9780139774065,"Prentice Hall, Incorporated",06/09/1998,209,,Paperback
bn_72,Access VBA Programming / Edition 1,"Charles Brown,  Ron Petrusha",9780072231977,McGraw-Hill Professional Publishing,08/23/2004,464,$1.99,Paperback
bn_73,Adaptive Web Sites: A Knowledge Extraction from Web Data Approach - Volume 170 Frontiers in Artificial Intelligence and Applications,"Juan D. Valasquez,  Vasile Palade",9781586038311,"I O S Press, Incorporated",01/15/2008,298,$161.00,Hardcover
bn_74,Aspect-Oriented Database Systems / Edition 1,Awais Rashid,9783540009481,Springer Berlin Heidelberg,02/20/2004,176,$99.00,Hardcover
bn_75,"Database Technologies: Concepts, Methodologies, Tools, and Applications",John Erickson,9781605660585,IGI Global,02/28/2009,2962,"$1,650.00",Hardcover
bn_76,Inside dBASE 5 for Windows,"Richard Wagner,  J. Wetzel",9781562052416,New Riders,08/28/1994,1189,,Paperback
bn_77,Microsoft Access 2013 Step By Step,"Joan Lambert,  Joyce Cox",9780735669086,Microsoft Press,02/27/2013,448,$25.50,Paperback
bn_78,Global Data Management,Roberto Baldoni,9781586036294,"I O S Press, Incorporated",07/01/2006,372,$211.85,Hardcover
bn_79,PARADOX 3.5 FOR WINDOWS:STEP BY STEP,Peter K. McBride,9780750606103,Butterworth-Heinemann,07/28/1993,256,,Paperback
bn_80,Filemaker Pro 3.0,Alex Kennedy,9780201877625,Addison-Wesley,08/20/1996,320,,Paperback
bn_81,Visual dBase 5.5 for Windows,"Sumant S. Pendharker,  Richard A. Biegel",9780028026190,Glencoe/McGraw-Hill,01/01/1997,,,Hardcover
bn_82,CommVault Concepts & Design Strategies,Frank H Celauro,2940013971783,Frank H Celauro,02/24/2012,573,$39.99,NOOK Book
bn_83,FileMaker Pro Design and Scripting For Dummies,Timothy Trimble,9780471786481,Wiley,07/12/2006,384,$21.31,Paperback
bn_84,Data Warehousing mit SAP BW 7.3: Umfasst SAP BW 7.3 powered by SAP HANA,Christian Mehrwald,9783864912894,dpunkt.verlag,05/17/2013,780,$64.99,NOOK Book
bn_85,Learning SQL: A Step-By-Step Guide Using Oracle,Richard Earp,9780201773637,Addison Wesley,05/28/2002,368,,Paperback
bn_86,Logical Data Base Design,"Robert M. Curtice,  Paul E. Jones Jr.",9780894353260,"Wiley, John & Sons, Incorporated",03/22/1991,240,,Hardcover
bn_87,Database Processing (International Edition),Kroenke,9780131971042,Pearson,01/01/2006,,,Paperback
bn_88,Access 2007 Formulare und Berichte f&uuml;r Dummies,"Brian Underdahl,  Darlene Underdahl,  rgen",9783527657537,Wiley,01/22/2013,419,$19.49,NOOK Book
bn_89,"Mining Multimedia and Complex Data: KDD Workshop MDM/KDD 2002, PAKDD Workshop KDMCD 2002, Revised Papers / Edition 1",Osmar R. Zaiane,9783540203056,Springer Berlin Heidelberg,12/05/2003,284,$89.99,Paperback
bn_90,Beginning Visual Basic 6 Database Programming / Edition 1,John Connell,9781590592519,Apress,09/02/2003,880,$2.93,Paperback
bn_91,FileMaker Pro 2.0 for the Mac in a Nutshell,Maria L. Langer,9780782112146,"Wiley, John & Sons, Incorporated",12/01/1992,270,,Paperback
bn_92,Data Analysis Using SQL and Excel / Edition 1,Gordon S. Linoff,9780470099513,Wiley,10/01/2007,744,$31.59,Paperback
bn_93,Corporate Information Factory / Edition 2,"W. H. Inmon,  Claudia Imhoff,  Ryan Sousa",9780471399612,Wiley,01/01/2001,400,$61.15,Paperback
bn_94,The Guru's Guide to Transact-SQL,Ken Henderson,9780321630124,Pearson Education,02/23/2000,592,$32.49,NOOK Book
bn_95,Data Access Patterns: Database Interactions in Object-Oriented Applications (Software Patterns Series),Clifton Nock,9780131401570,Addison-Wesley,09/15/2003,469,$1.99,Hardcover
bn_96,Beginning SQL,"Paul Wilton,  John Colby",9780764577321,Wiley,02/14/2005,520,$30.48,Paperback
bn_97,Web Database Development for Windows Platforms,"Dan D. Gutierrez,  Dan Guitierrez",9780130139856,Pearson Education,08/04/1999,9780130139856,,Paperback
bn_98,Easy Microsoft Access 2000,Jeffrey L. Byrne,9780789719027,Pearson Education,04/22/1999,247,,Paperback
bn_99,Programming Microsoft ADO.NET 2.0 Core Reference,David Sceppa,9780735622067,Microsoft Press,09/27/2006,864,,Paperback
bn_100,DBASE III Plus Programmer's Reference Guide,Edward C. Jones,9780672225093,Sams,02/01/1987,448,,Paperback
bn_101,Oracle Business Intelligence : The Condensed Guide to Analysis and Reporting,Yuli Vasiliev,9781849681193,Packt Publishing,10/12/2010,184,$16.79,NOOK Book
bn_102,"Feature Extraction, Construction and Selection: A Data Mining Perspective / Edition 1",Huan Liu,9780792381969,Springer US,07/01/1998,410,$291.82,Hardcover
bn_103,Pro SQL Server Internals,Dmitri Korotkevitch,9781430259626,Apress,06/17/2014,804,$57.66,Paperback
bn_104,"Data Recovery Service: A consumer&#x2019;s guide to best data recovery, computer data recovery, data recovery tools data recovery in books, data recovery in computers, data recovery software and data recovery kit",Dorothy J. Bridgeforth,2940014946162,Tru Divine Publications,08/02/2012,,$8.50,NOOK Book
bn_105,PHP and MySQL For Dummies,Janet Valade,9780470527580,Wiley,12/09/2009,456,$23.48,Paperback
bn_106,Data Mining: Opportunities and Challenges,Wang,9781591400516,IGI-Global,01/28/2003,484,$79.95,Hardcover
bn_107,"Active Mining: Second International Workshop, AM 2003, Maebashi, Japan, October 28, 2003, Revised Selected Papers / Edition 1",Shusaku Tsumoto,9783540261575,Springer Berlin Heidelberg,08/05/2005,348,$109.00,Paperback
bn_108,FoxPro 2.5 Developers Handbook,David M. Kalman,9780679791591,Random House Information Group,08/03/1993,711,,Paperback
bn_109,Scriptology: FileMaker Pro Demystified,"Matthew Petrowsky,  John M. Osborne",9780966087604,"I S O Productions, Incorporated",09/28/1997,200,,Paperback
bn_110,Beginning PHP and Oracle: From Novice to Professional / Edition 1,"W Jason Gilmore,  Bob Bryla",9781590597705,Apress,08/27/2007,763,$49.99,Paperback
bn_111,DB2 for Z/OS and OS/390 Development for Performance Vol. 2 of 2,Gabrielle Wiorkowski,9780966846065,Gabrielle & Assoc.,02/28/2002,702,,Hardcover
bn_112,"Interfaces to Database Systems - IDS 92: Proceedings of the 1st International Workshop on Interfaces to Database Systems, Glasgow, 1-3 July 1992",Richard L. Cooper,9780387198026,"Springer-Verlag New York, LLC",08/01/1993,468,,Paperback
bn_113,Official Guide to Mini SQL 2.0,"Brian Jepson,  David J. Hughes",9780471245353,Wiley,02/04/1998,432,,Paperback
bn_114,The Economic Costs and Implications of High-Technology Hardware Theft,"James N. Dertouzos,  Patricia A. Ebener,  Eric V. Larson",9780833027276,Rand Publishing,03/09/1999,79,$25.00,Paperback
bn_115,"Databases in Telecommunications: International Workshop, Co-located with VLDB-99 Edinburgh, Scotland, UK, September 6th, 1999, Proceedings / Edition 1",Willem Jonker,9783540676676,Springer Berlin Heidelberg,06/22/2000,206,$99.00,Paperback
bn_116,"Information Security Applications: 4th International Workshop, WISA 2003, Jeju Island, Korea, August 25-27, 2003, Revised Papers / Edition 1",Kijoon Chae,9783540208273,Springer Berlin Heidelberg,03/05/2004,512,$149.00,Paperback
bn_117,Pro SQL Server Reporting Services,"Rodney Landrum,  Walter J. Voytek II,  Walter J. Voytek",9781590594230,Apress,09/29/2004,320,$33.03,Paperback
bn_118,Access 97 Developer&#039;s Handbook / Edition 3,"Paul Litwin,  Mike Gilbert,  Ken Getz",9780782119411,"Wiley, John & Sons, Incorporated",12/01/1996,1485,$1.99,Paperback
bn_119,Oracle Desk Reference,Guy Harrison,9780130132949,Pearson Education,09/14/1999,400,,Paperback
bn_120,Instant MapReduce Patterns - Hadoop Essentials How-to,Srinath Perera,9781782167716,Packt Publishing Pvt. Ltd.,05/22/2013,,$13.99,NOOK Book
bn_121,"Expert Oracle, Signature Edition Programming Techniques and Solutions for Oracle 7.3 through 8.1.7 / Edition 1",Thomas Kyte,9781590595251,Apress,04/22/2005,1328,$60.63,Hardcover
bn_122,Microsoft SQL Server 6.5 Programming Unleashed,"Peter DeBetta,  John Papa,  Dave Martin",9780672312441,Sams,04/15/1998,912,,Paperback
bn_123,Oracle8 Manual Del Administrador,Kevin Loney,9788448125523,MC Graw Hill,08/23/2001,736,,Paperback
bn_124,Optimizing Performance in DB2,William H. Inmon,9780136382300,Prentice Hall Professional Technical Reference,04/05/1988,208,,Hardcover
bn_125,Paradox 5.0 for Windows at a Glance,David B. McDaniel,9781556224560,"Wordware Publishing, Inc.",02/29/2000,136,,Paperback
bn_126,Oracle Discoverer 10g Handbook / Edition 1,"Michael Armstrong-Smith,  Darlene Armstrong-Smith",9780072262148,McGraw-Hill Professional Publishing,03/31/2006,1027,$44.69,Paperback
bn_127,Microsoft Office Access 2007: Introductory / Edition 1,"Pasewark/Pasewark,  Pasewark;,  Scott G. Pasewark",9781423904120,Cengage Learning,09/07/2007,279,$92.59,Other Format
bn_128,A Practical Approach to Database Systems,Pal Quittner,9789630566360,Akademiai Kiado Rt.,01/28/1995,291,,Hardcover
bn_129,SQL Server 2000 Design and T-SQL Programming,"Michelle Poolet,  Michael Poolet,  Michelle Reilly,  Michelle Poolet",9780072123753,McGraw-Hill Professional,12/29/2000,612,,Paperback
bn_130,"Database Programming Languages: 6th International Workshop, DBPL-6, Estes Park, Colorado, USA, August 18-20, 1997 / Edition 1",Sophie Cluet,9783540648239,Springer Berlin Heidelberg,09/18/1998,434,$119.00,Paperback
bn_131,FoxPro Event Driven Programming,Dick Bard,9781566860994,Brady Publishing,11/28/1993,550,,Paperback
bn_132,Clipper Programming,"Brett Oliver,  Jim Sheldon",9780078817588,McGraw-Hill Osborne,05/01/1992,512,,Paperback
bn_133,Physical Database design Using Oracle,"Donald K. Burleson,  Burleson K. Burleson",9780849318177,Taylor & Francis,11/01/2003,264,$115.93,Hardcover
bn_134,Managing & Using MySQL: Open Source SQL Databases for Managing Information & Web Sites,"Tim King,  George Reese,  Randy Yarger,  Hugh E. Williams",9780596002114,"O'Reilly Media, Incorporated",04/30/2002,444,$39.99,Paperback
bn_135,"Database Engineering and Applications Symposium, 1997 International",Bipin C. Desai,9780818681141,"Wiley, John & Sons, Incorporated",08/28/1997,400,,Paperback
bn_136,The Accidental Data Scientist : Big Data Applications and Opportunities for Librarians and Information Professionals,Amy Affelt,9781573875110,Information Today Inc,01/12/2015,,$39.50,Paperback
bn_137,A Sane Approach to Database Design,Mark Johansen,9781435733381,Lulu.com,07/19/2008,200,$25.24,Paperback
bn_138,Delphi Nuts and Bolts: For Experienced Programmers,"Gary Cornell,  Cay S. Horstmann",9780078822032,"McGraw-Hill Companies, The",03/01/1996,336,,Paperback
bn_139,"Risks of Customer Relationship Management: A Security, Audit and Control Approach",Information Systems Audit and Control Associatio,9781893209374,Information Systems Audit and Control Association,01/28/2003,581,,Hardcover
bn_140,Data Mining Patterns,Pascal Poncelet,9781599041629,IGI Global,08/31/2007,324,$180.00,Hardcover
bn_141,A Programmer's Guide to ADO.NET in C#,"Mahesh Chand,  Mike Gold",9781893115392,Apress,04/18/2002,718,$78.37,Paperback
bn_142,SAS 9. 1. 3 OLAP Server MDX Guide,Sas Institute,9781590478202,SAS Institute Inc.,03/28/2006,88,$13.60,Paperback
bn_143,Professional SQL Server 2005 Integration Services,"Brian Knight,  Allan Mitchell,  Darren Green,  Douglas Hinson",9780764584350,Wiley,01/31/2006,720,,Paperback
bn_144,Visual Basic Database Programming,Michael Kofler,9780201721935,Pearson Education,06/22/2001,592,,Hardcover
bn_145,Introduction to Computational Science: Modeling and Simulation for the Sciences / Edition 1,Angela B. Shiflet,9780691125657,Princeton University Press,05/02/2006,576,$62.46,Hardcover
bn_146,Distributed Event-Based Systems / Edition 1,"Gero Muhl,  Ludger Fiege,  Peter Pietzuch",9783540326519,Springer Berlin Heidelberg,07/28/2006,388,$82.04,Hardcover
bn_147,Beginning Relational Data Modeling / Edition 2,"Sharon Allen,  Evan Terry",9781590594636,Apress,03/25/2005,632,$34.44,Paperback
bn_148,Using SQL for Windows & Centura: Techniques for Building Client Server Solutions,Sanjiv Purba,9780471130895,Wiley,10/14/1996,480,,Paperback
bn_149,Visual Basic Oracle 8,"TRIETSCH,  John Mason,  Reed Call,  Mike Erickson",9781861001788,Apress,12/01/1999,535,,Hardcover
bn_150,SAP R/3 Process Oriented Implementation: Iterative Process Prototyping / Edition 1,"Gerhard Keller,  Thomas Teufel,  Thomas Teufel",9780201924701,Addison Wesley Professional,08/07/1998,880,$1.99,Hardcover
bn_151,Millennium Intelligence: Understanding and Conducting Competitive Intelligence in the Digital Age / Edition 1,Jerry P. Miller,9780910965286,"Information Today, Inc.",02/01/2000,276,$18.80,Paperback
bn_152,Running Microsoft Access 2 for Windows,"John L. Viescas,  John Viescas",9781556155925,Microsoft Press,05/01/1994,644,,Paperback
bn_153,Fast Track ADO.NET,"Apress,  Kouresh Ardestani,  Donald Xie",9781861007605,Apress,08/01/2002,300,,Hardcover
bn_154,"Profitable Membership Website-Discover Everything You Need To Know About Membership Website, Improve Your Membership Website Profits, Give Your Website a Boost, Increase Your Revenue,Sell PLR Articles!!!",Courtney E. Nielsen,2940148891482,Gilkie publishing,11/05/2013,,$6.99,NOOK Book
bn_155,Using Microsoft Access: A how-to-Do-It Manual for Librarians,E. Sonny Butler,9781555702687,Neal-Schuman Publishers,12/28/1996,118,,Hardcover
bn_156,Paradox Queries 5.0 for Windows,"Dan Ehrmann,  Dan Erhmann",9781558514010,"Holt, Henry & Company, Inc.",12/20/1994,992,,Paperback
bn_157,Using dBase II,Carl Townsend,9780881341089,McGraw-Hill Osborne,11/01/1983,223,,Paperback
bn_158,Application Cases in MIS / Edition 2,James Morgan,9780256220568,"McGraw-Hill Companies, The",07/28/1996,160,,Paperback
bn_159,Microsoft Access 2002 - Illustrated Brief / Edition 1,Lisa Friedrichsen,9780619045074,Cengage Learning,07/25/2001,112,$1.99,Paperback
bn_160,Data Mining: A Hands On Approach for Business Professionals / Edition 1,Robert Groth,9780137564125,Pearson Education,09/05/1997,304,$1.99,Paperback
bn_161,Transborder Data Flows and Poland: Polish Case Study,United Nations Centre on Transnational Corporations Staff,9780444876300,Elsevier Science & Technology Books,03/01/1985,75,,Hardcover
bn_162,Delphi Developer's Guide to OpenGL,"Jon Q. Jacobs,  Jon Q. Jacobs",9781556226571,"Wordware Publishing, Inc.",08/01/1999,465,,Multimedia Set
bn_163,The Handbook of Data Mining / Edition 1,Nong Ye,9780805855630,Taylor & Francis,11/01/2004,720,$83.73,Paperback
bn_164,MDM for Customer Data: Optimizing Customer Centric Management of Your Business,Kelvin K. A. Looi,9781583473504,Mc Press,11/01/2009,100,$14.95,Paperback
bn_165,IMS (DL-1) Data Base Organization and Performance,G. Hubbard,9780442235833,"Wiley, John & Sons, Incorporated",07/01/1986,240,,Hardcover
bn_166,"SAS/Warehouse Administrator Metadata API Reference,Release 1.3,First Edition",SAS Institute Incorporated,9781580251914,SAS Publishing,05/20/1998,108,,Paperback
bn_167,Introduction to Database and Knowledge-Base Systems,Krishna Shenai,9789810206208,"World Scientific Publishing Company, Incorporated",03/26/1992,344,,Paperback
bn_168,SAP Query Reporting,Danielle Larocca Signorile,9780672329029,Sams,08/09/2006,326,$40.08,Paperback
bn_169,Using Delphi-Special Edition,"Paul J. Perry,  Jon Matcho",9781565298231,Que,02/15/1995,608,,Paperback
bn_170,The Definitive DataWindow: Your Key to PowerBuilder Success,Richard Brooks,9780201702248,Pearson Education,04/06/2000,800,,Other Format
bn_171,Microsoft ADO. Net 2. 0 Step by Step,"Rebecca M. Riordan,  Rebecca Riordan",9780735621640,Microsoft Press,12/14/2005,528,,Paperback
bn_172,"Data Mining with Ontologies: Implementations, Findings, and Frameworks",Nigro,9781599046181,IGI Global,07/28/2007,312,$180.00,Hardcover
bn_173,Pro SQL Server 2005 Replication,Sujoy Paul,9781590596500,Apress,12/18/2006,1016,,Hardcover
bn_174,Data Mining and Knowledge Discovery Approaches Based on Rule Induction Techniques / Edition 1,Evangelos Triantaphyllou,9781441941732,Springer US,02/11/2011,748,$289.00,Paperback
bn_175,Digital Copyright Protection: Techniques to Ward off Electronic Copyright Abuse,Peter Wayner,9780127887715,Elsevier Science & Technology Books,05/15/1997,227,,Paperback
bn_176,Oracle ADF 11gR2 Development Beginner's Guide,Vinod Krishnan,9781849689007,Packt Publishing,06/02/2013,330,$49.99,Paperback
bn_177,Data Quality For The Information Age / Edition 1,Thomas C. Redman,9780890068830,"Artech House, Incorporated",01/01/1997,332,$67.29,Hardcover
