Title_A,Authors_A,ISBN_A,Publisher_A,Pages_A,Price_A,Title_B,Authors_B,ISBN_B,Publisher_B,Pages_B,Price_B,Gold
JavaScript and jQuery for Data Analysis and Visualization,"Jon Raasch,  Graham Murray,  Vadim Ogievetsky,  Joseph Lowery",9781118847060,Wiley,480.0,$28.90,JavaScript and jQuery for Data Analysis and Visualization,"Jon Raasch, Graham Murray, Vadim Ogievetsky",9781118847060.0," Wrox; 1 edition (December 3, 2014)",480.0,$28.25,1
Expert Cube Development with SQL Server Analysis Services 2012 Multidimensional Models,Alberto Ferrari,9781849689908,Packt Publishing,402.0,$49.99,Expert Cube Development with SSAS Multidimensional Models,Alberto Ferrari,9781849689908.0," Packt Publishing (February 24, 2014)",402.0,,1
Concepts of Database Management / Edition 6,"Philip J. Pratt,  Joseph J. Adamski",9781423901471,Cengage Learning,400.0,$26.10,Concepts of Database Management,Philip J. Pratt,9781423901471.0," Course Technology; 6th edition (August 22, 2007)",400.0,$8.27,1
High Availability Mysql Cookbook,Alex Davies,9781847199942,Packt Publishing,276.0,$44.99,High Availability MySQL Cookbook,,9781847199942.0," Packt Publishing (April 27, 2010)",276.0,,1
Pro Spatial with SQL Server 2012,Alastair Aitchison,9781430234913,Apress,560.0,$48.32,Pro Spatial with SQL Server 2012 (Expert's Voice in Databases),Alastair Aitchison,9781430234913.0," Apress; 1 edition (May 15, 2012)",560.0,,1
Oracle Database 12c Security,"Scott Gaetjen,  David Knox,  William Maroulis",9780071824286,McGraw-Hill Professional Publishing,560.0,$44.30,Oracle Database 12c Security,"Scott Gaetjen, David Knox, William Maroulis",9780071824286.0," McGraw-Hill Education; 1 edition (January 5, 2015)",560.0,$44.04,1
Oracle9i Application Server Portal Handbook,"Steve Vandivier,  Kelly Cox",9780072222494,"McGraw-Hill Companies, The",615.0,,Oracle9i Application Server Portal Handbook (Osborne ORACLE Press Series),,9780072222494.0," Osborne/McGraw-Hill (November 28, 2001)",544.0,,1
Crystal Reports 2008: The Complete Reference,George Peck,9780071590983,McGraw-Hill Professional Publishing,968.0,$41.53,Crystal Reports 2008: The Complete Reference (Osborne Complete Reference Series),George Peck,9780071590983.0," McGraw-Hill Education; 1 edition (July 10, 2008)",968.0,,1
Microsoft SQL Server 2012 Analysis Services: The BISM Tabular Model,"Marco Russo,  Alberto Ferrari,  Chris Webb",9780735658189,Microsoft Press,656.0,$42.32,Microsoft SQL Server 2012 Analysis Services: The BISM Tabular Model (Developer Reference),"Alberto Ferrari, Marco Russo, Chris Webb",9780735658189.0," Microsoft Press; 1 edition (July 25, 2012)",656.0,$41.54,1
Administering SQL: Server 7,"Divya Chaturvedi,  Paritosh Prathak,  Paritosh Pathak",9780071341684,"McGraw-Hill Companies, The",515.0,,Administering SQL Server 7,Divya Chaturvedi,9780071341684.0," Computing Mcgraw-Hill; Pap/Cdr edition (June 27, 1999)",608.0,,1
Interactive Data Visualization for the Web,Scott Murray,9781449339739,"O'Reilly Media, Incorporated",255.0,$27.38,Interactive Data Visualization for the Web,Scott Murray,9781449339739.0," O'Reilly Media; 1 edition (April 5, 2013)",272.0,$26.85,1
Mastering Oracle8i,"Robert G. Freeman,  Mark D. Blomberg",9780782129298,"Sybex, Incorporated",1104.0,,Mastering Oracle8i,,9780782129298.0," Sybex Inc (December 13, 2001)",1200.0,,1
Real-World Hadoop,"Ted Dunning,  Ellen Friedman",9781491922668,"O'Reilly Media, Incorporated",104.0,$19.94,Real-World Hadoop,,9781491922668.0," O'Reilly Media; 1 edition (April 12, 2015)",104.0,$10.95,1
Microsoft Access 2.0 for Windows,Rick Sullivan,9780538641326,South-Western,180.0,,Microsoft Access 2.0 for Windows (South-Western Computer Training Series),Rick Sullivan,9780538641326.0, South-Western Educational Publishing; Pap/Dis edition (January 1997),127.0,$5.50,1
Bad Data Handbook: Cleaning Up The Data So You Can Get Back To Work,Q. Ethan McCallum,9781449321888,"O'Reilly Media, Incorporated",264.0,$34.28,Bad Data Handbook: Cleaning Up The Data So You Can Get Back To Work,Q. Ethan McCallum,9781449321888.0," O'Reilly Media; 1 edition (November 24, 2012)",264.0,$34.28,1
Microsoft Access,Maria Reidelbach,9781562431150,DDC Publishing,196.0,,Microsoft Access 1.1 for Windows (Quick Reference Guide),Maria Reidelbach,9781562431150.0, D D C Pub (October 1993),196.0,,1
Implementing SAP ERP Sales &amp; Distribution / Edition 1,Glynn  Williams,9780071497053,McGraw-Hill Professional Publishing,513.0,$37.50,Implementing SAP ERP Sales & Distribution,Glynn C. Williams,9780071497053.0," McGraw-Hill Education; 1 edition (April 11, 2008)",513.0,,1
How to Do Everything with PHP &amp; MySQL / Edition 1,Vikram Vaswani,9780072257953,McGraw-Hill Professional Publishing,400.0,$15.14,How to Do Everything with PHP and MySQL,Vikram Vaswani,9780072257953.0," McGraw-Hill Education; 1 edition (April 21, 2005)",400.0,$15.14,1
"Data Architecture: A Primer for the Data Scientist: Big Data, Data Warehouse and Data Vault","W.H. Inmon,  Dan Linstedt",9780128020449,Elsevier Science,378.0,$51.68,"Data Architecture: A Primer for the Data Scientist: Big Data, Data Warehouse and Data Vault",,9780128020449.0," Morgan Kaufmann; 1 edition (December 10, 2014)",378.0,$51.00,1
Oracle Discoverer 10g Handbook / Edition 1,"Michael Armstrong-Smith,  Darlene Armstrong-Smith",9780072262148,McGraw-Hill Professional Publishing,1027.0,$44.69,Oracle Discoverer 10g Handbook (Oracle (McGraw-Hill)),Michael Armstrong-Smith,9780072262148.0, McGraw-Hill Education; 1 edition (March 2006),1027.0,,1
Microsoft Office: Access 2003 Professional Results,Noel Jerke,9780072229653,"McGraw-Hill Companies, The",400.0,,Microsoft Office Access 2003 Professional Results,Noel Jerke,9780072229653.0," McGraw-Hill Osborne Media; 1 edition (August 29, 2003)",400.0,$3.98,1
Learning SQL: A Step-By-Step Guide Using Oracle,Richard Earp,9780201773637,Addison Wesley,368.0,,Learning SQL: A Step-By-Step Guide Using Oracle,,9780201773637.0," Addison Wesley; 1St Edition edition (May 25, 2002)",368.0,$25.21,1
Apache Cassandra Hands-On Training Level One,Ruth Stryker,9781500548391,CreateSpace Publishing,406.0,$38.15,Apache Cassandra Hands-On Training Level One,Ruth Stryker,9781500548391.0," CreateSpace Independent Publishing Platform (July 23, 2014)",406.0,,1
FileMaker Pro 6 Advanced for Windows and Macintosh: Visual QuickPro Guide,Cyndi Baron,9780321162199,Peachpit Press,450.0,$20.04,FileMaker Pro 6 Advanced for Windows and Macintosh: Visual QuickPro Guide,,9780321162199.0," Peachpit Press (December 30, 2002)",488.0,$0.29,1
Effective MySQL Backup and Recovery,"Ronald Bradford,  Patrick Galbraith",9780071788571,McGraw-Hill Professional Publishing,256.0,$16.21,Effective MySQL Backup and Recovery (Oracle Press),Ronald Bradford,9780071788571.0," McGraw-Hill Education; 1 edition (July 10, 2012)",256.0,$16.13,1
An Extended Entity-Relationship Model: Fundamentals and Pragmatics,Martin Gogolla,9780387576480,"Springer-Verlag New York, LLC",136.0,,An Extended Entity-Relationship Model: Fundamentals and Pragmatics (Lecture Notes in Computer Science),Martin Gogolla,9780387576480.0, Springer-Verlag (January 1994),136.0,,1
Relational Database Design Clearly Explained / Edition 2,"Jan L. Harrington,  Harrington",9781558608207,Elsevier Science,416.0,$1.99,"Relational Database Design Clearly Explained, Second Edition (The Morgan Kaufmann Series in Data Management Systems)",Jan L. Harrington,9781558608207.0," Morgan Kaufmann; 2 edition (April 30, 2002)",416.0,$51.32,1
Oracle PL/SQL Programming,"Scott Urman,  Tim Smith",9780078821769,"McGraw-Hill Companies, The",564.0,,Oracle Pl/SQL Programming (Oracle Series),Scott Urman,9780078821769.0," Oracle Pr (April 23, 1996)",564.0,,1
Access 2003 Programming Weekend Crash Course,"Cary N. Prague,  Jennifer Reardon,  Lawrence S. Kasevich,  Diana Reid",9780764539756,Wiley,504.0,,Access 2003 Programming Weekend Crash Course,,9780764539756.0," Wiley; 1 edition (October 10, 2003)",504.0,$0.39,1
MySQL Database Usage &amp; Administration / Edition 1,Vikram Vaswani,9780071605496,McGraw-Hill Professional Publishing,368.0,$50.88,MySQL Database Usage & Administration,Vikram Vaswani,9780071605496.0," McGraw-Hill Education; 1 edition (November 4, 2009)",368.0,$53.00,1
Introduction to Oracle 9I: SQLV / Edition 1,Lannes Morris-Murphy,9780619064754,Cengage Learning,576.0,$1.99,Oracle9i: SQL (with an Introduction to PL/SQL),,9780619064754.0," Course Technology (November 19, 2002)",576.0,$0.44,1
Oracle Database 11g DBA Handbook / Edition 1,"Bob Bryla,  Kevin Loney",9780071496636,McGraw-Hill Professional Publishing,670.0,$8.92,Oracle Database 11g DBA Handbook (Oracle Press),"Bob Bryla, Kevin Loney",9780071496636.0," McGraw-Hill Education; 1 edition (December 27, 2007)",670.0,$33.79,1
Special Edition Using Microsoft Office Access 2003,Roger Jennings,9780789729521,Que,1502.0,$44.10,Special Edition Using Microsoft Office Access 2003,Roger Jennings,9780789729521.0," Que Publishing; 1 edition (September 21, 2003)",1502.0,$59.99,1
Oracle Desk Reference,Guy Harrison,9780130132949,Pearson Education,400.0,,Oracle Desk Reference,Guy Harrison,9780130132949.0," Prentice Hall PTR; 1st edition (September 14, 1999)",520.0,,1
Instant SQL Computer,CELKO,9781874416500,Apress,389.0,,Instant SQL,Joe Celko,9781874416500.0, Wrox Press; Pap/Cdr edition (October 1995),389.0,,1
Learn Personal Oracle 8.0 with Powerobjects 2.0,Jose Antonio Ramalho,9781556225468,"Wordware Publishing, Inc.",433.0,,Learn Personal Oracle 8.0 With Power Objects 2.0,,9781556225468.0, Wordware (June 1998),433.0,,1
Oracle9i RAC: Oracle Real Application Clusters Configuration and Internals,"Mike Ault,  Madhu Tumma",9780972751308,Rampant Techpress,606.0,,Oracle9i RAC: Oracle Real Application Clusters Configuration and Internals (Oracle In-Focus series),,9780972751308.0," Rampant Techpress; 1 edition (August 1, 2003)",606.0,,1
Access 97 Macro and VBA Handbook (Developer's Handbook Series),Susann Novalis,9780782119770,Wiley,1074.0,,Access 97 Macro & VBA Handbook,Susann Novalis,9780782119770.0," Sybex (February 15, 1997)",1074.0,$25.84,1
Microsoft Access 2.0 how-to CD,"Ken Getz,  Mike Gunderloy,  Helen Feddema,  Dan Haught",9781878739933,Sams,592.0,,Microsoft Access 2.0 How-To Cd,,9781878739933.0, Waite Group Pr (April 1995),537.0,,1
DB2 Universal Database v7.1: Application Development Certification Guide,"Steve Sanyal,  Michael Kyprianou,  Kevin Gashyna,  David Martineau",9780130913678,Pearson Education,320.0,,DB2 Universal Database v7.1: Application Development Certification Guide,Steve Sanyal,9780130913678.0," Prentice Hall PTR (December 1, 2000)",320.0,,1
Creating the Semantic Web with RDF: Professional Developer's Guide,Johan Hjelm,9780471402596,Wiley,304.0,,Creating the Semantic Web with RDF: Professional Developer's Guide (With CD-ROM),Johan Hjelm,9780471402596.0," Wiley; 1 edition (May 11, 2001)",277.0,$0.03,1
Communicating Data with Tableau,Ben Jones,9781449372026,"O'Reilly Media, Incorporated",334.0,$33.02,Communicating Data with Tableau,Ben Jones,9781449372026.0," O'Reilly Media; 1 edition (July 3, 2014)",334.0,$32.55,1
Microsoft ADO.NET 4 Step by Step,Tim Patrick,9780735638884,Microsoft Press,440.0,$34.42,Microsoft ADO.NET 4 Step by Step (Step by Step Developer),Tim Patrick,9780735638884.0," Microsoft Press; 1 edition (November 4, 2010)",400.0,$33.86,1
Data Mining For Dummies,Meta S. Brown,9781118893173,Wiley,408.0,$21.21,Data Mining For Dummies,Meta S. Brown,9781118893173.0," For Dummies; 1 edition (September 29, 2014)",408.0,$21.21,1
Crash Course in dBASE for Windows Programming,Chris Green,9781565299382,Que,283.0,,Crash Course in dBASE 5. 0 for Windows Programming,Christopher R. Green,9781565299382.0, Que Pub (October 1994),224.0,,1
Expert One-on-One Microsoft Access Application Development,Helen Feddema,9780764559044,Wiley,624.0,,Expert One-on-One Microsoft Access Application Development,,9780764559044.0," Wrox; 1 edition (May 7, 2004)",624.0,$10.79,1
Informix Universal Data Option,"Paul R. Allen,  Joseph J. Bambara",9780079136978,McGraw-Hill Osborne,853.0,,Informix Universal Data Option (Client/Server),Paul R. Allen,9780079136978.0," Computing Mcgraw-Hill (August 1, 1998)",853.0,,1
Object-Relational Database Development : A Plumber&#039;s Guide / Edition 1,"Paul Brown,  Paul Brown",9780130194602,Pearson Education,828.0,$1.99,Object-Relational Database Development: A Plumber's Guide (With CD-ROM),Paul Brown,9780130194602.0," Prentice Hall PTR (December 22, 2000)",832.0,,1
Oracle8i Database Administration,Noel Yuhanna,9781884777783,"O'Reilly Media, Incorporated",543.0,,Oracle8i Database Administration,Noel Yuhanna,9781884777783.0," Manning Publications (November 1, 1999)",543.0,,1
DBXL and Quicksilver Programming: Beyond dBASE,"Peter Stephenson,  Barbara Clifford",9780880223744,Que,450.0,,Dbxl and Quicksilver Programming: Beyond dBASE,Peter Stephenson,9780880223744.0, Que Pub; First Edition edition (November 1988),450.0,,1
Microsoft SQL Server 2005,"Andrew Brust,  Stephen Forte",9780735619234,Microsoft Press,928.0,,Programming Microsoft  SQL Server 2005,,9780735619234.0," Microsoft Press (June 28, 2006)",950.0,$49.99,1
Oracle PL/SQL Best Practices,Steven Feuerstein,9780596514105,"O'Reilly Media, Incorporated",294.0,$23.84,Oracle PL/SQL Best Practices,Steven Feuerstein,9780596514105.0," O'Reilly Media; Second Edition edition (November 1, 2007)",294.0,$23.78,1
DB2 SQL Tuning Tips for z/OS Developers,Tony Andrews,9780133038460,IBM Press,138.0,$33.53,DB2 SQL Tuning Tips for z/OS Developers (IBM Press),Tony Andrews,9780133038460.0," IBM Press; 1 edition (October 25, 2012)",160.0,$33.53,1
Oracle WebDB Bible,"Rick Greenwald,  James Milbery",9780764533266,Wiley,787.0,,Oracle WebDB Bible,"Rick Greenwald, James Milbery",9780764533266.0," Wiley (October 25, 1999)",787.0,$0.65,1
Microsoft Access 95: Developer's Handbook,"Paul Litwin,  Mike Gilbert,  Ken Getz,  Greg Reddick",9780782117653,"Wiley, John & Sons, Incorporated",1600.0,,Microsoft Access 95 Developer's Handbook,"Paul Litwin, Ken Getz",9780782117653.0, Sybex Inc; 2nd edition (February 1996),1532.0,,1
ASP .NET Programming with C# &amp; SQL Server / Edition 1,"Don Gosselin,  Gosselin",9781423903246,Cengage Learning,672.0,$25.46,ASP .NET Programming with C# & SQL Server (Web Technologies),Don Gosselin,9781423903246.0," Course Technology; 1 edition (July 27, 2009)",672.0,$148.35,1
Introduction to DB2 Programming,Viet G. Tran,9780070651203,"McGraw-Hill Companies, The",320.0,,Introduction to DB2 Programming (Computing That Works),Viet G. Tran,9780070651203.0," Computing Mcgraw-Hill (January 1, 1989)",207.0,,1
Microsoft SQL Server 2005 Compact Edition,"Prashant Dhingra,  Trent Swanson",9780672329227,Sams,601.0,,Microsoft SQL Server 2005 Compact Edition,"Prashant Dhingra, Trent Swanson",9780672329227.0," Sams Publishing; 1 edition (August 5, 2007)",624.0,$6.29,1
Oracle Regular Expressions: Pocket Reference,"Jonathan Gennick,  Peter Linsley",9780596006013,"O'Reilly Media, Incorporated",66.0,$9.95,Oracle Regular Expressions Pocket Reference,Jonathan Gennick,9780596006013.0," O'Reilly Media; 1st edition (September 15, 2003)",64.0,$9.95,1
"Microsoft SQL Server 2005: A Beginner""s Guide",Dusan Petkovic,9780072260939,McGraw-Hill Professional Publishing,704.0,$42.00,Microsoft SQL Server 2005: A Beginner's Guide,,9780072260939.0," McGraw-Hill Education; 1st edition (December 13, 2005)",704.0,$42.00,1
Microsoft Office Access 2003,"Glen Coulthard,  Sarah Hutchinson-Clifford",9780072834307,"McGraw-Hill Companies, The",232.0,,Microsoft Office Access 2003: Introductory,,, Course Technology Ptr (Sd) (December 2003),216.0,,1
Oracle Performance Tuning [With *],"Mark Gurry,  Peter Corrigan",9781565922372,"O'Reilly Media, Incorporated",966.0,$56.20,Oracle Performance Tuning (Nutshell Handbooks),"Mark Gurry, Peter Corrigan",9781565922372.0," O'Reilly Media; Second Edition edition (November 11, 1996)",966.0,$55.16,1
MySQL Crash Course,Ben Forta,9780672327124,Sams,336.0,$27.75,MySQL Crash Course,Ben Forta,9780672327124.0," Sams Publishing (December 22, 2005)",336.0,$27.68,1
Oracle Database 11g SQL / Edition 1,Jason Price,9780071498500,McGraw-Hill Professional Publishing,688.0,$9.75,Oracle Database 11g SQL (Oracle Press),Jason Price,9780071498500.0," McGraw-Hill Education; 1 edition (November 26, 2007)",688.0,$28.17,1
Expert MySQL,Charles Bell,9781430246596,Apress,640.0,$50.36,Expert MySQL (Expert's Voice in Databases),,9781430246596.0," Apress; 2 edition (December 18, 2012)",640.0,$50.36,1
Access 2007 VBA Programmer's Reference,"Teresa Hennig,  Rob Cooper,  Geoffrey L. Griffith,  Armen Stein",9780470047033,Wiley,1152.0,$31.80,Access 2007 VBA Programmer's Reference,"Teresa Hennig, Geoffrey L. Griffith",9780470047033.0," Wrox; 1 edition (May 14, 2007)",1152.0,$20.29,1
Access 2002 For Dummies Quick Reference,Alison Barrows,9780764508523,Wiley,9780764508523.0,,Access 2002 For Dummies Quick Reference,Alison Barrows,9780764508523.0," For Dummies (June 15, 2001)",240.0,$4.00,1
Access Power Programming with VBA / Edition 1,"Allen G. Taylor,  Virginia Andersen",9780764525889,Wiley,696.0,$25.52,AccessÂ 2003 Power Programming with VBA,Allen G. Taylor,9780764525889.0," Wiley; 1 edition (October 31, 2003)",696.0,$24.79,1
Expert Oracle RAC Performance Diagnostics and Tuning,Murali Vallath,9781430267096,Apress,712.0,$68.09,Expert Oracle RAC Performance Diagnostics and Tuning,,9781430267096.0," Apress; 2014 edition (October 8, 2014)",712.0,$68.09,1
Learn FileMaker Pro 5.5,Jonathan Stars,9781556228711,"Wordware Publishing, Inc.",398.0,,Learn Filemaker Pro 5.5 (Wordware FileMaker Library),Jonathan Stars,9781556228711.0," Wordware Publishing, Inc. (August 25, 2001)",398.0,,1
Programming in Clipper,"Stephen J. Straley,  Stephen Straley",9780201145830,Addison-Wesley,752.0,,Programming in Clipper: The Definitive Guide to the Clipper dBASE Compiler,Stephen J. Straley,9780201145830.0, Addison-Wesley (C); 2 Sub edition (November 1988),960.0,,1
SQL For Dummies,Allen G. Taylor,9781118607961,Wiley,480.0,$21.19,SQL For Dummies,Allen G. Taylor,9781118607961.0," For Dummies; 8 edition (September 3, 2013)",480.0,$20.80,1
Oracle 11g New Features: Get Started Fast with Oracle 11g Enhancements,"Brian Carr,  John Garmany,  Lutz Hartmann,  V. J. Jain",9780979795107,Rampant Techpress,468.0,,Oracle 11g New Features: Get Started Fast with Oracle 11g Enhancements (Oracle In-Focus series),,9780979795107.0," Rampant Techpress (November 1, 2008)",300.0,,1
Teach Yourself VISUALLY Access 2010,Faithe Wempen,9780470577653,Wiley,352.0,$19.98,Teach Yourself Visually Access 2010,Faithe Wempen,9780470577653.0," Visual; 1 edition (May 10, 2010)",352.0,$19.88,1
Data Warehousing and the AS/400,"Scott Steinacher,  Steinacher",9781882419630,29th Street Press/NEWS/400 Books,342.0,,Data Warehousing & the as 400 with CDROM,Scott Steinacher,9781882419630.0," 29th Street Press (January 1, 1998)",342.0,,1
Beginning PHP and Oracle: From Novice to Professional / Edition 1,"W Jason Gilmore,  Bob Bryla",9781590597705,Apress,763.0,$49.99,Beginning PHP and Oracle: From Novice to Professional (Expert's Voice),Bob Bryla,9781590597705.0," Apress; 2007 edition (August 27, 2007)",763.0,$49.99,1
Microsoft SQL Server 2000 Database Administrator's Guidebook,Carl H. Speshock,9780130614308,Prentice Hall,474.0,,Microsoft SQL Server 2000 Database Administrator's Guidebook,Carl H. Speshock,9780130614308.0," Prentice Hall (October 26, 2001)",480.0,$6.82,1
Expert MySQL / Edition 1,Charles Bell,9781590597415,Apress,600.0,$34.81,Expert MySQL (Expert's Voice in Open Source),,9781590597415.0," Apress; 2007 edition (January 26, 2007)",600.0,$34.81,1
Expert One on One: Oracle,KYTE,9781861004826,Apress,1265.0,,Expert One on One Oracle,Thomas Kyte,9781861004826.0, Peer Information Inc.; 1 edition (June 2001),1265.0,$14.15,1
Learn Oracle 8i,Jose A. Ramalho,9781556227318,"Wordware Publishing, Inc.",474.0,,Learn Oracle 8i,,9781556227318.0," Wordware Publishing, Inc.; 1 edition (May 25, 2000)",474.0,,1
DB2 Universal Database in Application Development Environments,"Tetsuya Shirai,  Robert Harbus,  Bill Wilkins,  Indran Naick",9780130869876,Pearson Education,9780130869876.0,$1.99,DB2 Universal Database in Application Development Environments,,9780130869876.0," Prentice Hall; 1st edition (January 15, 2000)",512.0,,1
Sybase DBA Companion,Brian Hitchcock,9780136523895,Prentice Hall Professional Technical Reference,696.0,,Sybase DBA Companion with CDROM,Brian Hitchcock,9780136523895.0, Prentice Hall (May 1997),696.0,,1
Microsoft SQL Server 2000 Unleashed,"Ray Rankins,  Sharon Bjeletich",9780672319976,Pearson Education,1472.0,,Microsoft SQL Server 2000 Unleashed,"Ray Rankins, Paul Bertucci",9780672319976.0," Sams; Bk&CD-Rom edition (December 12, 2001)",1512.0,$5.99,1
Sybase Systems Management,Karen Hogoboom,9780134553535,Prentice Hall Professional Technical Reference,704.0,,Sybase Systems Management,Karen Hogoboom,9780134553535.0, Prentice Hall Ptr (August 1996),667.0,,1
Microsoft SQL Server 2005 Unleashed,"Ray Rankins,  Paul T. Bertucci,  Chris Gallelli,  Alex T. Silverstein",9780672328244,Sams,1752.0,,Microsoft SQL Server 2005 Unleashed,"Ray Rankins, Paul Bertucci",9780672328244.0," Sams Publishing (December 31, 2006)",1752.0,$64.99,1
Common Warehouse Metamodel,"John Poole,  Dan Chang,  Douglas Tolbert,  David Mellor",9780471200529,Wiley,288.0,,Common Warehouse Metamodel (OMG),Douglas Tolbert,9780471200529.0," Wiley; 1 edition (December 3, 2001)",288.0,$0.15,1
