ID_A,ID_B,Title_A,Title_B,Authors_A,Authors_B
474,1188,Learning Distributed Representations of Sentences from Unlabelled Data,Distributed ,"Felix Hill, Kyunghyun Cho, Anna Korhonen","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
474,4110,Learning Distributed Representations of Sentences from Unlabelled Data,Distributed ,"Felix Hill, Kyunghyun Cho, Anna Korhonen","Shi Li, Xiangyu Guo"
488,2321,On Valid Optimal Assignment Kernels and Applications to Graph Classification,On Valid Optimal Assignment Kernels and Applications to Graph Classification,"Nils M. Kriege, Pierre-Louis Giscard, Richard C. Wilson","Nils M. Kriege, Pierre-Louis Giscard, Richard Wilson"
505,777,A Linear Time Active Learning Algorithm for Link Classification -- Full Version --,A Linear Time Active Learning Algorithm for Link Classification,"Nicolo Cesa-Bianchi, Claudio Gentile, Fabio Vitale, Giovanni Zappella","Nicol Cesa-bianchi, Claudio Gentile, Fabio Vitale, Giovanni Zappella"
507,3428,Implicit Reparameterization Gradients,Implicit Reparameterization Gradients,"Michael Figurnov, Shakir Mohamed, Andriy Mnih","Mikhail Figurnov, Shakir Mohamed, Andriy Mnih"
543,1188,Fast Support Vector Machines Using Parallel Adaptive Shrinking on Distributed Systems,Distributed ,"Jeyanthi Narasimhan, Abhinav Vishnu, Lawrence Holder, Adolfy Hoisie","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
543,4110,Fast Support Vector Machines Using Parallel Adaptive Shrinking on Distributed Systems,Distributed ,"Jeyanthi Narasimhan, Abhinav Vishnu, Lawrence Holder, Adolfy Hoisie","Shi Li, Xiangyu Guo"
553,2697,Unsupervised Learning of 3D Structure from Images,Unsupervised Learning of 3D Structure from Images,"Danilo Jimenez Rezende, S. M. Ali Eslami, Shakir Mohamed, Peter Battaglia, Max Jaderberg, Nicolas Heess","Danilo Jimenez Rezende, S. M. Ali Eslami, Shakir Mohamed, Peter Battaglia, Max Jaderberg, Nicolas Heess"
612,3234,Task-based End-to-end Model Learning in Stochastic Optimization,Task-based End-to-end Model Learning in Stochastic Optimization,"Priya L. Donti, Brandon Amos, J. Zico Kolter","Priya Donti, Brandon Amos, J. Zico Kolter"
617,4317,Bayesian Nonparametric Spectral Estimation,Bayesian Nonparametric Spectral Estimation,Felipe Tobar,Felipe Tobar
619,1188,Redundancy Techniques for Straggler Mitigation in Distributed Optimization and Learning,Distributed ,"Can Karakus, Yifan Sun, Suhas Diggavi, Wotao Yin","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
619,4110,Redundancy Techniques for Straggler Mitigation in Distributed Optimization and Learning,Distributed ,"Can Karakus, Yifan Sun, Suhas Diggavi, Wotao Yin","Shi Li, Xiangyu Guo"
649,1188,Distributed Online Convex Optimization with Time-Varying Coupled Inequality Constraints,Distributed ,"Xinlei Yi, Xiuxian Li, Lihua Xie, Karl H. Johansson","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
649,4110,Distributed Online Convex Optimization with Time-Varying Coupled Inequality Constraints,Distributed ,"Xinlei Yi, Xiuxian Li, Lihua Xie, Karl H. Johansson","Shi Li, Xiangyu Guo"
655,1817,Robust Regression via Hard Thresholding,Robust Regression via Hard Thresholding,"Kush Bhatia, Prateek Jain, Purushottam Kar","Kush Bhatia, Prateek Jain, Purushottam Kar"
696,1188,subgraph2vec: Learning Distributed Representations of Rooted Sub-graphs from Large Graphs,Distributed ,"Annamalai Narayanan, Mahinthan Chandramohan, Lihui Chen, Yang Liu, Santhoshkumar Saminathan","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
696,4110,subgraph2vec: Learning Distributed Representations of Rooted Sub-graphs from Large Graphs,Distributed ,"Annamalai Narayanan, Mahinthan Chandramohan, Lihui Chen, Yang Liu, Santhoshkumar Saminathan","Shi Li, Xiangyu Guo"
719,1188,Clustering with Distributed Data,Distributed ,"Soummya Kar, Brian Swenson","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
719,1855,Clustering with Distributed Data,Fast Distributed k-Center Clustering with Outliers on Massive Data,"Soummya Kar, Brian Swenson","Gustavo Malkomes, Matt J. Kusner, Wenlin Chen, Kilian Q. Weinberger, Benjamin Moseley"
719,4110,Clustering with Distributed Data,Distributed ,"Soummya Kar, Brian Swenson","Shi Li, Xiangyu Guo"
738,3920,Not to Cry Wolf: Distantly Supervised Multitask Learning in Critical Care,Learning to Multitask,"Patrick Schwab, Emanuela Keller, Carl Muroi, David J. Mack, Christian Strssle, Walter Karlen","Yu Zhang, Ying Wei, Qiang Yang"
756,3558,Discrete Variational Autoencoders,DVAE#: Discrete Variational Autoencoders with Relaxed Boltzmann Priors,Jason Tyler Rolfe,"Arash Vahdat, Evgeny Andriyash, William Macready"
760,3716,Learn What Not to Learn: Action Elimination with Deep Reinforcement Learning,Learn What Not to Learn: Action Elimination with Deep Reinforcement Learning,"Tom Zahavy, Matan Haroush, Nadav Merlis, Daniel J. Mankowitz, Shie Mannor","Tom Zahavy, Matan Haroush, Nadav Merlis, Daniel J. Mankowitz, Shie Mannor"
788,1188,Distributed Inexact Damped Newton Method: Data Partitioning and Load-Balancing,Distributed ,"Chenxin Ma, Martin Tak?","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
788,4110,Distributed Inexact Damped Newton Method: Data Partitioning and Load-Balancing,Distributed ,"Chenxin Ma, Martin Tak?","Shi Li, Xiangyu Guo"
789,1188,Distributed Nesterov gradient methods over arbitrary graphs,Distributed ,"Ran Xin, Dusan Jakovetic, Usman A. Khan","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
789,4110,Distributed Nesterov gradient methods over arbitrary graphs,Distributed ,"Ran Xin, Dusan Jakovetic, Usman A. Khan","Shi Li, Xiangyu Guo"
818,4070,Revisiting the Nystrom Method for Improved Large-Scale Machine Learning,Revisiting ,"Alex Gittens, Michael W. Mahoney","Sofiane Dhouib, Ievgen Redko"
838,1188,A New Approach for Distributed Hypothesis Testing with Extensions to Byzantine-Resilience,Distributed ,"Aritra Mitra, John A. Richards, Shreyas Sundaram","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
838,4110,A New Approach for Distributed Hypothesis Testing with Extensions to Byzantine-Resilience,Distributed ,"Aritra Mitra, John A. Richards, Shreyas Sundaram","Shi Li, Xiangyu Guo"
852,1188,Asynchronous Distributed ADMM for Large-Scale Optimization- Part I: Algorithm and Convergence Analysis,Distributed ,"Tsung-Hui Chang, Mingyi Hong, Wei-Cheng Liao, Xiangfeng Wang","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
852,4110,Asynchronous Distributed ADMM for Large-Scale Optimization- Part I: Algorithm and Convergence Analysis,Distributed ,"Tsung-Hui Chang, Mingyi Hong, Wei-Cheng Liao, Xiangfeng Wang","Shi Li, Xiangyu Guo"
855,3732,Online Structured Laplace Approximations For Overcoming Catastrophic Forgetting,Online Structured Laplace Approximations for Overcoming Catastrophic Forgetting,"Hippolyt Ritter, Aleksandar Botev, David Barber","Hippolyt Ritter, Aleksandar Botev, David Barber"
888,3031,Multi-Objective Non-parametric Sequential Prediction,Multi-Objective Non-parametric Sequential Prediction,"Guy Uziel, Ran El-Yaniv","Guy Uziel, Ran El-Yaniv"
908,1812,Recovering communities in the general stochastic block model without knowing the parameters,Recovering Communities in the General Stochastic Block Model Without Knowing the Parameters,"Emmanuel Abbe, Colin Sandon","Emmanuel Abbe, Colin Sandon"
920,2050,Sample Complexity of Episodic Fixed-Horizon Reinforcement Learning,Sample Complexity of Episodic Fixed-Horizon Reinforcement Learning,"Christoph Dann, Emma Brunskill","Christoph Dann, Emma Brunskill"
945,1573,Active Learning and Best-Response Dynamics,Active Learning and Best-Response Dynamics,"Maria-Florina Balcan, Chris Berlind, Avrim Blum, Emma Cohen, Kaushik Patnaik, Le Song","Maria-Florina F. Balcan, Christopher Berlind, Avrim Blum, Emma Cohen, Kaushik Patnaik, Le Song"
958,3491,Multichannel Sparse Blind Deconvolution on the Sphere,Global Geometry of Multichannel Sparse Blind Deconvolution on the Sphere,"Yanjun Li, Yoram Bresler","Yanjun Li, Yoram Bresler"
1017,1623,Lipschitz Generative Adversarial Nets,Generative Adversarial Nets,"Zhiming Zhou, Jiadong Liang, Yuxuan Song, Lantao Yu, Hongwei Wang, Weinan Zhang, Yong Yu, Zhihua Zhang","Ian Goodfellow, Jean Pouget-Abadie, Mehdi Mirza, Bing Xu, David Warde-Farley, Sherjil Ozair, Aaron Courville, Yoshua Bengio"
1018,4070,Rethinking generalization requires revisiting old ideas: statistical mechanics approaches and complex learning behavior,Revisiting ,"Charles H. Martin, Michael W. Mahoney","Sofiane Dhouib, Ievgen Redko"
1033,1188,Distributed Online Learning via Cooperative Contextual Bandits,Distributed ,"Cem Tekin, Mihaela van der Schaar","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
1033,4110,Distributed Online Learning via Cooperative Contextual Bandits,Distributed ,"Cem Tekin, Mihaela van der Schaar","Shi Li, Xiangyu Guo"
1040,3455,"Do Less, Get More: Streaming Submodular Maximization with Subsampling","Do Less, Get More: Streaming Submodular Maximization with Subsampling","Moran Feldman, Amin Karbasi, Ehsan Kazemi","Moran Feldman, Amin Karbasi, Ehsan Kazemi"
1048,2870,Reliable Decision Support using Counterfactual Models,Reliable Decision Support using Counterfactual Models,"Peter Schulam, Suchi Saria","Peter Schulam, Suchi Saria"
1055,1188,Fast Distributed Deep Learning via Worker-adaptive Batch Sizing,Distributed ,"Chen Chen, Qizhen Weng, Wei Wang, Baochun Li, Bo Li","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
1055,4110,Fast Distributed Deep Learning via Worker-adaptive Batch Sizing,Distributed ,"Chen Chen, Qizhen Weng, Wei Wang, Baochun Li, Bo Li","Shi Li, Xiangyu Guo"
1066,567,Efficient Inference of Gaussian Process Modulated Renewal Processes with Application to Medical Event Data,Gaussian process modulated renewal processes,Thomas A. Lasko,"Yee W. Teh, Vinayak Rao"
1079,2637,Combining Online Learning Guarantees,Combining Adversarial Guarantees and Stochastic Fast Rates in Online Learning,Ashok Cutkosky,"Wouter M. Koolen, Peter Grnwald, Tim van Erven"
1087,3654,Moonshine: Distilling with Cheap Convolutions,Moonshine: Distilling with Cheap Convolutions,"Elliot J. Crowley, Gavin Gray, Amos Storkey","Elliot J. Crowley, Gavin Gray, Amos J. Storkey"
1089,1188,Optimal Differentially Private ADMM for Distributed Machine Learning,Distributed ,"Jiahao Ding, Yanmin Gong, Chi Zhang, Miao Pan, Zhu Han","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
1089,4110,Optimal Differentially Private ADMM for Distributed Machine Learning,Distributed ,"Jiahao Ding, Yanmin Gong, Chi Zhang, Miao Pan, Zhu Han","Shi Li, Xiangyu Guo"
1135,2592,Convolutional Neural Fabrics,Convolutional Neural Fabrics,"Shreyas Saxena, Jakob Verbeek","Shreyas Saxena, Jakob Verbeek"
1182,2129,Gradient Estimation Using Stochastic Computation Graphs,Gradient Estimation Using Stochastic Computation Graphs,"John Schulman, Nicolas Heess, Theophane Weber, Pieter Abbeel","John Schulman, Nicolas Heess, Theophane Weber, Pieter Abbeel"
1202,1099,Learning from Noisy Labels with Distillation,Learning with Noisy Labels,"Yuncheng Li, Jianchao Yang, Yale Song, Liangliang Cao, Jiebo Luo, Li-Jia Li","Nagarajan Natarajan, Inderjit S. Dhillon, Pradeep K. Ravikumar, Ambuj Tewari"
1246,4010,Banach Wasserstein GAN,Banach Wasserstein GAN,"Jonas Adler, Sebastian Lunz","Jonas Adler, Sebastian Lunz"
1247,2819,Improving Regret Bounds for Combinatorial Semi-Bandits with Probabilistically Triggered Arms and Its Applications,Improving Regret Bounds for Combinatorial Semi-Bandits with Probabilistically Triggered Arms and Its Applications,"Qinshi Wang, Wei Chen","Qinshi Wang, Wei Chen"
1254,2019,Deep Convolutional Inverse Graphics Network,Deep Convolutional Inverse Graphics Network,"Tejas D. Kulkarni, Will Whitney, Pushmeet Kohli, Joshua B. Tenenbaum","Tejas D. Kulkarni, William F. Whitney, Pushmeet Kohli, Josh Tenenbaum"
1255,4123,Deep Submodular Functions,Submodular Maximization via Gradient Ascent: The Case of Deep Submodular Functions,"Jeffrey Bilmes, Wenruo Bai","Wenruo Bai, William Stafford Noble, Jeff A. Bilmes"
1266,4070,Revisiting Natural Gradient for Deep Networks,Revisiting ,"Razvan Pascanu, Yoshua Bengio","Sofiane Dhouib, Ievgen Redko"
1267,3511,Found Graph Data and Planted Vertex Covers,Found Graph Data and Planted Vertex Covers,"Austin R. Benson, Jon Kleinberg","Austin R. Benson, Jon Kleinberg"
1274,1188,RLlib: Abstractions for Distributed Reinforcement Learning,Distributed ,"Eric Liang, Richard Liaw, Philipp Moritz, Robert Nishihara, Roy Fox, Ken Goldberg, Joseph E. Gonzalez, Michael I. Jordan, Ion Stoica","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
1274,4110,RLlib: Abstractions for Distributed Reinforcement Learning,Distributed ,"Eric Liang, Richard Liaw, Philipp Moritz, Robert Nishihara, Roy Fox, Ken Goldberg, Joseph E. Gonzalez, Michael I. Jordan, Ion Stoica","Shi Li, Xiangyu Guo"
1296,3741,Lipschitz regularity of deep neural networks: analysis and efficient estimation,Lipschitz regularity of deep neural networks: analysis and efficient estimation,"Kevin Scaman, Aladin Virmaux","Aladin Virmaux, Kevin Scaman"
1301,1188,Distributed Cartesian Power Graph Segmentation for Graphon Estimation,Distributed ,"Shitong Wei, Oscar Hernan Madrid-Padilla, James Sharpnack","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
1301,4110,Distributed Cartesian Power Graph Segmentation for Graphon Estimation,Distributed ,"Shitong Wei, Oscar Hernan Madrid-Padilla, James Sharpnack","Shi Li, Xiangyu Guo"
1309,3814,PG-TS: Improved Thompson Sampling for Logistic Contextual Bandits,PG-TS: Improved Thompson Sampling for Logistic Contextual Bandits,"Bianca Dumitrascu, Karen Feng, Barbara E Engelhardt","Bianca Dumitrascu, Karen Feng, Barbara Engelhardt"
1319,1188,Distributed Stochastic Optimization of the Regularized Risk,Distributed ,"Shin Matsushima, Hyokun Yun, Xinhua Zhang, S. V. N. Vishwanathan","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
1319,4110,Distributed Stochastic Optimization of the Regularized Risk,Distributed ,"Shin Matsushima, Hyokun Yun, Xinhua Zhang, S. V. N. Vishwanathan","Shi Li, Xiangyu Guo"
1337,2442,Finite Sample Prediction and Recovery Bounds for Ordinal Embedding,Finite Sample Prediction and Recovery Bounds for Ordinal Embedding,"Lalit Jain, Kevin Jamieson, Robert Nowak","Lalit Jain, Kevin G. Jamieson, Rob Nowak"
1339,1188,Data-driven root-cause analysis for distributed system anomalies,Distributed ,"Chao Liu, Kin Gwn Lore, Soumik Sarkar","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
1339,4110,Data-driven root-cause analysis for distributed system anomalies,Distributed ,"Chao Liu, Kin Gwn Lore, Soumik Sarkar","Shi Li, Xiangyu Guo"
1353,297,Penalty Decomposition Methods for Rank Minimization,Penalty Decomposition Methods for Rank Minimization,"Zhaosong Lu, Yong Zhang","Yong Zhang, Zhaosong Lu"
1362,350,Generalized Beta Mixtures of Gaussians,Generalized Beta Mixtures of Gaussians,"Artin Armagan, David B. Dunson, Merlise Clyde","Artin Armagan, Merlise Clyde, David B. Dunson"
1390,881,Augment-and-Conquer Negative Binomial Processes,Augment-and-Conquer Negative Binomial Processes,"Mingyuan Zhou, Lawrence Carin","Mingyuan Zhou, Lawrence Carin"
1406,1188,Tweet2Vec: Character-Based Distributed Representations for Social Media,Distributed ,"Bhuwan Dhingra, Zhong Zhou, Dylan Fitzpatrick, Michael Muehl, William W. Cohen","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
1406,4110,Tweet2Vec: Character-Based Distributed Representations for Social Media,Distributed ,"Bhuwan Dhingra, Zhong Zhou, Dylan Fitzpatrick, Michael Muehl, William W. Cohen","Shi Li, Xiangyu Guo"
1412,3070,Diving into the shallows: a computational perspective on large-scale shallow learning,Diving into the shallows: a computational perspective on large-scale shallow learning,"Siyuan Ma, Mikhail Belkin","SIYUAN MA, Mikhail Belkin"
1436,779,Nonparametric Reduced Rank Regression,Nonparametric Reduced Rank Regression,"Rina Foygel, Michael Horrell, Mathias Drton, John Lafferty","Rina Foygel, Michael Horrell, Mathias Drton, John D. Lafferty"
1480,3494,Synthesized Policies for Transfer and Adaptation across Tasks and Environments,Synthesized Policies for Transfer and Adaptation across Tasks and Environments,"Hexiang Hu, Liyu Chen, Boqing Gong, Fei Sha","Hexiang Hu, Liyu Chen, Boqing Gong, Fei Sha"
1526,1954,COEVOLVE: A Joint Point Process Model for Information Diffusion and Network Co-evolution,COEVOLVE: A Joint Point Process Model for Information Diffusion and Network Co-evolution,"Mehrdad Farajtabar, Yichen Wang, Manuel Gomez Rodriguez, Shuang Li, Hongyuan Zha, Le Song","Mehrdad Farajtabar, Yichen Wang, Manuel Gomez Rodriguez, Shuang Li, Hongyuan Zha, Le Song"
1541,3801,Transfer Learning from Speaker Verification to Multispeaker Text-To-Speech Synthesis,Transfer Learning from Speaker Verification to Multispeaker Text-To-Speech Synthesis,"Ye Jia, Yu Zhang, Ron J. Weiss, Quan Wang, Jonathan Shen, Fei Ren, Zhifeng Chen, Patrick Nguyen, Ruoming Pang, Ignacio Lopez Moreno, Yonghui Wu","Ye Jia, Yu Zhang, Ron Weiss, Quan Wang, Jonathan Shen, Fei Ren, zhifeng Chen, Patrick Nguyen, Ruoming Pang, Ignacio Lopez Moreno, Yonghui Wu"
1557,1188,Distributed Power Control for Large Energy Harvesting Networks: A Multi-Agent Deep Reinforcement Learning Approach,Distributed ,"Mohit K. Sharma, Alessio Zappone, Mohamad Assaad, Merouane Debbah, Spyridon Vassilaras","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
1557,4110,Distributed Power Control for Large Energy Harvesting Networks: A Multi-Agent Deep Reinforcement Learning Approach,Distributed ,"Mohit K. Sharma, Alessio Zappone, Mohamad Assaad, Merouane Debbah, Spyridon Vassilaras","Shi Li, Xiangyu Guo"
1584,1188,Ensemble Pruning based on Objection Maximization with a General Distributed Framework,Distributed ,"Yijun Bian, Yijun Wang, Yaqiang Yao, Huanhuan Chen","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
1584,4110,Ensemble Pruning based on Objection Maximization with a General Distributed Framework,Distributed ,"Yijun Bian, Yijun Wang, Yaqiang Yao, Huanhuan Chen","Shi Li, Xiangyu Guo"
1588,3335,Towards Generalization and Simplicity in Continuous Control,Towards Generalization and Simplicity in Continuous Control,"Aravind Rajeswaran, Kendall Lowrey, Emanuel Todorov, Sham Kakade","Aravind Rajeswaran, Kendall Lowrey, Emanuel V. Todorov, Sham M. Kakade"
1589,1188,Variance Reduction for Distributed Stochastic Gradient Descent,Distributed ,"Soham De, Gavin Taylor, Tom Goldstein","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
1589,4110,Variance Reduction for Distributed Stochastic Gradient Descent,Distributed ,"Soham De, Gavin Taylor, Tom Goldstein","Shi Li, Xiangyu Guo"
1660,10,CSAL: Self-adaptive Labeling based Clustering Integrating Supervised Learning on Unlabeled Data,Supervised Clustering,"Fangfang Li, Guandong Xu, Longbing Cao","Pranjal Awasthi, Reza B. Zadeh"
1668,2675,Supervised learning with generalized tensor networks,Supervised Learning with Tensor Networks,"Ivan Glasser, Nicola Pancotti, J. Ignacio Cirac","Edwin Stoudenmire, David J. Schwab"
1711,4269,Optimal Algorithms for Continuous Non-monotone Submodular and DR-Submodular Maximization,Optimal Algorithms for Continuous Non-monotone Submodular and DR-Submodular Maximization,"Rad Niazadeh, Tim Roughgarden, Joshua R. Wang","Rad Niazadeh, Tim Roughgarden, Joshua Wang"
1725,2043,Efficient and Parsimonious Agnostic Active Learning,Efficient and Parsimonious Agnostic Active Learning,"Tzu-Kuo Huang, Alekh Agarwal, Daniel J. Hsu, John Langford, Robert E. Schapire","Tzu-Kuo Huang, Alekh Agarwal, Daniel J. Hsu, John Langford, Robert E. Schapire"
1726,3613,World Models,Recurrent World Models Facilitate Policy Evolution,"David Ha, Jrgen Schmidhuber","David Ha, Jrgen Schmidhuber"
1730,3200,Efficient Modeling of Latent Information in Supervised Learning using Gaussian Processes,Efficient Modeling of Latent Information in Supervised Learning using Gaussian Processes,"Zhenwen Dai, Mauricio A. lvarez, Neil D. Lawrence","Zhenwen Dai, Mauricio lvarez, Neil Lawrence"
1750,3510,Generative Neural Machine Translation,Generative Neural Machine Translation,"Harshil Shah, David Barber","Harshil Shah, David Barber"
1762,1188,Parallel and Distributed Thompson Sampling for Large-scale Accelerated Exploration of Chemical Space,Distributed ,"Jos Miguel Hernndez-Lobato, James Requeima, Edward O. Pyzer-Knapp, Aln Aspuru-Guzik","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
1762,4110,Parallel and Distributed Thompson Sampling for Large-scale Accelerated Exploration of Chemical Space,Distributed ,"Jos Miguel Hernndez-Lobato, James Requeima, Edward O. Pyzer-Knapp, Aln Aspuru-Guzik","Shi Li, Xiangyu Guo"
1781,1182,High Dimensional Robust Sparse Regression,Robust Sparse Principal Component Regression under the High Dimensional Elliptical Model,"Liu Liu, Yanyao Shen, Tianyang Li, Constantine Caramanis","Fang Han, Han Liu"
1786,3471,Uncertainty-Aware Attention for Reliable Interpretation and Prediction,Uncertainty-Aware Attention for Reliable Interpretation and Prediction,"Jay Heo, Hae Beom Lee, Saehoon Kim, Juho Lee, Kwang Joon Kim, Eunho Yang, Sung Ju Hwang","Jay Heo, Hae Beom Lee, Saehoon Kim, Juho Lee, Kwang Joon Kim, Eunho Yang, Sung Ju Hwang"
1831,3306,A PAC-Bayesian Approach to Spectrally-Normalized Margin Bounds for Neural Networks,Spectrally-normalized margin bounds for neural networks,"Behnam Neyshabur, Srinadh Bhojanapalli, Nathan Srebro","Peter L. Bartlett, Dylan J. Foster, Matus J. Telgarsky"
1836,1961,ST-GAN: Spatial Transformer Generative Adversarial Networks for Image Compositing,Spatial Transformer Networks,"Chen-Hsuan Lin, Ersin Yumer, Oliver Wang, Eli Shechtman, Simon Lucey","Max Jaderberg, Karen Simonyan, Andrew Zisserman, koray kavukcuoglu"
