ID,Title,Authors,Date,Journal-ref
13,Convolutional Neural Network on Semi-Regular Triangulated Meshes and its Application to Brain Image Data,"Caoqiang Liu, Hui Ji, Anqi Qiu","26 March, 2019",
14,Spectral Methods for Nonparametric Models,"Hsiao-Yu Fish Tung, Chao-Yuan Wu, Manzil Zaheer, Alexander J. Smola","30 March, 2017",
15,Nearly Minimax-Optimal Regret for Linearly Parameterized Bandits,"Yingkai Li, Yining Wang, Yuan Zhou","30 March, 2019",
16,An Efficient ADMM Algorithm for Structural Break Detection in Multivariate Time Series,"Alex Tank, Emily B. Fox, Ali Shojaie","25 June, 2018",
17,SGD and Hogwild! Convergence Without the Bounded Gradients Assumption,"Lam M. Nguyen, Phuong Ha Nguyen, Marten van Dijk, Peter Richtrik, Katya Scheinberg, Martin Tak?","8 June, 2018","Proceedings of the 35th International Conference on Machine Learning, PMLR 80:3747-3755, 2018"
18,An Empirical Evaluation of Similarity Measures for Time Series Classification,"Joan Serr, Josep Lluis Arcos","16 January, 2014","Knowledge-Based Systems 67: 305-314, 2014"
19,Lyapunov stochastic stability and control of robust dynamic coalitional games with transferable utilities,"Dario Bauso, Puduru Viswanadha Reddy, Tamer Basar","23 April, 2012",
20,Subspace Network: Deep Multi-Task Censored Regression for Modeling Neurodegenerative Diseases,"Mengying Sun, Inci M. Baytas, Liang Zhan, Zhangyang Wang, Jiayu Zhou","28 February, 2018",
21,Difficulties applying recent blind source separation techniques to EEG and MEG,Kevin H. Knuth,"21 January, 2015",
22,Randomized algorithms for statistical image analysis and site percolation on square lattices,"Mikhail A. Langovoy, Olaf Wittich","24 February, 2011",
23,Supervised Dimensionality Reduction via Distance Correlation Maximization,"Praneeth Vepakomma, Chetan Tonde, Ahmed Elgammal","2 January, 2016",
24,Structured Adversarial Attack: Towards General Implementation and Better Interpretability,"Kaidi Xu, Sijia Liu, Pu Zhao, Pin-Yu Chen, Huan Zhang, Quanfu Fan, Deniz Erdogmus, Yanzhi Wang, Xue Lin","19 February, 2019",
25,Effective Discriminative Feature Selection with Non-trivial Solutions,"Hong Tao, Chenping Hou, Feiping Nie, Yuanyuan Jiao, Dongyun Yi","21 April, 2015",
26,Modeling default rate in P2P lending via LSTM,"Yan Wang, Xuelei Sherry Ni","13 February, 2019",
27,Stochastic Gradient Descent as Approximate Bayesian Inference,"Stephan Mandt, Matthew D. Hoffman, David M. Blei","19 January, 2018",Journal of Machine Learning Research 18 (2017) 1-35
28,DRAW: A Recurrent Neural Network For Image Generation,"Karol Gregor, Ivo Danihelka, Alex Graves, Danilo Jimenez Rezende, Daan Wierstra","20 May, 2015",
29,Robust Wirtinger Flow for Phase Retrieval with Arbitrary Corruption,"Jinghui Chen, Lingxiao Wang, Xiao Zhang, Quanquan Gu","3 January, 2018",
30,Community Detection with Node Attributes and its Generalization,Yuan Li,"12 April, 2016",
31,SGD without Replacement: Sharper Rates for General Smooth Convex Functions,"Prateek Jain, Dheeraj Nagaraj, Praneeth Netrapalli","4 March, 2019",
32,A Minimax Theory for Adaptive Data Analysis,"Yu-Xiang Wang, Jing Lei, Stephen E. Fienberg","12 February, 2016",
33,Adaptive stochastic gradient algorithms on Riemannian manifolds,"Hiroyuki Kasai, Pratik Jawanpuria, Bamdev Mishra","4 February, 2019",
34,Domain Randomization and Generative Models for Robotic Grasping,"Joshua Tobin, Lukas Biewald, Rocky Duan, Marcin Andrychowicz, Ankur Handa, Vikash Kumar, Bob McGrew, Jonas Schneider, Peter Welinder, Wojciech Zaremba, Pieter Abbeel","3 April, 2018",
35,Building Disease Detection Algorithms with Very Small Numbers of Positive Samples,"Ken C. L. Wong, Alexandros Karargyris, Tanveer Syeda-Mahmood, Mehdi Moradi","7 May, 2018",
36,Proceedings of NeurIPS 2018 Workshop on Machine Learning for the Developing World: Achieving Sustainable Impact,"Maria De-Arteaga, Amanda Coston, William Herlands","18 February, 2019",
37,Correlation Clustering with Low-Rank Matrices,"Nate Veldt, Anthony Wirth, David F. Gleich","17 March, 2017",
38,Learning the Localization Function: Machine Learning Approach to Fingerprinting Localization,"Linchen Xiao, Arash Behboodi, Rudolf Mathar","21 March, 2018",
39,Outperforming Word2Vec on Analogy Tasks with Random Projections,"Abram Demski, Volkan Ustun, Paul Rosenbloom, Cody Kommers","17 February, 2015",
40,Online Pandora's Boxes and Bandits,"Hossein Esfandiari, MohammadTaghi Hajiaghayi, Brendan Lucier, Michael Mitzenmacher","30 January, 2019",
41,Introduction to Graphical Modelling,"Marco Scutari, Korbinian Strimmer","28 June, 2011",
42,Functional Regularisation for Continual Learning using Gaussian Processes,"Michalis K. Titsias, Jonathan Schwarz, Alexander G. de G. Matthews, Razvan Pascanu, Yee Whye Teh","31 January, 2019",
43,A Deep Q-Learning Agent for the L-Game with Variable Batch Training,"Petros Giannakopoulos, Yannis Cotronis","17 February, 2018",
44,Noise-adding Methods of Saliency Map as Series of Higher Order Partial Derivative,"Junghoon Seo, Jeongyeol Choe, Jamyoung Koo, Seunghyeon Jeon, Beomsu Kim, Taegyun Jeon","8 June, 2018",
45,Deep Neural Nets with Interpolating Function as Output Activation,"Bao Wang, Xiyang Luo, Zhen Li, Wei Zhu, Zuoqiang Shi, Stanley J. Osher","16 June, 2018",
46,Benchmarks for Image Classification and Other High-dimensional Pattern Recognition Problems,"Tarun Yellamraju, Jonas Hepp, Mireille Boutin","13 June, 2018",
47,Comparison Based Learning from Weak Oracles,"Ehsan Kazemi, Lin Chen, Sanjoy Dasgupta, Amin Karbasi","19 February, 2018",
48,Sifting Common Information from Many Variables,"Greg Ver Steeg, Shuyang Gao, Kyle Reing, Aram Galstyan","16 June, 2017",
49,Transferring Knowledge Fragments for Learning Distance Metric from A Heterogeneous Domain,"Yong Luo, Yonggang Wen, Tongliang Liu, Dacheng Tao","8 April, 2019","IEEE Transactions on Pattern Analysis and Machine Intelligence (Volume: 41, Issue: 4, April 1 2019)"
50,Sample complexity of population recovery,"Yury Polyanskiy, Ananda Theertha Suresh, Yihong Wu","4 June, 2017",
51,Kitsune: An Ensemble of Autoencoders for Online Network Intrusion Detection,"Yisroel Mirsky, Tomer Doitshman, Yuval Elovici, Asaf Shabtai","27 May, 2018",
52,RPA: Probabilistic analysis of probe performance and robust summarization,"Leo Lahti, Laura L. Elo, Tero Aittokallio, Samuel Kaski","6 April, 2013",
53,Kalman Temporal Differences,"Matthieu Geist, Olivier Pietquin","16 January, 2014","Journal Of Artificial Intelligence Research, Volume 39, pages 483-532, 2010"
54,Enriching Word Vectors with Subword Information,"Piotr Bojanowski, Edouard Grave, Armand Joulin, Tomas Mikolov","19 June, 2017",
55,Differentially Private Fair Learning,"Matthew Jagielski, Michael Kearns, Jieming Mao, Alina Oprea, Aaron Roth, Saeed Sharifi-Malvajerdi, Jonathan Ullman","5 February, 2019",
56,VoiceLoop: Voice Fitting and Synthesis via a Phonological Loop,"Yaniv Taigman, Lior Wolf, Adam Polyak, Eliya Nachmani","1 February, 2018",
57,Thresholded Basis Pursuit: An LP Algorithm for Achieving Optimal Support Recovery for Sparse and Approximately Sparse Signals from Noisy Random Measurements,"V. Saligrama, M. Zhao","8 May, 2010",
58,Community Recovery in Graphs with Locality,"Yuxin Chen, Govinda Kamath, Changho Suh, David Tse","1 June, 2016",
59,Hardware Conditioned Policies for Multi-Robot Transfer Learning,"Tao Chen, Adithyavairavan Murali, Abhinav Gupta","12 January, 2019",
60,Dynamic Online Gradient Descent with Improved Query Complexity: A Theoretical Revisit,"Yawei Zhao, En Zhu, Xinwang Liu, Jianping Yin","8 January, 2019",
61,Stochastic Gradient Hamiltonian Monte Carlo with Variance Reduction for Bayesian Inference,"Zhize Li, Tianyi Zhang, Shuyu Cheng, Jun Zhu, Jian Li","26 January, 2019",
62,Safe end-to-end imitation learning for model predictive control,"Keuntaek Lee, Kamil Saigol, Evangelos A. Theodorou","14 February, 2019",
63,A Direct Sum Result for the Information Complexity of Learning,"Ido Nachum, Jonathan Shafer, Amir Yehudayoff","15 April, 2018",
64,Learning Hash Function through Codewords,"Yinjie Huang, Michael Georgiopoulos, Georgios C. Anagnostopoulos","22 February, 2019",
65,Deep Epitomic Convolutional Neural Networks,George Papandreou,"10 June, 2014",
66,Policy Evaluation and Optimization with Continuous Treatments,"Nathan Kallus, Angela Zhou","16 February, 2018",
67,Texygen: A Benchmarking Platform for Text Generation Models,"Yaoming Zhu, Sidi Lu, Lei Zheng, Jiaxian Guo, Weinan Zhang, Jun Wang, Yong Yu","6 February, 2018",
68,Robust subspace clustering,"Mahdi Soltanolkotabi, Ehsan Elhamifar, Emmanuel J. Cands","23 May, 2014","Annals of Statistics 2014, Vol. 42, No. 2, 669-699"
69,An Online Hierarchical Algorithm for Extreme Clustering,"Ari Kobren, Nicholas Monath, Akshay Krishnamurthy, Andrew McCallum","6 April, 2017",
70,Grounded Language Learning in a Simulated 3D World,"Karl Moritz Hermann, Felix Hill, Simon Green, Fumin Wang, Ryan Faulkner, Hubert Soyer, David Szepesvari, Wojciech Marian Czarnecki, Max Jaderberg, Denis Teplyashin, Marcus Wainwright, Chris Apps, Demis Hassabis, Phil Blunsom","26 June, 2017",
71,Learning and Policy Search in Stochastic Dynamical Systems with Bayesian Neural Networks,"Stefan Depeweg, Jos Miguel Hernndez-Lobato, Finale Doshi-Velez, Steffen Udluft","7 March, 2017",
72,Adversarial Deep Learning in EEG Biometrics,"Ozan Ozdenizci, Ye Wang, Toshiaki Koike-Akino, Deniz Erdogmus","27 March, 2019","IEEE Signal Processing Letters, 2019"
73,FineGAN: Unsupervised Hierarchical Disentanglement for Fine-Grained Object Generation and Discovery,"Krishna Kumar Singh, Utkarsh Ojha, Yong Jae Lee","9 April, 2019",CVPR 2019 (Oral Presentation)
74,A review of mean-shift algorithms for clustering,Miguel . Carreira-Perpin,"2 March, 2015",
75,Automated Search for Configurations of Deep Neural Network Architectures,"Salah Ghamizi, Maxime Cordy, Mike Papadakis, Yves Le Traon","9 April, 2019",
76,An Analysis of Two Common Reference Points for EEGs,"Silvia Lopez, Aaron Gross, Scott Yang, Meysam Golmohammadi, Iyad Obeid, Joseph Picone","2 January, 2018","S. Lopez, A. Gross, S. Yang, M. Golmohammadi, I. Obeid and J. Picone, ""An analysis of two common reference points for EEGS,"" 2016 IEEE Signal Processing in Medicine and Biology Symposium (SPMB), Philadelphia, PA, 2016, pp. 1-5"
77,Combinatorial Pure Exploration with Continuous and Separable Reward Functions and Its Applications (Extended Version),"Weiran Huang, Jungseul Ok, Liang Li, Wei Chen","4 May, 2018",
78,A Unified Perspective on Multi-Domain and Multi-Task Learning,"Yongxin Yang, Timothy M. Hospedales","26 March, 2015",
79,GraphConnect: A Regularization Framework for Neural Networks,"Jiaji Huang, Qiang Qiu, Robert Calderbank, Guillermo Sapiro","26 January, 2016",
80,End-to-end weakly-supervised semantic alignment,"Ignacio Rocco, Relja Arandjelovi?, Josef Sivic","24 April, 2018",
81,Gradient of Probability Density Functions based Contrasts for Blind Source Separation (BSS),Dharmani Bhaveshkumar C,"10 April, 2015",
82,Comparing two deep learning sequence-based models for protein-protein interaction prediction,"Florian Richoux, Charlne Servantie, Cynthia Bors, Stphane Tletcha","14 January, 2019",
83,A Data-Centric Approach for Modeling and Estimating Efficiency of Dataflows for Accelerator Design,"Hyoukjun Kwon, Prasanth Chatarasi, Michael Pellauer, Vivek Sarkar, Tushar Krishna","4 February, 2019",
84,A Unifying Bayesian View of Continual Learning,"Sebastian Farquhar, Yarin Gal","18 February, 2019",
85,Stacked Generative Adversarial Networks,"Xun Huang, Yixuan Li, Omid Poursaeed, John Hopcroft, Serge Belongie","12 April, 2017",
86,An Improved EM algorithm,Fuqiang Chen,"3 May, 2013",
87,Variational Inference for Background Subtraction in Infrared Imagery,"Konstantinos Makantasis, Anastasios Doulamis, Nikolaos Doulamis","29 June, 2015",
88,Interpretable Aircraft Engine Diagnostic via Expert Indicator Aggregation,"Tsirizo Rabenoro, Jrme Lacaille, Marie Cottrell, Fabrice Rossi","18 March, 2015","Transactions on Machine Learning and Data Mining, 2014, 7 (2), pp.39-64"
89,The Anisotropic Noise in Stochastic Gradient Descent: Its Behavior of Escaping from Minima and Regularization Effects,"Zhanxing Zhu, Jingfeng Wu, Bing Yu, Lei Wu, Jinwen Ma","21 May, 2018",
90,Image Retrieval using Histogram Factorization and Contextual Similarity Learning,Liu Liang,"9 April, 2013",
91,Learning Compositional Visual Concepts with Mutual Consistency,"Yunye Gong, Srikrishna Karanam, Ziyan Wu, Kuan-Chuan Peng, Jan Ernst, Peter C. Doerschuk","28 March, 2018",
92,Deep Learning for Time-Series Analysis,John Cristian Borges Gamboa,"7 January, 2017",
93,Human Activity Recognition using Recurrent Neural Networks,"Deepika Singh, Erinc Merdivan, Ismini Psychoula, Johannes Kropf, Sten Hanke, Matthieu Geist, Andreas Holzinger","19 April, 2018",International Cross-Domain Conference for Machine Learning and Knowledge Extraction: CD-MAKE 2017
94,Sequential Skip Prediction with Few-shot in Streamed Music Contents,"Sungkyun Chang, Seungjin Lee, Kyogu Lee","23 January, 2019",
95,Semi-parametric Network Structure Discovery Models,"Amir Dezfouli, Edwin V. Bonilla, Richard Nock","27 February, 2017",
96,Clustering processes,Daniil Ryabko,"30 April, 2013",27th International Conference on Machine Learning (2010) 919-926
97,Adversarial Semi-Supervised Audio Source Separation applied to Singing Voice Extraction,"Daniel Stoller, Sebastian Ewert, Simon Dixon","6 April, 2018",
98,Regularization Parameter Selection for a Bayesian Multi-Level Group Lasso Regression Model with Application to Imaging Genomics,"Farouk S. Nathoo, Keelin Greenlaw, Mary Lesperance","26 March, 2016",
99,Deep Learning for Genomics: A Concise Overview,"Tianwei Yue, Haohan Wang","8 May, 2018",
100,Bounds on the Bethe Free Energy for Gaussian Networks,"Botond Cseke, Tom Heskes","13 June, 2012",
101,Active Learning for Decision-Making from Imbalanced Observational Data,"Iiris Sundin, Peter Schulam, Eero Siivola, Aki Vehtari, Suchi Saria, Samuel Kaski","10 April, 2019",
102,Unregularized Online Learning Algorithms with General Loss Functions,"Yiming Ying, Ding-Xuan Zhou","26 April, 2015",
103,Sensor Fusion for Robot Control through Deep Reinforcement Learning,"Steven Bohez, Tim Verbelen, Elias De Coninck, Bert Vankeirsbilck, Pieter Simoens, Bart Dhoedt","13 March, 2017",
104,Learning a Generative Model of Cancer Metastasis,"Benjamin Kompa, Beau Coker","17 January, 2019",
105,Stochastic Variance Reduction for Nonconvex Optimization,"Sashank J. Reddi, Ahmed Hefny, Suvrit Sra, Barnabas Poczos, Alex Smola","4 April, 2016",
106,Stochastic Variance Reduction Methods for Policy Evaluation,"Simon S. Du, Jianshu Chen, Lihong Li, Lin Xiao, Dengyong Zhou","9 June, 2017",
107,Breaking Transferability of Adversarial Samples with Randomness,"Yan Zhou, Murat Kantarcioglu, Bowei Xi","17 June, 2018",
108,Rethinking the Value of Network Pruning,"Zhuang Liu, Mingjie Sun, Tinghui Zhou, Gao Huang, Trevor Darrell","5 March, 2019",
109,GanDef: A GAN based Adversarial Training Defense for Neural Network Classifier,"Guanxiong Liu, Issa Khalil, Abdallah Khreishah","6 March, 2019",
110,Fast Power system security analysis with Guided Dropout,"Benjamin Donnot, Isabelle Guyon, Marc Schoenauer, Antoine Marot, Patrick Panciatici","30 January, 2018",
111,TrIK-SVM : an alternative decomposition for kernel methods in Krein spaces,Galle Loosli,"27 February, 2019",
112,Direct Feedback Alignment with Sparse Connections for Local Learning,"Brian Crafton, Abhinav Parihar, Evan Gebhardt, Arijit Raychowdhury","30 January, 2019",
113,Generative Adversarial Classifier for Handwriting Characters Super-Resolution,"Zhuang Qian, Kaizhu Huang, Qiufeng Wang, Jimin Xiao, Rui Zhang","18 January, 2019",
114,Truncated Gaussian-Mixture Variational AutoEncoder,"Qingyu Zhao, Nicolas Honnorat, Ehsan Adeli, Kilian M. Pohl","8 March, 2019",
115,Mining within-trial oscillatory brain dynamics to address the variability of optimized spatial filters,"Andreas Meinel, Henrich Kolkhorst, Michael Tangermann","21 January, 2019",
116,GumBolt: Extending Gumbel trick to Boltzmann priors,"Amir H. Khoshaman, Mohammad H. Amin","1 March, 2019",
117,Learning Distributed Representations from Reviews for Collaborative Filtering,"Amjad Almahairi, Kyle Kastner, Kyunghyun Cho, Aaron Courville","18 June, 2018",
118,A Dataset of Laryngeal Endoscopic Images with Comparative Study on Convolution Neural Network Based Semantic Segmentation,"Max-Heinrich Laves, Jens Bicker, Lder A. Kahrs, Tobias Ortmaier","5 January, 2019",
119,Jitter-Adaptive Dictionary Learning - Application to Multi-Trial Neuroelectric Signals,"Sebastian Hitziger, Maureen Clerc, Alexandre Gramfort, Sandrine Saillet, Christian Bnar, Thodore Papadopoulo","24 June, 2013",
120,Posterior contraction of the population polytope in finite admixture models,XuanLong Nguyen,"15 April, 2015","Bernoulli 2015, Vol. 21, No. 1, 618-646"
121,Dynamic Trees: A Structured Variational Method Giving Efficient Propagation Rules,Amos J. Storkey,"16 January, 2013",
122,Zero-Shot Relation Extraction via Reading Comprehension,"Omer Levy, Minjoon Seo, Eunsol Choi, Luke Zettlemoyer","13 June, 2017",
123,State Representation Learning for Control: An Overview,"Timothe Lesort, Natalia Daz-Rodrguez, Jean-Franois Goudou, David Filliat","5 June, 2018",
124,Learning Steerable Filters for Rotation Equivariant CNNs,"Maurice Weiler, Fred A. Hamprecht, Martin Storath","19 March, 2018",
125,Censored Quantile Regression Forests,"Alexander Hanbo Li, Jelena Bradic","8 February, 2019",
126,ODIN: ODE-Informed Regression for Parameter and State Inference in Time-Continuous Dynamical Systems,"Philippe Wenk, Gabriele Abbati, Stefan Bauer, Michael A Osborne, Andreas Krause, Bernhard Schlkopf","17 February, 2019",
127,Provably Minimally-Distorted Adversarial Examples,"Nicholas Carlini, Guy Katz, Clark Barrett, David L. Dill","20 February, 2018",
128,Multi-velocity neural networks for gesture recognition in videos,"Otkrist Gupta, Dan Raviv, Ramesh Raskar","22 March, 2016",
129,Large Margin Boltzmann Machines and Large Margin Sigmoid Belief Networks,"Xu Miao, Rajesh P. N. Rao","24 March, 2010",
130,A Linear Dynamical System Model for Text,"David Belanger, Sham Kakade","31 May, 2015",
131,Hierarchical Subquery Evaluation for Active Learning on a Graph,"Oisin Mac Aodha, Neill D. F. Campbell, Jan Kautz, Gabriel J. Brostow","30 April, 2015",
132,Discovering patterns of online popularity from time series,"Mert Ozer, Anna Sapienza, Andrs Abeliuk, Goran Muric, Emilio Ferrara","9 April, 2019",
133,Adversarial Influence Maximization,"Justin Khim, Varun Jog, Po-Ling Loh","19 January, 2019",
134,Optimized Structured Sparse Sensing Matrices for Compressive Sensing,"Tao Hong, Xiao Li, Zhihui Zhu, Qiuwei Li","5 February, 2019",
135,Gaussian Process Models for HRTF based Sound-Source Localization and Active-Learning,"Yuancheng Luo, Dmitry N. Zotkin, Ramani Duraiswami","10 February, 2015",
136,A Review of Audio Features and Statistical Models Exploited for Voice Pattern Design,"Ngoc Q. K. Duong, Hien-Thanh Duong","24 February, 2015",
137,Graph Convolutional Neural Networks for Web-Scale Recommender Systems,"Rex Ying, Ruining He, Kaifeng Chen, Pong Eksombatchai, William L. Hamilton, Jure Leskovec","5 June, 2018",
138,Intra- and Inter-epoch Temporal Context Network (IITNet) for Automatic Sleep Stage Scoring,"Seunghyeok Back, Seongju Lee, Hogeon Seo, Deokhwan Park, Tae Kim, Kyoobin Lee","18 February, 2019",
139,Investigating Label Noise Sensitivity of Convolutional Neural Networks for Fine Grained Audio Signal Labelling,"Rainer Kelz, Gerhard Widmer","28 May, 2018",
140,Neural networks based EEG-Speech Models,"Pengfei Sun, Jun Qin","31 March, 2017",
141,Automated Segmentation of Knee MRI Using Hierarchical Classifiers and Just Enough Interaction Based Learning: Data from Osteoarthritis Initiative,"Satyananda Kashyap, Ipek Oguz, Honghai Zhang, Milan Sonka","10 March, 2019",Med Image Comput Comput Assist Interv. 2016 Oct;9901:344-351. doi: 10.1007/978-3-319-46723-8_40. Epub 2016 Oct 2
142,Optimizing Memory Efficiency for Convolution Kernels on Kepler GPUs,"Xiaoming Chen, Jianxu Chen, Danny Z. Chen, Xiaobo Sharon Hu","29 May, 2017",
143,Recognizing Multi-talker Speech with Permutation Invariant Training,"Dong Yu, Xuankai Chang, Yanmin Qian","19 June, 2017",
144,We Are Not Your Real Parents: Telling Causal from Confounded using MDL,"David Kaltenpoth, Jilles Vreeken","21 January, 2019",
145,Deep Learning for Anomaly Detection: A Survey,"Raghavendra Chalapathy, Sanjay Chawla","23 January, 2019",
146,Inference-less Density Estimation using Copula Bayesian Networks,Gal Elidan,"15 March, 2012",
147,WHAI: Weibull Hybrid Autoencoding Inference for Deep Topic Modeling,"Hao Zhang, Bo Chen, Dandan Guo, Mingyuan Zhou","4 March, 2018",
148,Online Learning for Distribution-Free Prediction,"Dave Zachariah, Petre Stoica, Thomas B. Schn","15 March, 2017",
149,Learning to Collaborate for User-Controlled Privacy,"Martin Bertran, Natalia Martinez, Afroditi Papadaki, Qiang Qiu, Miguel Rodrigues, Guillermo Sapiro","18 May, 2018",
150,Quantile Regression for Large-scale Applications,"Jiyan Yang, Xiangrui Meng, Michael W. Mahoney","6 January, 2014",
151,Event-based Vision meets Deep Learning on Steering Prediction for Self-driving Cars,"Ana I. Maqueda, Antonio Loquercio, Guillermo Gallego, Narciso Garcia, Davide Scaramuzza","4 April, 2018","IEEE Conference on Computer Vision and Pattern Recognition (CVPR), Salt Lake City, 2018"
152,Learning Disordered Topological Phases by Statistical Recovery of Symmetry,"Nobuyuki Yoshioka, Yutaka Akagi, Hosho Katsura","28 April, 2018",
153,Poincar Wasserstein Autoencoder,Ivan Ovinnikov,"5 January, 2019",Bayesian Deep Learning Workshop (NeurIPS 2018)
154,Statistical Decision Making for Optimal Budget Allocation in Crowd Labeling,"Xi Chen, Qihang Lin, Dengyong Zhou","24 April, 2014",
155,"VC Classes are Adversarially Robustly Learnable, but Only Improperly","Omar Montasser, Steve Hanneke, Nathan Srebro","11 February, 2019",
156,"$l_{2,p}$ Matrix Norm and Its Application in Feature Selection","Liping Wang, Songcan Chen","16 March, 2013",
157,Effective Use of Word Order for Text Categorization with Convolutional Neural Networks,"Rie Johnson, Tong Zhang","26 March, 2015",
158,Recycling Randomness with Structure for Sublinear time Kernel Expansions,"Krzysztof Choromanski, Vikas Sindhwani","29 May, 2016",
159,Resting state brain networks from EEG: Hidden Markov states vs. classical microstates,"Tammo Rukat, Adam Baker, Andrew Quinn, Mark Woolrich","7 June, 2016",
160,Probabilistically Safe Policy Transfer,"David Held, Zoe McCarthy, Michael Zhang, Fred Shentu, Pieter Abbeel","15 May, 2017",
161,General Probabilistic Surface Optimization and Log Density Estimation,"Dmitry Kopitkov, Vadim Indelman","25 March, 2019",
162,Hierarchical Compound Poisson Factorization,"Mehmet E. Basbug, Barbara E. Engelhardt","26 May, 2016",
163,Data Association with Gaussian Processes,"Markus Kaiser, Clemens Otte, Thomas Runkler, Carl Henrik Ek","13 February, 2019",
164,Computational Eco-Systems for Handwritten Digits Recognition,"Antonio Loquercio, Francesca Della Torre, Massimo Buscema","26 May, 2017",
165,Riemannian stochastic variance reduced gradient,"Hiroyuki Sato, Hiroyuki Kasai, Bamdev Mishra","10 April, 2017",
166,Deep Generative Stochastic Networks Trainable by Backprop,"Yoshua Bengio, ric Thibodeau-Laufer, Guillaume Alain, Jason Yosinski","23 May, 2014",
167,Learning from Mutants: Using Code Mutation to Learn and Monitor Invariants of a Cyber-Physical System,"Yuqi Chen, Christopher M. Poskitt, Jun Sun","13 June, 2018","In Proc. IEEE Symposium on Security & Privacy (S&P 2018), pages 648-660. IEEE, 2018"
168,Approximate Matrix Multiplication with Application to Linear Embeddings,"Anastasios Kyrillidis, Michail Vlachos, Anastasios Zouzias","29 March, 2014",
169,Tensor Graphical Model: Non-convex Optimization and Statistical Inference,"Xiang Lyu, Will Wei Sun, Zhaoran Wang, Han Liu, Jian Yang, Guang Cheng","25 February, 2019",
170,Modeling Events with Cascades of Poisson Processes,"Aleksandr Simma, Michael I. Jordan","15 March, 2012",
171,Over-representation of Extreme Events in Decision-Making: A Rational Metacognitive Account,"Ardavan S. Nobandegani, Kevin da Silva Castanheira, A. Ross Otto, Thomas R. Shultz","29 January, 2018",
172,Is a single unique Bayesian network enough to accurately represent your data?,"Gilles Kratzer, Reinhard Furrer","18 February, 2019",
173,Adversarial Clustering: A Grid Based Clustering Algorithm Against Active Adversaries,"Wutao Wei, Bowei Xi, Murat Kantarcioglu","13 April, 2018",
174,End to End Learning for Self-Driving Cars,"Mariusz Bojarski, Davide Del Testa, Daniel Dworakowski, Bernhard Firner, Beat Flepp, Prasoon Goyal, Lawrence D. Jackel, Mathew Monfort, Urs Muller, Jiakai Zhang, Xin Zhang, Jake Zhao, Karol Zieba","25 April, 2016",
175,Lifelong Federated Reinforcement Learning: A Learning Architecture for Navigation in Cloud Robotic Systems,"Boyi Liu, Lujia Wang, Ming Liu, Chengzhong Xu","25 March, 2019",
176,Computational Analysis of Insurance Complaints: GEICO Case Study,"Amir Karami, Noelle M. Pendergraft","25 June, 2018",
177,An Online Optimization Approach for Multi-Agent Tracking of Dynamic Parameters in the Presence of Adversarial Noise,"Shahin Shahrampour, Ali Jadbabaie","20 February, 2017",
178,Online Influence Maximization in Non-Stationary Social Networks,"Yixin Bao, Xiaoke Wang, Zhi Wang, Chuan Wu, Francis C. M. Lau","26 April, 2016",
179,On Consistency of Compressive Spectral Clustering,"Muni Sreenivas Pydi, Ambedkar Dukkipati","29 May, 2018",ISIT 2018
