ID,Title,Authors,Date,Journal-ref
126,Random Conic Pursuit for Semidefinite Programming,"Ariel Kleiner, Ali Rahimi, Michael I. Jordan",December 2010,Neurips 2010
127,Generalized roof duality and bisubmodular functions,Vladimir Kolmogorov,December 2010,Neurips 2010
128,Energy Disaggregation via Discriminative Sparse Coding,"J. Z. Kolter, Siddharth Batra, Andrew Y. Ng",December 2010,Neurips 2010
129,Constructing Skill Trees for Reinforcement Learning Agents from Demonstration Trajectories,"George Konidaris, Scott Kuindersma, Roderic Grupen, Andrew G. Barto",December 2010,Neurips 2010
130,Structured Determinantal Point Processes,"Alex Kulesza, Ben Taskar",December 2010,Neurips 2010
131,MAP Estimation for Graphical Models by Likelihood Maximization,"Akshat Kumar, Shlomo Zilberstein",December 2010,Neurips 2010
132,Self-Paced Learning for Latent Variable Models,"M. P. Kumar, Benjamin Packer, Daphne Koller",December 2010,Neurips 2010
133,Efficient algorithms for learning kernels from multiple similarity matrices with general convex loss functions,"Achintya Kundu, Vikram Tankasali, Chiranjib Bhattacharyya, Aharon Ben-tal",December 2010,Neurips 2010
134,Evaluation of Rarity of Fingerprints in Forensics,"Chang Su, Sargur Srihari",December 2010,Neurips 2010
135,Beyond Actions: Discriminative Models for Contextual Group Activities,"Tian Lan, Yang Wang, Weilong Yang, Greg Mori",December 2010,Neurips 2010
136,Functional Geometry Alignment and Localization of Brain Areas,"Georg Langs, Yanmei Tie, Laura Rigolo, Alexandra Golby, Polina Golland",December 2010,Neurips 2010
137,Efficient Relational Learning with Hidden Variable Detection,"Ni Lao, Jun Zhu, Liu Liu, Yandong Liu, William W. Cohen",December 2010,Neurips 2010
138,Learning to combine foveal glimpses with a third-order Boltzmann machine,"Hugo Larochelle, Geoffrey E. Hinton",December 2010,Neurips 2010
139,Categories and Functional Units: An Infinite Hierarchical Model for Brain Activations,"Danial Lashkari, Ramesh Sridharan, Polina Golland",December 2010,Neurips 2010
140,Identifying Dendritic Processing,"Aurel A. Lazar, Yevgeniy Slutskiy",December 2010,Neurips 2010
141,Cross Species Expression Analysis using a Dirichlet Process Mixture Model with Latent Matchings,"Ziv Bar-joseph, Hai-son P. Le",December 2010,Neurips 2010
142,Tiled convolutional neural networks,"Jiquan Ngiam, Zhenghao Chen, Daniel Chia, Pang W. Koh, Quoc V. Le, Andrew Y. Ng",December 2010,Neurips 2010
143,Estimating Spatial Layout of Rooms using Volumetric Reasoning about Objects and Surfaces,"Abhinav Gupta, Martial Hebert, Takeo Kanade, David M. Blei",December 2010,Neurips 2010
144,Practical Large-Scale Optimization for Max-norm Regularization,"Jason D. Lee, Ben Recht, Nathan Srebro, Joel Tropp, Ruslan R. Salakhutdinov",December 2010,Neurips 2010
145,Adaptive Multi-Task Lasso: with Application to eQTL Detection,"Seunghak Lee, Jun Zhu, Eric P. Xing",December 2010,Neurips 2010
146,Joint Cascade Optimization Using A Product Of Boosted Classifiers,"Leonidas Lefakis, Francois Fleuret",December 2010,Neurips 2010
147,Learning To Count Objects in Images,"Victor Lempitsky, Andrew Zisserman",December 2010,Neurips 2010
148,Optimal Web-Scale Tiering as a Flow Problem,"Gilbert Leung, Novi Quadrianto, Kostas Tsioutsiouliklis, Alex J. Smola",December 2010,Neurips 2010
149,Feature Construction for Inverse Reinforcement Learning,"Sergey Levine, Zoran Popovic, Vladlen Koltun",December 2010,Neurips 2010
150,Towards Holistic Scene Understanding: Feedback Enabled Cascaded Classification Models,"Congcong Li, Adarsh Kowdle, Ashutosh Saxena, Tsuhan Chen",December 2010,Neurips 2010
151,Convex Multiple-Instance Learning by Estimating Likelihood Ratio,"Fuxin Li, Cristian Sminchisescu",December 2010,Neurips 2010
152,Individualized ROI Optimization via Maximization of Group-wise Consistency of Structural and Functional Profiles,"Kaiming Li, Lei Guo, Carlos Faraco, Dajiang Zhu, Fan Deng, Tuo Zhang, Xi Jiang, Degang Zhang, Hanbo Chen, Xintao Hu, Steve Miller, Tianming Liu",December 2010,Neurips 2010
153,Object Bank: A High-Level Image Representation for Scene Classification & Semantic Feature Sparsification,"Li-jia Li, Hao Su, Li Fei-fei, Eric P. Xing",December 2010,Neurips 2010
154,b-Bit Minwise Hashing for Estimating Three-Way Similarities,"Ping Li, Arnd Konig, Wenhao Gui",December 2010,Neurips 2010
155,Construction of Dependent Dirichlet Processes based on Poisson Processes,"Dahua Lin, Eric Grimson, John W. Fisher",December 2010,Neurips 2010
156,Deep Coding Network,"Yuanqing Lin, Tong Zhang, Shenghuo Zhu, Kai Yu",December 2010,Neurips 2010
157,Robust Clustering as Ensembles of Affinity Relations,"Hairong Liu, Longin J. Latecki, Shuicheng Yan",December 2010,Neurips 2010
158,Graph-Valued Regression,"Han Liu, Xi Chen, Larry Wasserman, John D. Lafferty",December 2010,Neurips 2010
159,Stability Approach to Regularization Selection (StARS) for High Dimensional Graphical Models,"Han Liu, Kathryn Roeder, Larry Wasserman",December 2010,Neurips 2010
160,Multivariate Dyadic Regression Trees for Sparse Learning Problems,"Han Liu, Xi Chen",December 2010,Neurips 2010
161,Multi-Stage Dantzig Selector,"Ji Liu, Peter Wonka, Jieping Ye",December 2010,Neurips 2010
162,Moreau-Yosida Regularization for Grouped Tree Structure Learning,"Jun Liu, Jieping Ye",December 2010,Neurips 2010
163,Decoding Ipsilateral Finger Movements from ECoG Signals in Humans,"Yuzong Liu, Mohit Sharma, Charles Gaona, Jonathan Breshears, Jarod Roland, Zachary Freudenburg, Eric Leuthardt, Kilian Q. Weinberger",December 2010,Neurips 2010
164,Approximate Inference by Compilation to Arithmetic Circuits,"Daniel Lowd, Pedro Domingos",December 2010,Neurips 2010
165,Block Variable Selection in Multivariate Regression and High-dimensional Causal Inference,"Vikas Sindhwani, Aurelie C. Lozano",December 2010,Neurips 2010
166,Functional form of motion priors in human motion perception,"Hongjing Lu, Tungyou Lin, Alan Lee, Luminita Vese, Alan L. Yuille",December 2010,Neurips 2010
167,Learning from Candidate Labeling Sets,"Jie Luo, Francesco Orabona",December 2010,Neurips 2010
168,Decomposing Isotonic Regression for Efficiently Solving Large Problems,"Ronny Luss, Saharon Rosset, Moni Shahar",December 2010,Neurips 2010
169,Divisive Normalization: Justification and Effectiveness as Efficient Coding Transform,Siwei Lyu,December 2010,Neurips 2010
170,Permutation Complexity Bound on Out-Sample Error,Malik Magdon-Ismail,December 2010,Neurips 2010
171,Basis Construction from Power Series Expansions of Value Functions,"Sridhar Mahadevan, Bo Liu",December 2010,Neurips 2010
172,Scrambled Objects for Least-Squares Regression,"Odalric Maillard, Rmi Munos",December 2010,Neurips 2010
173,Network Flow Algorithms for Structured Sparsity,"Julien Mairal, Rodolphe Jenatton, Francis R. Bach, Guillaume R. Obozinski",December 2010,Neurips 2010
174,Sphere Embedding: An Application to Part-of-Speech Induction,"Yariv Maron, Michael Lamar, Elie Bienenstock",December 2010,Neurips 2010
175,Variable margin losses for classifier design,"Hamed Masnadi-shirazi, Nuno Vasconcelos",December 2010,Neurips 2010
176,Why are some word orders more common than others? A uniform information density account,"Luke Maurits, Dan Navarro, Amy Perfors",December 2010,Neurips 2010
177,Direct Loss Minimization for Structured Prediction,"Tamir Hazan, Joseph Keshet, David A. McAllester",December 2010,Neurips 2010
178,Gated Softmax Classification,"Roland Memisevic, Christopher Zach, Marc Pollefeys, Geoffrey E. Hinton",December 2010,Neurips 2010
179,A Family of Penalty Functions for Structured Sparsity,"Jean Morales, Charles A. Micchelli, Massimiliano Pontil",December 2010,Neurips 2010
180,PAC-Bayesian Model Selection for Reinforcement Learning,"Mahdi M. Fard, Joelle Pineau",December 2010,Neurips 2010
181,Subgraph Detection Using Eigenvector L1 Norms,"Benjamin Miller, Nadya Bliss, Patrick J. Wolfe",December 2010,Neurips 2010
182,A VLSI Implementation of the Adaptive Exponential Integrate-and-Fire Neuron Model,"Sebastian Millner, Andreas Grbl, Karlheinz Meier, Johannes Schemmel, Marc-olivier Schwartz",December 2010,Neurips 2010
183,Large-Scale Matrix Factorization with Missing Data under Additional Constraints,"Kaushik Mitra, Sameer Sheorey, Rama Chellappa",December 2010,Neurips 2010
184,Natural Policy Gradient Methods with Parameter-based Exploration for Control Tasks,"Atsushi Miyamae, Yuichi Nagata, Isao Ono, Shigenobu Kobayashi",December 2010,Neurips 2010
185,An analysis on negative curvature induced by singularity in multi-layer neural-network learning,"Eiji Mizutani, Stuart Dreyfus",December 2010,Neurips 2010
186,Layer-wise analysis of deep networks with Gaussian kernels,"Grgoire Montavon, Klaus-Robert Mller, Mikio L. Braun",December 2010,Neurips 2010
187,Probabilistic latent variable models for distinguishing between cause and effect,"Oliver Stegle, Dominik Janzing, Kun Zhang, Joris M. Mooij, Bernhard Schlkopf",December 2010,Neurips 2010
188,Epitome driven 3-D Diffusion Tensor image segmentation: on extracting specific structures,"Kamiya Motwani, Nagesh Adluru, Chris Hinrichs, Andrew Alexander, Vikas Singh",December 2010,Neurips 2010
189,Improving Human Judgments by Decontaminating Sequential Dependencies,"Michael C. Mozer, Harold Pashler, Matthew Wilder, Robert V. Lindsey, Matt Jones, Michael N. Jones",December 2010,Neurips 2010
190,A Theory of Multiclass Boosting,"Indraneel Mukherjee, Robert E. Schapire",December 2010,Neurips 2010
191,A biologically plausible network for the computation of orientation dominance,"Kritika Muralidharan, Nuno Vasconcelos",December 2010,Neurips 2010
192,Slice sampling covariance hyperparameters of latent Gaussian models,"Iain Murray, Ryan P. Adams",December 2010,Neurips 2010
193,On the Convexity of Latent Social Network Inference,"Seth Myers, Jure Leskovec",December 2010,Neurips 2010
194,Infinite Relational Modeling of Functional Connectivity in Resting State fMRI,"Morten Mrup, Kristoffer Madsen, Anne-marie Dogonowski, Hartwig Siebner, Lars K. Hansen",December 2010,Neurips 2010
195,Minimum Average Cost Clustering,"Kiyohito Nagano, Yoshinobu Kawahara, Satoru Iwata",December 2010,Neurips 2010
196,Global Analytic Solution for Variational Bayesian Matrix Factorization,"Shinichi Nakajima, Masashi Sugiyama, Ryota Tomioka",December 2010,Neurips 2010
197,Random Walk Approach to Regret Minimization,"Hariharan Narayanan, Alexander Rakhlin",December 2010,Neurips 2010
198,Sample Complexity of Testing the Manifold Hypothesis,"Hariharan Narayanan, Sanjoy Mitter",December 2010,Neurips 2010
199,Learning the context of a category,Dan Navarro,December 2010,Neurips 2010
200,Online Markov Decision Processes under Bandit Feedback,"Gergely Neu, Andras Antos, Andrs Gyrgy, Csaba Szepesvri",December 2010,Neurips 2010
201,"Efficient and Robust Feature Selection via Joint 2,1-Norms Minimization","Feiping Nie, Heng Huang, Xiao Cai, Chris H. Ding",December 2010,Neurips 2010
202,Generative Local Metric Learning for Nearest Neighbor Classification,"Yung-kyun Noh, Byoung-tak Zhang, Daniel D. Lee",December 2010,Neurips 2010
203,Approximate inference in continuous time Gaussian-Jump processes,"Manfred Opper, Andreas Ruttor, Guido Sanguinetti",December 2010,Neurips 2010
204,New Adaptive Algorithms for Online Classification,"Francesco Orabona, Koby Crammer",December 2010,Neurips 2010
205,Estimation of Rnyi Entropy and Mutual Information Based on Generalized Nearest-Neighbor Graphs,"Dvid Pl, Barnabs Pczos, Csaba Szepesvri",December 2010,Neurips 2010
206,Gaussian sampling by local perturbations,"George Papandreou, Alan L. Yuille",December 2010,Neurips 2010
