ID_A,ID_B,Flag,Title_A,Title_B,Authors_A,Authors_B
2764,746,,Multi-Kernel Prediction Networks for Denoising of Burst Images,Learned Prioritization for Trading Off Accuracy and Speed,"Talmaj Marin?, Vignesh Srinivasan, Serhan Gl, Cornelius Hellge, Wojciech Samek","Jiarong Jiang, Adam Teichert, Jason Eisner, Hal Daume"
2077,2537,,SpectralLeader: Online Spectral Learning for Single Topic Models,Exact Recovery of Hard Thresholding Pursuit,"Tong Yu, Branislav Kveton, Zheng Wen, Hung Bui, Ole J. Mengshoel","Xiaotong Yuan, Ping Li, Tong Zhang"
429,262,,Tight Sample Complexity of Large-Margin Learning,Multiple Kernel Learning and the SMO Algorithm,"Sivan Sabato, Nathan Srebro, Naftali Tishby","Zhaonan Sun, Nawanol Ampornpunt, Manik Varma, S.v.n. Vishwanathan"
1020,2440,,Bounds for Vector-Valued Function Estimation,Estimating the class prior and posterior from noisy positives and unlabeled data,"Andreas Maurer, Massimiliano Pontil","Shantanu Jain, Martha White, Predrag Radivojac"
3898,49,,Sparse Activity and Sparse Connectivity in Supervised Learning,Learning Bounds for Importance Weighting,"Markus Thom, Gnther Palm","Corinna Cortes, Yishay Mansour, Mehryar Mohri"
1290,3188,,Experimental Implementation of a Quantum Autoencoder via Quantum Adders,Active Exploration for Learning Symbolic Representations,"Yongcheng Ding, Lucas Lamata, Mikel Sanz, Xi Chen, Enrique Solano","Garrett Andersen, George Konidaris"
2272,1507,,Bypassing Feature Squeezing by Increasing Adversary Strength,Sparse Bayesian structure learning with dependent relevance determination priors,"Yash Sharma, Pin-Yu Chen","Anqi Wu, Mijung Park, Oluwasanmi O. Koyejo, Jonathan W. Pillow"
3181,1420,,On Discrimination Discovery and Removal in Ranked Data using Causal Graph,Tight Bounds for Influence in Diffusion Networks and Application to Bond Percolation and Epidemiology,"Yongkai Wu, Lu Zhang, Xintao Wu","Remi Lemonnier, Kevin Scaman, Nicolas Vayatis"
135,3465,,Gaussian Process Models for HRTF based Sound-Source Localization and Active-Learning,Large Margin Deep Networks for Classification,"Yuancheng Luo, Dmitry N. Zotkin, Ramani Duraiswami","Gamaleldin Elsayed, Dilip Krishnan, Hossein Mobahi, Kevin Regan, Samy Bengio"
3171,1978,,Approximation of functions by neural networks,An Active Learning Framework using Sparse-Graph Codes for Sparse Polynomials and Graph Sketching,Andreas Thom,"Xiao Li, Kannan Ramchandran"
3320,2378,,Effective Sequential Classifier Training for SVM-based Multitemporal Remote Sensing Image Classification,Active Learning from Imperfect Labelers,"Yiqing Guo, Xiuping Jia, David Paull","Songbai Yan, Kamalika Chaudhuri, Tara Javidi"
1704,2090,,Not Just Privacy: Improving Performance of Private Deep Learning in Mobile Cloud,Fast and Memory Optimal Low-Rank Matrix Approximation,"Ji Wang, Jianguo Zhang, Weidong Bao, Xiaomin Zhu, Bokai Cao, Philip S. Yu","Se-Young Yun, marc lelarge, Alexandre Proutiere"
1938,2328,,Degrees of Freedom in Deep Neural Networks,Deep Learning Games,"Tianxiang Gao, Vladimir Jojic","Dale Schuurmans, Martin A. Zinkevich"
1966,1211,,Regularization Parameter Selection for a Bayesian Multi-Level Group Lasso Regression Model with Application to Imaging Genomics,Sparse Overlapping Sets Lasso for Multitask Learning and its Application to fMRI Analysis,"Farouk S. Nathoo, Keelin Greenlaw, Mary Lesperance","Nikhil Rao, Christopher Cox, Rob Nowak, Timothy T. Rogers"
1455,3196,,A Universal Approximation Theorem for Mixture of Experts Models,GibbsNet: Iterative Adversarial Inference for Deep Graphical Models,"Hien D Nguyen, Luke R Lloyd-Jones, Geoffrey J McLachlan","Alex M. Lamb, Devon Hjelm, Yaroslav Ganin, Joseph Paul Cohen, Aaron C. Courville, Yoshua Bengio"
960,3594,,Gradient Coding via the Stochastic Block Model,A Practical Algorithm for Distributed Clustering and Outlier Detection,"Zachary Charles, Dimitris Papailiopoulos","Jiecao Chen, Erfan Sadeqi Azer, Qin Zhang"
2959,1312,,Stochastic Portfolio Theory: A Machine Learning Perspective,Distributed Representations of Words and Phrases and their Compositionality,"Yves-Laurent Kom Samo, Alexander Vervuurt","Tomas Mikolov, Ilya Sutskever, Kai Chen, Greg S. Corrado, Jeff Dean"
1025,2295,,Soft Rule Ensembles for Statistical Learning,Learning a Metric Embedding for Face Recognition using the Multibatch Method,"Deniz Akdemir, Nicolas Heslot","Oren Tadmor, Tal Rosenwein, Shai Shalev-Shwartz, Yonatan Wexler, Amnon Shashua"
1063,2842,,MUST-CNN: A Multilayer Shift-and-Stitch Deep Convolutional Architecture for Sequence-based Protein Structure Prediction,Nonbacktracking Bounds on the Influence in Independent Cascade Models,"Zeming Lin, Jack Lanchantin, Yanjun Qi","Emmanuel Abbe, Sanjeev Kulkarni, Eun Jee Lee"
2189,2431,,One-Class Feature Learning Using Intra-Class Splitting,Long-term Causal Effects via Behavioral Game Theory,"Patrick Schlachter, Yiwen Liao, Bin Yang","Panagiotis Toulis, David C. Parkes"
2363,4106,,Path Consistency Learning in Tsallis Entropy Regularized MDPs,Constrained Graph Variational Autoencoders for Molecule Design,"Ofir Nachum, Yinlam Chow, Mohammad Ghavamzadeh","Qi Liu, Miltiadis Allamanis, Marc Brockschmidt, Alexander Gaunt"
3074,2788,,Robust Adversarial Learning via Sparsifying Front Ends,Label Distribution Learning Forests,"Soorya Gopalakrishnan, Zhinus Marzi, Upamanyu Madhow, Ramtin Pedarsani","Wei Shen, KAI ZHAO, Yilu Guo, Alan L. Yuille"
3440,229,,Zero-sum repeated games: Counterexamples to the existence of the asymptotic value and the conjecture $\operatorname{maxmin}=\operatorname{lim}v_n$,Implicitly Constrained Gaussian Process Regression for Monocular Non-Rigid Pose Estimation,Bruno Ziliotto,"Mathieu Salzmann, Raquel Urtasun"
1825,824,,Multimodal Sentiment Analysis To Explore the Structure of Emotions,Learning the Architecture of Sum-Product Networks Using Clustering on Variables,"Anthony Hu, Seth Flaxman","Aaron Dennis, Dan Ventura"
185,219,,Censored Exploration and the Dark Pool Problem,Inferring Stimulus Selectivity from the Spatial Structure of Neural Network Dynamics,"Kuzman Ganchev, Michael Kearns, Yuriy Nevmyvaka, Jennifer Wortman Vaughan","Kanaka Rajan, L Abbott, Haim Sompolinsky"
1969,4346,,Growth-Optimal Portfolio Selection under CVaR Constraints,Temporal alignment and latent Gaussian process factor inference in population spike trains,"Guy Uziel, Ran El-Yaniv","Lea Duncker, Maneesh Sahani"
1721,1093,,Neural Machine Translation by Jointly Learning to Align and Translate,Designed Measurements for Vector Count Data,"Dzmitry Bahdanau, Kyunghyun Cho, Yoshua Bengio","Liming Wang, David E. Carlson, Miguel Rodrigues, David Wilcox, Robert Calderbank, Lawrence Carin"
2292,3822,,Deep Portfolio Theory,Negotiable Reinforcement Learning for Pareto Optimal Sequential Decision-Making,"J. B. Heaton, N. G. Polson, J. H. Witte","Nishant Desai, Andrew Critch, Stuart J. Russell"
3580,1850,,Diabetic Retinopathy Detection via Deep Convolutional Networks for Discriminative Localization and Visual Explanation,"Weighted Theta Functions and Embeddings with Applications to Max-Cut, Clustering and Summarization","Zhiguang Wang, Jianbo Yang","Fredrik D. Johansson, Ankani Chattoraj, Chiranjib Bhattacharyya, Devdatt Dubhashi"
3734,1262,,Seeded Graph Matching,Capacity of strong attractor patterns to model behavioural and cognitive prototypes,"Donniell E. Fishkind, Sancar Adali, Heather G. Patsolic, Lingyao Meng, Digvijay Singh, Vince Lyzinski, Carey E. Priebe",Abbas Edalat
484,1949,,A Hybrid Recommender System for Patient-Doctor Matchmaking in Primary Care,Collaboratively Learning Preferences from Ordinal Data,"Qiwei Han, Mengxin Ji, Inigo Martinez de Rituerto de Troya, Manas Gaur, Leid Zejnilovic","Sewoong Oh, Kiran K. Thekumparampil, Jiaming Xu"
928,2479,,Sampling Acquisition Functions for Batch Bayesian Optimization,Combining Fully Convolutional and Recurrent Neural Networks for 3D Biomedical Image Segmentation,"Alessandro De Palma, Celestine Mendler-Dnner, Thomas Parnell, Andreea Anghel, Haralampos Pozidis","Jianxu Chen, Lin Yang, Yizhe Zhang, Mark Alber, Danny Z. Chen"
2067,1252,,WHAI: Weibull Hybrid Autoencoding Inference for Deep Topic Modeling,Sign Cauchy Projections and Chi-Square Kernel,"Hao Zhang, Bo Chen, Dandan Guo, Mingyuan Zhou","Ping Li, Gennady Samorodnitsk, John Hopcroft"
2439,2441,,Towards Structured Deep Neural Network for Automatic Speech Recognition,Kronecker Determinantal Point Processes,"Yi-Hsiu Liao, Hung-Yi Lee, Lin-shan Lee","Zelda E. Mariet, Suvrit Sra"
2940,3164,,Modelling cross-dependencies between Spain's regional tourism markets with an extension of the Gaussian process regression model,A Unified Approach to Interpreting Model Predictions,"Oscar Claveria, Enric Monte, Salvador Torra","Scott M. Lundberg, Su-In Lee"
3942,2556,,Multivariate Extension of Matrix-based Renyi's ?-order Entropy Functional,Probing the Compositionality of Intuitive Functions,"Shujian Yu, Luis Gonzalo Sanchez Giraldo, Robert Jenssen, Jose C. Principe","Eric Schulz, Josh Tenenbaum, David K. Duvenaud, Maarten Speekenbrink, Samuel J. Gershman"
958,296,,Multichannel Sparse Blind Deconvolution on the Sphere,On U-processes and clustering performance,"Yanjun Li, Yoram Bresler",Stphan J. Clmencon
2894,2726,,Interleaved Text/Image Deep Mining on a Large-Scale Radiology Database for Automated Image Interpretation,Parametric Simplex Method for Sparse Learning,"Hoo-Chang Shin, Le Lu, Lauren Kim, Ari Seff, Jianhua Yao, Ronald M. Summers","Haotian Pang, Han Liu, Robert J. Vanderbei, Tuo Zhao"
1217,3552,,Relational Reasoning Network (RRN) for Anatomical Landmarking,Simple random search of static linear policies is competitive for reinforcement learning,"Neslisah Torosdagli, Mary McIntosh, Denise K. Liberton, Payal Verma, Murat Sincan, Wade W. Han, Janice S. Lee, Ulas Bagci","Horia Mania, Aurelia Guy, Benjamin Recht"
2852,236,,Deep Neuroevolution: Genetic Algorithms Are a Competitive Alternative for Training Deep Neural Networks for Reinforcement Learning,Online Learning in The Manifold of Low-Rank Matrices,"Felipe Petroski Such, Vashisht Madhavan, Edoardo Conti, Joel Lehman, Kenneth O. Stanley, Jeff Clune","Uri Shalit, Daphna Weinshall, Gal Chechik"
3585,3680,,Functional Principal Component Analysis for Extrapolating Multi-stream Longitudinal Data,Deep Reinforcement Learning of Marked Temporal Point Processes,"Seokhyun Chung, Raed Kontar","Utkarsh Upadhyay, Abir De, Manuel Gomez Rodriguez"
1363,614,,Prediction of Industrial Process Parameters using Artificial Intelligence Algorithms,A new metric on the manifold of kernel matrices with application to matrix geometric means,"Abdelmoula Khdoudi, Tawfik Masrour",Suvrit Sra
1800,941,,Falling Rule Lists,Locating Changes in Highly Dependent Data with Unknown Number of Change Points,"Fulton Wang, Cynthia Rudin","Azadeh Khaleghi, Daniil Ryabko"
1255,1805,,Deep Submodular Functions,M-Best-Diverse Labelings for Submodular Energies and Beyond,"Jeffrey Bilmes, Wenruo Bai","Alexander Kirillov, Dmytro Shlezinger, Dmitry P. Vetrov, Carsten Rother, Bogdan Savchynskyy"
522,271,,Optimizing Cost-Sensitive SVM for Imbalanced Data :Connecting Cluster to Classification,Active Learning Applied to Patient-Adaptive Heartbeat Classification,"Qiuyan Yan, Shixiong Xia, Fanrong Meng","Jenna Wiens, John V. Guttag"
2569,2261,,MEBN-RM: A Mapping between Multi-Entity Bayesian Network and Relational Model,Doubly Convolutional Neural Networks,"Cheol Young Park, Kathryn Blackmond Laskey","Shuangfei Zhai, Yu Cheng, Zhongfei (Mark) Zhang, Weining Lu"
3845,763,,Metric Gaussian Variational Inference,On-line Reinforcement Learning Using Incremental Kernel-Based Stochastic Factorization,"Jakob Knollmller, Torsten A. Enlin","Doina Precup, Joelle Pineau, Andre S. Barreto"
243,338,,Model Selection with the Loss Rank Principle,Expressive Power and Approximation Errors of Restricted Boltzmann Machines,"Marcus Hutter, Minh-Ngoc Tran","Guido F. Montufar, Johannes Rauh, Nihat Ay"
2897,3829,,ML + FV = $\heartsuit$? A Survey on the Application of Machine Learning to Formal Verification,A Unified View of Piecewise Linear Neural Network Verification,"Moussa Amrani, Levi Lcio, Adrien Bibal","Rudy R. Bunel, Ilker Turkaslan, Philip Torr, Pushmeet Kohli, Pawan K. Mudigonda"
1359,950,,Pomegranate: fast and flexible probabilistic modeling in python,A latent factor model for highly multi-relational data,Jacob Schreiber,"Rodolphe Jenatton, Nicolas L. Roux, Antoine Bordes, Guillaume R. Obozinski"
3512,2700,,Prediction Error Reduction Function as a Variable Importance Score,Dual Decomposed Learning with Factorwise Oracle for Structural SVM of Large Output Domain,Ernest Fokou,"Ian En-Hsu Yen, Xiangru Huang, Kai Zhong, Ruohan Zhang, Pradeep K. Ravikumar, Inderjit S. Dhillon"
2518,3153,,BitSplit-Net: Multi-bit Deep Neural Network with Bitwise Activation Function,Overcoming Catastrophic Forgetting by Incremental Moment Matching,"Hyungjun Kim, Yulhwa Kim, Sungju Ryu, Jae-Joon Kim","Sang-Woo Lee, Jin-Hwa Kim, Jaehyun Jun, Jung-Woo Ha, Byoung-Tak Zhang"
2731,978,,Convolutional Neural Network Architectures for Matching Natural Language Sentences,PAC-Bayes-Empirical-Bernstein Inequality,"Baotian Hu, Zhengdong Lu, Hang Li, Qingcai Chen","Ilya O. Tolstikhin, Yevgeny Seldin"
527,3188,,Optimizing Non-decomposable Measures with Deep Networks,Active Exploration for Learning Symbolic Representations,"Amartya Sanyal, Pawan Kumar, Purushottam Kar, Sanjay Chawla, Fabrizio Sebastiani","Garrett Andersen, George Konidaris"
3620,3178,,A Quasi-Newton Method for Large Scale Support Vector Machines,Group Additive Structure Identification for Kernel Nonparametric Regression,"Aryan Mokhtari, Alejandro Ribeiro","Chao Pan, Michael Zhu"
165,1164,,Riemannian stochastic variance reduced gradient,Matrix Completion From any Given Set of Observations,"Hiroyuki Sato, Hiroyuki Kasai, Bamdev Mishra","Troy Lee, Adi Shraibman"
2013,2945,,Recurrent Attentional Networks for Saliency Detection,Deep Supervised Discrete Hashing,"Jason Kuen, Zhenhua Wang, Gang Wang","Qi Li, Zhenan Sun, Ran He, Tieniu Tan"
442,3191,,Deep Adaptive Input Normalization for Price Forecasting using Limit Order Book Data,Polynomial time algorithms for dual volume sampling,"Nikolaos Passalis, Anastasios Tefas, Juho Kanniainen, Moncef Gabbouj, Alexandros Iosifidis","Chengtao Li, Stefanie Jegelka, Suvrit Sra"
1838,2291,,Identifying Malicious Web Domains Using Machine Learning Techniques with Online Credibility and Performance Data,Nested Mini-Batch K-Means,"Zhongyi Hu, Raymond Chiong, Ilung Pranata, Willy Susilo, Yukun Bao","James Newling, Franois Fleuret"
1447,4393,,Data driven approximation of parametrized PDEs by Reduced Basis and Neural Networks,Multiple Instance Learning for Efficient Sequential Data Classification on Resource-constrained Devices,"Niccol Dal Santo, Simone Deparis, Luca Pegolotti","Don Dennis, Chirag Pabbaraju, Harsha Vardhan Simhadri, Prateek Jain"
2750,1709,,Samples are not all useful: Denoising policy gradient updates using variance,Consistency of weighted majority votes,"Yannis Flet-Berliac, Philippe Preux","Daniel Berend, Aryeh Kontorovich"
2518,1275,,BitSplit-Net: Multi-bit Deep Neural Network with Bitwise Activation Function,Optimizing Instructional Policies,"Hyungjun Kim, Yulhwa Kim, Sungju Ryu, Jae-Joon Kim","Robert V. Lindsey, Michael C. Mozer, William J. Huggins, Harold Pashler"
2118,1281,,An MDP-based Recommender System,"Estimation, Optimization, and Parallelism when Data is Sparse","Guy Shani, Ronen I. Brafman, David Heckerman","John Duchi, Michael I. Jordan, Brendan McMahan"
3576,1969,,Wages of wins: could an amateur make money from match outcome predictions?,Adaptive Primal-Dual Splitting Methods for Statistical Learning and Image Processing,Albrecht Zimmermann,"Tom Goldstein, Min Li, Xiaoming Yuan"
1167,3822,,Heavy-tailed kernels reveal a finer cluster structure in t-SNE visualisations,Negotiable Reinforcement Learning for Pareto Optimal Sequential Decision-Making,"Dmitry Kobak, George Linderman, Stefan Steinerberger, Yuval Kluger, Philipp Berens","Nishant Desai, Andrew Critch, Stuart J. Russell"
1620,3884,,A fast algorithm with minimax optimal guarantees for topic models with an unknown number of topics,Learning a latent manifold of odor representations from neural responses in piriform cortex,"Xin Bing, Florentina Bunea, Marten Wegkamp","Anqi Wu, Stan Pashkovski, Sandeep R. Datta, Jonathan W. Pillow"
337,1840,,Online Learning to Rank in Stochastic Click Models,Parallel Recursive Best-First AND/OR Search for Exact MAP Inference in Graphical Models,"Masrour Zoghi, Tomas Tunys, Mohammad Ghavamzadeh, Branislav Kveton, Csaba Szepesvari, Zheng Wen","Akihiro Kishimoto, Radu Marinescu, Adi Botea"
3513,1541,,A Comparative Study of Reservoir Computing for Temporal Signal Processing,Generalized Dantzig Selector: Application to the k-support norm,"Alireza Goudarzi, Peter Banda, Matthew R. Lakin, Christof Teuscher, Darko Stefanovic","Soumyadeep Chatterjee, Sheng Chen, Arindam Banerjee"
955,3106,,A Fully Bayesian Infinite Generative Model for Dynamic Texture Segmentation,Aggressive Sampling for Multi-class to Binary Reduction with Applications to Text Classification,"Sahar Yousefi, M. T. Manzuri Shalmani, Antoni B. Chan","Bikash Joshi, Massih R. Amini, Ioannis Partalas, Franck Iutzeler, Yury Maximov"
3239,77,,Improving Back-Propagation by Adding an Adversarial Gradient,On Herding and the Perceptron Cycling Theorem,Arild Nkland,"Andrew Gelfand, Yutian Chen, Laurens Maaten, Max Welling"
2058,1378,,Estimating the Circuit Deobfuscating Runtime based on Graph Deep Learning,Active Regression by Stratification,"Zhiqian Chen, Gaurav Kolhe, Setareh Rafatirad, Sai Manoj P. D., Houman Homayoun, Liang Zhao, Chang-Tien Lu","Sivan Sabato, Remi Munos"
2118,262,,An MDP-based Recommender System,Multiple Kernel Learning and the SMO Algorithm,"Guy Shani, Ronen I. Brafman, David Heckerman","Zhaonan Sun, Nawanol Ampornpunt, Manik Varma, S.v.n. Vishwanathan"
354,1132,,PixelSteganalysis: Destroying Hidden Information with a Low Degree of Visual Degradation,Adaptive Multi-Column Deep Neural Networks with Application to Robust Image Denoising,"Dahuin Jung, Ho Bae, Hyun-Soo Choi, Sungroh Yoon","Forest Agostinelli, Michael R. Anderson, Honglak Lee"
2723,2946,,Learning Representations for Counterfactual Inference,Using Options and Covariance Testing for Long Horizon Off-Policy Policy Evaluation,"Fredrik D. Johansson, Uri Shalit, David Sontag","Zhaohan Guo, Philip S. Thomas, Emma Brunskill"
1656,4147,,Random Feature Maps via a Layered Random Projection (LaRP) Framework for Object Classification,Algorithms and Theory for Multiple-Source Adaptation,"A. G. Chung, M. J. Shafiee, A. Wong","Judy Hoffman, Mehryar Mohri, Ningshan Zhang"
3907,1757,,Soft-DTW: a Differentiable Loss Function for Time-Series,Probabilistic Line Searches for Stochastic Optimization,"Marco Cuturi, Mathieu Blondel","Maren Mahsereci, Philipp Hennig"
2472,355,,Adaptive Power System Emergency Control using Deep Reinforcement Learning,Fast and Balanced: Efficient Label Tree Learning for Large Scale Object Recognition,"Qiuhua Huang, Weituo Hao, Jie Tan, Rui Fan, Zhenyu Huang","Jia Deng, Sanjeev Satheesh, Alexander C. Berg, Fei Li"
1514,2683,,Big Data Analytics in Bioinformatics: A Machine Learning Perspective,Exploiting Tradeoffs for Exact Recovery in Heterogeneous Stochastic Block Models,"Hirak Kashyap, Hasin Afzal Ahmed, Nazrul Hoque, Swarup Roy, Dhruba Kumar Bhattacharyya","Amin Jalali, Qiyang Han, Ioana Dumitriu, Maryam Fazel"
1753,2799,,PReP: Path-Based Relevance from a Probabilistic Perspective in Heterogeneous Information Networks,GP CaKe: Effective brain connectivity with causal kernels,"Yu Shi, Po-Wei Chan, Honglei Zhuang, Huan Gui, Jiawei Han","Luca Ambrogioni, Max Hinne, Marcel Van Gerven, Eric Maris"
2176,1141,,A Characterization of the Non-Uniqueness of Nonnegative Matrix Factorizations,Learning to Prune in Metric and Non-Metric Spaces,"W. Pan, F. Doshi-Velez","Leonid Boytsov, Bilegsaikhan Naidan"
556,980,,On the Identifiability of the Post-Nonlinear Causal Model,Robust Multimodal Graph Matching: Sparse Coding Meets Graph Matching,"Kun Zhang, Aapo Hyvarinen","Marcelo Fiori, Pablo Sprechmann, Joshua Vogelstein, Pablo Muse, Guillermo Sapiro"
2943,59,,Unsupervised Hyperalignment for Multilingual Word Embeddings,Nonparametric Bayesian Policy Priors for Reinforcement Learning,"Jean Alaux, Edouard Grave, Marco Cuturi, Armand Joulin","Finale Doshi-velez, David Wingate, Nicholas Roy, Joshua B. Tenenbaum"
1846,3874,,A Fast Iterative Bayesian Inference Algorithm for Sparse Channel Estimation,Exploiting Numerical Sparsity for Efficient Learning : Faster Eigenvector Computation and Regression,"Niels Lovmand Pedersen, Carles Navarro Manchn Bernard Henri Fleury","Neha Gupta, Aaron Sidford"
127,4306,,Provably Minimally-Distorted Adversarial Examples,Persistence Fisher Kernel: A Riemannian Manifold Kernel for Persistence Diagrams,"Nicholas Carlini, Guy Katz, Clark Barrett, David L. Dill","Tam Le, Makoto Yamada"
1066,1445,,Efficient Inference of Gaussian Process Modulated Renewal Processes with Application to Medical Event Data,Learning Neural Network Policies with Guided Policy Search under Unknown Dynamics,Thomas A. Lasko,"Sergey Levine, Pieter Abbeel"
659,2663,,Probabilistic Riemannian submanifold learning with wrapped Gaussian process latent variable models,Iterative Refinement of the Approximate Posterior for Directed Belief Networks,"Anton Mallasto, Sren Hauberg, Aasa Feragen","Devon Hjelm, Ruslan R. Salakhutdinov, Kyunghyun Cho, Nebojsa Jojic, Vince Calhoun, Junyoung Chung"
2652,3336,,On the Global Geometry of Sphere-Constrained Sparse Blind Deconvolution,Random Projection Filter Bank for Time Series Data,"Yuqian Zhang, Yenson Lau, Han-Wen Kuo, Sky Cheung, Abhay Pasupathy, John Wright","Amir-massoud Farahmand, Sepideh Pourazarm, Daniel Nikovski"
2684,1242,,NeuNetS: An Automated Synthesis Engine for Neural Network Design,Integrated Non-Factorized Variational Inference,"Atin Sood, Benjamin Elder, Benjamin Herta, Chao Xue, Costas Bekas, A. Cristiano I. Malossi, Debashish Saha, Florian Scheidegger, Ganesh Venkataraman, Gegi Thomas, Giovanni Mariani, Hendrik Strobelt, Horst Samulowitz, Martin Wistuba, Matteo Manica, Mihir Choudhury, Rong Yan, Roxana Istrate, Ruchir Puri, Tejaswini Pedapati","Shaobo Han, Xuejun Liao, Lawrence Carin"
