ID_A,ID_B,Description_A,Description_B,Color_A,Color_B,Price_A,Price_B
AM0987,533,"Laura Mercier Smooth Finish Flawless Fluide, shade=Praline",Laura Mercier smooth finish flawless fluide,,Amber,$19.75,$48.00
AM4784,2146,Make up for Ever Step 1 Skin Equalizer Redness Correcting Primer,MAKE UP FOR EVER step 1 skin equalizer,,Redness Correcting Primer - For Redness,$45.95,$36.00
AM6344,2733,MAKE UP FOR EVER 270 Angled Eyebrow Brush,MAKE UP FOR EVER 270 angled eyebrow brush,2,,$44.27,$21.00
AM4875,2197,Too Faced La Creme Color Drenched Lip Cream-Bon Bon,Too Faced la creme,,Pink Chocolate,$16.99,$22.00
AM1563,727,Clinique Chubby Stick Shadow Tint for Eyes - 01 Bountiful Beige Duo Pack (Lot of 2 * 0.018 oz Total 0.36 oz / 1 g),CLINIQUE chubby stick shadow tint for eyes,Bountiful Beige,Bountiful Beige,$12.85,$17.00
AM5653,2442,Clinique Clinique Line Smoothing Concealer,CLINIQUE line smoothing concealer,,Medium ,$22.97,$18.50
AM0858,472,SEPHORA COLLECTION Full Action Extreme Effect Mascara 01 Black,SEPHORA COLLECTION full action extreme effect mascara,,01 Black,$23.99,$12.00
AM4881,2195,Too Faced La Creme Color Drenched Lip Cream-Jelly Bean,Too Faced la creme,,Naughty Nude,$13.51,$22.00
AM0310,1895,Bobbi Brown Bobbi Brown Blush Brush,Bobbi Brown blush,,Pale Pink,$54.00,$28.00
AM4075,1716,Clinique Long Last Soft Matte Lipstick Berry Berry,CLINIQUE long last soft matte lipstick,,Pink Chocolate,$23.75,$17.00
AM0516,282,MAKE UP FOR EVER Aquarelle 1 0.33 oz,MAKE UP FOR EVER aquarelle,1,1,$38.96,$21.00
AM0195,93,"Bobbi Brown Bobbi Brown Long Wear Cream Shadow - Sandy Gold, .12 fl oz",Bobbi Brown long wear cream shadow,Sandy Gold,Sandy Gold,$28.00,$26.00
AM5302,2360,Laura Mercier Lip Pencil - True Red 1.49g/0.05oz,Laura Mercier lip pencil,True Red,True Red,$19.09,$23.00
AM3857,1645,Bobbi Brown Long Wear Even Finish Foundation SPF 15 - # 10 Espresso - 30ml/1oz,Bobbi Brown long wear even finish foundation spf 15,Espresso,Espresso,$59.00,$48.00
AM2068,961,Lot of 2 Clinique Chubby Stick Moisturizing Lip Colour Balm Travel Size (2 Pcs),CLINIQUE chubby stick moisturizing lip colour balm,Chunky Cherry,Chunky Cherry,$19.99,$17.00
AM0459,5191,SEPHORA COLLECTION Ultra Shine Lip Gloss 32 Hot Citrus Sparkling,SEPHORA COLLECTION ultra shine lip gloss,,32 Starlight,$20.00,$14.00
AM5500,2405,NARS The Multiple - # G Spot - 14g/0.5oz,NARS the multiple,,South Beach,$40.21,$39.00
AM5112,6145,SEPHORA COLLECTION 8 HR Mattifying Compact Foundation 31 Almond (D32),SEPHORA COLLECTION 8 hr mattifying compact foundation,,30 Sand (D30),$49.00,$22.00
AM3657,7736,Make up for Ever Artist Shadow Custom Palette Case,MAKE UP FOR EVER artist shadow,,D850 Nitro Pink (Diamond),$11.95,$21.00
AM1312,647,"Yves Saint Laurent Touche Eclat Radiant Touch Concealer Luminous Honey for Women, 0.1 Ounce",Yves Saint Laurent touche eclat radiant touch,,1 Luminous Radiance,$54.60,$42.00
AM5523,2397,"NARS The Multiple, Luxor by NARS",NARS the multiple,Luxor,Luxor,$68.00,$39.00
AM5500,2395,NARS The Multiple - # G Spot - 14g/0.5oz,NARS the multiple,,Copacabana,$40.21,$39.00
AM5793,2497,Bobbi Brown Corrector ~ PEACH ~,Bobbi Brown corrector,Peach,Peach,$25.00,$25.00
AM3687,1538,Clinique Acne Solutions Clearing Concealer 10ml/0.34oz - Shade 1,CLINIQUE acne solutions clearing concealer,,1,$30.99,$17.50
AM0731,428,Too Faced Melted Liquified Long Wear Lipstick in Fig .16oz Travel Size Set of (2),Too Faced melted liquified long wear lipstick,,Melted Melon,$19.99,$21.00
AM4134,1745,Givenchy Le Rouge Lipstick No.202 (Rose Dressing),Givenchy le rouge,,102 Beige Plume,$49.90,$36.00
AM0732,1020,Too Faced Most Loved Set,Too Faced most loved set,Melted Fig,,$42.00,$25.00
AM0856,475,Sephora Collection Full Action Extreme Effect Mascara Color 03 Brown,SEPHORA COLLECTION full action extreme effect mascara,,05 Purple,$35.00,$12.00
AM4051,1689,Smashbox HALO Hydrating Perfecting Powder & Brush Set Medium,Smashbox halo hydrating perfecting powder,Medium,Medium,$50.00,$22.00
AM0768,438,MARC JACOBS BEAUTY Twinkle Pop Eye Stick (Au Revoir 406),Marc Jacobs Beauty twinkle pop eye stick,Au Revoir 406,Au Revoir 406,$39.10,$28.00
AM2075,975,"Clinique Chubby Stick Moisturizing Lip Colour Balm, #03 Fuller Fig",CLINIQUE chubby stick moisturizing lip colour balm,,Woppin Watermelon,$20.40,$17.00
AM3657,7857,Make up for Ever Artist Shadow Custom Palette Case,MAKE UP FOR EVER artist shadow,,ME658 Golden Brown (Metallic),$11.95,$21.00
AM2300,1101,Smashbox Photo Op Eye Brightening Mascara,Smashbox photo op eye brightening mascara,,,$21.00,$21.00
AM3657,7799,Make up for Ever Artist Shadow Custom Palette Case,MAKE UP FOR EVER artist shadow,,M510 Vanilla (Matte),$11.95,$21.00
AM4325,1889,"Bobbi Brown Blush Nude Pink, Brand New in Box,",Bobbi Brown blush,,Berry,$49.00,$28.00
AM4623,2082,Yves Saint Laurent Volupte Tint In Oil - #07 Crush Me Orange 6ml/0.2oz,Yves Saint Laurent volupte tint in oil,,Pink About Me 8,$36.99,$32.00
AM6322,2717,NEW Clinique High Impact Waterproof Mascara (Black),CLINIQUE high impact waterproof mascara,Black,Black,$24.95,$16.50
AM2095,966,Clinique Chubby Stick Moisturizing Lip Colour Balm - Mega Melon 04 Travel Size,CLINIQUE chubby stick moisturizing lip colour balm,Mega Melon,Mega Melon,$2.48,$17.00
AM4136,1749,"Givenchy Le Rouge Intense Color Sensuously Mat Lipstick, Rose Dressing 202",Givenchy le rouge,,106 Nude Guipure,$45.50,$36.00
AM1333,668,"Giorgio Armani Luminous Silk Foundation 1oz - # 4.75, (BNIB)",Giorgio Armani luminous silk foundation,4.75,4.75,$62.00,$62.00
AM0855,474,Sephora Collection Full Action Extreme Effect Mascara Color 05 Purple,SEPHORA COLLECTION full action extreme effect mascara,,04 Blue,$35.00,$12.00
AM4898,2190,Too Faced La Creme Lip Cream Shade : Naked Dolly - satin pink,Too Faced la creme,,I Want Candy,$42.22,$22.00
AM4902,2203,Too Faced La Creme Color Drenched Lip Cream-Pink Chocolate,Too Faced la creme,,Teddy Berry,$47.00,$22.00
AM0866,477,NARS Contour Blush Powder Duo Paloma,NARS contour blush,,Olympia,$105.99,$42.00
AM4580,2050,Bite Beauty High Pigment Matte Pencil Amarone 0.09 oz,Bite Beauty high pigment matte pencil,Amarone,Amarone,$37.95,$24.00
AM5264,2354,"Laura Mercier Lip Pencil, shade=Crushed Berry",Laura Mercier lip pencil,Crushed Berry,Crushed Berry,$24.43,$23.00
AM5291,2358,Laura Mercier Lip Pencil - Potpourri - 1.49g/0.053oz,Laura Mercier lip pencil,Potpourri,Potpourri,$32.09,$23.00
AM0457,5174,SEPHORA COLLECTION Ultra Shine Lip Gloss 49 Metallic Copper,SEPHORA COLLECTION ultra shine lip gloss,,15 Paradise Pink,$23.25,$14.00
AM1930,823,Smashbox 24 Hour CC Spot Concealer - Medium/Light 0.08oz,Smashbox 24 hour cc spot concealer,Light,Light,$23.00,$25.00
AM4932,2191,Too Faced La Creme Color Drenched Lip Cream-Taffy,Too Faced la creme,,Jelly Bean,$19.95,$22.00
AM6022,2555,Make Up For Ever Aqua Eyes Eye Liner Collection,MAKE UP FOR EVER aqua eyes,,Turquoise 7L,$49.95,$19.00
AM1109,597,Laura Mercier Mineral Pressed Powder SPF 15 Golden Suntan,Laura Mercier mineral pressed powder spf 15,Golden Suntan,Golden Suntan,$35.88,$39.00
AM5455,4977,Laura Mercier Secret Camouflage SC-6,Laura Mercier secret camouflage,SC-6,SC-6,$38.29,$34.00
AM2592,1224,Bite Beauty Lip Brush,Bite Beauty lip brush,,,$28.35,$20.00
AM4296,1893,Bobbi Brown Blush Nude Peach 0.13 oz,Bobbi Brown blush,Nude Peach,Nude Peach,$28.00,$28.00
AM0987,551,"Laura Mercier Smooth Finish Flawless Fluide, shade=Praline",Laura Mercier smooth finish flawless fluide,,Pecan,$19.75,$48.00
AM4898,2196,Too Faced La Creme Lip Cream Shade : Naked Dolly - satin pink,Too Faced la creme,,Nude Beach,$42.22,$22.00
AM2597,1224,Bite Beauty Lip Brush by USA,Bite Beauty lip brush,,,$44.27,$20.00
AM4348,1895,Bobbi Brown Blush (Pale Pink),Bobbi Brown blush,Pale Pink,Pale Pink,$49.00,$28.00
AM0996,555,"Laura Mercier Smooth Finish Flawless Fluide, shade=Truffle",Laura Mercier smooth finish flawless fluide,Truffle,Truffle,$44.16,$48.00
AM3758,1604,"NARS All Day Luminous Weightless Foundation, shade=Barcelona",NARS all day luminous weightless foundation,Barcelona,Barcelona,$48.00,$48.00
AM4650,2077,Yves Saint Laurent Volupte Tint In Oil - #06 Peach Me Love 6ml/0.2oz,Yves Saint Laurent volupte tint in oil,,Crush Me Orange 7,$49.75,$32.00
AM0982,545,"Laura Mercier Smooth Finish Flawless Fluide, shade=Honey",Laura Mercier smooth finish flawless fluide,Honey,Honey,$19.00,$48.00
AM0310,1889,Bobbi Brown Bobbi Brown Blush Brush,Bobbi Brown blush,,Berry,$54.00,$28.00
AM3657,7875,Make up for Ever Artist Shadow Custom Palette Case,MAKE UP FOR EVER artist shadow,,S336 Lime (Satin),$11.95,$21.00
AM0734,4973,Laura Mercier Secret Camouflage Brush - Pull Apart -,Laura Mercier secret camouflage,,SC-2,$26.00,$34.00
AM1312,655,"Yves Saint Laurent Touche Eclat Radiant Touch Concealer Luminous Honey for Women, 0.1 Ounce",Yves Saint Laurent touche eclat radiant touch,,5.5 Luminous Praline,$54.60,$42.00
AM0979,548,"Laura Mercier Smooth Finish Flawless Fluide, shade=Macadamia",Laura Mercier smooth finish flawless fluide,Macadamia,Macadamia,$62.80,$48.00
AM4512,7654,Smashbox Be Legendary Lip Gloss - Cognac 0.20oz (6ml),Smashbox be legendary lip gloss,Cognac,Cognac,$13.50,$20.00
AM3657,7817,Make up for Ever Artist Shadow Custom Palette Case,MAKE UP FOR EVER artist shadow,,M650 Cookie (Matte),$11.95,$21.00
AM4054,4592,Smashbox Camera Ready BB Cream SPF 35 Light/Medium,Smashbox camera ready bb cream spf 35,Light/Medium,Light/Medium,$26.99,$39.00
AM0773,422,"Too Faced Melted Liquified Long Wear Lipstick, Melted Coral, 0.40 fl. oz./12 ml.",Too Faced melted liquified long wear lipstick,,Melted Candy,$21.00,$21.00
AM5324,4289,"Laura Mercier Secret Brightener - Secret Brightener #1, .05 oz.",Laura Mercier secret brightener,#1,#1,$30.00,$30.00
AM2075,962,"Clinique Chubby Stick Moisturizing Lip Colour Balm, #03 Fuller Fig",CLINIQUE chubby stick moisturizing lip colour balm,,Curvy Candy,$20.40,$17.00
AM1312,653,"Yves Saint Laurent Touche Eclat Radiant Touch Concealer Luminous Honey for Women, 0.1 Ounce",Yves Saint Laurent touche eclat radiant touch,,4.5 Luminous Sand,$54.60,$42.00
AM3657,7849,Make up for Ever Artist Shadow Custom Palette Case,MAKE UP FOR EVER artist shadow,,ME406 Golden (Metallic),$11.95,$21.00
AM0961,533,"Laura Mercier Smooth Finish Flawless Fluide, shade=Chai",Laura Mercier smooth finish flawless fluide,,Amber,$19.75,$48.00
AM4529,1967,Smashbox Be Legendary Lipstick (Peach Rose & red grape) Duo set,Smashbox be legendary lipstick,,Posy Pink,$17.42,$20.00
AM4931,5416,Bobbi Brown Sand Eye Palette,Bobbi Brown sand eye palette,Beige,,$98.39,$65.00
AM3692,1539,Clinique Acne Solutions Clearing Concealer - Shade 02,CLINIQUE acne solutions clearing concealer,2,2,$27.80,$17.50
AM4902,2193,Too Faced La Creme Color Drenched Lip Cream-Pink Chocolate,Too Faced la creme,,Marshmallow Bunny,$47.00,$22.00
AM1303,647,Yves Saint Laurent Touche Eclat Radiant Touch - #3 Light Peach Highlighter,Yves Saint Laurent touche eclat radiant touch,,1 Luminous Radiance,$42.00,$42.00
AM4935,2194,Too Faced La Creme Color Drenched Lip Cream in Teddy Berry 0.11 oz,Too Faced la creme,,Naked Dolly,$15.98,$22.00
AM0863,477,NARS Contour Blush Powder Duo Olympia,NARS contour blush,Olympia,Olympia,$105.99,$42.00
AM2599,1228,Hourglass Modernist Eyeshadow Palette- Atmosphere (Cool Neutrals),Hourglass modernist eyeshadow palette,,Exposure (Plums),$89.95,$58.00
AM4515,1961,Smashbox Be Legendary Lipstick Nylon Nude 0.1 oz,Smashbox be legendary lipstick,Legendary,Legendary,$20.00,$20.00
AM1708,773,MAKE UP FOR EVER 400 Calligraphy Brush,MAKE UP FOR EVER 400 calligraphy brush,0,,$44.27,$20.00
AM0459,5168,SEPHORA COLLECTION Ultra Shine Lip Gloss 32 Hot Citrus Sparkling,SEPHORA COLLECTION ultra shine lip gloss,,09 Tickled Pink,$20.00,$14.00
AM0459,6804,SEPHORA COLLECTION Ultra Shine Lip Gloss 32 Hot Citrus Sparkling,SEPHORA COLLECTION ultra shine lip gloss,,37 Candy Pink,$20.00,$7.00
AM0754,431,Too Faced Melted Liquified Long Wear Lipstick - Melted Rainbow Size 0.4 Oz,Too Faced melted liquified long wear lipstick,Melted Rainbow,Melted Rainbow,$34.98,$21.00
AM0997,556,Laura Mercier Smooth Finish Flawless Fluide Vanille,Laura Mercier smooth finish flawless fluide,Vanille,Vanille,$123.99,$48.00
AM0773,437,"Too Faced Melted Liquified Long Wear Lipstick, Melted Coral, 0.40 fl. oz./12 ml.",Too Faced melted liquified long wear lipstick,,Melted Violet,$21.00,$21.00
AM0967,537,"Laura Mercier Smooth Finish Flawless Fluide, shade=Chestnut",Laura Mercier smooth finish flawless fluide,,Chai,$18.00,$48.00
AM5109,6139,SEPHORA COLLECTION 8 HR Mattifying Compact Foundation 30 Sand (D30),SEPHORA COLLECTION 8 hr mattifying compact foundation,,20 Cream (D20),$37.00,$22.00
AM5467,4975,Laura Mercier Secret Camouflage,Laura Mercier secret camouflage,,SC-4,$31.28,$34.00
AM1086,578,"Clarins Beauty Flash Balm Brightens,tightens 15ml/0.53oz",Clarins beauty flash balm,,,$12.95,$46.00
AM4903,2203,Too Faced La Creme Color Drenched Lip Cream-Pink Chocolate,Too Faced la creme,,Teddy Berry,$22.00,$22.00
AM4694,4547,NARS Blush Bronzing Powder Duo Bronzer ORGASM / LAGUNA Size 0.17 oz.,NARS blush,,Dolce Vita,$40.50,$30.00
AM4903,2186,Too Faced La Creme Color Drenched Lip Cream-Pink Chocolate,Too Faced la creme,,Bon Bon,$22.00,$22.00
AM2133,961,Lot of 2 Clinique Chubby Stick Moisturizing Lip Colour Balm Travel Size (2 Pcs),CLINIQUE chubby stick moisturizing lip colour balm,Chunky Cherry,Chunky Cherry,$19.99,$17.00
AM3657,7873,Make up for Ever Artist Shadow Custom Palette Case,MAKE UP FOR EVER artist shadow,,S312 Mint Green (Satin),$11.95,$21.00
AM4551,1961,Smashbox Be Legendary Lipstick Femme Fatale Matte 3g,Smashbox be legendary lipstick,Legendary,Legendary,$14.00,$20.00
AM0987,543,"Laura Mercier Smooth Finish Flawless Fluide, shade=Praline",Laura Mercier smooth finish flawless fluide,,Espresso,$19.75,$48.00
AM4175,1802,Kevyn Aucoin The Creamy Glow Duo # Duo 1 Nuelle/Bloodroses 4.5G/0.16Oz,KEVYN AUCOIN the creamy glow,,Duo 4,$27.06,$28.00
