ID_A,ID_B,Title_A,Title_B,Authors_A,Authors_B
2509,6079,Improved Texture Networks: Maximizing Quality and Diversity in Feed-Forward Stylization and Texture Synthesis,Multilayer Complex Network Descriptors for Color-Texture Characterization,"Ulyanov, Dmitry and Vedaldi, Andrea and Lempitsky, Victor","Leonardo F S Scabini, Rayner H M Condori, Wesley N Gonalves, Odemir M Bruno"
2054,8608,Factorized Variational Autoencoders for Modeling Audience Reactions to Movies,Deep Local Binary Patterns,"Deng, Zhiwei and Navarathna, Rajitha and Carr, Peter and Mandt, Stephan and Yue, Yisong and Matthews, Iain and Mori, Greg","Kelwin Fernandes, Jaime S. Cardoso"
900,1482,Sparse Projections for High-Dimensional Binary Codes,Inception-Residual Block based Neural Network for Thermal Image Denoising,"Xia, Yan and He, Kaiming and Kohli, Pushmeet and Sun, Jian","Seongmin Hwang, Gwanghyun Yu, Huy Toan Nguyen, Nazeer Shahid, Doseong Sin, Jinyoung Kim, Seungyou Na"
1633,7744,Where to Look: Focus Regions for Visual Question Answering,Context aware saliency map generation using semantic segmentation,"Shih, Kevin J. and Singh, Saurabh and Hoiem, Derek","Mahdi Ahmadi, Mohsen Hajabdollahi, Nader Karimi, Shadrokh Samavi"
2741,9340,Compassionately Conservative Balanced Cuts for Image Segmentation,Photorealistic Style Transfer with Screened Poisson Equation,"Cahill, Nathan D. and Hayes, Tyler L. and Meinhold, Renee T. and Hamilton, John F.","Roey Mechrez, Eli Shechtman, Lihi Zelnik-Manor"
1220,8785,Learning Temporal Regularity in Video Sequences,Multi-stage Suture Detection for Robot Assisted Anastomosis based on Deep Learning,"Hasan, Mahmudul and Choi, Jonghyun and Neumann, Jan and Roy-Chowdhury, Amit K. and Davis, Larry S.","Yang Hu, Yun Gu, Jie Yang, Guang-Zhong Yang"
1364,7252,Detecting Migrating Birds at Night,Learning Image Representations by Completing Damaged Jigsaw Puzzles,"Huang, Jia-Bin and Caruana, Rich and Farnsworth, Andrew and Kelling, Steve and Ahuja, Narendra","Dahun Kim, Donghyeon Cho, Donggeun Yoo, In So Kweon"
1718,7974,High-Quality Depth From Uncalibrated Small Motion Clip,Deep Quaternion Networks,"Ha, Hyowon and Im, Sunghoon and Park, Jaesik and Jeon, Hae-Gon and So Kweon, In","Chase Gaudet, Anthony Maida"
656,3439,SALICON: Saliency in Context,Reverse Attention for Salient Object Detection,"Jiang, Ming and Huang, Shengsheng and Duan, Juanyong and Zhao, Qi","Shuhan Chen, Xiuli Tan, Ben Wang, Xuelong Hu"
3427,9191,Visual Feature Attribution Using Wasserstein GANs,Algorithm guided outlining of 105 pancreatic cancer liver metastases in Ultrasound,"Baumgartner, Christian F. and Koch, Lisa M. and Can Tezcan, Kerem and Xi Ang, Jia and Konukoglu, Ender","Alexander Hann, Lucas Bettac, Mark M. Haenle, Tilmann Graeter, Andreas W. Berger, Jens Dreyhaupt, Dieter Schmalstieg, Wolfram G. Zoller, Jan Egger"
354,8133,Saliency Optimization from Robust Background Detection,Avaliao da doena de Alzheimer pela anlise multiespectral de imagens DW-MR por redes RBF como alternativa aos mapas ADC,"Zhu, Wangjiang and Liang, Shuang and Wei, Yichen and Sun, Jian","Wellington Pinheiro dos Santos, Ricardo Emmanuel de Souza, Ascendino Flvio Dias e Silva, Plnio Batista dos Santos Filho"
262,5283,Finding Matches in a Haystack: A Max-Pooling Strategy for Graph Matching in the Presence of Outliers,Deep Ordinal Hashing with Spatial Attention,"Cho, Minsu and Sun, Jian and Duchenne, Olivier and Ponce, Jean","Lu Jin, Xiangbo Shu, Kai Li, Zechao Li, Guo-Jun Qi, Jinhui Tang"
2332,4867,Multimodal Transfer: A Hierarchical Deep Convolutional Neural Network for Fast Artistic Style Transfer,Generating protected fingerprint template utilizing coprime mapping transformation,"Wang, Xin and Oxholm, Geoffrey and Zhang, Da and Wang, Yuan-Fang","Rudresh Dwivedi, Somnath Dey"
2336,2627,AnchorNet: A Weakly Supervised Network to Learn Geometry-Sensitive Features for Semantic Matching,End-to-end Multimodal Emotion and Gender Recognition with Dynamic Joint Loss Weights,"Novotny, David and Larlus, Diane and Vedaldi, Andrea","Myungsu Chae, Tae-Ho Kim, Young Hoon Shin, June-Woo Kim, Soo-Young Lee"
1885,6251,Finding Tiny Faces,Neural Baby Talk,"Hu, Peiyun and Ramanan, Deva","Jiasen Lu, Jianwei Yang, Dhruv Batra, Devi Parikh"
3221,456,LIME: Live Intrinsic Material Estimation,Visual Object Networks: Image Generation with Disentangled 3D Representation,"Meka, Abhimitra and Maximov, Maxim and Zollhfer, Michael and Chatterjee, Avishek and Seidel, Hans-Peter and Richardt, Christian and Theobalt, Christian","Jun-Yan Zhu, Zhoutong Zhang, Chengkai Zhang, Jiajun Wu, Antonio Torralba, Joshua B. Tenenbaum, William T. Freeman"
1310,977,Regularity-Driven Facade Matching Between Aerial and Street Views,A Novel Integrated Framework for Learning both Text Detection and Recognition,"Wolff, Mark and Collins, Robert T. and Liu, Yanxi","Wanchen Sui, Qing Zhang, Jun Yang, Wei Chu"
1626,8674,Semantic Image Segmentation With Task-Specific Edge Detection Using CNNs and a Discriminatively Trained Domain Transform,Occlusion Aware Unsupervised Learning of Optical Flow,"Chen, Liang-Chieh and Barron, Jonathan T. and Papandreou, George and Murphy, Kevin and Yuille, Alan L.","Yang Wang, Yi Yang, Zhenheng Yang, Liang Zhao, Peng Wang, Wei Xu"
1681,9202,Tensor Power Iteration for Multi-Graph Matching,Texture Fuzzy Segmentation using Skew Divergence Adaptive Affinity Functions,"Shi, Xinchu and Ling, Haibin and Hu, Weiming and Xing, Junliang and Zhang, Yanning","Jos F. S. Neto, Waldson P. N. Leandro, Matheus A. Gadelha, Tiago S. Santos, Bruno M. Carvalho, Edgar Garduo"
125,8189,Simultaneous Twin Kernel Learning using Polynomial Transformations for Structured Prediction,CNN based Learning using Reflection and Retinex Models for Intrinsic Image Decomposition,"Tonde, Chetan and Elgammal, Ahmed","Anil S. Baslamisli, Hoang-An Le, Theo Gevers"
1063,522,A Dynamic Convolutional Layer for Short Range Weather Prediction,General-to-Detailed GAN for Infrequent Class Medical Images,"Klein, Benjamin and Wolf, Lior and Afek, Yehuda","Tatsuki Koga, Naoki Nonaka, Jun Sakuma, Jun Seita"
2973,3046,Automatic 3D Indoor Scene Modeling From Single Panorama,Controllable Image-to-Video Translation: A Case Study on Facial Expression Generation,"Yang, Yang and Jin, Shi and Liu, Ruiyang and Bing Kang, Sing and Yu, Jingyi","Lijie Fan, Wenbing Huang, Chuang Gan, Junzhou Huang, Boqing Gong"
1490,2549,Online Reconstruction of Indoor Scenes From RGB-D Streams,On-Orbit Smart Camera System to Observe Illuminated and Unilluminated Space Objects,"Wang, Hao and Wang, Jun and Liang, Wang","Steve Morad, Ravi Teja Nallapu, Himangshu Kalita, Byon Kwon, Vishnu Reddy, Roberto Furfaro, Erik Asphaug, Jekan Thangavelautham"
2085,7854,Semantic Regularisation for Recurrent Image Annotation,Learning a Wavelet-like Auto-Encoder to Accelerate Deep Neural Networks,"Liu, Feng and Xiang, Tao and Hospedales, Timothy M. and Yang, Wankou and Sun, Changyin","Tianshui Chen, Liang Lin, Wangmeng Zuo, Xiaonan Luo, Lei Zhang"
457,4728,Predicting User Annoyance Using Visual Attributes,Light Field Denoising via Anisotropic Parallax Analysis in a CNN Framework,"Christie, Gordon and Parkash, Amar and Krothapalli, Ujwal and Parikh, Devi","Jie Chen, Junhui Hou, Lap-Pui Chau"
2784,1888,Human Pose Estimation With Parsing Induced Learner,Real time expert system for anomaly detection of aerators based on computer vision technology and existing surveillance cameras,"Nie, Xuecheng and Feng, Jiashi and Zuo, Yiming and Yan, Shuicheng","Yeqi Liu, Yingyi Chen, Huihui Yu, Xiaomin Fang, Chuanyang Gong"
3503,1290,TieNet: Text-Image Embedding Network for Common Thorax Disease Classification and Reporting in Chest X-Rays,Image-Level Attentional Context Modeling Using Nested-Graph Neural Networks,"Wang, Xiaosong and Peng, Yifan and Lu, Le and Lu, Zhiyong and Summers, Ronald M.","Guillaume Jaume, Behzad Bozorgtabar, Hazim Kemal Ekenel, Jean-Philippe Thiran, Maria Gabrani"
2266,6332,Linking Image and Text With 2-Way Nets,Object Detection for Comics using Manga109 Annotations,"Eisenschtat, Aviv and Wolf, Lior","Toru Ogawa, Atsushi Otsubo, Rei Narita, Yusuke Matsui, Toshihiko Yamasaki, Kiyoharu Aizawa"
1708,9595,Learning to Select Pre-Trained Deep Representations With Bayesian Evidence Framework,Learning to Segment Instances in Videos with Spatial Propagation Network,"Kim, Yong-Deok and Jang, Taewoong and Han, Bohyung and Choi, Seungjin","Jingchun Cheng, Sifei Liu, Yi-Hsuan Tsai, Wei-Chih Hung, Shalini De Mello, Jinwei Gu, Jan Kautz, Shengjin Wang, Ming-Hsuan Yang"
1633,8082,Where to Look: Focus Regions for Visual Question Answering,Consistent Multiple Graph Matching with Multi-layer Random Walks Synchronization,"Shih, Kevin J. and Singh, Saurabh and Hoiem, Derek","Han-Mu Park, Kuk-Jin Yoon"
1839,1461,Oriented Response Networks,Unsupervised image segmentation via maximum a posteriori estimation of continuous max-flow,"Zhou, Yanzhao and Ye, Qixiang and Qiu, Qiang and Jiao, Jianbin","Ashif Sikandar Iquebal, Satish Bukkapatnam"
2714,18,Cube Padding for Weakly-Supervised Saliency Prediction in 360 Videos,Leishmaniasis Parasite Segmentation and Classification using Deep Learning,"Cheng, Hsien-Tzu and Chao, Chun-Hung and Dong, Jin-Dong and Wen, Hao-Kai and Liu, Tyng-Luh and Sun, Min","Marc Grriz, Albert Aparicio, Berta Ravents, Vernica Vilaplana, Elisa Sayrol, Daniel Lpez-Codina"
2145,5616,Deep 360 Pilot: Learning a Deep Agent for Piloting Through 360deg Sports Videos,Revisiting Small Batch Training for Deep Neural Networks,"Hu, Hou-Ning and Lin, Yen-Chen and Liu, Ming-Yu and Cheng, Hsien-Tzu and Chang, Yung-Ju and Sun, Min","Dominic Masters, Carlo Luschi"
3418,1615,Arbitrary Style Transfer With Deep Feature Reshuffle,Hyper-Process Model: A Zero-Shot Learning algorithm for Regression Problems based on Shape Analysis,"Gu, Shuyang and Chen, Congliang and Liao, Jing and Yuan, Lu","Joao Reis, Gil Gonalves"
849,2326,"Understanding Tools: Task-Oriented Object Modeling, Learning and Recognition",Multi Modal Convolutional Neural Networks for Brain Tumor Segmentation,"Zhu, Yixin and Zhao, Yibiao and Chun Zhu, Song","Mehmet Aygn, Yusuf Hseyin ahin, Gzde nal"
2909,878,Perturbative Neural Networks,Visual Attention on the Sun: What Do Existing Models Actually Predict?,"Juefei-Xu, Felix and Naresh Boddeti, Vishnu and Savvides, Marios","Jia Li, Daowei Li, Kui Fu, Long Xu"
3095,7886,Adversarially Occluded Samples for Person Re-Identification,Comparison of fingerprint authentication algorithms for small imaging sensors,"Huang, Houjing and Li, Dangwei and Zhang, Zhang and Chen, Xiaotang and Huang, Kaiqi","Mathilde Bourjot, Regis Perrier, Jean Franois Mainguet"
3341,5841,Multi-Task Learning Using Uncertainty to Weigh Losses for Scene Geometry and Semantics,Attention U-Net: Learning Where to Look for the Pancreas,"Kendall, Alex and Gal, Yarin and Cipolla, Roberto","Ozan Oktay, Jo Schlemper, Loic Le Folgoc, Matthew Lee, Mattias Heinrich, Kazunari Misawa, Kensaku Mori, Steven McDonagh, Nils Y Hammerla, Bernhard Kainz, Ben Glocker, Daniel Rueckert"
3252,7901,Learning a Discriminative Prior for Blind Image Deblurring,Guiding human gaze with convolutional neural networks,"Li, Lerenhan and Pan, Jinshan and Lai, Wei-Sheng and Gao, Changxin and Sang, Nong and Yang, Ming-Hsuan","Leon A. Gatys, Matthias Kmmerer, Thomas S. A. Wallis, Matthias Bethge"
2612,421,Disentangling 3D Pose in a Dendritic CNN for Unconstrained 2D Face Alignment,GSPN: Generative Shape Proposal Network for 3D Instance Segmentation in Point Cloud,"Kumar, Amit and Chellappa, Rama","Li Yi, Wang Zhao, He Wang, Minhyuk Sung, Leonidas Guibas"
2308,9089,InstanceCut: From Edges to Instances With MultiCut,Combining LiDAR Space Clustering and Convolutional Neural Networks for Pedestrian Detection,"Kirillov, Alexander and Levinkov, Evgeny and Andres, Bjoern and Savchynskyy, Bogdan and Rother, Carsten","Damien Matti, Hazm Kemal Ekenel, Jean-Philippe Thiran"
1343,7458,Going Deeper into First-Person Activity Recognition,Human Activity Recognition for Mobile Robot,"Ma, Minghuang and Fan, Haoqi and Kitani, Kris M.",Iyiola E. Olatunji
1637,8882,Image Captioning With Semantic Attention,Learning deep features for source color laser printer identification based on cascaded learning,"You, Quanzeng and Jin, Hailin and Wang, Zhaowen and Fang, Chen and Luo, Jiebo","Do-Guk Kim, Jong-Uk Hou, Heung-Kyu Lee"
2452,9151,4D Light Field Superpixel and Segmentation,Multimodal Observation and Interpretation of Subjects Engaged in Problem Solving,"Zhu, Hao and Zhang, Qi and Wang, Qing","Thomas Guntz, Raffaella Balzarini, Dominique Vaufreydaz, James L. Crowley"
2223,5611,"Detailed, Accurate, Human Shape Estimation From Clothed 3D Scan Sequences",Image Inpainting for Irregular Holes Using Partial Convolutions,"Zhang, Chao and Pujades, Sergi and Black, Michael J. and Pons-Moll, Gerard","Guilin Liu, Fitsum A. Reda, Kevin J. Shih, Ting-Chun Wang, Andrew Tao, Bryan Catanzaro"
2893,8714,Image Blind Denoising With Generative Adversarial Network Based Noise Modeling,Robust Keyframe-based Dense SLAM with an RGB-D Camera,"Chen, Jingwen and Chen, Jiawei and Chao, Hongyang and Yang, Ming","Haomin Liu, Chen Li, Guojun Chen, Guofeng Zhang, Michael Kaess, Hujun Bao"
3093,1091,V2V-PoseNet: Voxel-to-Voxel Prediction Network for Accurate 3D Hand and Human Pose Estimation From a Single Depth Map,A Self-Adaptive Network For Multiple Sclerosis Lesion Segmentation From Multi-Contrast MRI With Various Imaging Protocols,"Moon, Gyeongsik and Yong Chang, Ju and Mu Lee, Kyoung","Yushan Feng, Huitong Pan, Craig Meyer, Xue Feng"
1221,814,Bilateral Space Video Segmentation,Joint Monocular 3D Vehicle Detection and Tracking,"Maerki, Nicolas and Perazzi, Federico and Wang, Oliver and Sorkine-Hornung, Alexander","Hou-Ning Hu, Qi-Zhi Cai, Dequan Wang, Ji Lin, Min Sun, Philipp Krhenbhl, Trevor Darrell, Fisher Yu"
1146,4379,Neural Module Networks,GLoMo: Unsupervisedly Learned Relational Graphs as Transferable Representations,"Andreas, Jacob and Rohrbach, Marcus and Darrell, Trevor and Klein, Dan","Zhilin Yang, Jake Zhao, Bhuwan Dhingra, Kaiming He, William W. Cohen, Ruslan Salakhutdinov, Yann LeCun"
2735,5268,Robust Physical-World Attacks on Deep Learning Visual Classification,Learning Optical Flow via Dilated Networks and Occlusion Reasoning,"Eykholt, Kevin and Evtimov, Ivan and Fernandes, Earlence and Li, Bo and Rahmati, Amir and Xiao, Chaowei and Prakash, Atul and Kohno, Tadayoshi and Song, Dawn","Yi Zhu, Shawn Newsam"
1260,4398,Embedding Label Structures for Fine-Grained Feature Representation,Deep Generative Models in the Real-World: An Open Challenge from Medical Imaging,"Zhang, Xiaofan and Zhou, Feng and Lin, Yuanqing and Zhang, Shaoting","Xiaoran Chen, Nick Pawlowski, Martin Rajchl, Ben Glocker, Ender Konukoglu"
3207,7729,MegDet: A Large Mini-Batch Object Detector,"High Dimensional Spaces, Deep Learning and Adversarial Examples","Peng, Chao and Xiao, Tete and Li, Zeming and Jiang, Yuning and Zhang, Xiangyu and Jia, Kai and Yu, Gang and Sun, Jian",Simant Dube
3051,9956,Indoor RGB-D Compass From a Single Line and Plane,SPARCNN: SPAtially Related Convolutional Neural Networks,"Kim, Pyojin and Coltin, Brian and Jin Kim, H.","JT Turner, Kalyan Moy Gupta, David Aha"
3426,5064,Quantization of Fully Convolutional Networks for Accurate Biomedical Image Segmentation,XOGAN: One-to-Many Unsupervised Image-to-Image Translation,"Xu, Xiaowei and Lu, Qing and Yang, Lin and Hu, Sharon and Chen, Danny and Hu, Yu and Shi, Yiyu",Yongqi Zhang
1001,8422,Causal Video Object Segmentation From Persistence of Occlusions,Cost-Effective Active Learning for Melanoma Segmentation,"Taylor, Brian and Karasev, Vasiliy and Soatto, Stefano","Marc Gorriz, Axel Carlier, Emmanuel Faure, Xavier Giro-i-Nieto"
1958,9147,Hierarchical Boundary-Aware Neural Encoder for Video Captioning,Hyperspectral band selection using genetic algorithm and support vector machines for early identification of charcoal rot disease in soybean,"Baraldi, Lorenzo and Grana, Costantino and Cucchiara, Rita","Koushik Nagasubramanian, Sarah Jones, Soumik Sarkar, Asheesh K. Singh, Arti Singh, Baskar Ganapathysubramanian"
1103,6181,Constrained Planar Cuts - Object Partitioning for Point Clouds,Learning Free-Form Deformations for 3D Object Reconstruction,"Schoeler, Markus and Papon, Jeremie and Worgotter, Florentin","Dominic Jack, Jhony K. Pontes, Sridha Sridharan, Clinton Fookes, Sareh Shirazi, Frederic Maire, Anders Eriksson"
2487,166,MuCaLe-Net: Multi Categorical-Level Networks to Generate More Discriminating Features,Detecting GAN-generated Imagery using Color Cues,"Tamaazousti, Youssef and Le Borgne, Herve and Hudelot, Celine","Scott McCloskey, Michael Albright"
1865,6604,Differential Angular Imaging for Material Recognition,Dynamic Vision Sensors for Human Activity Recognition,"Xue, Jia and Zhang, Hang and Dana, Kristin and Nishino, Ko","Stefanie Anna Baby, Bimal Vinod, Chaitanya Chinni, Kaushik Mitra"
2161,8643,Cross-View Image Matching for Geo-Localization in Urban Environments,LDMNet: Low Dimensional Manifold Regularized Neural Networks,"Tian, Yicong and Chen, Chen and Shah, Mubarak","Wei Zhu, Qiang Qiu, Jiaji Huang, Robert Calderbank, Guillermo Sapiro, Ingrid Daubechies"
236,7919,Discriminative Deep Metric Learning for Face Verification in the Wild,Spatial As Deep: Spatial CNN for Traffic Scene Understanding,"Hu, Junlin and Lu, Jiwen and Tan, Yap-Peng","Xingang Pan, Jianping Shi, Ping Luo, Xiaogang Wang, Xiaoou Tang"
1659,7041,Sparsifying Neural Network Connections for Face Recognition,Fast 5DOF Needle Tracking in iOCT,"Sun, Yi and Wang, Xiaogang and Tang, Xiaoou","Jakob Weiss, Nicola Rieke, Mohammad Ali Nasseri, Mathias Maier, Abouzar Eslami, Nassir Navab"
675,1609,Simplified Mirror-Based Camera Pose Computation via Rotation Averaging,From Machine to Machine: An OCT-trained Deep Learning Algorithm for Objective Quantification of Glaucomatous Damage in Fundus Photographs,"Long, Gucan and Kneip, Laurent and Li, Xin and Zhang, Xiaohu and Yu, Qifeng","Felipe A. Medeiros, Alessandro A. Jammal, Atalie C. Thompson"
2772,2067,"GeoNet: Unsupervised Learning of Dense Depth, Optical Flow and Camera Pose",Layer-compensated Pruning for Resource-constrained Convolutional Neural Networks,"Yin, Zhichao and Shi, Jianping","Ting-Wu Chin, Cha Zhang, Diana Marculescu"
1507,8958,Occlusion-Free Face Alignment: Deep Regression Networks Coupled With De-Corrupt AutoEncoders,Dual Path Networks for Multi-Person Human Pose Estimation,"Zhang, Jie and Kan, Meina and Shan, Shiguang and Chen, Xilin","Guanghan Ning, Zhihai He"
2772,8317,"GeoNet: Unsupervised Learning of Dense Depth, Optical Flow and Camera Pose",Unpaired Photo-to-Caricature Translation on Faces in the Wild,"Yin, Zhichao and Shi, Jianping","Ziqiang Zheng, Wang Chao, Zhibin Yu, Nan Wang, Haiyong Zheng, Bing Zheng"
2097,1549,One-Shot Metric Learning for Person Re-Identification,3D MRI brain tumor segmentation using autoencoder regularization,"Bak, Slawomir and Carr, Peter",Andriy Myronenko
316,1704,Quasi Real-Time Summarization for Consumer Videos,Improving Fast Segmentation With Teacher-student Learning,"Zhao, Bin and Xing, Eric P.","Jiafeng Xie, Bing Shuai, Jian-Fang Hu, Jingyang Lin, Wei-Shi Zheng"
3005,2182,Learning to Segment Every Thing,Geometric-based Line Segment Tracking for HDR Stereo Sequences,"Hu, Ronghang and Dollr, Piotr and He, Kaiming and Darrell, Trevor and Girshick, Ross","Ruben Gomez-Ojeda, Javier Gonzalez-Jimenez"
1488,1664,WarpNet: Weakly Supervised Matching for Single-View Reconstruction,Hierarchical multi-class segmentation of glioma images using networks with multi-level activation function,"Kanazawa, Angjoo and Jacobs, David W. and Chandraker, Manmohan","Xiaobin Hu, Hongwei Li, Yu Zhao, Chao Dong, Bjoern H. Menze, Marie Piraud"
3487,1547,Smooth Neighbors on Teacher Graphs for Semi-Supervised Learning,3D Terrain Segmentation in the SWIR Spectrum,"Luo, Yucen and Zhu, Jun and Li, Mengxi and Ren, Yong and Zhang, Bo","Dalton Rosario, Anthony Ortiz, Olac Fuentes"
2806,6744,Weakly-Supervised Deep Convolutional Neural Network Learning for Facial Action Unit Intensity Estimation,LSTD: A Low-Shot Transfer Detector for Object Detection,"Zhang, Yong and Dong, Weiming and Hu, Bao-Gang and Ji, Qiang","Hao Chen, Yali Wang, Guoyou Wang, Yu Qiao"
1408,8230,Learning to Read Chest X-Rays: Recurrent Neural Cascade Model for Automated Image Annotation,Propagating Uncertainty in Multi-Stage Bayesian Convolutional Neural Networks with Application to Pulmonary Nodule Detection,"Shin, Hoo-Chang and Roberts, Kirk and Lu, Le and Demner-Fushman, Dina and Yao, Jianhua and Summers, Ronald M.","Onur Ozdemir, Benjamin Woodward, Andrew A. Berlin"
1822,6422,Multi-Way Multi-Level Kernel Modeling for Neuroimaging Classification,Ocean Eddy Identification and Tracking using Neural Networks,"He, Lifang and Lu, Chun-Ta and Ding, Hao and Wang, Shen and Shen, Linlin and Yu, Philip S. and Ragin, Ann B.","Katharina Franz, Ribana Roscher, Andres Milioto, Susanne Wenzel, Jrgen Kusche"
1131,8583,Recovering Inner Slices of Translucent Objects by Multi-Frequency Illumination,Neural Network Based Reinforcement Learning for Audio-Visual Gaze Control in Human-Robot Interaction,"Tanaka, Kenichiro and Mukaigawa, Yasuhiro and Kubo, Hiroyuki and Matsushita, Yasuyuki and Yagi, Yasushi","Stphane Lathuilire, Benoit Mass, Pablo Mesejo, Radu Horaud"
2403,9764,Deep Learning With Low Precision by Half-Wave Gaussian Quantization,Exploring and Exploiting Diversity for Image Segmentation,"Cai, Zhaowei and He, Xiaodong and Sun, Jian and Vasconcelos, Nuno",Payman Yadollahpour
1067,5914,Transport-Based Single Frame Super Resolution of Very Low Resolution Face Images,A Fully Progressive Approach to Single-Image Super-Resolution,"Kolouri, Soheil and Rohde, Gustavo K.","Yifan Wang, Federico Perazzi, Brian McWilliams, Alexander Sorkine-Hornung, Olga Sorkine-Hornung, Christopher Schroers"
64,1860,Finding Vanishing Points via Point Alignments in Image Primal and Dual Domains,Location Dependency in Video Prediction,"Lezama, Jose and Grompone von Gioi, Rafael and Randall, Gregory and Morel, Jean-Michel","Niloofar Azizi, Hafez Farazi, Sven Behnke"
1127,932,Generalized Video Deblurring for Dynamic Scenes,Automatic L3 slice detection in 3D CT images using fully-convolutional networks,"Hyun Kim, Tae and Mu Lee, Kyoung","Fahdi Kanavati, Shah Islam, Eric O. Aboagye, Andrea Rockall"
932,1803,Bayesian Sparse Representation for Hyperspectral Image Super Resolution,Every Pixel Counts ++: Joint Learning of Geometry and Motion with 3D Holistic Understanding,"Akhtar, Naveed and Shafait, Faisal and Mian, Ajmal","Chenxu Luo, Zhenheng Yang, Peng Wang, Yang Wang, Wei Xu, Ram Nevatia, Alan Yuille"
2062,9610,Bidirectional Multirate Reconstruction for Temporal Modeling in Videos,GLAD: Global-Local-Alignment Descriptor for Pedestrian Retrieval,"Zhu, Linchao and Xu, Zhongwen and Yang, Yi","Longhui Wei, Shiliang Zhang, Hantao Yao, Wen Gao, Qi Tian"
3200,70,Visual Question Generation as Dual Task of Visual Question Answering,Learning to Recognize 3D Human Action from A New Skeleton-based Representation Using Deep Convolutional Neural Networks,"Li, Yikang and Duan, Nan and Zhou, Bolei and Chu, Xiao and Ouyang, Wanli and Wang, Xiaogang and Zhou, Ming","Huy-Hieu Pham, Louahdi Khoudour, Alain Crouzil, Pablo Zegers, Sergio A. Velastin"
