ID_A,ID_B,Flag,Title_A,Title_B,Authors_A,Authors_B
977,6581,0,Salient Object Subitizing,"Revisiting Salient Object Detection: Simultaneous Detection, Ranking, and Subitizing of Multiple Salient Objects","Zhang, Jianming and Ma, Shugao and Sameki, Mehrnoosh and Sclaroff, Stan and Betke, Margrit and Lin, Zhe and Shen, Xiaohui and Price, Brian and Mech, Radomir","Md Amirul Islam, Mahmoud Kalash, Neil D. B. Bruce"
981,8182,0,Learning to Segment Moving Objects in Videos,Learning to Segment Moving Objects,"Fragkiadaki, Katerina and Arbelaez, Pablo and Felsen, Panna and Malik, Jitendra","Pavel Tokmakov, Cordelia Schmid, Karteek Alahari"
1031,8197,0,Sparse Composite Quantization,Composite Quantization,"Zhang, Ting and Qi, Guo-Jun and Tang, Jinhui and Wang, Jingdong","Jingdong Wang, Ting Zhang"
1114,5618,0,An Approximate Shading Model for Object Relighting,An Approximate Shading Model with Detail Decomposition for Object Relighting,"Liao, Zicheng and Karsch, Kevin and Forsyth, David","Zicheng Liao, Kevin Karsch, Hongyi Zhang, David Forsyth"
1146,94,0,Neural Module Networks,Classification of X-Ray Protein Crystallization Using Deep Convolutional Neural Networks with a Finder Module,"Andreas, Jacob and Rohrbach, Marcus and Darrell, Trevor and Klein, Dan","Yusei Miura, Tetsuya Sakurai, Claus Aranha, Toshiya Senda, Ryuichi Kato, Yusuke Yamada"
1146,2206,0,Neural Module Networks,Textually Enriched Neural Module Networks for Visual Question Answering,"Andreas, Jacob and Rohrbach, Marcus and Darrell, Trevor and Klein, Dan","Khyathi Raghavi Chandu, Mary Arpita Pyreddy, Matthieu Felix, Narendra Nath Joshi"
1146,2560,0,Neural Module Networks,Visual Coreference Resolution in Visual Dialog using Neural Module Networks,"Andreas, Jacob and Rohrbach, Marcus and Darrell, Trevor and Klein, Dan","Satwik Kottur, Jos M. F. Moura, Devi Parikh, Dhruv Batra, Marcus Rohrbach"
1202,7483,,"Scene Recognition With CNNs: Objects, Scales and Dataset Bias","Scene recognition with CNNs: objects, scales and dataset bias","Herranz, Luis and Jiang, Shuqiang and Li, Xiangyang","Luis Herranz, Shuqiang Jiang, Xiangyang Li"
1221,9174,0,Bilateral Space Video Segmentation,Automatic Streaming Segmentation of Stereo Video Using Bilateral Space,"Maerki, Nicolas and Perazzi, Federico and Wang, Oliver and Sorkine-Hornung, Alexander","Wenjing Ke, Yuanjie Zhu, Lei Yu"
1328,9931,0,A Consensus-Based Framework for Distributed Bundle Adjustment,Distributed Bundle Adjustment,"Eriksson, Anders and Bastian, John and Chin, Tat-Jun and Isaksson, Mats","Karthikeyan Natesan Ramamurthy, Chung-Ching Lin, Aleksandr Aravkin, Sharath Pankanti, Raphael Viguier"
1365,1503,0,When Naive Bayes Nearest Neighbors Meet Convolutional Neural Networks,Neural Nearest Neighbors Networks,"Kuzborskij, Ilja and Maria Carlucci, Fabio and Caputo, Barbara","Tobias Pltz, Stefan Roth"
1504,9418,,Constrained Joint Cascade Regression Framework for Simultaneous Facial Action Unit Recognition and Facial Landmark Detection,Constrained Joint Cascade Regression Framework for Simultaneous Facial Action Unit Recognition and Facial Landmark Detection,"Wu, Yue and Ji, Qiang","Yue Wu, Qiang Ji"
1588,9777,0,Large-Pose Face Alignment via CNN-Based Dense 3D Model Fitting,Dense Face Alignment,"Jourabloo, Amin and Liu, Xiaoming","Yaojie Liu, Amin Jourabloo, William Ren, Xiaoming Liu"
1623,6893,0,Semantic Filtering,"Multi-Evidence Filtering and Fusion for Multi-Label Classification, Object Detection and Semantic Segmentation Based on Weakly Supervised Learning","Yang, Qingxiong","Weifeng Ge, Sibei Yang, Yizhou Yu"
1627,6508,0,Natural Language Object Retrieval,Object Captioning and Retrieval with Natural Language,"Hu, Ronghang and Xu, Huazhe and Rohrbach, Marcus and Feng, Jiashi and Saenko, Kate and Darrell, Trevor","Anh Nguyen, Thanh-Toan Do, Ian Reid, Darwin G. Caldwell, Nikos G. Tsagarakis"
1637,4912,0,Image Captioning With Semantic Attention,Image Captioning,"You, Quanzeng and Jin, Hailin and Wang, Zhaowen and Fang, Chen and Luo, Jiebo","Vikram Mullachery, Vishal Motwani"
1685,9419,,Constrained Deep Transfer Feature Learning and Its Applications,Constrained Deep Transfer Feature Learning and its Applications,"Wu, Yue and Ji, Qiang","Yue Wu, Qiang Ji"
1754,5986,,End-To-End Saliency Mapping via Probability Distribution Prediction,End-to-End Saliency Mapping via Probability Distribution Prediction,"Jetley, Saumya and Murray, Naila and Vig, Eleonora","Saumya Jetley, Naila Murray, Eleonora Vig"
1815,4912,0,Deep Reinforcement Learning-Based Image Captioning With Embedding Reward,Image Captioning,"Ren, Zhou and Wang, Xiaoyu and Zhang, Ning and Lv, Xutao and Li, Li-Jia","Vikram Mullachery, Vishal Motwani"
1819,2560,0,Visual Dialog,Visual Coreference Resolution in Visual Dialog using Neural Module Networks,"Das, Abhishek and Kottur, Satwik and Gupta, Khushi and Singh, Avi and Yadav, Deshraj and Moura, Jose M. F. and Parikh, Devi and Batra, Dhruv","Satwik Kottur, Jos M. F. Moura, Devi Parikh, Dhruv Batra, Marcus Rohrbach"
1819,4208,0,Visual Dialog,End-to-End Audio Visual Scene-Aware Dialog using Multimodal Attention-Based Video Features,"Das, Abhishek and Kottur, Satwik and Gupta, Khushi and Singh, Avi and Yadav, Deshraj and Moura, Jose M. F. and Parikh, Devi and Batra, Dhruv","Chiori Hori, Huda Alamri, Jue Wang, Gordon Wichern, Takaaki Hori, Anoop Cherian, Tim K. Marks, Vincent Cartillier, Raphael Gontijo Lopes, Abhishek Das, Irfan Essa, Dhruv Batra, Devi Parikh"
1819,4691,0,Visual Dialog,Audio Visual Scene-Aware Dialog (AVSD) Challenge at DSTC7,"Das, Abhishek and Kottur, Satwik and Gupta, Khushi and Singh, Avi and Yadav, Deshraj and Moura, Jose M. F. and Parikh, Devi and Batra, Dhruv","Huda Alamri, Vincent Cartillier, Raphael Gontijo Lopes, Abhishek Das, Jue Wang, Irfan Essa, Dhruv Batra, Devi Parikh, Anoop Cherian, Tim K. Marks, Chiori Hori"
1819,6165,0,Visual Dialog,Two can play this Game: Visual Dialog with Discriminative Question Generation and Answering,"Das, Abhishek and Kottur, Satwik and Gupta, Khushi and Singh, Avi and Yadav, Deshraj and Moura, Jose M. F. and Parikh, Devi and Batra, Dhruv","Unnat Jain, Svetlana Lazebnik, Alexander Schwing"
1819,7126,0,Visual Dialog,Answerer in Questioner's Mind: Information Theoretic Approach to Goal-Oriented Visual Dialog,"Das, Abhishek and Kottur, Satwik and Gupta, Khushi and Singh, Avi and Yadav, Deshraj and Moura, Jose M. F. and Parikh, Devi and Batra, Dhruv","Sang-Woo Lee, Yu-Jung Heo, Byoung-Tak Zhang"
1819,8175,0,Visual Dialog,Examining Cooperation in Visual Dialog Models,"Das, Abhishek and Kottur, Satwik and Gupta, Khushi and Singh, Avi and Yadav, Deshraj and Moura, Jose M. F. and Parikh, Devi and Batra, Dhruv","Mircea Mironenco, Dana Kianfar, Ke Tran, Evangelos Kanoulas, Efstratios Gavves"
1819,8537,0,Visual Dialog,Are You Talking to Me? Reasoned Visual Dialog Generation through Adversarial Learning,"Das, Abhishek and Kottur, Satwik and Gupta, Khushi and Singh, Avi and Yadav, Deshraj and Moura, Jose M. F. and Parikh, Devi and Batra, Dhruv","Qi Wu, Peng Wang, Chunhua Shen, Ian Reid, Anton van den Hengel"
1819,9425,0,Visual Dialog,Visual Reference Resolution using Attention Memory for Visual Dialog,"Das, Abhishek and Kottur, Satwik and Gupta, Khushi and Singh, Avi and Yadav, Deshraj and Moura, Jose M. F. and Parikh, Devi and Batra, Dhruv","Paul Hongsuck Seo, Andreas Lehrmann, Bohyung Han, Leonid Sigal"
1824,4912,0,Knowing When to Look: Adaptive Attention via a Visual Sentinel for Image Captioning,Image Captioning,"Lu, Jiasen and Xiong, Caiming and Parikh, Devi and Socher, Richard","Vikram Mullachery, Vishal Motwani"
1825,9065,,Learning Deep Context-Aware Features Over Body and Latent Parts for Person Re-Identification,Learning Deep Context-aware Features over Body and Latent Parts for Person Re-identification,"Li, Dangwei and Chen, Xiaotang and Zhang, Zhang and Huang, Kaiqi","Dangwei Li, Xiaotang Chen, Zhang Zhang, Kaiqi Huang"
1834,4858,0,Dilated Residual Networks,SLSDeep: Skin Lesion Segmentation Based on Dilated Residual and Pyramid Pooling Networks,"Yu, Fisher and Koltun, Vladlen and Funkhouser, Thomas","Md. Mostafa Kamal Sarker, Hatem A. Rashwan, Farhan Akram, Syeda Furruka Banu, Adel Saleh, Vivek Kumar Singh, Forhad U H Chowdhury, Saddam Abdulwahab, Santiago Romani, Petia Radeva, Domenec Puig"
1879,4912,0,Attend to You: Personalized Image Captioning With Context Sequence Memory Networks,Image Captioning,"Chunseong Park, Cesc and Kim, Byeongchang and Kim, Gunhee","Vikram Mullachery, Vishal Motwani"
1903,5408,0,Image-To-Image Translation With Conditional Adversarial Networks,Conditional Image-to-Image Translation,"Isola, Phillip and Zhu, Jun-Yan and Zhou, Tinghui and Efros, Alexei A.","Jianxin Lin, Yingce Xia, Tao Qin, Zhibo Chen, Tie-Yan Liu"
1922,8227,0,Feedback Networks,Towards understanding feedback from supermassive black holes using convolutional neural networks,"Zamir, Amir R. and Wu, Te-Lin and Sun, Lin and Shen, William B. and Shi, Bertram E. and Malik, Jitendra and Savarese, Silvio",Stanislav Fort
1967,1581,0,Semantic Scene Completion From a Single Depth Image,Adversarial Semantic Scene Completion from a Single Depth Image,"Song, Shuran and Yu, Fisher and Zeng, Andy and Chang, Angel X. and Savva, Manolis and Funkhouser, Thomas","Yida Wang, David Joseph Tan, Nassir Navab, Federico Tombari"
1967,4404,0,Semantic Scene Completion From a Single Depth Image,View-volume Network for Semantic Scene Completion from a Single Depth Image,"Song, Shuran and Yu, Fisher and Zeng, Andy and Chang, Angel X. and Savva, Manolis and Funkhouser, Thomas","Yu-Xiao Guo, Xin Tong"
1969,399,0,Universal Adversarial Perturbations,Defending against Universal Perturbations with Shared Adversarial Training,"Moosavi-Dezfooli, Seyed-Mohsen and Fawzi, Alhussein and Fawzi, Omar and Frossard, Pascal","Chaithanya Kumar Mummadi, Thomas Brox, Jan Hendrik Metzen"
1969,2245,0,Universal Adversarial Perturbations,Playing the Game of Universal Adversarial Perturbations,"Moosavi-Dezfooli, Seyed-Mohsen and Fawzi, Alhussein and Fawzi, Omar and Frossard, Pascal","Julien Perolat, Mateusz Malinowski, Bilal Piot, Olivier Pietquin"
1969,7444,0,Universal Adversarial Perturbations,Generalizable Data-free Objective for Crafting Universal Adversarial Perturbations,"Moosavi-Dezfooli, Seyed-Mohsen and Fawzi, Alhussein and Fawzi, Omar and Frossard, Pascal","Konda Reddy Mopuri, Aditya Ganeshan, R. Venkatesh Babu"
1969,8670,0,Universal Adversarial Perturbations,Defense against Universal Adversarial Perturbations,"Moosavi-Dezfooli, Seyed-Mohsen and Fawzi, Alhussein and Fawzi, Omar and Frossard, Pascal","Naveed Akhtar, Jian Liu, Ajmal Mian"
1969,9645,0,Universal Adversarial Perturbations,Art of singular vectors and universal adversarial perturbations,"Moosavi-Dezfooli, Seyed-Mohsen and Fawzi, Alhussein and Fawzi, Omar and Frossard, Pascal","Valentin Khrulkov, Ivan Oseledets"
1978,7077,,Unsupervised Learning of Depth and Ego-Motion From Video,Unsupervised Learning of Depth and Ego-Motion from Monocular Video Using 3D Geometric Constraints,"Zhou, Tinghui and Brown, Matthew and Snavely, Noah and Lowe, David G.","Reza Mahjourian, Martin Wicke, Anelia Angelova"
2052,6118,0,Diverse Image Annotation,Tagging like Humans: Diverse and Distinct Image Annotation,"Wu, Baoyuan and Jia, Fan and Liu, Wei and Ghanem, Bernard","Baoyuan Wu, Weidong Chen, Peng Sun, Wei Liu, Bernard Ghanem, Siwei Lyu"
2056,5904,,Binge Watching: Scaling Affordance Learning From Sitcoms,Binge Watching: Scaling Affordance Learning from Sitcoms,"Wang, Xiaolong and Girdhar, Rohit and Gupta, Abhinav","Xiaolong Wang, Rohit Girdhar, Abhinav Gupta"
2083,3739,0,Reliable Crowdsourcing and Deep Locality-Preserving Learning for Expression Recognition in the Wild,Deep Learning in the Wild,"Li, Shan and Deng, Weihong and Du, JunPing","Thilo Stadelmann, Mohammadreza Amirian, Ismail Arabaci, Marek Arnold, Gilbert Franois Duivesteijn, Ismail Elezi, Melanie Geiger, Stefan Lrwald, Benjamin Bruno Meier, Katharina Rombach, Lukas Tuggener"
2100,1784,0,Learning Cross-Modal Embeddings for Cooking Recipes and Food Images,Recipe1M: A Dataset for Learning Cross-Modal Embeddings for Cooking Recipes and Food Images,"Salvador, Amaia and Hynes, Nicholas and Aytar, Yusuf and Marin, Javier and Ofli, Ferda and Weber, Ingmar and Torralba, Antonio","Javier Marin, Aritro Biswas, Ferda Ofli, Nicholas Hynes, Amaia Salvador, Yusuf Aytar, Ingmar Weber, Antonio Torralba"
2122,5434,0,Deep Cross-Modal Hashing,Cycle-Consistent Deep Generative Hashing for Cross-Modal Retrieval,"Jiang, Qing-Yuan and Li, Wu-Jun","Lin Wu, Yang Wang, Ling Shao"
2147,9417,,"Simultaneous Facial Landmark Detection, Pose and Deformation Estimation Under Facial Occlusion","Simultaneous Facial Landmark Detection, Pose and Deformation Estimation under Facial Occlusion","Wu, Yue and Gou, Chao and Ji, Qiang","Yue Wu, Chao Gou, Qiang Ji"
2159,8514,0,Non-Local Color Image Denoising With Convolutional Neural Networks,Non-local Neural Networks,"Lefkimmiatis, Stamatios","Xiaolong Wang, Ross Girshick, Abhinav Gupta, Kaiming He"
2176,4059,,Gated Feedback Refinement Network for Dense Image Labeling,Gated Feedback Refinement Network for Coarse-to-Fine Dense Semantic Image Labeling,"Amirul Islam, Md and Rochan, Mrigank and Bruce, Neil D. B. and Wang, Yang","Md Amirul Islam, Mrigank Rochan, Shujon Naha, Neil D. B. Bruce, Yang Wang"
2191,7643,,Deep Crisp Boundaries,Deep Crisp Boundaries: From Boundaries to Higher-level Tasks,"Wang, Yupei and Zhao, Xin and Huang, Kaiqi","Yupei Wang, Xin Zhao, Yin Li, Kaiqi Huang"
2193,7459,0,Generative Face Completion,High Resolution Face Completion with Multiple Controllable Attributes via Fully End-to-End Progressive Generative Adversarial Networks,"Li, Yijun and Liu, Sifei and Yang, Jimei and Yang, Ming-Hsuan","Zeyuan Chen, Shaoliang Nie, Tianfu Wu, Christopher G. Healey"
2195,8302,0,Learning Deep CNN Denoiser Prior for Image Restoration,Deep Image Prior,"Zhang, Kai and Zuo, Wangmeng and Gu, Shuhang and Zhang, Lei","Dmitry Ulyanov, Andrea Vedaldi, Victor Lempitsky"
2198,8304,0,Light Field Blind Motion Deblurring,Joint Blind Motion Deblurring and Depth Estimation of Light Field,"Srinivasan, Pratul P. and Ng, Ren and Ramamoorthi, Ravi","Dongwoo Lee, Haesol Park, In Kyu Park, Kyoung Mu Lee"
2208,5745,,Video2Shop: Exact Matching Clothes in Videos to Online Shopping Images,Video2Shop: Exact Matching Clothes in Videos to Online Shopping Images,"Cheng, Zhi-Qi and Wu, Xiao and Liu, Yang and Hua, Xian-Sheng","Zhi-Qi Cheng, Xiao Wu, Yang Liu, Xian-Sheng Hua"
2276,5790,0,Densely Connected Convolutional Networks,Assessment of Breast Cancer Histology using Densely Connected Convolutional Networks,"Huang, Gao and Liu, Zhuang and van der Maaten, Laurens and Weinberger, Kilian Q.","Matthias Kohl, Christoph Walz, Florian Ludwig, Stefan Braunewell, Maximilian Baust"
2276,9099,0,Densely Connected Convolutional Networks,Densely Connected Convolutional Networks and Signal Quality Analysis to Detect Atrial Fibrillation Using Short Single-Lead ECG Recordings,"Huang, Gao and Liu, Zhuang and van der Maaten, Laurens and Weinberger, Kilian Q.","Jonathan Rubin, Saman Parvaneh, Asif Rahman, Bryan Conroy, Saeed Babaeizadeh"
2315,3634,0,Stacked Generative Adversarial Networks,CT Image Enhancement Using Stacked Generative Adversarial Networks and Transfer Learning for Lesion Segmentation Improvement,"Huang, Xun and Li, Yixuan and Poursaeed, Omid and Hopcroft, John and Belongie, Serge","Youbao Tang, Jinzheng Cai, Le Lu, Adam P. Harrison, Ke Yan, Jing Xiao, Lin Yang, Ronald M. Summers"
2315,8090,0,Stacked Generative Adversarial Networks,Stacked Conditional Generative Adversarial Networks for Jointly Learning Shadow Detection and Shadow Removal,"Huang, Xun and Li, Yixuan and Poursaeed, Omid and Hopcroft, John and Belongie, Serge","Jifeng Wang, Xiang Li, Le Hui, Jian Yang"
2315,8925,0,Stacked Generative Adversarial Networks,StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,"Huang, Xun and Li, Yixuan and Poursaeed, Omid and Hopcroft, John and Belongie, Serge","Han Zhang, Tao Xu, Hongsheng Li, Shaoting Zhang, Xiaogang Wang, Xiaolei Huang, Dimitris Metaxas"
2341,6827,,Hardware-Efficient Guided Image Filtering for Multi-Label Problem,Hardware-Efficient Guided Image Filtering For Multi-Label Problem,"Dai, Longquan and Yuan, Mengke and Li, Zechao and Zhang, Xiaopeng and Tang, Jinhui","Longquan Dai, Mengke Yuan, Zechao Li, Xiaopeng Zhang, Jinhui Tang"
2374,9790,,"Link the Head to the ""Beak"": Zero Shot Learning From Noisy Text Description at Part Precision","Link the head to the ""beak"": Zero Shot Learning from Noisy Text Description at Part Precision","Elhoseiny, Mohamed and Zhu, Yizhe and Zhang, Han and Elgammal, Ahmed","Mohamed Elhoseiny, Yizhe Zhu, Han Zhang, Ahmed Elgammal"
2376,4912,0,SCA-CNN: Spatial and Channel-Wise Attention in Convolutional Networks for Image Captioning,Image Captioning,"Chen, Long and Zhang, Hanwang and Xiao, Jun and Nie, Liqiang and Shao, Jian and Liu, Wei and Chua, Tat-Seng","Vikram Mullachery, Vishal Motwani"
2376,8423,0,SCA-CNN: Spatial and Channel-Wise Attention in Convolutional Networks for Image Captioning,Convolutional Image Captioning,"Chen, Long and Zhang, Hanwang and Xiao, Jun and Nie, Liqiang and Shao, Jian and Liu, Wei and Chua, Tat-Seng","Jyoti Aneja, Aditya Deshpande, Alexander Schwing"
2473,4912,0,Incorporating Copying Mechanism in Image Captioning for Learning Novel Objects,Image Captioning,"Yao, Ting and Pan, Yingwei and Li, Yehao and Mei, Tao","Vikram Mullachery, Vishal Motwani"
2496,6716,,DenseReg: Fully Convolutional Dense Shape Regression In-The-Wild,DenseReg: Fully Convolutional Dense Shape Regression In-the-Wild,"Alp Guler, Riza and Trigeorgis, George and Antonakos, Epameinondas and Snape, Patrick and Zafeiriou, Stefanos and Kokkinos, Iasonas","Riza Alp Guler, Yuxiang Zhou, George Trigeorgis, Epameinondas Antonakos, Patrick Snape, Stefanos Zafeiriou, Iasonas Kokkinos"
2513,4912,0,Bidirectional Beam Search: Forward-Backward Inference in Neural Sequence Models for Fill-In-The-Blank Image Captioning,Image Captioning,"Sun, Qing and Lee, Stefan and Batra, Dhruv","Vikram Mullachery, Vishal Motwani"
2518,4912,0,Self-Critical Sequence Training for Image Captioning,Image Captioning,"Rennie, Steven J. and Marcheret, Etienne and Mroueh, Youssef and Ross, Jerret and Goel, Vaibhava","Vikram Mullachery, Vishal Motwani"
2533,7315,,Learning Random-Walk Label Propagation for Weakly-Supervised Semantic Segmentation,Learning random-walk label propagation for weakly-supervised semantic segmentation,"Vernaza, Paul and Chandraker, Manmohan","Paul Vernaza, Manmohan Chandraker"
2534,2459,0,Adversarial Discriminative Domain Adaptation,Improving Adversarial Discriminative Domain Adaptation,"Tzeng, Eric and Hoffman, Judy and Saenko, Kate and Darrell, Trevor","Aaron Chadha, Yiannis Andreopoulos"
2545,4912,0,Skeleton Key: Image Captioning by Skeleton-Attribute Decomposition,Image Captioning,"Wang, Yufei and Lin, Zhe and Shen, Xiaohui and Cohen, Scott and Cottrell, Garrison W.","Vikram Mullachery, Vishal Motwani"
2547,180,0,Realtime Multi-Person 2D Pose Estimation Using Part Affinity Fields,OpenPose: Realtime Multi-Person 2D Pose Estimation using Part Affinity Fields,"Cao, Zhe and Simon, Tomas and Wei, Shih-En and Sheikh, Yaser","Zhe Cao, Gines Hidalgo, Tomas Simon, Shih-En Wei, Yaser Sheikh"
2548,9785,,Newton-Type Methods for Inference in Higher-Order Markov Random Fields,Newton-type Methods for Inference in Higher-Order Markov Random Fields,"Kannan, Hariprasad and Komodakis, Nikos and Paragios, Nikos","Hariprasad Kannan, Nikos Komodakis, Nikos Paragios"
2568,1569,0,Embodied Question Answering,Neural Modular Control for Embodied Question Answering,"Das, Abhishek and Datta, Samyak and Gkioxari, Georgia and Lee, Stefan and Parikh, Devi and Batra, Dhruv","Abhishek Das, Georgia Gkioxari, Stefan Lee, Devi Parikh, Dhruv Batra"
2568,8273,,Embodied Question Answering,Embodied Question Answering,"Das, Abhishek and Datta, Samyak and Gkioxari, Georgia and Lee, Stefan and Parikh, Devi and Batra, Dhruv","Abhishek Das, Samyak Datta, Georgia Gkioxari, Stefan Lee, Devi Parikh, Dhruv Batra"
2569,8179,,Learning by Asking Questions,Learning by Asking Questions,"Misra, Ishan and Girshick, Ross and Fergus, Rob and Hebert, Martial and Gupta, Abhinav and van der Maaten, Laurens","Ishan Misra, Ross Girshick, Rob Fergus, Martial Hebert, Abhinav Gupta, Laurens van der Maaten"
2573,8188,,GANerated Hands for Real-Time 3D Hand Tracking From Monocular RGB,GANerated Hands for Real-time 3D Hand Tracking from Monocular RGB,"Mueller, Franziska and Bernard, Florian and Sotnychenko, Oleksandr and Mehta, Dushyant and Sridhar, Srinath and Casas, Dan and Theobalt, Christian","Franziska Mueller, Florian Bernard, Oleksandr Sotnychenko, Dushyant Mehta, Srinath Sridhar, Dan Casas, Christian Theobalt"
2574,5882,,Learning Pose Specific Representations by Predicting Different Views,Learning Pose Specific Representations by Predicting Different Views,"Poier, Georg and Schinagl, David and Bischof, Horst","Georg Poier, David Schinagl, Horst Bischof"
2575,5192,,Weakly and Semi Supervised Human Body Part Parsing via Pose-Guided Knowledge Transfer,Weakly and Semi Supervised Human Body Part Parsing via Pose-Guided Knowledge Transfer,"Fang, Hao-Shu and Lu, Guansong and Fang, Xiaolin and Xie, Jianwen and Tai, Yu-Wing and Lu, Cewu","Hao-Shu Fang, Guansong Lu, Xiaolin Fang, Jianwen Xie, Yu-Wing Tai, Cewu Lu"
2576,8475,,Person Transfer GAN to Bridge Domain Gap for Person Re-Identification,Person Transfer GAN to Bridge Domain Gap for Person Re-Identification,"Wei, Longhui and Zhang, Shiliang and Gao, Wen and Tian, Qi","Longhui Wei, Shiliang Zhang, Wen Gao, Qi Tian"
2577,6140,,Cross-Modal Deep Variational Hand Pose Estimation,Cross-modal Deep Variational Hand Pose Estimation,"Spurr, Adrian and Song, Jie and Park, Seonwook and Hilliges, Otmar","Adrian Spurr, Jie Song, Seonwook Park, Otmar Hilliges"
2578,8079,,Disentangled Person Image Generation,Disentangled Person Image Generation,"Ma, Liqian and Sun, Qianru and Georgoulis, Stamatios and Van Gool, Luc and Schiele, Bernt and Fritz, Mario","Liqian Ma, Qianru Sun, Stamatios Georgoulis, Luc Van Gool, Bernt Schiele, Mario Fritz"
2579,8073,,Super-FAN: Integrated Facial Landmark Localization and Super-Resolution of Real-World Low Resolution Faces in Arbitrary Poses With GANs,Super-FAN: Integrated facial landmark localization and super-resolution of real-world low resolution faces in arbitrary poses with GANs,"Bulat, Adrian and Tzimiropoulos, Georgios","Adrian Bulat, Georgios Tzimiropoulos"
2584,6689,,Single View Stereo Matching,Single View Stereo Matching,"Luo, Yue and Ren, Jimmy and Lin, Mude and Pang, Jiahao and Sun, Wenxiu and Li, Hongsheng and Lin, Liang","Yue Luo, Jimmy Ren, Mude Lin, Jiahao Pang, Wenxiu Sun, Hongsheng Li, Liang Lin"
2586,6284,,Deep Depth Completion of a Single RGB-D Image,Deep Depth Completion of a Single RGB-D Image,"Zhang, Yinda and Funkhouser, Thomas","Yinda Zhang, Thomas Funkhouser"
2588,7187,,PPFNet: Global Context Aware Local Features for Robust 3D Point Matching,PPFNet: Global Context Aware Local Features for Robust 3D Point Matching,"Deng, Haowen and Birdal, Tolga and Ilic, Slobodan","Haowen Deng, Tolga Birdal, Slobodan Ilic"
2589,7868,,FoldingNet: Point Cloud Auto-Encoder via Deep Grid Deformation,FoldingNet: Point Cloud Auto-encoder via Deep Grid Deformation,"Yang, Yaoqing and Feng, Chen and Shen, Yiru and Tian, Dong","Yaoqing Yang, Chen Feng, Yiru Shen, Dong Tian"
