ID_A,ID_B,Flag,Title_A,Title_B,Year_A,Year_B,Authors_A,Authors_B
KvJKA7XP7AoJ,journals/tods/OliverS94,,Histology and histochemistry of the liver of chickens after DENA induced hepatocarcinogenesis and  ,A Taxonomy for Secure Object-Oriented Databases,1987,1994,"H Brunn, E Schmidt, M Reinacher, D Manz, E  ","M Olivier, S Solms"
rIkDICljfFEJ,conf/sigmod/LoR94,,3D photography on your desk IEEE Int,Spatial Joins Using Seeded Trees,,1994,"JY Bouguet, P Perona","M Lo, C Ravishankar"
8b0erjCisy4J,conf/sigmod/Cotton02,,Lazy Consistency Using Loosely Synchronized Clocks,Implementing XQuery,,2002,"A Adya, B Liskov",P Cotton
w0ZGY7F_PDUJ,journals/sigmod/CfP99,,Ein framework zur entwicklung komponentenbasierter groupware. to appear,"The Active Database Central, ER2000, VLDB 2000, WISE 2000, Books, ACM DL",,1999,"DA Tietze, R Steinmetz",
S1ROYluzYw8J,conf/sigmod/ShouCTRH01,,The Parochial Dinosaur: Organizational Science in a Global Context,REVIEW: A Real Time Virtual Walkthrough System,1991,2001,"NA Boyacigiller, NJ Adler","L Shou, J Chionh, K Tan, Y Ruan, Z Huang"
muar7Cy_v6IJ,journals/sigmod/Anonymous96,,PRTV: An Efficient Implementation for Large Relational Data Bases,MQSeries and CICS Link for Lotus Notes,,1996,S Todd,
Z8hce1s0FtcJ,conf/vldb/BouguettayaEMO01,,Study of agar and carrageenan by 13 C nuclear magnetic resonance spectroscopy,Ontology-based Support for Digital Government,,2001,"SS Bhattacharjee, W Yaphe, GK Hamer","A Bouguettaya, A Elmagarmid, B Medjahed, M Ouzzani"
3mIFpmoWAFUJ,journals/sigmod/NobleS95,,Join Index Hierarchy: An Indexing Structure for Efficient Navigation in Object-Oriented Databases,A Research Status Report on Adaptation for Mobile Data Access,,1995,"J Han, Z Xie, Y Fu","B Noble, M Satyanarayanan"
NuyPTIe6274J,conf/sigmod/French95,,Limits of Detection of Buried Landmines Based on Local Echo Contrasts,``One Size Fits All'' Database Architectures Do Not Work for DDS,,1995,"B Sai, I Morrow, P van Genderen",C French
x6MjpFAEz2gJ,conf/vldb/Mattos96,,"Ergonomics, policy, and the ED nurse",Supporting Procedural Constructs in SQL Compilers,2000,1996,RE Malone,N Mattos
YUySuihhyM0J,conf/vldb/Uhl02,,Cooperative Object Buffer Management in the Advanced Information Prototype,A Bandwidth Model for Internet Search,,2002,"K KÃ¼spert, P Dadam, J GÃ¼nauer",A Uhl
dZJZWEM8-dUJ,conf/vldb/AdityaBCHNS02,,Scale and rotation invariant recognition of 2-D shape using higher-order local autocorrelation  ,BANKS: Browsing and Keyword Searching in Relational Databases,,2002,"K Hotta, T Kurita, T Mishima","B Aditya, G Bhalotia, S Chakrabarti, A Hulgeri, C Nakhe, P Parag, S Sudarshan"
zVe6bL5nfb8J,conf/sigmod/HellersteinHW97,,Prospects of Trade and Investment in India and China,Online Aggregation,2002,1997,A Sarma,"J Hellerstein, P Haas, H Wang"
T3VTiC6LiL4J,conf/sigmod/AgrawalES03,,Out of bedlam: management by quality leadership,Information Sharing Across Private Databases,,2003,F Price,"R Agrawal, A Evfimievski, R Srikant"
umGxlKvzLoUJ,journals/tods/YanG99,,Pull for Data Broadcast,The SIFT Information Dissemination System,,1999,"S Acharya, M Franklin, S Zdonik, B Push","T Yan, H Garcia-Molina"
va2q8Fp-FF0J,conf/sigmod/FabretJLPRS01,,DynaTnics of Glassy PolyTner Melts in Confined GeoTnetry: A Monte Carlo Simulation,Filtering Algorithms and Implementation for Very Fast Publish/Subscribe,1996,2001,J Baschnagel,"F Fabret, H Jacobsen, F Llirbat, J Pereira, K Ross, D Shasha"
PcnfzFfEY1wJ,conf/sigmod/Tajima96,,Semantic integration of environmental models for application to global information and decision- ,Static Detection of Security Flaws in Object-Oriented Databases,,1996,DS Mackay,K Tajima
ojhB9CmEr-QJ,journals/sigmod/PossasMCR00,,Automated testing as an aid to systems integration,Using Quantitative Information for Efficient Association Rule Generation,1997,2000,"ID Hicks, GJ South, AO Oshisanwo","B Pєssas, W Jr., M Carvalho, R Resende"
Pvu6IjUYgNwJ,conf/sigmod/SismanisDRK02,,Court: disability law doesn't apply to Web,Dwarf: shrinking the PetaCube,,2002,P Thibodeau,"Y Sismanis, A Deligiannakis, N Roussopoulos, Y Kotidis"
2V5Rhj48Y2kJ,journals/tods/MuralidharS99,,Dynamic characteristics of hydrodynamic journal bearings,Security of Random Data Perturbation Methods,,1999,G Lu,"K Muralidhar, R Sarathy"
f4W03dvh19EJ,journals/sigmod/Kosch02,,Analysis and Design of Multiagent Systems Using MAS-CommonKADS,MPEG-7 and Multimedia Database Systems,1998,2002,"CA Iglesias, M Garijo, JC Gonzalez, JR Velasco",H Kosch
BeT5swackCoJ,conf/sigmod/KriegelMPS01,,"unpublished talk, presented at the Rossi 2000 Symposium, GSFC/NASA, Greenbelt",Spatial Data Management for Computer Aided Design,,2001,K Jahoda,"H Kriegel, A Mќller, M Pіtke, T Seidl"
xkZHYAF44AAJ,conf/vldb/ChenHWW02,,Tracking Strategy in an Entrepreneurial Firm,Multi-Dimensional Regression Analysis of Time-Series Data Streams,1982,2002,"H Mintzberg, JA Waters","Y Chen, G Dong, J Han, B Wah, J Wang"
gH4dCptTL58J,conf/sigmod/GetoorTK01,,"Coloured Petri nets: basic concepts, analysis methods and practical use",Selectivity Estimation using Probabilistic Models,1997,2001,K Jensen,"L Getoor, B Taskar, D Koller"
kmK6o0XIrrgJ,journals/sigmod/KokkotosIPS95,,Talisman: commodity realtime 3D graphics for the PC,On the Issue of Valid Time(s) in Temporal Databases,1996,1995,"J Torborg, JT Kajiya","S Kokkotos, E Ioannidis, T Panayiotopoulos, C Spyropoulos"
dVSrwjUErwgJ,conf/vldb/Kiessling02,,Symbolic math on a programmable hand-held calculator,Foundations of Preferences in Database Systems,1979,2002,DR Stoutemyer,W Kieпling
PBQNcqSsnyEJ,journals/tods/BunemanO96,,Development of a Heavy-Duty Chassis Dynamometer Driving route,Polymorphism and Type Inference in Database Programming,1999,1996,"RD Nine, NN Clark, JJ Daley, CM Atkinson","P Buneman, A Ohori"
E3nbqEL4GV8J,conf/vldb/DoDJJR98,,Issues in the history of computing,Issues in Developing Very Large Data Warehouses,1996,1998,MS Mahoney,"L Do, P Drew, W Jin, V Jumani, D Rossum"
wzXQwnislakJ,conf/vldb/RamanH01,,"Automated Discovery, Interaction and Composition of Semantic Web Services",Potter's Wheel: An Interactive Data Cleaning System,,2001,"K Sycara, M Paolucci, A Ankolekar, N Srinivasan","V Raman, J Hellerstein"
SmO9TPw9jA0J,conf/sigmod/SlivinskasJS01,,MD 2000 W. Barrett Gunter,Adaptable Query Optimization and Evaluation in Temporal Middleware,,2001,IQ Smith,"G Slivinskas, C Jensen, R Snodgrass"
ouqqrsN4Tm4J,conf/vldb/KaushikBNS02,,Change in spinal canal and nerve root foraminal measurements before and six months following  ,Updates for Structure Indexes,,2002,"D Wardlaw, F Smith, M Popeâ?¦","R Kaushik, P Bohannon, J Naughton, P Shenoy"
19cQR-XX40cJ,conf/sigmod/CatarciS94,,The ABCs of Small Grant Acquisition for Social Studies Teachers. Middle Level Learning.,Query by Diagram: A Graphical Environment for Querying Databases,1998,1994,B Sliger,"T Catarci, G Santucci"
dNpKBOk3ErQJ,conf/sigmod/HinneburgK99,,Two families of chloride channels in apical patches of stellate cells of Malpighian tubules of the  ,Clustering Methods for Large Databases: From the Past to the Future,,1999,KW Oâ??Connor Kand Beyenbach,"A Hinneburg, D Keim"
DXLI7hrX1lYJ,conf/vldb/Spaccapietra94,,"Erosion and suspended sediment transfer in river catchments: Environmental controls, processes and  ","\User Interfaces; Who Cares?\""""",1997,1994,"J Woodward, I Foster",S Spaccapietra
ghsa7FrkvzQJ,conf/sigmod/Colliat03,,A Direct Manipulation User Interface for Querying Geographic Databases,Data Management Challenges in CRM,,2003,"JL de Oliveira, CB Medeiros",G Colliat
tNNBw1NV7jYJ,conf/vldb/Leymann01,,In: Handbook of the biology of aging,Managing Business Processes via Workflow Technology,,2001,"A Bartke, M Lane",
OhiGJ7Gy3KgJ,journals/sigmod/GlavitschSW94,,thEast European Conference ADBIS 2001 on Advances in Databases and Information Systems. Vol. 2 â?? ,Metadata for Integrating Speech Documents in a Text Retrieval System,2001,1994,"A Caplinskas, J Eder","U Glavitsch, P Schфuble, M Wechsler"
3iXVBnCrsdIJ,conf/sigmod/GardarinMP95,,"University of California, Santa Cruz.",OFL: A Functional Execution Model for Object Query Languages,1993,1995,DE McHenry,"G Gardarin, F Machuca, P Pucheral"
veT1ro-6xoUJ,conf/vldb/BouguettayaEMO01,,"Products of modal logics, 1997",Ontology-based Support for Digital Government,,2001,"D Gabbay, V Shehtman","A Bouguettaya, A Elmagarmid, B Medjahed, M Ouzzani"
YOmjd7tKrWgJ,journals/sigmod/RossNO03,,Ã¢â?¬ Å?Recovering information from summary dataÃ¢â?¬Â?,Reminiscences on Influential Papers,,2003,"C Faloutsos, HV Jagadish, ND Sidiropoulos",
7QGSC35HjfAJ,journals/tods/DeyS96,,No Silver Bullet: Essence and Accident in Software Engineering,A Probabilistic Relational Model and Algebra,1987,1996,F Brooks,"D Dey, S Sarkar"
Us06fy-ndtsJ,journals/sigmod/dOnofrioP03,,Jini home networking: A Step Towards Pervasive Computing,Modelling temporal thematic map contents,,2003,"U Varshney, R Jain","A d'Onofrio, E Pourabbas"
oYnY6PUGswUJ,journals/vldb/Atkinson00,,Reducing Buyer Search Costs: Implications for Electronic Marketplaces,Guest editorial,1997,2000,JY Bakos,
nvejSxvYuWYJ,conf/vldb/UrhanF01,,Semantics of CAD objects for generalized databases,Dynamic Pipeline Scheduling for Improving Interactive Query Performance,1986,2001,"D Rieu, GT Nguyen","T Urhan, M Franklin"
IdK_JWGTHCUJ,conf/vldb/CatozziR95,,A Distributed Database for BioMolecular Images,OS Support for VLDBs: Unix Enhancements for the Teradata Data Base,2004,1995,"AK Singh, BS Manjunath, RF Murphy","J Catozzi, S Rabinovici"
TXJKS__6oRwJ,conf/sigmod/PatelD96,,ApJS,Partition Based Spatial-Merge Join,1999,1996,V Slyshâ?¦,"J Patel, D DeWitt"
dDAeNYgg1qcJ,conf/vldb/GehaniJR94,,Lâ??integration des donnees dans un systeme de reconnaissance de documents assistee,OdeFS: A File System Interface to an Object-Oriented Database,,1994,"F Bapst, R Brugger, A Zramdini, R Ingold","N Gehani, H Jagadish, W Roome"
LubnrpJzrtAJ,journals/sigmod/Aberer02a,,Toward an Understanding of the Interconnectedness of Women's Lives: The&quot; Racial&quot; Reproduction of  ,Book Review Column,1995,2002,LJ Peake,K Aberer
XKStsJVj27AJ,journals/sigmod/CheungF98,,Design Considerations and Performance Optimizations for Real-time ORBs,Enhanced Nearest Neighbour Search on the R-tree,,1998,"A Gokhale, I Pyarali, COâ??Ryan, DC Schmidt, V  ","K Cheung, A Fu"
PejT0m0yUR0J,journals/sigmod/Snodgrass02a,,"MySQL, NewRiders",TODS Perceptions and Misconceptions,1999,2002,P DuBois,R Snodgrass
oyVJFC-WR94J,conf/sigmod/Agarwal96,,A Statistical Simulation Model for Correlated Nakagami Fading Channels,A Super Scalar Sort Algorithm for RISC Processors,,1996,"J Luo, JR Zeidler",R Agarwal
44v72rNTKyIJ,conf/sigmod/GarofalakisI96,,Satellite Access Services,Multi-dimensional Resource Scheduling for Parallel Queries,1998,1996,"JF Wakeling, WH Dobbie","M Garofalakis, Y Ioannidis"
_jSsOhepB2cJ,conf/vldb/Bowker00,,Design of Movable Bridges,Work and Information Practices in the Sciences of Biodiversity,,2000,GM Stepanov,G Bowker
E2rQCgfLltYJ,journals/sigmod/PapianiWDN99,,"An Assessment of Preferential Attachment as a Mechanism for Human Sexual Network Formation, preprint","A Distributed Scientific Data Archive Using the Web, XML and SQL/MED",,1999,"JH Jones, MS Handcock","M Papiani, J Wason, A Dunlop, D Nicole"
1H81A_W9rUYJ,conf/vldb/Sarawagi95,,Biased Procurement,Query Processing in Tertiary Memory Databases,,1995,L Rezende,S Sarawagi
6dxsdexQ1rAJ,conf/vldb/StaudtJ96,,"Bacterial abundance, activity, and diversity at extremely cold temperatures in Arctic sea ice [Ph. D ",Incremental Maintenance of Externally Materialized Views,,1996,K Junge,"M Staudt, M Jarke"
0MU6n8A37JQJ,journals/sigmod/Danish98,,Naturalistic study of evaluation utilization,Building Database-driven Electronic Catalogs,1980,1998,MC Alkin,S Danish
I0DMDuZPu0YJ,conf/sigmod/ZhaoDN97,,Local History Comes Alive with Postcards.,An Array-Based Algorithm for Simultaneous Multidimensional Aggregates,1991,1997,"KT Bucher, M Fravelâ?¦","Y Zhao, P Deshpande, J Naughton"
cMTKRRE3m2IJ,conf/vldb/GarofalakisIO98,,Haritonova VN 1970,Resource Scheduling for Composite Multimedia Objects,,1998,"UI Safronova, VN Charitonova","M Garofalakis, Y Ioannidis, B жzden"
tCQr6DKYJdAJ,journals/sigmod/Qian96,,"B., Kriegel. H.-P.:â??Techniques for Design and Jmplementatiut of Bfiicient Spatial Access Methods ","Shutdown, Budget, and Funding",,1996,SK Seeger,X Qian
p5qJtrG6AooJ,journals/tods/MokNE96,,Bringing Clay and Sand into Digital Designâ??Continuous Tangible user Interfaces,A Normal Form for Precisely Characterizing Redundancy in Nested Relations,2004,1996,"H Ishii, C Ratti, B Piper, Y Wang, A Biderman, E  ","W Mok, Y Ng, D Embley"
ZxmjpPAlED4J,journals/sigmod/LabrinidisR00,,Observer design for distributed-parameter dissipative bilinear systems,Generating Dynamic Content at Database-Backed Web Servers: cgi-bin vs. mod_perl,1998,2000,"H Bounit, H Hammouri","A Labrinidis, N Roussopoulos"
AiamPPqvsBUJ,conf/vldb/NicklasGS03,,The highly conserved DAD1 protein involved in apoptosis is required for N-linked glycosylation,"NexusScout: An Advanced Location-Based Application on a Distributed, Open Mediation Platform",1997,2003,"T Makishima, T Nakashima, K Nagata-Kuno, K  ","D Nicklas, M Groпmann, T Schwarz"
A1nZZmjh5sEJ,conf/vldb/Dayal99,,Finite element modelling of discontinuously reinforced metal matrix composites,"Industrial Panel on Data Warehousing Technologies: Experiences, Challenges, and Directions",1994,1999,E Weissenbek,U Dayal
4_hxm4m-AccJ,journals/vldb/C95,,Professors and Professional Programs: Fostering Mutually Beneficial Development.,"Title, Announcement",1987,1995,RG Baldwin,
10fzv5NmMmoJ,conf/vldb/DarEGP98,,"Innovative methods for installing fiber optic ED AREAS IN COMMUNICATIONS, VOL. SAC-1, NO. 3, APRIL  ",DTL's DataSpot: Database Exploration Using Plain Language,,1998,JB Masterson,"S Dar, G Entin, S Geva, E Palmon"
1WC2vYc_k3gJ,conf/vldb/BernsteinPS99,,Learning to match ontologies on the Semantic Web,Context-Based Prefetch for Implementing Objects on Relations,,1999,"D AnHai, M Jayant, D Robin, D Pedro, H Alon","P Bernstein, S Pal, D Shutt"
7HbFNNdlE8IJ,journals/sigmod/WinslettMY03,,Computer-supported meeting environment for collaborative software development,Two-Body Job Searches,1996,2003,"E Kuwana, E Yana, Y Sakamoto, Y Nakamura, K  ","M Winslett, X Ma, T Yu"
e6dXyX0MKEIJ,conf/vldb/BohlenSS96,,Supporting Incremental Join Queries on Ranked Inputs,Coalescing in Temporal Databases,,1996,"ANYC Chang, JR Smith, CSLJS Vitter","M Bіhlen, R Snodgrass, M Soo"
nsoA6Gcc_jsJ,journals/vldb/RafieiM02,,"K. &amp; Sarawagi, S.(2001). Automatic Segmentation of Text into Structured Records",Efficient retrieval of similar shapes,,2002,VD Borkar,"D Rafiei, A Mendelzon"
x6n6Ev8WnhEJ,conf/vldb/BamfordBKM98,,On XML and Databases: Where's the Beef? (Panel Abstract),Architecture of Oracle Parallel Server,,1998,MJ Carey,"R Bamford, D Butler, B Klots, N MacNaughton"
Xz5gRfDnkDEJ,journals/vldb/WhiteD95,,Choudhary. HighPerformanceI/OforParallelComputers: Problemsandprospects,QuickStore: A High Performance Mapped Object Store,,1995,JA DelRasario,"S White, D DeWitt"
iKnuNBaasLIJ,conf/vldb/RamakrishnanR96,,A survey of schema versioning issues for database systems,Modeling Design Versions,,1996,JF Roddick,"R Ramakrishnan, D Ram"
LKv3Z6oLgQ8J,conf/vldb/GravanoIJKMS01,,"Oceanic Research and Applications Division, National Oceanic and Atmospheric Administration, Camp  ",Approximate String Joins in a Database (Almost) for Free,,2001,DK Clark,"L Gravano, P Ipeirotis, H Jagadish, N Koudas, S Muthukrishnan, D Srivastava"
pjyLJQxtw8IJ,journals/tods/GoldmanL94,,talk at the ITP Conference on Particle Beam Stability and Nonlinear Dynamics,Quorum Consensus in Nested Transaction Systems,,1994,M Berz,"K Goldman, N Lynch"
j3bIcQMnIkkJ,conf/sigmod/Norrie95,,The Time Is Now: Educating Citizens for a High-Tech World.,Integration Approaches for CIM,1985,1995,WT Daly,
NuZkPW8DBBoJ,conf/vldb/AmbiteKKMST01,,Antibiotics for preventing recurrent urinary tract infection in non-pregnant women,The WorlInfo Assistant: Spatio-Temporal Information Integration on the Web,2004,2001,"X Albert, I Huertas, II Pereiro, J Sanfelix, V  ","J Ambite, C Knoblock, M Kolahdouzan, M Muslea, C Shahabi, S Thakkar"
w8PfZ7QYb0kJ,journals/sigmod/WenLMZ03,,Avtometriya,A Multi-paradigm Querying Approach for a Generic Multimedia Database Management System,,2003,"AL Grokhol'skii, Ã?L Kashcheev","J Wen, Q Li, W Ma, H Zhang"
U4roz3-u3jAJ,journals/sigmod/NobleS95,,The Essence of ActiveVRML,A Research Status Report on Adaptation for Mobile Data Access,,1995,"C Elliott, P Hudak","B Noble, M Satyanarayanan"
PCijV8ggdNcJ,journals/tods/ChakrabartiKMP02,,Development of VHF CARABAS II SAR,Locally adaptive dimensionality reduction for indexing large time series databases,1996,2002,"H Hellsten, LMH Ulander, A Gustavsson, B Larsson","K Chakrabarti, E Keogh, S Mehrotra, M Pazzani"
u7rv6LAF8s8J,conf/sigmod/RiedelFGN00,,Optimizing Queries on Files,Data Mining on an OLTP System (Nearly) for Free,,2000,MP Consens,"E Riedel, C Faloutsos, G Ganger, D Nagle"
kwTvs4gOn3QJ,conf/vldb/Graefe99,,Scientific Works,The Value of Merge-Join and Hash-Join in SQL Server,,1999,VA Ambartsumyan,G Graefe
NhC1d3X7bl0J,journals/vldb/BeckerGOSW96,,"Deviance or Uniqueness, Harmony or Conformity? A Cultural Analysis",An Asymptotically Optimal Multiversion B-Tree,1999,1996,"H Kim, HR Markus","B Becker, S Gschwind, T Ohler, B Seeger, P Widmayer"
cr-YIv77-HkJ,conf/vldb/NetzCBF00,,Logical abstractions in Haskell,Integration of Data Mining with Database Technology,,2000,"NA Day, J Launchbury, J Lewis","A Netz, S Chaudhuri, J Bernhardt, U Fayyad"
N-o3NPu-nbIJ,journals/vldb/Baumann94,,An efficient algorithm for mining association rules in large databases,Management of Multidimensional Discrete Data,1995,1994,"A Savasere, E Omiecinski, S Navathe",P Baumann
IrOiCDSwSKkJ,conf/sigmod/Brown99,,Resisting temptation: Devaluation of alternative partners as a means of maintaining commitment in  ,Implementing the Spirit of SQL-99,,1999,"DJ Johnson, CE Rusbult",P Brown
qRMBSPif6SgJ,conf/vldb/JoshiBLL98,,A survey of optimization techniques for integrated-circuit design,Checkpointing in Oracle,1981,1998,"RK BRAYTON, GD HACHTEL, AL SANGIOVANNI-VINCENTELLI","A Joshi, W Bridge, J Loaiza, T Lahiri"
url:http://portal.acm.org/ft_gateway.cfm3Fid3D108378026type3Dpdf,journals/sigmod/NobleS95,,Contextual Insight in Search: Enabling Technologies and Applications,A Research Status Report on Adaptation for Mobile Data Access,2005,1995,A Ã?hrn,"B Noble, M Satyanarayanan"
I4bR2_Zf4JMJ,conf/vldb/FlorescuLSY99,,A standard for Racial Equality for local government in England and Wales,Optimization of Run-time Management of Data Intensive Web-sites,,1999,REM Quality,"D Florescu, A Levy, D Suciu, K Yagoub"
vnjC8lq4fHAJ,journals/vldb/FiebigHKMNSW02,,Fractal telecommunications networks,Anatomy of a native XML base management system,1994,2002,S Appleby,"T Fiebig, S Helmer, C Kanne, G Moerkotte, J Neumann, R Schiele, T Westmann"
eNQngFJicJ4J,conf/vldb/Klots96,,Approximate algorithms for embedding metrics into low-dimensional spaces,Cache Coherency in Oracle Parallel Server,,1996,"M Badoiu, P Indyk, Y Rabinovich",B Klots
8HmbQ7H151AJ,conf/vldb/TsurAADKW01,,Becoming Critically Reflective through Action Reflection Learning TM.,Are Web Services the Next Revolution in e-Commerce? (Panel),1994,2001,"JOâ??Neil, VJ Marsick","S Tsur, S Abiteboul, R Agrawal, U Dayal, J Klein, G Weikum"
zmUARaE81B8J,journals/vldb/OoiHLT96,,Methods of soil microbial community analysis,Index Nesting - An Efficient Approach to Indexing in Object-Oriented Databases,,1996,"A Ogram, K Sharma","B Ooi, J Han, H Lu, K Tan"
KDkfDuSiXhoJ,conf/vldb/DingGS00,,Laparoscopic surgery for subfertility associated with endometriosis,Computing Geographical Scopes of Web Resources,2002,2000,"TZ Jacobson, DH Barlow, PR Koninckx, D Olive, C  ","J Ding, L Gravano, N Shivakumar"
s8x4pLNT4JQJ,conf/sigmod/ChawatheRGW96,,Prediction by supervised principal components,Change Detection in Hierarchically Structured Information,,1996,"E Bair, T Hastie, D Paul, R Tibshirani","S Chawathe, A Rajaraman, H Garcia-Molina, J Widom"
MX_c_qNYiBIJ,conf/vldb/CasatiS00,,Collaboratively Controlled Objects in Support of Collaboration,Process Automation as the Foundation for E-Business,,2000,LJ Bricker,"F Casati, M Shan"
lLl_ZSV1alYJ,conf/sigmod/KornMZ03,,Root Cause Analysis of Laboratory Delays to an Emergency Department,IPSOFACTO: A Visual Correlation Tool for Aggregate Network Traffic Data,1997,2003,"CMB Fernandes, R Walker, A Price, J Marsden, L  ","F Korn, S Muthukrishnan, Y Zhu"
HQl50jA4_EgJ,journals/vldb/Bertino94,,The Importance of Long-term Memory in Infant Perceptual Categorization,Index Configuration in Object-Oriented Databases,,1994,"M Mermillod, RM French, PC Quinn, D Mareschal",E Bertino
0t5c2xQtg7YJ,journals/sigmod/HummerLW02,,Nonparametric Statistics for the Behavior Sciences,Contracting in the Days of eBusiness,,2002,"S Siegel, NJ Castellan","W Hќmmer, W Lehner, H Wedekind"
_GcFSxsMbrYJ,conf/vldb/LongS03,,Environmental Control of Horn Length Dimorphism in the Beetle Onthophagus acuminatus (Coleoptera:  ,Optimized Query Execution in Large Search Engines with Global Page Ordering,1994,2003,DJ Emlen,"X Long, T Suel"
5c1VmQDd4z8J,conf/sigmod/SengarH03,,Mathematics and geography,PLASTIC: Reducing Query Optimization Overheads through Plan Recycling,,2003,JP Cole,"V Sengar, J Haritsa"
cixQCxoXzvUJ,journals/sigmod/Loeffen94,,Using signal proceesing to analyze wireless data traffic,Text Databases: A Survey of Text Models and Systems,,1994,"C Partridge, D Cousins, A Jackson, R Krishnan, T  ",A Loeffen
url:http://portal.acm.org/ft_gateway.cfm3Fid3D110118926type3Dpdf,conf/sigmod/BrinDG95,,A Repeated Video Clip Identification System,Copy Detection Mechanisms for Digital Documents,2005,1995,"X Yang, P Xue, Q Tian","S Brin, J Davis, H Garcia-Molina"
liL3AghMwqAJ,conf/vldb/Nori02,,The Starburst long field manager,eBusiness Standards and Architectures,1989,2002,"TJ Lehman, BG Lindsay",
r1J8AIV-gR8J,conf/sigmod/AnkerstBKS99,,Knowledge-based geological visualisation using AVS,OPTICS: Ordering Points To Identify the Clustering Structure,,1999,"IM Brown, MJ Herbert","M Ankerst, M Breunig, H Kriegel, J Sander"
AeEdqlDl4YgJ,journals/sigmod/dOnofrioP03,,Developing Institutional Teams.,Modelling temporal thematic map contents,1994,2003,JP Gallagher,"A d'Onofrio, E Pourabbas"
nxxWxG8-GT8J,conf/sigmod/Hope95,,Web services: Revolution in the making,Enterprise Transaction Processing on Windows NT,,1995,"S Gambhir, MW Muchmore",G Hope
7gzs66FFgq8J,conf/vldb/ShivakumarGC98,,Database decomposition into 4NF,Filtering with Approximate Predicates,,1998,"G Grahne, K Raiha","N Shivakumar, H Garcia-Molina, C Chekuri"
B-q_Gc7lgUIJ,journals/vldb/DeyBS96,,Exploiting the block structure of theweb for computing pagerank,A Complete Temporal Relational Algebra,,1996,"SD Kamvar, TH Haveliwala, CD Manning, GH Golub","D Dey, T Barron, V Storey"
