ID_A,ID_B,Title_A,Title_B,Year_A,Year_B,Authors_A,Authors_B
76u3c8hIWqoJ,conf/vldb/Selinger02,Information Integration and XML in IBM's DB2,Information Integration and XML in IBM's DB2,2002.0,2002,PG Selinger,P Selinger
_SsvlmhsusEJ,journals/sigmod/Franklin97a,Editor's Notes,Editor's Notes,,1997,JA Neff,M Franklin
B8_0dK37qcsJ,conf/vldb/FukudaMMT96,Constructing Efficient Decision Trees by Using Optimized Numeric Association Rules,Constructing Efficient Decision Trees by Using Optimized Numeric Association Rules,1996.0,1996,"T Fukuda, Y Morimoto","T Fukuda, Y Morimoto, S Morishita, T Tokuyama"
pF6EW_yKYyYJ,conf/vldb/NathDKGKS03,IrisNet: An Architecture for Internet-scale Sensing Services,IrisNet: An Architecture for Internet-scale Sensing Services,2003.0,2003,"S Nath, A Deshpande, Y Ke, PB Gibbons, B Karp, S  ","S Nath, A Deshpande, Y Ke, P Gibbons, B Karp, S Seshan"
kT7z4mcwLrYJ,conf/sigmod/SarawagiTA98,Integrating Mining with Relational Database Systems: Alternatives and Implications,Integrating Mining with Relational Database Systems: Alternatives and Implications,,1998,"S Sunita, T Shiby, A Rakesh","S Sarawagi, S Thomas, R Agrawal"
Af_4cNCu3MwJ,conf/vldb/Taylor00,Concurrency in the Data Warehouse,Concurrency in the Data Warehouse,2000.0,2000,R Taylor,R Taylor
nHesT9ADTdEJ,conf/sigmod/CranorJSS03,Gigascope: A Stream Database for Network Applications,Gigascope: A Stream Database for Network Applications,2003.0,2003,"CD Cranor, T Johnson, V Shkapenyuk","C Cranor, T Johnson, O Spatscheck, V Shkapenyuk"
Qq0WheHyVv8J,conf/sigmod/MerialdoAMMP00,Homer: a Model-Based CASE Tool for Data-Intensive Web Sites,Homer: a Model-Based CASE Tool for Data-Intensive Web Sites,2000.0,2000,"P Merialdo, P Atzeni, M Magnante, G Mecca, M  ","P Merialdo, P Atzeni, M Magnante, G Mecca, M Pecorone"
uMmcsye0YCkJ,conf/sigmod/AdaliCPS96,Query Caching and Optimization in Distributed Mediator Systems,Query Caching and Optimization in Distributed Mediator Systems,,1996,", KS Candan, Y Papakonstantinou, VS Subrahmanian","S Adali, K Candan, Y Papakonstantinou, V Subrahmanian"
WnwPjh0a0twJ,journals/sigmod/Bohlen95,Temporal Database System Implementations,Temporal Database System Implementations,,1995,MH Bohlen,M Bіhlen
L2c8XblCSicJ,conf/vldb/BernsteinHSSZ97,The Microsoft Repository,The Microsoft Repository,1997.0,1997,"PA Bernstein, B Harry, P Sanders","P Bernstein, B Harry, P Sanders, D Shutt, J Zander"
x6n6Ev8WnhEJ,conf/sigmod/Carey00,On XML and Databases: Where's the Beef? (Panel Abstract),On XML and Databases: Where's the Beef? (Panel Abstract),,2000,MJ Carey,M Carey
FFQc9XpGFRsJ,conf/sigmod/LangS01,Modeling High-Dimensional Index Structures using Sampling,Modeling High-Dimensional Index Structures using Sampling,2001.0,2001,"CA Lang, AK Singh","C Lang, A Singh"
TUOBVMb4PBsJ,journals/sigmod/Franklin00a,Editor's Notes,Editor's Notes,,2000,DW Leslie,M Franklin
yyUMt1X2WXcJ,journals/sigmod/HuangKL02,A Study on the Management of Semantic Transaction for Efficient Data Retrieval,A Study on the Management of Semantic Transaction for Efficient Data Retrieval,2002.0,2002,"SM Huang, I Kwan, CH Li","S Huang, I Kwan, C Li"
JmlFFnMD_D0J,conf/vldb/HasanM95,Coloring Away Communication in Parallel Query Optimization,Coloring Away Communication in Parallel Query Optimization,,1995,R MOTWANI,"W Hasan, R Motwani"
6K9FhI2pFEgJ,conf/vldb/GolabO03,Processing Sliding Window Multi-Joins in Continuous Queries over Data Streams,Processing Sliding Window Multi-Joins in Continuous Queries over Data Streams,2003.0,2003,L Golab,"L Golab, M жzsu"
gyYBYgpB63sJ,conf/sigmod/DeHaanTCO03,A Comprehensive XQuery to SQL Translation using Dynamic Interval Encoding,A Comprehensive XQuery to SQL Translation using Dynamic Interval Encoding,2003.0,2003,"D DeHaan, D Toman, MP Consens","D DeHaan, D Toman, M Consens, M жzsu"
vshQbbpnQiUJ,conf/sigmod/LivnyRBCDLMW97a,DEVise: Integrated Querying and Visual Exploration of Large Datasets (Demo Abstract),DEVise: Integrated Querying and Visual Exploration of Large Datasets (Demo Abstract),1997.0,1997,"M Livny, R Ramakrishnan, KS Beyer, G Chen, D  ","M Livny, R Ramakrishnan, K Beyer, G Chen, D Donjerkovic, S Lawande, J Myllymaki, R Wenger"
url:http://portal.acm.org/ft_gateway.cfm3Fid3D63743526type3Dpdf26dl3DGUIDE26dl3DACM26CFID3D1111111126CFTOKEN3D2222222,journals/sigmod/RoantreeS02,Research in Information Managment at Dublin City University,Research in Information Managment at Dublin City University,2002.0,2002,MRAF Smeaton,"M Roantree, A Smeaton"
ORkxHLb7dvcJ,journals/vldb/ChanFGR02,Efficient filtering of XML documents with XPath expressions,Efficient filtering of XML documents with XPath expressions,2002.0,2002,"CY Chan, P Felber, M Garofalakis, R Rastogi","C Chan, P Felber, M Garofalakis, R Rastogi"
O2FrN68p5PUJ,conf/sigmod/MassariPSC95,QBI: Query By Icons,QBI: Query By Icons,,1995,"A Massari, L Saladini","A Massari, S Pavani, L Saladini, P Chrysanthis"
PUCW4QzlkmsJ,conf/vldb/BhattacharjeePMLCH03,Efficient Query Processing for Multi-Dimensionally Clustered Tables in DB2,Efficient Query Processing for Multi-Dimensionally Clustered Tables in DB2,2003.0,2003,"B Bhattacharjee, S Padmanabhan, T Malkemus, T Lai, ","B Bhattacharjee, S Padmanabhan, T Malkemus, T Lai, L Cranston, M Huras"
pyqtmrPg24YJ,conf/sigmod/RinfretOO01,Bit-Sliced Index Arithmetic,Bit-Sliced Index Arithmetic,,2001,"D Rinfret, PO'Neil, EO'Neil","D Rinfret, P O'Neil, E O'Neil"
r-BkIPtpff4J,conf/vldb/SavasereON95,An Efficient Algorithm for Mining Association Rules in Large Databases,An Efficient Algorithm for Mining Association Rules in Large Databases,,1995,ASEOS Navathe,"A Savasere, E Omiecinski, S Navathe"
FOpGGQJyLLsJ,conf/sigmod/Suciu99,Managing Web Data,Managing Web Data,,1999,D Suciu,
XppwYYxOpksJ,conf/sigmod/Mohan99,A Database Perspective on Lotus Domino/Notes,A Database Perspective on Lotus Domino/Notes,1999.0,1999,C Mohan,C Mohan
KNYDz76C_HsJ,journals/sigmod/Huyn01,Data Analysis and Mining in the Life Sciences,Data Analysis and Mining in the Life Sciences,2001.0,2001,N Huyn,N Huyn
lduaYmELtHoJ,conf/sigmod/LakshmananNHP99,Optimization of Constrained Frequent Set Queries with 2-variable Constraints,Optimization of Constrained Frequent Set Queries with 2-variable Constraints,,1999,"LVS Laksmanan, RT Ng, J Han, A Pang","L Lakshmanan, R Ng, J Han, A Pang"
h95306-8rjEJ,conf/sigmod/YuMWL01,Efficient and Effective Metasearch for Text Databases Incorporating Linkages among Documents,Efficient and Effective Metasearch for Text Databases Incorporating Linkages among Documents,2001.0,2001,"C Yu, W Meng, W Wu, KL Liu","C Yu, W Meng, W Wu, K Liu"
0hHYO7tQJUgJ,conf/sigmod/SagonasSW94,XSB as an Efficient Deductive Database Engine,XSB as an Efficient Deductive Database Engine,1994.0,1994,"KST Swift, DS Warren","K Sagonas, T Swift, D Warren"
JjrRZt4ONqMJ,conf/sigmod/MinPC03,XPRESS: A Queriable Compression for XML Data,XPRESS: A Queriable Compression for XML Data,,2003,"JK Min, MJ Park, CW Chung","J Min, M Park, C Chung"
qKJ1c8D-95wJ,journals/vldb/MaedcheMS03,Managing multiple and distributed ontologies on the Semantic Web,Managing multiple and distributed ontologies on the Semantic Web,2003.0,2003,"A Maedche, B Motik, L Stojanovic","A Maedche, B Motik, L Stojanovic"
tuVp_18tFv8J,conf/vldb/LeeL96,Further Improvements on Integrity Constraint Checking for Stratifiable Deductive Databases,Further Improvements on Integrity Constraint Checking for Stratifiable Deductive Databases,1996.0,1996,"SY Lee, TW Ling","S Lee, T Ling"
L1IBwD8w1G0J,conf/vldb/SatheS01,Intelligent Rollups in Multidimensional OLAP Data,Intelligent Rollups in Multidimensional OLAP Data,2001.0,2001,"G Sathe, S Sarawagi","G Sathe, S Sarawagi"
gKOsM57uFB4J,conf/sigmod/AcharyaPR99,Selectivity Estimation in Spatial Databases,Selectivity Estimation in Spatial Databases,,1999,"S Achaya, V Poosala, S Ramaswamy","S Acharya, V Poosala, S Ramaswamy"
28GZ8M1ZPVYJ,conf/vldb/KeimH99,Optimal Grid-Clustering: Towards Breaking the Curse of Dimensionality in High-Dimensional Clustering,Optimal Grid-Clustering: Towards Breaking the Curse of Dimensionality in High-Dimensional Clustering,1999.0,1999,"A Hinneburg, DA Keim","A Hinneburg, D Keim"
_SsvlmhsusEJ,journals/sigmod/Liu03c,Editor's Notes,Editor's Notes,,2003,JA Neff,L Liu
id3rk1JgWx0J,conf/vldb/GuntzerBK00,Optimizing Multi-Feature Queries for Image Databases,Optimizing Multi-Feature Queries for Image Databases,,2000,WT Balke,"U Gќntzer, W Balke, W Kieпling"
_H4-ZecAsp0J,conf/sigmod/FungSG02,COUGAR: the network is the database,COUGAR: the network is the database,,2002,"WF Fung, D Sun, J Gehrke","W Fung, D Sun, J Gehrke"
YG9Js5mJbV0J,journals/sigmod/MeersmanS02,Guest Editor's Introduction,Guest Editor's Introduction,,2002,WC Newstetter,
2j1dalv3kCEJ,conf/vldb/Gentili01,Italian Electronic Identity Card - principle and architecture,Italian Electronic Identity Card - principle and architecture,2001.0,2001,M Gentili,M Gentili
DlQd7WIkVF0J,conf/sigmod/Han96,Data Mining Techniques,Data Mining Techniques,1996.0,1996,J Han,J Han
kezAM71rts0J,journals/sigmod/RamamrithamSSTX96,"Integrating Temporal, Real-Time, and Active Databases","Integrating Temporal, Real-Time, and Active Databases",1996.0,1996,"K Ramamritham, R Sivasankaran, JA Stankovic, DT  ","K Ramamritham, R Sivasankaran, J Stankovic, D Towsley, M Xiong"
rYC-j_j4Yv0J,conf/sigmod/AdaliBSS98,A Multi-Similarity Algebra,A Multi-Similarity Algebra,,1998,"S Adal, P Bonatti, ML Sapino, VS Subrahmanian","S Adali, P Bonatti, M Sapino, V Subrahmanian"
tOa0zXK5Ba4J,journals/sigmod/RossAA02,Reminiscences on Influential Papers,Reminiscences on Influential Papers,2002.0,2002,KA Ross,
6EaC2CmjsmAJ,conf/sigmod/GarofalakisG02,Wavelet synopses with error guarantees,Wavelet synopses with error guarantees,,2002,"MN Garofalakis, PB Gibbons","M Garofalakis, P Gibbons"
s9hhR-EdDGgJ,conf/sigmod/AggarwalWY99,A New Method for Similarity Indexing of Market Basket Data,A New Method for Similarity Indexing of Market Basket Data,1999.0,1999,"CC Aggarwal, JL Wolf, PS Yu","C Aggarwal, J Wolf, P Yu"
fW6JIoNRqAQJ,conf/sigmod/Miller98,Using Schematically Heterogeneous Structures,Using Schematically Heterogeneous Structures,,1998,RJ Miller,R Miller
umrivnVIoj0J,conf/vldb/IoannidisP99,Histogram-Based Approximation of Set-Valued Query-Answers,Histogram-Based Approximation of Set-Valued Query-Answers,1999.0,1999,"YE Ioannidis, V Poosala","Y Ioannidis, V Poosala"
08bwdEy_OY8J,conf/vldb/SrikantA95,Mining Generalized Association Rules,Mining Generalized Association Rules,,1995,"S Ramakrishnan, A Rakesh","R Srikant, R Agrawal"
yUDkYbmDTXIJ,conf/vldb/JensenL01,Transaction Timestamping in (Temporal) Databases,Transaction Timestamping in (Temporal) Databases,2001.0,2001,"CS Jensen, DB Lomet","C Jensen, D Lomet"
0WYMHga_bt4J,conf/vldb/RisheYACLMVSV00,Semantic Access: Semantic Interface for Querying Databases,Semantic Access: Semantic Interface for Querying Databases,2000.0,2000,"N Rishe, J Yuan, R Athauda, SC Chen, X Lu, X Ma, A ","N Rishe, J Yuan, R Athauda, S Chen, X Lu, X Ma, A Vaschillo, A Shaposhnikov, D Vasilevsky"
_SsvlmhsusEJ,journals/sigmod/Widom96b,Editor's Notes,Editor's Notes,,1996,JA Neff,Jennifer Widom
2E9I_lugGC4J,conf/sigmod/NazeriBO01,Experiences in Mining Aviation Safety Data,Experiences in Mining Aviation Safety Data,,2001,"Z Nazeri, E Bloedorn, P Ostwald","Z Nazeri, E Bloedorn, P Ostwald"
9BuBq-Tj0TUJ,conf/vldb/BohannonGKNS02,Optimizing View Queries in ROLEX to Support Navigable Result Trees,Optimizing View Queries in ROLEX to Support Navigable Result Trees,2002.0,2002,"P Bohannon, S Ganguly, HF Korth, PPS Narayan, P  ","P Bohannon, S Ganguly, H Korth, P Narayan, P Shenoy"
hBak02oe1GMJ,conf/vldb/AmielBDS94,Supporting Exceptions to Schema Consistency to Ease Schema Evolution in OODBMS,Supporting Exceptions to Schema Consistency to Ease Schema Evolution in OODBMS,1994.0,1994,"E Amiel, MJ Bellosta, E Dujardin, E Simon","E Amiel, M Bellosta, E Dujardin, E Simon"
gEFY87Ma0XUJ,conf/vldb/SubietaKL95,Procedures in Object-Oriented Query Languages,Procedures in Object-Oriented Query Languages,1995.0,1995,"K Subieta, Y Kambayashi, J Leszczylowski","K Subieta, Y Kambayashi, J Leszczylowski"
JYYcPQLrBw8J,conf/sigmod/FernandezMS01,Efficient Evaluation of XML Middle-ware Queries,Efficient Evaluation of XML Middle-ware Queries,,2001,"M Fernandez, A Morishima, D Suciuâ?¦","M Fernandez, A Morishima, D Suciu"
iCg06Oc9DV8J,conf/sigmod/GuptaLM03,BIRN-M: A Semantic Mediator for Solving Real-World Neuroscience Problems,BIRN-M: A Semantic Mediator for Solving Real-World Neuroscience Problems,2003.0,2003,"A Gupta, ME Martone","A Gupta, B Ludфscher, M Martone"
77Sb5mlyASgJ,conf/vldb/ChaudhuriGS95,Retrieval of Composite Multimedia Objects,Retrieval of Composite Multimedia Objects,1995.0,1995,"S Chaudhuri, S Ghandeharizadeh, C Shahabi","S Chaudhuri, S Ghandeharizadeh, C Shahabi"
o0WQjRyBQ5kJ,conf/vldb/TaoPS02,Continuous Nearest Neighbor Search,Continuous Nearest Neighbor Search,2002.0,2002,"Y Tao, D Papadias, Q Shen","Y Tao, D Papadias, Q Shen"
CCr8CUlHeNsJ,conf/vldb/Greco98,Binding Propagation in Disjunctive Databases,Binding Propagation in Disjunctive Databases,1998.0,1998,S Greco,S Greco
SbL4xw4mCewJ,conf/vldb/Huyn01,Scientific OLAP for the Biotech Domain,Scientific OLAP for the Biotech Domain,2001.0,2001,N Huyn,N Huyn
qhl9_KGvjcUJ,conf/vldb/BarjaPFWD94,An Effective Deductive Object-Oriented Database Through Language Integration,An Effective Deductive Object-Oriented Database Through Language Integration,1994.0,1994,"ML Barja, NW Paton, AAA Fernandes, MH Williams","M Barja, N Paton, A Fernandes, M Williams, A Dinn"
GzZSEeVoAiUJ,conf/vldb/PereiraFLS00,Publish/Subscribe on the Web at Extreme Speed,Publish/Subscribe on the Web at Extreme Speed,,2000,"F oise Fabret, I Rocquencourt, F ois LLirbat, J ao ","J Pereira, F Fabret, F Llirbat, R Preotiuc-Pietro, K Ross, D Shasha"
mClzTQppJE4J,conf/vldb/KornMS02,Reverse Nearest Neighbor Aggregates Over Data Streams,Reverse Nearest Neighbor Aggregates Over Data Streams,2002.0,2002,"F Korn, S Muthukrishnan, D Srivastava","F Korn, S Muthukrishnan, D Srivastava"
zMK02pxd4OEJ,journals/sigmod/GroskyFS94,Using Metadata for the Intelligent Browsing of Structured Media Objects,Using Metadata for the Intelligent Browsing of Structured Media Objects,1994.0,1994,"WI Grosky, F Fotouhi, IK Sethi","W Grosky, F Fotouhi, I Sethi"
rtnpqb22gGcJ,conf/sigmod/IvesLPST00,Self-Organizing Data Sharing Communities with SAGRES,Self-Organizing Data Sharing Communities with SAGRES,2000.0,2000,"ZG Ives, AY Levy, R Pottinger, I Tatarinov","Z Ives, A Levy, J Madhavan, R Pottinger, S Saroiu, I Tatarinov, S Betzler, Q Chen, E Jaslikowska, J Su, W Yeung"
_XLK2p-e2pYJ,conf/sigmod/ZhugeGHW95,View Maintenance in a Warehousing Environment,View Maintenance in a Warehousing Environment,,1995,"Y Zhuge, H Garcia-Molina, J Hammer, J Widom","Y Zhuge, H Garcia-Molina, J Hammer, J Widom"
