Name_A,Address_A,City_A,Phone_A,type_A,Name_B,Address_B,City_B,Phone_B,type_B,Gold
'le chardonnay','8284 melrose ave.','los angeles',213/655-8880,french,'le chardonnay (los angeles)','8284 melrose ave.','los angeles',213-655-8880,'french bistro',1
'the palm','9001 santa monica blvd.','los angeles',310/550-8811,american,'palm  the (los angeles)','9001 santa monica blvd.','w. hollywood',310-550-8811,steakhouses,1
'palace court','3570 las vegas blvd. s','las vegas',702/731-7547,continental,'palace court','3570 las vegas blvd. s.','las vegas',702-731-7110,'french (new)',1
dawat,'210 e. 58th st.','new york',212/355-7555,asian,dawat,'210 e. 58th st.','new york city',212-355-7555,indian,1
aureole,'34 e. 61st st.','new york','212/ 319-1660',american,aureole,'34 e. 61st st.','new york city',212-319-1660,'american (new)',1
'river cafe','1 water st. at the east river',brooklyn,718/522-5200,american,'river cafe','1 water st.',brooklyn,718-522-5200,'american (new)',1
'21 club','21 w. 52nd st.','new york',212/582-7200,american,'21 club','21 w. 52nd st.','new york city',212-582-7200,'american (new)',1
'mifune japan center  kintetsu building','1737 post st.','san francisco',415/922-0337,asian,mifune,'1737 post st.','san francisco',415-922-0337,japanese,1
'union square cafe','21 e. 16th st.','new york',212/243-4020,american,'union square cafe','21 e. 16th st.','new york city',212-243-4020,'american (new)',1
ciboulette,'1529 piedmont ave.',atlanta,404/874-7600,french,'ciboulette restaurant','1529 piedmont ave.',atlanta,404-874-7600,'french (new)',1
daniel,'20 e. 76th st.','new york',212/288-0033,french,daniel,'20 e. 76th st.','new york city',212-288-0033,'french (new)',1
tillerman,'2245 e. flamingo rd.','las vegas',702/731-4036,seafood,'tillerman  the','2245 e. flamingo rd.','las vegas',702-731-4036,steakhouses,1
'mi cocina','57 jane st.  off hudson st.','new york',212/627-8273,mexican,'mi cocina','57 jane st.','new york city',212-627-8273,mexican,1
'grill on the alley','9560 dayton way','los angeles',310/276-0615,american,'grill  the','9560 dayton way','beverly hills',310-276-0615,'american (traditional)',1
'four seasons grill room','99 e. 52nd st.','new york',212/754-9494,american,'four seasons','99 e. 52nd st.','new york city',212-754-9494,'american (new)',1
'masa\'s','648 bush st.','san francisco',415/989-7154,french,'masa\'s','648 bush st.','san francisco',415-989-7154,'french (new)',1
'chin\'s','3200 las vegas blvd. s','las vegas',702/733-8899,asian,'chin\'s','3200 las vegas blvd. s.','las vegas',702-733-8899,chinese,1
'carnegie deli','854 7th ave.  between 54th and 55th sts.','new york',212/757-2245,delicatessen,'carnegie deli','854 seventh ave.','new york city',212-757-2245,delis,1
march,'405 e. 58th st.','new york',212/754-6272,american,march,'405 e. 58th st.','new york city',212-754-6272,'american (new)',1
'hedgerose heights inn','490 e. paces ferry rd.',atlanta,404/233-7673,international,'hedgerose heights inn  the','490 e. paces ferry rd. ne',atlanta,404-233-7673,continental,1
'chinois on main','2709 main st.','santa monica',310/392-9025,french,'chinois on main','2709 main st.','santa monica',310-392-9025,'pacific new wave',1
'heera of india','595 piedmont ave.  rio shopping mall',atlanta,404/876-4408,asian,'heera of india','595 piedmont ave.',atlanta,404-876-4408,indian,1
'virgil\'s','152 w. 44th st.','new york','212/ 921-9494',american,'virgil\'s real bbq','152 w. 44th st.','new york city',212-921-9494,bbq,1
'la cote basque','60 w. 55th st.  between 5th and 6th ave.','new york',212/688-6525,french,'la cote basque','60 w. 55th st.','new york city',212-688-6525,'french (classic)',1
'gramercy tavern','42 e. 20th st.  between park ave. s and broadway','new york',212/477-0777,american,'gramercy tavern','42 e. 20th st.','new york city',212-477-0777,'american (new)',1
patina,'5955 melrose ave.','los angeles',213/467-1108,californian,patina,'5955 melrose ave.','los angeles',213-467-1108,californian,1
'uncle nick\'s','747 9th ave.  between 50th and 51st sts.','new york',212/315-1726,mediterranean,'uncle nick\'s','747 ninth ave.','new york city',212-245-7992,greek,1
'gotham bar & grill','12 e. 12th st.','new york',212/620-4020,american,'gotham bar & grill','12 e. 12th st.','new york city',212-620-4020,'american (new)',1
'rainbow room','30 rockefeller plaza','new york',212/632-5000,'or 212/632-5100 american','rainbow room','30 rockefeller plaza','new york city',212-632-5000,'american (new)',1
fenix,'8358 sunset blvd. west',hollywood,213/848-6677,american,'fenix at the argyle','8358 sunset blvd.','w. hollywood',213-848-6677,'french (new)',1
lutece,'249 e. 50th st.','new york',212/752-2225,french,lutece,'249 e. 50th st.','new york city',212-752-2225,'french (classic)',1
'second street grille','200 e. fremont st.','las vegas',702/385-3232,seafood,'second street grill','200 e. fremont st.','las vegas',702-385-6277,'pacific rim',1
'brasserie le coze','3393 peachtree rd.  lenox square mall  near neiman marcus',atlanta,404/266-1440,french,'brasserie le coze','3393 peachtree rd.',atlanta,404-266-1440,'french bistro',1
'carmine\'s','2450 broadway  between 90th and 91st sts.','new york',212/362-2200,italian,'carmine\'s','2450 broadway','new york city',212-362-2200,italian,1
'rex il ristorante','617 s. olive st.','los angeles',213/627-2300,italian,'rex il ristorante','617 s. olive st.','los angeles',213-627-2300,'nuova cucina italian',1
'dining room  ritz-carlton  buckhead','3434 peachtree rd.',atlanta,404/237-2700,international,'ritz-carlton dining room (buckhead)','3434 peachtree rd. ne',atlanta,404-237-2700,'american (new)',1
aqua,'252 california st.','san francisco',415/956-9662,seafood,aqua,'252 california st.','san francisco',415-956-9662,'american (new)',1
'cafe lalo','201 w. 83rd st.','new york',212/496-6031,'coffee bar','cafe lalo','201 w. 83rd st.','new york city',212-496-6031,coffeehouses,1
granita,'23725 w. malibu rd.',malibu,310/456-0488,californian,granita,'23725 w. malibu rd.',malibu,310-456-0488,californian,1
'veni vidi vici','41 14th st.',atlanta,404/875-8424,italian,'veni vidi vici','41 14th st.',atlanta,404-875-8424,italian,1
'le montrachet','3000 w. paradise rd.','las vegas',702/732-5111,continental,montrachet,'239 w. broadway','new york city',212-219-2777,'french bistro',1
'locanda veneta','3rd st.','los angeles',310/274-1893,italian,'locanda veneta','8638 w. third st.','los angeles',310-274-1893,italian,1
'khan toke thai house','5937 geary blvd.','san francisco',415/668-6654,asian,'khan toke thai house','5937 geary blvd.','san francisco',415-668-6654,thai,1
'cafe bizou','14016 ventura blvd.','sherman oaks',818/788-3536,french,'cafe bizou','14016 ventura blvd.','sherman oaks',818-788-3536,'french bistro',1
'philippe\'s the original','1001 n. alameda st.','los angeles',213/628-3781,american,'philippe the original','1001 n. alameda st.',chinatown,213-628-3781,cafeterias,1
'la caravelle','33 w. 55th st.','new york',212/586-4252,french,'la caravelle','33 w. 55th st.','new york city',212-586-4252,'french (classic)',1
'cafe  ritz-carlton  buckhead','3434 peachtree rd.',atlanta,404/237-2700,'ext 6108 international','ritz-carlton cafe (buckhead)','3434 peachtree rd. ne',atlanta,404-237-2700,'american (new)',1
citrus,'6703 melrose ave.','los angeles',213/857-0034,californian,citrus,'6703 melrose ave.','los angeles',213-857-0034,californian,1
'nikolai\'s roof','255 courtland st.  at harris st.',atlanta,404/221-6362,continental,'nikolai\'s roof','255 courtland st.',atlanta,404-221-6362,continental,1
boulevard,'1 mission st.','san francisco',415/543-6084,american,boulevard,'1 mission st.','san francisco',415-543-6084,'american (new)',1
'ritz-carlton restaurant and dining room','600 stockton st.','san francisco',415/296-7465,american,'ritz-carlton dining room (san francisco)','600 stockton st.','san francisco',415-296-7465,'french (new)',1
pisces,'95 ave. a at 6th st.','new york',212/260-6660,seafood,pisces,'95 ave. a','new york city',212-260-6660,seafood,1
oceana,'55 e. 54th st.','new york',212/759-5941,seafood,oceana,'55 e. 54th st.','new york city',212-759-5941,seafood,1
tomtom,'3393 peachtree rd.',atlanta,404/264-1163,continental,'brasserie le coze','3393 peachtree rd.',atlanta,404-266-1440,'french bistro',1
'mesa grill','102 5th ave.  between 15th and 16th sts.','new york',212/807-7400,american,'mesa grill','102 fifth ave.','new york city',212-807-7400,southwestern,1
delectables,'1 margaret mitchell sq.',atlanta,404/681-2909,american,delectables,'1 margaret mitchell sq.',atlanta,404-681-2909,cafeterias,1
'sign of the dove','1110 3rd ave. at 65th st.','new york',212/861-8080,american,'sign of the dove','1110 third ave.','new york city',212-861-8080,'american (new)',1
postrio,'545 post st.','san francisco',415/776-7825,american,postrio,'545 post st.','san francisco',415-776-7825,californian,1
'buckhead diner','3073 piedmont road',atlanta,404/262-3336,american,'buckhead diner','3073 piedmont rd.',atlanta,404-262-3336,'american (new)',1
'dining room  ritz-carlton  buckhead','3434 peachtree rd.',atlanta,404/237-2700,international,'ritz-carlton cafe (buckhead)','3434 peachtree rd. ne',atlanta,404-237-2700,'american (new)',1
'les celebrites','160 central park s','new york',212/484-5113,french,'les celebrites','155 w. 58th st.','new york city',212-484-5113,'french (classic)',1
'second avenue deli','156 2nd ave. at 10th st.','new york',212/677-0606,delicatessen,'second avenue deli','156 second ave.','new york city',212-677-0606,delis,1
montrachet,'239 w. broadway  between walker and white sts.','new york','212/ 219-2777',french,montrachet,'239 w. broadway','new york city',212-219-2777,'french bistro',1
'la folie','2316 polk st.','san francisco',415/776-5577,french,'la folie','2316 polk st.','san francisco',415-776-5577,'french (new)',1
'san domenico','240 central park s','new york',212/265-5959,italian,'san domenico','240 central park s.','new york city',212-265-5959,italian,1
bacchanalia,'3125 piedmont rd.  near peachtree rd.',atlanta,404/365-0410,international,bacchanalia,'3125 piedmont rd.',atlanta,404-365-0410,californian,1
felidia,'243 e. 58th st.','new york',212/758-1479,italian,felidia,'243 e. 58th st.','new york city',212-758-1479,italian,1
lulu,'816 folsom st.','san francisco',415/495-5775,mediterranean,'lulu restaurant-bis-cafe','816 folsom st.','san francisco',415-495-5775,mediterranean,1
seryna,'11 e. 53rd st.','new york',212/980-9393,asian,seryna,'11 e. 53rd st.','new york city',212-980-9393,japanese,1
'tavern on the green','in central park at 67th st.','new york',212/873-3200,american,'tavern on the green','central park west','new york city',212-873-3200,'american (new)',1
'alain rondelli','126 clement st.','san francisco',415/387-0408,french,'alain rondelli','126 clement st.','san francisco',415-387-0408,'french (new)',1
'jo jo','160 e. 64th st.','new york',212/223-5656,american,'jo jo','160 e. 64th st.','new york city',212-223-5656,'french bistro',1
chanterelle,'2 harrison st.  near hudson st.','new york',212/966-6960,american,chanterelle,'2 harrison st.','new york city',212-966-6960,'french (new)',1
'chez michel','804 northpoint','san francisco',415/775-7036,french,'chez michel','804 north point st.','san francisco',415-775-7036,californian,1
'art\'s delicatessen','12224 ventura blvd.','studio city',818/762-1221,american,'art\'s deli','12224 ventura blvd.','studio city',818-762-1221,delis,1
petrossian,'182 w. 58th st.','new york',212/245-2214,french,petrossian,'182 w. 58th st.','new york city',212-245-2214,russian,1
'yujean kang\'s gourmet chinese cuisine','67 n. raymond ave.','los angeles',818/585-0855,asian,'yujean kang\'s','67 n. raymond ave.',pasadena,818-585-0855,chinese,1
'hotel bel-air','701 stone canyon rd.','bel air',310/472-1211,californian,'bel-air hotel','701 stone canyon rd.','bel air',310-472-1211,californian,1
aquavit,'13 w. 54th st.','new york',212/307-7311,continental,aquavit,'13 w. 54th st.','new york city',212-307-7311,scandinavian,1
aquavit,'13 w. 54th st.','new york',212/307-7311,continental,aqua,'252 california st.','san francisco',415-956-9662,'american (new)',1
'mary mac\'s tea room','224 ponce de leon ave.',atlanta,404/876-1800,southern,'mary mac\'s tea room','224 ponce de leon ave.',atlanta,404-876-1800,southern/soul,1
fringale,'570 4th st.','san francisco',415/543-0573,french,fringale,'570 fourth st.','san francisco',415-543-0573,'french bistro',1
abruzzi,'2355 peachtree rd.  peachtree battle shopping center',atlanta,404/261-8186,italian,abruzzi,'2355 peachtree rd. ne',atlanta,404-261-8186,italian,1
'la grotta','2637 peachtree rd.  peachtree house condominium',atlanta,404/231-1368,italian,'la grotta','2637 peachtree rd. ne',atlanta,404-231-1368,italian,1
'georgia grille','2290 peachtree rd.  peachtree square shopping center',atlanta,404/352-3517,american,'georgia grille','2290 peachtree rd.',atlanta,404-352-3517,southwestern,1
'restaurant  ritz-carlton  atlanta','181 peachtree st.',atlanta,404/659-0400,continental,'ritz-carlton cafe (atlanta)','181 peachtree st.',atlanta,404-659-0400,'american (new)',1
valentino,'3115 pico blvd.','santa monica',310/829-4313,italian,valentino,'3115 pico blvd.','santa monica',310-829-4313,italian,1
'shun lee west','43 w. 65th st.','new york',212/371-8844,asian,'shun lee palace','155 e. 55th st.','new york city',212-371-8844,chinese,1
'steak house','2880 las vegas blvd. s','las vegas',702/734-0410,'steak houses','steak house  the','2880 las vegas blvd. s.','las vegas',702-734-0410,steakhouses,1
'hawthorne lane','22 hawthorne st.','san francisco',415/777-9779,american,'hawthorne lane','22 hawthorne st.','san francisco',415-777-9779,californian,1
matsuhisa,'129 n. la cienega blvd.','beverly hills',310/659-9639,asian,matsuhisa,'129 n. la cienega blvd.','beverly hills',310-659-9639,seafood,1
'cafe  ritz-carlton  buckhead','3434 peachtree rd.',atlanta,404/237-2700,'ext 6108 international','ritz-carlton dining room (buckhead)','3434 peachtree rd. ne',atlanta,404-237-2700,'american (new)',1
'park avenue cafe','100 e. 63rd st.','new york',212/644-1900,american,'park avenue cafe (new york city)','100 e. 63rd st.','new york city',212-644-1900,'american (new)',1
'campton place','340 stockton st.','san francisco',415/955-5555,american,'campton place','340 stockton st.','san francisco',415-955-5555,'american (new)',1
'le colonial','8783 beverly blvd.','los angeles',310/289-0660,asian,'la cumbre','515 valencia st.','san francisco',415-863-8205,mexican,0
'kyo-ya. sheraton palace hotel','2 new montgomery st.  at market st.','san francisco',415/546-5000,asian,'belvedere  the','9882 little santa monica blvd.','beverly hills',310-788-2306,'pacific new wave',0
'french roast','458 6th ave. at 11th st.','new york',212/533-2233,french,'sylvia\'s','328 lenox ave.','new york city',212-996-0660,southern/soul,0
'grand ticino','228 thompson st.  between w. 3rd and bleecker sts.','new york',212/777-5922,italian,'andre\'s french restaurant','401 s. 6th st.','las vegas',702-385-5016,'french (classic)',0
'stage deli','834 7th ave.  between 53rd and 54th sts.','new york',212/245-7850,delicatessen,'my thai','1248 clairmont rd.',atlanta,404-636-4280,thai,0
'splendido embarcadero',4,'san francisco',415/986-3222,mediterranean,patina,'5955 melrose ave.','los angeles',213-467-1108,californian,0
vong,'200 e. 54th st.','new york',212/486-9592,american,chopstix,'4279 roswell rd.',atlanta,404-255-4868,chinese,0
bix,'56 gold st.','san francisco',415/433-6300,american,'la caridad','2199 broadway','new york city',212-874-2780,cuban,0
'stage deli','834 7th ave.  between 53rd and 54th sts.','new york',212/245-7850,delicatessen,'nuevo laredo cantina','1495 chattahoochee ave. nw',atlanta,404-352-9009,mexican,0
'caffe roma','385 broome st. at mulberry','new york',212/226-8413,'coffee bar','gumbo pot  the','6333 w. third st.',la,213-933-0358,cajun/creole,0
'la caravelle','33 w. 55th st.','new york',212/586-4252,french,'chez michel','804 north point st.','san francisco',415-775-7036,californian,0
'ocean avenue','1401 ocean ave.','santa monica',310/394-5669,american,'103 west','103 w. paces ferry rd.',atlanta,404-233-5993,continental,0
bix,'56 gold st.','san francisco',415/433-6300,american,'palm  the (atlanta)','3391 peachtree rd. ne',atlanta,404-814-1955,steakhouses,0
'casa la femme','150 wooster st.  between houston and prince sts.','new york',212/505-0005,'middle eastern','ocean star','145 n. atlantic blvd.','monterey park',818-308-2128,seafood,0
alamo,'304 e. 48th st.','new york','212/ 759-0590',mexican,'jan\'s family restaurant','8424 beverly blvd.',la,213-651-2866,'coffee shops',0
patria,'250 park ave. s at 20th st.','new york',212/777-6211,'latin american',sushisay,'38 e. 51st st.','new york city',212-755-1780,japanese,0
'hsu\'s gourmet','192 peachtree center ave.  at international blvd.',atlanta,404/659-2788,asian,'cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,0
'chinois on main','2709 main st.','santa monica',310/392-9025,french,'khan toke thai house','5937 geary blvd.','san francisco',415-668-6654,thai,0
indochine,'430 lafayette st.  between 4th st. and astor pl.','new york',212/505-5111,asian,'ritz-carlton cafe (buckhead)','3434 peachtree rd. ne',atlanta,404-237-2700,'american (new)',0
maykadeh,'470 green st.','san francisco',415/362-8286,'greek and middle eastern','island spice','402 w. 44th st.','new york city',212-765-1737,caribbean,0
stingray,'428 amsterdam ave.  between 80th and 81st sts.','new york',212/501-7515,seafood,'cafe sunflower','5975 roswell rd.',atlanta,404-256-1675,'health food',0
'lanza restaurant','168 1st ave.  between 10th and 11th sts.','new york',212/674-7014,italian,'kelley & ping','127 greene st.','new york city',212-228-1212,pan-asian,0
verbena,'54 irving pl. at 17th st.','new york',212/260-5454,american,'ritz-carlton cafe (atlanta)','181 peachtree st.',atlanta,404-659-0400,'american (new)',0
odeon,'145 w. broadway at thomas st.','new york',212/233-0507,american,toulouse,'293-b peachtree rd.',atlanta,404-351-9533,'french (new)',0
'gotham bar & grill','12 e. 12th st.','new york',212/620-4020,american,'fiore rotisserie & grille','3700 w. flamingo rd.','las vegas',702-252-7702,italian,0
'nickiemoto\'s: a sushi bar','247 buckhead ave.  east village sq.',atlanta,404/842-0334,fusion,'yujean kang\'s','67 n. raymond ave.',pasadena,818-585-0855,chinese,0
'the palm','9001 santa monica blvd.','los angeles',310/550-8811,american,'pano\'s & paul\'s','1232 w. paces ferry rd.',atlanta,404-261-3662,'american (new)',0
'locanda veneta','3rd st.','los angeles',310/274-1893,italian,picholine,'35 w. 64th st.','new york city',212-724-8585,mediterranean,0
'manila garden','325 e. 14th st.  between 1st and 2nd aves.','new york',212/777-6314,asian,'uncle bill\'s pancake house','1305 highland ave.','manhattan beach',310-545-5177,diners,0
'lanza restaurant','168 1st ave.  between 10th and 11th sts.','new york',212/674-7014,italian,'jan\'s family restaurant','8424 beverly blvd.',la,213-651-2866,'coffee shops',0
'drai\'s','730 n. la cienega blvd.','los angeles',310/358-8585,french,'monte carlo','3145 las vegas blvd. s.','las vegas',702-733-4524,'french (new)',0
march,'405 e. 58th st.','new york',212/754-6272,american,'pano\'s & paul\'s','1232 w. paces ferry rd.',atlanta,404-261-3662,'american (new)',0
'jean lafitte','68 w. 58th st.','new york',212/751-2323,french,taiko,'11677 san vicente blvd.',brentwood,310-207-7782,'noodle shops',0
'joe allen','326 w. 46th st.','new york',212/581-6464,american,mishima,'8474 w. third st.',la,213-782-0181,'noodle shops',0
'smith & wollensky','201 e. 49th st.','new york',212/753-1530,american,granita,'23725 w. malibu rd.',malibu,310-456-0488,californian,0
'horseradish grill','4320 powers ferry rd.',atlanta,404/255-7277,southern,'mitali east-west','296 bleecker st.','new york city',212-989-1367,indian,0
tillerman,'2245 e. flamingo rd.','las vegas',702/731-4036,seafood,'jackson diner','37-03 74th st.',queens,718-672-1232,indian,0
pisces,'95 ave. a at 6th st.','new york',212/260-6660,seafood,'andre\'s french restaurant','401 s. 6th st.','las vegas',702-385-5016,'french (classic)',0
'chin\'s','3200 las vegas blvd. s','las vegas',702/733-8899,asian,chopstix,'4279 roswell rd.',atlanta,404-255-4868,chinese,0
'rib ranch','25 irby ave.',atlanta,404/233-7644,barbecue,'baker\'s cajun cafe','1134 euclid ave.',atlanta,404-223-5039,cajun/creole,0
'kabuto sushi','5116 geary blvd.','san francisco',415/752-5652,asian,'russell\'s burgers','1198 pch','seal beach',310-596-9556,hamburgers,0
'mi cocina','57 jane st.  off hudson st.','new york',212/627-8273,mexican,'johnny reb\'s southern smokehouse','4663 long beach blvd.','long beach',310-423-7327,southern/soul,0
'ernie\'s','2150 broadway  between 75th and 76th sts.','new york',212/496-1588,american,'l\'orangerie','903 n. la cienega blvd.','w. hollywood',310-652-9770,'french (classic)',0
'cafe bizou','14016 ventura blvd.','sherman oaks',818/788-3536,french,picholine,'35 w. 64th st.','new york city',212-724-8585,mediterranean,0
't salon','143 mercer st. at prince st.','new york',212/925-3700,'coffee bar','cassell\'s','3266 w. sixth st.',la,213-480-8668,hamburgers,0
'tra di noi','3835 cross creek rd.','los angeles',310/456-0169,italian,'ti couz','3108 16th st.','san francisco',415-252-7373,french,0
c3,'103 waverly pl.  near washington sq.','new york',212/254-1200,american,lutece,'249 e. 50th st.','new york city',212-752-2225,'french (classic)',0
'philippe\'s the original','1001 n. alameda st.','los angeles',213/628-3781,american,'la taqueria','2889 mission st.','san francisco',415-285-7117,mexican,0
'sarabeth\'s kitchen','423 amsterdam ave.  between 80th and 81st sts.','new york',212/496-6280,american,'brasserie le coze','3393 peachtree rd.',atlanta,404-266-1440,'french bistro',0
'sant ambroeus','1000 madison ave.  between 77th and 78th sts.','new york',212/570-2211,'coffee bar','arnie morton\'s of chicago','435 s. la cienega blvd.','los angeles',310-246-1501,steakhouses,0
'fiorello\'s roman cafe','1900 broadway  between 63rd and 64th sts.','new york',212/595-5330,italian,'johnny reb\'s southern smokehouse','4663 long beach blvd.','long beach',310-423-7327,southern/soul,0
'south city kitchen','1144 crescent ave.',atlanta,404/873-7358,southern,'greenwood\'s','1087 green st.',roswell,770-992-5383,southern/soul,0
'canter\'s','419 n. fairfax ave.','los angeles',213/651-2030.,american,'cafe flore','2298 market st.','san francisco',415-621-8579,californian,0
'des alpes','732 broadway','san francisco',415/788-9900,french,citrus,'6703 melrose ave.','los angeles',213-857-0034,californian,0
bouterin,'420 e. 59th st.  off 1st ave.','new york',212/758-0323,french,'doidge\'s','2217 union st.','san francisco',415-921-2149,american,0
dive!,'10250 santa monica blvd.','los angeles',310/788-,'dive american','art\'s deli','12224 ventura blvd.','studio city',818-762-1221,delis,0
'mavalli palace','46 e. 29th st.','new york',212/679-5535,asian,'morton\'s of chicago (las vegas)','3200 las vegas blvd. s.','las vegas',702-893-0703,steakhouses,0
pisces,'95 ave. a at 6th st.','new york',212/260-6660,seafood,'michael\'s (los angeles)','1147 third st.','santa monica',310-451-0843,californian,0
'ritz-carlton restaurant and dining room','600 stockton st.','san francisco',415/296-7465,american,'bill\'s place','2315 clement st.','san francisco',415-221-5262,hamburgers,0
'golden steer','308 w. sahara ave.','las vegas',702/384-4470,'steak houses','la folie','2316 polk st.','san francisco',415-776-5577,'french (new)',0
'steak house','2880 las vegas blvd. s','las vegas',702/734-0410,'steak houses','uncle bill\'s pancake house','1305 highland ave.','manhattan beach',310-545-5177,diners,0
'rex il ristorante','617 s. olive st.','los angeles',213/627-2300,italian,'asahi ramen','2027 sawtelle blvd.','west la',310-479-2231,'noodle shops',0
'empress court','3570 las vegas blvd. s','las vegas',702/731-7888,asian,'shun lee palace','155 e. 55th st.','new york city',212-371-8844,chinese,0
'the savannah club','2420 broadway at 89th st.','new york',212/496-1066,american,sushisay,'38 e. 51st st.','new york city',212-755-1780,japanese,0
'bistro roti','155 steuart st.','san francisco',415/495-6500,french,'bel-air hotel','701 stone canyon rd.','bel air',310-472-1211,californian,0
bouterin,'420 e. 59th st.  off 1st ave.','new york',212/758-0323,french,'cucina della fontana','368 bleecker st.','new york city',212-242-0636,italian,0
'la folie','2316 polk st.','san francisco',415/776-5577,french,mishima,'8474 w. third st.',la,213-782-0181,'noodle shops',0
'bone\'s','3130 piedmont road',atlanta,404/237-2663,american,'slanted door','584 valencia st.','san francisco',415-861-8032,vietnamese,0
'le colonial','149 e. 57th st.','new york','212/ 752-0808',asian,'21 club','21 w. 52nd st.','new york city',212-582-7200,'american (new)',0
sfuzzi,'58 w. 65th st.','new york',212/873-3700,american,'my thai','1248 clairmont rd.',atlanta,404-636-4280,thai,0
ipanema,'13 w. 46th st.','new york',212/730-5848,'latin american','original pancake house (at)','4330 peachtree rd.',atlanta,404-237-4116,american,0
odeon,'145 w. broadway at thomas st.','new york',212/233-0507,american,oceana,'55 e. 54th st.','new york city',212-759-5941,seafood,0
feast,'2411 w. sahara ave.','las vegas',702/367-2411,buffets,matsuhisa,'129 n. la cienega blvd.','beverly hills',310-659-9639,seafood,0
'des alpes','732 broadway','san francisco',415/788-9900,french,'ruby\'s (la)','45 s. fair oaks ave.',pasadena,818-796-7829,diners,0
'louise\'s trattoria','4500 los feliz blvd.','los angeles',213/667-0777,italian,'szechuan kitchen','1460 first ave.','new york city',212-249-4615,chinese,0
'hong kong villa','2332 clement st.','san francisco',415/752-8833,asian,'feast from the east','1949 westwood blvd.','west la',310-475-0400,chinese,0
tomtom,'3393 peachtree rd.',atlanta,404/264-1163,continental,sushisay,'38 e. 51st st.','new york city',212-755-1780,japanese,0
'south city kitchen','1144 crescent ave.',atlanta,404/873-7358,southern,'jan\'s family restaurant','8424 beverly blvd.',la,213-651-2866,'coffee shops',0
