Name_A,Votes_A,Rating_A,Phone_A,Address_A,Zipcode_A,Cuisine_A,Name_B,Votes_B,Rating_B,Phone_B,Address_B,Zipcode_B,Cuisine_B,Gold
Momotaro,21,3.3,(312) 733-4818,"820 W. Lake Street, Chicago",60607,"Japanese, Sushi",Momotaro,300,4.0,(312) 733-4818,820 W Lake St,60607,Sushi Bars,1
Silver Eagle Bar & Grill,13,2.9,(608) 222-2843,5805 Monona Dr,53716,"American, Burger, Bar Food",Silver Eagle Bar & Grill,18,3.5,(608) 222-2843,5805 Monona Dr,53716,American (Traditional),1
Babcock Hall Dairy Store,111,4.2,(608) 262-3045,"1605 Linden Dr, Madison",53706,"Desserts, Sandwich",Babcock Hall Dairy Store,30,4.5,(608) 262-3045,1605 Linden Dr,53706,Ice Cream & Frozen Yogurt,1
Cha-An,73,4.8,(212) 228-8030,"230 East 9th Street, New York",10003,"Japanese, Cafe",Cha-An,1093,4.0,(212) 228-8030,230 E 9th St2nd Fl,10003,"Japanese,Japanese Restaurants,Sushi,Sushi,Japanese Restaurants,Japanese Restaurants",1
Local,195,3.9,(323) 662-4740,"2943 W Sunset Blvd, Los Angeles",90026,California,Local,651,4.0,(323) 662-4740,2943 W Sunset Blvd,90026,Salad,1
Knife - The Highland Hotel,42,3.3,(214) 443-9339,"The Highland Hotel, 5300 E Mockingbird Lane, Dallas",75206,"American, Steakhouse",Knife,172,4.0,(214) 443-9339,5300 E Mockingbird Ln,75206,Steakhouses,1
Glass Nickel Pizza Co,334,3.8,(608) 245-0880,"2916 Atwood Ave, Madison",53704,Pizza,Glass Nickel Pizza,131,4.0,(608) 245-0880,2916 Atwood Ave,53704,Pizza,1
Taco Diner,261,3.4,(214) 521-3669,"3699 McKinney Avenue, Dallas",75204,Tex-Mex,Taco Diner,283,3.5,(214) 521-3669,3699 McKinney Ave,75204,Mexican,1
Villains Tavern,65,3.7,(213) 613-0766,"1356 Palmetto St, Los Angeles",90013,"American, Burger, Bar Food",Villains Tavern,971,4.0,(213) 613-0766,1356 Palmetto St,90013,Bars,1
Vees Cafe,35,3.5,(323) 931-8337,"5418 W Adams Blvd, Los Angeles",90016,American,Vees Cafe,509,4.0,(855) 863-9107,5418 W Adams Blvd,90016,American (New),1
Honey Butter Fried Chicken,45,3.8,(773) 478-4000,"3361 N. Elston Avenue, Chicago",60618,American,Honey Butter Fried Chicken,686,4.0,(773) 478-4000,3361 N Elston Ave,60618,American (Traditional),1
Bistango,145,3.9,(212) 725-8484,"415 3rd Avenue, New York",10016,Italian,Bistango,477,4.0,(212) 725-8484,415 3rd Ave,10016,Italian,1
Ten Bells Tavern,42,3.4,(214) 943-2677,232 W 7th Street,75208,"Mediterranean, Pub Food, American, Seafood, Burger",Ten Bells Tavern,177,4.0,(214) 943-2677,232 W 7th St,75208,Pubs,1
Yolk,8,3.0,(214) 855-9655,"1722 Routh Street, Dallas",75201,Cafe,Yolk One Arts Plaza,86,4.0,(214) 855-9655,1722 Routh St,75201,Breakfast & Brunch,1
Silver Mine Subs,26,3.2,(608) 298-9500,"2601 W Beltline Hwy #106, Madison",53713,Sandwich,Silver Mine Subs,28,3.0,(608) 298-9500,2601 W Beltline Hwy,53713,Sandwiches,1
The Fat Dog,30,3.7,(323) 951-0030,"801 N. Fairfax Ave., Los Angeles",90046,,Fat Dog,387,4.0,(323) 951-0030,801 N Fairfax Ave,90046,American (New),1
Great American Hero,103,4.1,(214) 521-2070,"4001 Lemmon Avenue, Dallas",75219,"American, Sandwich",Great American Hero,178,4.0,(214) 521-2070,4001 Lemmon Ave,75219,Fast Food,1
Get Some Burritos,10,2.5,(608) 442-7140,"309 North Henry Street, Madison",53703,Mexican,Get Some Burritos,20,2.5,(608) 442-7140,309 N  Henry St,53703,Mexican,1
Lupa Osteria Romana,709,3.6,(212) 982-5089,"170 Thompson Street, New York",10012,Italian,Lupa,1064,4.0,(212) 982-5089,170 Thompson St,10012,Italian,1
Pinches Tacos,164,4.0,(323) 650-0614,8200 W Sunset Blvd,90046,,Pinches Tacos,515,4.0,(323) 650-0614,8200 W Sunset Blvd,90046,Mexican,1
Batter & Berries,140,3.7,(773) 248-7710,"2748 N. Lincoln Avenue, Chicago",60614,American,Batter & Berries,1004,4.0,(773) 248-7710,2748 N Lincoln Ave,60614,Breakfast & Brunch,1
Rodeside Grill,109,3.8,(608) 846-1874,6314 Rostad Cir,53598,"American, Breakfast, Mexican",The Rodeside Grill,29,4.0,(608) 846-1874,6317 Rostad Cir,53598,American (Traditional),1
Feed,120,4.1,(773) 489-4600,2803 W. Chicago Avenue,60622,Southern,Feed,504,4.0,(773) 489-4600,2803 W Chicago Ave,60622,Southern,1
Pingtung,16,3.4,(323) 866-1866,"7455 Melrose Ave, Los Angeles",90046,"Dim Sum, Japanese",PINGTUNG Eat-in Market,419,4.0,(323) 866-1866,7455 Melrose Ave,90046,Dim Sum,1
Gemma,48,4.9,(214) 370-9426,"2323 N Henderson Avenue, Suite 109, Dallas",75206,New American,Gemma,166,4.5,(214) 370-9426,2323 N Henderson AveSte 109,75206,American (New),1
Topo Gigio Ristorante,438,3.8,(312) 266-9355,"1516 N. Wells Street, Chicago",60610,Italian,Topo Gigio Ristorante,567,4.0,(312) 266-9355,1516 N Wells St,60610,Italian,1
The Social House,58,3.2,(214) 999-0046,"2708 Routh Street, Dallas",75201,American,The Social House,289,4.0,(214) 999-0046,2708 Routh St,75201,American (New),1
Cactus Mexican Food,104,3.9,(323) 464-5865,"950 Vine St, Los Angeles",90038,"International, Mexican",Cactus Mexican Food,645,4.0,(323) 464-5865,950 Vine St,90038,Mexican,1
Union Park Dallas,46,3.1,(214) 741-6709,"1311 Main Street, Dallas",75202,"American, Bar Food",Union Park,101,3.5,(214) 741-6709,1311 Main St,75202,American (New),1
Northern Spy Food Co.,216,3.6,(212) 228-5100,"511 East 12th Street, New York",10009,American,Northern Spy Food Co.,749,4.0,(212) 228-5100,511 E 12th St,10009,American (Traditional),1
Serious Pizza,217,4.1,(214) 761-9999,"2807 Elm Street, Dallas",75226,Pizza,Serious Pizza,426,4.0,(214) 761-9999,2807 Elm St,75226,Pizza,1
Mediterranean Cafe,127,3.9,(608) 251-8510,"625 State St, Madison",53703,"Mediterranean, Vegetarian",Mediterranean Cafe,128,4.5,(608) 251-8510,625 State St,53703,Greek,1
Village Bar,60,3.5,(608) 233-9956,"3801 Mineral Point Rd, Madison",53705,"Burger, Sandwich",Village Bar,30,4.0,(608) 233-9956,3801 Mineral Point Rd,53705,Pubs,1
Zed451,181,3.7,(312) 266-6691,"739 N. Clark Street, Chicago",60654,"American, Steakhouse",ZED451,925,4.0,(312) 266-6691,739 N Clark St,60654,Steakhouses,1
Top Round Roast Beef,20,3.6,(323) 549-9945,"1000 South La Brea Avenue, Los Angeles",90019,"American, Desserts, Sandwich",Top Round Roast Beef,445,3.5,(323) 549-9445,1000 S La Brea Ave,90019,Sandwiches,1
Burrito Drive,130,3.6,(608) 260-8586,"310 S Brearly St, Madison",53703,"Mexican, Tex-Mex",Burrito Drive,81,3.5,(608) 260-8586,310 S Brearly St,53703,Mexican,1
The Porch,781,4.2,(214) 828-2916,"2912 N Henderson Avenue, Dallas",75206,"American, Burger",The Porch,708,4.0,(214) 828-2916,2912 N Henderson Ave,75206,Southern,1
Legends Sports Bar & Grill,29,3.2,(608) 831-4463,"439 Grand Canyon Drive, Madison",53719,"American, Pizza",Legends Sports Bar & Grill,20,3.0,(608) 831-4463,439 Grand Canyon Dr,53719,Sports Bars,1
Curry House,120,3.7,(213) 620-0855,"123 Astronaut E S Onizuka St, Los Angeles",90012,Japanese,Curry House,896,4.0,(213) 620-0855,123 S Onizuka StSte 204,90012,Japanese,1
La Sirena Clandestina,35,3.6,(312) 226-5300,"954 W. Fulton Market, Chicago",60607,"Latin American, Brazilian",La Sirena Clandestina,272,4.0,(312) 226-5300,954 W Fulton Market,60607,Latin American,1
Cafe Brazil,218,3.6,(214) 747-2730,"2815 Elm Street, Dallas",75226,"American, Tex-Mex, Coffee and Tea",Cafe Brazil,164,3.5,(214) 747-2730,2815 Elm St,75226,Breakfast & Brunch,1
Dough Pizzeria Napoletana,252,3.8,(972) 788-4600,"11909 Preston Road, Suite 1444, Dallas",75230,"Italian, Pizza",Dough Pizzeria Napoletana,201,4.0,(972) 788-4600,11909 Preston RdSte 1444,75230,Pizza,1
The Addiction Bistro,69,3.7,(323) 203-1793,"408 N La Cienega Blvd, Los Angeles",90048,"Burger, German",The Addiction Bistro,671,4.0,(323) 203-1793,408 N LA Cienega Blvd,90048,Burgers,1
Pizza Pit Extreme,38,3.0,(608) 259-1500,"1614 Monroe St., Madison",53711,"Fast Food, Italian, Pizza",Pizza Pit Extreme,21,3.5,(608) 251-4412,1614 Monroe St,53711,"Pizza,Pizza,Pizza,Pizza,Pizza,Pizza",1
Le Grainne Cafe,282,3.8,(646) 486-3000,"183 9th Avenue, New York",10011,"Cafe, French",Le Grainne Cafe,453,4.0,(646) 486-3000,183 9th Ave,10011,French,1
Weary Traveler Freehouse,644,4.3,(608) 442-6207,"1201 Williamson St, Madison",53703,Bar Food,The Weary Traveler Freehouse,348,4.0,(608) 442-6207,1201 Williamson St,53703,American (New),1
Pippali,10,3.0,(212) 689-1999,"129 East 27th Street, New York, NY",10016,Indian,Pippali,381,4.0,(212) 689-1999,129 E 27th St,10016,Indian,1
Ground Zero,37,3.6,(608) 294-8668,"744 Williamson St Ste 1, Madison",53703,Coffee and Tea,Ground Zero,50,4.0,(608) 294-8668,744 Williamson St,53703,Coffee & Tea,1
Lobster Place,123,4.5,(212) 255-5672,"Chelsea Market, 75 9th Avenue, New York",10011,"Seafood, Sushi",The Lobster Place,791,4.0,(917) 983-0695,Chelsea Market75 9th Ave,10011,Seafood Markets,1
Churchkey Bar and Grill,10,2.7,(608) 251-0444,"626 University Ave., Madison",53715,"American, Burger, Bar Food",Churchkey Bar and Grill,18,3.5,(608) 259-0444,626 University Ave,53715,Bars,1
Cane Rosso,448,3.7,(214) 741-1188,"2612 Commerce Street, Suite 101, Dallas",75226,"Pizza, Italian",Cane Rosso,967,4.0,(214) 741-1188,2612 Commerce St,75226,Pizza,1
Bottlefork,20,3.3,(312) 955-1900,"441 N. Clark Street, Chicago",60626,"American, Bar Food",Bottlefork,437,4.0,(312) 955-1900,441 N Clark,60626,American (New),1
Girl & the Goat,1292,4.2,(312) 492-6262,"809 W. Randolph Street, Chicago",60607,New American,Girl & the Goat,4501,4.5,(312) 492-6262,809 W Randolph St,60607,American (New),1
Springers,37,3.3,(608) 205-9300,3097 Sunnyside St,53589,"American, Sandwich, Steakhouse",Springers,21,3.5,(608) 205-9300,3097 Sunnyside St,53589,American (Traditional),1
Wingstop,15,3.0,(608) 258-9464,"1234 Regent St., Madison",53715,"American, Bar Food",Wingstop,20,3.0,(608) 258-9464,1234 Regent St,53715,Chicken Wings,1
Theory,96,3.5,(312) 644-0004,"9 W. Hubbard Street, Chicago",60654,"American, BBQ, Sandwich",Theory,401,4.0,(312) 644-0004,9 W Hubbard St,60654,Sports Bars,1
Brasserie V,483,4.1,(608) 255-8500,"1923 Monroe St., Madison",53711,"European, French",Brasserie V,221,4.0,(608) 255-8500,1923 Monroe St,53711,Belgian,1
Frontier,91,4.6,(773) 772-4322,"1072 N. Milwaukee Avenue, Chicago",60642,Southern,Frontier,582,3.5,(773) 772-4322,1072 N Milwaukee Ave,60642,American (New),1
Happy Wok,34,3.3,(608) 833-3488,"429 Commerce Dr, Madison",53719,Chinese,Happy Wok,13,3.5,(608) 833-3488,429 Commerce Dr,53719,Chinese,1
GreenRiver,8,3.3,(312) 337-0101,"Northwestern Memorial Hospital, 259 E. Erie Street, 18th Floor, Chicago",60611,New American,GreenRiver,24,4.5,(312) 337-0101,259 E Erie St18th Fl,60611,Cocktail Bars,1
Cafe Bella,68,4.6,(773) 292-5040,"3311 W. Fullerton Avenue, Chicago",60647,"Cafe, American",Cafe Bella,245,4.0,(773) 292-5040,3311 W Fullerton Ave,60647,Latin American,1
Si Tapas,303,3.9,(214) 720-0324,"2207 Allen Street, Dallas",75204,"Spanish, Tapas",Si Tapas,371,4.0,(214) 720-0324,2207 Allen St,75204,Spanish,1
Balena,109,3.7,(312) 867-3888,"1633 N. Halsted Street, Chicago",60614,Italian,Balena,597,4.0,(312) 867-3888,1633 N Halsted St,60614,Italian,1
Parigi,247,3.9,(214) 521-0295,"3311 Oak Lawn Avenue, Dallas",75219,"New American, French, Italian",Parigi Restaurant,129,4.0,(214) 521-0295,3311 Oak Lawn AveSte 102,75219,Italian,1
Panera Bread,78,3.6,(608) 826-0808,"601 Junction Rd Ste 12, Madison",53717,Sandwich,Panera Bread,19,3.5,(608) 826-0808,601 Junction Road,53717,Sandwiches,1
Saigon Noodle,230,4.1,(608) 827-9120,"6754 Odana Rd, Madison",53719,Vietnamese,Saigon Noodles,214,4.0,(608) 827-9120,6754 Odana Rd,53719,Vietnamese,1
Capitol Chophouse,111,3.6,(608) 255-0165,"9 E Wilson St, Madison",53703,Steakhouse,Capitol Chophouse,56,3.5,(608) 255-0165,9 E Wilson St,53703,Steakhouses,1
Atera,47,3.8,(212) 226-1444,"77 Worth Street, New York",10013,American,Atera,120,4.5,(212) 226-1444,77 Worth St,10013,Lounges,1
Kavanaugh's Esquire Club,56,3.5,(608) 249-0193,"1025 N Sherman Ave, Madison",53704,"Seafood, Steakhouse",Esquire Club,29,3.0,(608) 249-0193,1025 N Sherman Ave,53704,Steakhouses,1
Coalfire,169,4.0,(312) 226-2625,"1321 W. Grand Avenue, Chicago",60642,Pizza,Coalfire Pizza,786,4.0,(312) 226-2625,1321 W Grand Ave,60642,Pizza,1
Colori Kitchen,98,4.4,(213) 622-5950,"429 W 8th St, Los Angeles",90014,Italian,Colori Kitchen,1102,4.0,(213) 622-5950,429 W 8th St,90014,Italian,1
Sunda,470,3.9,(312) 644-0500,"110 W. Illinois Street, Chicago",60654,Asian,Sunda,1766,4.0,(312) 644-0500,110 W Illinois St,60654,Asian Fusion,1
Rare Steakhouse,43,2.2,(608) 204-9000,"14 W Mifflin St, Madison",53703,"Seafood, Steakhouse",Rare Steakhouse,70,4.0,(608) 204-9000,14 W Mifflin St,53703,Steakhouses,1
Jordandal Cookhouse,35,3.9,(608) 848-3298,"600 W Verona Ave, suite 6",53593,"International, Sandwich",Jordandal Cookhouse,48,4.5,(608) 848-3298,600 W Verona Ave,53593,American (Traditional),1
The Bongo Room,668,3.9,(773) 489-0690,"1470 N. Milwaukee Avenue, Chicago",60622,American,The Bongo Room,1197,4.0,(773) 489-0690,1470 N Milwaukee Ave,60622,American (New),1
Lao Sze Chuan,472,3.8,(312) 326-5040,"2172 S. Archer Avenue, Chicago",60616,"Asian, Chinese",Lao Sze Chuan,1036,3.5,(331) 248-3524,2172 S Archer Ave,60616,Szechuan,1
Ducks Eatery,87,3.6,(212) 432-3825,"351 East 12th Street, New York",10003,"Cajun, Fusion",Ducks Eatery,359,4.0,(212) 432-3825,351 E 12th St,10003,French,1
Eastside Market Italian Deli,92,4.2,(213) 250-2464,"1013 Alpine Street, Los Angeles",90012,"Italian, Sandwich",Eastside Market,692,4.5,(213) 250-2464,1013 Alpine St,90012,Italian,1
Aloha Hawaiian Barbecue,27,3.1,(214) 521-8868,"5610 Lemmon Avenue, Suite A1, Dallas",75209,"BBQ, Hawaiian",Aloha Hawaiian Barbecue,176,4.0,(214) 521-8868,5610 Lemmon AveSte A1,75209,Barbeque,1
Wildfire,435,3.9,(312) 787-9000,"159 W. Erie Street, Chicago",60654,"American, Steakhouse, Seafood",Wildfire,774,4.0,(312) 787-9000,159 W Erie St,60654,"American (Traditional),遊園地,ショッピングセンター",1
The Village Bakery and Cafe,65,3.6,(323) 662-8600,"3119 Los Feliz Blvd., Los Angeles",90039,"Breakfast, Coffee and Tea",The Village Bakery and Cafe,727,4.0,(323) 662-8600,3119 Los Feliz Blvd,90039,Bakeries,1
Ippudo,1346,4.3,(212) 388-0088,"65 4th Avenue, New York",10003,Ramen,Ippudo NY,7588,4.0,(212) 388-0088,65 4th Ave,10003,"Ramen,Ramen",1
Java Cat,60,3.8,(608) 223-5553,"3918 Monona Dr, Madison",53716,Coffee and Tea,Java Cat,44,4.0,(608) 223-5553,3918 Monona Dr,53716,Coffee & Tea,1
DMK Burger Bar,393,3.9,(773) 360-8686,"2954 N. Sheffield Avenue, Chicago",60657,Burger,DMK Burger Bar,1549,4.0,(773) 360-8686,2954 N Sheffield Ave,60657,Burgers,1
Olea,209,3.8,(718) 643-7003,"171 Lafayette Avenue, Brooklyn",11238,"Mediterranean, Tapas",Olea,528,4.0,(718) 643-7003,171 Lafayette Ave,11238,Mediterranean,1
Argus Bar Grille,23,3.1,(608) 256-4141,"123 E. Main St., Madison",53703,Bar Food,Argus,37,3.5,(608) 256-4141,123 E Main St,53703,Bars,1
Chilam Balam,166,3.8,(773) 296-6901,"3023 N. Broadway Street, Chicago",60657,"Mexican, Tapas",Chilam Balam,554,3.5,(773) 296-6901,3023 N Broadway St,60657,Mexican,1
Locanda Verde,576,4.1,(212) 925-3797,"377 Greenwich Street, New York",10013,Italian,Locanda Verde,1113,4.0,(212) 925-3797,377 Greenwich St,10013,Italian,1
Sala Thai,345,4.5,(608) 246-1889,"36 S Fair Oaks Ave, Madison",53714,Thai,Sala Thai,71,4.0,(608) 246-1889,36 S Fair Oaks Ave,53714,Thai,1
The Blind Butcher,60,3.8,(214) 887-0000,"1919 Greenville Avenue, Dallas",75206,New American,Blind Butcher,228,4.0,(214) 887-0000,1919 Greenville Ave,75206,American (New),1
Gilt Bar,201,4.7,(312) 464-9544,"230 W. Kinzie Street, Chicago",60654,New American,Gilt Bar,1109,4.0,(312) 464-9544,230 W Kinzie St,60654,American (New),1
Five Guys Burgers and Fries,167,3.6,(608) 255-2520,"517 State St., Madison",53703,Fast Food,Five Guys Burgers and Fries,59,3.5,(608) 255-2520,517 State St,53703,Burgers,1
Gyu-Kaku Japanese BBQ,110,3.7,(312) 266-8929,"210 E. Ohio Street, Chicago",60611,"Asian, BBQ, Japanese",Gyu-Kaku Japanese BBQ,899,4.0,(312) 266-8929,210 E Ohio St,60611,Japanese,1
Wonder Bar Steakhouse,96,3.5,(608) 256-9430,"232 E. Olin Ave., Madison",53713,Steakhouse,Wonder Bar Steakhouse,73,4.0,(608) 256-9430,222 E Olin Ave,53713,Steakhouses,1
Saint Ann Restaurant & Bar,200,3.3,(214) 782-9807,"2501 N Harwood Street, Dallas",75201,"American, European, International",Saint Ann,275,3.0,(214) 782-9807,2501 N Harwood St,75201,American (New),1
Twin Anchors,531,4.0,(312) 266-1616,"1655 N. Sedgwick Street, Chicago",60614,"American, BBQ",Twin Anchors Restaurant & Tavern,525,4.0,(312) 266-1616,1655 N Sedgwick St,60614,American (Traditional),1
Slurping Turtle,285,3.7,(312) 464-0466,"116 W. Hubbard Street, Chicago",60654,"Japanese, Tapas, Ramen",Slurping Turtle,984,3.5,(312) 464-0466,116 W Hubbard St,60654,Japanese,1
Masa of Echo Park,336,4.1,(213) 989-1558,"1800 W Sunset Blvd, Los Angeles",90026,"Italian, Pizza, Vegetarian",Masa of Echo Park,2604,4.0,(213) 989-1558,1800 W Sunset Blvd,90026,American (New),1
Kollege Klub,24,2.3,(608) 257-3611,"529 N Lake St, Madison",53703,American,The Kollege Klub,26,2.5,(608) 257-3611,529 N Lake St,53703,American (New),1
Oishii,423,3.9,(214) 599-9448,"2525 Wycliff Avenue, Dallas",75219,"Japanese, Sushi, Vietnamese",Oishii,254,3.5,(214) 599-9448,2525 Wycliff AveSte 110,75219,Sushi Bars,1
Tre Soldi,64,3.9,(312) 664-0212,"212 E. Ohio Street, Chicago",60611,"Italian, Pizza",Tre Soldi,173,4.0,(312) 664-0212,212 E Ohio St,60611,Italian,1
Oasis,62,3.4,(214) 361-8120,"5945 Greenville Avenue, Dallas",75206,Cafe,Oasis Restaurant,87,4.0,(214) 361-8120,5945 Greenville Ave,75206,Breakfast & Brunch,1
Tacos Y Mas,73,3.8,(214) 824-8079,"5419 Ross Avenue, Dallas",75206,Mexican,Tacos Y Mas,132,3.5,(214) 824-8079,5419 Ross Ave,75206,Mexican,1
Sake Bar Hagi,248,4.0,(212) 764-8549,"152 W 49th Street, New York",10019,"Asian, Japanese",Sake Bar Hagi,1257,4.0,(212) 764-8549,152 W 49th St,10019,Japanese,1
Plan Check Kitchen + Bar,140,4.0,(310) 288-6500,"1800 Sawtelle Blvd, Los Angeles",90025,Burger,Plan Check Kitchen + Bar,1748,4.0,(310) 444-1411,1800 Sawtelle Blvd,90025,American (New),1
Mot Hai Ba,85,3.7,(972) 638-7468,"6047 Lewis Street, Dallas",75206,"Asian, Vietnamese",Mot Hai Ba,185,4.0,(972) 638-7468,6047 Lewis St,75206,Vietnamese,1
Mexicali,172,3.8,(214) 341-9405,"11277 E Northwest Highway, Dallas",75238,Tex-Mex,Mexicali Restaurant,77,4.0,(214) 341-9405,11277 E NW HwySte 148,75238,Tex-Mex,1
Takito Kitchen,26,3.1,(773) 687-9620,"2013 W. Division Street, Chicago",60622,Mexican,Takito Kitchen,282,4.0,(773) 687-9620,2013 W Division St,60622,Mexican,1
The Dawson,34,3.3,(312) 243-8955,"730 W. Grand Avenue, Chicago",60654,New American,The Dawson,406,4.0,(312) 243-8955,730 W Grand Ave,60654,American (Traditional),1
Soot Bull Jeep,220,3.8,(213) 387-3865,"3136 W 8th St, Los Angeles",90005,"Asian, BBQ, Korean",Soot Bull Jeep,722,4.0,(213) 387-3865,3136 W 8th St,90005,Korean,1
Remedy,46,3.9,(469) 294-4012,"2010 Greenville Avenue, Suite B, Dallas",75206,"American, Desserts",Remedy,215,4.0,(469) 294-4012,2010B Greenville Ave,75206,American (Traditional),1
Koryo Kalbi Korean BBQ,129,3.9,(972) 406-0087,"2560 Royal Lane, Suite 105, Dallas",75229,Korean,Koryo Kalbi Korean BBQ,406,4.0,(972) 406-0087,2560 Royal LnSte 105,75229,Korean,1
Eldorado Grill,210,3.8,(608) 280-9378,"744 Williamson St, Madison",53703,"BBQ, Southwestern, Tex-Mex",Eldorado Grill,180,4.0,(608) 280-9378,744 Williamson St,53703,Tex-Mex,1
Malatesta Trattoria,191,3.7,(212) 741-1207,"649 Washington Street, New York",10014,Italian,Malatesta Trattoria,841,4.0,(212) 741-1207,649 Washington St,10014,Italian,1
Fundamental LA,54,4.6,(310) 444-7581,"1303 Westwood Blvd, Los Angeles",90024,American,fundamental LA,665,4.0,(310) 444-7581,1303 Westwood Blvd,90024,American (New),1
Taco Bell,38,2.3,(608) 827-6574,"421 Commerce Dr, Madison",53719,Fast Food,Taco Bell,8,1.5,(608) 277-2411,698 S. Whitney Way,53719,Tex-Mex,1
Forequarter,155,3.9,(608) 609-4717,"708 1/4 E Johnson St, Madison",53703,,Forequarter,174,4.0,(608) 609-4717,708 E Johnson,53703,American (New),1
Kenichi,184,3.3,(214) 871-8883,"2400 Victory Park Lane, Dallas",75219,"Asian, Japanese, Sushi",Kenichi,184,3.5,(214) 871-8883,2400 Victory Park Ln,75219,Sushi Bars,1
Cafe Istanbul,236,3.5,(214) 902-0919,"5450 W Lovers Lane, Dallas",75209,"Mediterranean, Middle Eastern, Turkish",Cafe Istanbul,114,3.5,(214) 902-0919,5450 W Lovers Ln,75209,Middle Eastern,1
Peggy Sue BBQ,227,3.6,(214) 987-9188,"6600 Snider Plaza, Dallas",75205,"American, BBQ",Peggy Sue BBQ,167,3.5,(214) 987-9188,6600 Snider Plz,75205,"Barbeque,American (Traditional),Italian",1
Barrio Chino,274,3.9,(212) 228-6710,"253 Broome Street, New York",10002,Mexican,Barrio Chino,825,4.0,(212) 228-6710,253 Broome St,10002,Mexican,1
The Bayou,143,3.5,(608) 294-9404,"117 S, Butler St., Madison",53703,"Seafood, Cajun",The Bayou,52,3.5,(608) 294-9404,117 S Butler St,53703,Cajun/Creole,1
By Chloe,7,3.1,(212) 290-8000,"185 Bleecker Street, New York",10012,"Vegetarian, Healthy Food",by Chloe,230,4.0,(212) 290-8000,185 Bleecker St,10012,Vegan,1
Xiomara on Melrose,60,3.5,(323) 461-0601,"6101 Melrose Ave, Los Angeles",90038,"Cuban, Mediterranean, Spanish",Xiomara,198,4.0,(323) 461-0601,6101 Melrose Ave,90038,Cuban,1
Ramen-san,31,3.4,(312) 377-9950,"59 W. Hubbard Street, Chicago",60654,"Japanese, Ramen",Ramen-san,539,3.5,(312) 377-9950,59 W Hubbard St,60654,Ramen,1
Tuome,6,3.1,(646) 833-7811,"536 E 5th Street, New York",10009,Asian,Tuome,141,4.5,(646) 833-7811,536 E 5th St,10009,American (New),1
Project Pie,11,3.1,(469) 547-1257,"6030 Luther Lane, Suite 110, Dallas",75225,"Desserts, Pizza",Project Pie,48,4.5,(469) 547-1257,6030 Luther Ln,75225,Pizza,1
