ID,Title,Author,Price,ISBN13,Publisher,Publication_Date,Pages,Dimensions
HC0023,The Phantom Tollbooth,Norton Juster,$9.16,9780394820378,Random House (NY),"Oct. 12th, 1988",272,5.37 x 7.63 x 0.67 inches
HC0024,A Long Walk to Water,Linda Sue Park,$9.26,9780547577319,Houghton Mifflin Harcourt (HMH),"Oct. 4th, 2011",121,5.00 x 7.60 x 0.50 inches
HC0025,Paper Towns,John Green,$10.00,9780142414934,Speak,"Sep. 22nd, 2009",305,5.58 x 8.12 x 0.84 inches
HC0026,"Bud, Not Buddy",Christopher Paul Curtis,$7.90,9780440413288,Yearling Books,"Jan. 8th, 2002",256,5.20 x 7.70 x 0.60 inches
HC0027,A Wrinkle in Time(Madeleine L'Engle's Time Quintet),Madeleine L'Engle,$8.57,9780312367541,Square Fish,"May. 1st, 2007",245,5.10 x 7.60 x 0.70 inches
HC0028,Th1rteen R3asons Why,Jay Asher,$10.66,9781595141880,Razorbill,"Jun. 14th, 2011",288,5.46 x 8.22 x 0.92 inches
HC0029,City of Bones(Mortal Instruments (Paperback)),Cassandra Clare,,9781416955078,Margaret K. McElderry Books,"Mar. 1st, 2008",485,5.49 x 8.28 x 1.35 inches
HC0030,Uglies(Uglies Trilogy),Scott Westerfeld,,9780689865381,Simon Pulse,"Feb. 28th, 2005",448,5.12 x 6.90 x 1.17 inches
HC0031,Webster's Thesaurus for Students,Inc. Merriam-Webster,$6.51,9781596950948,Federal Street Press,"May. 1st, 2010",335,5.22 x 7.61 x 0.91 inches
HC0032,Beautiful Creatures(Beautiful Creatures),Kami Garcia,$7.89,9780316231657,"Little, Brown Books for Young Readers","Nov. 20th, 2012",576,
HC0033,Island of the Blue Dolphins,Scott O'Dell,$5.79,9780440439882,Yearling Books,"Feb. 28th, 1987",192,5.16 x 7.65 x 0.91 inches
HC0034,"The Heroes of Olympus, The, Book One(Heroes of Olympus (Paperback))",Rick Riordan,$6.88,9781423113461,Hyperion Books,"Apr. 3rd, 2012",576,5.32 x 7.69 x 1.34 inches
HC0035,The 7 Habits of Highly Effective Teens,Sean Covey,,9780684856094,Fireside Books,"Oct. 9th, 1998",288,6.10 x 9.10 x 0.60 inches
HC0036,Freak the Mighty,Rodman Philbrick,$8.25,9780439286060,Scholastic Paperbacks,"Jun. 1st, 2001",176,5.20 x 7.40 x 0.60 inches
HC0037,Mockingjay(Hunger Games (Quality)),Suzanne Collins,,9781594135866,Large Print Press,"Apr. 20th, 2012",501,5.60 x 8.30 x 1.20 inches
HC0038,The Mysterious Benedict Society(Mysterious Benedict Society (Paperback)),Trenton Lee Stewart,$10.18,9780316003957,"Little, Brown Young Readers","Apr. 1st, 2008",512,5.33 x 7.59 x 1.34 inches
HC0039,A Wrinkle in Time Trilogy,Madeleine L'Engle,$18.52,9781250003430,Square Fish,"Oct. 16th, 2012",800,
HC0040,The Little Prince,Antoine de Saint-Exupery,$11.32,9780156012195,Harvest Books,"Jun. 29th, 2000",96,5.36 x 7.96 x 0.26 inches
HC0041,The Watsons Go to Birmingham - 1963,Christopher Paul Curtis,$9.14,9780440228004,Laurel Leaf Library,"Dec. 12th, 2000",224,4.24 x 6.96 x 0.63 inches
HC0042,An Abundance of Katherines,John Green,$9.89,9780142410707,Puffin Books,"Oct. 16th, 2008",227,5.60 x 8.20 x 0.72 inches
HC0043,Maniac Magee,Jerry Spinelli,$9.15,9780316809061,"Little, Brown Young Readers","Nov. 1st, 1999",192,5.00 x 7.20 x 0.60 inches
HC0044,The Sea of Monsters(Percy Jackson & the Olympians (Paperback)),Rick Riordan,$9.26,9781423103349,Miramax Books,"Mar. 20th, 2007",279,5.30 x 7.54 x 0.76 inches
HC0045,The Sign of the Beaver,Elizabeth George Speare,,9780440479000,Yearling Books,"Jul. 1st, 1984",144,5.10 x 7.40 x 0.40 inches
HC0046,Speak,Laurie Halse Anderson,,9780142407325,Puffin Books,"Apr. 20th, 2006",197,5.70 x 8.10 x 0.60 inches
HC0047,The Beautiful Creatures Paperback Set(Beautiful Creatures),Kami Garcia,$161.44,9780316243766,"Little, Brown Books for Young Readers","Oct. 23rd, 2012",1696,
HC0048,Smile,Raina Telgemeier,$11.38,9780545132060,Graphix,"Feb. 1st, 2010",213,5.52 x 8.00 x 0.74 inches
HC0049,Unwind,Neal Shusterman,$12.03,9781416912057,Simon & Schuster Books for Young Readers,"Jun. 2nd, 2009",335,5.48 x 8.28 x 0.94 inches
HC0050,The Witch of Blackbird Pond,Elizabeth George Speare,,9780440495963,Yearling Books,"Feb. 15th, 1972",256,5.24 x 7.64 x 0.65 inches
HC0051,The Lightning Thief(Percy Jackson & the Olympians (Paperback)),Rick Riordan,$13.49,9781423134947,Hyperion Books,"Jan. 31st, 2010",377,7.32 x 7.64 x 0.93 inches
HC0052,Percy Jackson Pbk 5-Book Boxed Set,Rick Riordan,,9781423136804,Hyperion Books,"Aug. 30th, 2011",1824,5.40 x 7.80 x 4.50 inches
HC0053,Seedfolks(Joanna Colter Books),Paul Fleischman,$8.98,9780064472074,HarperTrophy,"Mar. 24th, 1999",80,4.18 x 6.80 x 0.31 inches
HC0054,"The Kane Chronicles, The, Book One(Kane Chronicles Kane Chronicles)",Rick Riordan,$10.97,9781423113454,Hyperion Books,"Aug. 16th, 2011",544,5.10 x 7.60 x 1.20 inches
HC0055,The Revealers,Doug Wilhelm,$5.79,9780374462437,Farrar Straus Giroux,"Apr. 30th, 2005",224,5.48 x 7.62 x 0.55 inches
HC0056,The Scorch Trials(Maze Runner Trilogy (Paperback)),James Dashner,$10.00,9780385738767,Ember,"Sep. 13th, 2011",361,5.50 x 8.10 x 0.90 inches
HC0057,Beautiful Creatures(Beautiful Creatures),Kami Garcia,,9780316231671,"Little, Brown Books for Young Readers","Nov. 27th, 2012",592,
HC0058,The Hobbit,J. R. R. Tolkien,,9780618002214,Houghton Mifflin Harcourt (HMH),"Sep. 15th, 1999",320,5.47 x 8.14 x 0.72 inches
HC0059,It's Kind of a Funny Story,Ned Vizzini,$10.90,9780786851973,Miramax Books,"Apr. 3rd, 2007",444,5.68 x 8.14 x 0.94 inches
HC0060,The Breadwinner,Deborah Ellis,$9.12,9780888994165,Groundwood Books,"Oct. 25th, 2001",170,5.06 x 7.41 x 0.45 inches
HC0061,Uglies(Uglies Trilogy),Scott Westerfeld,$12.29,9781442419810,Simon Pulse,"May. 3rd, 2011",406,5.50 x 8.20 x 1.20 inches
HC0062,Monster,Walter Dean Myers,$10.71,9780064407311,Amistad Press,"May. 8th, 2001",288,4.93 x 7.17 x 0.88 inches
HC0063,The Titan's Curse(Percy Jackson & the Olympians (Paperback)),Rick Riordan,,9781423101482,Hyperion Books for Children,"Apr. 1st, 2008",312,5.23 x 7.63 x 0.83 inches
HC0064,Delirium(Delirium (Paperback)),Lauren Oliver,,9780061726835,Harper,"Feb. 7th, 2012",441,5.40 x 8.00 x 1.40 inches
HC0065,"The Percy Jackson and the Olympians, Book Five(Percy Jackson & the Olympians (Paperback))",Rick Riordan,$9.27,9781423101505,Hyperion Books,"Jan. 25th, 2011",416,5.33 x 7.96 x 0.99 inches
HC0066,"I, Q: Book Three(I, Q (Paperback))",Roland Smith,$9.19,9781585366040,Sleeping Bear Press,"Sep. 1st, 2012",256,
HC0067,The Graveyard Book,Neil Gaiman,$9.88,9780060530945,HarperCollins,"Sep. 28th, 2010",312,5.28 x 7.65 x 0.99 inches
HC0068,The City of Ember(Book of Ember (Paperback)),Jeanne DuPrau,$8.98,9780375822742,Yearling Books,"May. 25th, 2004",288,5.16 x 7.73 x 0.71 inches
HC0069,Between Shades of Gray,Ruta Sepetys,$10.62,9780142420591,Speak,"Apr. 3rd, 2012",352,5.40 x 8.20 x 1.20 inches
HC0070,The Battle of the Labyrinth(Percy Jackson & the Olympians (Paperback)),Rick Riordan,$9.29,9781423101499,Hyperion Books,"Apr. 7th, 2009",361,5.20 x 7.30 x 1.10 inches
HC0071,Stargirl,Jerry Spinelli,$8.54,9780440416777,Laurel Leaf Library,"May. 11th, 2004",186,4.08 x 7.11 x 0.57 inches
HC0072,The Westing Game(Puffin Classics (Paperback)),Ellen Raskin,$8.65,9780142401200,Puffin Books,"Apr. 12th, 2004",182,4.90 x 6.90 x 0.60 inches
HC0073,The Ruins of Gorlan(Ranger's Apprentice (Quality)),John Flanagan,$9.97,9780142406632,Puffin Books,"Jun. 8th, 2006",249,5.06 x 7.76 x 0.72 inches
HC0074,The Watsons Go to Birmingham - 1963,Christopher Paul Curtis,$9.15,9780440414124,Yearling Books,"Sep. 8th, 1997",224,5.16 x 7.60 x 0.61 inches
HC0075,The Giver,Lois Lowry,$120.66,9780385732550,Delacorte Press Books for Young Readers,"Jan. 24th, 2006",179,5.32 x 8.00 x 0.58 inches
HC0076,The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making,Catherynne M. Valente,$10.06,9781250010193,Square Fish,"May. 8th, 2012",247,5.25 x 7.62 x 0.77 inches
HC0077,Chains,Laurie Halse Anderson,$9.88,9781416905868,Atheneum Books,"Jan. 5th, 2010",316,5.10 x 7.60 x 1.00 inches
HC0078,Touching Spirit Bear,Ben Mikaelsen,$8.45,9780380805600,HarperCollins,"Apr. 30th, 2002",256,5.19 x 7.61 x 0.59 inches
HC0079,Hatchet,Gary Paulsen,$8.69,9781416936466,Simon Pulse,"Jan. 1st, 2007",189,4.26 x 7.02 x 0.57 inches
HC0080,Tears of a Tiger,Sharon M. Draper,$8.68,9780689806988,Simon Pulse,"Feb. 1st, 1996",192,4.20 x 7.05 x 0.56 inches
HC0081,"Will Grayson, Will Grayson",John Green,$10.64,9780142418475,Speak,"Apr. 5th, 2011",310,5.40 x 8.10 x 0.90 inches
HC0082,Farewell to Manzanar,Jeanne Wakatsuki Houston,$9.72,9780307976079,Ember,"Feb. 14th, 2012",208,5.40 x 8.00 x 0.70 inches
HC0083,Holes,Louis Sachar,$7.25,9780440228592,Laurel Leaf Library,"Aug. 14th, 2001",256,4.36 x 6.93 x 1.06 inches
HC0084,Bystander,James Preller,$9.26,9780312547967,Square Fish,"May. 10th, 2011",226,5.10 x 7.60 x 0.70 inches
HC0085,Warriors Don't Cry,Melba Patillo Beals,$8.69,9781416948827,Simon Pulse,"Jul. 24th, 2007",226,4.97 x 7.06 x 0.67 inches
HC0086,Fever 1793,Laurie Halse Anderson,$9.89,9780689848919,Aladdin Paperbacks,"Mar. 1st, 2002",256,5.12 x 7.73 x 0.74 inches
HC0087,Whirligig,Paul Fleischman,,9780440228356,Laurel Leaf Library,"Nov. 30th, 1999",144,4.24 x 6.82 x 0.41 inches
HC0088,The 7 Habits of Highly Effective Teens Personal Workbook,Sean Covey,$10.19,9780743250986,Fireside Books,"Feb. 24th, 2004",216,6.15 x 9.12 x 0.61 inches
HC0089,Beastly,Alex Flinn,,9780060874186,Harper Teen,"Oct. 31st, 2008",304,4.86 x 7.32 x 0.76 inches
HC0090,Artemis Fowl(Artemis Fowl (Quality)),Eoin Colfer,$9.97,9781423124528,Hyperion Books,"Jun. 1st, 2009",277,5.38 x 7.48 x 0.80 inches
HC0091,I Am Number Four(I Am Number Four (Paperback)),Pittacus Lore,$10.97,9780061969577,Harper,"Aug. 23rd, 2011",440,5.34 x 8.09 x 1.23 inches
HC0092,Alice's Adventures in Wonderland(Dover Thrift Editions),Lewis Carroll,$5.99,9780486275437,Dover Publications,"May. 20th, 1993",96,5.19 x 8.24 x 0.26 inches
HC0093,The Icebound Land(Ranger's Apprentice (Quality)),John Flanagan,$9.98,9780142410752,Puffin Books,"Feb. 5th, 2008",266,5.10 x 7.78 x 0.75 inches
HC0094,Warriors #1(Warriors (Avon Paperback)),Erin Hunter,,9780060525507,HarperCollins,"Jan. 6th, 2004",288,5.20 x 7.62 x 0.63 inches
HC0095,Harry Potter and the Chamber of Secrets(Harry Potter (Paperback)),J. K. Rowling,$11.09,9780439064873,Scholastic,"Sep. 1st, 2000",341,5.26 x 7.62 x 0.90 inches
HC0096,Graceling(Graceling (Paperback)),Kristin Cashore,$11.01,9780547258300,Graphia Books,"Sep. 7th, 2009",471,5.55 x 8.27 x 1.28 inches
HC0097,Black Ships Before Troy,Rosemary Sutcliff,$8.43,9780553494839,Laurel Leaf Library,"Dec. 13th, 2005",151,4.20 x 6.80 x 0.50 inches
HC0098,Soldier's Heart,Gary Paulsen,$8.42,9780440228387,Laurel Leaf Library,"Sep. 12th, 2000",128,4.26 x 6.82 x 0.38 inches
HC0099,Living Up the Street,Gary Soto,$8.43,9780440211709,Laurel Leaf Library,"Feb. 1st, 1992",176,4.34 x 7.06 x 0.49 inches
HC0100,Freedom Walkers,Russell Freedom,$14.37,9780823421954,Holiday House,"Mar. 1st, 2009",114,7.40 x 9.20 x 0.40 inches
HC0101,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,$9.55,9780140384512,Speak,"Feb. 1st, 1997",276,5.23 x 7.68 x 0.77 inches
HC0102,Farewell to Manzanar,Jeanne Wakatsuki Houston,,9780553272581,Laurel Leaf Library,"Mar. 31st, 1983",224,4.16 x 6.90 x 0.65 inches
HC0103,The Hobbit,J. R. R. Tolkien,$11.59,9780618150823,Graphia Books,"Sep. 25th, 2001",352,5.06 x 7.75 x 0.89 inches
HC0104,A Tale Dark & Grimm,Adam Gidwitz,$9.17,9780142419670,Puffin Books,"Aug. 18th, 2011",256,5.72 x 7.41 x 0.75 inches
HC0105,"The Hobbit, Or, There and Back Again",J. R. R. Tolkien,$11.32,9780618260300,Houghton Mifflin Harcourt (HMH),"Aug. 15th, 2002",320,5.20 x 7.71 x 0.96 inches
HC0106,Wizard of Earthsea(Earthsea Trilogy (Paperback)),Ursula K. Le Guin,,9780553262506,Spectra Books,"Apr. 1st, 1984",192,4.42 x 6.88 x 0.57 inches
HC0107,Bad Boy,Walter Dean Myers,$10.66,9780064472883,Amistad Press,"May. 7th, 2002",224,5.00 x 7.32 x 0.51 inches
HC0108,The Adventures of Ulysses,Bernard Evslin,$128.93,9780590425995,Scholastic,"Jan. 1st, 1980",179,4.24 x 6.60 x 0.55 inches
HC0109,Nothing But the Truth,Avi,$8.25,9780545174152,Scholastic Paperbacks,"Jan. 1st, 2010",177,5.26 x 7.63 x 0.50 inches
HC0110,The Alchemyst(Secrets of the Immortal Nicholas Flamel (Paperback)),Michael Scott,$10.64,9780385736008,Delacorte Press,"Jun. 24th, 2008",375,5.18 x 8.08 x 0.85 inches
HC0111,The Mysterious Benedict Society and the Perilous Journey(Mysterious Benedict Society (Paperback)),Trenton Lee Stewart,$9.56,9780316036733,"Little, Brown Young Readers","May. 1st, 2009",440,5.20 x 7.50 x 1.20 inches
HC0112,Harry Potter and the Prisoner of Azkaban(Harry Potter (Paperback)),J. K. Rowling,$11.12,9780439136365,Scholastic,"Oct. 1st, 2001",435,5.32 x 7.52 x 1.07 inches
HC0113,The Wave,Todd Strasser,$8.51,9780440993711,Laurel Leaf Library,"Sep. 15th, 1981",144,4.66 x 6.74 x 0.40 inches
HC0114,Nightjohn,Gary Paulsen,$8.42,9780440219361,Laurel Leaf Library,"Jan. 1st, 1995",112,4.20 x 6.94 x 0.32 inches
HC0115,The Cay,Theodore Taylor,$8.51,9780440229124,Laurel Leaf Library,"Apr. 8th, 2003",144,4.10 x 6.70 x 0.30 inches
HC0116,Blood on the River,Elisa Carbone,$8.47,9780142409329,Puffin Books,"Nov. 1st, 2007",237,5.10 x 7.70 x 0.70 inches
HC0117,Chew on This,Eric Schlosser,$10.97,9780618593941,Houghton Mifflin Harcourt (HMH),"Apr. 23rd, 2007",318,5.40 x 8.20 x 0.90 inches
HC0118,A Young People's History of the United States,Howard Zinn,$14.45,9781583228692,Seven Stories Press,"Jun. 2nd, 2009",464,5.40 x 7.80 x 1.30 inches
HC0119,"Tomorrow, When the War Began(Tomorrow)",John Marsden,$10.43,9780439829106,Scholastic Paperbacks,"Jun. 1st, 2006",277,5.20 x 8.00 x 0.60 inches
HC0120,Cinder(Lunar Chronicles),Marissa Meyer,$11.29,9781250007209,Square Fish,"Jan. 8th, 2013",448,
HC0121,"The Omnivore's Dilemma, Young Readers Edition",Michael Pollan,,9780803735002,Dial Books,"Oct. 15th, 2009",298,6.52 x 9.02 x 0.94 inches
HC0122,The Dangerous Days of Daniel X(Daniel X),James Patterson,$5.79,9780316002936,"Little, Brown Young Readers","Dec. 31st, 2008",238,5.10 x 7.30 x 0.90 inches
HC0123,Red Scarf Girl,Ji-Li Jiang,$8.48,9780064462082,HarperTrophy,"Sep. 4th, 1998",320,5.03 x 7.77 x 0.66 inches
HC0124,Stormbreaker(Alex Rider Adventures (Paperback)),Anthony Horowitz,$9.88,9780142406113,Puffin Books,"Feb. 16th, 2006",234,5.10 x 7.70 x 0.90 inches
HC0125,Al Capone Does My Shirts,Gennifer Choldenko,$9.16,9780142403709,Puffin Books,"Apr. 20th, 2006",225,5.10 x 7.77 x 0.69 inches
HC0126,The Skin I'm In,Sharon G. Flake,$9.83,9781423103851,Jump at the Sun,"Aug. 1st, 2007",171,5.62 x 8.24 x 0.38 inches
HC0127,Specials(Uglies Trilogy),Scott Westerfeld,$7.99,9781416947950,Simon Pulse,"Sep. 30th, 2007",372,5.08 x 6.98 x 1.08 inches
HC0128,La Linea,Ann Jaramillo,$9.86,9780312373542,Square Fish,"Jul. 22nd, 2008",135,5.54 x 8.20 x 0.43 inches
HC0129,The House of the Scorpion,Nancy Farmer,$11.69,9780689852237,Simon Pulse,"Apr. 27th, 2004",380,5.51 x 8.13 x 1.07 inches
HC0130,Harry Potter and the Order of the Phoenix(Harry Potter (Paperback)),J. K. Rowling,$12.93,9780439358071,Scholastic,"Sep. 1st, 2004",870,5.34 x 7.60 x 1.85 inches
HC0131,Out from Boneville(Bone (Graphix Paperback)),Jeff Smith,$12.52,9780439706407,Graphix,"Feb. 1st, 2005",138,6.16 x 8.98 x 0.39 inches
HC0132,The 6 Most Important Decisions You'll Ever Make,Sean Covey,$18.26,9780743265041,Fireside Books,"Sep. 1st, 2006",324,6.12 x 9.12 x 0.68 inches
HC0133,The Hunger Games(Hunger Games (Quality)),Suzanne Collins,$12.37,9780545425117,Scholastic Inc.,"Feb. 7th, 2012",374,5.20 x 7.90 x 0.90 inches
HC0134,Code Talker,Joseph Bruchac,$8.61,9780142405963,Puffin Books,"Jul. 6th, 2006",231,5.50 x 8.20 x 0.70 inches
HC0135,Gathering Blue,Lois Lowry,,9780440229490,Laurel Leaf Library,"Sep. 10th, 2002",224,4.22 x 7.22 x 0.73 inches
HC0136,Harry Potter and the Goblet of Fire(Harry Potter (Paperback)),J. K. Rowling,$12.67,9780439139601,Scholastic Paperbacks,"Sep. 1st, 2002",752,5.30 x 7.61 x 1.77 inches
HC0137,My Brother Sam Is Dead,James Lincoln Collier,$8.25,9780439783606,Scholastic Paperbacks,"Apr. 1st, 2005",216,5.33 x 7.63 x 0.57 inches
HC0138,Iqbal,Francesco D'Adamo,$8.43,9781416903291,Aladdin Paperbacks,"Jul. 5th, 2005",120,5.25 x 7.75 x 0.49 inches
HC0139,Freedom's Children,Ellen Levine,$8.62,9780698118706,Puffin Books,"Dec. 1st, 2000",192,6.03 x 9.02 x 0.54 inches
HC0140,We Beat the Street,Sampson Davis,$9.16,9780142406274,Puffin Books,"Apr. 20th, 2006",192,5.40 x 8.20 x 0.60 inches
HC0141,The Running Dream,Wendelin Van Draanen,$9.99,9780375866289,Ember,"Jan. 10th, 2012",352,5.40 x 8.10 x 0.90 inches
HC0142,Harry Potter and the Deathly Hallows(Harry Potter (Paperback)),J. K. Rowling,$14.02,9780545139700,Arthur A. Levine Books,"Jul. 7th, 2009",759,5.31 x 7.56 x 1.66 inches
HC0143,Twilight(Twilight Saga (Paperback)),Stephenie Meyer,$14.44,9780316015844,Megan Tingley Books,"Sep. 1st, 2006",498,5.40 x 8.20 x 1.40 inches
HC0144,Found(Missing (Aladdin)),Margaret Peterson Haddix,$9.16,9781416954217,Simon & Schuster Children's Publishing,"Apr. 21st, 2009",314,5.34 x 7.52 x 0.89 inches
HC0145,Bronx Masquerade,Nikki Grimes,$8.43,9780142501894,Speak,"Dec. 29th, 2003",167,4.30 x 6.78 x 0.46 inches
HC0146,Webster's Dictionary(Webster's Classic Reference Library),School Specialty Publishing,$5.98,9780769615912,Brighter Child,"May. 1st, 2000",224,5.24 x 7.64 x 0.61 inches
HC0147,Rookie Yearbook One,Tavi Gevinson,$22.20,9781770461123,Drawn & Quarterly,"Sep. 4th, 2012",352,
HC0148,Opal(Lux Novel),Jennifer L. Armentrout,$12.31,9781620610091,Entangled Select,"Dec. 11th, 2012",452,
HC0149,The Black Stallion(Black Stallion (Paperback)),Walter Farley,,9780679813439,Random House Children's Books,"Aug. 20th, 1991",224,5.14 x 7.76 x 0.56 inches
HC0150,Eragon(Inheritance Cycle (Paperback)),Christopher Paolini,$10.95,9780375826696,Alfred A. Knopf Books for Young Readers,"Apr. 26th, 2005",528,5.50 x 8.20 x 1.20 inches
HC0151,The Mysterious Benedict Society and the Prisoner's Dilemma(Mysterious Benedict Society (Paperback)),Trenton Lee Stewart,$9.55,9780316045506,"Little, Brown Books for Young Readers","Oct. 5th, 2010",391,5.54 x 7.64 x 1.03 inches
HC0152,Locomotion,Jacqueline Woodson,$8.57,9780142415528,Puffin Books,"Jan. 7th, 2010",99,5.40 x 8.30 x 0.36 inches
HC0153,Lawn Boy,Gary Paulsen,$7.72,9780553494655,Yearling Books,"Mar. 24th, 2009",88,5.18 x 7.58 x 0.29 inches
HC0154,"Middle School, the Worst Years of My Life",James Patterson,,9780316101691,Little Brown and Company,"Nov. 6th, 2012",336,
HC0155,The River,Gary Paulsen,$9.69,9780307929617,Ember,"Mar. 13th, 2012",132,5.40 x 8.00 x 0.40 inches
HC0156,Pretties(Uglies Trilogy),Scott Westerfeld,$5.79,9780689865398,Simon Pulse,"Nov. 30th, 2005",370,5.02 x 7.06 x 0.99 inches
HC0157,Of Beetles & Angels,Mawi Asgedom,$10.58,9780316826204,"Little, Brown Books for Young Readers","Sep. 1st, 2002",176,5.54 x 8.42 x 0.47 inches
HC0158,The Burning Bridge(Ranger's Apprentice (Quality)),John Flanagan,$9.88,9780142408421,Puffin Books,"Jun. 26th, 2007",262,5.06 x 7.73 x 0.78 inches
HC0159,Harry Potter and the Half-Blood Prince(Harry Potter (Paperback)),J. K. Rowling,$12.63,9780439785969,Scholastic Paperbacks,"Sep. 1st, 2006",652,5.26 x 7.67 x 1.39 inches
HC0160,Brian's Winter,Gary Paulsen,$5.86,9780440227199,Laurel Leaf Library,"Jan. 31st, 1998",144,4.20 x 6.91 x 0.45 inches
HC0161,Gone(Gone (Paper)),Michael Grant,$10.89,9780061448782,Harper Teen,"Apr. 28th, 2009",558,5.28 x 8.04 x 1.35 inches
HC0162,Pretty Little Liars(Pretty Little Liars (Quality)),Sara Shepard,$10.59,9780060887322,Harper Teen,"Aug. 21st, 2007",286,5.39 x 8.05 x 0.73 inches
HC0163,The Call of the Wild(Dover Thrift Editions),Jack London,$6.14,9780486264721,Dover Publications,"Jul. 1st, 1990",64,5.23 x 8.27 x 0.25 inches
HC0164,Shiver(Shiver),Maggie Stiefvater,,9780545123273,Scholastic Paperbacks,"Jun. 1st, 2010",392,6.30 x 8.04 x 0.78 inches
HC0165,The Power of Six(Lorien Legacies),Pittacus Lore,$10.86,9780061974571,HarperCollins,"Jul. 24th, 2012",406,5.30 x 7.90 x 1.20 inches
HC0166,Inheritance(Inheritance Cycle (Paperback)),Christopher Paolini,$13.49,9780375846311,Alfred A. Knopf Books for Young Readers,"Oct. 23rd, 2012",880,
HC0167,Ship Breaker,Paolo Bacigalupi,$11.32,9780316056199,"Little, Brown Books for Young Readers","Oct. 3rd, 2011",352,5.24 x 8.48 x 0.92 inches
HC0168,The Angel Experiment(Maximum Ride (Quality)),James Patterson,$10.97,9780316067959,"Little, Brown Young Readers","Apr. 1st, 2007",422,5.25 x 7.55 x 1.26 inches
HC0169,Joey Pigza Swallowed the Key(Joey Pigza),Jack Gantos,$29.05,9780312623555,Square Fish,"Jul. 5th, 2011",176,5.24 x 7.66 x 0.48 inches
