#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
#ltable=POINTER
_id,ltable.ID,rtable.ID,ltable.FirstAuthor,ltable.ISBN,ltable.ISBN13,ltable.PageCount,ltable.PublishDate,ltable.Publisher,ltable.SecondAuthor,ltable.ThirdAuthor,ltable.Title,rtable.FirstAuthor,rtable.SecondAuthor,rtable.ThirdAuthor,rtable.ISBN13,rtable.PageCount,rtable.PublishDate,rtable.Publisher,rtable.Title,match_label
942,1008,2776,Leigh Hunt,1169907288,9781169907287,436,February 1st 2011,Kessinger Publishing,,,The Autobiography of Leigh Hunt,Leigh Hunt,,,9781314131222,356,1/28/13,HardPress Publishing,"The Autobiography of Leigh Hunt, with Reminiscences of Friends and Contemporaries, and with Thornton Hunt's Introduction and PostScript Volume 2",0
956,1010,3154,Anthony Trollope,1594623198,9781594623196,336,August 29th 2006,Book Jungle,,,Autobiography of Anthony Trollope,Anthony Trollope,,,9781297173226,234,2/18/15,Scholar's Choice,"An Autobiography, Volume II - Scholar's Choice Edition",0
973,1041,15,One Direction,7596391,9780007596393,0,September 25th 2014,HarperCollins Publishers Ltd,,,One Direction: Who We are: Our Official Autobiography,One Direction,,,9780007577316,352,9/25/14,HarperCollins UK,One Direction: Who We Are: Our Official Autobiography,1
980,1047,74,Thomas Jefferson,,,0,,,,,"Works of Thomas Jefferson. Including The Jefferson Bible, Autobiography and The Writings of Thomas Jefferson (Illustrated), with Notes on Virginia, Parliamentary ... more.",Thomas Jefferson,,,9781607783091,,1/1/10,MobileReference,Autobiography of Thomas Jefferson,0
988,1047,1176,Thomas Jefferson,,,0,,,,,"Works of Thomas Jefferson. Including The Jefferson Bible, Autobiography and The Writings of Thomas Jefferson (Illustrated), with Notes on Virginia, Parliamentary ... more.",Thomas Jefferson,,,9780812219012,200,12/1/04,"University of Pennsylvania Press, Inc.","The Autobiography of Thomas Jefferson, 1743-1790",0
993,1047,2318,Thomas Jefferson,,,0,,,,,"Works of Thomas Jefferson. Including The Jefferson Bible, Autobiography and The Writings of Thomas Jefferson (Illustrated), with Notes on Virginia, Parliamentary ... more.",Thomas Jefferson,,,2940021467605,,,"New York : Edwards, Pratt &amp; Foster","The Life and Letters of Thomas Jefferson: Being His Autobiography and Select Correspondence, from Original Manuscripts",0
995,1049,397,Herbert Blau,9780472117,,302,June 8th 2011,University of Michigan Press,,,As If: An Autobiography,Herbert Blau,,,9780472035144,302,10/31/12,University of Michigan Press,As If: An Autobiography,0
996,1049,1336,Herbert Blau,9780472117,,302,June 8th 2011,University of Michigan Press,,,As If: An Autobiography,Herbert Blau,,,9780472117789,302,5/31/11,University of Michigan Press,As If: An Autobiography,1
1006,1066,397,Herbert Blau,472117785,9780472117789,302,June 8th 2011,University of Michigan Press,,,As If: An Autobiography,Herbert Blau,,,9780472035144,302,10/31/12,University of Michigan Press,As If: An Autobiography,0
1024,1108,399,Buffalo Bill Cody,1495370070,9781495370076,196,January 30th 2014,Createspace,,,Buffalo Bill Cody: An Autobiography,Buffalo Bill,,,9781495225123,128,1/20/14,CreateSpace Independent Publishing Platform,An Autobiography of Buffalo Bill (Colonel W. F. Cody),0
1057,1152,2714,Michael Cole,805854991,9780805854992,276,October 1st 2005,Lawrence Erlbaum Associates,Karl Levitin,Alexander R. Luria,The Autobiography of Alexander Luria: A Dialogue with the Making of Mind,Michael Cole,Alexander R. Luria,Karl Levitin,9780805854992,296,9/19/05,Taylor &amp; Francis,The Autobiography of Alexander Luria A Dialogue With the Making of Mind,1
1061,1161,728,Herb Boyd,385492790,9780385492799,576,December 26th 2000,Anchor Books,,,Autobiography of a People: Three Centuries of African American History Told by Those Who Lived It,Those Who Lived It,,,9780385492799,576,12/28/00,Knopf Doubleday Publishing Group,Autobiography of a People: Three Centuries of African American History Told,1
1069,1175,425,Frank Lloyd Wright,764932438,9780764932434,561,January 1st 2005,Pomegranate Communications In,,,Frank Lloyd Wright: An Autobiography,Frank Lloyd Wright,,,9780764932434,561,4/28/05,"Pomegranate Art Books, Incorporated",Frank Lloyd Wright: An Autobiography,1
