#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
_id,ltable.ID,rtable.ID,ltable.FirstAuthor,ltable.ISBN13,ltable.Publisher,ltable.Title,rtable.Author1,rtable.ISBN13,rtable.Publisher,rtable.Title
14,27,1546,Mark Todd,9781409143208,Orion Publishing,Second Chance: The Autobiography,Greg Wallace,9781409139218,"Orion Publishing Group, Limited",Life on a Plate: The Autobiography
15,27,3307,Mark Todd,9781409143208,Orion Publishing,Second Chance: The Autobiography,Mark Todd,9781409143215,"Orion Publishing Group, Limited",Second Chance: The Autobiography
16,28,356,George Takei,9780671890087,Simon & Schuster Ltd,"To the Stars: The Autobiography of George Takei, Star Trek's Mr. Sulu",George Takei,9780743434201,Gallery Books,"To the Stars: The Autobiography of George Takei, Star Trek's Mr. Sulu"
17,30,887,أبو حامد الغزالي,9781887752275,Fons Vitae,"Deliverance from Error: Five Key Texts Including His Spiritual Autobiography, al-Munqidh min al-Dalal",Abu Hamid Muhammad al-Ghazali,9781887752275,"Fons Vitae of Kentucky, Incorporated","Deliverance from Error: Five Key Texts Including His Spiritual Autobiography, Al-Munqidh Min Al-Dalal"
18,33,586,Osho,9780312280710,St. Martin's Griffin,Autobiography of a Spiritually Incorrect Mystic,Osho,9780312280710,St. Martin's Press,Autobiography of a Spiritually Incorrect Mystic
19,36,456,Luis Buñuel,9780345803702,Vintage,My Last Sigh: The Autobiography of Luis Buñuel,Luis Bunuel,9780345803702,Knopf Doubleday Publishing Group,My Last Sigh: The Autobiography of Luis Bunuel
20,37,633,Ray Davies,9780715637517,Overlook,X Ray: The Unauthorized Autobiography,Ray Davies,9781468302387,The Overlook Press,X-Ray: The Unauthorized Autobiography
21,38,315,Luna Challis, ,Smashwords Edition,Luna the Autobiography of a Super Cat,Luna Challis,2940011506413,Steve Challis,Luna the Autobiography of a Super Cat
22,40,1215,Herbert Spencer,9781417970315,Kessinger Publishing,"An Autobiography, Part 1",Herbert Spencer,9781409784784,Brooks Press,An Autobiography By Herbert Spencer Vol Ii
23,40,1426,Herbert Spencer,9781417970315,Kessinger Publishing,"An Autobiography, Part 1",Herbert Spencer,2940017054239,"New York, D. Appleton",An autobiography
24,40,1664,Herbert Spencer,9781417970315,Kessinger Publishing,"An Autobiography, Part 1",Herbert Spencer (Illustrated),2940150659667,AS Team,An Autobiography: Volume 1 and 2
25,40,1738,Herbert Spencer,9781417970315,Kessinger Publishing,"An Autobiography, Part 1",Spencer Herbert 1820-1903,9781314499094,HardPress Publishing,An Autobiography Volume 2
26,40,2376,Herbert Spencer,9781417970315,Kessinger Publishing,"An Autobiography, Part 1",Spencer Herbert 1820-1903,9781314499100,HardPress Publishing,An Autobiography Volume 1
27,40,3555,Herbert Spencer,9781417970315,Kessinger Publishing,"An Autobiography, Part 1",Herbert Spencer,9780217677929,General Books,An Autobiography (Volume 2); By Herbert Spencer
28,43,3307,Mark Todd,9780752826332,Not Avail,So Far: The Autobiography,Mark Todd,9781409143215,"Orion Publishing Group, Limited",Second Chance: The Autobiography
29,44,331,Graham Chapman,9780413740908,Methuen Publishing,A Liar's Autobiography: Volume VI,Graham Chapman,9780413777287,"Methuen Publishing, Ltd.",A Liar's Autobiography
30,45,899,Roy Hudd,9781843174943,Michael O'Mara,A Fart in a Colander: The Autobiography,Roy Hudd,9781843176343,Michael O'Mara Books,A Fart In a Colander: The Autobiography
31,47,2379,Ulrich von Liechtenstein,9781843830955,Boydell Press,Service of Ladies: An Autobiography,Ulrich von Liechtenstein,9781843830955,"Boydell &amp; Brewer, Limited",Service of Ladies: An autobiography
32,48,2324,Wilhelm Reich,9780374229955,Farrar Straus Giroux,"Passion of Youth: An Autobiography, 1897-1922",Wilhelm Reich,9781569249291,Da Capo Press,"Passion of Youth: An Autobiography, 1897-1922"
33,53,3516,Paul Poiret,9781851775644,Victoria & Albert Museum,King of Fashion: The Autobiography of Paul Poiret,Paul Poiret,9781851775644,V &amp; A Publications,King of Fashion: The Autobiography of Paul Poiret
34,55,111,Gertrude Stein,9781878972088,Exact Change,Everybody's Autobiography,Gertrude Stein,9781987817058,David Rehak,The Autobiography of Alice B. Toklas
35,55,128,Gertrude Stein,9781878972088,Exact Change,Everybody's Autobiography,Gertrude Stein,9780307829771,Knopf Doubleday Publishing Group,Everybody's Autobiography
36,56,557,Gary Burton,9780876391402,Berklee Press Publications,Learning to Listen: The Jazz Journey of Gary Burton: An Autobiography,Gary Burton,9780876391402,Hal Leonard Corporation,Learning to Listen: The Jazz Journey of Gary Burton
37,57,921,Norman Lewis,9780140087277,Penguin Books,Jackdaw Cake: An Autobiography,Norman Lewis,9781480433328,Open Road Media,"I Came, I Saw: An Autobiography"
38,57,1394,Norman Lewis,9780140087277,Penguin Books,Jackdaw Cake: An Autobiography,Norman Lewis,9780330334662,"Trans-Atlantic Publications, Incorporated",I Came I Saw an Autobiography
39,57,1605,Norman Lewis,9780140087277,Penguin Books,Jackdaw Cake: An Autobiography,Norman Lewis,9781906011826,Eland Publishing Ltd,Jackdaw Cake: An Autobiography
40,57,2221,Norman Lewis,9780140087277,Penguin Books,Jackdaw Cake: An Autobiography,Norman Lewis,9781906011826,Eland Publishing Ltd,Jackdaw Cake: An Autobiography
41,61,692,Edith Ellis,9781401911829,Hay House,An Autobiography of George Washington,Edith Ellis,9781401932114,"Hay House, Inc.",An Autobiography of George Washington
42,63,949,Paul Galvin, ,Transworld Digital,In My Own Words: The Autobiography,Paul Galvin,9781473509740,Transworld Publishers Limited,In My Own Words: The Autobiography
43,66,210,Charles Darwin, , ,On The Origin of Species Illustrated and Bundled with the Autobiography,Charles Darwin,9781411429178,Barnes &amp; Noble,The Autobiography of Charles Darwin (Barnes & Noble Library of Essential Reading)
44,66,435,Charles Darwin, , ,On The Origin of Species Illustrated and Bundled with the Autobiography,Charles Darwin,9786050386004,Charles Darwin,Charles Darwin Autobiography
45,66,463,Charles Darwin, , ,On The Origin of Species Illustrated and Bundled with the Autobiography,Charles Darwin,9780393310696,"Norton, W. W. &amp; Company, Inc.",The Autobiography of Charles Darwin 1809-1882: With Original Omissions Restored
46,66,643,Charles Darwin, , ,On The Origin of Species Illustrated and Bundled with the Autobiography,Charles Darwin,9781605016467,MobileReference,Geological Observations on South America
47,66,656,Charles Darwin, , ,On The Origin of Species Illustrated and Bundled with the Autobiography,Charles Darwin,9780199580149,Oxford University Press,Evolutionary Writings: Including the Autobiographies
48,66,826,Charles Darwin, , ,On The Origin of Species Illustrated and Bundled with the Autobiography,Charles Darwin,2940150490260,AS Team,Geological Observations on Volcanic Islands (Illustrated and Bundled with The Autobiography of Charles Darwin)
49,66,1042,Charles Darwin, , ,On The Origin of Species Illustrated and Bundled with the Autobiography,Charles Darwin,9781412160766,eBooksLib,The Autobiography of Charles Darwin
50,66,1069,Charles Darwin, , ,On The Origin of Species Illustrated and Bundled with the Autobiography,Charles Darwin,9781504001601,Open Road Media,On the Origin of Species
51,66,1142,Charles Darwin, , ,On The Origin of Species Illustrated and Bundled with the Autobiography,Charles Darwin,9780140433906,Penguin Publishing Group,Autobiographies
52,66,1232,Charles Darwin, , ,On The Origin of Species Illustrated and Bundled with the Autobiography,Charles Darwin,9780192851314,"Oxford University Press, USA",Autobiographies: Charles Darwin and Thomas Henry Huxley
53,66,2399,Charles Darwin, , ,On The Origin of Species Illustrated and Bundled with the Autobiography,Charles Darwin,9781500174736,CreateSpace Publishing,The Autobiography of Charles Darwin (Annotated): From The Life and Letters of Charles Darwin
54,66,2798,Charles Darwin, , ,On The Origin of Species Illustrated and Bundled with the Autobiography,Charles Darwin,9781506099026,CreateSpace Publishing,Charles Darwin: On the Origin of Species and Autobiography of Charles Darwin
55,67,190,Jon E. Lewis,9781849017206, ,SAS: The Autobiography,Jon E. Lewis,9781472107824,"Little, Brown Book Group",Spitfire: The Autobiography
56,67,290,Jon E. Lewis,9781849017206, ,SAS: The Autobiography,Jon E. Lewis,9781849019330,"Little, Brown Book Group",SAS: The Autobiography
57,67,434,Jon E. Lewis,9781849017206, ,SAS: The Autobiography,Jon E. Lewis,9781780337548,"Little, Brown Book Group",Rome: The Autobiography
58,67,539,Jon E. Lewis,9781849017206, ,SAS: The Autobiography,Jon E. Lewis,9781849012638,"Little, Brown Book Group",World War II: The Autobiography
59,67,644,Jon E. Lewis,9781849017206, ,SAS: The Autobiography,Jon E. Lewis,9781780337500,"Little, Brown Book Group",London: the Autobiography
60,67,1147,Jon E. Lewis,9781849017206, ,SAS: The Autobiography,Jon E. Lewis,9781459642973,ReadHowYouWant.com Pty Limited,Spitfire: The Autobiography: The Plane and the Men That Saved Britain in 1940 in Their Own Words (Large Print 16pt)
61,71,511,Ingmar Bergman,9780140128505,Penguin Books,The Magic Lantern: An Autobiography,Ingmar Bergman,9780226043821,University of Chicago Press,The Magic Lantern: An Autobiography
62,72,1287,Hiratsuka Raicho,9780231138130,Columbia University Press,"In the Beginning, Woman Was the Sun: The Autobiography of a Japanese Feminist",Hiratsuka Raicho,9780231138123,Columbia University Press,"In the Beginning, Woman Was the Sun: The Autobiography of a Japanese Feminist"
63,78,483,Judith Krantz,9780312273286,St Martins Pr,Sex And Shopping: the Confessions of a Nice Jewish Girl: An Autobiography,Judith Krantz,9780312274177,St. Martin's Press,Sex and Shopping: The Confessions of a Nice Jewish Girl: An Autobiography
64,79,1120,Llewellyn Vaughan-Lee,9780963457493,The Golden Sufi Center,The Face Before I Was Born: A Spiritual Autobiography,Llewellyn Vaughan-Lee,9781890350185,The Golden Sufi Center,The Face Before I Was Born: A Spiritual Autobiography
65,80,69,Jackie Robinson, ,Ecco,I Never Had It Made: An Autobiography,Jackie Robinson,9780060555979,HarperCollins Publishers,I Never Had It Made
66,83,2534,Doris Anderson,9781550139303,Key Porter Books,Rebel Daughter : An Autobiography,Doris Anderson,9781550139303,Key Porter Books,Rebel Daughter: An Autobiography
67,86,464,Jay Parini,9780393046779,W. W. Norton & Company,The Norton Book of American Autobiography,Jay Parini,9780393046779,"Norton, W. W. &amp; Company, Inc.",The Norton Book of American Autobiography
68,92,15,Direction One,9780007577323,Not Avail,One Direction: Autobiography,One Direction,9780007577316,HarperCollins UK,One Direction: Who We Are: Our Official Autobiography
69,93,499,Roger Bannister,9781849546867,Biteback,Twin Tracks: The Autobiography,Roger Bannister,9781849546867,"Biteback Publishing, Ltd.",Twin Tracks: The Autobiography
70,98,406,Eugenia Price,9780385276184,Dial Press,The Burden Is Light: The Autobiography of a Transformed Pagan Who Took God at His Word,Eugenia Price,9780307515599,Crown/Archetype,The Burden Is Light: A Spiritual Autobiography
71,99,76,Waylon Jennings,9780446518659,Warner Books,Waylon: An Autobiography,Waylon Jennings,9780446562379,Grand Central Publishing,Waylon: An Autobiography
72,100,2340,Holly Near,9780688109646,Quill,Fire in the Rain...Singer in the Storm: An Autobiography,Holly Near,9780688109646,HarperCollins Publishers,Fire in the Rain...Singer in the Storm: An Autobiography
73,101,190,Jon E. Lewis,9781849013925,Robinson Publishing,Spitfire : The Autobiography,Jon E. Lewis,9781472107824,"Little, Brown Book Group",Spitfire: The Autobiography
74,101,290,Jon E. Lewis,9781849013925,Robinson Publishing,Spitfire : The Autobiography,Jon E. Lewis,9781849019330,"Little, Brown Book Group",SAS: The Autobiography
75,101,434,Jon E. Lewis,9781849013925,Robinson Publishing,Spitfire : The Autobiography,Jon E. Lewis,9781780337548,"Little, Brown Book Group",Rome: The Autobiography
76,101,539,Jon E. Lewis,9781849013925,Robinson Publishing,Spitfire : The Autobiography,Jon E. Lewis,9781849012638,"Little, Brown Book Group",World War II: The Autobiography
77,101,644,Jon E. Lewis,9781849013925,Robinson Publishing,Spitfire : The Autobiography,Jon E. Lewis,9781780337500,"Little, Brown Book Group",London: the Autobiography
78,101,1147,Jon E. Lewis,9781849013925,Robinson Publishing,Spitfire : The Autobiography,Jon E. Lewis,9781459642973,ReadHowYouWant.com Pty Limited,Spitfire: The Autobiography: The Plane and the Men That Saved Britain in 1940 in Their Own Words (Large Print 16pt)
79,104,418,Theodore Bikel,9780299182847,University of Wisconsin Press,Theo: An Autobiography,Theodore Bikel,9780299300548,University of Wisconsin Press,Theo: An Autobiography
80,108,940,Beverley Nichols,9781406794472,Pomona Press,Twenty-Five - An Autobiography,Beverley Nichols,9781447487074,Read Books Ltd.,Twenty-Five - An Autobiography
81,109,518,Bill Bruford, ,Jawbone,BILL BRUFORD THE AUTOBIOGRAPHY,Bill Bruford,9781905792436,Foruli Limited,"Bill Bruford: The Autobiography. Yes, King Crimson, Earthworks and More."
82,110,88,Andrew Carnegie, ,Halcyon Press Ltd.,The Autobiography of Andrew Carnegie,Andrew Carnegie,9781101098370,Penguin Publishing Group,The Autobiography of Andrew Carnegie and The Gospel of Wealth
83,110,90,Andrew Carnegie, ,Halcyon Press Ltd.,The Autobiography of Andrew Carnegie,Andrew Carnegie,9781504022620,Open Road Media,Autobiography of Andrew Carnegie
84,110,116,Andrew Carnegie, ,Halcyon Press Ltd.,The Autobiography of Andrew Carnegie,Andrew Carnegie,2940012693211,Halcyon Press Ltd.,The Autobiography of Andrew Carnegie
85,110,560,Andrew Carnegie, ,Halcyon Press Ltd.,The Autobiography of Andrew Carnegie,Andrew Carnegie,9780486496375,Dover Publications,The Autobiography of Andrew Carnegie and His Essay
86,110,709,Andrew Carnegie, ,Halcyon Press Ltd.,The Autobiography of Andrew Carnegie,Andrew Carnegie,2940016352145,Unforgotten Classics,The Autobiography of Andrew Carnegie with Illustrations
87,110,2609,Andrew Carnegie, ,Halcyon Press Ltd.,The Autobiography of Andrew Carnegie,Andrew Carnegie,9781490572543,CreateSpace Independent Publishing Platform,Autobiography of Andrew Carnegie
88,110,3115,Andrew Carnegie, ,Halcyon Press Ltd.,The Autobiography of Andrew Carnegie,Andrew Carnegie,9781494715953,CreateSpace Independent Publishing Platform,Autobiography of Andrew Carnegie: Autobiography
89,111,3662,Lesslie Newbigin,9781606088050,Wipf & Stock Publishers,Unfinished Agenda: An Updated Autobiography,Lesslie Newbigin,9781606088050,Wipf &amp; Stock Publishers,Unfinished Agenda: An Updated Autobiography
90,112,2092,James Olney,9780691100807,Princeton University Press,Autobiography: Essays Theoretical and Critical,James Olney,9780691062211,Princeton University Press,Metaphors of Self: The Meaning of Autobiography
91,113,63,Teresa of Ávila,9780486475981,Dover Publications,Autobiography of St. Teresa of Avila,St. Teresa of Avila,9780486475981,Dover Publications,Autobiography of St. Teresa of Avila
92,113,869,Teresa of Ávila,9780486475981,Dover Publications,Autobiography of St. Teresa of Avila,Teresa of Jesus,9781783360826,limovia.net,The Life of St. Teresa of Jesus: Autobiography
93,114,743,E. Allison Peers,9780385011099,Image,The Life of Teresa of Jesus: The Autobiography of Teresa of Avila,E. Allison Peers,9780385011099,Crown Religion/Business/Forum,Life Of Teresa Of Jesus: The Autobiography Of Teresa Of Avila
94,115,9,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,9780520279940,University of California Press,"Autobiography of Mark Twain, Volume 3: The Complete and Authoritative Edition"
95,115,26,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,9780520272781,University of California Press,"Autobiography of Mark Twain, Volume 2: The Complete and Authoritative Edition"
96,115,107,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,9788026804529,e-artnow Editions,"The Complete Works of Mark Twain: The Novels, short stories, essays and satires, travel writing, non-fiction, the complete letters, the complete speeches, and the autobiography of Mark Twain Mark Twain"
97,115,151,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,9780520952447,University of California Press,"Autobiography of Mark Twain: Volume 1, Reader's Edition"
98,115,220,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,9781608427710,KRE,Autobiography of Mark Twain - 100th Anniversary Edition
99,115,250,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,2940013663541,WDS Publishing,Mark Twain's Autobiography VOL 1 & 2
100,115,289,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,2940012096456,Literary Classics Press,THE AUTOBIOGRAPHY OF MARK TWAIN Nook Edition (100th Anniversary Newly Edited and Commented Version) Special Nook Enabled Features The Autobiography of Mark Twain NOOKbook
101,115,334,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,2940000737101,B&amp;R Samizdat Express,Chapters from my Autobiography
102,115,446,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,2940011938245,Baxter St.,Mark Twain's Autobiography
103,115,469,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,9781477475539,CreateSpace Independent Publishing Platform,Autobiography of Mark Twain Volume 2
104,115,537,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,9788026804642,e-artnow Editions,The Mark Twain Autobiography + 3 Biographies: 4 Mark Twain Biographies In 1 Book: Chapters From My Autobiography By Mark Twain + My Mark Twain By William Dean Howells' + Mark Twain A Biography By Albert Bigelow Paine + The Boys' Life Of Mark Twain By Albe
105,115,649,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,2940000737040,B&amp;R Samizdat Express,A Burlesque Autobiography
106,115,755,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,9781441778437,"Blackstone Audio, Inc.","Autobiography of Mark Twain, Vol. 1: The Complete and Authoritative Edition"
107,115,930,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,9781608429943,KRE,Autobiography Of Mark Twain - Abridged Edition
108,115,938,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,9781504637169,"Blackstone Audio, Inc.","Autobiography of Mark Twain, Vol. 3"
109,115,969,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,2940016310794,Unforgotten Classics,"Autobiography of Mark Twain, the authentic original version"
110,115,1045,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,9781607788249,MobileReference,Mark Twain's Burlesque Autobiography
111,115,1051,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,2940011919084,WHITE DOG PUBLISHING,"A Burlesque Autobiography and, First Romance"
112,115,1470,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,9782819913436,pubOne.info,Is Shakespeare Dead? From my autobiography.
113,115,1592,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,9781441778475,Findaway World,"Autobiography of Mark Twain, Volume 1: The Complete and Authoritative Edition [With Earbuds]"
114,115,1772,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,9780766161375,Kessinger Publishing Company,"Mark Twain's Autobiography, Volume 2"
115,115,2889,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Twain Mark,9781297300837,Scholar's Choice,Mark Twain's Burlesque Autobiography: First Romance - Scholar's Choice Edition
116,115,3135,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Roy J . Friedman Mark Twain Collection Mark Twain,2940018903741,Harper &amp; Brothers Publishers,Is Shakespeare Dead?: From My Autobiography
117,115,3325,Mark Twain,9781441778406,Blackstone Audiobooks,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,9780766161375,Kessinger Publishing Company,"Mark Twain's Autobiography, Volume 2"
118,116,1174,Dolores Ibárruri,9780717804689,International Publishers,They Shall Not Pass: The Autobiography of La Pasionaria,Dolores Ibarruri,9780717804689,"International Publishers Company, Incorporated",They Shall Not Pass: The Autobiography of La Pasionaria
119,117,436,Charles Grandison Finney,9780764201561,Bethany House Publishers,The Autobiography of Charles G. Finney: The Life Story of America's Great Evangelist-In His Own Words,Charles G. Finney,9781441205469,Baker Publishing Group,The Autobiography of Charles G. Finney: The Life Story of America's Greatest Evangelist--In His Own Words
120,117,2410,Charles Grandison Finney,9780764201561,Bethany House Publishers,The Autobiography of Charles G. Finney: The Life Story of America's Great Evangelist-In His Own Words,Charles G. Finney,9780800700959,Baker Publishing Group,Charles G. Finney: An Autobiography
121,117,3552,Charles Grandison Finney,9780764201561,Bethany House Publishers,The Autobiography of Charles G. Finney: The Life Story of America's Great Evangelist-In His Own Words,Charles G. Finney,9781517290627,CreateSpace Publishing,Charles G. Finney An Autobiography
122,119,855,Salomon Maimon,9781178075670,Nabu Press,Solomon Maimon: An Autobiography,Salomon Maimon,9781314488333,HardPress Publishing,Solomon Maimon: An Autobiography
123,120,2092,James Olney,9780691062211,Princeton University Press,Metaphors of Self: The Meaning of Autobiography,James Olney,9780691062211,Princeton University Press,Metaphors of Self: The Meaning of Autobiography
124,121,376,Graham Roumieu,9780916397845,Manic D Pres,In Me Own Words: The Autobiography of Bigfoot (Bigfoot #1),Graham Roumieu,9780916397845,"Manic D Press, Inc.",In Me Own Words: The Autobiography of Bigfoot
125,122,14,Benjamin Franklin,9781275666788,Gale Ecc,Benjamin Franklin: His Autobiography.,Benjamin Franklin,9780486290737,Dover Publications,The Autobiography of Benjamin Franklin
126,122,114,Benjamin Franklin,9781275666788,Gale Ecc,Benjamin Franklin: His Autobiography.,Benjamin Franklin,2940012259776,Robin Michell,THE AUTOBIOGRAPHY OF BENJAMIN FRANKLIN
127,122,146,Benjamin Franklin,9781275666788,Gale Ecc,Benjamin Franklin: His Autobiography.,Benjamin Franklin,9780393935615,"Norton, W. W. &amp; Company, Inc.",Benjamin Franklin's Autobiography
128,122,150,Benjamin Franklin,9781275666788,Gale Ecc,Benjamin Franklin: His Autobiography.,Benjamin Franklin,9781607780724,MobileReference,Autobiography of Benjamin Franklin.: ILLUSTRATED.
129,122,174,Benjamin Franklin,9781275666788,Gale Ecc,Benjamin Franklin: His Autobiography.,Benjamin Franklin,2940015855920,Unforgotten Classics,Benjamin Franklin - His Autobiography (Illustrated edition)
130,122,194,Benjamin Franklin,9781275666788,Gale Ecc,Benjamin Franklin: His Autobiography.,Benjamin Franklin,9780312404154,Bedford/St. Martin's,Autobiography of Benjamin Franklin: with Related Documents / Edition 2
131,122,228,Benjamin Franklin,9781275666788,Gale Ecc,Benjamin Franklin: His Autobiography.,Benjamin Franklin,9780553904987,Random House Publishing Group,The Autobiography and Other Writings
132,122,234,Benjamin Franklin,9781275666788,Gale Ecc,Benjamin Franklin: His Autobiography.,Benjamin Franklin,9781101907603,Knopf Doubleday Publishing Group,The Autobiography and Other Writings
133,122,265,Benjamin Franklin,9781275666788,Gale Ecc,Benjamin Franklin: His Autobiography.,Benjamin Franklin,9781611043297,ReadaClassic.com,"The Autobiography of Benjamin Franklin: In His Own Words, the Life of the Inventor, Philosopher, Satirist, Political Theorist, Statesman, and Diplomat"
134,122,292,Benjamin Franklin,9781275666788,Gale Ecc,Benjamin Franklin: His Autobiography.,Benjamin Franklin,2940015843033,Unforgotten Classics,Benjamin Franklin - Autobiography [Illustrated edition]
135,122,326,Benjamin Franklin,9781275666788,Gale Ecc,Benjamin Franklin: His Autobiography.,Benjamin Franklin,9781595475725,NuVision Publications,The Autobiography Of Ben Franklin
